ko:K07062	xci:XCAW_04684
ko:K02303	xci:XCAW_01543
ko:K15923	xci:XCAW_02292
ko:K14225	xci:XCAW_01618
ko:K14225	xci:XCAW_01727
ko:K14218	xci:XCAW_01761
ko:K14218	xci:XCAW_01763
ko:K04034	xci:XCAW_02370
ko:K14234	xci:XCAW_03096
ko:K01218	xci:XCAW_02609
ko:K03559	xci:XCAW_00012
ko:K03559	xci:XCAW_00013
ko:K03559	xci:XCAW_01735
ko:K00265	xci:XCAW_00417
ko:K06075	xci:XCAW_04671
ko:K02343	xci:XCAW_01208
ko:K09747	xci:XCAW_01209
ko:K06187	xci:XCAW_01210
ko:K07285	xci:XCAW_01212
ko:K03924	xci:XCAW_01215
ko:K06287	xci:XCAW_01220
ko:K07040	xci:XCAW_01221
ko:K02911	xci:XCAW_01222
ko:K00648	xci:XCAW_01223
ko:K00645	xci:XCAW_01226
ko:K02078	xci:XCAW_01228
ko:K09458	xci:XCAW_01229
ko:K01657	xci:XCAW_01230
ko:K07082	xci:XCAW_01231
ko:K02341	xci:XCAW_01232
ko:K02676	xci:XCAW_01233
ko:K02688	xci:XCAW_01236
ko:K06894	xci:XCAW_01245
ko:K01126	xci:XCAW_01248
ko:K05367	xci:XCAW_01249
ko:K03594	xci:XCAW_01250
ko:K13993	xci:XCAW_01252
ko:K05516	xci:XCAW_01253
ko:K04088	xci:XCAW_01255
ko:K04087	xci:XCAW_01256
ko:K01939	xci:XCAW_01258
ko:K01256	xci:XCAW_01259
ko:K06143	xci:XCAW_01320
ko:K09823	xci:XCAW_01326
ko:K03585	xci:XCAW_01328
ko:K13529	xci:XCAW_01351
ko:K03088	xci:XCAW_01359
ko:K05592	xci:XCAW_01360
ko:K06182	xci:XCAW_01362
ko:K02553	xci:XCAW_01366
ko:K01494	xci:XCAW_01433
ko:K01061	xci:XCAW_01437
ko:K14441	xci:XCAW_01438
ko:K04760	xci:XCAW_01439
ko:K06915	xci:XCAW_01443
ko:K08307	xci:XCAW_01444
ko:K01613	xci:XCAW_01445
ko:K07152	xci:XCAW_01446
ko:K07320	xci:XCAW_01447
ko:K01736	xci:XCAW_01448
ko:K00133	xci:XCAW_01450
ko:K06996	xci:XCAW_01452
ko:K06173	xci:XCAW_01454
ko:K01817	xci:XCAW_01455
ko:K01696	xci:XCAW_01457
ko:K01695	xci:XCAW_01459
ko:K01963	xci:XCAW_01460
ko:K03431	xci:XCAW_01461
ko:K06886	xci:XCAW_01468
ko:K07124	xci:XCAW_01469
ko:K01803	xci:XCAW_01470
ko:K03075	xci:XCAW_01471
ko:K00330	xci:XCAW_01473
ko:K00331	xci:XCAW_01474
ko:K00332	xci:XCAW_01475
ko:K00333	xci:XCAW_01476
ko:K00334	xci:XCAW_01477
ko:K00337	xci:XCAW_01480
ko:K00338	xci:XCAW_01481
ko:K00339	xci:XCAW_01482
ko:K00340	xci:XCAW_01483
ko:K00341	xci:XCAW_01484
ko:K00342	xci:XCAW_01485
ko:K08300	xci:XCAW_01601
ko:K07146	xci:XCAW_01603
ko:K07007	xci:XCAW_01606
ko:K02474	xci:XCAW_01607
ko:K07733	xci:XCAW_01643
ko:K12055	xci:XCAW_01644
ko:K00995	xci:XCAW_01728
ko:K03703	xci:XCAW_01729
ko:K00979	xci:XCAW_01732
ko:K00912	xci:XCAW_01733
ko:K03561	xci:XCAW_01736
ko:K09810	xci:XCAW_01739
ko:K09808	xci:XCAW_01740
ko:K09159	xci:XCAW_01742
ko:K00240	xci:XCAW_01743
ko:K00239	xci:XCAW_01745
ko:K00242	xci:XCAW_01746
ko:K06980	xci:XCAW_01748
ko:K00036	xci:XCAW_01751
ko:K01057	xci:XCAW_01753
ko:K01690	xci:XCAW_01754
ko:K01625	xci:XCAW_01755
ko:K06959	xci:XCAW_01770
ko:K00566	xci:XCAW_01828
ko:K07153	xci:XCAW_01829
ko:K02398	xci:XCAW_01838
ko:K02386	xci:XCAW_01839
ko:K03415	xci:XCAW_01840
ko:K02387	xci:XCAW_01841
ko:K02388	xci:XCAW_01842
ko:K02389	xci:XCAW_01843
ko:K02390	xci:XCAW_01844
ko:K02391	xci:XCAW_01845
ko:K02392	xci:XCAW_01846
ko:K02393	xci:XCAW_01847
ko:K02394	xci:XCAW_01848
ko:K02395	xci:XCAW_01849
ko:K02396	xci:XCAW_01850
ko:K02397	xci:XCAW_01851
ko:K02406	xci:XCAW_01852
ko:K02407	xci:XCAW_01853
ko:K02422	xci:XCAW_01855
ko:K03092	xci:XCAW_01859
ko:K10941	xci:XCAW_01861
ko:K00648	xci:XCAW_01864
ko:K02408	xci:XCAW_01873
ko:K02409	xci:XCAW_01875
ko:K02410	xci:XCAW_01876
ko:K02411	xci:XCAW_01877
ko:K02412	xci:XCAW_01878
ko:K02413	xci:XCAW_01879
ko:K02415	xci:XCAW_01881
ko:K03630	xci:XCAW_01944
ko:K07733	xci:XCAW_01950
ko:K01951	xci:XCAW_01952
ko:K01491	xci:XCAW_01954
ko:K09948	xci:XCAW_01955
ko:K00963	xci:XCAW_01957
ko:K05788	xci:XCAW_01962
ko:K02945	xci:XCAW_01963
ko:K00945	xci:XCAW_01964
ko:K02919	xci:XCAW_01965
ko:K12251	xci:XCAW_01968
ko:K03823	xci:XCAW_01969
ko:K02529	xci:XCAW_01978
ko:K05527	xci:XCAW_01979
ko:K09780	xci:XCAW_01980
ko:K05896	xci:XCAW_01981
ko:K06024	xci:XCAW_01982
ko:K06178	xci:XCAW_01983
ko:K14287	xci:XCAW_01987
ko:K02194	xci:XCAW_01989
ko:K02195	xci:XCAW_01990
ko:K02196	xci:XCAW_01991
ko:K02197	xci:XCAW_01992
ko:K02198	xci:XCAW_01993
ko:K02199	xci:XCAW_01994
ko:K04564	xci:XCAW_02051
ko:K15738	xci:XCAW_02054
ko:K05591	xci:XCAW_02055
ko:K00759	xci:XCAW_02056
ko:K03704	xci:XCAW_02060
ko:K07007	xci:XCAW_02062
ko:K03799	xci:XCAW_02064
ko:K01894	xci:XCAW_02065
ko:K00023	xci:XCAW_02066
ko:K09973	xci:XCAW_02068
ko:K09164	xci:XCAW_02069
ko:K03572	xci:XCAW_02070
ko:K01448	xci:XCAW_02072
ko:K06925	xci:XCAW_02073
ko:K03601	xci:XCAW_02076
ko:K03684	xci:XCAW_02079
ko:K03110	xci:XCAW_02232
ko:K03575	xci:XCAW_02233
ko:K05984	xci:XCAW_02238
ko:K03098	xci:XCAW_02241
ko:K01662	xci:XCAW_02246
ko:K00720	xci:XCAW_02249
ko:K00648	xci:XCAW_02252
ko:K01991	xci:XCAW_02266
ko:K04764	xci:XCAW_02269
ko:K00134	xci:XCAW_04044
ko:K07275	xci:XCAW_04046
ko:K02020	xci:XCAW_04050
ko:K02018	xci:XCAW_04051
ko:K16088	xci:XCAW_04062
ko:K00615	xci:XCAW_04064
ko:K03924	xci:XCAW_04071
ko:K02666	xci:XCAW_04073
ko:K02662	xci:XCAW_04077
ko:K05366	xci:XCAW_04078
ko:K01647	xci:XCAW_04080
ko:K02909	xci:XCAW_04081
ko:K03655	xci:XCAW_04083
ko:K03060	xci:XCAW_04087
ko:K00942	xci:XCAW_04088
ko:K00989	xci:XCAW_04090
ko:K09895	xci:XCAW_04099
ko:K09888	xci:XCAW_04101
ko:K01807	xci:XCAW_04104
ko:K09005	xci:XCAW_04105
ko:K00788	xci:XCAW_04108
ko:K01845	xci:XCAW_04113
ko:K03556	xci:XCAW_04114
ko:K00817	xci:XCAW_04116
ko:K10716	xci:XCAW_04123
ko:K07157	xci:XCAW_04128
ko:K02558	xci:XCAW_04129
ko:K15987	xci:XCAW_04134
ko:K03147	xci:XCAW_04141
ko:K00053	xci:XCAW_04145
ko:K01652	xci:XCAW_04146
ko:K11258	xci:XCAW_04147
ko:K01754	xci:XCAW_04148
ko:K01649	xci:XCAW_04149
ko:K00052	xci:XCAW_04150
ko:K01704	xci:XCAW_04151
ko:K01703	xci:XCAW_04152
ko:K08323	xci:XCAW_00066
ko:K05970	xci:XCAW_00067
ko:K01235	xci:XCAW_00068
ko:K02529	xci:XCAW_00069
ko:K01805	xci:XCAW_00070
ko:K14058	xci:XCAW_00071
ko:K03554	xci:XCAW_00072
ko:K07043	xci:XCAW_00073
ko:K01772	xci:XCAW_00075
ko:K03116	xci:XCAW_00077
ko:K03117	xci:XCAW_00078
ko:K03118	xci:XCAW_00079
ko:K01951	xci:XCAW_00081
ko:K01878	xci:XCAW_00084
ko:K01879	xci:XCAW_00085
ko:K07278	xci:XCAW_00090
ko:K09800	xci:XCAW_00091
ko:K03785	xci:XCAW_00093
ko:K02429	xci:XCAW_00105
ko:K03534	xci:XCAW_00106
ko:K00064	xci:XCAW_00111
ko:K01198	xci:XCAW_00112
ko:K01895	xci:XCAW_00118
ko:K14393	xci:XCAW_00121
ko:K01142	xci:XCAW_00126
ko:K06133	xci:XCAW_00129
ko:K03501	xci:XCAW_00132
ko:K15726	xci:XCAW_00138
ko:K02902	xci:XCAW_00139
ko:K02913	xci:XCAW_00140
ko:K10220	xci:XCAW_00141
ko:K16514	xci:XCAW_00142
ko:K10218	xci:XCAW_00143
ko:K06131	xci:XCAW_00145
ko:K03657	xci:XCAW_00148
ko:K11901	xci:XCAW_00152
ko:K11900	xci:XCAW_00153
ko:K11903	xci:XCAW_00154
ko:K11898	xci:XCAW_00155
ko:K11897	xci:XCAW_00156
ko:K11896	xci:XCAW_00157
ko:K11895	xci:XCAW_00158
ko:K11907	xci:XCAW_00159
ko:K01093	xci:XCAW_00167
ko:K03088	xci:XCAW_00170
ko:K11893	xci:XCAW_00178
ko:K11892	xci:XCAW_00179
ko:K11891	xci:XCAW_00180
ko:K11890	xci:XCAW_00181
ko:K11902	xci:XCAW_00187
ko:K00343	xci:XCAW_01486
ko:K09748	xci:XCAW_01488
ko:K02600	xci:XCAW_01489
ko:K02519	xci:XCAW_01490
ko:K02834	xci:XCAW_01491
ko:K02956	xci:XCAW_01493
ko:K00962	xci:XCAW_01494
ko:K00767	xci:XCAW_01496
ko:K01588	xci:XCAW_01498
ko:K01589	xci:XCAW_01499
ko:K04564	xci:XCAW_01500
ko:K07390	xci:XCAW_01501
ko:K06966	xci:XCAW_01505
ko:K08082	xci:XCAW_01506
ko:K08084	xci:XCAW_01507
ko:K02671	xci:XCAW_01508
ko:K02672	xci:XCAW_01509
ko:K02673	xci:XCAW_01510
ko:K02655	xci:XCAW_01512
ko:K07733	xci:XCAW_01520
ko:K03630	xci:XCAW_01521
ko:K09822	xci:XCAW_01527
ko:K05577	xci:XCAW_01528
ko:K03717	xci:XCAW_01529
ko:K15977	xci:XCAW_01536
ko:K02304	xci:XCAW_01542
ko:K03630	xci:XCAW_01690
ko:K03821	xci:XCAW_01775
ko:K00019	xci:XCAW_01778
ko:K09920	xci:XCAW_01781
ko:K09773	xci:XCAW_01782
ko:K13288	xci:XCAW_01785
ko:K11924	xci:XCAW_01787
ko:K03322	xci:XCAW_01788
ko:K03752	xci:XCAW_01791
ko:K03750	xci:XCAW_01792
ko:K01142	xci:XCAW_01794
ko:K08995	xci:XCAW_01798
ko:K03750	xci:XCAW_01802
ko:K03977	xci:XCAW_01803
ko:K15539	xci:XCAW_01806
ko:K02656	xci:XCAW_01807
ko:K06941	xci:XCAW_01808
ko:K00940	xci:XCAW_01809
ko:K07516	xci:XCAW_01811
ko:K06199	xci:XCAW_01813
ko:K07478	xci:XCAW_01814
ko:K03634	xci:XCAW_01816
ko:K03466	xci:XCAW_01819
ko:K00384	xci:XCAW_01821
ko:K09919	xci:XCAW_01822
ko:K00684	xci:XCAW_01823
ko:K02518	xci:XCAW_01824
ko:K03694	xci:XCAW_01825
ko:K06891	xci:XCAW_01826
ko:K02416	xci:XCAW_01882
ko:K02417	xci:XCAW_01883
ko:K09161	xci:XCAW_b00053
ko:K00228	xci:XCAW_00191
ko:K02078	xci:XCAW_00199
ko:K00655	xci:XCAW_00201
ko:K09902	xci:XCAW_00215
ko:K00036	xci:XCAW_00219
ko:K06213	xci:XCAW_00223
ko:K09799	xci:XCAW_00225
ko:K03671	xci:XCAW_00230
ko:K00077	xci:XCAW_00234
ko:K01867	xci:XCAW_00297
ko:K05786	xci:XCAW_00302
ko:K02003	xci:XCAW_00306
ko:K07778	xci:XCAW_00308
ko:K07693	xci:XCAW_00309
ko:K12262	xci:XCAW_00311
ko:K03781	xci:XCAW_00312
ko:K03088	xci:XCAW_00313
ko:K01255	xci:XCAW_00315
ko:K07071	xci:XCAW_00329
ko:K14415	xci:XCAW_00337
ko:K03098	xci:XCAW_00345
ko:K07391	xci:XCAW_00346
ko:K04751	xci:XCAW_00348
ko:K13979	xci:XCAW_00415
ko:K00266	xci:XCAW_00416
ko:K01434	xci:XCAW_00421
ko:K12995	xci:XCAW_00427
ko:K05946	xci:XCAW_00431
ko:K01953	xci:XCAW_00438
ko:K01953	xci:XCAW_00447
ko:K07502	xci:XCAW_00466
ko:K02418	xci:XCAW_01884
ko:K02419	xci:XCAW_01885
ko:K02420	xci:XCAW_01887
ko:K02421	xci:XCAW_01888
ko:K02401	xci:XCAW_01892
ko:K02400	xci:XCAW_01893
ko:K02404	xci:XCAW_01895
ko:K04562	xci:XCAW_01896
ko:K02405	xci:XCAW_01897
ko:K03413	xci:XCAW_01898
ko:K03414	xci:XCAW_01899
ko:K03407	xci:XCAW_01900
ko:K06871	xci:XCAW_01903
ko:K03658	xci:XCAW_01923
ko:K00641	xci:XCAW_01997
ko:K00425	xci:XCAW_02001
ko:K00426	xci:XCAW_02002
ko:K03449	xci:XCAW_02005
ko:K06978	xci:XCAW_02006
ko:K00147	xci:XCAW_02007
ko:K00931	xci:XCAW_02008
ko:K01755	xci:XCAW_02010
ko:K00145	xci:XCAW_02011
ko:K01438	xci:XCAW_02014
ko:K01940	xci:XCAW_02016
ko:K01883	xci:XCAW_02020
ko:K02426	xci:XCAW_02021
ko:K06204	xci:XCAW_02023
ko:K08998	xci:XCAW_02024
ko:K01465	xci:XCAW_02025
ko:K03735	xci:XCAW_02030
ko:K03736	xci:XCAW_02031
ko:K01728	xci:XCAW_02038
ko:K02356	xci:XCAW_02045
ko:K02044	xci:XCAW_02048
ko:K15396	xci:XCAW_02049
ko:K06915	xci:XCAW_02116
ko:K03408	xci:XCAW_02119
ko:K03652	xci:XCAW_02121
ko:K03724	xci:XCAW_02122
ko:K03600	xci:XCAW_02125
ko:K03599	xci:XCAW_02126
ko:K00413	xci:XCAW_02127
ko:K00412	xci:XCAW_02128
ko:K00411	xci:XCAW_02129
ko:K06168	xci:XCAW_02134
ko:K07042	xci:XCAW_02137
ko:K06189	xci:XCAW_02139
ko:K03284	xci:XCAW_02141
ko:K11074	xci:XCAW_02143
ko:K11075	xci:XCAW_02144
ko:K11076	xci:XCAW_02145
ko:K03446	xci:XCAW_02147
ko:K03543	xci:XCAW_02148
ko:K11073	xci:XCAW_02149
ko:K12256	xci:XCAW_02150
ko:K01915	xci:XCAW_02151
ko:K07010	xci:XCAW_02152
ko:K01915	xci:XCAW_02153
ko:K02379	xci:XCAW_02160
ko:K01890	xci:XCAW_02270
ko:K01889	xci:XCAW_02271
ko:K02887	xci:XCAW_02272
ko:K02916	xci:XCAW_02273
ko:K02520	xci:XCAW_02274
ko:K01868	xci:XCAW_02275
ko:K16211	xci:XCAW_02278
ko:K01805	xci:XCAW_02290
ko:K01811	xci:XCAW_02293
ko:K05970	xci:XCAW_02295
ko:K01631	xci:XCAW_02302
ko:K01684	xci:XCAW_02303
ko:K00883	xci:XCAW_02305
ko:K01714	xci:XCAW_02308
ko:K03567	xci:XCAW_02309
ko:K03564	xci:XCAW_02311
ko:K07175	xci:XCAW_02312
ko:K00941	xci:XCAW_02315
ko:K06911	xci:XCAW_02321
ko:K03563	xci:XCAW_02325
ko:K12262	xci:XCAW_02386
ko:K03088	xci:XCAW_02390
ko:K02195	xci:XCAW_02393
ko:K02196	xci:XCAW_02394
ko:K02197	xci:XCAW_02395
ko:K02198	xci:XCAW_02396
ko:K02199	xci:XCAW_02397
ko:K08482	xci:XCAW_02401
ko:K03630	xci:XCAW_02418
ko:K07733	xci:XCAW_02419
ko:K03088	xci:XCAW_02433
ko:K03408	xci:XCAW_02506
ko:K03411	xci:XCAW_02510
ko:K03412	xci:XCAW_02511
ko:K01682	xci:XCAW_02514
ko:K01681	xci:XCAW_02517
ko:K13816	xci:XCAW_02520
ko:K13815	xci:XCAW_02522
ko:K04567	xci:XCAW_02523
ko:K02836	xci:XCAW_02524
ko:K07462	xci:XCAW_02534
ko:K03624	xci:XCAW_02536
ko:K01955	xci:XCAW_02537
ko:K01956	xci:XCAW_02539
ko:K00215	xci:XCAW_02540
ko:K05825	xci:XCAW_02542
ko:K04759	xci:XCAW_02545
ko:K04758	xci:XCAW_02546
ko:K01779	xci:XCAW_02603
ko:K15011	xci:XCAW_02607
ko:K15012	xci:XCAW_02608
ko:K05349	xci:XCAW_02612
ko:K07093	xci:XCAW_02613
ko:K01810	xci:XCAW_02617
ko:K01579	xci:XCAW_02618
ko:K01918	xci:XCAW_02619
ko:K00606	xci:XCAW_02620
ko:K00950	xci:XCAW_02621
ko:K09007	xci:XCAW_02624
ko:K01448	xci:XCAW_02625
ko:K03702	xci:XCAW_02650
ko:K08084	xci:XCAW_02651
ko:K01673	xci:XCAW_02720
ko:K01556	xci:XCAW_02723
ko:K01141	xci:XCAW_02726
ko:K00858	xci:XCAW_02730
ko:K12297	xci:XCAW_02731
ko:K03824	xci:XCAW_02733
ko:K09164	xci:XCAW_02737
ko:K10773	xci:XCAW_02743
ko:K01673	xci:XCAW_02745
ko:K02040	xci:XCAW_02749
ko:K02040	xci:XCAW_02750
ko:K02037	xci:XCAW_02751
ko:K02038	xci:XCAW_02752
ko:K02036	xci:XCAW_02753
ko:K02039	xci:XCAW_02754
ko:K03683	xci:XCAW_02756
ko:K03218	xci:XCAW_02758
ko:K12573	xci:XCAW_02760
ko:K00847	xci:XCAW_02768
ko:K00528	xci:XCAW_02885
ko:K00432	xci:XCAW_02886
ko:K01284	xci:XCAW_02887
ko:K15974	xci:XCAW_02888
ko:K06975	xci:XCAW_02890
ko:K03305	xci:XCAW_02893
ko:K05349	xci:XCAW_02895
ko:K03446	xci:XCAW_02897
ko:K03543	xci:XCAW_02898
ko:K02621	xci:XCAW_02902
ko:K03594	xci:XCAW_02905
ko:K01434	xci:XCAW_02906
ko:K01953	xci:XCAW_02910
ko:K00990	xci:XCAW_02914
ko:K01265	xci:XCAW_02915
ko:K07347	xci:XCAW_02918
ko:K02967	xci:XCAW_02922
ko:K02357	xci:XCAW_02923
ko:K09903	xci:XCAW_02925
ko:K02838	xci:XCAW_02926
ko:K00806	xci:XCAW_02927
ko:K00981	xci:XCAW_02928
ko:K00099	xci:XCAW_02929
ko:K11749	xci:XCAW_02930
ko:K07277	xci:XCAW_02931
ko:K02536	xci:XCAW_02933
ko:K02372	xci:XCAW_02934
ko:K00677	xci:XCAW_02935
ko:K00748	xci:XCAW_02936
ko:K03470	xci:XCAW_02937
ko:K03782	xci:XCAW_03050
ko:K04762	xci:XCAW_03051
ko:K02884	xci:XCAW_03056
ko:K00554	xci:XCAW_03057
ko:K02860	xci:XCAW_03058
ko:K02959	xci:XCAW_03059
ko:K01087	xci:XCAW_03499
ko:K00697	xci:XCAW_03501
ko:K00117	xci:XCAW_03502
ko:K05810	xci:XCAW_03506
ko:K06180	xci:XCAW_03507
ko:K05807	xci:XCAW_03508
ko:K01950	xci:XCAW_03510
ko:K07636	xci:XCAW_03539
ko:K00937	xci:XCAW_03540
ko:K01524	xci:XCAW_03541
ko:K03269	xci:XCAW_03546
ko:K00764	xci:XCAW_03550
ko:K03558	xci:XCAW_03551
ko:K11754	xci:XCAW_03553
ko:K01114	xci:XCAW_03558
ko:K00060	xci:XCAW_03560
ko:K02045	xci:XCAW_03562
ko:K02047	xci:XCAW_03563
ko:K02046	xci:XCAW_03564
ko:K02048	xci:XCAW_03565
ko:K06178	xci:XCAW_03568
ko:K00024	xci:XCAW_03576
ko:K06207	xci:XCAW_03578
ko:K01626	xci:XCAW_03582
ko:K03611	xci:XCAW_03584
ko:K02879	xci:XCAW_03585
ko:K03040	xci:XCAW_03586
ko:K02986	xci:XCAW_03587
ko:K02948	xci:XCAW_03588
ko:K02952	xci:XCAW_03589
ko:K03076	xci:XCAW_03590
ko:K02876	xci:XCAW_03591
ko:K02907	xci:XCAW_03592
ko:K02988	xci:XCAW_03593
ko:K02881	xci:XCAW_03594
ko:K02933	xci:XCAW_03595
ko:K02994	xci:XCAW_03596
ko:K02954	xci:XCAW_03597
ko:K02931	xci:XCAW_03598
ko:K02895	xci:XCAW_03599
ko:K02874	xci:XCAW_03600
ko:K02961	xci:XCAW_03601
ko:K02904	xci:XCAW_03602
ko:K02878	xci:XCAW_03603
ko:K02982	xci:XCAW_03604
ko:K02890	xci:XCAW_03605
ko:K02965	xci:XCAW_03606
ko:K02886	xci:XCAW_03607
ko:K02892	xci:XCAW_03608
ko:K02926	xci:XCAW_03609
ko:K02906	xci:XCAW_03610
ko:K02946	xci:XCAW_03611
ko:K02358	xci:XCAW_03612
ko:K02355	xci:XCAW_03613
ko:K02992	xci:XCAW_03614
ko:K02950	xci:XCAW_03615
ko:K03046	xci:XCAW_03616
ko:K03043	xci:XCAW_03617
ko:K02935	xci:XCAW_03618
ko:K02864	xci:XCAW_03619
ko:K02863	xci:XCAW_03620
ko:K02867	xci:XCAW_03621
ko:K02601	xci:XCAW_03622
ko:K03073	xci:XCAW_03623
ko:K02358	xci:XCAW_03625
ko:K06942	xci:XCAW_03629
ko:K01056	xci:XCAW_03630
ko:K02897	xci:XCAW_03631
ko:K00948	xci:XCAW_03632
ko:K00919	xci:XCAW_03634
ko:K02494	xci:XCAW_03635
ko:K02492	xci:XCAW_03637
ko:K02835	xci:XCAW_03638
ko:K03638	xci:XCAW_03640
ko:K01512	xci:XCAW_03643
ko:K07058	xci:XCAW_03645
ko:K03809	xci:XCAW_03646
ko:K14645	xci:XCAW_03652
ko:K14645	xci:XCAW_03653
ko:K14645	xci:XCAW_03654
ko:K00826	xci:XCAW_03655
ko:K00325	xci:XCAW_03658
ko:K00324	xci:XCAW_03659
ko:K03088	xci:XCAW_03660
ko:K00324	xci:XCAW_03663
ko:K02493	xci:XCAW_03673
ko:K03387	xci:XCAW_03675
ko:K04761	xci:XCAW_03676
ko:K06140	xci:XCAW_03677
ko:K01886	xci:XCAW_03687
ko:K06968	xci:XCAW_03691
ko:K02623	xci:XCAW_03700
ko:K11475	xci:XCAW_03703
ko:K03184	xci:XCAW_03707
ko:K15342	xci:XCAW_04603
ko:K06879	xci:XCAW_04608
ko:K07788	xci:XCAW_04611
ko:K08641	xci:XCAW_04621
ko:K05349	xci:XCAW_04631
ko:K01633	xci:XCAW_04632
ko:K02970	xci:XCAW_04634
ko:K09117	xci:XCAW_04635
ko:K07058	xci:XCAW_04636
ko:K14347	xci:XCAW_04638
ko:K02259	xci:XCAW_04641
ko:K02276	xci:XCAW_04645
ko:K02275	xci:XCAW_04649
ko:K13821	xci:XCAW_04651
ko:K07323	xci:XCAW_04714
ko:K07122	xci:XCAW_04715
ko:K04754	xci:XCAW_04716
ko:K00432	xci:XCAW_04718
ko:K09760	xci:XCAW_04720
ko:K02647	xci:XCAW_04731
ko:K00865	xci:XCAW_04732
ko:K01273	xci:XCAW_04734
ko:K06969	xci:XCAW_04736
ko:K01126	xci:XCAW_04739
ko:K09474	xci:XCAW_04741
ko:K03650	xci:XCAW_04742
ko:K03217	xci:XCAW_04744
ko:K03536	xci:XCAW_04745
ko:K02914	xci:XCAW_04746
ko:K02338	xci:XCAW_00002
ko:K03629	xci:XCAW_00005
ko:K02313	xci:XCAW_00001
ko:K03185	xci:XCAW_03708
ko:K00798	xci:XCAW_03710
ko:K04744	xci:XCAW_03714
ko:K03771	xci:XCAW_03715
ko:K00097	xci:XCAW_03716
ko:K02528	xci:XCAW_03717
ko:K13633	xci:XCAW_00238
ko:K01198	xci:XCAW_00244
ko:K03832	xci:XCAW_00250
ko:K01698	xci:XCAW_00261
ko:K01173	xci:XCAW_00264
ko:K00014	xci:XCAW_00267
ko:K03781	xci:XCAW_00271
ko:K05539	xci:XCAW_00275
ko:K07637	xci:XCAW_00278
ko:K09933	xci:XCAW_00281
ko:K03524	xci:XCAW_00283
ko:K03525	xci:XCAW_00284
ko:K00943	xci:XCAW_00287
ko:K01476	xci:XCAW_00292
ko:K00797	xci:XCAW_00354
ko:K02364	xci:XCAW_00356
ko:K01887	xci:XCAW_00363
ko:K03630	xci:XCAW_00364
ko:K13038	xci:XCAW_00365
ko:K15778	xci:XCAW_00367
ko:K08679	xci:XCAW_00371
ko:K00762	xci:XCAW_00376
ko:K01142	xci:XCAW_00377
ko:K08218	xci:XCAW_00378
ko:K09001	xci:XCAW_00380
ko:K01866	xci:XCAW_00382
ko:K03670	xci:XCAW_00390
ko:K03656	xci:XCAW_00393
ko:K09915	xci:XCAW_00396
ko:K01591	xci:XCAW_00398
ko:K02529	xci:XCAW_00402
ko:K00631	xci:XCAW_00404
ko:K11068	xci:XCAW_00468
ko:K00355	xci:XCAW_00476
ko:K03671	xci:XCAW_00498
ko:K03762	xci:XCAW_00499
ko:K03924	xci:XCAW_00507
ko:K03568	xci:XCAW_00510
ko:K03568	xci:XCAW_00511
ko:K03841	xci:XCAW_00513
ko:K00832	xci:XCAW_00514
ko:K09959	xci:XCAW_00519
ko:K10979	xci:XCAW_00522
