ko:K08744	mtj:J112_09730
ko:K02046	mtj:J112_12875
ko:K02048	mtj:J112_12880
ko:K03596	mtj:J112_12900
ko:K02968	mtj:J112_12940
ko:K02340	mtj:J112_12945
ko:K02237	mtj:J112_12955
ko:K09710	mtj:J112_12985
ko:K00969	mtj:J112_12990
ko:K00147	mtj:J112_13025
ko:K04756	mtj:J112_13045
ko:K01950	mtj:J112_13100
ko:K00931	mtj:J112_13105
ko:K03979	mtj:J112_13110
ko:K02899	mtj:J112_13115
ko:K02888	mtj:J112_13120
ko:K11103	mtj:J112_13125
ko:K00940	mtj:J112_13135
ko:K11754	mtj:J112_13145
ko:K01873	mtj:J112_13150
ko:K03657	mtj:J112_17160
ko:K03426	mtj:J112_17170
ko:K10716	mtj:J112_17175
ko:K03657	mtj:J112_17180
ko:K02361	mtj:J112_17260
ko:K03088	mtj:J112_17315
ko:K00800	mtj:J112_17350
ko:K06949	mtj:J112_17355
ko:K07228	mtj:J112_17390
ko:K03070	mtj:J112_17410
ko:K03043	mtj:J112_03570
ko:K03046	mtj:J112_03575
ko:K01151	mtj:J112_03590
ko:K09456	mtj:J112_03600
ko:K02616	mtj:J112_03610
ko:K02950	mtj:J112_03650
ko:K02992	mtj:J112_03655
ko:K02355	mtj:J112_03660
ko:K02358	mtj:J112_03665
ko:K02946	mtj:J112_03750
ko:K02906	mtj:J112_03755
ko:K02926	mtj:J112_03760
ko:K02892	mtj:J112_03765
ko:K02886	mtj:J112_03770
ko:K02965	mtj:J112_03775
ko:K02890	mtj:J112_03780
ko:K02982	mtj:J112_03785
ko:K02878	mtj:J112_03790
ko:K02904	mtj:J112_03795
ko:K02961	mtj:J112_03800
ko:K02874	mtj:J112_03820
ko:K02895	mtj:J112_03825
ko:K01870	mtj:J112_08250
ko:K02346	mtj:J112_08255
ko:K03101	mtj:J112_08265
ko:K06180	mtj:J112_08270
ko:K06886	mtj:J112_08280
ko:K07124	mtj:J112_08290
ko:K02337	mtj:J112_08300
ko:K00631	mtj:J112_08325
ko:K00246	mtj:J112_08350
ko:K01754	mtj:J112_08375
ko:K01236	mtj:J112_08390
ko:K06044	mtj:J112_08395
ko:K00833	mtj:J112_08420
ko:K01935	mtj:J112_08430
ko:K03752	mtj:J112_13165
ko:K00175	mtj:J112_13170
ko:K00174	mtj:J112_13175
ko:K03544	mtj:J112_13185
ko:K01358	mtj:J112_13200
ko:K01358	mtj:J112_13205
ko:K03545	mtj:J112_13210
ko:K01808	mtj:J112_13225
ko:K01256	mtj:J112_13235
ko:K06886	mtj:J112_13255
ko:K07107	mtj:J112_13275
ko:K15371	mtj:J112_13280
ko:K00631	mtj:J112_13305
ko:K06966	mtj:J112_13365
ko:K00627	mtj:J112_13385
ko:K00162	mtj:J112_13390
ko:K00161	mtj:J112_13395
ko:K01644	mtj:J112_13400
ko:K00943	mtj:J112_17450
ko:K01251	mtj:J112_17455
ko:K00496	mtj:J112_17475
ko:K01809	mtj:J112_17490
ko:K04077	mtj:J112_02345
ko:K03088	mtj:J112_02370
ko:K05592	mtj:J112_06745
ko:K08296	mtj:J112_06875
ko:K02034	mtj:J112_06905
ko:K01673	mtj:J112_06915
ko:K00957	mtj:J112_06920
ko:K00955	mtj:J112_06925
ko:K01887	mtj:J112_06960
ko:K01586	mtj:J112_06965
ko:K00003	mtj:J112_06970
ko:K01733	mtj:J112_06975
ko:K00872	mtj:J112_06985
ko:K03628	mtj:J112_06990
ko:K02909	mtj:J112_06995
ko:K02835	mtj:J112_07000
ko:K02493	mtj:J112_07005
ko:K00766	mtj:J112_11760
ko:K02276	mtj:J112_11765
ko:K02275	mtj:J112_11800
ko:K01953	mtj:J112_11805
ko:K00865	mtj:J112_11825
ko:K00768	mtj:J112_11835
ko:K02233	mtj:J112_11840
ko:K00826	mtj:J112_11850
ko:K00605	mtj:J112_11855
ko:K01255	mtj:J112_11865
ko:K00658	mtj:J112_11875
ko:K07071	mtj:J112_11880
ko:K03801	mtj:J112_11885
ko:K03644	mtj:J112_11890
ko:K01915	mtj:J112_11905
ko:K00982	mtj:J112_11910
ko:K01915	mtj:J112_11915
ko:K00606	mtj:J112_11935
ko:K09990	mtj:J112_11950
ko:K07164	mtj:J112_11960
ko:K00817	mtj:J112_11970
ko:K00937	mtj:J112_15975
ko:K03530	mtj:J112_15985
ko:K01704	mtj:J112_15990
ko:K01703	mtj:J112_15995
ko:K00052	mtj:J112_16030
ko:K02069	mtj:J112_16060
ko:K00053	mtj:J112_16070
ko:K01653	mtj:J112_16075
ko:K01652	mtj:J112_16080
ko:K15977	mtj:J112_16090
ko:K02434	mtj:J112_16110
ko:K02435	mtj:J112_16130
ko:K01972	mtj:J112_16140
ko:K00566	mtj:J112_16200
ko:K04487	mtj:J112_16205
ko:K03522	mtj:J112_16220
ko:K03521	mtj:J112_16225
ko:K00574	mtj:J112_02380
ko:K09701	mtj:J112_02385
ko:K09959	mtj:J112_02445
ko:K00382	mtj:J112_02460
ko:K07110	mtj:J112_02475
ko:K01637	mtj:J112_02485
ko:K00074	mtj:J112_02490
ko:K00574	mtj:J112_02495
ko:K00574	mtj:J112_02500
ko:K00075	mtj:J112_02565
ko:K06895	mtj:J112_02600
ko:K01524	mtj:J112_02645
ko:K02108	mtj:J112_07030
ko:K02110	mtj:J112_07035
ko:K02109	mtj:J112_07040
ko:K02111	mtj:J112_07050
ko:K02115	mtj:J112_07055
ko:K02112	mtj:J112_07060
ko:K02114	mtj:J112_07065
ko:K00790	mtj:J112_07085
ko:K13529	mtj:J112_07095
ko:K05838	mtj:J112_07135
ko:K16147	mtj:J112_07160
ko:K00688	mtj:J112_07165
ko:K00763	mtj:J112_07175
ko:K06891	mtj:J112_07180
ko:K01776	mtj:J112_07215
ko:K00989	mtj:J112_07225
ko:K02078	mtj:J112_07245
ko:K02227	mtj:J112_12005
ko:K00163	mtj:J112_12035
ko:K00645	mtj:J112_12045
ko:K02078	mtj:J112_12050
ko:K00067	mtj:J112_17560
ko:K01673	mtj:J112_17595
ko:K01588	mtj:J112_17605
ko:K01589	mtj:J112_17610
ko:K03524	mtj:J112_17625
ko:K06287	mtj:J112_17640
ko:K02426	mtj:J112_17650
ko:K02931	mtj:J112_03830
ko:K02954	mtj:J112_03835
ko:K02994	mtj:J112_03840
ko:K02933	mtj:J112_03845
ko:K02881	mtj:J112_03850
ko:K02988	mtj:J112_03855
ko:K02907	mtj:J112_03860
ko:K02876	mtj:J112_03865
ko:K04773	mtj:J112_03870
ko:K01628	mtj:J112_03885
ko:K03076	mtj:J112_03910
ko:K01265	mtj:J112_03920
ko:K03088	mtj:J112_03925
ko:K00140	mtj:J112_04050
ko:K01012	mtj:J112_08515
ko:K03517	mtj:J112_08540
ko:K00278	mtj:J112_08545
ko:K00767	mtj:J112_08550
ko:K00013	mtj:J112_08565
ko:K00817	mtj:J112_08570
ko:K01693	mtj:J112_08575
ko:K02501	mtj:J112_08580
ko:K02500	mtj:J112_08595
ko:K07300	mtj:J112_08605
ko:K03564	mtj:J112_08610
ko:K01657	mtj:J112_08615
ko:K01609	mtj:J112_08625
ko:K01696	mtj:J112_08630
ko:K01695	mtj:J112_08635
ko:K00873	mtj:J112_08655
ko:K10805	mtj:J112_08660
ko:K00426	mtj:J112_08680
ko:K00425	mtj:J112_08685
ko:K03652	mtj:J112_09010
ko:K01866	mtj:J112_09015
ko:K06442	mtj:J112_09040
ko:K00858	mtj:J112_09045
ko:K03631	mtj:J112_09050
ko:K01937	mtj:J112_09065
ko:K11737	mtj:J112_09090
ko:K03321	mtj:J112_09110
ko:K05896	mtj:J112_09120
ko:K06024	mtj:J112_09125
ko:K06178	mtj:J112_09130
ko:K00945	mtj:J112_09135
ko:K03977	mtj:J112_09140
ko:K00074	mtj:J112_09150
ko:K02575	mtj:J112_09270
ko:K01969	mtj:J112_13420
ko:K01029	mtj:J112_13425
ko:K01028	mtj:J112_13430
ko:K07124	mtj:J112_13455
ko:K06915	mtj:J112_13460
ko:K13288	mtj:J112_13465
ko:K03564	mtj:J112_13525
ko:K00997	mtj:J112_13535
ko:K01584	mtj:J112_13590
ko:K03625	mtj:J112_13600
ko:K02356	mtj:J112_13605
ko:K03786	mtj:J112_13620
ko:K01735	mtj:J112_13625
ko:K00891	mtj:J112_13630
ko:K01736	mtj:J112_13635
ko:K03724	mtj:J112_17710
ko:K02039	mtj:J112_17735
ko:K00111	mtj:J112_17740
ko:K00382	mtj:J112_17745
ko:K00761	mtj:J112_17775
ko:K00242	mtj:J112_17825
ko:K00239	mtj:J112_17830
ko:K00240	mtj:J112_17835
ko:K03637	mtj:J112_17860
ko:K03088	mtj:J112_17890
ko:K01443	mtj:J112_17910
ko:K07058	mtj:J112_17925
ko:K01867	mtj:J112_17930
ko:K00031	mtj:J112_17945
ko:K01740	mtj:J112_17950
ko:K00641	mtj:J112_17955
ko:K01945	mtj:J112_04150
ko:K01756	mtj:J112_04175
ko:K01923	mtj:J112_04190
ko:K01354	mtj:J112_04195
ko:K01952	mtj:J112_04235
ko:K01952	mtj:J112_04240
ko:K03710	mtj:J112_04255
ko:K00382	mtj:J112_04265
ko:K07223	mtj:J112_04295
ko:K01952	mtj:J112_04315
ko:K00764	mtj:J112_04340
ko:K01933	mtj:J112_04345
ko:K06980	mtj:J112_04355
ko:K02036	mtj:J112_04405
ko:K02039	mtj:J112_04410
ko:K00111	mtj:J112_12075
ko:K03820	mtj:J112_12135
ko:K03306	mtj:J112_12230
ko:K01521	mtj:J112_12260
ko:K14155	mtj:J112_12280
ko:K09925	mtj:J112_12285
ko:K02013	mtj:J112_16290
ko:K01079	mtj:J112_16295
ko:K02016	mtj:J112_16310
ko:K13979	mtj:J112_16315
ko:K02346	mtj:J112_16370
ko:K06200	mtj:J112_16405
ko:K15977	mtj:J112_16415
ko:K06199	mtj:J112_16440
ko:K06199	mtj:J112_16445
ko:K01644	mtj:J112_16475
ko:K01875	mtj:J112_20605
ko:K01126	mtj:J112_20645
ko:K04564	mtj:J112_20680
ko:K02553	mtj:J112_20715
ko:K00266	mtj:J112_20740
ko:K00286	mtj:J112_02670
ko:K00574	mtj:J112_02695
ko:K02492	mtj:J112_02725
ko:K01749	mtj:J112_02730
ko:K13542	mtj:J112_02735
ko:K01698	mtj:J112_02740
ko:K11735	mtj:J112_02795
ko:K01845	mtj:J112_02805
ko:K07399	mtj:J112_02825
ko:K02548	mtj:J112_02860
ko:K01911	mtj:J112_02905
ko:K03306	mtj:J112_02920
ko:K01661	mtj:J112_02935
ko:K09136	mtj:J112_07410
ko:K02825	mtj:J112_07430
ko:K00609	mtj:J112_07435
ko:K01465	mtj:J112_07440
ko:K01956	mtj:J112_07450
ko:K01955	mtj:J112_07455
ko:K01591	mtj:J112_07460
ko:K00942	mtj:J112_07485
ko:K03060	mtj:J112_07490
ko:K13038	mtj:J112_07495
ko:K00789	mtj:J112_07500
ko:K04066	mtj:J112_07550
ko:K04079	mtj:J112_12305
ko:K03568	mtj:J112_12410
ko:K16785	mtj:J112_12470
ko:K16786	mtj:J112_12475
ko:K16787	mtj:J112_12475
ko:K02575	mtj:J112_12495
ko:K01738	mtj:J112_12525
ko:K00640	mtj:J112_12530
ko:K01129	mtj:J112_12575
ko:K09781	mtj:J112_16570
ko:K03664	mtj:J112_16620
ko:K09811	mtj:J112_16625
ko:K09812	mtj:J112_16630
ko:K02836	mtj:J112_16645
ko:K00528	mtj:J112_16650
ko:K03639	mtj:J112_16665
ko:K03637	mtj:J112_16675
ko:K03636	mtj:J112_16680
ko:K03980	mtj:J112_21015
ko:K03088	mtj:J112_21020
ko:K00384	mtj:J112_21030
ko:K03671	mtj:J112_21035
ko:K03501	mtj:J112_21060
ko:K08998	mtj:J112_21080
ko:K03536	mtj:J112_21085
ko:K02914	mtj:J112_21090
ko:K03921	mtj:J112_04425
ko:K08641	mtj:J112_04505
ko:K00161	mtj:J112_04530
ko:K01738	mtj:J112_04555
ko:K14267	mtj:J112_04610
ko:K03637	mtj:J112_04645
ko:K03704	mtj:J112_04685
ko:K02945	mtj:J112_08720
ko:K00859	mtj:J112_08725
ko:K03702	mtj:J112_08735
ko:K03701	mtj:J112_08760
ko:K04567	mtj:J112_08780
ko:K02520	mtj:J112_08785
ko:K02916	mtj:J112_08790
ko:K02887	mtj:J112_08795
ko:K03437	mtj:J112_08800
ko:K01889	mtj:J112_08825
ko:K01890	mtj:J112_08830
ko:K00145	mtj:J112_08840
ko:K00620	mtj:J112_08845
ko:K00930	mtj:J112_08850
ko:K00611	mtj:J112_08860
ko:K03402	mtj:J112_08865
ko:K01940	mtj:J112_08870
ko:K01755	mtj:J112_08875
ko:K00705	mtj:J112_09530
ko:K02654	mtj:J112_13700
ko:K00014	mtj:J112_13705
ko:K07082	mtj:J112_13710
ko:K07447	mtj:J112_13715
ko:K01872	mtj:J112_13720
ko:K07478	mtj:J112_13740
ko:K02003	mtj:J112_13760
ko:K07001	mtj:J112_13765
ko:K01876	mtj:J112_13800
ko:K00077	mtj:J112_13805
ko:K01892	mtj:J112_13840
ko:K00759	mtj:J112_13860
ko:K03074	mtj:J112_13870
ko:K03072	mtj:J112_13875
ko:K03210	mtj:J112_13880
ko:K03551	mtj:J112_13905
ko:K03550	mtj:J112_13910
ko:K01159	mtj:J112_13915
ko:K00797	mtj:J112_13950
ko:K08681	mtj:J112_13970
ko:K10805	mtj:J112_13975
ko:K01491	mtj:J112_18055
ko:K03216	mtj:J112_18110
ko:K01087	mtj:J112_18145
ko:K01662	mtj:J112_18185
ko:K03527	mtj:J112_18200
ko:K00574	mtj:J112_18255
ko:K14161	mtj:J112_18265
ko:K01951	mtj:J112_18275
ko:K02291	mtj:J112_18280
ko:K06215	mtj:J112_13980
ko:K02551	mtj:J112_02975
ko:K03183	mtj:J112_02990
ko:K03799	mtj:J112_03015
ko:K00057	mtj:J112_03020
ko:K09767	mtj:J112_03035
ko:K00763	mtj:J112_03075
ko:K07282	mtj:J112_03080
ko:K06996	mtj:J112_03095
ko:K09122	mtj:J112_03105
ko:K02066	mtj:J112_03145
ko:K02066	mtj:J112_03150
ko:K07133	mtj:J112_03195
ko:K00604	mtj:J112_07570
ko:K03500	mtj:J112_07575
ko:K01783	mtj:J112_07580
ko:K11752	mtj:J112_07585
ko:K00793	mtj:J112_07600
ko:K14652	mtj:J112_07620
ko:K00794	mtj:J112_07625
ko:K03703	mtj:J112_07645
ko:K06958	mtj:J112_07650
ko:K00134	mtj:J112_07720
ko:K00927	mtj:J112_07725
ko:K01803	mtj:J112_07730
ko:K03075	mtj:J112_07745
ko:K01057	mtj:J112_07775
ko:K00036	mtj:J112_07785
ko:K00615	mtj:J112_07795
ko:K02259	mtj:J112_07825
ko:K01114	mtj:J112_12600
ko:K01114	mtj:J112_12615
ko:K01880	mtj:J112_12650
ko:K03584	mtj:J112_12675
ko:K07042	mtj:J112_12700
ko:K09761	mtj:J112_12730
ko:K03686	mtj:J112_12735
ko:K03705	mtj:J112_12740
ko:K07086	mtj:J112_12810
ko:K00390	mtj:J112_12835
ko:K02045	mtj:J112_12865
ko:K04069	mtj:J112_16830
ko:K00330	mtj:J112_16865
ko:K00331	mtj:J112_16870
ko:K00332	mtj:J112_16875
ko:K00333	mtj:J112_16880
ko:K00334	mtj:J112_16885
ko:K00337	mtj:J112_16900
ko:K00338	mtj:J112_16905
ko:K00339	mtj:J112_16910
ko:K00340	mtj:J112_16915
ko:K00341	mtj:J112_16920
ko:K00342	mtj:J112_16925
ko:K00343	mtj:J112_16930
ko:K03924	mtj:J112_16965
ko:K07133	mtj:J112_17045
ko:K00965	mtj:J112_03305
ko:K00965	mtj:J112_03310
ko:K00849	mtj:J112_03315
ko:K03581	mtj:J112_03365
ko:K03582	mtj:J112_03370
ko:K03583	mtj:J112_03375
ko:K02913	mtj:J112_03400
ko:K03073	mtj:J112_03420
ko:K02601	mtj:J112_03425
ko:K02867	mtj:J112_03430
ko:K02863	mtj:J112_03435
ko:K00574	mtj:J112_03440
ko:K00574	mtj:J112_03445
ko:K00574	mtj:J112_03450
ko:K00574	mtj:J112_03455
ko:K00645	mtj:J112_03480
ko:K02864	mtj:J112_03490
ko:K02470	mtj:J112_00025
ko:K02469	mtj:J112_00030
ko:K00459	mtj:J112_00120
ko:K07735	mtj:J112_00205
ko:K01869	mtj:J112_00220
ko:K01858	mtj:J112_00250
ko:K02990	mtj:J112_00285
ko:K02963	mtj:J112_00295
ko:K02939	mtj:J112_00300
ko:K00831	mtj:J112_04755
ko:K00528	mtj:J112_04765
ko:K01647	mtj:J112_04790
ko:K01647	mtj:J112_04835
ko:K06996	mtj:J112_04915
ko:K02168	mtj:J112_04950
ko:K03322	mtj:J112_04990
ko:K02040	mtj:J112_05010
ko:K02037	mtj:J112_05015
ko:K02038	mtj:J112_05020
ko:K02040	mtj:J112_05030
ko:K02036	mtj:J112_05035
ko:K07507	mtj:J112_09675
ko:K03885	mtj:J112_09680
ko:K02471	mtj:J112_09715
ko:K01652	mtj:J112_09720
ko:K03070	mtj:J112_09725
ko:K02437	mtj:J112_09750
ko:K08999	mtj:J112_09765
ko:K00281	mtj:J112_09775
ko:K06978	mtj:J112_09790
ko:K01638	mtj:J112_09800
ko:K01430	mtj:J112_09855
ko:K01429	mtj:J112_09860
ko:K01428	mtj:J112_09865
ko:K03188	mtj:J112_09870
ko:K03189	mtj:J112_09875
ko:K03190	mtj:J112_09880
ko:K03885	mtj:J112_09885
ko:K02020	mtj:J112_09900
ko:K02018	mtj:J112_09905
ko:K00275	mtj:J112_13985
ko:K00995	mtj:J112_14015
ko:K01868	mtj:J112_14025
ko:K14415	mtj:J112_14115
ko:K09771	mtj:J112_14160
ko:K03088	mtj:J112_18370
ko:K04077	mtj:J112_18385
ko:K04078	mtj:J112_18390
ko:K03789	mtj:J112_18400
ko:K06925	mtj:J112_18410
ko:K01775	mtj:J112_18415
ko:K00820	mtj:J112_18500
ko:K03431	mtj:J112_18525
ko:K02996	mtj:J112_18530
ko:K02871	mtj:J112_18535
ko:K03466	mtj:J112_18555
ko:K06173	mtj:J112_18590
ko:K02879	mtj:J112_18595
ko:K00031	mtj:J112_00355
ko:K01752	mtj:J112_00370
ko:K00600	mtj:J112_00375
ko:K02003	mtj:J112_00400
ko:K14155	mtj:J112_00410
ko:K12140	mtj:J112_00470
ko:K12141	mtj:J112_00480
ko:K02902	mtj:J112_00585
ko:K02040	mtj:J112_05040
ko:K02037	mtj:J112_05045
ko:K02038	mtj:J112_05050
ko:K10979	mtj:J112_05055
ko:K01810	mtj:J112_05095
ko:K03657	mtj:J112_05120
ko:K01903	mtj:J112_05135
ko:K01902	mtj:J112_05140
ko:K11175	mtj:J112_05160
ko:K00602	mtj:J112_05165
ko:K02911	mtj:J112_05290
ko:K03282	mtj:J112_05320
ko:K03594	mtj:J112_10000
ko:K01915	mtj:J112_10010
ko:K07560	mtj:J112_10110
ko:K08972	mtj:J112_10140
ko:K03782	mtj:J112_10170
