ko:K19078	suj:SAA6159_00613
ko:K02963	suj:SAA6159_00341
ko:K03387	suj:SAA6159_00355
ko:K06956	suj:SAA6159_00358
ko:K03816	suj:SAA6159_00362
ko:K01951	suj:SAA6159_00365
ko:K00995	suj:SAA6159_01138
ko:K09769	suj:SAA6159_01143
ko:K00174	suj:SAA6159_01144
ko:K00175	suj:SAA6159_01145
ko:K06168	suj:SAA6159_01147
ko:K03555	suj:SAA6159_01150
ko:K03572	suj:SAA6159_01151
ko:K02440	suj:SAA6159_01153
ko:K00864	suj:SAA6159_01154
ko:K00111	suj:SAA6159_01155
ko:K00791	suj:SAA6159_01157
ko:K03666	suj:SAA6159_01158
ko:K00432	suj:SAA6159_01159
ko:K03665	suj:SAA6159_01160
ko:K01915	suj:SAA6159_01163
ko:K01620	suj:SAA6159_01183
ko:K06131	suj:SAA6159_01185
ko:K06158	suj:SAA6159_01960
ko:K03789	suj:SAA6159_01963
ko:K06925	suj:SAA6159_01965
ko:K01687	suj:SAA6159_01966
ko:K01652	suj:SAA6159_01967
ko:K01653	suj:SAA6159_01968
ko:K00053	suj:SAA6159_01969
ko:K01649	suj:SAA6159_01970
ko:K04078	suj:SAA6159_01944
ko:K07078	suj:SAA6159_01947
ko:K07813	suj:SAA6159_01949
ko:K07707	suj:SAA6159_01952
ko:K00847	suj:SAA6159_01953
ko:K01193	suj:SAA6159_01954
ko:K03484	suj:SAA6159_01955
ko:K03320	suj:SAA6159_01956
ko:K07112	suj:SAA6159_01958
ko:K01926	suj:SAA6159_01959
ko:K01624	suj:SAA6159_02039
ko:K01937	suj:SAA6159_02041
ko:K07173	suj:SAA6159_02048
ko:K00756	suj:SAA6159_02050
ko:K04047	suj:SAA6159_02053
ko:K01809	suj:SAA6159_02057
ko:K02013	suj:SAA6159_02063
ko:K00820	suj:SAA6159_02064
ko:K00009	suj:SAA6159_02068
ko:K03431	suj:SAA6159_02070
ko:K01476	suj:SAA6159_02073
ko:K11068	suj:SAA6159_02081
ko:K07038	suj:SAA6159_02083
ko:K07002	suj:SAA6159_01759
ko:K00231	suj:SAA6159_01760
ko:K01772	suj:SAA6159_01761
ko:K01599	suj:SAA6159_01762
ko:K02503	suj:SAA6159_01766
ko:K06180	suj:SAA6159_01778
ko:K03216	suj:SAA6159_01784
ko:K00926	suj:SAA6159_02528
ko:K03758	suj:SAA6159_02529
ko:K00611	suj:SAA6159_02530
ko:K01809	suj:SAA6159_02538
ko:K01421	suj:SAA6159_02539
ko:K03070	suj:SAA6159_02545
ko:K03076	suj:SAA6159_02549
ko:K11936	suj:SAA6159_02562
ko:K11755	suj:SAA6159_02569
ko:K02500	suj:SAA6159_02570
ko:K01814	suj:SAA6159_02571
ko:K02501	suj:SAA6159_02572
ko:K01693	suj:SAA6159_02573
ko:K00817	suj:SAA6159_02574
ko:K03565	suj:SAA6159_01804
ko:K05520	suj:SAA6159_01806
ko:K07058	suj:SAA6159_01814
ko:K01265	suj:SAA6159_01819
ko:K02217	suj:SAA6159_01824
ko:K02346	suj:SAA6159_01826
ko:K03215	suj:SAA6159_01828
ko:K02434	suj:SAA6159_01830
ko:K02435	suj:SAA6159_01832
ko:K01972	suj:SAA6159_01835
ko:K03657	suj:SAA6159_01836
ko:K00013	suj:SAA6159_02575
ko:K00765	suj:SAA6159_02576
ko:K07146	suj:SAA6159_02586
ko:K01304	suj:SAA6159_02587
ko:K03319	suj:SAA6159_02589
ko:K05786	suj:SAA6159_02590
ko:K07241	suj:SAA6159_02592
ko:K03704	suj:SAA6159_02598
ko:K03501	suj:SAA6159_02603
ko:K03495	suj:SAA6159_02604
ko:K03650	suj:SAA6159_02605
ko:K03536	suj:SAA6159_02606
ko:K02914	suj:SAA6159_02607
ko:K02003	suj:SAA6159_p17
ko:K00052	suj:SAA6159_01971
ko:K01703	suj:SAA6159_01972
ko:K01704	suj:SAA6159_01973
ko:K01754	suj:SAA6159_01974
ko:K06959	suj:SAA6159_01978
ko:K01775	suj:SAA6159_01985
ko:K00997	suj:SAA6159_01986
ko:K01548	suj:SAA6159_01990
ko:K00266	suj:SAA6159_00422
ko:K02818	suj:SAA6159_00423
ko:K02819	suj:SAA6159_00423
ko:K02343	suj:SAA6159_00427
ko:K09747	suj:SAA6159_00428
ko:K06187	suj:SAA6159_00429
ko:K00943	suj:SAA6159_00433
ko:K02341	suj:SAA6159_00435
ko:K07461	suj:SAA6159_00439
ko:K07056	suj:SAA6159_00440
ko:K01874	suj:SAA6159_00441
ko:K03424	suj:SAA6159_00442
ko:K05985	suj:SAA6159_00443
ko:K02528	suj:SAA6159_00444
ko:K00919	suj:SAA6159_00446
ko:K06412	suj:SAA6159_00449
ko:K04042	suj:SAA6159_00450
ko:K00948	suj:SAA6159_00451
ko:K02897	suj:SAA6159_00452
ko:K01056	suj:SAA6159_00453
ko:K03723	suj:SAA6159_00454
ko:K07571	suj:SAA6159_00459
ko:K04075	suj:SAA6159_00460
ko:K00760	suj:SAA6159_00461
ko:K03798	suj:SAA6159_00462
ko:K04083	suj:SAA6159_00463
ko:K01738	suj:SAA6159_00464
ko:K00796	suj:SAA6159_00465
ko:K01633	suj:SAA6159_00466
ko:K00950	suj:SAA6159_00467
ko:K04567	suj:SAA6159_00468
ko:K02034	suj:SAA6159_01248
ko:K02039	suj:SAA6159_01252
ko:K02036	suj:SAA6159_01253
ko:K02038	suj:SAA6159_01254
ko:K02037	suj:SAA6159_01255
ko:K02040	suj:SAA6159_01256
ko:K00243	suj:SAA6159_01257
ko:K00928	suj:SAA6159_01259
ko:K00133	suj:SAA6159_01260
ko:K01714	suj:SAA6159_01261
ko:K00215	suj:SAA6159_01262
ko:K01775	suj:SAA6159_01265
ko:K01586	suj:SAA6159_01266
ko:K07734	suj:SAA6159_01267
ko:K03704	suj:SAA6159_01269
ko:K01512	suj:SAA6159_01271
ko:K03311	suj:SAA6159_01274
ko:K00658	suj:SAA6159_01279
ko:K00164	suj:SAA6159_01280
ko:K02563	suj:SAA6159_01285
ko:K03797	suj:SAA6159_01287
ko:K02952	suj:SAA6159_02133
ko:K02919	suj:SAA6159_02134
ko:K02518	suj:SAA6159_02135
ko:K03076	suj:SAA6159_02137
ko:K02876	suj:SAA6159_02138
ko:K02907	suj:SAA6159_02139
ko:K02988	suj:SAA6159_02140
ko:K02881	suj:SAA6159_02141
ko:K02933	suj:SAA6159_02142
ko:K02994	suj:SAA6159_02143
ko:K02954	suj:SAA6159_02144
ko:K02931	suj:SAA6159_02145
ko:K02895	suj:SAA6159_02146
ko:K02874	suj:SAA6159_02147
ko:K02961	suj:SAA6159_02148
ko:K02904	suj:SAA6159_02149
ko:K02878	suj:SAA6159_02150
ko:K02982	suj:SAA6159_02151
ko:K02890	suj:SAA6159_02152
ko:K02965	suj:SAA6159_02153
ko:K02886	suj:SAA6159_02154
ko:K02892	suj:SAA6159_02155
ko:K02926	suj:SAA6159_02156
ko:K02906	suj:SAA6159_02157
ko:K02946	suj:SAA6159_02158
ko:K06901	suj:SAA6159_02160
ko:K07088	suj:SAA6159_02164
ko:K03639	suj:SAA6159_02173
ko:K03752	suj:SAA6159_02174
ko:K03636	suj:SAA6159_02175
ko:K03753	suj:SAA6159_02177
ko:K03750	suj:SAA6159_02178
ko:K03637	suj:SAA6159_02179
ko:K03638	suj:SAA6159_02180
ko:K03466	suj:SAA6159_00268
ko:K03311	suj:SAA6159_00281
ko:K02003	suj:SAA6159_00285
ko:K03800	suj:SAA6159_00303
ko:K02445	suj:SAA6159_00311
ko:K00299	suj:SAA6159_00314
ko:K03621	suj:SAA6159_01082
ko:K00645	suj:SAA6159_01083
ko:K02078	suj:SAA6159_01085
ko:K03685	suj:SAA6159_01086
ko:K03529	suj:SAA6159_01087
ko:K03110	suj:SAA6159_01088
ko:K03106	suj:SAA6159_01090
ko:K02959	suj:SAA6159_01091
ko:K02860	suj:SAA6159_01092
ko:K00554	suj:SAA6159_01093
ko:K02884	suj:SAA6159_01094
ko:K14540	suj:SAA6159_01098
ko:K03470	suj:SAA6159_01099
ko:K01903	suj:SAA6159_01100
ko:K01902	suj:SAA6159_01101
ko:K04096	suj:SAA6159_01104
ko:K03168	suj:SAA6159_01105
ko:K04094	suj:SAA6159_01106
ko:K03733	suj:SAA6159_01107
ko:K01419	suj:SAA6159_01108
ko:K03667	suj:SAA6159_01109
ko:K03706	suj:SAA6159_01110
ko:K02967	suj:SAA6159_01111
ko:K02357	suj:SAA6159_01112
ko:K09903	suj:SAA6159_01113
ko:K02838	suj:SAA6159_01114
ko:K00806	suj:SAA6159_01115
ko:K00981	suj:SAA6159_01116
ko:K11749	suj:SAA6159_01117
ko:K01881	suj:SAA6159_01118
ko:K03763	suj:SAA6159_01119
ko:K09748	suj:SAA6159_01120
ko:K02600	suj:SAA6159_01121
ko:K07742	suj:SAA6159_01122
ko:K02519	suj:SAA6159_01124
ko:K02834	suj:SAA6159_01125
ko:K11753	suj:SAA6159_01127
ko:K02956	suj:SAA6159_01128
ko:K00962	suj:SAA6159_01129
ko:K03466	suj:SAA6159_01131
ko:K14194	suj:SAA6159_00516
ko:K14194	suj:SAA6159_00517
ko:K09007	suj:SAA6159_00520
ko:K08094	suj:SAA6159_00525
ko:K03762	suj:SAA6159_00527
ko:K00868	suj:SAA6159_00533
ko:K03648	suj:SAA6159_00534
ko:K06885	suj:SAA6159_00560
ko:K01887	suj:SAA6159_00564
ko:K02016	suj:SAA6159_00566
ko:K02015	suj:SAA6159_00567
ko:K03530	suj:SAA6159_01337
ko:K00057	suj:SAA6159_01338
ko:K03977	suj:SAA6159_01339
ko:K02945	suj:SAA6159_01340
ko:K00945	suj:SAA6159_01341
ko:K03654	suj:SAA6159_01345
ko:K02493	suj:SAA6159_02031
ko:K02835	suj:SAA6159_02032
ko:K02909	suj:SAA6159_02034
ko:K03628	suj:SAA6159_02035
ko:K00790	suj:SAA6159_02038
ko:K01547	suj:SAA6159_01991
ko:K01546	suj:SAA6159_01992
ko:K07646	suj:SAA6159_01993
ko:K07667	suj:SAA6159_01994
ko:K01929	suj:SAA6159_01996
ko:K01921	suj:SAA6159_01997
ko:K05837	suj:SAA6159_01998
ko:K06131	suj:SAA6159_02002
ko:K06950	suj:SAA6159_02003
ko:K03217	suj:SAA6159_02004
ko:K00788	suj:SAA6159_02005
ko:K00878	suj:SAA6159_02006
ko:K00941	suj:SAA6159_02007
ko:K03707	suj:SAA6159_02008
ko:K02372	suj:SAA6159_02012
ko:K00790	suj:SAA6159_02013
ko:K02114	suj:SAA6159_02016
ko:K02112	suj:SAA6159_02017
ko:K02115	suj:SAA6159_02018
ko:K02111	suj:SAA6159_02019
ko:K02113	suj:SAA6159_02020
ko:K02109	suj:SAA6159_02021
ko:K02110	suj:SAA6159_02022
ko:K02108	suj:SAA6159_02023
ko:K00761	suj:SAA6159_02026
ko:K00600	suj:SAA6159_02027
ko:K01468	suj:SAA6159_02235
ko:K01712	suj:SAA6159_02236
ko:K01807	suj:SAA6159_02240
ko:K09771	suj:SAA6159_02243
ko:K03652	suj:SAA6159_02247
ko:K03312	suj:SAA6159_02248
ko:K03284	suj:SAA6159_02251
ko:K07107	suj:SAA6159_02252
ko:K07552	suj:SAA6159_02259
ko:K00116	suj:SAA6159_02269
ko:K03303	suj:SAA6159_02270
ko:K08996	suj:SAA6159_00162
ko:K00930	suj:SAA6159_00163
ko:K00620	suj:SAA6159_00164
ko:K00145	suj:SAA6159_00165
ko:K03311	suj:SAA6159_00167
ko:K07106	suj:SAA6159_00173
ko:K01153	suj:SAA6159_00176
ko:K02034	suj:SAA6159_00182
ko:K01118	suj:SAA6159_00186
ko:K15771	suj:SAA6159_00190
ko:K15772	suj:SAA6159_00191
ko:K02012	suj:SAA6159_00199
ko:K00656	suj:SAA6159_00200
ko:K04069	suj:SAA6159_00201
ko:K01126	suj:SAA6159_00202
ko:K07516	suj:SAA6159_00206
ko:K00252	suj:SAA6159_00207
ko:K00954	suj:SAA6159_00979
ko:K07040	suj:SAA6159_00981
ko:K02911	suj:SAA6159_00982
ko:K02016	suj:SAA6159_00987
ko:K02015	suj:SAA6159_00988
ko:K08600	suj:SAA6159_00989
ko:K03437	suj:SAA6159_00991
ko:K01889	suj:SAA6159_00992
ko:K01890	suj:SAA6159_00993
ko:K09888	suj:SAA6159_00995
ko:K02347	suj:SAA6159_00997
ko:K07456	suj:SAA6159_00998
ko:K03671	suj:SAA6159_00999
ko:K03703	suj:SAA6159_01000
ko:K00239	suj:SAA6159_01002
ko:K00240	suj:SAA6159_01003
ko:K01776	suj:SAA6159_01004
ko:K07095	suj:SAA6159_01006
ko:K11032	suj:SAA6159_01014
ko:K00611	suj:SAA6159_01019
ko:K00926	suj:SAA6159_01020
ko:K08987	suj:SAA6159_00373
ko:K03427	suj:SAA6159_00386
ko:K01154	suj:SAA6159_00387
ko:K05577	suj:SAA6159_00403
ko:K09822	suj:SAA6159_00404
ko:K03928	suj:SAA6159_00407
ko:K03308	suj:SAA6159_00408
ko:K02071	suj:SAA6159_00411
ko:K02072	suj:SAA6159_00412
ko:K02073	suj:SAA6159_00413
ko:K07778	suj:SAA6159_01188
ko:K00928	suj:SAA6159_01194
ko:K00003	suj:SAA6159_01195
ko:K01733	suj:SAA6159_01196
ko:K00872	suj:SAA6159_01197
ko:K03781	suj:SAA6159_01201
ko:K02913	suj:SAA6159_01202
ko:K02954	suj:SAA6159_01203
ko:K00364	suj:SAA6159_01204
ko:K01356	suj:SAA6159_01206
ko:K00615	suj:SAA6159_01209
ko:K03547	suj:SAA6159_01212
ko:K03282	suj:SAA6159_01214
ko:K01681	suj:SAA6159_01216
ko:K07107	suj:SAA6159_01217
ko:K08591	suj:SAA6159_01219
ko:K02622	suj:SAA6159_01220
ko:K02621	suj:SAA6159_01221
ko:K03310	suj:SAA6159_01222
ko:K03480	suj:SAA6159_01223
ko:K14205	suj:SAA6159_01225
ko:K02313	suj:SAA6159_00001
ko:K02338	suj:SAA6159_00002
ko:K03629	suj:SAA6159_00004
ko:K02470	suj:SAA6159_00005
ko:K02469	suj:SAA6159_00006
ko:K01745	suj:SAA6159_00008
ko:K01875	suj:SAA6159_00009
ko:K00641	suj:SAA6159_00012
ko:K02939	suj:SAA6159_00015
ko:K01939	suj:SAA6159_00017
ko:K00783	suj:SAA6159_00024
ko:K01126	suj:SAA6159_00029
ko:K03655	suj:SAA6159_00043
ko:K03427	suj:SAA6159_00054
ko:K03695	suj:SAA6159_00834
ko:K00648	suj:SAA6159_00839
ko:K09458	suj:SAA6159_00840
ko:K15581	suj:SAA6159_00843
ko:K15580	suj:SAA6159_00847
ko:K15581	suj:SAA6159_00848
ko:K01867	suj:SAA6159_00853
ko:K08602	suj:SAA6159_00857
ko:K06886	suj:SAA6159_00859
ko:K00858	suj:SAA6159_00863
ko:K06180	suj:SAA6159_00864
ko:K06213	suj:SAA6159_00865
ko:K00208	suj:SAA6159_00867
ko:K03310	suj:SAA6159_00869
ko:K02837	suj:SAA6159_00876
ko:K01839	suj:SAA6159_00122
ko:K02042	suj:SAA6159_00123
ko:K02042	suj:SAA6159_00124
ko:K02041	suj:SAA6159_00125
ko:K02044	suj:SAA6159_00126
ko:K04072	suj:SAA6159_00132
ko:K13012	suj:SAA6159_00145
ko:K00426	suj:SAA6159_00943
ko:K02472	suj:SAA6159_00147
ko:K09790	suj:SAA6159_00150
ko:K00602	suj:SAA6159_00929
ko:K01945	suj:SAA6159_00930
ko:K06969	suj:SAA6159_00937
ko:K00425	suj:SAA6159_00942
ko:K01462	suj:SAA6159_00947
ko:K00161	suj:SAA6159_00949
ko:K00162	suj:SAA6159_00950
ko:K00627	suj:SAA6159_00951
ko:K00382	suj:SAA6159_00952
ko:K03322	suj:SAA6159_00961
ko:K06207	suj:SAA6159_00965
ko:K03588	suj:SAA6159_00968
ko:K02259	suj:SAA6159_00970
ko:K01821	suj:SAA6159_01228
ko:K01657	suj:SAA6159_01233
ko:K00766	suj:SAA6159_01235
ko:K01609	suj:SAA6159_01236
ko:K01817	suj:SAA6159_01237
ko:K01695	suj:SAA6159_01240
ko:K02015	suj:SAA6159_02086
ko:K02015	suj:SAA6159_02087
ko:K02016	suj:SAA6159_02088
ko:K02787	suj:SAA6159_02101
ko:K02788	suj:SAA6159_02101
ko:K12410	suj:SAA6159_02108
ko:K01575	suj:SAA6159_02118
ko:K01652	suj:SAA6159_02119
ko:K02996	suj:SAA6159_02124
ko:K02871	suj:SAA6159_02125
ko:K06173	suj:SAA6159_02126
ko:K02879	suj:SAA6159_02130
ko:K03040	suj:SAA6159_02131
ko:K02948	suj:SAA6159_02132
ko:K08976	suj:SAA6159_00972
ko:K01126	suj:SAA6159_00975
ko:K05916	suj:SAA6159_00217
ko:K02773	suj:SAA6159_00222
ko:K02774	suj:SAA6159_00223
ko:K01756	suj:SAA6159_01839
ko:K00763	suj:SAA6159_01845
ko:K00491	suj:SAA6159_01846
ko:K01114	suj:SAA6159_01938
ko:K04077	suj:SAA6159_01943
ko:K05352	suj:SAA6159_00229
ko:K07322	suj:SAA6159_00236
ko:K07704	suj:SAA6159_00237
ko:K05338	suj:SAA6159_00239
ko:K05339	suj:SAA6159_00240
ko:K04561	suj:SAA6159_00241
ko:K03489	suj:SAA6159_00242
ko:K01223	suj:SAA6159_00244
ko:K06726	suj:SAA6159_00248
ko:K02529	suj:SAA6159_00250
ko:K01442	suj:SAA6159_00253
ko:K03925	suj:SAA6159_01029
ko:K03438	suj:SAA6159_01030
ko:K01000	suj:SAA6159_01033
ko:K01925	suj:SAA6159_01034
ko:K03589	suj:SAA6159_01035
ko:K03590	suj:SAA6159_01036
ko:K03531	suj:SAA6159_01037
ko:K05810	suj:SAA6159_01038
ko:K06997	suj:SAA6159_01039
ko:K09772	suj:SAA6159_01040
ko:K02221	suj:SAA6159_01041
ko:K04074	suj:SAA6159_01043
ko:K01870	suj:SAA6159_01044
ko:K03101	suj:SAA6159_01049
ko:K06180	suj:SAA6159_01050
ko:K02825	suj:SAA6159_01051
ko:K00609	suj:SAA6159_01053
ko:K01465	suj:SAA6159_01054
ko:K01956	suj:SAA6159_01055
ko:K01955	suj:SAA6159_01056
ko:K01591	suj:SAA6159_01057
ko:K00762	suj:SAA6159_01058
ko:K00942	suj:SAA6159_01062
ko:K03060	suj:SAA6159_01063
ko:K13038	suj:SAA6159_01064
ko:K04066	suj:SAA6159_01065
ko:K01462	suj:SAA6159_01068
ko:K00604	suj:SAA6159_01069
ko:K03500	suj:SAA6159_01070
ko:K06941	suj:SAA6159_01071
ko:K06949	suj:SAA6159_01074
ko:K01783	suj:SAA6159_01075
ko:K02902	suj:SAA6159_01077
ko:K03655	suj:SAA6159_01080
ko:K00375	suj:SAA6159_00471
ko:K06215	suj:SAA6159_00472
ko:K08681	suj:SAA6159_00473
ko:K11535	suj:SAA6159_00474
ko:K03696	suj:SAA6159_00478
ko:K04485	suj:SAA6159_00479
ko:K00640	suj:SAA6159_00482
ko:K01883	suj:SAA6159_00483
ko:K11145	suj:SAA6159_00484
ko:K03218	suj:SAA6159_00485
ko:K06962	suj:SAA6159_00486
ko:K03091	suj:SAA6159_00487
ko:K03073	suj:SAA6159_00488
ko:K02601	suj:SAA6159_00489
ko:K02867	suj:SAA6159_00490
ko:K02863	suj:SAA6159_00491
ko:K02864	suj:SAA6159_00492
ko:K02935	suj:SAA6159_00493
ko:K03043	suj:SAA6159_00496
ko:K03046	suj:SAA6159_00497
ko:K07590	suj:SAA6159_00498
ko:K02950	suj:SAA6159_00499
ko:K02992	suj:SAA6159_00500
ko:K02355	suj:SAA6159_00501
ko:K02358	suj:SAA6159_00502
ko:K05523	suj:SAA6159_00505
ko:K00826	suj:SAA6159_00508
ko:K01091	suj:SAA6159_00509
ko:K15519	suj:SAA6159_00510
ko:K15518	suj:SAA6159_00511
ko:K14194	suj:SAA6159_00515
ko:K09125	suj:SAA6159_01298
ko:K08170	suj:SAA6159_01301
ko:K01754	suj:SAA6159_01303
ko:K00259	suj:SAA6159_01304
ko:K07444	suj:SAA6159_01309
ko:K05366	suj:SAA6159_01315
ko:K10773	suj:SAA6159_01317
ko:K01893	suj:SAA6159_01319
ko:K03524	suj:SAA6159_01321
ko:K06973	suj:SAA6159_01325
ko:K00800	suj:SAA6159_01329
ko:K01735	suj:SAA6159_01330
ko:K01736	suj:SAA6159_01331
ko:K00940	suj:SAA6159_01333
ko:K03183	suj:SAA6159_01335
ko:K02018	suj:SAA6159_02183
ko:K02020	suj:SAA6159_02184
ko:K02379	suj:SAA6159_02185
ko:K03523	suj:SAA6159_02187
ko:K02016	suj:SAA6159_02189
ko:K08717	suj:SAA6159_02191
ko:K01430	suj:SAA6159_02192
ko:K01429	suj:SAA6159_02193
ko:K01428	suj:SAA6159_02194
ko:K03187	suj:SAA6159_02195
ko:K03188	suj:SAA6159_02196
ko:K03189	suj:SAA6159_02197
ko:K03190	suj:SAA6159_02198
ko:K03315	suj:SAA6159_02204
ko:K09940	suj:SAA6159_02206
ko:K00123	suj:SAA6159_02213
ko:K03453	suj:SAA6159_02225
ko:K02749	suj:SAA6159_02227
ko:K02750	suj:SAA6159_02227
ko:K03481	suj:SAA6159_02228
ko:K09936	suj:SAA6159_00574
ko:K05566	suj:SAA6159_00579
ko:K05567	suj:SAA6159_00580
ko:K05569	suj:SAA6159_00582
ko:K05571	suj:SAA6159_00584
ko:K05946	suj:SAA6159_00591
ko:K02013	suj:SAA6159_00601
ko:K02015	suj:SAA6159_00602
ko:K02015	suj:SAA6159_00603
ko:K05878	suj:SAA6159_00604
ko:K05879	suj:SAA6159_00605
ko:K07220	suj:SAA6159_00617
ko:K03306	suj:SAA6159_00618
ko:K06890	suj:SAA6159_00620
ko:K07651	suj:SAA6159_01420
ko:K07775	suj:SAA6159_01421
ko:K06178	suj:SAA6159_01422
ko:K06024	suj:SAA6159_01423
ko:K05896	suj:SAA6159_01424
ko:K07124	suj:SAA6159_01431
ko:K00286	suj:SAA6159_01432
ko:K00036	suj:SAA6159_01434
ko:K00887	suj:SAA6159_01504
ko:K16301	suj:SAA6159_00318
ko:K05352	suj:SAA6159_00233
ko:K05311	suj:SAA6159_00728
ko:K00134	suj:SAA6159_00729
ko:K00927	suj:SAA6159_00730
ko:K01803	suj:SAA6159_00731
ko:K15633	suj:SAA6159_00732
ko:K01689	suj:SAA6159_00733
ko:K03075	suj:SAA6159_00735
ko:K03928	suj:SAA6159_00736
ko:K12573	suj:SAA6159_00737
ko:K03664	suj:SAA6159_00738
ko:K03704	suj:SAA6159_00748
ko:K06895	suj:SAA6159_00757
ko:K03785	suj:SAA6159_00760
ko:K02437	suj:SAA6159_00764
ko:K07476	suj:SAA6159_00766
ko:K02071	suj:SAA6159_00768
ko:K02072	suj:SAA6159_00769
ko:K02073	suj:SAA6159_00770
ko:K09013	suj:SAA6159_00773
ko:K09015	suj:SAA6159_00774
ko:K11717	suj:SAA6159_00775
ko:K09014	suj:SAA6159_00777
ko:K03624	suj:SAA6159_01543
ko:K00876	suj:SAA6159_01544
ko:K08303	suj:SAA6159_01545
ko:K07447	suj:SAA6159_01549
ko:K01872	suj:SAA6159_01551
ko:K03581	suj:SAA6159_01552
ko:K00566	suj:SAA6159_01554
ko:K04487	suj:SAA6159_01555
ko:K07478	suj:SAA6159_01560
ko:K01876	suj:SAA6159_01562
ko:K01892	suj:SAA6159_01563
ko:K01448	suj:SAA6159_01564
ko:K07560	suj:SAA6159_01565
ko:K00759	suj:SAA6159_01567
ko:K07462	suj:SAA6159_01568
ko:K12257	suj:SAA6159_01569
ko:K03210	suj:SAA6159_01570
ko:K00773	suj:SAA6159_01571
ko:K07568	suj:SAA6159_01572
ko:K03551	suj:SAA6159_01573
ko:K03550	suj:SAA6159_01574
ko:K06209	suj:SAA6159_01575
ko:K03979	suj:SAA6159_01576
ko:K02899	suj:SAA6159_01577
ko:K02888	suj:SAA6159_01579
ko:K03571	suj:SAA6159_01580
ko:K03570	suj:SAA6159_01581
ko:K03630	suj:SAA6159_01586
ko:K11754	suj:SAA6159_01588
ko:K01873	suj:SAA6159_01589
ko:K01246	suj:SAA6159_01590
ko:K13853	suj:SAA6159_01660
ko:K01924	suj:SAA6159_01663
ko:K03466	suj:SAA6159_01664
ko:K06878	suj:SAA6159_01665
ko:K03439	suj:SAA6159_01671
ko:K00824	suj:SAA6159_01673
ko:K07007	suj:SAA6159_01678
ko:K01869	suj:SAA6159_01681
ko:K07139	suj:SAA6159_01683
ko:K00318	suj:SAA6159_01687
ko:K00794	suj:SAA6159_01688
ko:K14652	suj:SAA6159_01689
ko:K00793	suj:SAA6159_01690
ko:K11752	suj:SAA6159_01691
ko:K03893	suj:SAA6159_01694
ko:K06199	suj:SAA6159_01704
ko:K06199	suj:SAA6159_01705
ko:K00789	suj:SAA6159_01708
ko:K01610	suj:SAA6159_01709
ko:K07107	suj:SAA6159_02433
ko:K04759	suj:SAA6159_02446
ko:K04758	suj:SAA6159_02447
ko:K03778	suj:SAA6159_02455
ko:K09793	suj:SAA6159_00629
ko:K06966	suj:SAA6159_00635
ko:K09768	suj:SAA6159_00636
ko:K06153	suj:SAA6159_00638
ko:K01669	suj:SAA6159_00646
ko:K02768	suj:SAA6159_00655
ko:K02769	suj:SAA6159_00655
ko:K02770	suj:SAA6159_00655
ko:K01443	suj:SAA6159_00656
ko:K10681	suj:SAA6159_00660
ko:K10682	suj:SAA6159_00661
ko:K10026	suj:SAA6159_00665
ko:K01737	suj:SAA6159_00666
ko:K06920	suj:SAA6159_00667
ko:K01665	suj:SAA6159_00669
