ko:K19405	ctrp:L11322_00711
ko:K03226	ctrp:L11322_00590
ko:K03228	ctrp:L11322_00592
ko:K02455	ctrp:L11322_00598
ko:K02453	ctrp:L11322_00600
ko:K03572	ctrp:L11322_00603
ko:K01868	ctrp:L11322_00609
ko:K01867	ctrp:L11322_00613
ko:K03702	ctrp:L11322_00614
ko:K01689	ctrp:L11322_00615
ko:K00240	ctrp:L11322_00619
ko:K00239	ctrp:L11322_00620
ko:K03424	ctrp:L11322_00623
ko:K03562	ctrp:L11322_00625
ko:K03641	ctrp:L11322_00628
ko:K03640	ctrp:L11322_00629
ko:K03648	ctrp:L11322_00638
ko:K03657	ctrp:L11322_00639
ko:K03092	ctrp:L11322_00640
ko:K06137	ctrp:L11322_00641
ko:K13941	ctrp:L11322_00644
ko:K01633	ctrp:L11322_00645
ko:K03086	ctrp:L11322_00646
ko:K02968	ctrp:L11322_00648
ko:K03980	ctrp:L11322_00655
ko:K01151	ctrp:L11322_00656
ko:K02986	ctrp:L11322_00657
ko:K07146	ctrp:L11322_00658
ko:K13789	ctrp:L11322_00659
ko:K01698	ctrp:L11322_00665
ko:K00346	ctrp:L11322_00666
ko:K03582	ctrp:L11322_00672
ko:K03583	ctrp:L11322_00673
ko:K03168	ctrp:L11322_00676
ko:K02221	ctrp:L11322_00678
ko:K03581	ctrp:L11322_00685
ko:K06861	ctrp:L11322_00687
ko:K01627	ctrp:L11322_00689
ko:K03301	ctrp:L11322_00068
ko:K03551	ctrp:L11322_00042
ko:K01255	ctrp:L11322_00047
ko:K02340	ctrp:L11322_00049
ko:K07056	ctrp:L11322_00050
ko:K00164	ctrp:L11322_00056
ko:K00658	ctrp:L11322_00057
ko:K05810	ctrp:L11322_00058
ko:K03526	ctrp:L11322_00059
ko:K02400	ctrp:L11322_00063
ko:K02405	ctrp:L11322_00064
ko:K01866	ctrp:L11322_00065
ko:K03596	ctrp:L11322_00067
ko:K00099	ctrp:L11322_00074
ko:K03629	ctrp:L11322_00077
ko:K02338	ctrp:L11322_00078
ko:K03664	ctrp:L11322_00079
ko:K03734	ctrp:L11322_00080
ko:K01491	ctrp:L11322_00081
ko:K02902	ctrp:L11322_00087
ko:K00705	ctrp:L11322_00088
ko:K04058	ctrp:L11322_00090
ko:K03230	ctrp:L11322_00091
ko:K03229	ctrp:L11322_00092
ko:K06942	ctrp:L11322_00093
ko:K11753	ctrp:L11322_00094
ko:K03321	ctrp:L11322_00913
ko:K03527	ctrp:L11322_00916
ko:K02528	ctrp:L11322_00366
ko:K06888	ctrp:L11322_00368
ko:K03523	ctrp:L11322_00372
ko:K01714	ctrp:L11322_00375
ko:K00928	ctrp:L11322_00376
ko:K00133	ctrp:L11322_00377
ko:K00215	ctrp:L11322_00378
ko:K00800	ctrp:L11322_00380
ko:K00891	ctrp:L11322_00381
ko:K01736	ctrp:L11322_00382
ko:K01735	ctrp:L11322_00383
ko:K13832	ctrp:L11322_00384
ko:K03758	ctrp:L11322_00388
ko:K00024	ctrp:L11322_00390
ko:K01810	ctrp:L11322_00392
ko:K03665	ctrp:L11322_00393
ko:K06167	ctrp:L11322_00394
ko:K09996	ctrp:L11322_00395
ko:K06966	ctrp:L11322_00402
ko:K09131	ctrp:L11322_00403
ko:K10206	ctrp:L11322_00405
ko:K01881	ctrp:L11322_00408
ko:K03705	ctrp:L11322_00409
ko:K03687	ctrp:L11322_00410
ko:K04043	ctrp:L11322_00411
ko:K12573	ctrp:L11322_00412
ko:K07164	ctrp:L11322_00413
ko:K06041	ctrp:L11322_00414
ko:K00658	ctrp:L11322_00415
ko:K00912	ctrp:L11322_00417
ko:K03437	ctrp:L11322_00418
ko:K06969	ctrp:L11322_00419
ko:K06180	ctrp:L11322_00693
ko:K06960	ctrp:L11322_00694
ko:K02469	ctrp:L11322_00695
ko:K02470	ctrp:L11322_00696
ko:K02492	ctrp:L11322_00697
ko:K03224	ctrp:L11322_00704
ko:K02417	ctrp:L11322_00707
ko:K03219	ctrp:L11322_00709
ko:K02838	ctrp:L11322_00715
ko:K09903	ctrp:L11322_00716
ko:K02357	ctrp:L11322_00717
ko:K02967	ctrp:L11322_00718
ko:K03162	ctrp:L11322_00721
ko:K09013	ctrp:L11322_00725
ko:K09015	ctrp:L11322_00726
ko:K11717	ctrp:L11322_00727
ko:K07220	ctrp:L11322_00731
ko:K03306	ctrp:L11322_00732
ko:K00927	ctrp:L11322_00733
ko:K10773	ctrp:L11322_00737
ko:K03650	ctrp:L11322_00738
ko:K01613	ctrp:L11322_00739
ko:K03070	ctrp:L11322_00741
ko:K03977	ctrp:L11322_00743
ko:K02834	ctrp:L11322_00096
ko:K02519	ctrp:L11322_00097
ko:K02600	ctrp:L11322_00098
ko:K02945	ctrp:L11322_00099
ko:K00384	ctrp:L11322_00100
ko:K00997	ctrp:L11322_00101
ko:K00208	ctrp:L11322_00105
ko:K03575	ctrp:L11322_00108
ko:K04077	ctrp:L11322_00111
ko:K04078	ctrp:L11322_00112
ko:K08602	ctrp:L11322_00114
ko:K03695	ctrp:L11322_00115
ko:K01783	ctrp:L11322_00123
ko:K02356	ctrp:L11322_00124
ko:K02160	ctrp:L11322_00125
ko:K01961	ctrp:L11322_00126
ko:K02871	ctrp:L11322_00127
ko:K02996	ctrp:L11322_00128
ko:K02029	ctrp:L11322_00131
ko:K07058	ctrp:L11322_00134
ko:K06999	ctrp:L11322_00138
ko:K07566	ctrp:L11322_00139
ko:K09125	ctrp:L11322_00142
ko:K07039	ctrp:L11322_00143
ko:K01972	ctrp:L11322_00150
ko:K02913	ctrp:L11322_00154
ko:K09808	ctrp:L11322_00155
ko:K09810	ctrp:L11322_00156
ko:K03720	ctrp:L11322_00170
ko:K01696	ctrp:L11322_00171
ko:K01695	ctrp:L11322_00172
ko:K03611	ctrp:L11322_00176
ko:K00979	ctrp:L11322_00184
ko:K01937	ctrp:L11322_00185
ko:K07447	ctrp:L11322_00186
ko:K00036	ctrp:L11322_00187
ko:K01057	ctrp:L11322_00188
ko:K02343	ctrp:L11322_00189
ko:K00943	ctrp:L11322_00190
ko:K02469	ctrp:L11322_00191
ko:K02470	ctrp:L11322_00192
ko:K00773	ctrp:L11322_00195
ko:K06213	ctrp:L11322_00196
ko:K15580	ctrp:L11322_00200
ko:K15581	ctrp:L11322_00201
ko:K00793	ctrp:L11322_00420
ko:K07738	ctrp:L11322_00421
ko:K06204	ctrp:L11322_00422
ko:K03101	ctrp:L11322_00423
ko:K03310	ctrp:L11322_00424
ko:K00748	ctrp:L11322_00426
ko:K09817	ctrp:L11322_00432
ko:K09816	ctrp:L11322_00433
ko:K03979	ctrp:L11322_00434
ko:K02899	ctrp:L11322_00435
ko:K02888	ctrp:L11322_00436
ko:K07042	ctrp:L11322_00441
ko:K03183	ctrp:L11322_00447
ko:K01778	ctrp:L11322_00449
ko:K01358	ctrp:L11322_00450
ko:K00600	ctrp:L11322_00451
ko:K01770	ctrp:L11322_00453
ko:K02946	ctrp:L11322_00455
ko:K02355	ctrp:L11322_00456
ko:K02992	ctrp:L11322_00457
ko:K02950	ctrp:L11322_00458
ko:K03797	ctrp:L11322_00460
ko:K07462	ctrp:L11322_00467
ko:K12257	ctrp:L11322_00468
ko:K00806	ctrp:L11322_00470
ko:K00981	ctrp:L11322_00471
ko:K00945	ctrp:L11322_00472
ko:K00655	ctrp:L11322_00473
ko:K03544	ctrp:L11322_00745
ko:K01358	ctrp:L11322_00746
ko:K03545	ctrp:L11322_00747
ko:K03569	ctrp:L11322_00750
ko:K00057	ctrp:L11322_00755
ko:K02412	ctrp:L11322_00758
ko:K02411	ctrp:L11322_00759
ko:K02409	ctrp:L11322_00760
ko:K13819	ctrp:L11322_00761
ko:K04487	ctrp:L11322_00762
ko:K06178	ctrp:L11322_00764
ko:K03524	ctrp:L11322_00766
ko:K05837	ctrp:L11322_00767
ko:K01875	ctrp:L11322_00770
ko:K11752	ctrp:L11322_00771
ko:K14652	ctrp:L11322_00772
ko:K00794	ctrp:L11322_00773
ko:K03310	ctrp:L11322_00776
ko:K03466	ctrp:L11322_00780
ko:K00351	ctrp:L11322_00785
ko:K03210	ctrp:L11322_00786
ko:K00231	ctrp:L11322_00790
ko:K01599	ctrp:L11322_00792
ko:K03723	ctrp:L11322_00793
ko:K01872	ctrp:L11322_00794
ko:K00615	ctrp:L11322_00798
ko:K01887	ctrp:L11322_00474
ko:K00790	ctrp:L11322_00475
ko:K02836	ctrp:L11322_00479
ko:K00991	ctrp:L11322_00482
ko:K06173	ctrp:L11322_00483
ko:K07710	ctrp:L11322_00488
ko:K07714	ctrp:L11322_00489
ko:K03584	ctrp:L11322_00492
ko:K08998	ctrp:L11322_00496
ko:K01890	ctrp:L11322_00498
ko:K02034	ctrp:L11322_00501
ko:K01772	ctrp:L11322_00510
ko:K07099	ctrp:L11322_00513
ko:K00975	ctrp:L11322_00514
ko:K03628	ctrp:L11322_00516
ko:K00859	ctrp:L11322_00517
ko:K03301	ctrp:L11322_00520
ko:K00995	ctrp:L11322_00521
ko:K03495	ctrp:L11322_00524
ko:K03800	ctrp:L11322_00525
ko:K00940	ctrp:L11322_00526
ko:K03550	ctrp:L11322_00527
ko:K01241	ctrp:L11322_00799
ko:K02356	ctrp:L11322_00800
ko:K01929	ctrp:L11322_00805
ko:K01000	ctrp:L11322_00806
ko:K01925	ctrp:L11322_00807
ko:K03588	ctrp:L11322_00809
ko:K02563	ctrp:L11322_00810
ko:K06960	ctrp:L11322_00812
ko:K00791	ctrp:L11322_00815
ko:K09710	ctrp:L11322_00818
ko:K09458	ctrp:L11322_00819
ko:K00263	ctrp:L11322_00822
ko:K00655	ctrp:L11322_00824
ko:K04066	ctrp:L11322_00827
ko:K04567	ctrp:L11322_00830
ko:K01883	ctrp:L11322_00831
ko:K03536	ctrp:L11322_00833
ko:K02919	ctrp:L11322_00834
ko:K02954	ctrp:L11322_00835
ko:K03703	ctrp:L11322_00839
ko:K03555	ctrp:L11322_00840
ko:K14164	ctrp:L11322_00844
ko:K00995	ctrp:L11322_00845
ko:K00703	ctrp:L11322_00846
ko:K02897	ctrp:L11322_00848
ko:K01056	ctrp:L11322_00849
ko:K02990	ctrp:L11322_00850
ko:K02963	ctrp:L11322_00851
ko:K03319	ctrp:L11322_00206
ko:K00850	ctrp:L11322_00207
ko:K00895	ctrp:L11322_00209
ko:K02527	ctrp:L11322_00212
ko:K01869	ctrp:L11322_00213
ko:K01845	ctrp:L11322_00214
ko:K07735	ctrp:L11322_00215
ko:K08999	ctrp:L11322_00216
ko:K01807	ctrp:L11322_00217
ko:K03787	ctrp:L11322_00222
ko:K03179	ctrp:L11322_00223
ko:K03186	ctrp:L11322_00224
ko:K03308	ctrp:L11322_00237
ko:K02078	ctrp:L11322_00242
ko:K00645	ctrp:L11322_00244
ko:K00648	ctrp:L11322_00245
ko:K06187	ctrp:L11322_00246
ko:K07277	ctrp:L11322_00247
ko:K06142	ctrp:L11322_00248
ko:K02536	ctrp:L11322_00249
ko:K00161	ctrp:L11322_00251
ko:K00162	ctrp:L11322_00252
ko:K00627	ctrp:L11322_00253
ko:K00688	ctrp:L11322_00254
ko:K02313	ctrp:L11322_00256
ko:K03217	ctrp:L11322_00257
ko:K02028	ctrp:L11322_00132
ko:K14220	ctrp:L11322_00039
ko:K15035	ctrp:L11322_00020
ko:K14222	ctrp:L11322_00804
ko:K01977	ctrp:L11322_00782
ko:K01977	ctrp:L11322_00795
ko:K01985	ctrp:L11322_00784
ko:K01985	ctrp:L11322_00797
ko:K01980	ctrp:L11322_00783
ko:K01980	ctrp:L11322_00796
ko:K17103	ctrp:L11322_00879
ko:K00033	ctrp:L11322_00066
ko:K11707	ctrp:L11322_00070
ko:K11710	ctrp:L11322_00071
ko:K11708	ctrp:L11322_00072
ko:K11709	ctrp:L11322_00073
ko:K02124	ctrp:L11322_00310
ko:K02123	ctrp:L11322_00311
ko:K02120	ctrp:L11322_00312
ko:K02118	ctrp:L11322_00313
ko:K02117	ctrp:L11322_00314
ko:K02121	ctrp:L11322_00316
ko:K00616	ctrp:L11322_00319
ko:K08483	ctrp:L11322_00347
ko:K11189	ctrp:L11322_00348
ko:K02342	ctrp:L11322_00563
ko:K07258	ctrp:L11322_00579
ko:K03227	ctrp:L11322_00591
ko:K02454	ctrp:L11322_00599
ko:K01262	ctrp:L11322_00602
ko:K07315	ctrp:L11322_00616
ko:K00241	ctrp:L11322_00621
ko:K00241	ctrp:L11322_00622
ko:K03386	ctrp:L11322_00632
ko:K02428	ctrp:L11322_00636
ko:K03177	ctrp:L11322_00095
ko:K06179	ctrp:L11322_00107
ko:K00939	ctrp:L11322_00130
ko:K02035	ctrp:L11322_00141
ko:K00813	ctrp:L11322_00670
ko:K01934	ctrp:L11322_00682
ko:K06889	ctrp:L11322_00153
ko:K02035	ctrp:L11322_00175
ko:K02049	ctrp:L11322_00180
ko:K14228	ctrp:L11322_00486
ko:K14233	ctrp:L11322_00522
ko:K14219	ctrp:L11322_00633
ko:K00784	ctrp:L11322_00358
ko:K03856	ctrp:L11322_00396
ko:K04084	ctrp:L11322_00624
ko:K00970	ctrp:L11322_00744
ko:K01596	ctrp:L11322_00751
ko:K00972	ctrp:L11322_00756
ko:K01834	ctrp:L11322_00763
ko:K00970	ctrp:L11322_00425
ko:K09815	ctrp:L11322_00431
ko:K01719	ctrp:L11322_00452
ko:K00380	ctrp:L11322_00454
ko:K01409	ctrp:L11322_00199
ko:K15582	ctrp:L11322_00202
ko:K10823	ctrp:L11322_00203
ko:K15583	ctrp:L11322_00204
ko:K06889	ctrp:L11322_00208
ko:K00059	ctrp:L11322_00243
ko:K06910	ctrp:L11322_00777
ko:K07117	ctrp:L11322_00778
ko:K01885	ctrp:L11322_00465
ko:K07098	ctrp:L11322_00481
ko:K00567	ctrp:L11322_00500
ko:K02033	ctrp:L11322_00502
ko:K02035	ctrp:L11322_00503
ko:K02433	ctrp:L11322_00004
ko:K03471	ctrp:L11322_00009
ko:K07052	ctrp:L11322_00260
ko:K02342	ctrp:L11322_00267
ko:K02806	ctrp:L11322_00296
ko:K02806	ctrp:L11322_00297
ko:K02030	ctrp:L11322_00511
ko:K01082	ctrp:L11322_00823
ko:K01909	ctrp:L11322_00825
ko:K00652	ctrp:L11322_00826
ko:K01408	ctrp:L11322_00856
ko:K01507	ctrp:L11322_00821
ko:K14236	ctrp:L11322_00145
ko:K14227	ctrp:L11322_00181
ko:K14218	ctrp:L11322_00669
ko:K14230	ctrp:L11322_00210
ko:K14230	ctrp:L11322_00336
ko:K14235	ctrp:L11322_00328
ko:K14233	ctrp:L11322_00369
ko:K14231	ctrp:L11322_00437
ko:K14221	ctrp:L11322_00226
ko:K14233	ctrp:L11322_00430
ko:K14228	ctrp:L11322_00530
ko:K14228	ctrp:L11322_00566
ko:K14219	ctrp:L11322_00490
ko:K14219	ctrp:L11322_00690
ko:K14232	ctrp:L11322_00663
ko:K14229	ctrp:L11322_00713
ko:K14224	ctrp:L11322_00714
ko:K14226	ctrp:L11322_00781
ko:K14223	ctrp:L11322_00847
ko:K14218	ctrp:L11322_00182
ko:K14234	ctrp:L11322_00710
ko:K14225	ctrp:L11322_00719
ko:K14228	ctrp:L11322_00494
ko:K14228	ctrp:L11322_00921
ko:K14232	ctrp:L11322_00062
ko:K14237	ctrp:L11322_00227
ko:K14230	ctrp:L11322_00211
ko:K14234	ctrp:L11322_00144
ko:K14234	ctrp:L11322_00330
ko:K14225	ctrp:L11322_00748
ko:K01679	ctrp:L11322_00912
ko:K04763	ctrp:L11322_00923
ko:K00700	ctrp:L11322_00925
ko:K14237	ctrp:L11322_00882
ko:K01840	ctrp:L11322_00301
ko:K06972	ctrp:L11322_00877
ko:K07081	ctrp:L11322_00446
ko:K03625	ctrp:L11322_00885
ko:K07125	ctrp:L11322_00333
ko:K01679	ctrp:L11322_00910
ko:K01802	ctrp:L11322_00569
ko:K08275	ctrp:L11322_00082
ko:K08719	ctrp:L11322_00754
ko:K08274	ctrp:L11322_00391
ko:K01921	ctrp:L11322_00811
ko:K01924	ctrp:L11322_00811
ko:K01829	ctrp:L11322_00829
ko:K01829	ctrp:L11322_00832
ko:K03309	ctrp:L11322_00416
ko:K07033	ctrp:L11322_00724
ko:K03825	ctrp:L11322_00478
ko:K03496	ctrp:L11322_p7
ko:K03496	ctrp:L11322_00610
ko:K03497	ctrp:L11322_00728
ko:K03111	ctrp:L11322_00046
ko:K02626	ctrp:L11322_00387
ko:K11991	ctrp:L11322_00898
ko:K04771	ctrp:L11322_00876
ko:K19411	ctrp:L11322_00712
ko:K02031	ctrp:L11322_00730
ko:K22100	ctrp:L11322_00337
ko:K12132	ctrp:L11322_00307
ko:K20265	ctrp:L11322_00220
ko:K20074	ctrp:L11322_00265
ko:K11749	ctrp:L11322_00075
ko:K22099	ctrp:L11322_00642
ko:K00526	ctrp:L11322_00881
ko:K02314	ctrp:L11322_00523
ko:K00287	ctrp:L11322_00643
ko:K03553	ctrp:L11322_00683
ko:K02316	ctrp:L11322_00841
ko:K02335	ctrp:L11322_00518
ko:K01520	ctrp:L11322_00298
ko:K02314	ctrp:L11322_p3
ko:K02032	ctrp:L11322_00729
ko:K00525	ctrp:L11322_00880
ko:K02050	ctrp:L11322_00909
ko:K02051	ctrp:L11322_00909
ko:K01534	ctrp:L11322_00768
ko:K16239	ctrp:L11322_00086
