ko:K00054	spw:SPCG_1698
ko:K02027	spw:SPCG_1663
ko:K01060	spw:SPCG_1668
ko:K01883	spw:SPCG_0556
ko:K00954	spw:SPCG_1932
ko:K00014	spw:SPCG_1366
ko:K01735	spw:SPCG_1365
ko:K01939	spw:SPCG_0019
ko:K06929	spw:SPCG_0033
ko:K00841	spw:SPCG_0036
ko:K01945	spw:SPCG_0053
ko:K01588	spw:SPCG_0055
ko:K01589	spw:SPCG_0056
ko:K02082	spw:SPCG_0066
ko:K01785	spw:SPCG_0067
ko:K00609	spw:SPCG_1241
ko:K00847	spw:SPCG_1693
ko:K02808	spw:SPCG_1694
ko:K02809	spw:SPCG_1694
ko:K02810	spw:SPCG_1694
ko:K05832	spw:SPCG_1210
ko:K01989	spw:SPCG_1211
ko:K04096	spw:SPCG_1230
ko:K07271	spw:SPCG_1237
ko:K07040	spw:SPCG_1244
ko:K03799	spw:SPCG_1246
ko:K03744	spw:SPCG_1247
ko:K02824	spw:SPCG_1249
ko:K09787	spw:SPCG_1251
ko:K06885	spw:SPCG_1253
ko:K04516	spw:SPCG_1263
ko:K06147	spw:SPCG_1346
ko:K06148	spw:SPCG_1347
ko:K00003	spw:SPCG_1350
ko:K04518	spw:SPCG_1359
ko:K00891	spw:SPCG_1360
ko:K00800	spw:SPCG_1361
ko:K06969	spw:SPCG_1368
ko:K01992	spw:SPCG_1369
ko:K01990	spw:SPCG_1370
ko:K01176	spw:SPCG_1371
ko:K01872	spw:SPCG_1372
ko:K00075	spw:SPCG_1378
ko:K01575	spw:SPCG_1381
ko:K02036	spw:SPCG_1385
ko:K02036	spw:SPCG_1386
ko:K02038	spw:SPCG_1387
ko:K02037	spw:SPCG_1388
ko:K02040	spw:SPCG_1389
ko:K01092	spw:SPCG_1391
ko:K03484	spw:SPCG_1697
ko:K01641	spw:SPCG_1699
ko:K04066	spw:SPCG_1709
ko:K04066	spw:SPCG_1710
ko:K00942	spw:SPCG_1712
ko:K09710	spw:SPCG_1718
ko:K00969	spw:SPCG_1721
ko:K07574	spw:SPCG_1722
ko:K06948	spw:SPCG_1723
ko:K07015	spw:SPCG_1724
ko:K03070	spw:SPCG_1735
ko:K09761	spw:SPCG_1759
ko:K02687	spw:SPCG_1760
ko:K07478	spw:SPCG_1771
ko:K01193	spw:SPCG_1772
ko:K02529	spw:SPCG_1776
ko:K07090	spw:SPCG_1783
ko:K02761	spw:SPCG_1786
ko:K02759	spw:SPCG_1787
ko:K02760	spw:SPCG_1788
ko:K02761	spw:SPCG_1790
ko:K01817	spw:SPCG_1797
ko:K01609	spw:SPCG_1798
ko:K00766	spw:SPCG_1799
ko:K01658	spw:SPCG_1800
ko:K07507	spw:SPCG_1805
ko:K02011	spw:SPCG_1806
ko:K02010	spw:SPCG_1807
ko:K02012	spw:SPCG_1808
ko:K01142	spw:SPCG_1818
ko:K03111	spw:SPCG_1883
ko:K06878	spw:SPCG_1885
ko:K06147	spw:SPCG_1893
ko:K03553	spw:SPCG_1913
ko:K06925	spw:SPCG_1917
ko:K00940	spw:SPCG_1923
ko:K03043	spw:SPCG_1925
ko:K03043	spw:SPCG_1926
ko:K07177	spw:SPCG_1931
ko:K06890	spw:SPCG_1936
ko:K01512	spw:SPCG_1938
ko:K03217	spw:SPCG_1939
ko:K04069	spw:SPCG_1940
ko:K01586	spw:SPCG_1941
ko:K09685	spw:SPCG_1942
ko:K03698	spw:SPCG_1943
ko:K09760	spw:SPCG_1944
ko:K02003	spw:SPCG_1950
ko:K02004	spw:SPCG_1951
ko:K05985	spw:SPCG_1954
ko:K03424	spw:SPCG_1955
ko:K01424	spw:SPCG_1963
ko:K02529	spw:SPCG_1964
ko:K07778	spw:SPCG_1967
ko:K00134	spw:SPCG_1979
ko:K00767	spw:SPCG_1983
ko:K03492	spw:SPCG_1986
ko:K02761	spw:SPCG_1988
ko:K02760	spw:SPCG_1989
ko:K02759	spw:SPCG_1990
ko:K03571	spw:SPCG_2183
ko:K05808	spw:SPCG_2173
ko:K01775	spw:SPCG_1670
ko:K01626	spw:SPCG_1672
ko:K01867	spw:SPCG_2195
ko:K01626	spw:SPCG_1673
ko:K03346	spw:SPCG_1684
ko:K07738	spw:SPCG_1685
ko:K08483	spw:SPCG_1121
ko:K01439	spw:SPCG_0154
ko:K07668	spw:SPCG_1075
ko:K07652	spw:SPCG_1076
ko:K01874	spw:SPCG_0737
ko:K01890	spw:SPCG_0547
ko:K11145	spw:SPCG_0557
ko:K03475	spw:SPCG_2098
ko:K01191	spw:SPCG_2113
ko:K09704	spw:SPCG_2114
ko:K01206	spw:SPCG_2117
ko:K01478	spw:SPCG_2118
ko:K00611	spw:SPCG_2119
ko:K00926	spw:SPCG_2120
ko:K01818	spw:SPCG_2126
ko:K07407	spw:SPCG_2129
ko:K01206	spw:SPCG_2131
ko:K09815	spw:SPCG_2137
ko:K09816	spw:SPCG_2138
ko:K09817	spw:SPCG_2139
ko:K03367	spw:SPCG_2144
ko:K00864	spw:SPCG_2154
ko:K03696	spw:SPCG_2162
ko:K03708	spw:SPCG_2163
ko:K09698	spw:SPCG_2036
ko:K01104	spw:SPCG_1226
ko:K07052	spw:SPCG_1063
ko:K07658	spw:SPCG_2048
ko:K07636	spw:SPCG_2049
ko:K02040	spw:SPCG_2050
ko:K12308	spw:SPCG_0061
ko:K01256	spw:SPCG_0746
ko:K09705	spw:SPCG_2047
ko:K01810	spw:SPCG_2037
ko:K08987	spw:SPCG_2028
ko:K07010	spw:SPCG_2039
ko:K03555	spw:SPCG_2043
ko:K02037	spw:SPCG_2051
ko:K02038	spw:SPCG_2052
ko:K02036	spw:SPCG_2053
ko:K02039	spw:SPCG_2054
ko:K01934	spw:SPCG_2060
ko:K05823	spw:SPCG_2061
ko:K03693	spw:SPCG_2064
ko:K00563	spw:SPCG_2068
ko:K00688	spw:SPCG_2070
ko:K02529	spw:SPCG_2076
ko:K07052	spw:SPCG_2082
ko:K07729	spw:SPCG_2085
ko:K00615	spw:SPCG_2096
ko:K00615	spw:SPCG_2097
ko:K03536	spw:SPCG_2008
ko:K06188	spw:SPCG_1756
ko:K04043	spw:SPCG_0490
ko:K03545	spw:SPCG_0399
ko:K02823	spw:SPCG_0939
ko:K03977	spw:SPCG_1681
ko:K00033	spw:SPCG_0371
ko:K03588	spw:SPCG_1213
ko:K03702	spw:SPCG_1064
ko:K01619	spw:SPCG_0785
ko:K06180	spw:SPCG_0904
ko:K06193	spw:SPCG_1582
ko:K01956	spw:SPCG_1240
ko:K02825	spw:SPCG_1242
ko:K00161	spw:SPCG_1133
ko:K02493	spw:SPCG_0999
ko:K02860	spw:SPCG_0726
ko:K03785	spw:SPCG_1367
ko:K06199	spw:SPCG_1261
ko:K06199	spw:SPCG_1262
ko:K06024	spw:SPCG_1848
ko:K12251	spw:SPCG_0899
ko:K01462	spw:SPCG_1536
ko:K11753	spw:SPCG_1171
ko:K11752	spw:SPCG_0192
ko:K12292	spw:SPCG_0044
ko:K12267	spw:SPCG_1348
ko:K01955	spw:SPCG_1239
ko:K00162	spw:SPCG_1134
ko:K11041	spw:SPCG_0409
ko:K11209	spw:SPCG_1537
ko:K11031	spw:SPCG_1898
ko:K11065	spw:SPCG_1624
ko:K03648	spw:SPCG_1128
