ko:K19079	sauj:SAI2T2_1005130
ko:K00790	sauj:SAI2T2_1015650
ko:K01624	sauj:SAI2T2_1015660
ko:K01937	sauj:SAI2T2_1015680
ko:K03048	sauj:SAI2T2_1015690
ko:K09680	sauj:SAI2T2_1015710
ko:K07173	sauj:SAI2T2_1015750
ko:K00756	sauj:SAI2T2_1015760
ko:K01619	sauj:SAI2T2_1015770
ko:K03784	sauj:SAI2T2_1015780
ko:K01809	sauj:SAI2T2_1015800
ko:K16264	sauj:SAI2T2_1015820
ko:K04763	sauj:SAI2T2_1015880
ko:K02013	sauj:SAI2T2_1015910
ko:K00820	sauj:SAI2T2_1015920
ko:K02799	sauj:SAI2T2_1015930
ko:K02800	sauj:SAI2T2_1015930
ko:K00009	sauj:SAI2T2_1015950
ko:K03431	sauj:SAI2T2_1015970
ko:K01476	sauj:SAI2T2_1016000
ko:K00948	sauj:SAI2T2_1003710
ko:K02897	sauj:SAI2T2_1003720
ko:K01056	sauj:SAI2T2_1003730
ko:K03723	sauj:SAI2T2_1003740
ko:K02499	sauj:SAI2T2_1003760
ko:K04075	sauj:SAI2T2_1003770
ko:K00760	sauj:SAI2T2_1003780
ko:K03798	sauj:SAI2T2_1003790
ko:K04083	sauj:SAI2T2_1003800
ko:K01738	sauj:SAI2T2_1003810
ko:K00796	sauj:SAI2T2_1003820
ko:K04567	sauj:SAI2T2_1003830
ko:K00375	sauj:SAI2T2_1003950
ko:K06215	sauj:SAI2T2_1003960
ko:K08681	sauj:SAI2T2_1003970
ko:K11535	sauj:SAI2T2_1003980
ko:K03708	sauj:SAI2T2_1003990
ko:K03696	sauj:SAI2T2_1004020
ko:K04485	sauj:SAI2T2_1004030
ko:K09698	sauj:SAI2T2_1004050
ko:K00640	sauj:SAI2T2_1004060
ko:K01883	sauj:SAI2T2_1004070
ko:K03218	sauj:SAI2T2_1004080
ko:K06962	sauj:SAI2T2_1004090
ko:K03091	sauj:SAI2T2_1004100
ko:K02601	sauj:SAI2T2_1004110
ko:K02863	sauj:SAI2T2_1004120
ko:K02864	sauj:SAI2T2_1004130
ko:K03043	sauj:SAI2T2_1004150
ko:K03046	sauj:SAI2T2_1004160
ko:K02992	sauj:SAI2T2_1004170
ko:K02355	sauj:SAI2T2_1004180
ko:K02358	sauj:SAI2T2_1004190
ko:K00639	sauj:SAI2T2_1004210
ko:K05523	sauj:SAI2T2_1004220
ko:K02243	sauj:SAI2T2_1011220
ko:K00845	sauj:SAI2T2_1011240
ko:K12553	sauj:SAI2T2_1011270
ko:K04564	sauj:SAI2T2_1011280
ko:K09816	sauj:SAI2T2_1011290
ko:K09817	sauj:SAI2T2_1011300
ko:K01151	sauj:SAI2T2_1011310
ko:K06967	sauj:SAI2T2_1011340
ko:K03086	sauj:SAI2T2_1011350
ko:K09773	sauj:SAI2T2_1011370
ko:K01880	sauj:SAI2T2_1011390
ko:K03584	sauj:SAI2T2_1011400
ko:K09761	sauj:SAI2T2_1011470
ko:K02687	sauj:SAI2T2_1011480
ko:K03686	sauj:SAI2T2_1011490
ko:K04043	sauj:SAI2T2_1011500
ko:K03687	sauj:SAI2T2_1011510
ko:K03705	sauj:SAI2T2_1011520
ko:K03596	sauj:SAI2T2_1011540
ko:K02340	sauj:SAI2T2_1011550
ko:K02238	sauj:SAI2T2_1011560
ko:K02237	sauj:SAI2T2_1011580
ko:K00969	sauj:SAI2T2_1011610
ko:K00014	sauj:SAI2T2_1011620
ko:K06948	sauj:SAI2T2_1011630
ko:K07015	sauj:SAI2T2_1011640
ko:K01243	sauj:SAI2T2_1011650
ko:K07160	sauj:SAI2T2_1011680
ko:K01961	sauj:SAI2T2_1011690
ko:K01835	sauj:SAI2T2_1018560
ko:K00963	sauj:SAI2T2_1018610
ko:K13732	sauj:SAI2T2_1018620
ko:K03299	sauj:SAI2T2_1018630
ko:K00851	sauj:SAI2T2_1018640
ko:K11476	sauj:SAI2T2_1018650
ko:K03535	sauj:SAI2T2_1018700
ko:K01990	sauj:SAI2T2_1018720
ko:K04041	sauj:SAI2T2_1018740
ko:K06999	sauj:SAI2T2_1018760
ko:K15975	sauj:SAI2T2_1018770
ko:K07104	sauj:SAI2T2_1018780
ko:K03778	sauj:SAI2T2_1018800
ko:K16917	sauj:SAI2T2_1018820
ko:K16916	sauj:SAI2T2_1018830
ko:K07284	sauj:SAI2T2_1018840
ko:K03823	sauj:SAI2T2_1018850
ko:K01752	sauj:SAI2T2_1018860
ko:K01752	sauj:SAI2T2_1018870
ko:K00158	sauj:SAI2T2_1018920
ko:K00054	sauj:SAI2T2_1018950
ko:K01641	sauj:SAI2T2_1018960
ko:K00567	sauj:SAI2T2_1018970
ko:K04086	sauj:SAI2T2_1018980
ko:K04759	sauj:SAI2T2_1018990
ko:K06994	sauj:SAI2T2_1019000
ko:K13012	sauj:SAI2T2_1001160
ko:K01784	sauj:SAI2T2_1001170
ko:K02472	sauj:SAI2T2_1001180
ko:K01791	sauj:SAI2T2_1001190
ko:K00128	sauj:SAI2T2_1001200
ko:K16264	sauj:SAI2T2_1001210
ko:K02049	sauj:SAI2T2_1001230
ko:K02051	sauj:SAI2T2_1001240
ko:K02050	sauj:SAI2T2_1001250
ko:K00122	sauj:SAI2T2_1001270
ko:K08996	sauj:SAI2T2_1001310
ko:K00930	sauj:SAI2T2_1001320
ko:K00620	sauj:SAI2T2_1001330
ko:K00145	sauj:SAI2T2_1001340
ko:K00819	sauj:SAI2T2_1001350
ko:K03311	sauj:SAI2T2_1001360
ko:K09963	sauj:SAI2T2_1001400
ko:K07106	sauj:SAI2T2_1001410
ko:K02809	sauj:SAI2T2_1001420
ko:K02810	sauj:SAI2T2_1001420
ko:K01153	sauj:SAI2T2_1001440
ko:K02005	sauj:SAI2T2_1001460
ko:K02003	sauj:SAI2T2_1001470
ko:K02004	sauj:SAI2T2_1001480
ko:K01990	sauj:SAI2T2_1001510
ko:K02031	sauj:SAI2T2_1001520
ko:K02032	sauj:SAI2T2_1001520
ko:K02033	sauj:SAI2T2_1001530
ko:K02034	sauj:SAI2T2_1001540
ko:K02035	sauj:SAI2T2_1001550
ko:K01118	sauj:SAI2T2_1001580
ko:K10112	sauj:SAI2T2_1001600
ko:K15770	sauj:SAI2T2_1001610
ko:K15771	sauj:SAI2T2_1001620
ko:K15772	sauj:SAI2T2_1001630
ko:K03655	sauj:SAI2T2_1008760
ko:K03621	sauj:SAI2T2_1008780
ko:K00645	sauj:SAI2T2_1008790
ko:K00059	sauj:SAI2T2_1008800
ko:K03685	sauj:SAI2T2_1008810
ko:K03529	sauj:SAI2T2_1008820
ko:K03110	sauj:SAI2T2_1008830
ko:K03106	sauj:SAI2T2_1008840
ko:K02860	sauj:SAI2T2_1008850
ko:K00554	sauj:SAI2T2_1008860
ko:K14540	sauj:SAI2T2_1008880
ko:K03470	sauj:SAI2T2_1008890
ko:K01903	sauj:SAI2T2_1008900
ko:K01902	sauj:SAI2T2_1008910
ko:K04096	sauj:SAI2T2_1008940
ko:K03168	sauj:SAI2T2_1008950
ko:K04094	sauj:SAI2T2_1008960
ko:K03733	sauj:SAI2T2_1008970
ko:K01419	sauj:SAI2T2_1008980
ko:K03667	sauj:SAI2T2_1008990
ko:K03706	sauj:SAI2T2_1009000
ko:K02967	sauj:SAI2T2_1009010
ko:K02357	sauj:SAI2T2_1009020
ko:K09903	sauj:SAI2T2_1009030
ko:K02838	sauj:SAI2T2_1009040
ko:K00806	sauj:SAI2T2_1009050
ko:K00981	sauj:SAI2T2_1009060
ko:K11749	sauj:SAI2T2_1009070
ko:K01881	sauj:SAI2T2_1009080
ko:K03763	sauj:SAI2T2_1009090
ko:K09748	sauj:SAI2T2_1009100
ko:K02600	sauj:SAI2T2_1009110
ko:K02519	sauj:SAI2T2_1009130
ko:K03177	sauj:SAI2T2_1009140
ko:K11753	sauj:SAI2T2_1009150
ko:K00962	sauj:SAI2T2_1009160
ko:K12574	sauj:SAI2T2_1009170
ko:K03466	sauj:SAI2T2_1009180
ko:K00059	sauj:SAI2T2_1009220
ko:K00995	sauj:SAI2T2_1009240
ko:K03593	sauj:SAI2T2_1016090
ko:K11068	sauj:SAI2T2_1016140
ko:K07038	sauj:SAI2T2_1016160
ko:K02015	sauj:SAI2T2_1016180
ko:K02015	sauj:SAI2T2_1016190
ko:K02016	sauj:SAI2T2_1016200
ko:K01220	sauj:SAI2T2_1016310
ko:K02787	sauj:SAI2T2_1016320
ko:K02788	sauj:SAI2T2_1016320
ko:K01635	sauj:SAI2T2_1016330
ko:K00917	sauj:SAI2T2_1016340
ko:K01819	sauj:SAI2T2_1016350
ko:K02530	sauj:SAI2T2_1016360
ko:K12410	sauj:SAI2T2_1016370
ko:K01727	sauj:SAI2T2_1016400
ko:K01575	sauj:SAI2T2_1016430
ko:K01652	sauj:SAI2T2_1016440
ko:K06173	sauj:SAI2T2_1016500
ko:K16785	sauj:SAI2T2_1016510
ko:K16787	sauj:SAI2T2_1016520
ko:K16786	sauj:SAI2T2_1016530
ko:K03040	sauj:SAI2T2_1016540
ko:K00939	sauj:SAI2T2_1016550
ko:K03076	sauj:SAI2T2_1016560
ko:K00853	sauj:SAI2T2_1004230
ko:K00826	sauj:SAI2T2_1004250
ko:K01091	sauj:SAI2T2_1004260
ko:K15519	sauj:SAI2T2_1004270
ko:K15518	sauj:SAI2T2_1004280
ko:K14194	sauj:SAI2T2_1004310
ko:K14194	sauj:SAI2T2_1004320
ko:K14194	sauj:SAI2T2_1004350
ko:K00712	sauj:SAI2T2_1004360
ko:K00712	sauj:SAI2T2_1004370
ko:K09007	sauj:SAI2T2_1004390
ko:K02564	sauj:SAI2T2_1004410
ko:K08093	sauj:SAI2T2_1004420
ko:K08094	sauj:SAI2T2_1004430
ko:K03762	sauj:SAI2T2_1004450
ko:K00626	sauj:SAI2T2_1004470
ko:K00868	sauj:SAI2T2_1004480
ko:K03648	sauj:SAI2T2_1004500
ko:K00625	sauj:SAI2T2_1004540
ko:K16869	sauj:SAI2T2_1004550
ko:K00869	sauj:SAI2T2_1004560
ko:K01597	sauj:SAI2T2_1004570
ko:K00938	sauj:SAI2T2_1004580
ko:K06885	sauj:SAI2T2_1004670
ko:K13953	sauj:SAI2T2_1004690
ko:K01887	sauj:SAI2T2_1004700
ko:K07457	sauj:SAI2T2_1004710
ko:K02016	sauj:SAI2T2_1004720
ko:K02015	sauj:SAI2T2_1004730
ko:K07025	sauj:SAI2T2_1004740
ko:K03624	sauj:SAI2T2_1011720
ko:K00876	sauj:SAI2T2_1011730
ko:K08303	sauj:SAI2T2_1011740
ko:K01872	sauj:SAI2T2_1011770
ko:K03581	sauj:SAI2T2_1011780
ko:K00566	sauj:SAI2T2_1011800
ko:K04487	sauj:SAI2T2_1011810
ko:K07478	sauj:SAI2T2_1011830
ko:K01876	sauj:SAI2T2_1011850
ko:K01892	sauj:SAI2T2_1011860
ko:K01448	sauj:SAI2T2_1011870
ko:K00951	sauj:SAI2T2_1011880
ko:K00759	sauj:SAI2T2_1011890
ko:K07462	sauj:SAI2T2_1011900
ko:K12257	sauj:SAI2T2_1011910
ko:K00773	sauj:SAI2T2_1011920
ko:K07568	sauj:SAI2T2_1011930
ko:K03551	sauj:SAI2T2_1011940
ko:K03550	sauj:SAI2T2_1011950
ko:K03979	sauj:SAI2T2_1011960
ko:K03571	sauj:SAI2T2_1011970
ko:K03570	sauj:SAI2T2_1011980
ko:K04763	sauj:SAI2T2_1012040
ko:K03630	sauj:SAI2T2_1012050
ko:K02236	sauj:SAI2T2_1012060
ko:K11754	sauj:SAI2T2_1012070
ko:K01873	sauj:SAI2T2_1012080
ko:K01246	sauj:SAI2T2_1012090
ko:K07120	sauj:SAI2T2_1012100
ko:K01845	sauj:SAI2T2_1012120
ko:K01698	sauj:SAI2T2_1012130
ko:K01719	sauj:SAI2T2_1012140
ko:K01749	sauj:SAI2T2_1012150
ko:K02497	sauj:SAI2T2_1012160
ko:K00294	sauj:SAI2T2_1019020
ko:K17686	sauj:SAI2T2_1019040
ko:K03778	sauj:SAI2T2_1019050
ko:K10209	sauj:SAI2T2_1019070
ko:K10208	sauj:SAI2T2_1019080
ko:K10211	sauj:SAI2T2_1019090
ko:K10210	sauj:SAI2T2_1019100
ko:K10212	sauj:SAI2T2_1019110
ko:K07035	sauj:SAI2T2_1019160
ko:K07045	sauj:SAI2T2_1019220
ko:K00226	sauj:SAI2T2_1019280
ko:K09765	sauj:SAI2T2_1019290
ko:K06978	sauj:SAI2T2_1019310
ko:K04763	sauj:SAI2T2_1019380
ko:K01918	sauj:SAI2T2_1019400
ko:K00606	sauj:SAI2T2_1019410
ko:K00077	sauj:SAI2T2_1019420
ko:K01575	sauj:SAI2T2_1019430
ko:K00016	sauj:SAI2T2_1019440
ko:K03294	sauj:SAI2T2_1019450
ko:K00823	sauj:SAI2T2_1019460
ko:K01623	sauj:SAI2T2_1019470
ko:K00116	sauj:SAI2T2_1019480
ko:K01895	sauj:SAI2T2_1019490
ko:K09936	sauj:SAI2T2_1004790
ko:K05565	sauj:SAI2T2_1004810
ko:K05568	sauj:SAI2T2_1004820
ko:K05569	sauj:SAI2T2_1004830
ko:K05571	sauj:SAI2T2_1004840
ko:K03316	sauj:SAI2T2_1004850
ko:K03709	sauj:SAI2T2_1004900
ko:K05946	sauj:SAI2T2_1004920
ko:K09693	sauj:SAI2T2_1004930
ko:K07258	sauj:SAI2T2_1004970
ko:K18104	sauj:SAI2T2_1004980
ko:K16323	sauj:SAI2T2_1004990
ko:K02013	sauj:SAI2T2_1005010
