ko:K02495	vcx:VAA049_100
ko:K03582	vcx:VAA049_565
ko:K03581	vcx:VAA049_566
ko:K14682	vcx:VAA049_568
ko:K08304	vcx:VAA049_570
ko:K02426	vcx:VAA049_572
ko:K01766	vcx:VAA049_573
ko:K03152	vcx:VAA049_574
ko:K03796	vcx:VAA049_1377
ko:K11072	vcx:VAA049_1379
ko:K11071	vcx:VAA049_1380
ko:K11070	vcx:VAA049_1381
ko:K11069	vcx:VAA049_1382
ko:K11069	vcx:VAA049_1383
ko:K03310	vcx:VAA049_1386
ko:K11904	vcx:VAA049_1391
ko:K11903	vcx:VAA049_1392
ko:K01299	vcx:VAA049_1393
ko:K03406	vcx:VAA049_1394
ko:K03446	vcx:VAA049_1395
ko:K03543	vcx:VAA049_1396
ko:K03406	vcx:VAA049_1400
ko:K03406	vcx:VAA049_1401
ko:K03406	vcx:VAA049_1402
ko:K03408	vcx:VAA049_1403
ko:K03412	vcx:VAA049_1404
ko:K00575	vcx:VAA049_1406
ko:K03413	vcx:VAA049_1407
ko:K03407	vcx:VAA049_1408
ko:K03413	vcx:VAA049_1410
ko:K03406	vcx:VAA049_1411
ko:K11741	vcx:VAA049_1412
ko:K01669	vcx:VAA049_1413
ko:K03800	vcx:VAA049_1416
ko:K04046	vcx:VAA049_1417
ko:K03578	vcx:VAA049_1419
ko:K03672	vcx:VAA049_2212
ko:K00648	vcx:VAA049_2213
ko:K00113	vcx:VAA049_2214
ko:K00112	vcx:VAA049_2215
ko:K00111	vcx:VAA049_2216
ko:K10910	vcx:VAA049_2217
ko:K10909	vcx:VAA049_2219
ko:K02232	vcx:VAA049_2224
ko:K02020	vcx:VAA049_2225
ko:K02018	vcx:VAA049_2226
ko:K02017	vcx:VAA049_2227
ko:K00021	vcx:VAA049_2228
ko:K03658	vcx:VAA049_2234
ko:K00901	vcx:VAA049_2237
ko:K08281	vcx:VAA049_2238
ko:K01734	vcx:VAA049_2239
ko:K11930	vcx:VAA049_2240
ko:K07647	vcx:VAA049_2241
ko:K00873	vcx:VAA049_2242
ko:K07783	vcx:VAA049_2243
ko:K08478	vcx:VAA049_2245
ko:K08475	vcx:VAA049_2246
ko:K08476	vcx:VAA049_2248
ko:K08325	vcx:VAA049_2249
ko:K00975	vcx:VAA049_2251
ko:K03072	vcx:VAA049_2255
ko:K03074	vcx:VAA049_2256
ko:K00023	vcx:VAA049_2257
ko:K00626	vcx:VAA049_2258
ko:K02837	vcx:VAA049_3031
ko:K03789	vcx:VAA049_3032
ko:K02344	vcx:VAA049_3034
ko:K03824	vcx:VAA049_3035
ko:K08303	vcx:VAA049_3038
ko:K05803	vcx:VAA049_3043
ko:K00962	vcx:VAA049_3044
ko:K02956	vcx:VAA049_3045
ko:K03177	vcx:VAA049_3046
ko:K02834	vcx:VAA049_3047
ko:K02519	vcx:VAA049_3048
ko:K02600	vcx:VAA049_3049
ko:K09748	vcx:VAA049_3050
ko:K03075	vcx:VAA049_3053
ko:K03431	vcx:VAA049_3055
ko:K00796	vcx:VAA049_3056
ko:K03798	vcx:VAA049_3057
ko:K02427	vcx:VAA049_3058
ko:K07574	vcx:VAA049_3059
ko:K03624	vcx:VAA049_3060
ko:K08720	vcx:VAA049_3061
ko:K07259	vcx:VAA049_3062
ko:K01866	vcx:VAA049_3063
ko:K18989	vcx:VAA049_3065
ko:K18990	vcx:VAA049_3066
ko:K15724	vcx:VAA049_3067
ko:K01845	vcx:VAA049_3068
ko:K00564	vcx:VAA049_3071
ko:K02035	vcx:VAA049_3073
ko:K02033	vcx:VAA049_3074
ko:K02034	vcx:VAA049_3075
ko:K18676	vcx:VAA049_3079
ko:K12373	vcx:VAA049_3080
ko:K18675	vcx:VAA049_3081
ko:K01571	vcx:VAA049_3138
ko:K01573	vcx:VAA049_3139
ko:K03563	vcx:VAA049_3148
ko:K00928	vcx:VAA049_3149
ko:K01872	vcx:VAA049_3150
ko:K03565	vcx:VAA049_3151
ko:K03743	vcx:VAA049_3153
ko:K02045	vcx:VAA049_3154
ko:K02047	vcx:VAA049_3155
ko:K02046	vcx:VAA049_3156
ko:K02048	vcx:VAA049_3157
ko:K12339	vcx:VAA049_3158
ko:K03555	vcx:VAA049_3159
ko:K03087	vcx:VAA049_3160
ko:K06194	vcx:VAA049_3161
ko:K00573	vcx:VAA049_3162
ko:K03787	vcx:VAA049_3163
ko:K06176	vcx:VAA049_3164
ko:K01770	vcx:VAA049_3165
ko:K00991	vcx:VAA049_3166
ko:K05589	vcx:VAA049_3167
ko:K06153	vcx:VAA049_3168
ko:K00950	vcx:VAA049_3169
ko:K01633	vcx:VAA049_3170
ko:K08591	vcx:VAA049_3171
ko:K01409	vcx:VAA049_3173
ko:K02970	vcx:VAA049_3174
ko:K09117	vcx:VAA049_3175
ko:K03086	vcx:VAA049_3177
ko:K00820	vcx:VAA049_3181
ko:K00873	vcx:VAA049_3183
ko:K02037	vcx:VAA049_2968
ko:K00937	vcx:VAA049_2969
ko:K01524	vcx:VAA049_2970
ko:K02040	vcx:VAA049_2971
ko:K07636	vcx:VAA049_2972
ko:K07657	vcx:VAA049_2973
ko:K03554	vcx:VAA049_2974
ko:K08303	vcx:VAA049_2975
ko:K06213	vcx:VAA049_360
ko:K08485	vcx:VAA049_361
ko:K06958	vcx:VAA049_362
ko:K02806	vcx:VAA049_363
ko:K05808	vcx:VAA049_364
ko:K03092	vcx:VAA049_365
ko:K06861	vcx:VAA049_366
ko:K09774	vcx:VAA049_367
ko:K11719	vcx:VAA049_368
ko:K03270	vcx:VAA049_369
ko:K06041	vcx:VAA049_370
ko:K07301	vcx:VAA049_371
ko:K02065	vcx:VAA049_372
ko:K02066	vcx:VAA049_373
ko:K02067	vcx:VAA049_374
ko:K07323	vcx:VAA049_375
ko:K07122	vcx:VAA049_376
ko:K00790	vcx:VAA049_378
ko:K00655	vcx:VAA049_379
ko:K09022	vcx:VAA049_380
ko:K00610	vcx:VAA049_381
ko:K00609	vcx:VAA049_382
ko:K00611	vcx:VAA049_383
ko:K07175	vcx:VAA049_384
ko:K03580	vcx:VAA049_385
ko:K06177	vcx:VAA049_386
ko:K00018	vcx:VAA049_387
ko:K01873	vcx:VAA049_388
ko:K02339	vcx:VAA049_389
ko:K01255	vcx:VAA049_390
ko:K07091	vcx:VAA049_391
ko:K11720	vcx:VAA049_392
ko:K01704	vcx:VAA049_405
ko:K01703	vcx:VAA049_406
ko:K00052	vcx:VAA049_407
ko:K01649	vcx:VAA049_408
ko:K05798	vcx:VAA049_412
ko:K01897	vcx:VAA049_413
ko:K18009	vcx:VAA049_1216
ko:K01652	vcx:VAA049_1217
ko:K01575	vcx:VAA049_1218
ko:K09822	vcx:VAA049_1219
ko:K05577	vcx:VAA049_1221
ko:K03717	vcx:VAA049_1222
ko:K09900	vcx:VAA049_1226
ko:K09922	vcx:VAA049_1228
ko:K01679	vcx:VAA049_1229
ko:K00425	vcx:VAA049_1231
ko:K00426	vcx:VAA049_1232
ko:K02003	vcx:VAA049_1233
ko:K02004	vcx:VAA049_1234
ko:K02004	vcx:VAA049_1235
ko:K02005	vcx:VAA049_1237
ko:K03782	vcx:VAA049_1240
ko:K01223	vcx:VAA049_1241
ko:K01126	vcx:VAA049_1245
ko:K02444	vcx:VAA049_1246
ko:K05816	vcx:VAA049_1247
ko:K05815	vcx:VAA049_1248
ko:K05814	vcx:VAA049_1249
ko:K05813	vcx:VAA049_1250
ko:K03561	vcx:VAA049_1252
ko:K03561	vcx:VAA049_1253
ko:K03559	vcx:VAA049_1254
ko:K03832	vcx:VAA049_1255
ko:K03327	vcx:VAA049_1259
ko:K03406	vcx:VAA049_1264
ko:K05812	vcx:VAA049_1266
ko:K03704	vcx:VAA049_2057
ko:K09781	vcx:VAA049_2060
ko:K03212	vcx:VAA049_2061
ko:K01465	vcx:VAA049_2065
ko:K07140	vcx:VAA049_2066
ko:K03406	vcx:VAA049_2067
ko:K02013	vcx:VAA049_2073
ko:K02015	vcx:VAA049_2074
ko:K02016	vcx:VAA049_2075
ko:K03561	vcx:VAA049_2077
ko:K03832	vcx:VAA049_2078
ko:K07227	vcx:VAA049_2080
ko:K07226	vcx:VAA049_2081
ko:K02647	vcx:VAA049_2083
ko:K03299	vcx:VAA049_2084
ko:K00865	vcx:VAA049_2085
ko:K07396	vcx:VAA049_2087
ko:K00033	vcx:VAA049_2090
ko:K01057	vcx:VAA049_2091
ko:K00036	vcx:VAA049_2092
ko:K04477	vcx:VAA049_2094
ko:K15536	vcx:VAA049_2095
ko:K08234	vcx:VAA049_2098
ko:K01740	vcx:VAA049_2100
ko:K00639	vcx:VAA049_2101
ko:K00060	vcx:VAA049_2102
ko:K03687	vcx:VAA049_2882
ko:K00858	vcx:VAA049_2883
ko:K03631	vcx:VAA049_2884
ko:K06186	vcx:VAA049_2885
ko:K09801	vcx:VAA049_2886
ko:K03664	vcx:VAA049_2888
ko:K01153	vcx:VAA049_2889
ko:K01154	vcx:VAA049_2890
ko:K03427	vcx:VAA049_2891
ko:K07137	vcx:VAA049_2894
ko:K05524	vcx:VAA049_2895
ko:K03437	vcx:VAA049_2896
ko:K01595	vcx:VAA049_253
ko:K01438	vcx:VAA049_254
ko:K00145	vcx:VAA049_255
ko:K00930	vcx:VAA049_256
ko:K01940	vcx:VAA049_257
ko:K14681	vcx:VAA049_258
ko:K00382	vcx:VAA049_260
ko:K04761	vcx:VAA049_262
ko:K05366	vcx:VAA049_263
ko:K02662	vcx:VAA049_264
ko:K02663	vcx:VAA049_265
ko:K02664	vcx:VAA049_266
ko:K02665	vcx:VAA049_267
ko:K02666	vcx:VAA049_268
ko:K00891	vcx:VAA049_269
ko:K01735	vcx:VAA049_270
ko:K03112	vcx:VAA049_271
ko:K01783	vcx:VAA049_273
ko:K01091	vcx:VAA049_274
ko:K01867	vcx:VAA049_275
ko:K02030	vcx:VAA049_276
ko:K07004	vcx:VAA049_277
ko:K14441	vcx:VAA049_278
ko:K01664	vcx:VAA049_279
ko:K00673	vcx:VAA049_281
ko:K06447	vcx:VAA049_282
ko:K10914	vcx:VAA049_284
ko:K00855	vcx:VAA049_285
ko:K09898	vcx:VAA049_286
ko:K07019	vcx:VAA049_287
ko:K06158	vcx:VAA049_289
ko:K11748	vcx:VAA049_290
ko:K11747	vcx:VAA049_292
ko:K03775	vcx:VAA049_293
ko:K13051	vcx:VAA049_294
ko:K01939	vcx:VAA049_295
ko:K07014	vcx:VAA049_297
ko:K12573	vcx:VAA049_298
ko:K03218	vcx:VAA049_299
ko:K02946	vcx:VAA049_300
ko:K02906	vcx:VAA049_301
ko:K02926	vcx:VAA049_302
ko:K02892	vcx:VAA049_303
ko:K02886	vcx:VAA049_304
ko:K02965	vcx:VAA049_305
ko:K06212	vcx:VAA049_1110
ko:K02571	vcx:VAA049_1111
ko:K03532	vcx:VAA049_1112
ko:K07811	vcx:VAA049_1113
ko:K07407	vcx:VAA049_1114
ko:K15986	vcx:VAA049_1116
ko:K19230	vcx:VAA049_1119
ko:K19229	vcx:VAA049_1120
ko:K19228	vcx:VAA049_1121
ko:K19227	vcx:VAA049_1122
ko:K19226	vcx:VAA049_1123
ko:K03974	vcx:VAA049_1124
ko:K03969	vcx:VAA049_1125
ko:K03970	vcx:VAA049_1126
ko:K01246	vcx:VAA049_1131
ko:K01760	vcx:VAA049_1132
ko:K06131	vcx:VAA049_1133
ko:K03308	vcx:VAA049_1134
ko:K06177	vcx:VAA049_1135
ko:K05779	vcx:VAA049_1137
ko:K05778	vcx:VAA049_1138
ko:K05777	vcx:VAA049_1139
ko:K03668	vcx:VAA049_1140
ko:K06938	vcx:VAA049_1141
ko:K01993	vcx:VAA049_1145
ko:K03837	vcx:VAA049_1146
ko:K06213	vcx:VAA049_1149
ko:K07679	vcx:VAA049_1150
ko:K01387	vcx:VAA049_1153
ko:K07025	vcx:VAA049_1159
ko:K03406	vcx:VAA049_1161
ko:K15269	vcx:VAA049_1952
ko:K07090	vcx:VAA049_1953
ko:K03810	vcx:VAA049_1956
ko:K02562	vcx:VAA049_1957
ko:K00009	vcx:VAA049_1958
ko:K02798	vcx:VAA049_1959
ko:K02799	vcx:VAA049_1959
ko:K02800	vcx:VAA049_1959
ko:K01840	vcx:VAA049_1960
ko:K02029	vcx:VAA049_1961
ko:K02030	vcx:VAA049_1962
ko:K02029	vcx:VAA049_1963
ko:K02028	vcx:VAA049_1964
ko:K01626	vcx:VAA049_1965
