ko:K22213	may:LA62_01510
ko:K00274	may:LA62_13495
ko:K02503	may:LA62_13500
ko:K03564	may:LA62_13510
ko:K01496	may:LA62_13515
ko:K02500	may:LA62_13520
ko:K01092	may:LA62_13525
ko:K01814	may:LA62_13530
ko:K01817	may:LA62_13530
ko:K02501	may:LA62_13535
ko:K01693	may:LA62_13540
ko:K00817	may:LA62_13545
ko:K00013	may:LA62_13550
ko:K00767	may:LA62_13560
ko:K00278	may:LA62_13565
ko:K03517	may:LA62_13570
ko:K00116	may:LA62_13610
ko:K01012	may:LA62_13625
ko:K01935	may:LA62_13635
ko:K00652	may:LA62_13640
ko:K00833	may:LA62_13645
ko:K01754	may:LA62_13660
ko:K02337	may:LA62_13685
ko:K05786	may:LA62_13695
ko:K06180	may:LA62_13700
ko:K03101	may:LA62_13705
ko:K01424	may:LA62_13710
ko:K02346	may:LA62_13715
ko:K01870	may:LA62_13725
ko:K07182	may:LA62_13740
ko:K06994	may:LA62_18110
ko:K06133	may:LA62_18150
ko:K00648	may:LA62_18170
ko:K03070	may:LA62_18200
ko:K00232	may:LA62_18235
ko:K07654	may:LA62_18245
ko:K07670	may:LA62_18250
ko:K07507	may:LA62_18260
ko:K00943	may:LA62_18265
ko:K01251	may:LA62_18270
ko:K00496	may:LA62_18290
ko:K03294	may:LA62_18295
ko:K01809	may:LA62_18305
ko:K01840	may:LA62_18315
ko:K11212	may:LA62_18335
ko:K12234	may:LA62_18340
ko:K00966	may:LA62_18355
ko:K16870	may:LA62_18360
ko:K00067	may:LA62_18365
ko:K00074	may:LA62_22785
ko:K01596	may:LA62_22855
ko:K03439	may:LA62_22875
ko:K06860	may:LA62_22880
ko:K02067	may:LA62_22920
ko:K02066	may:LA62_22930
ko:K02066	may:LA62_22935
ko:K06929	may:LA62_23010
ko:K07386	may:LA62_23025
ko:K11263	may:LA62_23040
ko:K01969	may:LA62_23045
ko:K00059	may:LA62_10350
ko:K00645	may:LA62_10360
ko:K06994	may:LA62_10375
ko:K08224	may:LA62_10380
ko:K00626	may:LA62_10400
ko:K04755	may:LA62_10435
ko:K16841	may:LA62_14910
ko:K03457	may:LA62_14920
ko:K11103	may:LA62_14930
ko:K01477	may:LA62_14940
ko:K09117	may:LA62_15015
ko:K08167	may:LA62_15025
ko:K12421	may:LA62_15045
ko:K12421	may:LA62_15050
ko:K15983	may:LA62_15065
ko:K07044	may:LA62_15070
ko:K06916	may:LA62_15110
ko:K16647	may:LA62_15125
ko:K07305	may:LA62_15130
ko:K00231	may:LA62_15160
ko:K03684	may:LA62_15175
ko:K01662	may:LA62_15185
ko:K03313	may:LA62_15190
ko:K02358	may:LA62_19535
ko:K02355	may:LA62_19540
ko:K02992	may:LA62_19545
ko:K02950	may:LA62_19550
ko:K01692	may:LA62_19580
ko:K02616	may:LA62_19585
ko:K01692	may:LA62_19590
ko:K09456	may:LA62_19595
ko:K03046	may:LA62_19635
ko:K03043	may:LA62_19640
ko:K02065	may:LA62_19650
ko:K02935	may:LA62_19675
ko:K02864	may:LA62_19680
ko:K00574	may:LA62_19700
ko:K00111	may:LA62_19705
ko:K00803	may:LA62_19715
ko:K03088	may:LA62_19735
ko:K02863	may:LA62_19755
ko:K02867	may:LA62_19760
ko:K02601	may:LA62_19765
ko:K03073	may:LA62_19770
ko:K02913	may:LA62_19795
ko:K04047	may:LA62_19810
ko:K05520	may:LA62_19815
ko:K07734	may:LA62_24320
ko:K01478	may:LA62_05670
ko:K07056	may:LA62_05680
ko:K01665	may:LA62_05685
ko:K03088	may:LA62_05695
ko:K01874	may:LA62_05705
ko:K03424	may:LA62_05710
ko:K02528	may:LA62_05720
ko:K11738	may:LA62_05725
ko:K06994	may:LA62_05735
ko:K00919	may:LA62_05760
ko:K00666	may:LA62_05765
ko:K11608	may:LA62_05770
ko:K01056	may:LA62_05775
ko:K02897	may:LA62_05780
ko:K00948	may:LA62_05800
ko:K04042	may:LA62_05805
ko:K01586	may:LA62_05860
ko:K03723	may:LA62_05865
ko:K02428	may:LA62_05870
ko:K07243	may:LA62_05875
ko:K16301	may:LA62_05880
ko:K16301	may:LA62_05885
ko:K07224	may:LA62_05890
ko:K07243	may:LA62_05895
ko:K01689	may:LA62_05905
ko:K06994	may:LA62_05750
ko:K02963	may:LA62_01665
ko:K02954	may:LA62_01670
ko:K02913	may:LA62_01675
ko:K02902	may:LA62_01680
ko:K02909	may:LA62_01690
ko:K01649	may:LA62_01695
ko:K00928	may:LA62_01720
ko:K00133	may:LA62_01725
ko:K09922	may:LA62_01755
ko:K03781	may:LA62_01760
ko:K03320	may:LA62_01785
ko:K00847	may:LA62_01805
ko:K01443	may:LA62_01820
ko:K00820	may:LA62_01825
ko:K01919	may:LA62_01855
ko:K07008	may:LA62_01865
ko:K02440	may:LA62_01915
ko:K00864	may:LA62_01920
ko:K03924	may:LA62_01955
ko:K05846	may:LA62_06220
ko:K05847	may:LA62_06225
ko:K05846	may:LA62_06230
ko:K05845	may:LA62_06235
ko:K03333	may:LA62_06255
ko:K00867	may:LA62_06265
ko:K00600	may:LA62_06275
ko:K03922	may:LA62_06280
ko:K07175	may:LA62_06285
ko:K03088	may:LA62_06325
ko:K01679	may:LA62_06335
ko:K02446	may:LA62_06340
ko:K03929	may:LA62_06210
ko:K03601	may:LA62_06360
ko:K03527	may:LA62_06370
ko:K06200	may:LA62_06385
ko:K06942	may:LA62_06415
ko:K09167	may:LA62_06430
ko:K08981	may:LA62_06435
ko:K01738	may:LA62_06450
ko:K03602	may:LA62_06355
ko:K07454	may:LA62_01995
ko:K03581	may:LA62_02000
ko:K03582	may:LA62_02005
ko:K03583	may:LA62_02010
ko:K01738	may:LA62_02050
ko:K10773	may:LA62_02110
ko:K01895	may:LA62_02145
ko:K15580	may:LA62_02150
ko:K15581	may:LA62_02155
ko:K15582	may:LA62_02160
ko:K02031	may:LA62_02165
ko:K02032	may:LA62_02165
ko:K02283	may:LA62_02185
ko:K06994	may:LA62_06520
ko:K01533	may:LA62_02275
ko:K01738	may:LA62_02285
ko:K01673	may:LA62_02370
ko:K12510	may:LA62_02385
ko:K06994	may:LA62_02420
ko:K06877	may:LA62_02460
ko:K03704	may:LA62_02465
ko:K03168	may:LA62_02475
ko:K02341	may:LA62_02485
ko:K06978	may:LA62_02540
ko:K01784	may:LA62_02550
ko:K09153	may:LA62_02555
ko:K04477	may:LA62_00490
ko:K05794	may:LA62_02590
ko:K01507	may:LA62_02625
ko:K07259	may:LA62_02630
ko:K04075	may:LA62_02640
ko:K00760	may:LA62_02650
ko:K09807	may:LA62_02655
ko:K09807	may:LA62_02660
ko:K14733	may:LA62_02670
ko:K03798	may:LA62_02700
ko:K01495	may:LA62_02705
ko:K00796	may:LA62_02710
ko:K01633	may:LA62_02715
ko:K00950	may:LA62_02720
ko:K01918	may:LA62_02740
ko:K01579	may:LA62_02745
ko:K03525	may:LA62_02750
ko:K04567	may:LA62_02755
ko:K03696	may:LA62_02765
ko:K02016	may:LA62_02770
ko:K02013	may:LA62_02775
ko:K02015	may:LA62_02780
ko:K01114	may:LA62_02810
ko:K03575	may:LA62_02825
ko:K01673	may:LA62_02830
ko:K07067	may:LA62_02845
ko:K04485	may:LA62_02855
ko:K07736	may:LA62_02875
ko:K00991	may:LA62_02880
ko:K01770	may:LA62_02885
ko:K01883	may:LA62_02890
ko:K03218	may:LA62_02895
ko:K01126	may:LA62_02900
ko:K07160	may:LA62_02905
ko:K02075	may:LA62_02910
ko:K02074	may:LA62_02915
ko:K02077	may:LA62_02920
ko:K15983	may:LA62_02950
ko:K16047	may:LA62_02955
ko:K16049	may:LA62_02960
ko:K01455	may:LA62_02970
ko:K10536	may:LA62_02975
ko:K06188	may:LA62_02980
ko:K18687	may:LA62_03015
ko:K00059	may:LA62_03025
ko:K00626	may:LA62_03035
ko:K01692	may:LA62_03065
ko:K15981	may:LA62_03090
ko:K00626	may:LA62_03095
ko:K15981	may:LA62_03100
ko:K16051	may:LA62_03150
ko:K02554	may:LA62_03155
ko:K04073	may:LA62_03160
ko:K01666	may:LA62_03165
ko:K00122	may:LA62_05030
ko:K18481	may:LA62_05055
ko:K02067	may:LA62_05080
ko:K02066	may:LA62_05090
ko:K02066	may:LA62_05095
ko:K01725	may:LA62_05180
ko:K03322	may:LA62_05200
ko:K10979	may:LA62_05205
ko:K02228	may:LA62_05230
ko:K10563	may:LA62_05235
ko:K02274	may:LA62_05255
ko:K01714	may:LA62_05280
ko:K01628	may:LA62_05285
ko:K07305	may:LA62_05295
ko:K00432	may:LA62_03495
ko:K06986	may:LA62_03500
ko:K07077	may:LA62_03505
ko:K01952	may:LA62_03515
ko:K01952	may:LA62_03520
ko:K07223	may:LA62_03530
ko:K01952	may:LA62_03560
ko:K07052	may:LA62_03570
ko:K00764	may:LA62_03590
ko:K02035	may:LA62_03620
ko:K02033	may:LA62_03625
ko:K02034	may:LA62_03630
ko:K02031	may:LA62_03635
ko:K02032	may:LA62_03635
ko:K01426	may:LA62_03645
ko:K00215	may:LA62_03660
ko:K01933	may:LA62_03665
ko:K06980	may:LA62_03675
ko:K02619	may:LA62_03680
ko:K01011	may:LA62_03730
ko:K15520	may:LA62_03755
ko:K02040	may:LA62_03760
ko:K02037	may:LA62_03765
ko:K02038	may:LA62_03770
ko:K02036	may:LA62_03775
ko:K02039	may:LA62_03785
ko:K03921	may:LA62_03800
ko:K00074	may:LA62_03825
ko:K08369	may:LA62_03885
ko:K00466	may:LA62_04140
ko:K15371	may:LA62_04150
ko:K07250	may:LA62_04155
ko:K00252	may:LA62_04160
ko:K09684	may:LA62_04175
ko:K10680	may:LA62_04195
ko:K01692	may:LA62_04225
ko:K00626	may:LA62_04230
ko:K07068	may:LA62_04240
ko:K01796	may:LA62_04270
ko:K14267	may:LA62_04280
ko:K00626	may:LA62_04295
ko:K01782	may:LA62_04300
ko:K06994	may:LA62_04320
ko:K10843	may:LA62_04345
ko:K03637	may:LA62_04365
ko:K03635	may:LA62_04375
ko:K03639	may:LA62_04400
ko:K03704	may:LA62_04405
ko:K14953	may:LA62_04470
ko:K00389	may:LA62_04480
ko:K01555	may:LA62_04490
ko:K00451	may:LA62_04500
ko:K00457	may:LA62_04515
ko:K00382	may:LA62_04520
ko:K00627	may:LA62_04525
ko:K00162	may:LA62_04530
ko:K00161	may:LA62_04535
ko:K02618	may:LA62_04550
ko:K00074	may:LA62_04570
ko:K15866	may:LA62_04575
ko:K02609	may:LA62_04580
ko:K02610	may:LA62_04585
ko:K02611	may:LA62_04590
ko:K02612	may:LA62_04595
ko:K02613	may:LA62_04600
ko:K01912	may:LA62_04605
ko:K04755	may:LA62_04620
ko:K02616	may:LA62_04650
ko:K06889	may:LA62_04660
ko:K00831	may:LA62_04685
ko:K00528	may:LA62_04695
ko:K04750	may:LA62_04700
ko:K01810	may:LA62_05300
ko:K04093	may:LA62_05310
ko:K05592	may:LA62_07105
ko:K00104	may:LA62_07125
ko:K06147	may:LA62_07160
ko:K06147	may:LA62_07165
ko:K08296	may:LA62_07185
ko:K01887	may:LA62_07260
ko:K01586	may:LA62_07265
ko:K00003	may:LA62_07270
ko:K01733	may:LA62_07275
ko:K00872	may:LA62_07280
ko:K03628	may:LA62_07285
ko:K02909	may:LA62_07305
ko:K02835	may:LA62_07310
ko:K02493	may:LA62_07315
ko:K02851	may:LA62_07325
ko:K02108	may:LA62_07335
ko:K02110	may:LA62_07340
ko:K02109	may:LA62_07345
ko:K02111	may:LA62_07355
ko:K02115	may:LA62_07360
ko:K02112	may:LA62_07365
ko:K02114	may:LA62_07370
ko:K00790	may:LA62_07385
ko:K06442	may:LA62_12005
ko:K00858	may:LA62_12010
ko:K03631	may:LA62_12015
ko:K01937	may:LA62_12030
ko:K01515	may:LA62_12035
ko:K04763	may:LA62_12040
ko:K05896	may:LA62_12050
ko:K06024	may:LA62_12055
ko:K06178	may:LA62_12060
ko:K00945	may:LA62_12065
ko:K03977	may:LA62_12070
ko:K14953	may:LA62_12115
ko:K07006	may:LA62_12130
ko:K03070	may:LA62_12205
ko:K02437	may:LA62_12230
ko:K08999	may:LA62_12245
ko:K00281	may:LA62_12255
ko:K01638	may:LA62_12265
ko:K00088	may:LA62_12280
ko:K00033	may:LA62_12285
ko:K03655	may:LA62_16645
ko:K07030	may:LA62_16650
ko:K02902	may:LA62_16655
ko:K15866	may:LA62_16660
ko:K03648	may:LA62_16670
ko:K00946	may:LA62_16675
ko:K01921	may:LA62_16685
ko:K01758	may:LA62_16690
ko:K00057	may:LA62_16695
ko:K14941	may:LA62_16700
ko:K00937	may:LA62_16705
ko:K03574	may:LA62_16710
ko:K03530	may:LA62_16715
ko:K01704	may:LA62_16720
ko:K01703	may:LA62_16725
ko:K01885	may:LA62_16755
ko:K00052	may:LA62_16780
ko:K00058	may:LA62_16785
ko:K10679	may:LA62_16815
ko:K00053	may:LA62_16870
ko:K01653	may:LA62_16875
ko:K01652	may:LA62_16880
ko:K03718	may:LA62_16900
ko:K00480	may:LA62_16915
ko:K03147	may:LA62_21330
ko:K00941	may:LA62_21335
ko:K07020	may:LA62_21340
ko:K03885	may:LA62_21345
ko:K03088	may:LA62_21350
ko:K09684	may:LA62_21360
ko:K00276	may:LA62_21370
ko:K07250	may:LA62_21385
ko:K00135	may:LA62_21390
ko:K03149	may:LA62_21430
ko:K03154	may:LA62_21435
ko:K03153	may:LA62_21440
ko:K00788	may:LA62_21445
ko:K03574	may:LA62_21455
ko:K02030	may:LA62_21465
ko:K14949	may:LA62_21470
ko:K00925	may:LA62_21475
ko:K13788	may:LA62_21480
ko:K01191	may:LA62_21485
ko:K02030	may:LA62_21530
ko:K02028	may:LA62_21535
ko:K02029	may:LA62_21540
ko:K06994	may:LA62_21550
ko:K10764	may:LA62_21560
ko:K08289	may:LA62_21575
ko:K03316	may:LA62_21580
ko:K03657	may:LA62_05315
ko:K01903	may:LA62_05325
ko:K01902	may:LA62_05330
ko:K17228	may:LA62_05345
ko:K11175	may:LA62_05360
ko:K00602	may:LA62_05365
ko:K02471	may:LA62_05370
ko:K01692	may:LA62_05400
ko:K01965	may:LA62_05410
ko:K02911	may:LA62_05430
ko:K07669	may:LA62_05435
ko:K07653	may:LA62_05440
ko:K08372	may:LA62_05445
ko:K03282	may:LA62_05465
ko:K01934	may:LA62_05480
ko:K00963	may:LA62_05485
ko:K03750	may:LA62_05490
ko:K03790	may:LA62_05495
ko:K04487	may:LA62_05530
ko:K09009	may:LA62_05915
ko:K01524	may:LA62_05920
ko:K07090	may:LA62_05930
ko:K01692	may:LA62_06020
ko:K01692	may:LA62_06030
ko:K00140	may:LA62_06040
ko:K08289	may:LA62_06050
ko:K00626	may:LA62_06055
ko:K01697	may:LA62_06070
ko:K01739	may:LA62_06080
ko:K01754	may:LA62_06090
ko:K03624	may:LA62_06100
ko:K18455	may:LA62_06110
ko:K06888	may:LA62_06120
ko:K11068	may:LA62_06135
ko:K12503	may:LA62_06140
ko:K15981	may:LA62_06150
ko:K05917	may:LA62_06165
ko:K00128	may:LA62_06185
ko:K01607	may:LA62_06200
ko:K11065	may:LA62_06535
ko:K13669	may:LA62_06610
ko:K01433	may:LA62_06620
ko:K01724	may:LA62_06625
ko:K03574	may:LA62_06630
ko:K06207	may:LA62_06635
ko:K07506	may:LA62_06650
ko:K15525	may:LA62_06665
ko:K00545	may:LA62_06680
ko:K11779	may:LA62_06685
ko:K00219	may:LA62_06710
ko:K00294	may:LA62_06735
ko:K00318	may:LA62_06740
ko:K12429	may:LA62_06745
ko:K00674	may:LA62_06760
ko:K01439	may:LA62_06765
ko:K08223	may:LA62_06775
ko:K06966	may:LA62_06785
ko:K06966	may:LA62_06790
ko:K00666	may:LA62_06795
ko:K15981	may:LA62_00510
ko:K10215	may:LA62_00520
ko:K02553	may:LA62_00540
ko:K07156	may:LA62_00550
ko:K07304	may:LA62_00600
ko:K01126	may:LA62_00615
ko:K04518	may:LA62_00665
ko:K00156	may:LA62_00680
ko:K07507	may:LA62_00740
ko:K04564	may:LA62_00590
ko:K13571	may:LA62_11110
ko:K13573	may:LA62_11125
ko:K03116	may:LA62_11130
ko:K03118	may:LA62_11135
ko:K03727	may:LA62_11140
ko:K00595	may:LA62_11170
ko:K05936	may:LA62_11175
ko:K05895	may:LA62_11180
ko:K13540	may:LA62_11185
ko:K06042	may:LA62_11190
ko:K02229	may:LA62_11195
ko:K02230	may:LA62_11200
ko:K07006	may:LA62_11205
ko:K07006	may:LA62_11210
ko:K07113	may:LA62_11215
ko:K03820	may:LA62_11225
ko:K00721	may:LA62_11230
ko:K06994	may:LA62_11250
ko:K15554	may:LA62_11280
ko:K15555	may:LA62_11285
ko:K15553	may:LA62_11290
ko:K04091	may:LA62_11295
ko:K06978	may:LA62_11310
ko:K03710	may:LA62_11395
ko:K02956	may:LA62_15775
ko:K11753	may:LA62_15780
ko:K03709	may:LA62_15785
ko:K03177	may:LA62_15815
ko:K01692	may:LA62_15855
ko:K02834	may:LA62_15885
ko:K02519	may:LA62_15890
ko:K05916	may:LA62_15910
ko:K13771	may:LA62_15915
ko:K02600	may:LA62_15920
ko:K09748	may:LA62_15925
ko:K01881	may:LA62_15945
ko:K02302	may:LA62_15960
ko:K16786	may:LA62_15965
ko:K16787	may:LA62_15965
ko:K16785	may:LA62_15970
ko:K12433	may:LA62_15985
ko:K06994	may:LA62_15995
ko:K02224	may:LA62_16025
ko:K03404	may:LA62_16035
ko:K02348	may:LA62_16040
ko:K00116	may:LA62_16045
ko:K07044	may:LA62_20435
ko:K07044	may:LA62_20455
ko:K02066	may:LA62_20470
ko:K02066	may:LA62_20475
ko:K02067	may:LA62_20485
ko:K02067	may:LA62_20490
ko:K02067	may:LA62_20505
ko:K07776	may:LA62_20565
ko:K07768	may:LA62_20570
ko:K01834	may:LA62_20575
ko:K15521	may:LA62_20615
ko:K14953	may:LA62_20705
ko:K07107	may:LA62_09620
ko:K07241	may:LA62_09665
ko:K02227	may:LA62_09670
ko:K01104	may:LA62_09680
ko:K00817	may:LA62_09690
ko:K07164	may:LA62_09700
ko:K07226	may:LA62_09710
ko:K03924	may:LA62_09730
ko:K00606	may:LA62_09765
ko:K01915	may:LA62_09785
ko:K00982	may:LA62_09790
ko:K15977	may:LA62_09835
ko:K15977	may:LA62_09840
ko:K05523	may:LA62_09845
ko:K01915	may:LA62_09850
ko:K03644	may:LA62_09890
ko:K03801	may:LA62_09895
ko:K07071	may:LA62_09900
ko:K00942	may:LA62_14325
ko:K01591	may:LA62_14340
ko:K01955	may:LA62_14345
ko:K01956	may:LA62_14350
ko:K01465	may:LA62_14360
ko:K00609	may:LA62_14365
ko:K02825	may:LA62_14370
ko:K03625	may:LA62_14390
ko:K02356	may:LA62_14395
ko:K03786	may:LA62_14410
ko:K01735	may:LA62_14415
ko:K00891	may:LA62_14420
ko:K01736	may:LA62_14425
ko:K02654	may:LA62_14430
ko:K00598	may:LA62_14435
ko:K00014	may:LA62_14450
ko:K07082	may:LA62_14455
ko:K07447	may:LA62_14460
ko:K01872	may:LA62_14465
ko:K07478	may:LA62_14475
ko:K07089	may:LA62_14515
ko:K01560	may:LA62_14525
ko:K01876	may:LA62_14535
ko:K03929	may:LA62_14540
ko:K07054	may:LA62_14545
ko:K07032	may:LA62_14555
ko:K01892	may:LA62_14570
ko:K03768	may:LA62_14580
ko:K17836	may:LA62_14585
ko:K00951	may:LA62_14590
ko:K00759	may:LA62_14595
ko:K02035	may:LA62_14600
ko:K03074	may:LA62_14605
ko:K01409	may:LA62_18965
ko:K03789	may:LA62_18970
ko:K06925	may:LA62_18980
ko:K01775	may:LA62_18990
ko:K01580	may:LA62_18995
ko:K00820	may:LA62_19010
ko:K01113	may:LA62_19040
ko:K03431	may:LA62_19045
ko:K02996	may:LA62_19050
ko:K02871	may:LA62_19055
ko:K03466	may:LA62_19075
ko:K14743	may:LA62_19085
ko:K06173	may:LA62_19135
ko:K02879	may:LA62_19140
ko:K03040	may:LA62_19145
ko:K02986	may:LA62_19150
ko:K02948	may:LA62_19155
ko:K02952	may:LA62_19160
ko:K02919	may:LA62_19165
ko:K02518	may:LA62_19170
ko:K07192	may:LA62_19185
ko:K01790	may:LA62_19200
ko:K01265	may:LA62_19210
ko:K00939	may:LA62_19215
ko:K03076	may:LA62_19220
ko:K04773	may:LA62_19245
ko:K03975	may:LA62_23660
ko:K07045	may:LA62_23690
ko:K02078	may:LA62_23700
ko:K02003	may:LA62_23705
ko:K02004	may:LA62_23710
ko:K04487	may:LA62_23715
ko:K04488	may:LA62_23720
ko:K00038	may:LA62_23755
ko:K06994	may:LA62_23870
ko:K06994	may:LA62_23875
ko:K12421	may:LA62_23930
ko:K07006	may:LA62_23935
ko:K11105	may:LA62_23945
ko:K01808	may:LA62_08000
ko:K05522	may:LA62_08005
ko:K03545	may:LA62_08040
ko:K01358	may:LA62_08045
ko:K01358	may:LA62_08050
ko:K03544	may:LA62_08055
ko:K02379	may:LA62_08100
ko:K00174	may:LA62_08110
ko:K00175	may:LA62_08115
ko:K03752	may:LA62_08130
ko:K01873	may:LA62_08160
ko:K11754	may:LA62_08165
ko:K00940	may:LA62_08175
ko:K02888	may:LA62_08195
ko:K02899	may:LA62_08200
ko:K03979	may:LA62_08205
ko:K00931	may:LA62_08210
ko:K00852	may:LA62_08230
ko:K00147	may:LA62_08235
ko:K07161	may:LA62_08245
ko:K00969	may:LA62_08250
ko:K09710	may:LA62_08255
ko:K02237	may:LA62_08275
ko:K02238	may:LA62_08280
ko:K16234	may:LA62_12895
ko:K00156	may:LA62_12900
ko:K10536	may:LA62_12935
ko:K12251	may:LA62_12940
ko:K03921	may:LA62_12960
ko:K06048	may:LA62_13000
ko:K01596	may:LA62_13015
ko:K01673	may:LA62_13030
ko:K03325	may:LA62_13045
ko:K02069	may:LA62_13055
ko:K05712	may:LA62_13070
ko:K00666	may:LA62_13075
ko:K02484	may:LA62_13115
ko:K06720	may:LA62_13130
ko:K01835	may:LA62_17545
ko:K03929	may:LA62_17555
ko:K03929	may:LA62_17560
ko:K13993	may:LA62_17630
ko:K01652	may:LA62_17645
ko:K00135	may:LA62_17650
ko:K03664	may:LA62_17660
ko:K09811	may:LA62_17665
ko:K09812	may:LA62_17670
ko:K02836	may:LA62_17685
ko:K00528	may:LA62_17705
ko:K05602	may:LA62_17720
ko:K03696	may:LA62_17755
ko:K09118	may:LA62_17795
ko:K07177	may:LA62_17800
ko:K16050	may:LA62_22185
ko:K05713	may:LA62_22215
ko:K02554	may:LA62_22220
ko:K04073	may:LA62_22225
ko:K01666	may:LA62_22230
ko:K01907	may:LA62_22235
ko:K00666	may:LA62_22240
ko:K01644	may:LA62_22245
ko:K05596	may:LA62_22260
ko:K06994	may:LA62_22265
ko:K06895	may:LA62_22285
ko:K00055	may:LA62_22295
ko:K02016	may:LA62_22305
ko:K09125	may:LA62_22315
ko:K03921	may:LA62_22360
ko:K04756	may:LA62_22375
ko:K03386	may:LA62_22380
ko:K04761	may:LA62_22385
ko:K01799	may:LA62_22405
ko:K02433	may:LA62_22415
ko:K00823	may:LA62_22425
