ko:K03798	smub:IM46_005
ko:K00294	smub:IM46_460
ko:K03572	smub:IM46_462
ko:K01755	smub:IM46_464
ko:K00161	smub:IM46_467
ko:K00627	smub:IM46_469
ko:K00134	smub:IM46_473
ko:K03218	smub:IM46_477
ko:K01754	smub:IM46_479
ko:K00053	smub:IM46_481
ko:K01653	smub:IM46_483
ko:K01652	smub:IM46_485
ko:K01687	smub:IM46_486
ko:K01886	smub:IM46_041
ko:K03495	smub:IM46_045
ko:K02115	smub:IM46_056
ko:K09458	smub:IM46_029
ko:K01980	smub:IM46_140
ko:K01977	smub:IM46_137
ko:K01985	smub:IM46_141
ko:K14226	smub:IM46_097
ko:K14235	smub:IM46_114
ko:K14234	smub:IM46_117
ko:K14225	smub:IM46_118
ko:K14225	smub:IM46_152
ko:K14227	smub:IM46_138
ko:K14218	smub:IM46_139
ko:K14228	smub:IM46_153
ko:K14228	smub:IM46_283
ko:K14228	smub:IM46_284
ko:K14228	smub:IM46_331
ko:K14221	smub:IM46_211
ko:K14229	smub:IM46_212
ko:K14233	smub:IM46_260
ko:K14233	smub:IM46_299
ko:K14219	smub:IM46_258
ko:K14219	smub:IM46_305
ko:K14219	smub:IM46_466
ko:K14232	smub:IM46_259
ko:K14224	smub:IM46_371
ko:K14223	smub:IM46_376
ko:K14234	smub:IM46_120
ko:K14236	smub:IM46_119
ko:K14233	smub:IM46_237
ko:K14230	smub:IM46_1439
ko:K14230	smub:IM46_300
ko:K14230	smub:IM46_334
ko:K14220	smub:IM46_040
ko:K14222	smub:IM46_049
ko:K14231	smub:IM46_086
ko:K14237	smub:IM46_192
ko:K00821	smub:IM46_196
