ko:K01212	ppoy:RE92_08210
ko:K11065	ppoy:RE92_03305
ko:K05592	ppoy:RE92_03320
ko:K03327	ppoy:RE92_03340
ko:K00850	ppoy:RE92_03350
ko:K16188	ppoy:RE92_03355
ko:K03704	ppoy:RE92_03365
ko:K08602	ppoy:RE92_03380
ko:K15738	ppoy:RE92_03395
ko:K01126	ppoy:RE92_03415
ko:K07282	ppoy:RE92_03420
ko:K00231	ppoy:RE92_03425
ko:K01772	ppoy:RE92_03430
ko:K01599	ppoy:RE92_03435
ko:K07444	ppoy:RE92_03450
ko:K02016	ppoy:RE92_07675
ko:K02015	ppoy:RE92_07680
ko:K02015	ppoy:RE92_07685
ko:K07397	ppoy:RE92_07690
ko:K10009	ppoy:RE92_07700
ko:K02424	ppoy:RE92_07705
ko:K01945	ppoy:RE92_07715
ko:K00602	ppoy:RE92_07720
ko:K11175	ppoy:RE92_07725
ko:K01933	ppoy:RE92_07730
ko:K00764	ppoy:RE92_07740
ko:K01952	ppoy:RE92_07745
ko:K01952	ppoy:RE92_07750
ko:K01952	ppoy:RE92_07755
ko:K01923	ppoy:RE92_07760
ko:K01756	ppoy:RE92_07770
ko:K01589	ppoy:RE92_07775
ko:K01588	ppoy:RE92_07780
ko:K01424	ppoy:RE92_07795
ko:K03169	ppoy:RE92_07800
ko:K00648	ppoy:RE92_07805
ko:K06901	ppoy:RE92_07825
ko:K05995	ppoy:RE92_07845
ko:K01951	ppoy:RE92_07850
ko:K06295	ppoy:RE92_07860
ko:K06297	ppoy:RE92_07865
ko:K06296	ppoy:RE92_07870
ko:K06296	ppoy:RE92_07880
ko:K03564	ppoy:RE92_07885
ko:K01992	ppoy:RE92_07890
ko:K01992	ppoy:RE92_07895
ko:K01990	ppoy:RE92_07900
ko:K01845	ppoy:RE92_07910
ko:K15532	ppoy:RE92_07925
ko:K02026	ppoy:RE92_07935
ko:K00059	ppoy:RE92_12475
ko:K13653	ppoy:RE92_12485
ko:K06941	ppoy:RE92_12490
ko:K02823	ppoy:RE92_12495
ko:K17828	ppoy:RE92_12500
ko:K11614	ppoy:RE92_12510
ko:K11615	ppoy:RE92_12515
ko:K03778	ppoy:RE92_12520
ko:K07088	ppoy:RE92_12525
ko:K00547	ppoy:RE92_12530
ko:K01629	ppoy:RE92_12545
ko:K01813	ppoy:RE92_12550
ko:K00848	ppoy:RE92_12555
ko:K03816	ppoy:RE92_12560
ko:K16169	ppoy:RE92_12565
ko:K02035	ppoy:RE92_12570
ko:K02033	ppoy:RE92_12575
ko:K15584	ppoy:RE92_12595
ko:K15585	ppoy:RE92_12600
ko:K15586	ppoy:RE92_12605
ko:K15587	ppoy:RE92_12610
ko:K10824	ppoy:RE92_12615
ko:K16957	ppoy:RE92_12620
ko:K16959	ppoy:RE92_12625
ko:K01424	ppoy:RE92_12635
ko:K02760	ppoy:RE92_12690
ko:K02759	ppoy:RE92_12695
ko:K02761	ppoy:RE92_12700
ko:K01223	ppoy:RE92_12705
ko:K03492	ppoy:RE92_12710
ko:K05916	ppoy:RE92_12720
ko:K01875	ppoy:RE92_12725
ko:K03308	ppoy:RE92_12735
ko:K01308	ppoy:RE92_03480
ko:K01776	ppoy:RE92_03485
ko:K02103	ppoy:RE92_03555
ko:K00096	ppoy:RE92_03560
ko:K00209	ppoy:RE92_03570
ko:K03826	ppoy:RE92_03590
ko:K13747	ppoy:RE92_03615
ko:K00290	ppoy:RE92_03620
ko:K04079	ppoy:RE92_03630
ko:K01223	ppoy:RE92_03685
ko:K02755	ppoy:RE92_03690
ko:K01443	ppoy:RE92_17210
ko:K02564	ppoy:RE92_17215
ko:K02078	ppoy:RE92_17225
ko:K01990	ppoy:RE92_17250
ko:K01992	ppoy:RE92_17255
ko:K01992	ppoy:RE92_17260
ko:K01586	ppoy:RE92_17280
ko:K07243	ppoy:RE92_17285
ko:K16301	ppoy:RE92_17290
ko:K07224	ppoy:RE92_17295
ko:K01994	ppoy:RE92_17300
ko:K00563	ppoy:RE92_17320
ko:K03406	ppoy:RE92_17330
ko:K13015	ppoy:RE92_17360
ko:K00568	ppoy:RE92_17365
ko:K19169	ppoy:RE92_17410
ko:K03823	ppoy:RE92_17415
ko:K03893	ppoy:RE92_17440
ko:K00169	ppoy:RE92_21865
ko:K00793	ppoy:RE92_21875
ko:K00794	ppoy:RE92_21885
ko:K05896	ppoy:RE92_21890
ko:K06024	ppoy:RE92_21895
ko:K00686	ppoy:RE92_21910
ko:K06373	ppoy:RE92_21920
ko:K06374	ppoy:RE92_21925
ko:K06178	ppoy:RE92_21930
ko:K07775	ppoy:RE92_21935
ko:K07651	ppoy:RE92_21940
ko:K00058	ppoy:RE92_21945
ko:K07052	ppoy:RE92_21950
ko:K16511	ppoy:RE92_21970
ko:K06313	ppoy:RE92_21980
ko:K00945	ppoy:RE92_21990
ko:K00655	ppoy:RE92_21995
ko:K02945	ppoy:RE92_22000
ko:K03977	ppoy:RE92_22005
ko:K08591	ppoy:RE92_22010
ko:K00057	ppoy:RE92_22015
ko:K06398	ppoy:RE92_22035
ko:K02058	ppoy:RE92_22040
ko:K02056	ppoy:RE92_22045
ko:K02057	ppoy:RE92_22050
ko:K03530	ppoy:RE92_22055
ko:K06285	ppoy:RE92_22065
ko:K00805	ppoy:RE92_22075
ko:K03183	ppoy:RE92_22080
ko:K03179	ppoy:RE92_22085
ko:K03186	ppoy:RE92_22090
ko:K11782	ppoy:RE92_22095
ko:K00805	ppoy:RE92_22100
ko:K00940	ppoy:RE92_22105
ko:K00575	ppoy:RE92_22110
ko:K01736	ppoy:RE92_22115
ko:K01735	ppoy:RE92_22120
ko:K06208	ppoy:RE92_22125
ko:K01657	ppoy:RE92_22130
ko:K00766	ppoy:RE92_22135
ko:K01609	ppoy:RE92_22140
ko:K01817	ppoy:RE92_22145
ko:K01696	ppoy:RE92_22150
ko:K02433	ppoy:RE92_19825
ko:K03091	ppoy:RE92_19855
ko:K18981	ppoy:RE92_19875
ko:K17319	ppoy:RE92_19880
ko:K17320	ppoy:RE92_19885
ko:K17318	ppoy:RE92_19890
ko:K07038	ppoy:RE92_19905
ko:K06405	ppoy:RE92_19915
ko:K06406	ppoy:RE92_19920
ko:K06407	ppoy:RE92_19925
ko:K03924	ppoy:RE92_19930
ko:K07015	ppoy:RE92_19945
ko:K06948	ppoy:RE92_19950
ko:K00014	ppoy:RE92_19955
ko:K07574	ppoy:RE92_19960
ko:K00969	ppoy:RE92_19965
ko:K09710	ppoy:RE92_19975
ko:K00243	ppoy:RE92_19980
ko:K01869	ppoy:RE92_19995
ko:K02239	ppoy:RE92_20000
ko:K02237	ppoy:RE92_20005
ko:K02238	ppoy:RE92_20015
ko:K03088	ppoy:RE92_20020
ko:K02340	ppoy:RE92_20030
ko:K02968	ppoy:RE92_20035
ko:K06012	ppoy:RE92_20040
ko:K06385	ppoy:RE92_20045
ko:K03596	ppoy:RE92_20055
ko:K00619	ppoy:RE92_20065
ko:K03705	ppoy:RE92_20075
ko:K03687	ppoy:RE92_20080
ko:K04043	ppoy:RE92_20085
ko:K03686	ppoy:RE92_20090
ko:K11614	ppoy:RE92_20095
ko:K11615	ppoy:RE92_20100
ko:K11616	ppoy:RE92_20105
ko:K00027	ppoy:RE92_20110
ko:K06284	ppoy:RE92_24510
ko:K06284	ppoy:RE92_24515
ko:K06284	ppoy:RE92_24530
ko:K03574	ppoy:RE92_24570
ko:K00575	ppoy:RE92_16015
ko:K04749	ppoy:RE92_16025
ko:K04757	ppoy:RE92_16030
ko:K03090	ppoy:RE92_16035
ko:K06911	ppoy:RE92_16065
ko:K02435	ppoy:RE92_16130
ko:K02433	ppoy:RE92_16135
ko:K02434	ppoy:RE92_16140
ko:K07507	ppoy:RE92_16150
ko:K09825	ppoy:RE92_16165
ko:K03969	ppoy:RE92_16290
ko:K11622	ppoy:RE92_16295
ko:K11617	ppoy:RE92_16300
ko:K11618	ppoy:RE92_16305
ko:K01198	ppoy:RE92_20690
ko:K01449	ppoy:RE92_20725
ko:K00648	ppoy:RE92_20735
ko:K00005	ppoy:RE92_20745
ko:K09771	ppoy:RE92_20770
ko:K02601	ppoy:RE92_20800
ko:K15337	ppoy:RE92_20810
ko:K00646	ppoy:RE92_20815
ko:K15311	ppoy:RE92_20820
ko:K15312	ppoy:RE92_20825
ko:K15313	ppoy:RE92_20830
ko:K13611	ppoy:RE92_20835
ko:K15328	ppoy:RE92_20860
ko:K15329	ppoy:RE92_20865
ko:K01876	ppoy:RE92_20870
ko:K03648	ppoy:RE92_20880
ko:K07718	ppoy:RE92_20910
ko:K07720	ppoy:RE92_20915
ko:K17318	ppoy:RE92_20920
ko:K17319	ppoy:RE92_20925
ko:K17320	ppoy:RE92_20930
ko:K12308	ppoy:RE92_20935
ko:K01224	ppoy:RE92_20940
ko:K03406	ppoy:RE92_20945
ko:K07088	ppoy:RE92_20950
ko:K00027	ppoy:RE92_20955
ko:K02575	ppoy:RE92_20960
ko:K00362	ppoy:RE92_20965
ko:K00372	ppoy:RE92_20970
ko:K00766	ppoy:RE92_20975
ko:K12257	ppoy:RE92_18065
ko:K07462	ppoy:RE92_18080
ko:K00759	ppoy:RE92_18085
ko:K03406	ppoy:RE92_18090
ko:K02824	ppoy:RE92_18095
ko:K00951	ppoy:RE92_18100
ko:K07560	ppoy:RE92_18105
ko:K05520	ppoy:RE92_18110
ko:K01892	ppoy:RE92_18120
ko:K01876	ppoy:RE92_18125
ko:K06901	ppoy:RE92_18135
ko:K18104	ppoy:RE92_18140
ko:K03657	ppoy:RE92_18145
ko:K07478	ppoy:RE92_18150
ko:K06199	ppoy:RE92_18155
ko:K06199	ppoy:RE92_18160
ko:K00566	ppoy:RE92_18185
ko:K17472	ppoy:RE92_18190
ko:K04487	ppoy:RE92_18195
ko:K03406	ppoy:RE92_18210
ko:K01872	ppoy:RE92_18220
ko:K07447	ppoy:RE92_18230
ko:K07082	ppoy:RE92_18245
ko:K08303	ppoy:RE92_18250
ko:K08303	ppoy:RE92_18255
ko:K03406	ppoy:RE92_18260
ko:K01687	ppoy:RE92_18280
ko:K01091	ppoy:RE92_18300
ko:K12410	ppoy:RE92_18305
ko:K19265	ppoy:RE92_18310
ko:K00849	ppoy:RE92_18325
ko:K01784	ppoy:RE92_18330
ko:K00965	ppoy:RE92_18335
ko:K07192	ppoy:RE92_18350
ko:K03480	ppoy:RE92_18355
ko:K00791	ppoy:RE92_22735
ko:K03666	ppoy:RE92_22740
ko:K12555	ppoy:RE92_22745
ko:K09145	ppoy:RE92_22750
ko:K06413	ppoy:RE92_22760
ko:K03665	ppoy:RE92_22765
ko:K03713	ppoy:RE92_22775
ko:K01915	ppoy:RE92_22780
ko:K18925	ppoy:RE92_22945
ko:K18924	ppoy:RE92_22950
ko:K00278	ppoy:RE92_22955
ko:K01356	ppoy:RE92_23005
ko:K07025	ppoy:RE92_23025
ko:K08967	ppoy:RE92_23030
ko:K09955	ppoy:RE92_10505
ko:K13955	ppoy:RE92_10520
ko:K09955	ppoy:RE92_10535
ko:K01083	ppoy:RE92_10545
ko:K01880	ppoy:RE92_10555
ko:K06871	ppoy:RE92_10590
ko:K01083	ppoy:RE92_10600
ko:K06872	ppoy:RE92_10625
ko:K03969	ppoy:RE92_10635
ko:K01621	ppoy:RE92_10645
ko:K15975	ppoy:RE92_10660
ko:K15977	ppoy:RE92_10665
ko:K01153	ppoy:RE92_10705
ko:K01154	ppoy:RE92_10710
ko:K03427	ppoy:RE92_10715
ko:K03664	ppoy:RE92_10720
ko:K12573	ppoy:RE92_10725
ko:K03075	ppoy:RE92_10730
ko:K01689	ppoy:RE92_10735
ko:K15633	ppoy:RE92_10740
ko:K01803	ppoy:RE92_10745
ko:K00927	ppoy:RE92_10750
ko:K00134	ppoy:RE92_10755
ko:K05311	ppoy:RE92_10760
ko:K01358	ppoy:RE92_10770
ko:K01595	ppoy:RE92_15115
ko:K03088	ppoy:RE92_15120
ko:K18672	ppoy:RE92_15130
ko:K03431	ppoy:RE92_15140
ko:K00820	ppoy:RE92_15145
ko:K06880	ppoy:RE92_15165
ko:K06147	ppoy:RE92_15190
ko:K06147	ppoy:RE92_15195
ko:K01181	ppoy:RE92_15205
ko:K03484	ppoy:RE92_15210
ko:K10117	ppoy:RE92_15215
ko:K10118	ppoy:RE92_15220
ko:K10119	ppoy:RE92_15225
ko:K01193	ppoy:RE92_15230
ko:K06425	ppoy:RE92_15240
ko:K11623	ppoy:RE92_15245
ko:K11624	ppoy:RE92_15250
ko:K01620	ppoy:RE92_15270
ko:K03893	ppoy:RE92_15310
ko:K01872	ppoy:RE92_15315
ko:K05520	ppoy:RE92_15325
ko:K01497	ppoy:RE92_15345
ko:K11752	ppoy:RE92_15350
ko:K07038	ppoy:RE92_16610
ko:K07476	ppoy:RE92_16620
ko:K09793	ppoy:RE92_16655
ko:K06409	ppoy:RE92_16660
ko:K02259	ppoy:RE92_16675
ko:K02071	ppoy:RE92_16690
ko:K02072	ppoy:RE92_16695
ko:K02073	ppoy:RE92_16700
ko:K00059	ppoy:RE92_16705
ko:K03885	ppoy:RE92_16720
ko:K18285	ppoy:RE92_16725
ko:K13628	ppoy:RE92_16730
ko:K11785	ppoy:RE92_16775
ko:K11783	ppoy:RE92_16780
ko:K00937	ppoy:RE92_16790
ko:K01524	ppoy:RE92_16795
ko:K06371	ppoy:RE92_16805
ko:K03885	ppoy:RE92_16815
ko:K03346	ppoy:RE92_16825
ko:K11144	ppoy:RE92_16830
ko:K03671	ppoy:RE92_16835
ko:K03703	ppoy:RE92_16840
ko:K03498	ppoy:RE92_16855
ko:K03499	ppoy:RE92_16860
ko:K00241	ppoy:RE92_16870
ko:K00239	ppoy:RE92_16875
ko:K00240	ppoy:RE92_16880
ko:K00662	ppoy:RE92_16885
ko:K07098	ppoy:RE92_16890
ko:K00604	ppoy:RE92_21280
ko:K03500	ppoy:RE92_21285
ko:K06941	ppoy:RE92_21290
ko:K06949	ppoy:RE92_21305
ko:K01783	ppoy:RE92_21310
ko:K06414	ppoy:RE92_21315
ko:K02902	ppoy:RE92_21320
ko:K07030	ppoy:RE92_21325
ko:K03655	ppoy:RE92_21335
ko:K03292	ppoy:RE92_21345
ko:K05340	ppoy:RE92_21355
ko:K02346	ppoy:RE92_21360
ko:K03693	ppoy:RE92_21365
ko:K12267	ppoy:RE92_21395
ko:K03810	ppoy:RE92_21410
ko:K01209	ppoy:RE92_21425
ko:K02099	ppoy:RE92_21430
ko:K04072	ppoy:RE92_21475
ko:K00656	ppoy:RE92_21480
ko:K04069	ppoy:RE92_21485
ko:K02076	ppoy:RE92_21495
ko:K08998	ppoy:RE92_21500
ko:K01874	ppoy:RE92_21505
ko:K06196	ppoy:RE92_21510
ko:K03716	ppoy:RE92_21515
ko:K07001	ppoy:RE92_21530
ko:K02016	ppoy:RE92_21545
ko:K01262	ppoy:RE92_21560
ko:K02356	ppoy:RE92_21565
ko:K00928	ppoy:RE92_21570
ko:K03635	ppoy:RE92_19235
ko:K03636	ppoy:RE92_19240
ko:K03639	ppoy:RE92_19245
ko:K03488	ppoy:RE92_19255
ko:K02755	ppoy:RE92_19260
ko:K02756	ppoy:RE92_19260
ko:K02757	ppoy:RE92_19260
ko:K01223	ppoy:RE92_19265
ko:K03406	ppoy:RE92_19315
ko:K09925	ppoy:RE92_19325
ko:K05989	ppoy:RE92_19345
ko:K07002	ppoy:RE92_19390
ko:K03406	ppoy:RE92_19440
ko:K02016	ppoy:RE92_19515
ko:K02016	ppoy:RE92_19525
ko:K01218	ppoy:RE92_23915
ko:K07720	ppoy:RE92_23945
ko:K17318	ppoy:RE92_23950
ko:K17319	ppoy:RE92_23955
ko:K17320	ppoy:RE92_23960
ko:K03429	ppoy:RE92_23990
ko:K03429	ppoy:RE92_24000
ko:K17836	ppoy:RE92_24010
ko:K02529	ppoy:RE92_24020
ko:K17319	ppoy:RE92_24025
ko:K17320	ppoy:RE92_24030
ko:K17318	ppoy:RE92_24035
ko:K03332	ppoy:RE92_24040
ko:K01195	ppoy:RE92_24060
ko:K06880	ppoy:RE92_24115
ko:K01574	ppoy:RE92_24155
ko:K00077	ppoy:RE92_24160
ko:K16264	ppoy:RE92_24175
ko:K01714	ppoy:RE92_24190
ko:K03449	ppoy:RE92_24195
ko:K05571	ppoy:RE92_01530
ko:K05570	ppoy:RE92_01535
ko:K05569	ppoy:RE92_01540
ko:K05568	ppoy:RE92_01545
ko:K05567	ppoy:RE92_01550
ko:K05565	ppoy:RE92_01555
ko:K01421	ppoy:RE92_01580
ko:K00688	ppoy:RE92_01595
ko:K00975	ppoy:RE92_01600
ko:K00975	ppoy:RE92_01605
ko:K07718	ppoy:RE92_01620
ko:K17318	ppoy:RE92_01625
ko:K17320	ppoy:RE92_01630
ko:K17319	ppoy:RE92_01635
ko:K03827	ppoy:RE92_01650
ko:K01685	ppoy:RE92_01655
ko:K00041	ppoy:RE92_01660
ko:K00156	ppoy:RE92_01665
ko:K03292	ppoy:RE92_01675
ko:K01812	ppoy:RE92_01680
ko:K01652	ppoy:RE92_01685
ko:K01575	ppoy:RE92_01690
ko:K13275	ppoy:RE92_01700
ko:K11210	ppoy:RE92_01710
ko:K01776	ppoy:RE92_01720
ko:K01118	ppoy:RE92_01725
ko:K07404	ppoy:RE92_01735
ko:K08369	ppoy:RE92_01745
ko:K00033	ppoy:RE92_01755
ko:K00036	ppoy:RE92_01760
ko:K07078	ppoy:RE92_01780
ko:K00971	ppoy:RE92_06020
ko:K00012	ppoy:RE92_06025
ko:K05946	ppoy:RE92_06060
ko:K00963	ppoy:RE92_06080
ko:K01449	ppoy:RE92_06115
ko:K01975	ppoy:RE92_06120
ko:K01129	ppoy:RE92_06140
ko:K18104	ppoy:RE92_06160
ko:K02034	ppoy:RE92_06165
ko:K02033	ppoy:RE92_06170
ko:K02035	ppoy:RE92_06175
ko:K07273	ppoy:RE92_06180
ko:K05593	ppoy:RE92_06260
ko:K09807	ppoy:RE92_10780
ko:K11184	ppoy:RE92_10785
ko:K09762	ppoy:RE92_10790
ko:K06958	ppoy:RE92_10800
ko:K00845	ppoy:RE92_10805
ko:K00384	ppoy:RE92_10810
ko:K04486	ppoy:RE92_10820
ko:K11755	ppoy:RE92_10825
ko:K02500	ppoy:RE92_10830
ko:K01814	ppoy:RE92_10835
ko:K02501	ppoy:RE92_10840
ko:K01693	ppoy:RE92_10845
ko:K00013	ppoy:RE92_10850
ko:K00765	ppoy:RE92_10855
ko:K02502	ppoy:RE92_10860
ko:K06019	ppoy:RE92_10875
ko:K13292	ppoy:RE92_10880
ko:K06023	ppoy:RE92_10885
ko:K10112	ppoy:RE92_10890
ko:K06317	ppoy:RE92_10965
ko:K06187	ppoy:RE92_10975
ko:K09747	ppoy:RE92_10980
ko:K02343	ppoy:RE92_10985
ko:K02909	ppoy:RE92_10990
ko:K03628	ppoy:RE92_11000
ko:K00790	ppoy:RE92_11005
ko:K01624	ppoy:RE92_11010
ko:K02490	ppoy:RE92_11015
ko:K01937	ppoy:RE92_11020
ko:K03048	ppoy:RE92_11025
ko:K02011	ppoy:RE92_11040
ko:K02012	ppoy:RE92_11045
ko:K03408	ppoy:RE92_15375
ko:K05346	ppoy:RE92_15380
ko:K01619	ppoy:RE92_15385
ko:K01489	ppoy:RE92_15390
ko:K11535	ppoy:RE92_15395
ko:K01839	ppoy:RE92_15400
ko:K03784	ppoy:RE92_15405
ko:K00756	ppoy:RE92_15410
ko:K02048	ppoy:RE92_15430
ko:K02046	ppoy:RE92_15435
ko:K02047	ppoy:RE92_15440
ko:K02042	ppoy:RE92_15450
ko:K02042	ppoy:RE92_15455
ko:K02041	ppoy:RE92_15460
ko:K02044	ppoy:RE92_15465
ko:K01119	ppoy:RE92_15470
ko:K00868	ppoy:RE92_15480
ko:K15975	ppoy:RE92_15490
ko:K06871	ppoy:RE92_15535
ko:K02004	ppoy:RE92_15540
ko:K02003	ppoy:RE92_15545
ko:K02004	ppoy:RE92_15560
ko:K02003	ppoy:RE92_15565
ko:K02015	ppoy:RE92_15580
ko:K02015	ppoy:RE92_15585
ko:K02013	ppoy:RE92_15590
ko:K02016	ppoy:RE92_15595
ko:K06153	ppoy:RE92_15615
ko:K07124	ppoy:RE92_17480
ko:K06298	ppoy:RE92_17495
ko:K00989	ppoy:RE92_17500
ko:K02428	ppoy:RE92_17505
ko:K01953	ppoy:RE92_17510
ko:K01222	ppoy:RE92_17530
ko:K01476	ppoy:RE92_17540
ko:K00788	ppoy:RE92_17550
ko:K00941	ppoy:RE92_17555
ko:K00878	ppoy:RE92_17560
ko:K03707	ppoy:RE92_17565
ko:K00027	ppoy:RE92_17570
ko:K07776	ppoy:RE92_17615
ko:K00971	ppoy:RE92_17620
ko:K02755	ppoy:RE92_17630
ko:K01462	ppoy:RE92_15650
ko:K07718	ppoy:RE92_15655
ko:K07720	ppoy:RE92_15660
ko:K00425	ppoy:RE92_15665
ko:K00426	ppoy:RE92_15670
ko:K16013	ppoy:RE92_15675
ko:K16012	ppoy:RE92_15680
ko:K17319	ppoy:RE92_15695
ko:K17320	ppoy:RE92_15700
ko:K17318	ppoy:RE92_15705
ko:K02687	ppoy:RE92_20125
ko:K09761	ppoy:RE92_20135
ko:K18707	ppoy:RE92_20140
ko:K03324	ppoy:RE92_20150
ko:K06969	ppoy:RE92_20155
ko:K16899	ppoy:RE92_20160
ko:K16898	ppoy:RE92_20165
ko:K03547	ppoy:RE92_20170
ko:K02503	ppoy:RE92_20190
ko:K02970	ppoy:RE92_20195
ko:K09117	ppoy:RE92_20200
ko:K07403	ppoy:RE92_20205
ko:K03294	ppoy:RE92_20220
ko:K06438	ppoy:RE92_20230
ko:K07037	ppoy:RE92_20240
ko:K07042	ppoy:RE92_20245
ko:K03584	ppoy:RE92_20260
ko:K01878	ppoy:RE92_20265
ko:K01879	ppoy:RE92_20270
ko:K09768	ppoy:RE92_20275
ko:K03086	ppoy:RE92_20285
ko:K06967	ppoy:RE92_20295
ko:K05825	ppoy:RE92_20310
ko:K06327	ppoy:RE92_20320
ko:K04487	ppoy:RE92_20350
ko:K03151	ppoy:RE92_20355
ko:K06207	ppoy:RE92_20375
ko:K07175	ppoy:RE92_20385
ko:K00077	ppoy:RE92_20400
ko:K02283	ppoy:RE92_24800
ko:K02945	ppoy:RE92_24820
ko:K06376	ppoy:RE92_25030
ko:K01990	ppoy:RE92_25065
ko:K07095	ppoy:RE92_01795
ko:K03579	ppoy:RE92_01835
ko:K01885	ppoy:RE92_01840
ko:K03466	ppoy:RE92_01890
ko:K06949	ppoy:RE92_01915
ko:K00384	ppoy:RE92_01925
ko:K01887	ppoy:RE92_01960
ko:K03638	ppoy:RE92_01970
ko:K00763	ppoy:RE92_01975
ko:K06168	ppoy:RE92_02000
ko:K15024	ppoy:RE92_02005
ko:K01273	ppoy:RE92_02015
ko:K06416	ppoy:RE92_02020
ko:K09769	ppoy:RE92_02025
ko:K18682	ppoy:RE92_02030
ko:K03565	ppoy:RE92_02035
ko:K03742	ppoy:RE92_02045
ko:K00995	ppoy:RE92_02050
ko:K09767	ppoy:RE92_02055
ko:K06920	ppoy:RE92_06310
ko:K01737	ppoy:RE92_06315
ko:K10026	ppoy:RE92_06320
ko:K09457	ppoy:RE92_06325
ko:K01193	ppoy:RE92_06335
ko:K05349	ppoy:RE92_06340
ko:K02809	ppoy:RE92_06345
ko:K02810	ppoy:RE92_06345
ko:K08223	ppoy:RE92_06365
ko:K03719	ppoy:RE92_06380
ko:K10547	ppoy:RE92_06395
ko:K10548	ppoy:RE92_06400
ko:K10546	ppoy:RE92_06405
ko:K05601	ppoy:RE92_06425
ko:K07720	ppoy:RE92_06430
ko:K07718	ppoy:RE92_06435
ko:K10439	ppoy:RE92_06440
ko:K06284	ppoy:RE92_06460
ko:K13853	ppoy:RE92_06520
ko:K08161	ppoy:RE92_06540
ko:K03768	ppoy:RE92_06550
ko:K07507	ppoy:RE92_06555
ko:K02010	ppoy:RE92_11050
ko:K01887	ppoy:RE92_11065
ko:K06147	ppoy:RE92_11080
ko:K06147	ppoy:RE92_11085
ko:K00797	ppoy:RE92_11095
ko:K01834	ppoy:RE92_11135
ko:K02777	ppoy:RE92_11145
ko:K01724	ppoy:RE92_11175
ko:K02556	ppoy:RE92_11185
ko:K02557	ppoy:RE92_11190
ko:K06182	ppoy:RE92_11195
ko:K03790	ppoy:RE92_11210
ko:K02756	ppoy:RE92_17630
ko:K02757	ppoy:RE92_17630
ko:K03488	ppoy:RE92_17635
ko:K01223	ppoy:RE92_17645
ko:K03310	ppoy:RE92_17650
ko:K10242	ppoy:RE92_17660
ko:K10241	ppoy:RE92_17665
ko:K10240	ppoy:RE92_17670
ko:K02803	ppoy:RE92_17675
ko:K02804	ppoy:RE92_17675
ko:K02440	ppoy:RE92_17680
ko:K00864	ppoy:RE92_17685
ko:K02529	ppoy:RE92_17690
ko:K05350	ppoy:RE92_17695
ko:K01142	ppoy:RE92_17700
ko:K03545	ppoy:RE92_17715
ko:K01358	ppoy:RE92_17720
ko:K03544	ppoy:RE92_17725
ko:K03526	ppoy:RE92_17730
ko:K04076	ppoy:RE92_17735
ko:K01338	ppoy:RE92_17740
ko:K03978	ppoy:RE92_17745
ko:K01695	ppoy:RE92_22155
ko:K00817	ppoy:RE92_22160
ko:K04517	ppoy:RE92_22165
ko:K03088	ppoy:RE92_22180
ko:K00215	ppoy:RE92_22240
ko:K01734	ppoy:RE92_22245
ko:K00974	ppoy:RE92_22260
