ko:K18929	hey:MWE_0206
ko:K03274	hey:MWE_0582
ko:K03272	hey:MWE_0583
ko:K03271	hey:MWE_0584
ko:K00364	hey:MWE_0585
ko:K09805	hey:MWE_0587
ko:K03427	hey:MWE_0589
ko:K01154	hey:MWE_0591
ko:K01153	hey:MWE_0592
ko:K00878	hey:MWE_0593
ko:K03611	hey:MWE_0921
ko:K00175	hey:MWE_0925
ko:K00176	hey:MWE_0927
ko:K07082	hey:MWE_0928
ko:K10773	hey:MWE_0931
ko:K02417	hey:MWE_0932
ko:K01465	hey:MWE_0936
ko:K01491	hey:MWE_0941
ko:K03100	hey:MWE_0942
ko:K01808	hey:MWE_0944
ko:K00759	hey:MWE_0946
ko:K01255	hey:MWE_0948
ko:K06942	hey:MWE_0950
ko:K01778	hey:MWE_0953
ko:K02970	hey:MWE_0957
ko:K02078	hey:MWE_0959
ko:K09458	hey:MWE_0960
ko:K03218	hey:MWE_0966
ko:K02909	hey:MWE_0969
ko:K03628	hey:MWE_0970
ko:K01776	hey:MWE_0971
ko:K00925	hey:MWE_1058
ko:K13788	hey:MWE_1059
ko:K02389	hey:MWE_1063
ko:K02390	hey:MWE_1064
ko:K03657	hey:MWE_1068
ko:K01955	hey:MWE_1074
ko:K00134	hey:MWE_1076
ko:K01821	hey:MWE_1079
ko:K06187	hey:MWE_1080
ko:K03799	hey:MWE_1083
ko:K01495	hey:MWE_1084
ko:K00795	hey:MWE_1085
ko:K03787	hey:MWE_1086
ko:K01737	hey:MWE_1088
ko:K01775	hey:MWE_1098
ko:K03310	hey:MWE_1099
ko:K00285	hey:MWE_1100
ko:K00783	hey:MWE_1113
ko:K01963	hey:MWE_1114
ko:K15257	hey:MWE_1203
ko:K01772	hey:MWE_1204
ko:K01874	hey:MWE_1205
ko:K00574	hey:MWE_1206
ko:K16052	hey:MWE_1207
ko:K15846	hey:MWE_1213
ko:K01951	hey:MWE_1214
ko:K01889	hey:MWE_1223
ko:K01890	hey:MWE_1224
ko:K00800	hey:MWE_1226
ko:K03527	hey:MWE_1227
ko:K02945	hey:MWE_1228
ko:K03182	hey:MWE_1231
ko:K06997	hey:MWE_1232
ko:K03415	hey:MWE_1235
ko:K03407	hey:MWE_1237
ko:K03408	hey:MWE_1238
ko:K11065	hey:MWE_1239
ko:K15256	hey:MWE_1241
ko:K04066	hey:MWE_1242
ko:K02493	hey:MWE_1250
ko:K00262	hey:MWE_1251
ko:K02115	hey:MWE_1318
ko:K02111	hey:MWE_1319
ko:K02113	hey:MWE_1320
ko:K02109	hey:MWE_1321
ko:K02109	hey:MWE_1322
ko:K03524	hey:MWE_1326
ko:K00604	hey:MWE_1327
ko:K02884	hey:MWE_1335
ko:K00554	hey:MWE_1336
ko:K02860	hey:MWE_1337
ko:K06960	hey:MWE_1338
ko:K02959	hey:MWE_1339
ko:K03106	hey:MWE_1340
ko:K01873	hey:MWE_1341
ko:K02563	hey:MWE_1343
ko:K00286	hey:MWE_1346
ko:K04095	hey:MWE_1347
ko:K07042	hey:MWE_1351
ko:K03839	hey:MWE_1352
ko:K00384	hey:MWE_1355
ko:K01810	hey:MWE_1357
ko:K06200	hey:MWE_1360
ko:K02029	hey:MWE_1361
ko:K02029	hey:MWE_1362
ko:K02429	hey:MWE_1366
ko:K01839	hey:MWE_1372
ko:K03496	hey:MWE_0711
ko:K08159	hey:MWE_1380
ko:K00133	hey:MWE_1385
ko:K01892	hey:MWE_1386
ko:K02355	hey:MWE_1390
ko:K02992	hey:MWE_1391
ko:K02950	hey:MWE_1392
ko:K02935	hey:MWE_1394
ko:K02864	hey:MWE_1395
ko:K02863	hey:MWE_1396
ko:K02867	hey:MWE_1397
ko:K02601	hey:MWE_1398
ko:K03073	hey:MWE_1399
ko:K02913	hey:MWE_1401
ko:K02358	hey:MWE_1402
ko:K00640	hey:MWE_1411
ko:K02110	hey:MWE_1415
ko:K00962	hey:MWE_1416
ko:K04744	hey:MWE_1418
ko:K01945	hey:MWE_1420
ko:K00806	hey:MWE_1422
ko:K06199	hey:MWE_1426
ko:K08311	hey:MWE_1429
ko:K00928	hey:MWE_1430
ko:K02341	hey:MWE_1432
ko:K00796	hey:MWE_1433
ko:K02879	hey:MWE_1500
ko:K03040	hey:MWE_1501
ko:K02986	hey:MWE_1502
ko:K02948	hey:MWE_1503
ko:K02952	hey:MWE_1504
ko:K02919	hey:MWE_1505
ko:K02518	hey:MWE_1506
ko:K01265	hey:MWE_1507
ko:K03076	hey:MWE_1508
ko:K02876	hey:MWE_1509
ko:K02988	hey:MWE_1510
ko:K02881	hey:MWE_1511
ko:K02933	hey:MWE_1512
ko:K02994	hey:MWE_1513
ko:K02931	hey:MWE_1514
ko:K02874	hey:MWE_1516
ko:K02961	hey:MWE_1517
ko:K02904	hey:MWE_1518
ko:K02878	hey:MWE_1519
ko:K02982	hey:MWE_1520
ko:K02890	hey:MWE_1521
ko:K02965	hey:MWE_1522
ko:K02886	hey:MWE_1523
ko:K02892	hey:MWE_1524
ko:K02926	hey:MWE_1525
ko:K02906	hey:MWE_1526
ko:K02946	hey:MWE_1527
ko:K07133	hey:MWE_1528
ko:K03470	hey:MWE_1530
ko:K03686	hey:MWE_1539
ko:K00566	hey:MWE_1542
ko:K00969	hey:MWE_1544
ko:K07722	hey:MWE_1545
ko:K03832	hey:MWE_1548
ko:K04656	hey:MWE_1551
ko:K02377	hey:MWE_1553
ko:K01711	hey:MWE_1554
ko:K02914	hey:MWE_1627
ko:K03217	hey:MWE_1630
ko:K03650	hey:MWE_1633
ko:K07337	hey:MWE_1641
ko:K06178	hey:MWE_1643
ko:K02337	hey:MWE_1644
ko:K00428	hey:MWE_1645
ko:K02065	hey:MWE_1651
ko:K02066	hey:MWE_1652
ko:K00826	hey:MWE_1655
ko:K00943	hey:MWE_1662
ko:K00954	hey:MWE_1663
ko:K03186	hey:MWE_1664
ko:K02386	hey:MWE_1665
ko:K03657	hey:MWE_1666
ko:K01875	hey:MWE_1668
ko:K03602	hey:MWE_1670
ko:K03183	hey:MWE_1671
ko:K08973	hey:MWE_1672
ko:K01993	hey:MWE_1676
ko:K03306	hey:MWE_1679
ko:K01928	hey:MWE_1683
ko:K02897	hey:MWE_1685
ko:K01056	hey:MWE_1686
ko:K02967	hey:MWE_1751
ko:K03313	hey:MWE_1753
ko:K03210	hey:MWE_1754
ko:K03072	hey:MWE_1755
ko:K03074	hey:MWE_1756
ko:K01869	hey:MWE_1758
ko:K11754	hey:MWE_1760
ko:K03723	hey:MWE_1765
ko:K00411	hey:MWE_1766
ko:K00412	hey:MWE_1767
ko:K00413	hey:MWE_1768
ko:K03587	hey:MWE_1772
ko:K02408	hey:MWE_1773
ko:K02388	hey:MWE_1774
ko:K02387	hey:MWE_1775
ko:K02016	hey:MWE_1778
ko:K02073	hey:MWE_1780
ko:K05515	hey:MWE_1781
ko:K03978	hey:MWE_1783
ko:K09774	hey:MWE_1784
ko:K03270	hey:MWE_1786
ko:K03642	hey:MWE_1787
ko:K08307	hey:MWE_1788
ko:K03424	hey:MWE_1789
ko:K00793	hey:MWE_1790
ko:K02071	hey:MWE_1792
ko:K03474	hey:MWE_1798
ko:K00097	hey:MWE_1799
ko:K02392	hey:MWE_1803
ko:K03118	hey:MWE_0467
ko:K03117	hey:MWE_0468
ko:K03551	hey:MWE_0469
ko:K00606	hey:MWE_0470
ko:K03610	hey:MWE_0476
ko:K02535	hey:MWE_0477
ko:K00872	hey:MWE_0479
ko:K02834	hey:MWE_0483
ko:K09748	hey:MWE_0484
ko:K02400	hey:MWE_0490
ko:K02956	hey:MWE_0491
ko:K03786	hey:MWE_0493
ko:K00950	hey:MWE_0495
ko:K02404	hey:MWE_0496
ko:K04562	hey:MWE_0497
ko:K02405	hey:MWE_0499
ko:K02416	hey:MWE_0500
ko:K02417	hey:MWE_0501
ko:K07478	hey:MWE_0505
ko:K12506	hey:MWE_0512
ko:K00995	hey:MWE_0516
ko:K01714	hey:MWE_0519
ko:K00937	hey:MWE_0522
ko:K03427	hey:MWE_0526
ko:K01534	hey:MWE_0656
ko:K01154	hey:MWE_0657
ko:K03070	hey:MWE_0660
ko:K03634	hey:MWE_0661
ko:K01682	hey:MWE_0667
ko:K09903	hey:MWE_0669
ko:K03060	hey:MWE_0670
ko:K01866	hey:MWE_0672
ko:K00459	hey:MWE_0673
ko:K02401	hey:MWE_0678
ko:K03752	hey:MWE_0680
ko:K03168	hey:MWE_0693
ko:K07023	hey:MWE_0793
ko:K03438	hey:MWE_0798
ko:K03701	hey:MWE_0800
ko:K02469	hey:MWE_0804
ko:K00901	hey:MWE_0805
ko:K10856	hey:MWE_0807
ko:K01028	hey:MWE_0815
ko:K07501	hey:MWE_0820
ko:K04759	hey:MWE_0821
ko:K02419	hey:MWE_0824
ko:K04042	hey:MWE_0825
ko:K00812	hey:MWE_0835
ko:K11473	hey:MWE_0840
ko:K01736	hey:MWE_0843
ko:K03685	hey:MWE_0844
ko:K02434	hey:MWE_0850
ko:K07277	hey:MWE_0853
ko:K02217	hey:MWE_0855
ko:K01079	hey:MWE_0856
ko:K00208	hey:MWE_0269
ko:K02536	hey:MWE_0270
ko:K00789	hey:MWE_0271
ko:K00940	hey:MWE_0272
ko:K02911	hey:MWE_0274
ko:K00648	hey:MWE_0277
ko:K04079	hey:MWE_0285
ko:K03495	hey:MWE_0288
ko:K14445	hey:MWE_0289
ko:K00981	hey:MWE_0290
ko:K00099	hey:MWE_0291
ko:K04487	hey:MWE_0296
ko:K13819	hey:MWE_0297
ko:K04485	hey:MWE_0299
ko:K12267	hey:MWE_0300
ko:K07090	hey:MWE_0301
ko:K00979	hey:MWE_0306
ko:K03981	hey:MWE_0307
ko:K01749	hey:MWE_0314
ko:K01881	hey:MWE_0315
ko:K02492	hey:MWE_0316
ko:K02523	hey:MWE_0317
ko:K04047	hey:MWE_0320
ko:K07710	hey:MWE_0321
ko:K02394	hey:MWE_0323
ko:K05592	hey:MWE_0324
ko:K13896	hey:MWE_0327
ko:K13895	hey:MWE_0328
ko:K02393	hey:MWE_0405
ko:K00912	hey:MWE_0408
ko:K00053	hey:MWE_0411
ko:K03609	hey:MWE_0412
ko:K03608	hey:MWE_0413
ko:K04096	hey:MWE_0414
ko:K07447	hey:MWE_0415
ko:K06180	hey:MWE_0420
ko:K07462	hey:MWE_0421
ko:K01937	hey:MWE_0422
ko:K02409	hey:MWE_0424
ko:K02410	hey:MWE_0426
ko:K02411	hey:MWE_0427
ko:K01662	hey:MWE_0428
ko:K03596	hey:MWE_0429
ko:K02392	hey:MWE_0431
ko:K03466	hey:MWE_0433
ko:K00615	hey:MWE_0437
ko:K11753	hey:MWE_0438
ko:K00609	hey:MWE_0441
ko:K07241	hey:MWE_0448
ko:K03798	hey:MWE_0458
ko:K02687	hey:MWE_0459
ko:K06950	hey:MWE_0464
ko:K03501	hey:MWE_0465
ko:K07568	hey:MWE_0466
ko:K00941	hey:MWE_0594
ko:K13038	hey:MWE_0597
ko:K09860	hey:MWE_0601
ko:K03977	hey:MWE_0604
ko:K00797	hey:MWE_0606
ko:K00859	hey:MWE_0607
ko:K02108	hey:MWE_0610
ko:K07270	hey:MWE_0613
ko:K03671	hey:MWE_0615
ko:K07460	hey:MWE_0616
ko:K00003	hey:MWE_0617
ko:K03703	hey:MWE_0618
ko:K02557	hey:MWE_0627
ko:K02556	hey:MWE_0628
ko:K02415	hey:MWE_0635
ko:K00997	hey:MWE_0636
ko:K07043	hey:MWE_0640
ko:K07270	hey:MWE_0641
ko:K14652	hey:MWE_0642
ko:K03636	hey:MWE_0646
ko:K03831	hey:MWE_0648
ko:K03637	hey:MWE_0649
ko:K15846	hey:MWE_0650
ko:K03545	hey:MWE_0652
ko:K01358	hey:MWE_0653
ko:K01462	hey:MWE_0654
ko:K07391	hey:MWE_0655
ko:K06940	hey:MWE_0728
ko:K03110	hey:MWE_0729
ko:K07084	hey:MWE_0734
ko:K12251	hey:MWE_0735
ko:K02422	hey:MWE_0739
ko:K02407	hey:MWE_0740
ko:K09812	hey:MWE_0745
ko:K03439	hey:MWE_0746
ko:K06180	hey:MWE_0748
ko:K00948	hey:MWE_0752
ko:K01929	hey:MWE_0754
ko:K01921	hey:MWE_0756
ko:K01095	hey:MWE_0758
ko:K07791	hey:MWE_0780
ko:K06895	hey:MWE_0786
ko:K02343	hey:MWE_0787
ko:K06861	hey:MWE_0789
ko:K03092	hey:MWE_0790
ko:K01744	hey:MWE_0859
ko:K00790	hey:MWE_0860
ko:K00963	hey:MWE_0862
ko:K08309	hey:MWE_0863
ko:K06920	hey:MWE_0869
ko:K03620	hey:MWE_0876
ko:K03923	hey:MWE_0879
ko:K01924	hey:MWE_0885
ko:K07270	hey:MWE_0894
ko:K01876	hey:MWE_0898
ko:K03415	hey:MWE_0899
ko:K01972	hey:MWE_0900
ko:K01599	hey:MWE_0910
ko:K02406	hey:MWE_0913
ko:K01419	hey:MWE_1009
ko:K02939	hey:MWE_1010
ko:K01915	hey:MWE_1013
ko:K00215	hey:MWE_1015
ko:K02470	hey:MWE_1023
ko:K02338	hey:MWE_1024
ko:K01058	hey:MWE_1025
ko:K03308	hey:MWE_1026
ko:K07107	hey:MWE_1028
ko:K01925	hey:MWE_1030
ko:K01000	hey:MWE_1031
ko:K15846	hey:MWE_1032
ko:K10716	hey:MWE_1034
ko:K03550	hey:MWE_1039
ko:K03980	hey:MWE_1041
ko:K01883	hey:MWE_1042
ko:K02013	hey:MWE_1044
ko:K02015	hey:MWE_1045
ko:K13292	hey:MWE_1119
ko:K01878	hey:MWE_1126
ko:K01879	hey:MWE_1140
ko:K15633	hey:MWE_1142
ko:K02435	hey:MWE_1143
ko:K00833	hey:MWE_1144
ko:K03770	hey:MWE_1145
ko:K03590	hey:MWE_1146
ko:K03531	hey:MWE_1147
ko:K09761	hey:MWE_1257
ko:K01494	hey:MWE_1259
ko:K01961	hey:MWE_1261
ko:K00573	hey:MWE_1270
ko:K07091	hey:MWE_1271
ko:K06173	hey:MWE_1272
ko:K01625	hey:MWE_1279
ko:K01690	hey:MWE_1280
ko:K00036	hey:MWE_1281
ko:K01057	hey:MWE_1282
ko:K00172	hey:MWE_1290
ko:K00171	hey:MWE_1291
ko:K00169	hey:MWE_1292
ko:K00170	hey:MWE_1293
ko:K01756	hey:MWE_1294
ko:K03702	hey:MWE_1296
ko:K02396	hey:MWE_1303
ko:K03775	hey:MWE_1308
ko:K03640	hey:MWE_1310
ko:K03641	hey:MWE_1311
ko:K02114	hey:MWE_1316
ko:K02112	hey:MWE_1317
ko:K09804	hey:MWE_1437
ko:K01956	hey:MWE_1438
ko:K06287	hey:MWE_1443
ko:K01872	hey:MWE_1444
ko:K09794	hey:MWE_1445
ko:K02963	hey:MWE_1449
ko:K02990	hey:MWE_1452
ko:K02340	hey:MWE_1453
ko:K12573	hey:MWE_1454
ko:K13894	hey:MWE_1459
ko:K01867	hey:MWE_1462
ko:K02169	hey:MWE_1463
ko:K03075	hey:MWE_1464
ko:K02838	hey:MWE_1465
ko:K00762	hey:MWE_1466
ko:K00330	hey:MWE_1469
ko:K00331	hey:MWE_1470
ko:K00332	hey:MWE_1471
ko:K00333	hey:MWE_1472
ko:K00334	hey:MWE_1473
ko:K00337	hey:MWE_1477
ko:K00338	hey:MWE_1478
ko:K00339	hey:MWE_1479
ko:K00340	hey:MWE_1480
ko:K00341	hey:MWE_1481
ko:K00342	hey:MWE_1482
ko:K00343	hey:MWE_1483
ko:K15778	hey:MWE_1485
ko:K01695	hey:MWE_1486
ko:K01696	hey:MWE_1487
ko:K13498	hey:MWE_1488
ko:K00766	hey:MWE_1489
ko:K01657	hey:MWE_1491
ko:K03707	hey:MWE_1495
ko:K03811	hey:MWE_1496
ko:K03694	hey:MWE_1562
ko:K06891	hey:MWE_1563
ko:K01935	hey:MWE_1567
ko:K00031	hey:MWE_1569
ko:K01647	hey:MWE_1570
ko:K09457	hey:MWE_1589
ko:K09710	hey:MWE_1590
ko:K00075	hey:MWE_1595
ko:K02420	hey:MWE_1596
ko:K02412	hey:MWE_1597
ko:K01870	hey:MWE_1599
ko:K06941	hey:MWE_1603
ko:K06041	hey:MWE_1604
ko:K02528	hey:MWE_1606
ko:K01433	hey:MWE_1610
ko:K04773	hey:MWE_1611
ko:K03563	hey:MWE_1622
ko:K00919	hey:MWE_1623
ko:K03664	hey:MWE_1624
ko:K11720	hey:MWE_1687
ko:K09943	hey:MWE_1690
ko:K11752	hey:MWE_1693
ko:K03312	hey:MWE_1694
ko:K08591	hey:MWE_1697
ko:K01633	hey:MWE_1698
ko:K01042	hey:MWE_1701
ko:K02600	hey:MWE_1702
ko:K03655	hey:MWE_1708
ko:K01142	hey:MWE_1711
ko:K00820	hey:MWE_1719
ko:K01154	hey:MWE_1722
ko:K01153	hey:MWE_1725
ko:K07043	hey:MWE_1726
ko:K01476	hey:MWE_1729
ko:K00259	hey:MWE_1730
ko:K03631	hey:MWE_1737
ko:K01783	hey:MWE_1744
ko:K03841	hey:MWE_1745
ko:K02357	hey:MWE_1750
ko:K03196	hey:MWE_1598
ko:K11028	hey:MWE_1043
ko:K15847	hey:MWE_1050
ko:K12086	hey:MWE_1003
ko:K12088	hey:MWE_1002
ko:K12089	hey:MWE_1001
ko:K12093	hey:MWE_0994
ko:K12094	hey:MWE_0993
ko:K12095	hey:MWE_0992
ko:K12096	hey:MWE_0991
ko:K12097	hey:MWE_0990
ko:K12098	hey:MWE_0989
ko:K12099	hey:MWE_0988
ko:K12101	hey:MWE_0984
ko:K15842	hey:MWE_0973
ko:K12102	hey:MWE_0983
ko:K12103	hey:MWE_0982
ko:K12104	hey:MWE_0981
ko:K12105	hey:MWE_0980
ko:K12106	hey:MWE_0979
ko:K12107	hey:MWE_0978
ko:K12108	hey:MWE_0977
ko:K12109	hey:MWE_0976
ko:K12110	hey:MWE_0975
ko:K15848	hey:MWE_0779
ko:K15843	hey:MWE_1069
ko:K15844	hey:MWE_1070
ko:K03196	hey:MWE_0701
ko:K12091	hey:MWE_0997
ko:K15845	hey:MWE_0013
ko:K04517	hey:MWE_0031
ko:K02238	hey:MWE_0053
ko:K14048	hey:MWE_0111
ko:K03406	hey:MWE_0124
ko:K01119	hey:MWE_0170
ko:K03406	hey:MWE_0171
ko:K03406	hey:MWE_0175
ko:K07126	hey:MWE_0232
ko:K15898	hey:MWE_0252
ko:K00245	hey:MWE_0265
ko:K00244	hey:MWE_0266
ko:K04093	hey:MWE_0369
ko:K03342	hey:MWE_0372
ko:K03455	hey:MWE_0536
ko:K02017	hey:MWE_0543
ko:K01885	hey:MWE_0544
ko:K02014	hey:MWE_0564
ko:K07098	hey:MWE_0487
ko:K01262	hey:MWE_0494
ko:K03711	hey:MWE_0504
ko:K13640	hey:MWE_0506
ko:K00076	hey:MWE_0518
ko:K02004	hey:MWE_0659
ko:K00626	hey:MWE_0816
ko:K13016	hey:MWE_0830
ko:K00567	hey:MWE_0833
ko:K04763	hey:MWE_0834
ko:K03469	hey:MWE_0845
ko:K00059	hey:MWE_0958
ko:K02014	hey:MWE_1072
ko:K01585	hey:MWE_1200
ko:K00058	hey:MWE_1230
ko:K06013	hey:MWE_1249
ko:K03784	hey:MWE_1371
ko:K03317	hey:MWE_1373
ko:K03593	hey:MWE_0282
ko:K07126	hey:MWE_0286
ko:K01439	hey:MWE_0287
ko:K06910	hey:MWE_0294
ko:K07126	hey:MWE_0312
ko:K01916	hey:MWE_0409
ko:K02433	hey:MWE_0608
ko:K00088	hey:MWE_0609
ko:K05845	hey:MWE_0622
ko:K05846	hey:MWE_0622
ko:K03635	hey:MWE_0647
ko:K06603	hey:MWE_0741
ko:K00769	hey:MWE_0761
ko:K01424	hey:MWE_0781
ko:K01885	hey:MWE_0865
ko:K07126	hey:MWE_0881
ko:K00674	hey:MWE_0882
ko:K01507	hey:MWE_0893
ko:K00939	hey:MWE_0897
ko:K07457	hey:MWE_0912
ko:K00652	hey:MWE_0917
ko:K07126	hey:MWE_1004
ko:K08077	hey:MWE_1018
ko:K03743	hey:MWE_1116
ko:K06179	hey:MWE_1120
ko:K03442	hey:MWE_1150
ko:K01784	hey:MWE_1273
ko:K07126	hey:MWE_1278
ko:K00845	hey:MWE_1283
ko:K07126	hey:MWE_1300
ko:K01455	hey:MWE_1440
ko:K03279	hey:MWE_1592
ko:K03768	hey:MWE_1621
ko:K02014	hey:MWE_1700
ko:K01156	hey:MWE_1705
ko:K07316	hey:MWE_1706
ko:K10009	hey:MWE_1096
ko:K01674	hey:MWE_1382
ko:K02843	hey:MWE_1387
ko:K01719	hey:MWE_1425
ko:K01679	hey:MWE_1532
ko:K04655	hey:MWE_1552
ko:K02067	hey:MWE_1650
ko:K02242	hey:MWE_1661
ko:K00616	hey:MWE_1684
ko:K03386	hey:MWE_1779
ko:K01409	hey:MWE_1800
ko:K00970	hey:MWE_0868
ko:K14232	hey:MWE_1212
ko:K03321	hey:MWE_0303
ko:K14228	hey:MWE_1414
ko:K14228	hey:MWE_1413
ko:K14228	hey:MWE_1268
ko:K14234	hey:MWE_1406
ko:K14235	hey:MWE_1400
ko:K14219	hey:MWE_0410
ko:K14226	hey:MWE_1211
ko:K12369	hey:MWE_0379
ko:K14224	hey:MWE_0008
ko:K01985	hey:MWE_1192
ko:K01985	hey:MWE_1579
ko:K14233	hey:MWE_0184
ko:K14233	hey:MWE_1106
ko:K14218	hey:MWE_0329
ko:K14219	hey:MWE_0602
ko:K14219	hey:MWE_1209
ko:K01155	hey:MWE_0183
ko:K02424	hey:MWE_1097
ko:K12049	hey:MWE_1557
ko:K02030	hey:MWE_1364
ko:K07318	hey:MWE_1409
ko:K09477	hey:MWE_0212
ko:K03559	hey:MWE_1314
ko:K01426	hey:MWE_0374
ko:K12977	hey:MWE_0025
ko:K12048	hey:MWE_1556
ko:K12050	hey:MWE_1558
ko:K03191	hey:MWE_0108
ko:K13797	hey:MWE_1393
ko:K15895	hey:MWE_1267
ko:K02003	hey:MWE_0253
ko:K14225	hey:MWE_1404
ko:K11782	hey:MWE_0668
ko:K01760	hey:MWE_0167
ko:K01980	hey:MWE_1193
ko:K01980	hey:MWE_1580
ko:K01977	hey:MWE_1331
ko:K01977	hey:MWE_1619
ko:K01992	hey:MWE_0904
ko:K02028	hey:MWE_1363
ko:K17103	hey:MWE_0456
ko:K02484	hey:MWE_0049
ko:K02484	hey:MWE_0235
ko:K02847	hey:MWE_0492
ko:K01992	hey:MWE_1675
ko:K12053	hey:MWE_0021
ko:K17686	hey:MWE_1691
ko:K01155	hey:MWE_0338
ko:K05540	hey:MWE_0776
ko:K11928	hey:MWE_0083
ko:K01658	hey:MWE_1490
ko:K12574	hey:MWE_1605
ko:K01156	hey:MWE_1575
ko:K00971	hey:MWE_1555
ko:K00290	hey:MWE_1695
ko:K01497	hey:MWE_0645
ko:K00254	hey:MWE_0521
