ko:K03465	bah:BAMEG_0822
ko:K07322	bah:BAMEG_2445
ko:K00362	bah:BAMEG_2446
ko:K00363	bah:BAMEG_2447
ko:K07088	bah:BAMEG_2452
ko:K02575	bah:BAMEG_2453
ko:K03636	bah:BAMEG_2454
ko:K03635	bah:BAMEG_2455
ko:K03750	bah:BAMEG_2456
ko:K03639	bah:BAMEG_2458
ko:K00374	bah:BAMEG_2463
ko:K00373	bah:BAMEG_2464
ko:K00371	bah:BAMEG_2465
ko:K00370	bah:BAMEG_2466
ko:K03924	bah:BAMEG_2469
ko:K00432	bah:BAMEG_2472
ko:K03088	bah:BAMEG_2477
ko:K01938	bah:BAMEG_2484
ko:K00375	bah:BAMEG_2506
ko:K01775	bah:BAMEG_2512
ko:K01834	bah:BAMEG_2515
ko:K06385	bah:BAMEG_2523
ko:K06878	bah:BAMEG_2526
ko:K03311	bah:BAMEG_2527
ko:K09793	bah:BAMEG_2531
ko:K07089	bah:BAMEG_2539
ko:K03284	bah:BAMEG_2540
ko:K11210	bah:BAMEG_2548
ko:K00567	bah:BAMEG_2551
ko:K09815	bah:BAMEG_2555
ko:K00274	bah:BAMEG_2568
ko:K04047	bah:BAMEG_2573
ko:K06949	bah:BAMEG_2578
ko:K07001	bah:BAMEG_2597
ko:K07507	bah:BAMEG_2612
ko:K00872	bah:BAMEG_2621
ko:K01733	bah:BAMEG_2622
ko:K00003	bah:BAMEG_2623
ko:K07006	bah:BAMEG_2624
ko:K05593	bah:BAMEG_2630
ko:K00059	bah:BAMEG_2632
ko:K07078	bah:BAMEG_2640
ko:K00426	bah:BAMEG_2647
ko:K00425	bah:BAMEG_2648
ko:K01998	bah:BAMEG_2655
ko:K01997	bah:BAMEG_2656
ko:K01996	bah:BAMEG_2657
ko:K01995	bah:BAMEG_2658
ko:K01999	bah:BAMEG_2659
ko:K00648	bah:BAMEG_2660
ko:K00274	bah:BAMEG_2666
ko:K00016	bah:BAMEG_2667
ko:K00782	bah:BAMEG_3280
ko:K02443	bah:BAMEG_4021
ko:K01426	bah:BAMEG_2519
ko:K01426	bah:BAMEG_2001
ko:K01426	bah:BAMEG_2669
ko:K00575	bah:BAMEG_3576
ko:K12267	bah:BAMEG_5733
ko:K00686	bah:BAMEG_4216
ko:K01436	bah:BAMEG_3881
ko:K01436	bah:BAMEG_3202
ko:K02443	bah:BAMEG_3546
ko:K00575	bah:BAMEG_2923
ko:K00824	bah:BAMEG_2340
ko:K02016	bah:BAMEG_2341
ko:K01953	bah:BAMEG_2345
ko:K07152	bah:BAMEG_2347
ko:K03118	bah:BAMEG_2351
ko:K03116	bah:BAMEG_2352
ko:K11068	bah:BAMEG_2353
ko:K00655	bah:BAMEG_2354
ko:K00287	bah:BAMEG_2357
ko:K00560	bah:BAMEG_2358
ko:K01091	bah:BAMEG_2363
ko:K01734	bah:BAMEG_3039
ko:K06973	bah:BAMEG_3044
ko:K00817	bah:BAMEG_3054
ko:K01735	bah:BAMEG_3055
ko:K01736	bah:BAMEG_3056
ko:K00940	bah:BAMEG_3057
ko:K03183	bah:BAMEG_3059
ko:K01495	bah:BAMEG_3061
ko:K03530	bah:BAMEG_3062
ko:K06398	bah:BAMEG_3063
ko:K00057	bah:BAMEG_3067
ko:K03977	bah:BAMEG_3068
ko:K01823	bah:BAMEG_3073
ko:K02945	bah:BAMEG_3074
ko:K00945	bah:BAMEG_3075
ko:K00384	bah:BAMEG_3077
ko:K00260	bah:BAMEG_3081
ko:K03654	bah:BAMEG_3088
ko:K07651	bah:BAMEG_3096
ko:K01091	bah:BAMEG_2376
ko:K09962	bah:BAMEG_2378
ko:K03308	bah:BAMEG_2380
ko:K00865	bah:BAMEG_2386
ko:K03466	bah:BAMEG_2406
ko:K09759	bah:BAMEG_2410
ko:K01870	bah:BAMEG_2414
ko:K01887	bah:BAMEG_2420
ko:K03111	bah:BAMEG_2428
ko:K12574	bah:BAMEG_4230
ko:K01182	bah:BAMEG_4272
ko:K07335	bah:BAMEG_0702
ko:K06302	bah:BAMEG_3435
ko:K06298	bah:BAMEG_4752
ko:K06351	bah:BAMEG_1511
ko:K02246	bah:BAMEG_4498
ko:K02248	bah:BAMEG_4496
ko:K06431	bah:BAMEG_0964
ko:K06432	bah:BAMEG_0956
ko:K06433	bah:BAMEG_0953
ko:K07729	bah:BAMEG_3321
ko:K03888	bah:BAMEG_3048
ko:K01104	bah:BAMEG_0476
ko:K15975	bah:BAMEG_0930
ko:K07729	bah:BAMEG_5323
ko:K06422	bah:BAMEG_4081
ko:K06423	bah:BAMEG_0053
ko:K00491	bah:BAMEG_5743
ko:K03484	bah:BAMEG_3803
ko:K00634	bah:BAMEG_4425
ko:K03574	bah:BAMEG_1523
ko:K11626	bah:BAMEG_1454
ko:K01176	bah:BAMEG_1080
ko:K01990	bah:BAMEG_1278
ko:K00657	bah:BAMEG_1918
ko:K00657	bah:BAMEG_1325
ko:K00657	bah:BAMEG_2564
ko:K00657	bah:BAMEG_5374
ko:K07729	bah:BAMEG_0459
ko:K06294	bah:BAMEG_0165
ko:K06304	bah:BAMEG_3437
ko:K00655	bah:BAMEG_0241
ko:K01297	bah:BAMEG_3209
ko:K13300	bah:BAMEG_4553
ko:K00215	bah:BAMEG_3040
ko:K06393	bah:BAMEG_4449
ko:K06392	bah:BAMEG_4450
ko:K06391	bah:BAMEG_4451
ko:K06390	bah:BAMEG_4452
ko:K02356	bah:BAMEG_4455
ko:K03786	bah:BAMEG_4457
ko:K03716	bah:BAMEG_4463
ko:K03800	bah:BAMEG_4466
ko:K00283	bah:BAMEG_4482
ko:K00282	bah:BAMEG_4483
ko:K00605	bah:BAMEG_4484
ko:K06925	bah:BAMEG_0303
ko:K03789	bah:BAMEG_0305
ko:K01409	bah:BAMEG_0306
ko:K06158	bah:BAMEG_0307
ko:K03310	bah:BAMEG_5353
ko:K03310	bah:BAMEG_5354
ko:K07118	bah:BAMEG_5355
ko:K03885	bah:BAMEG_5364
ko:K01866	bah:BAMEG_5365
ko:K00075	bah:BAMEG_5366
ko:K06199	bah:BAMEG_5370
ko:K06199	bah:BAMEG_5371
ko:K02013	bah:BAMEG_5379
ko:K02015	bah:BAMEG_5380
ko:K02015	bah:BAMEG_5381
ko:K02016	bah:BAMEG_5382
ko:K03664	bah:BAMEG_5386
ko:K03928	bah:BAMEG_5389
ko:K03075	bah:BAMEG_5390
ko:K03594	bah:BAMEG_3578
ko:K03090	bah:BAMEG_3579
ko:K01118	bah:BAMEG_3603
ko:K07090	bah:BAMEG_3627
ko:K02314	bah:BAMEG_3632
ko:K00891	bah:BAMEG_4492
ko:K02245	bah:BAMEG_4499
ko:K02244	bah:BAMEG_4500
ko:K02243	bah:BAMEG_4501
ko:K02563	bah:BAMEG_4511
ko:K00548	bah:BAMEG_4512
ko:K00845	bah:BAMEG_4523
ko:K02913	bah:BAMEG_4526
ko:K02039	bah:BAMEG_4529
ko:K02036	bah:BAMEG_4530
ko:K02038	bah:BAMEG_4531
ko:K02037	bah:BAMEG_4532
ko:K02040	bah:BAMEG_4533
ko:K04564	bah:BAMEG_4536
ko:K02076	bah:BAMEG_4541
ko:K09816	bah:BAMEG_4542
ko:K09817	bah:BAMEG_4543
ko:K01151	bah:BAMEG_4546
ko:K06904	bah:BAMEG_5412
ko:K01689	bah:BAMEG_5417
ko:K01803	bah:BAMEG_5419
ko:K00927	bah:BAMEG_5420
ko:K00134	bah:BAMEG_5421
ko:K05311	bah:BAMEG_5422
ko:K03092	bah:BAMEG_5424
ko:K06405	bah:BAMEG_5428
ko:K06406	bah:BAMEG_5429
ko:K06407	bah:BAMEG_5430
ko:K01358	bah:BAMEG_5433
ko:K09762	bah:BAMEG_5435
ko:K08974	bah:BAMEG_5439
ko:K00384	bah:BAMEG_5440
ko:K06019	bah:BAMEG_5443
ko:K06023	bah:BAMEG_5445
ko:K08972	bah:BAMEG_5446
ko:K03701	bah:BAMEG_5448
ko:K03702	bah:BAMEG_5449
ko:K06901	bah:BAMEG_0316
ko:K06153	bah:BAMEG_0336
ko:K01588	bah:BAMEG_0346
ko:K01589	bah:BAMEG_0347
ko:K01756	bah:BAMEG_0348
ko:K01923	bah:BAMEG_0349
ko:K01952	bah:BAMEG_0350
ko:K01952	bah:BAMEG_0351
ko:K01952	bah:BAMEG_0352
ko:K00764	bah:BAMEG_0353
ko:K01933	bah:BAMEG_0354
ko:K11175	bah:BAMEG_0355
ko:K00602	bah:BAMEG_0356
ko:K01945	bah:BAMEG_0357
ko:K07094	bah:BAMEG_0361
ko:K03657	bah:BAMEG_0362
ko:K01972	bah:BAMEG_0363
ko:K07090	bah:BAMEG_0365
ko:K00294	bah:BAMEG_0366
ko:K06994	bah:BAMEG_1652
ko:K00662	bah:BAMEG_1674
ko:K09680	bah:BAMEG_1699
ko:K02372	bah:BAMEG_1700
ko:K02071	bah:BAMEG_0370
ko:K02072	bah:BAMEG_0371
ko:K02073	bah:BAMEG_0372
ko:K07067	bah:BAMEG_0099
ko:K00991	bah:BAMEG_0101
ko:K01770	bah:BAMEG_0102
ko:K09698	bah:BAMEG_0103
ko:K00640	bah:BAMEG_0104
ko:K01883	bah:BAMEG_0105
ko:K11145	bah:BAMEG_0106
ko:K03218	bah:BAMEG_0107
ko:K06962	bah:BAMEG_0108
ko:K03091	bah:BAMEG_0109
ko:K03073	bah:BAMEG_0110
ko:K02601	bah:BAMEG_0111
ko:K02867	bah:BAMEG_0112
ko:K02863	bah:BAMEG_0113
ko:K02864	bah:BAMEG_0115
ko:K02935	bah:BAMEG_0116
ko:K03043	bah:BAMEG_0118
ko:K03046	bah:BAMEG_0119
ko:K07590	bah:BAMEG_0120
ko:K02950	bah:BAMEG_0121
ko:K02992	bah:BAMEG_0122
ko:K02355	bah:BAMEG_0123
ko:K02358	bah:BAMEG_0124
ko:K02946	bah:BAMEG_0125
ko:K02906	bah:BAMEG_0126
ko:K02926	bah:BAMEG_0127
ko:K03149	bah:BAMEG_3827
ko:K03154	bah:BAMEG_3828
ko:K03153	bah:BAMEG_3829
ko:K03707	bah:BAMEG_3834
ko:K02038	bah:BAMEG_3868
ko:K02037	bah:BAMEG_3869
ko:K02040	bah:BAMEG_3871
ko:K04758	bah:BAMEG_3872
ko:K02828	bah:BAMEG_3885
ko:K02829	bah:BAMEG_3886
ko:K03499	bah:BAMEG_3887
ko:K01845	bah:BAMEG_4728
ko:K01698	bah:BAMEG_4729
ko:K01719	bah:BAMEG_4730
ko:K01749	bah:BAMEG_4731
ko:K02497	bah:BAMEG_4732
ko:K02492	bah:BAMEG_4733
ko:K03978	bah:BAMEG_4736
ko:K01338	bah:BAMEG_4737
ko:K04076	bah:BAMEG_4739
ko:K03544	bah:BAMEG_4740
ko:K03545	bah:BAMEG_4741
ko:K07095	bah:BAMEG_4749
ko:K00989	bah:BAMEG_4751
ko:K01776	bah:BAMEG_4753
ko:K02035	bah:BAMEG_4765
ko:K02033	bah:BAMEG_4767
ko:K06188	bah:BAMEG_4777
ko:K02557	bah:BAMEG_4782
ko:K02557	bah:BAMEG_4783
ko:K02556	bah:BAMEG_4784
ko:K07107	bah:BAMEG_4786
ko:K00240	bah:BAMEG_4787
ko:K01265	bah:BAMEG_5645
ko:K03088	bah:BAMEG_5654
ko:K01887	bah:BAMEG_5655
ko:K01480	bah:BAMEG_5661
ko:K00797	bah:BAMEG_5662
ko:K01126	bah:BAMEG_5666
ko:K01821	bah:BAMEG_5670
ko:K06885	bah:BAMEG_5671
ko:K02016	bah:BAMEG_5672
ko:K02013	bah:BAMEG_5673
ko:K02015	bah:BAMEG_5674
ko:K02015	bah:BAMEG_5675
ko:K03648	bah:BAMEG_5692
ko:K00003	bah:BAMEG_5698
ko:K00651	bah:BAMEG_5699
ko:K01740	bah:BAMEG_5700
ko:K02435	bah:BAMEG_0379
ko:K02433	bah:BAMEG_0380
ko:K02434	bah:BAMEG_0381
ko:K01091	bah:BAMEG_0383
ko:K00135	bah:BAMEG_0386
ko:K07043	bah:BAMEG_0397
ko:K03315	bah:BAMEG_0400
ko:K03387	bah:BAMEG_0404
ko:K00899	bah:BAMEG_0406
ko:K08963	bah:BAMEG_0407
ko:K02015	bah:BAMEG_0409
ko:K02015	bah:BAMEG_0410
ko:K02016	bah:BAMEG_0411
ko:K05548	bah:BAMEG_0427
ko:K03654	bah:BAMEG_1778
ko:K03823	bah:BAMEG_1786
ko:K03933	bah:BAMEG_1803
ko:K01807	bah:BAMEG_1805
ko:K03088	bah:BAMEG_1807
ko:K01358	bah:BAMEG_1808
ko:K02002	bah:BAMEG_1809
ko:K00627	bah:BAMEG_1822
ko:K00382	bah:BAMEG_1823
ko:K03169	bah:BAMEG_0440
ko:K00878	bah:BAMEG_0442
ko:K00788	bah:BAMEG_0443
ko:K02049	bah:BAMEG_0451
ko:K06902	bah:BAMEG_0461
ko:K01881	bah:BAMEG_0464
ko:K05795	bah:BAMEG_0468
ko:K05795	bah:BAMEG_0469
ko:K07058	bah:BAMEG_0478
ko:K03100	bah:BAMEG_0482
ko:K07300	bah:BAMEG_0490
ko:K01676	bah:BAMEG_0494
ko:K02338	bah:BAMEG_1910
ko:K01126	bah:BAMEG_1927
ko:K08884	bah:BAMEG_1946
ko:K01243	bah:BAMEG_1732
ko:K01281	bah:BAMEG_1738
ko:K01489	bah:BAMEG_1743
ko:K03740	bah:BAMEG_1750
ko:K01714	bah:BAMEG_1764
ko:K03310	bah:BAMEG_1766
ko:K01247	bah:BAMEG_0497
ko:K01520	bah:BAMEG_0518
ko:K11210	bah:BAMEG_0521
ko:K03707	bah:BAMEG_1983
ko:K01921	bah:BAMEG_1985
ko:K07001	bah:BAMEG_4178
ko:K00954	bah:BAMEG_4179
ko:K02276	bah:BAMEG_4195
ko:K02003	bah:BAMEG_5031
ko:K07139	bah:BAMEG_5035
ko:K03752	bah:BAMEG_5048
ko:K03638	bah:BAMEG_5049
ko:K00789	bah:BAMEG_5052
ko:K01610	bah:BAMEG_5056
ko:K02051	bah:BAMEG_5070
ko:K02049	bah:BAMEG_5071
ko:K02050	bah:BAMEG_5072
ko:K07173	bah:BAMEG_5081
ko:K08998	bah:BAMEG_5083
ko:K01673	bah:BAMEG_5082
ko:K00425	bah:BAMEG_5084
ko:K00426	bah:BAMEG_5085
ko:K09815	bah:BAMEG_A0190
ko:K03666	bah:BAMEG_A0199
ko:K02283	bah:BAMEG_B0020
ko:K02274	bah:BAMEG_4196
ko:K02275	bah:BAMEG_4197
ko:K02259	bah:BAMEG_4199
ko:K03588	bah:BAMEG_4201
ko:K07175	bah:BAMEG_4204
ko:K06207	bah:BAMEG_4209
ko:K01092	bah:BAMEG_4211
ko:K00382	bah:BAMEG_4222
ko:K00627	bah:BAMEG_4223
ko:K00162	bah:BAMEG_4224
ko:K00161	bah:BAMEG_4225
ko:K01462	bah:BAMEG_4227
ko:K03499	bah:BAMEG_4231
ko:K00426	bah:BAMEG_4232
ko:K05823	bah:BAMEG_4233
ko:K07098	bah:BAMEG_4246
ko:K00937	bah:BAMEG_4248
ko:K03969	bah:BAMEG_5095
ko:K04759	bah:BAMEG_5098
ko:K04758	bah:BAMEG_5099
ko:K00760	bah:BAMEG_5108
ko:K02003	bah:BAMEG_5119
ko:K00874	bah:BAMEG_5132
ko:K01042	bah:BAMEG_5134
ko:K01465	bah:BAMEG_5135
ko:K02549	bah:BAMEG_5141
ko:K01911	bah:BAMEG_5142
ko:K01661	bah:BAMEG_5143
ko:K08680	bah:BAMEG_5144
ko:K02551	bah:BAMEG_5145
ko:K02552	bah:BAMEG_5146
ko:K02548	bah:BAMEG_5147
ko:K03704	bah:BAMEG_5149
ko:K00688	bah:BAMEG_5152
ko:K00681	bah:BAMEG_B0068
ko:K07282	bah:BAMEG_B0069
ko:K03100	bah:BAMEG_B0077
ko:K03311	bah:BAMEG_3896
ko:K03305	bah:BAMEG_3897
ko:K06153	bah:BAMEG_3903
ko:K01114	bah:BAMEG_3909
ko:K00616	bah:BAMEG_3916
ko:K10439	bah:BAMEG_3917
ko:K10440	bah:BAMEG_3918
ko:K10441	bah:BAMEG_3919
ko:K06726	bah:BAMEG_3920
ko:K00852	bah:BAMEG_3921
ko:K02529	bah:BAMEG_3922
ko:K02445	bah:BAMEG_3926
ko:K02031	bah:BAMEG_3927
ko:K02032	bah:BAMEG_3928
ko:K02033	bah:BAMEG_3929
ko:K02034	bah:BAMEG_3930
ko:K02035	bah:BAMEG_3931
ko:K03310	bah:BAMEG_3949
ko:K00239	bah:BAMEG_4788
ko:K00241	bah:BAMEG_4789
ko:K03703	bah:BAMEG_4791
ko:K03671	bah:BAMEG_4792
ko:K03522	bah:BAMEG_4793
ko:K03521	bah:BAMEG_4794
ko:K02016	bah:BAMEG_4800
ko:K02015	bah:BAMEG_4801
ko:K06969	bah:BAMEG_4812
ko:K08600	bah:BAMEG_4815
ko:K02013	bah:BAMEG_4816
ko:K02015	bah:BAMEG_4817
ko:K02016	bah:BAMEG_4818
ko:K03311	bah:BAMEG_4822
ko:K06182	bah:BAMEG_4823
ko:K07456	bah:BAMEG_4824
ko:K09888	bah:BAMEG_4827
ko:K03471	bah:BAMEG_4828
ko:K01893	bah:BAMEG_4832
ko:K01890	bah:BAMEG_4833
ko:K01889	bah:BAMEG_4834
ko:K03437	bah:BAMEG_4835
ko:K06950	bah:BAMEG_4837
ko:K01118	bah:BAMEG_5705
ko:K06200	bah:BAMEG_5712
ko:K08369	bah:BAMEG_5714
ko:K05946	bah:BAMEG_5716
ko:K05339	bah:BAMEG_5736
ko:K05338	bah:BAMEG_5737
ko:K07704	bah:BAMEG_5739
ko:K04564	bah:BAMEG_5744
ko:K11068	bah:BAMEG_5749
ko:K00364	bah:BAMEG_5753
ko:K00783	bah:BAMEG_5756
ko:K07652	bah:BAMEG_5762
ko:K07668	bah:BAMEG_5763
ko:K03797	bah:BAMEG_5466
ko:K09811	bah:BAMEG_5467
ko:K09812	bah:BAMEG_5468
ko:K03761	bah:BAMEG_3643
ko:K02031	bah:BAMEG_3650
ko:K02031	bah:BAMEG_3651
ko:K02034	bah:BAMEG_3652
ko:K02033	bah:BAMEG_3653
ko:K02035	bah:BAMEG_3654
ko:K01750	bah:BAMEG_3660
ko:K01448	bah:BAMEG_3664
ko:K03070	bah:BAMEG_3678
ko:K03652	bah:BAMEG_3690
ko:K01575	bah:BAMEG_3692
ko:K01652	bah:BAMEG_3693
ko:K03527	bah:BAMEG_4550
ko:K06967	bah:BAMEG_4552
ko:K03086	bah:BAMEG_4554
ko:K02316	bah:BAMEG_4555
ko:K09773	bah:BAMEG_4558
ko:K03584	bah:BAMEG_4560
ko:K03595	bah:BAMEG_4562
ko:K01489	bah:BAMEG_4563
ko:K07042	bah:BAMEG_4565
ko:K07037	bah:BAMEG_4566
ko:K06217	bah:BAMEG_4567
ko:K06438	bah:BAMEG_4568
ko:K09117	bah:BAMEG_4570
ko:K02970	bah:BAMEG_4571
ko:K09761	bah:BAMEG_4573
ko:K02687	bah:BAMEG_4574
ko:K03686	bah:BAMEG_4575
ko:K04043	bah:BAMEG_4576
ko:K03687	bah:BAMEG_4577
ko:K03705	bah:BAMEG_4578
ko:K03596	bah:BAMEG_4581
ko:K06012	bah:BAMEG_4583
ko:K02968	bah:BAMEG_4584
ko:K02340	bah:BAMEG_4585
ko:K02238	bah:BAMEG_4587
ko:K01493	bah:BAMEG_4589
ko:K02237	bah:BAMEG_4590
ko:K09710	bah:BAMEG_4593
ko:K00969	bah:BAMEG_4595
ko:K07574	bah:BAMEG_4596
ko:K00014	bah:BAMEG_4597
ko:K07015	bah:BAMEG_4599
ko:K01613	bah:BAMEG_4601
ko:K03091	bah:BAMEG_4602
ko:K02913	bah:BAMEG_4606
ko:K02836	bah:BAMEG_5471
ko:K03070	bah:BAMEG_5472
ko:K05808	bah:BAMEG_5473
ko:K03704	bah:BAMEG_5475
ko:K02240	bah:BAMEG_5477
ko:K00012	bah:BAMEG_5484
ko:K07240	bah:BAMEG_5489
ko:K03478	bah:BAMEG_5490
ko:K01222	bah:BAMEG_5491
ko:K02759	bah:BAMEG_5492
ko:K02761	bah:BAMEG_5493
ko:K02760	bah:BAMEG_5494
ko:K00797	bah:BAMEG_5495
ko:K01611	bah:BAMEG_5496
ko:K02759	bah:BAMEG_5497
ko:K02761	bah:BAMEG_5498
ko:K02760	bah:BAMEG_5499
ko:K00425	bah:BAMEG_5508
ko:K00426	bah:BAMEG_5509
ko:K03893	bah:BAMEG_5510
ko:K03147	bah:BAMEG_5511
ko:K03303	bah:BAMEG_5513
ko:K00824	bah:BAMEG_5518
ko:K01776	bah:BAMEG_3710
ko:K03781	bah:BAMEG_3714
ko:K08152	bah:BAMEG_3717
ko:K03923	bah:BAMEG_3719
ko:K00619	bah:BAMEG_3726
ko:K02809	bah:BAMEG_3733
ko:K02810	bah:BAMEG_3733
ko:K07106	bah:BAMEG_3734
ko:K10979	bah:BAMEG_3748
ko:K03311	bah:BAMEG_3754
ko:K02034	bah:BAMEG_3755
ko:K02033	bah:BAMEG_3757
ko:K00500	bah:BAMEG_4622
ko:K01724	bah:BAMEG_4623
ko:K07104	bah:BAMEG_4624
ko:K02013	bah:BAMEG_4632
ko:K02015	bah:BAMEG_4633
ko:K02016	bah:BAMEG_4634
ko:K01243	bah:BAMEG_4639
ko:K03624	bah:BAMEG_4644
ko:K00876	bah:BAMEG_4645
ko:K08303	bah:BAMEG_4646
ko:K08303	bah:BAMEG_4647
ko:K07082	bah:BAMEG_4649
ko:K07447	bah:BAMEG_4651
ko:K01872	bah:BAMEG_4653
ko:K03581	bah:BAMEG_4659
ko:K00566	bah:BAMEG_4661
ko:K04487	bah:BAMEG_4662
ko:K07478	bah:BAMEG_4664
ko:K01876	bah:BAMEG_4667
ko:K01892	bah:BAMEG_4668
ko:K02250	bah:BAMEG_5538
ko:K02003	bah:BAMEG_5542
ko:K02445	bah:BAMEG_5546
ko:K02012	bah:BAMEG_5547
ko:K02372	bah:BAMEG_5553
ko:K09693	bah:BAMEG_5556
ko:K09692	bah:BAMEG_5557
ko:K02472	bah:BAMEG_5558
ko:K03569	bah:BAMEG_5566
ko:K06283	bah:BAMEG_5567
ko:K06381	bah:BAMEG_5575
ko:K00790	bah:BAMEG_5576
ko:K00343	bah:BAMEG_5579
ko:K00342	bah:BAMEG_5580
ko:K00341	bah:BAMEG_5581
ko:K00340	bah:BAMEG_5582
ko:K00339	bah:BAMEG_5583
ko:K00338	bah:BAMEG_5584
ko:K00337	bah:BAMEG_5585
ko:K00333	bah:BAMEG_5586
ko:K02035	bah:BAMEG_B0092
ko:K03502	bah:BAMEG_B0096
ko:K03169	bah:BAMEG_B0107
ko:K02761	bah:BAMEG_3765
ko:K01226	bah:BAMEG_3955
ko:K02818	bah:BAMEG_3956
ko:K02819	bah:BAMEG_3956
ko:K03486	bah:BAMEG_3957
ko:K06131	bah:BAMEG_3962
ko:K00639	bah:BAMEG_3967
ko:K02013	bah:BAMEG_3969
ko:K02015	bah:BAMEG_3970
ko:K02015	bah:BAMEG_3971
ko:K02016	bah:BAMEG_3972
ko:K03305	bah:BAMEG_3973
ko:K03303	bah:BAMEG_3976
ko:K01744	bah:BAMEG_3977
ko:K00763	bah:BAMEG_3989
ko:K00259	bah:BAMEG_3993
ko:K01126	bah:BAMEG_3994
ko:K00123	bah:BAMEG_3997
ko:K02379	bah:BAMEG_3998
ko:K00375	bah:BAMEG_4004
ko:K00027	bah:BAMEG_4007
ko:K02887	bah:BAMEG_4847
ko:K02916	bah:BAMEG_4848
ko:K02520	bah:BAMEG_4849
ko:K01868	bah:BAMEG_4851
ko:K11144	bah:BAMEG_4853
ko:K03346	bah:BAMEG_4854
ko:K07738	bah:BAMEG_4855
ko:K01611	bah:BAMEG_4856
ko:K00134	bah:BAMEG_4858
ko:K00859	bah:BAMEG_4859
ko:K10563	bah:BAMEG_4861
ko:K02335	bah:BAMEG_4862
ko:K07636	bah:BAMEG_4863
ko:K07658	bah:BAMEG_4864
ko:K00031	bah:BAMEG_4869
ko:K01647	bah:BAMEG_4870
ko:K07113	bah:BAMEG_4873
ko:K00873	bah:BAMEG_4874
ko:K00850	bah:BAMEG_4875
ko:K01962	bah:BAMEG_4876
ko:K01963	bah:BAMEG_4877
ko:K00027	bah:BAMEG_4879
ko:K02337	bah:BAMEG_4880
ko:K00259	bah:BAMEG_4905
ko:K00059	bah:BAMEG_4906
ko:K01939	bah:BAMEG_5768
ko:K02314	bah:BAMEG_5769
ko:K02939	bah:BAMEG_5770
ko:K02963	bah:BAMEG_5773
ko:K03111	bah:BAMEG_5774
ko:K02990	bah:BAMEG_5775
ko:K06942	bah:BAMEG_5776
ko:K03497	bah:BAMEG_5780
ko:K03496	bah:BAMEG_5781
ko:K03497	bah:BAMEG_5782
ko:K03501	bah:BAMEG_5783
ko:K03495	bah:BAMEG_5784
ko:K03650	bah:BAMEG_5785
ko:K06346	bah:BAMEG_5786
ko:K03217	bah:BAMEG_5787
ko:K03536	bah:BAMEG_5788
ko:K02914	bah:BAMEG_5789
ko:K10112	bah:BAMEG_4273
ko:K00626	bah:BAMEG_4280
ko:K08963	bah:BAMEG_4290
ko:K00899	bah:BAMEG_4291
ko:K08969	bah:BAMEG_4294
ko:K08483	bah:BAMEG_4308
ko:K03710	bah:BAMEG_4313
ko:K02564	bah:BAMEG_4314
ko:K01443	bah:BAMEG_4315
ko:K00975	bah:BAMEG_5154
ko:K00975	bah:BAMEG_5155
ko:K00700	bah:BAMEG_5156
ko:K00016	bah:BAMEG_5157
ko:K07507	bah:BAMEG_5184
ko:K01810	bah:BAMEG_5187
ko:K09779	bah:BAMEG_5188
