ko:K12979	kpnk:BN49_1127
ko:K01130	kpnk:BN49_1574
ko:K06871	kpnk:BN49_1575
ko:K06871	kpnk:BN49_1576
ko:K06995	kpnk:BN49_1582
ko:K09471	kpnk:BN49_1583
ko:K00146	kpnk:BN49_1584
ko:K07497	kpnk:BN49_pII0138
ko:K18991	kpnk:BN49_0077
ko:K02073	kpnk:BN49_0078
ko:K13979	kpnk:BN49_0083
ko:K03292	kpnk:BN49_0088
ko:K01811	kpnk:BN49_0089
ko:K01222	kpnk:BN49_0091
ko:K02749	kpnk:BN49_0092
ko:K02750	kpnk:BN49_0092
ko:K16345	kpnk:BN49_0094
ko:K03312	kpnk:BN49_0095
ko:K00864	kpnk:BN49_0096
ko:K02440	kpnk:BN49_0097
ko:K09892	kpnk:BN49_0098
ko:K02048	kpnk:BN49_0099
ko:K01521	kpnk:BN49_0100
ko:K01803	kpnk:BN49_0102
ko:K00528	kpnk:BN49_0105
ko:K02446	kpnk:BN49_0106
ko:K00219	kpnk:BN49_0597
ko:K11216	kpnk:BN49_0598
ko:K11531	kpnk:BN49_0599
ko:K10558	kpnk:BN49_0600
ko:K10556	kpnk:BN49_0601
ko:K10557	kpnk:BN49_0602
ko:K10555	kpnk:BN49_0603
ko:K08321	kpnk:BN49_0604
ko:K11530	kpnk:BN49_0605
ko:K09251	kpnk:BN49_0606
ko:K07229	kpnk:BN49_0608
ko:K00863	kpnk:BN49_0609
ko:K05881	kpnk:BN49_0610
ko:K05879	kpnk:BN49_0611
ko:K05878	kpnk:BN49_0612
ko:K00005	kpnk:BN49_0613
ko:K05880	kpnk:BN49_0614
ko:K06120	kpnk:BN49_0619
ko:K06121	kpnk:BN49_0620
ko:K06122	kpnk:BN49_0621
ko:K02440	kpnk:BN49_0623
ko:K19778	kpnk:BN49_0624
ko:K21908	kpnk:BN49_0625
ko:K07679	kpnk:BN49_0627
ko:K07690	kpnk:BN49_0628
ko:K00375	kpnk:BN49_1121
ko:K11685	kpnk:BN49_1125
ko:K01118	kpnk:BN49_1130
ko:K21405	kpnk:BN49_1132
ko:K00138	kpnk:BN49_1133
ko:K07345	kpnk:BN49_1134
ko:K07347	kpnk:BN49_1136
ko:K07345	kpnk:BN49_1139
ko:K01713	kpnk:BN49_1140
ko:K12972	kpnk:BN49_1143
ko:K02028	kpnk:BN49_1145
ko:K02029	kpnk:BN49_1145
ko:K02030	kpnk:BN49_1146
ko:K12255	kpnk:BN49_1149
ko:K19587	kpnk:BN49_1151
ko:K17203	kpnk:BN49_1649
ko:K17204	kpnk:BN49_1650
ko:K17202	kpnk:BN49_1652
ko:K00864	kpnk:BN49_1653
ko:K00615	kpnk:BN49_1655
ko:K00615	kpnk:BN49_1656
ko:K02362	kpnk:BN49_1657
ko:K19611	kpnk:BN49_1658
ko:K07214	kpnk:BN49_1659
ko:K02364	kpnk:BN49_1661
ko:K02013	kpnk:BN49_1662
ko:K02015	kpnk:BN49_1663
ko:K02015	kpnk:BN49_1664
ko:K08225	kpnk:BN49_1665
ko:K02016	kpnk:BN49_1666
ko:K02361	kpnk:BN49_1667
ko:K02363	kpnk:BN49_1668
ko:K01252	kpnk:BN49_1669
ko:K00216	kpnk:BN49_1670
ko:K06200	kpnk:BN49_1672
ko:K08317	kpnk:BN49_1677
ko:K02056	kpnk:BN49_1678
ko:K02057	kpnk:BN49_1679
ko:K02058	kpnk:BN49_1680
ko:K00989	kpnk:BN49_0122
ko:K00762	kpnk:BN49_0123
ko:K05501	kpnk:BN49_0124
ko:K01520	kpnk:BN49_0125
ko:K13038	kpnk:BN49_0126
ko:K03630	kpnk:BN49_0127
ko:K02902	kpnk:BN49_0128
ko:K02913	kpnk:BN49_0129
ko:K10563	kpnk:BN49_0135
ko:K00954	kpnk:BN49_0136
ko:K12984	kpnk:BN49_0137
ko:K02527	kpnk:BN49_0138
ko:K19778	kpnk:BN49_0629
ko:K03649	kpnk:BN49_0631
ko:K03086	kpnk:BN49_0632
ko:K02316	kpnk:BN49_0633
ko:K02970	kpnk:BN49_0634
ko:K01409	kpnk:BN49_0635
ko:K03189	kpnk:BN49_0637
ko:K03188	kpnk:BN49_0638
ko:K03187	kpnk:BN49_0639
ko:K01428	kpnk:BN49_0640
ko:K01429	kpnk:BN49_0641
ko:K01430	kpnk:BN49_0642
ko:K03190	kpnk:BN49_0643
ko:K08591	kpnk:BN49_0644
ko:K01633	kpnk:BN49_0645
ko:K06153	kpnk:BN49_0646
ko:K00974	kpnk:BN49_0647
ko:K07184	kpnk:BN49_0648
ko:K18446	kpnk:BN49_0649
ko:K00982	kpnk:BN49_0650
ko:K03272	kpnk:BN49_0651
ko:K09806	kpnk:BN49_0653
ko:K02858	kpnk:BN49_0654
ko:K07238	kpnk:BN49_0655
ko:K15777	kpnk:BN49_0656
ko:K12340	kpnk:BN49_0659
ko:K01515	kpnk:BN49_0660
ko:K19585	kpnk:BN49_1152
ko:K19586	kpnk:BN49_1153
ko:K05804	kpnk:BN49_1154
ko:K03664	kpnk:BN49_1156
ko:K09801	kpnk:BN49_1158
ko:K06186	kpnk:BN49_1159
ko:K03631	kpnk:BN49_1160
ko:K00858	kpnk:BN49_1161
ko:K03687	kpnk:BN49_1162
ko:K03106	kpnk:BN49_1165
ko:K02959	kpnk:BN49_1166
ko:K02860	kpnk:BN49_1167
ko:K00554	kpnk:BN49_1168
ko:K02884	kpnk:BN49_1169
ko:K21021	kpnk:BN49_1173
ko:K01626	kpnk:BN49_1175
ko:K14187	kpnk:BN49_1176
ko:K14274	kpnk:BN49_1177
ko:K14170	kpnk:BN49_1178
ko:K05809	kpnk:BN49_1179
ko:K05807	kpnk:BN49_1180
ko:K06180	kpnk:BN49_1181
ko:K05810	kpnk:BN49_1182
ko:K03695	kpnk:BN49_1183
ko:K00899	kpnk:BN49_1683
ko:K08963	kpnk:BN49_1684
ko:K01093	kpnk:BN49_1685
ko:K07783	kpnk:BN49_1686
ko:K01092	kpnk:BN49_1687
ko:K01485	kpnk:BN49_1689
ko:K10974	kpnk:BN49_1691
ko:K08964	kpnk:BN49_1692
ko:K00058	kpnk:BN49_1694
ko:K10440	kpnk:BN49_1696
ko:K10440	kpnk:BN49_1697
ko:K10441	kpnk:BN49_1698
ko:K10439	kpnk:BN49_1699
ko:K08351	kpnk:BN49_1700
ko:K08967	kpnk:BN49_1701
ko:K09880	kpnk:BN49_1702
ko:K14287	kpnk:BN49_1703
ko:K03805	kpnk:BN49_1707
ko:K03386	kpnk:BN49_1708
ko:K03387	kpnk:BN49_1709
ko:K11932	kpnk:BN49_1710
ko:K06140	kpnk:BN49_1711
ko:K09701	kpnk:BN49_4717
ko:K00574	kpnk:BN49_4718
ko:K02024	kpnk:BN49_4723
ko:K01805	kpnk:BN49_4724
ko:K03292	kpnk:BN49_4725
ko:K01198	kpnk:BN49_4726
ko:K02054	kpnk:BN49_4730
ko:K02053	kpnk:BN49_4731
ko:K02055	kpnk:BN49_4732
ko:K11929	kpnk:BN49_4736
ko:K01093	kpnk:BN49_4737
ko:K07497	kpnk:BN49_4742
ko:K07497	kpnk:BN49_4743
ko:K07497	kpnk:BN49_4744
ko:K07483	kpnk:BN49_4745
ko:K00705	kpnk:BN49_0331
ko:K06155	kpnk:BN49_0332
ko:K07400	kpnk:BN49_0333
ko:K02170	kpnk:BN49_0335
ko:K07490	kpnk:BN49_0337
ko:K04759	kpnk:BN49_0338
ko:K04758	kpnk:BN49_0339
ko:K06959	kpnk:BN49_0340
ko:K04760	kpnk:BN49_0341
ko:K07659	kpnk:BN49_0342
ko:K07638	kpnk:BN49_0343
ko:K01610	kpnk:BN49_0344
ko:K04083	kpnk:BN49_0345
ko:K04762	kpnk:BN49_0346
ko:K20881	kpnk:BN49_0347
ko:K08312	kpnk:BN49_0349
ko:K05366	kpnk:BN49_0350
ko:K12288	kpnk:BN49_0351
ko:K12289	kpnk:BN49_0352
ko:K12290	kpnk:BN49_0353
ko:K12291	kpnk:BN49_0354
ko:K02507	kpnk:BN49_0355
ko:K00891	kpnk:BN49_0356
ko:K01735	kpnk:BN49_0357
ko:K03112	kpnk:BN49_0358
ko:K06223	kpnk:BN49_0359
ko:K01783	kpnk:BN49_0360
ko:K01091	kpnk:BN49_0361
ko:K01867	kpnk:BN49_0362
ko:K02302	kpnk:BN49_0363
ko:K00363	kpnk:BN49_0364
ko:K05939	kpnk:BN49_0863
ko:K08227	kpnk:BN49_0864
ko:K03573	kpnk:BN49_0868
ko:K08311	kpnk:BN49_0869
ko:K08484	kpnk:BN49_0870
ko:K13292	kpnk:BN49_0871
ko:K00560	kpnk:BN49_0872
ko:K02679	kpnk:BN49_0873
ko:K02680	kpnk:BN49_0874
ko:K02681	kpnk:BN49_0876
ko:K03583	kpnk:BN49_0877
ko:K01407	kpnk:BN49_0878
ko:K03582	kpnk:BN49_0879
ko:K03581	kpnk:BN49_0880
ko:K14682	kpnk:BN49_0882
ko:K01448	kpnk:BN49_0883
ko:K04720	kpnk:BN49_0884
ko:K16651	kpnk:BN49_0885
ko:K19697	kpnk:BN49_0886
ko:K04029	kpnk:BN49_0887
ko:K04031	kpnk:BN49_0888
ko:K13921	kpnk:BN49_0891
ko:K13922	kpnk:BN49_0892
ko:K13923	kpnk:BN49_0896
ko:K11938	kpnk:BN49_1382
ko:K01738	kpnk:BN49_1383
ko:K05800	kpnk:BN49_1384
ko:K18889	kpnk:BN49_1385
ko:K18890	kpnk:BN49_1386
ko:K04752	kpnk:BN49_1387
ko:K03320	kpnk:BN49_1388
ko:K10805	kpnk:BN49_1389
ko:K09914	kpnk:BN49_1390
ko:K07443	kpnk:BN49_1391
ko:K10111	kpnk:BN49_1400
ko:K15770	kpnk:BN49_1401
ko:K15771	kpnk:BN49_1402
ko:K15772	kpnk:BN49_1403
ko:K15772	kpnk:BN49_1404
ko:K01224	kpnk:BN49_1405
ko:K12308	kpnk:BN49_1406
ko:K02778	kpnk:BN49_1407
ko:K02024	kpnk:BN49_1408
ko:K02909	kpnk:BN49_1410
ko:K02919	kpnk:BN49_1411
ko:K00375	kpnk:BN49_1413
ko:K00661	kpnk:BN49_1415
ko:K03833	kpnk:BN49_0172
ko:K05796	kpnk:BN49_0173
ko:K00835	kpnk:BN49_0174
ko:K01176	kpnk:BN49_0175
ko:K03796	kpnk:BN49_0176
ko:K02529	kpnk:BN49_0177
ko:K10544	kpnk:BN49_0178
ko:K10545	kpnk:BN49_0179
ko:K10543	kpnk:BN49_0180
ko:K01805	kpnk:BN49_0181
ko:K00854	kpnk:BN49_0182
ko:K01878	kpnk:BN49_0187
ko:K01879	kpnk:BN49_0188
ko:K07483	kpnk:BN49_0189
ko:K07497	kpnk:BN49_0190
ko:K07497	kpnk:BN49_0193
ko:K07483	kpnk:BN49_0194
ko:K03704	kpnk:BN49_0197
ko:K07726	kpnk:BN49_0198
ko:K08195	kpnk:BN49_0199
ko:K00090	kpnk:BN49_0201
ko:K00874	kpnk:BN49_0203
ko:K01697	kpnk:BN49_0695
ko:K07150	kpnk:BN49_0701
ko:K01581	kpnk:BN49_0702
ko:K03289	kpnk:BN49_0703
ko:K08306	kpnk:BN49_0704
ko:K03575	kpnk:BN49_0706
ko:K03439	kpnk:BN49_0707
ko:K09923	kpnk:BN49_0708
ko:K10544	kpnk:BN49_0710
ko:K10545	kpnk:BN49_0711
ko:K10543	kpnk:BN49_0712
ko:K02428	kpnk:BN49_0714
ko:K09131	kpnk:BN49_0715
ko:K02221	kpnk:BN49_0716
ko:K06997	kpnk:BN49_0717
ko:K02669	kpnk:BN49_0718
ko:K04333	kpnk:BN49_0719
ko:K07447	kpnk:BN49_0720
ko:K07735	kpnk:BN49_0721
ko:K01920	kpnk:BN49_0722
ko:K09761	kpnk:BN49_0723
ko:K01150	kpnk:BN49_0724
ko:K02742	kpnk:BN49_0725
ko:K08137	kpnk:BN49_0726
ko:K00789	kpnk:BN49_0727
ko:K11750	kpnk:BN49_1219
ko:K11926	kpnk:BN49_1220
ko:K15735	kpnk:BN49_1221
ko:K11735	kpnk:BN49_1222
ko:K07250	kpnk:BN49_1223
ko:K00135	kpnk:BN49_1224
ko:K15736	kpnk:BN49_1225
ko:K15737	kpnk:BN49_1226
ko:K09982	kpnk:BN49_1227
ko:K00382	kpnk:BN49_1230
ko:K00627	kpnk:BN49_1231
ko:K21417	kpnk:BN49_1232
ko:K21416	kpnk:BN49_1233
ko:K03556	kpnk:BN49_1234
ko:K02160	kpnk:BN49_1235
ko:K01961	kpnk:BN49_1236
ko:K00261	kpnk:BN49_1237
ko:K02030	kpnk:BN49_1239
ko:K07160	kpnk:BN49_1242
ko:K00812	kpnk:BN49_1243
ko:K19338	kpnk:BN49_1244
ko:K02160	kpnk:BN49_1245
ko:K02029	kpnk:BN49_1247
ko:K02029	kpnk:BN49_1248
ko:K02028	kpnk:BN49_1249
ko:K02844	kpnk:BN49_0141
ko:K02849	kpnk:BN49_0142
ko:K02847	kpnk:BN49_0145
ko:K02841	kpnk:BN49_0147
ko:K02843	kpnk:BN49_0148
ko:K03274	kpnk:BN49_0149
ko:K00639	kpnk:BN49_0150
ko:K00060	kpnk:BN49_0151
ko:K09798	kpnk:BN49_0153
ko:K15633	kpnk:BN49_0155
ko:K03676	kpnk:BN49_0157
ko:K03071	kpnk:BN49_0158
ko:K00057	kpnk:BN49_0159
ko:K00640	kpnk:BN49_0160
ko:K03216	kpnk:BN49_0161
ko:K00101	kpnk:BN49_0162
ko:K14348	kpnk:BN49_0163
ko:K00427	kpnk:BN49_0164
ko:K14762	kpnk:BN49_0165
ko:K02562	kpnk:BN49_0167
ko:K00009	kpnk:BN49_0168
ko:K02798	kpnk:BN49_0169
ko:K02799	kpnk:BN49_0169
ko:K02800	kpnk:BN49_0169
ko:K01042	kpnk:BN49_0171
ko:K09920	kpnk:BN49_0661
ko:K03651	kpnk:BN49_0662
ko:K07000	kpnk:BN49_0663
ko:K02622	kpnk:BN49_0664
ko:K03923	kpnk:BN49_0666
ko:K07645	kpnk:BN49_0667
ko:K07666	kpnk:BN49_0668
ko:K13652	kpnk:BN49_0670
ko:K02621	kpnk:BN49_0671
ko:K00655	kpnk:BN49_0672
ko:K04753	kpnk:BN49_0673
ko:K06221	kpnk:BN49_0676
ko:K08325	kpnk:BN49_0677
ko:K01760	kpnk:BN49_0680
ko:K03561	kpnk:BN49_0681
ko:K03559	kpnk:BN49_0682
ko:K01061	kpnk:BN49_0684
ko:K11209	kpnk:BN49_0686
ko:K01460	kpnk:BN49_0688
ko:K01758	kpnk:BN49_0694
ko:K06222	kpnk:BN49_1190
ko:K08307	kpnk:BN49_1195
ko:K01069	kpnk:BN49_1196
ko:K03469	kpnk:BN49_1198
ko:K02342	kpnk:BN49_1199
ko:K11249	kpnk:BN49_1201
ko:K13566	kpnk:BN49_1202
ko:K06445	kpnk:BN49_1203
ko:K00135	kpnk:BN49_2099
ko:K22443	kpnk:BN49_2100
ko:K03451	kpnk:BN49_2101
ko:K07246	kpnk:BN49_2103
ko:K16135	kpnk:BN49_2104
ko:K09471	kpnk:BN49_2105
ko:K09472	kpnk:BN49_2106
ko:K14056	kpnk:BN49_2107
ko:K09473	kpnk:BN49_2108
ko:K09470	kpnk:BN49_2109
ko:K14052	kpnk:BN49_2110
ko:K07124	kpnk:BN49_2113
ko:K01085	kpnk:BN49_2115
ko:K01085	kpnk:BN49_2116
ko:K03809	kpnk:BN49_2118
ko:K09016	kpnk:BN49_2121
ko:K09024	kpnk:BN49_2122
ko:K09019	kpnk:BN49_2123
ko:K09023	kpnk:BN49_2124
ko:K09021	kpnk:BN49_2125
ko:K09020	kpnk:BN49_2126
ko:K09018	kpnk:BN49_2127
ko:K09017	kpnk:BN49_2128
ko:K13821	kpnk:BN49_2130
ko:K11928	kpnk:BN49_2131
ko:K02071	kpnk:BN49_2494
ko:K02072	kpnk:BN49_2495
ko:K16074	kpnk:BN49_2500
ko:K05591	kpnk:BN49_2501
ko:K14058	kpnk:BN49_2502
ko:K14061	kpnk:BN49_2503
ko:K14062	kpnk:BN49_2505
ko:K03737	kpnk:BN49_2506
ko:K03668	kpnk:BN49_2508
ko:K03778	kpnk:BN49_2509
ko:K09978	kpnk:BN49_2513
ko:K14063	kpnk:BN49_2514
ko:K00146	kpnk:BN49_2515
ko:K00077	kpnk:BN49_2516
ko:K02030	kpnk:BN49_2518
ko:K02028	kpnk:BN49_2520
ko:K02029	kpnk:BN49_2520
ko:K07222	kpnk:BN49_2522
ko:K01438	kpnk:BN49_2525
ko:K03707	kpnk:BN49_2895
ko:K15600	kpnk:BN49_2896
ko:K15599	kpnk:BN49_2897
ko:K15598	kpnk:BN49_2898
ko:K00836	kpnk:BN49_2899
ko:K13745	kpnk:BN49_2900
ko:K02483	kpnk:BN49_2904
ko:K01273	kpnk:BN49_2906
ko:K06136	kpnk:BN49_2907
ko:K06137	kpnk:BN49_2908
ko:K06138	kpnk:BN49_2909
ko:K06139	kpnk:BN49_2910
ko:K01951	kpnk:BN49_2912
ko:K05515	kpnk:BN49_2913
ko:K09936	kpnk:BN49_2914
ko:K09936	kpnk:BN49_2915
ko:K03782	kpnk:BN49_2917
ko:K06916	kpnk:BN49_2918
ko:K07507	kpnk:BN49_2919
ko:K08369	kpnk:BN49_2920
ko:K02759	kpnk:BN49_2921
ko:K08994	kpnk:BN49_2925
ko:K07283	kpnk:BN49_3291
ko:K16370	kpnk:BN49_3292
ko:K03832	kpnk:BN49_3295
ko:K09780	kpnk:BN49_3296
ko:K06131	kpnk:BN49_3299
ko:K09901	kpnk:BN49_3300
ko:K10716	kpnk:BN49_3301
ko:K10823	kpnk:BN49_3302
ko:K15583	kpnk:BN49_3303
ko:K15582	kpnk:BN49_3304
ko:K15581	kpnk:BN49_3305
ko:K15580	kpnk:BN49_3306
ko:K04072	kpnk:BN49_3308
ko:K00857	kpnk:BN49_3309
ko:K03746	kpnk:BN49_3310
ko:K00963	kpnk:BN49_3311
ko:K07001	kpnk:BN49_3313
ko:K09858	kpnk:BN49_3314
ko:K01433	kpnk:BN49_3315
ko:K03719	kpnk:BN49_3317
ko:K00374	kpnk:BN49_3319
ko:K00373	kpnk:BN49_3320
ko:K00371	kpnk:BN49_3321
ko:K07470	kpnk:BN49_3684
ko:K07258	kpnk:BN49_3685
ko:K01141	kpnk:BN49_3686
ko:K02355	kpnk:BN49_3687
ko:K00765	kpnk:BN49_3692
ko:K00013	kpnk:BN49_3693
ko:K00817	kpnk:BN49_3694
ko:K01089	kpnk:BN49_3695
ko:K02501	kpnk:BN49_3696
ko:K01814	kpnk:BN49_3697
ko:K02500	kpnk:BN49_3698
ko:K11755	kpnk:BN49_3699
ko:K01854	kpnk:BN49_3707
ko:K09691	kpnk:BN49_3709
ko:K09690	kpnk:BN49_3710
ko:K08679	kpnk:BN49_3711
ko:K00012	kpnk:BN49_3712
ko:K01840	kpnk:BN49_3713
ko:K00971	kpnk:BN49_3714
ko:K00937	kpnk:BN49_4037
ko:K01524	kpnk:BN49_4038
ko:K06871	kpnk:BN49_4043
ko:K01951	kpnk:BN49_4045
ko:K00088	kpnk:BN49_4046
ko:K03601	kpnk:BN49_4047
ko:K03977	kpnk:BN49_4050
ko:K17713	kpnk:BN49_4051
ko:K01892	kpnk:BN49_4053
ko:K03526	kpnk:BN49_4054
ko:K15539	kpnk:BN49_4055
ko:K06941	kpnk:BN49_4056
ko:K00940	kpnk:BN49_4057
ko:K05367	kpnk:BN49_4058
ko:K06894	kpnk:BN49_4059
ko:K01011	kpnk:BN49_4060
ko:K07751	kpnk:BN49_4063
ko:K04755	kpnk:BN49_4065
ko:K04044	kpnk:BN49_4066
ko:K04082	kpnk:BN49_4067
ko:K13628	kpnk:BN49_4068
