ko:K01990	ssut:TL13_0284
ko:K13292	ssut:TL13_1408
ko:K01809	ssut:TL13_1410
ko:K06959	ssut:TL13_1414
ko:K07058	ssut:TL13_1418
ko:K01265	ssut:TL13_1419
ko:K00790	ssut:TL13_1421
ko:K00355	ssut:TL13_1422
ko:K00789	ssut:TL13_1423
ko:K03524	ssut:TL13_1427
ko:K02343	ssut:TL13_1429
ko:K00876	ssut:TL13_1433
ko:K03530	ssut:TL13_1443
ko:K03631	ssut:TL13_1447
ko:K03402	ssut:TL13_1448
ko:K06442	ssut:TL13_1449
ko:K13789	ssut:TL13_1450
ko:K03602	ssut:TL13_1451
ko:K03601	ssut:TL13_1452
ko:K11070	ssut:TL13_1007
ko:K02867	ssut:TL13_0665
ko:K02863	ssut:TL13_0666
ko:K09903	ssut:TL13_0670
ko:K02838	ssut:TL13_0671
ko:K00243	ssut:TL13_0672
ko:K00077	ssut:TL13_0673
ko:K03449	ssut:TL13_0678
ko:K00791	ssut:TL13_0680
ko:K03665	ssut:TL13_0681
ko:K07124	ssut:TL13_0684
ko:K06131	ssut:TL13_0686
ko:K07462	ssut:TL13_0687
ko:K00759	ssut:TL13_0689
ko:K00651	ssut:TL13_0690
ko:K06967	ssut:TL13_0692
ko:K07238	ssut:TL13_0694
ko:K00973	ssut:TL13_0695
ko:K01790	ssut:TL13_0696
ko:K00067	ssut:TL13_0699
ko:K01448	ssut:TL13_0701
ko:K00945	ssut:TL13_0719
ko:K02520	ssut:TL13_0720
ko:K02916	ssut:TL13_0721
ko:K02887	ssut:TL13_0722
ko:K06969	ssut:TL13_0725
ko:K03785	ssut:TL13_0726
ko:K01736	ssut:TL13_0727
ko:K01443	ssut:TL13_0730
ko:K01735	ssut:TL13_0738
ko:K00014	ssut:TL13_0739
ko:K01626	ssut:TL13_0740
ko:K01626	ssut:TL13_0741
ko:K01874	ssut:TL13_0743
ko:K08602	ssut:TL13_0745
ko:K01872	ssut:TL13_0751
ko:K01681	ssut:TL13_0765
ko:K01647	ssut:TL13_0766
ko:K00031	ssut:TL13_0767
ko:K02313	ssut:TL13_0001
ko:K02338	ssut:TL13_0002
ko:K06942	ssut:TL13_0006
ko:K01056	ssut:TL13_0007
ko:K03723	ssut:TL13_0008
ko:K04075	ssut:TL13_0013
ko:K00760	ssut:TL13_0014
ko:K03798	ssut:TL13_0015
ko:K03570	ssut:TL13_0037
ko:K03571	ssut:TL13_0038
ko:K00948	ssut:TL13_0040
ko:K03584	ssut:TL13_0042
ko:K03621	ssut:TL13_0043
ko:K02078	ssut:TL13_0044
ko:K01923	ssut:TL13_0045
ko:K01952	ssut:TL13_0046
ko:K00764	ssut:TL13_0047
ko:K01933	ssut:TL13_0048
ko:K11175	ssut:TL13_0049
ko:K00602	ssut:TL13_0050
ko:K01945	ssut:TL13_0052
ko:K03575	ssut:TL13_0888
ko:K01740	ssut:TL13_0892
ko:K03702	ssut:TL13_0897
ko:K00703	ssut:TL13_0909
ko:K00975	ssut:TL13_0910
ko:K00975	ssut:TL13_0911
ko:K01591	ssut:TL13_0915
ko:K00762	ssut:TL13_0917
ko:K03648	ssut:TL13_0919
ko:K01465	ssut:TL13_0920
ko:K06287	ssut:TL13_0922
ko:K06940	ssut:TL13_0923
ko:K14540	ssut:TL13_0924
ko:K03470	ssut:TL13_0925
ko:K11068	ssut:TL13_0927
ko:K04096	ssut:TL13_0931
ko:K03168	ssut:TL13_0932
ko:K02864	ssut:TL13_0933
ko:K02935	ssut:TL13_0934
ko:K04094	ssut:TL13_0936
ko:K14232	ssut:TL13_0029
ko:K14232	ssut:TL13_0474
ko:K14225	ssut:TL13_0026
ko:K14225	ssut:TL13_0471
ko:K14234	ssut:TL13_0025
ko:K14234	ssut:TL13_0470
ko:K14237	ssut:TL13_0021
ko:K14237	ssut:TL13_0119
ko:K14237	ssut:TL13_0466
ko:K14228	ssut:TL13_0130
ko:K03685	ssut:TL13_0775
ko:K03529	ssut:TL13_0776
ko:K03110	ssut:TL13_0779
ko:K00036	ssut:TL13_0782
ko:K01586	ssut:TL13_1513
ko:K06890	ssut:TL13_1515
ko:K06950	ssut:TL13_1516
ko:K03437	ssut:TL13_1517
ko:K01512	ssut:TL13_1518
ko:K03217	ssut:TL13_1519
ko:K03624	ssut:TL13_1520
ko:K07082	ssut:TL13_1521
ko:K01924	ssut:TL13_1523
ko:K03977	ssut:TL13_1528
ko:K07738	ssut:TL13_1532
ko:K07040	ssut:TL13_1537
ko:K00384	ssut:TL13_1538
ko:K01000	ssut:TL13_1543
ko:K03438	ssut:TL13_1546
ko:K03734	ssut:TL13_1555
ko:K03885	ssut:TL13_1558
ko:K01879	ssut:TL13_1565
ko:K01878	ssut:TL13_1566
ko:K02072	ssut:TL13_1569
ko:K02071	ssut:TL13_1570
ko:K02073	ssut:TL13_1572
ko:K07010	ssut:TL13_1573
ko:K00549	ssut:TL13_1574
ko:K00297	ssut:TL13_1575
ko:K06901	ssut:TL13_1576
ko:K01875	ssut:TL13_1582
ko:K01962	ssut:TL13_1587
ko:K01963	ssut:TL13_1588
ko:K01961	ssut:TL13_1589
ko:K02372	ssut:TL13_1590
ko:K02160	ssut:TL13_1591
ko:K09458	ssut:TL13_1592
ko:K00645	ssut:TL13_1594
ko:K02078	ssut:TL13_1596
ko:K00648	ssut:TL13_1597
ko:K00928	ssut:TL13_1601
ko:K01775	ssut:TL13_1602
ko:K00997	ssut:TL13_1603
ko:K03070	ssut:TL13_1604
ko:K00847	ssut:TL13_1606
ko:K01193	ssut:TL13_1608
ko:K03484	ssut:TL13_1609
ko:K03625	ssut:TL13_1610
ko:K02356	ssut:TL13_1612
ko:K01588	ssut:TL13_0053
ko:K01589	ssut:TL13_0054
ko:K01756	ssut:TL13_0056
ko:K03551	ssut:TL13_0066
ko:K11754	ssut:TL13_0069
ko:K03572	ssut:TL13_0073
ko:K03550	ssut:TL13_0074
ko:K01246	ssut:TL13_0075
ko:K07447	ssut:TL13_0080
ko:K09962	ssut:TL13_0082
ko:K02946	ssut:TL13_0083
ko:K02906	ssut:TL13_0084
ko:K02926	ssut:TL13_0085
ko:K02892	ssut:TL13_0086
ko:K02886	ssut:TL13_0087
ko:K02965	ssut:TL13_0089
ko:K02890	ssut:TL13_0090
ko:K02982	ssut:TL13_0091
ko:K02878	ssut:TL13_0092
ko:K02904	ssut:TL13_0093
ko:K02961	ssut:TL13_0094
ko:K02874	ssut:TL13_0095
ko:K02895	ssut:TL13_0096
ko:K02931	ssut:TL13_0097
ko:K02954	ssut:TL13_0098
ko:K02994	ssut:TL13_0099
ko:K02933	ssut:TL13_0100
ko:K02881	ssut:TL13_0101
ko:K02988	ssut:TL13_0102
ko:K02907	ssut:TL13_0103
ko:K02876	ssut:TL13_0104
ko:K03076	ssut:TL13_0105
ko:K02518	ssut:TL13_0107
ko:K02952	ssut:TL13_0108
ko:K02948	ssut:TL13_0109
ko:K02003	ssut:TL13_0943
ko:K03106	ssut:TL13_0955
ko:K03710	ssut:TL13_0957
ko:K01951	ssut:TL13_0958
ko:K00600	ssut:TL13_0968
ko:K07566	ssut:TL13_0970
ko:K02493	ssut:TL13_0971
ko:K02835	ssut:TL13_0972
ko:K01821	ssut:TL13_0975
ko:K03596	ssut:TL13_0976
ko:K00940	ssut:TL13_0977
ko:K03978	ssut:TL13_0978
ko:K03544	ssut:TL13_0979
ko:K15738	ssut:TL13_0987
ko:K00215	ssut:TL13_0989
ko:K02768	ssut:TL13_0992
ko:K02769	ssut:TL13_0992
ko:K02770	ssut:TL13_0992
ko:K03701	ssut:TL13_1614
ko:K03284	ssut:TL13_1615
ko:K02963	ssut:TL13_1621
ko:K02990	ssut:TL13_1623
ko:K03800	ssut:TL13_1624
ko:K00382	ssut:TL13_1626
ko:K00627	ssut:TL13_1627
ko:K00162	ssut:TL13_1628
ko:K00161	ssut:TL13_1629
ko:K02834	ssut:TL13_1633
ko:K02519	ssut:TL13_1634
ko:K07742	ssut:TL13_1636
ko:K02600	ssut:TL13_1637
ko:K09748	ssut:TL13_1638
ko:K03439	ssut:TL13_1639
ko:K02503	ssut:TL13_1643
ko:K06925	ssut:TL13_1647
ko:K02034	ssut:TL13_1651
ko:K09014	ssut:TL13_1658
ko:K11717	ssut:TL13_1660
ko:K09015	ssut:TL13_1661
ko:K09013	ssut:TL13_1662
ko:K03040	ssut:TL13_0110
ko:K02879	ssut:TL13_0111
ko:K09817	ssut:TL13_0140
ko:K09816	ssut:TL13_0141
ko:K02003	ssut:TL13_0147
ko:K01866	ssut:TL13_0149
ko:K03043	ssut:TL13_0151
ko:K03046	ssut:TL13_0152
ko:K00817	ssut:TL13_0995
ko:K00554	ssut:TL13_0996
ko:K02860	ssut:TL13_0997
ko:K03327	ssut:TL13_0998
ko:K00364	ssut:TL13_0999
ko:K10773	ssut:TL13_1000
ko:K00075	ssut:TL13_1010
ko:K00872	ssut:TL13_1011
ko:K00003	ssut:TL13_1012
ko:K06960	ssut:TL13_1016
ko:K02959	ssut:TL13_1017
ko:K01304	ssut:TL13_1019
ko:K01955	ssut:TL13_1021
ko:K01956	ssut:TL13_1022
ko:K00609	ssut:TL13_1023
ko:K02825	ssut:TL13_1024
ko:K06193	ssut:TL13_1026
ko:K06180	ssut:TL13_1027
ko:K03101	ssut:TL13_1028
ko:K02899	ssut:TL13_1030
ko:K02888	ssut:TL13_1031
ko:K03311	ssut:TL13_1032
ko:K03151	ssut:TL13_1033
ko:K04487	ssut:TL13_1034
ko:K01620	ssut:TL13_1035
ko:K02945	ssut:TL13_1037
ko:K00826	ssut:TL13_1041
ko:K16511	ssut:TL13_1665
ko:K06153	ssut:TL13_1666
ko:K01754	ssut:TL13_1671
ko:K00053	ssut:TL13_1672
ko:K01653	ssut:TL13_1673
ko:K01652	ssut:TL13_1674
ko:K01687	ssut:TL13_1677
ko:K02996	ssut:TL13_1701
ko:K02871	ssut:TL13_1702
ko:K06962	ssut:TL13_1704
ko:K03218	ssut:TL13_1705
ko:K07718	ssut:TL13_1713
ko:K00925	ssut:TL13_0180
ko:K11754	ssut:TL13_0182
ko:K06878	ssut:TL13_0187
ko:K04078	ssut:TL13_0191
ko:K04077	ssut:TL13_0192
ko:K02950	ssut:TL13_0193
ko:K02992	ssut:TL13_0194
ko:K02355	ssut:TL13_0195
ko:K00134	ssut:TL13_0201
ko:K00927	ssut:TL13_0202
ko:K01915	ssut:TL13_0205
ko:K03789	ssut:TL13_0209
ko:K07407	ssut:TL13_0215
ko:K07007	ssut:TL13_0222
ko:K01223	ssut:TL13_0223
ko:K02621	ssut:TL13_1043
ko:K02622	ssut:TL13_1045
ko:K08591	ssut:TL13_1046
ko:K16898	ssut:TL13_1047
ko:K03979	ssut:TL13_1050
ko:K03657	ssut:TL13_1061
ko:K06999	ssut:TL13_1066
ko:K15975	ssut:TL13_1067
ko:K02440	ssut:TL13_1068
ko:K00864	ssut:TL13_1070
ko:K01714	ssut:TL13_1073
ko:K00133	ssut:TL13_1074
ko:K00005	ssut:TL13_1075
ko:K00656	ssut:TL13_1078
ko:K02761	ssut:TL13_1079
ko:K02760	ssut:TL13_1080
ko:K02759	ssut:TL13_1081
ko:K04069	ssut:TL13_1084
ko:K03823	ssut:TL13_1087
ko:K01938	ssut:TL13_1092
ko:K11145	ssut:TL13_1724
ko:K01883	ssut:TL13_1725
ko:K00640	ssut:TL13_1728
ko:K00962	ssut:TL13_1729
ko:K02956	ssut:TL13_1730
ko:K03816	ssut:TL13_1741
ko:K01462	ssut:TL13_1745
ko:K01704	ssut:TL13_1747
ko:K01703	ssut:TL13_1748
ko:K00052	ssut:TL13_1749
ko:K01649	ssut:TL13_1750
ko:K07078	ssut:TL13_1757
ko:K03763	ssut:TL13_1758
ko:K05878	ssut:TL13_1763
ko:K05879	ssut:TL13_1764
ko:K02440	ssut:TL13_1766
ko:K01881	ssut:TL13_1767
ko:K01126	ssut:TL13_0226
ko:K09747	ssut:TL13_0229
ko:K02082	ssut:TL13_0230
ko:K03427	ssut:TL13_0242
ko:K01154	ssut:TL13_0243
ko:K01153	ssut:TL13_0247
ko:K00656	ssut:TL13_0248
ko:K02346	ssut:TL13_0249
ko:K07118	ssut:TL13_0251
ko:K03581	ssut:TL13_0254
ko:K03100	ssut:TL13_0255
ko:K07456	ssut:TL13_0265
ko:K03671	ssut:TL13_0267
ko:K12267	ssut:TL13_0269
ko:K02003	ssut:TL13_0273
ko:K03310	ssut:TL13_0274
ko:K00262	ssut:TL13_0277
ko:K01142	ssut:TL13_1107
ko:K00831	ssut:TL13_1113
ko:K07056	ssut:TL13_1115
ko:K02341	ssut:TL13_1117
ko:K00943	ssut:TL13_1118
ko:K02237	ssut:TL13_1124
ko:K00655	ssut:TL13_1125
ko:K02013	ssut:TL13_1127
ko:K02016	ssut:TL13_1128
ko:K02015	ssut:TL13_1129
ko:K02015	ssut:TL13_1130
ko:K00432	ssut:TL13_1131
ko:K03740	ssut:TL13_1135
ko:K14188	ssut:TL13_1136
ko:K03739	ssut:TL13_1137
ko:K03367	ssut:TL13_1138
ko:K11749	ssut:TL13_1768
ko:K00981	ssut:TL13_1769
ko:K00806	ssut:TL13_1770
ko:K03210	ssut:TL13_1771
ko:K01939	ssut:TL13_1772
ko:K01919	ssut:TL13_1773
ko:K04083	ssut:TL13_1775
ko:K03696	ssut:TL13_1778
ko:K02357	ssut:TL13_1782
ko:K02967	ssut:TL13_1783
ko:K02601	ssut:TL13_1786
ko:K03073	ssut:TL13_1787
ko:K06180	ssut:TL13_1790
ko:K09760	ssut:TL13_1801
ko:K01783	ssut:TL13_1803
ko:K06949	ssut:TL13_1804
ko:K02528	ssut:TL13_1809
ko:K05985	ssut:TL13_1815
ko:K03424	ssut:TL13_1816
ko:K02914	ssut:TL13_1817
ko:K03217	ssut:TL13_1819
ko:K03536	ssut:TL13_1820
ko:K01755	ssut:TL13_1821
ko:K01940	ssut:TL13_1822
ko:K01673	ssut:TL13_1834
ko:K04485	ssut:TL13_1835
ko:K09790	ssut:TL13_1838
ko:K00057	ssut:TL13_1845
ko:K00963	ssut:TL13_1846
ko:K05823	ssut:TL13_1849
ko:K01810	ssut:TL13_1853
ko:K11991	ssut:TL13_1855
ko:K00615	ssut:TL13_1856
ko:K03800	ssut:TL13_0336
ko:K02424	ssut:TL13_0338
ko:K10009	ssut:TL13_0339
ko:K07727	ssut:TL13_0341
ko:K01534	ssut:TL13_0343
ko:K06173	ssut:TL13_0345
ko:K00868	ssut:TL13_0346
ko:K03545	ssut:TL13_0366
ko:K01937	ssut:TL13_0371
ko:K01624	ssut:TL13_0373
ko:K02902	ssut:TL13_0374
ko:K03655	ssut:TL13_0381
ko:K14260	ssut:TL13_0385
ko:K03706	ssut:TL13_0386
ko:K02884	ssut:TL13_0388
ko:K09861	ssut:TL13_1207
ko:K00286	ssut:TL13_1211
ko:K00147	ssut:TL13_1212
ko:K00931	ssut:TL13_1213
ko:K10010	ssut:TL13_1875
ko:K10009	ssut:TL13_1876
ko:K02424	ssut:TL13_1877
ko:K02761	ssut:TL13_1881
ko:K02759	ssut:TL13_1883
ko:K02760	ssut:TL13_1884
ko:K01223	ssut:TL13_1887
ko:K01869	ssut:TL13_1889
ko:K07707	ssut:TL13_1898
ko:K07560	ssut:TL13_1902
ko:K07150	ssut:TL13_1906
ko:K09761	ssut:TL13_1907
ko:K02687	ssut:TL13_1908
ko:K07478	ssut:TL13_1912
ko:K02435	ssut:TL13_0390
ko:K02434	ssut:TL13_0392
ko:K01129	ssut:TL13_0393
ko:K02529	ssut:TL13_0394
ko:K00849	ssut:TL13_0395
ko:K00965	ssut:TL13_0396
ko:K07015	ssut:TL13_0401
ko:K07574	ssut:TL13_0403
ko:K00969	ssut:TL13_0404
ko:K09710	ssut:TL13_0408
ko:K01462	ssut:TL13_0416
ko:K00705	ssut:TL13_0418
ko:K00688	ssut:TL13_0419
ko:K07146	ssut:TL13_0430
ko:K16786	ssut:TL13_0432
ko:K16787	ssut:TL13_0432
ko:K16785	ssut:TL13_0433
ko:K03704	ssut:TL13_0434
ko:K03501	ssut:TL13_0435
ko:K05366	ssut:TL13_0436
ko:K00688	ssut:TL13_1254
ko:K01839	ssut:TL13_1258
ko:K01807	ssut:TL13_1259
ko:K03650	ssut:TL13_1270
ko:K03744	ssut:TL13_1273
ko:K07862	ssut:TL13_1278
ko:K03431	ssut:TL13_1283
ko:K01928	ssut:TL13_1286
ko:K00563	ssut:TL13_1288
ko:K06158	ssut:TL13_1291
ko:K01223	ssut:TL13_1301
ko:K07282	ssut:TL13_0280
ko:K01421	ssut:TL13_0286
ko:K02440	ssut:TL13_0295
ko:K06915	ssut:TL13_0296
ko:K02913	ssut:TL13_0302
ko:K02911	ssut:TL13_0303
ko:K01892	ssut:TL13_0305
ko:K04072	ssut:TL13_0307
ko:K01733	ssut:TL13_0308
ko:K16926	ssut:TL13_0311
ko:K16785	ssut:TL13_0312
ko:K16786	ssut:TL13_0313
ko:K16787	ssut:TL13_0313
ko:K07166	ssut:TL13_0321
ko:K09157	ssut:TL13_0322
ko:K03705	ssut:TL13_0326
ko:K03687	ssut:TL13_0327
ko:K04043	ssut:TL13_0328
ko:K03686	ssut:TL13_0329
ko:K07568	ssut:TL13_1155
ko:K03402	ssut:TL13_1156
ko:K00926	ssut:TL13_1160
ko:K00611	ssut:TL13_1161
ko:K06958	ssut:TL13_1167
ko:K01893	ssut:TL13_1170
ko:K03215	ssut:TL13_1177
ko:K00891	ssut:TL13_1180
ko:K00800	ssut:TL13_1181
ko:K02029	ssut:TL13_1221
ko:K00820	ssut:TL13_1222
ko:K03100	ssut:TL13_1223
ko:K00873	ssut:TL13_1227
ko:K00850	ssut:TL13_1228
ko:K02337	ssut:TL13_1229
ko:K12251	ssut:TL13_1236
ko:K10536	ssut:TL13_1237
ko:K13747	ssut:TL13_1238
ko:K00797	ssut:TL13_1240
ko:K03086	ssut:TL13_1243
ko:K03282	ssut:TL13_1245
ko:K02970	ssut:TL13_1247
ko:K02029	ssut:TL13_1920
ko:K03555	ssut:TL13_1923
ko:K03402	ssut:TL13_1924
ko:K01887	ssut:TL13_1925
ko:K00705	ssut:TL13_1929
ko:K15771	ssut:TL13_1931
ko:K15772	ssut:TL13_1932
ko:K02529	ssut:TL13_1934
ko:K01876	ssut:TL13_1938
ko:K02986	ssut:TL13_1945
ko:K02939	ssut:TL13_1948
ko:K03495	ssut:TL13_1950
ko:K00566	ssut:TL13_1956
ko:K01752	ssut:TL13_1957
ko:K01752	ssut:TL13_1958
ko:K16785	ssut:TL13_1961
ko:K00995	ssut:TL13_1964
ko:K07444	ssut:TL13_0441
ko:K07173	ssut:TL13_0443
ko:K00942	ssut:TL13_0445
ko:K03060	ssut:TL13_0446
ko:K04066	ssut:TL13_0447
ko:K00604	ssut:TL13_0448
ko:K03500	ssut:TL13_0449
ko:K01738	ssut:TL13_0457
ko:K05808	ssut:TL13_0461
ko:K03565	ssut:TL13_0476
ko:K03710	ssut:TL13_0479
ko:K12308	ssut:TL13_0481
ko:K01873	ssut:TL13_0490
ko:K01575	ssut:TL13_1305
ko:K01689	ssut:TL13_1329
ko:K00865	ssut:TL13_1332
ko:K01091	ssut:TL13_1333
ko:K01079	ssut:TL13_1334
ko:K02470	ssut:TL13_1336
ko:K03152	ssut:TL13_1337
ko:K05837	ssut:TL13_1338
ko:K02909	ssut:TL13_1339
ko:K03734	ssut:TL13_1340
ko:K02954	ssut:TL13_1343
ko:K04564	ssut:TL13_1348
ko:K02340	ssut:TL13_1349
ko:K09765	ssut:TL13_1351
ko:K01996	ssut:TL13_1352
ko:K01995	ssut:TL13_1353
ko:K01998	ssut:TL13_1354
ko:K01997	ssut:TL13_1355
ko:K01999	ssut:TL13_1356
ko:K03629	ssut:TL13_1984
ko:K01867	ssut:TL13_1986
ko:K00783	ssut:TL13_2005
ko:K01914	ssut:TL13_0500
ko:K06207	ssut:TL13_0501
ko:K01925	ssut:TL13_0503
ko:K02563	ssut:TL13_0504
ko:K03589	ssut:TL13_0505
ko:K03590	ssut:TL13_0506
ko:K03531	ssut:TL13_0507
ko:K06997	ssut:TL13_0508
ko:K09772	ssut:TL13_0509
ko:K02221	ssut:TL13_0510
ko:K04074	ssut:TL13_0512
ko:K01870	ssut:TL13_0514
ko:K02029	ssut:TL13_0519
ko:K01491	ssut:TL13_0521
ko:K03100	ssut:TL13_0523
ko:K08303	ssut:TL13_0531
ko:K03523	ssut:TL13_0534
ko:K02003	ssut:TL13_0538
ko:K04567	ssut:TL13_0541
ko:K03588	ssut:TL13_0549
ko:K01595	ssut:TL13_0550
ko:K03088	ssut:TL13_0551
ko:K01358	ssut:TL13_1358
ko:K00761	ssut:TL13_1359
ko:K00690	ssut:TL13_1361
ko:K10119	ssut:TL13_1362
ko:K10117	ssut:TL13_1364
ko:K07407	ssut:TL13_1365
ko:K14155	ssut:TL13_1367
ko:K07461	ssut:TL13_1373
ko:K01118	ssut:TL13_1374
ko:K05592	ssut:TL13_1378
ko:K00868	ssut:TL13_1384
ko:K04042	ssut:TL13_1388
ko:K02003	ssut:TL13_1397
ko:K05847	ssut:TL13_1404
ko:K14234	ssut:TL13_0570
ko:K01977	ssut:TL13_0115
ko:K01977	ssut:TL13_0462
ko:K01977	ssut:TL13_0017
ko:K01977	ssut:TL13_0375
ko:K01992	ssut:TL13_0283
ko:K01990	ssut:TL13_0707
ko:K14228	ssut:TL13_1805
ko:K17319	ssut:TL13_0658
ko:K17318	ssut:TL13_0660
ko:K17318	ssut:TL13_1715
ko:K17319	ssut:TL13_1717
ko:K01992	ssut:TL13_1054
ko:K14227	ssut:TL13_0035
ko:K14227	ssut:TL13_0121
ko:K01992	ssut:TL13_1641
ko:K01992	ssut:TL13_0706
ko:K01990	ssut:TL13_1642
ko:K01990	ssut:TL13_0220
ko:K01990	ssut:TL13_1231
ko:K01990	ssut:TL13_1053
ko:K14228	ssut:TL13_0372
ko:K01598	ssut:TL13_1094
ko:K00951	ssut:TL13_1903
ko:K16868	ssut:TL13_0613
ko:K11065	ssut:TL13_0616
ko:K02003	ssut:TL13_0618
ko:K06929	ssut:TL13_0623
ko:K00773	ssut:TL13_0625
ko:K02529	ssut:TL13_0627
ko:K01868	ssut:TL13_0632
ko:K10040	ssut:TL13_0633
ko:K10040	ssut:TL13_0634
ko:K10039	ssut:TL13_0635
ko:K00687	ssut:TL13_0644
ko:K06187	ssut:TL13_0645
ko:K01921	ssut:TL13_0646
ko:K02003	ssut:TL13_0648
ko:K01929	ssut:TL13_0649
ko:K02837	ssut:TL13_0652
ko:K02529	ssut:TL13_0657
ko:K01193	ssut:TL13_0661
ko:K03466	ssut:TL13_0662
ko:K07396	ssut:TL13_1466
ko:K01207	ssut:TL13_1469
ko:K04069	ssut:TL13_1470
ko:K02013	ssut:TL13_1474
ko:K00763	ssut:TL13_1477
ko:K01696	ssut:TL13_1479
ko:K06941	ssut:TL13_1481
ko:K00954	ssut:TL13_1484
ko:K07778	ssut:TL13_1490
ko:K04047	ssut:TL13_1494
ko:K03216	ssut:TL13_1502
ko:K08998	ssut:TL13_1503
ko:K06178	ssut:TL13_1504
ko:K06024	ssut:TL13_1505
ko:K05896	ssut:TL13_1506
ko:K07095	ssut:TL13_1509
ko:K01776	ssut:TL13_1511
ko:K14224	ssut:TL13_0122
ko:K14224	ssut:TL13_0380
ko:K14224	ssut:TL13_2002
ko:K14236	ssut:TL13_0126
ko:K14236	ssut:TL13_1039
ko:K14219	ssut:TL13_1036
ko:K14233	ssut:TL13_0036
ko:K17320	ssut:TL13_0659
ko:K17320	ssut:TL13_1716
ko:K14225	ssut:TL13_0120
ko:K14233	ssut:TL13_0032
ko:K14233	ssut:TL13_0123
ko:K14230	ssut:TL13_0030
ko:K14221	ssut:TL13_0022
ko:K14221	ssut:TL13_0467
ko:K14222	ssut:TL13_1784
ko:K14235	ssut:TL13_0127
ko:K01537	ssut:TL13_0560
ko:K14219	ssut:TL13_2003
ko:K01992	ssut:TL13_0059
ko:K01992	ssut:TL13_0282
ko:K14230	ssut:TL13_0031
ko:K14229	ssut:TL13_0023
ko:K14229	ssut:TL13_0468
ko:K14228	ssut:TL13_0027
ko:K14228	ssut:TL13_0472
ko:K14218	ssut:TL13_0463
ko:K14218	ssut:TL13_0018
ko:K14218	ssut:TL13_0116
ko:K14218	ssut:TL13_0376
ko:K10112	ssut:TL13_1710
ko:K14228	ssut:TL13_0024
ko:K14228	ssut:TL13_0469
ko:K01990	ssut:TL13_0058
ko:K01990	ssut:TL13_0611
ko:K01990	ssut:TL13_1492
ko:K00939	ssut:TL13_0106
ko:K02004	ssut:TL13_0944
ko:K09787	ssut:TL13_0956
ko:K00845	ssut:TL13_0985
ko:K00974	ssut:TL13_0988
ko:K02028	ssut:TL13_1919
ko:K15770	ssut:TL13_1930
ko:K03647	ssut:TL13_1936
ko:K02348	ssut:TL13_1939
ko:K00244	ssut:TL13_1943
ko:K07491	ssut:TL13_1959
ko:K16787	ssut:TL13_1962
ko:K16786	ssut:TL13_1963
ko:K07030	ssut:TL13_1648
ko:K02033	ssut:TL13_1652
ko:K02035	ssut:TL13_1655
ko:K07258	ssut:TL13_1657
ko:K04488	ssut:TL13_1659
ko:K01992	ssut:TL13_1491
