ko:K13613	bamb:BAPNAU_2047
ko:K03106	bamb:BAPNAU_2170
ko:K09787	bamb:BAPNAU_2171
ko:K03110	bamb:BAPNAU_2173
ko:K03529	bamb:BAPNAU_2174
ko:K03685	bamb:BAPNAU_2175
ko:K02078	bamb:BAPNAU_2176
ko:K00059	bamb:BAPNAU_2177
ko:K00645	bamb:BAPNAU_2178
ko:K03621	bamb:BAPNAU_2179
ko:K03655	bamb:BAPNAU_2181
ko:K01752	bamb:BAPNAU_2182
ko:K01752	bamb:BAPNAU_2183
ko:K07030	bamb:BAPNAU_2184
ko:K02902	bamb:BAPNAU_2186
ko:K06414	bamb:BAPNAU_2187
ko:K00949	bamb:BAPNAU_2188
ko:K04043	bamb:BAPNAU_1204
ko:K03686	bamb:BAPNAU_1205
ko:K02687	bamb:BAPNAU_1207
ko:K09761	bamb:BAPNAU_1208
ko:K03324	bamb:BAPNAU_1210
ko:K02970	bamb:BAPNAU_1211
ko:K09117	bamb:BAPNAU_1212
ko:K07403	bamb:BAPNAU_1213
ko:K06438	bamb:BAPNAU_1217
ko:K07037	bamb:BAPNAU_1219
ko:K07042	bamb:BAPNAU_1220
ko:K13953	bamb:BAPNAU_2002
ko:K03596	bamb:BAPNAU_1200
ko:K00854	bamb:BAPNAU_2007
ko:K01805	bamb:BAPNAU_2008
ko:K01198	bamb:BAPNAU_2010
ko:K01915	bamb:BAPNAU_2017
ko:K03713	bamb:BAPNAU_2018
ko:K03665	bamb:BAPNAU_2020
ko:K06413	bamb:BAPNAU_2021
ko:K01448	bamb:BAPNAU_2023
ko:K03705	bamb:BAPNAU_1202
ko:K03687	bamb:BAPNAU_1203
ko:K03647	bamb:BAPNAU_2027
ko:K03666	bamb:BAPNAU_2030
ko:K00791	bamb:BAPNAU_2031
ko:K15313	bamb:BAPNAU_2050
ko:K15312	bamb:BAPNAU_2051
ko:K07228	bamb:BAPNAU_2793
ko:K03455	bamb:BAPNAU_2794
ko:K03897	bamb:BAPNAU_2795
ko:K00824	bamb:BAPNAU_2812
ko:K12410	bamb:BAPNAU_2814
ko:K16052	bamb:BAPNAU_2815
ko:K01126	bamb:BAPNAU_2817
ko:K06199	bamb:BAPNAU_2818
ko:K06199	bamb:BAPNAU_2819
ko:K00646	bamb:BAPNAU_2821
ko:K11358	bamb:BAPNAU_2822
ko:K00655	bamb:BAPNAU_2825
ko:K03088	bamb:BAPNAU_2826
ko:K03308	bamb:BAPNAU_2829
ko:K03294	bamb:BAPNAU_2830
ko:K01647	bamb:BAPNAU_2832
ko:K01077	bamb:BAPNAU_2835
ko:K13771	bamb:BAPNAU_2838
ko:K02480	bamb:BAPNAU_2844
ko:K03320	bamb:BAPNAU_3566
ko:K04751	bamb:BAPNAU_3567
ko:K03588	bamb:BAPNAU_3568
ko:K06386	bamb:BAPNAU_3571
ko:K03823	bamb:BAPNAU_3572
ko:K06131	bamb:BAPNAU_3575
ko:K01181	bamb:BAPNAU_3577
ko:K01428	bamb:BAPNAU_3580
ko:K01429	bamb:BAPNAU_3581
ko:K01430	bamb:BAPNAU_3582
ko:K03639	bamb:BAPNAU_3586
ko:K02379	bamb:BAPNAU_3587
ko:K07114	bamb:BAPNAU_3589
ko:K07114	bamb:BAPNAU_3591
ko:K06381	bamb:BAPNAU_3592
ko:K00790	bamb:BAPNAU_3593
ko:K02114	bamb:BAPNAU_3597
ko:K02112	bamb:BAPNAU_3598
ko:K02115	bamb:BAPNAU_3599
ko:K02111	bamb:BAPNAU_3600
ko:K02113	bamb:BAPNAU_3601
ko:K02109	bamb:BAPNAU_3602
ko:K02110	bamb:BAPNAU_3603
ko:K02108	bamb:BAPNAU_3604
ko:K02116	bamb:BAPNAU_3605
ko:K00761	bamb:BAPNAU_3606
ko:K00600	bamb:BAPNAU_3607
ko:K01808	bamb:BAPNAU_3609
ko:K07566	bamb:BAPNAU_3612
ko:K06387	bamb:BAPNAU_3614
ko:K01783	bamb:BAPNAU_2189
ko:K06949	bamb:BAPNAU_2190
ko:K06941	bamb:BAPNAU_2194
ko:K03500	bamb:BAPNAU_2195
ko:K00604	bamb:BAPNAU_2196
ko:K01911	bamb:BAPNAU_2944
ko:K01661	bamb:BAPNAU_2945
ko:K08680	bamb:BAPNAU_2946
ko:K02551	bamb:BAPNAU_2947
ko:K02552	bamb:BAPNAU_2948
ko:K16789	bamb:BAPNAU_2951
ko:K07192	bamb:BAPNAU_2952
ko:K06305	bamb:BAPNAU_3713
ko:K03648	bamb:BAPNAU_3717
ko:K00868	bamb:BAPNAU_3722
ko:K01193	bamb:BAPNAU_3724
ko:K03488	bamb:BAPNAU_3726
ko:K14647	bamb:BAPNAU_3728
ko:K05837	bamb:BAPNAU_3731
ko:K03829	bamb:BAPNAU_3732
ko:K02829	bamb:BAPNAU_3734
ko:K02828	bamb:BAPNAU_3735
ko:K02827	bamb:BAPNAU_3736
ko:K02826	bamb:BAPNAU_3737
ko:K00965	bamb:BAPNAU_3739
ko:K00849	bamb:BAPNAU_3740
ko:K16301	bamb:BAPNAU_3747
ko:K00788	bamb:BAPNAU_3749
ko:K00878	bamb:BAPNAU_3750
ko:K06969	bamb:BAPNAU_3757
ko:K01759	bamb:BAPNAU_3758
ko:K02761	bamb:BAPNAU_3759
ko:K01489	bamb:BAPNAU_1222
ko:K03584	bamb:BAPNAU_1225
ko:K01878	bamb:BAPNAU_1226
ko:K01879	bamb:BAPNAU_1227
ko:K09773	bamb:BAPNAU_1229
ko:K09768	bamb:BAPNAU_1230
ko:K01154	bamb:BAPNAU_1015
ko:K01652	bamb:BAPNAU_1021
ko:K01653	bamb:BAPNAU_1022
ko:K00053	bamb:BAPNAU_1023
ko:K01649	bamb:BAPNAU_1024
ko:K00052	bamb:BAPNAU_1025
ko:K01703	bamb:BAPNAU_1026
ko:K01704	bamb:BAPNAU_1027
ko:K03545	bamb:BAPNAU_1029
ko:K03544	bamb:BAPNAU_1030
ko:K04076	bamb:BAPNAU_1031
ko:K01338	bamb:BAPNAU_1032
ko:K03978	bamb:BAPNAU_1033
ko:K02492	bamb:BAPNAU_1035
ko:K02497	bamb:BAPNAU_1036
ko:K01749	bamb:BAPNAU_1037
ko:K01719	bamb:BAPNAU_1038
ko:K01698	bamb:BAPNAU_1039
ko:K01845	bamb:BAPNAU_1040
ko:K06417	bamb:BAPNAU_1041
ko:K01873	bamb:BAPNAU_1044
ko:K11754	bamb:BAPNAU_1045
ko:K02236	bamb:BAPNAU_1046
ko:K06287	bamb:BAPNAU_1048
ko:K03630	bamb:BAPNAU_1049
ko:K03569	bamb:BAPNAU_1050
ko:K03570	bamb:BAPNAU_1051
ko:K03571	bamb:BAPNAU_1052
ko:K06401	bamb:BAPNAU_1055
ko:K06402	bamb:BAPNAU_1056
ko:K03610	bamb:BAPNAU_1053
ko:K03609	bamb:BAPNAU_1054
ko:K02888	bamb:BAPNAU_1057
ko:K07584	bamb:BAPNAU_1058
ko:K02899	bamb:BAPNAU_1059
ko:K06375	bamb:BAPNAU_1060
ko:K03979	bamb:BAPNAU_1061
ko:K06209	bamb:BAPNAU_1062
ko:K04518	bamb:BAPNAU_1063
ko:K07105	bamb:BAPNAU_1064
ko:K03654	bamb:BAPNAU_1851
ko:K08976	bamb:BAPNAU_1857
ko:K06878	bamb:BAPNAU_1864
ko:K00058	bamb:BAPNAU_1872
ko:K11216	bamb:BAPNAU_1873
ko:K00059	bamb:BAPNAU_1877
ko:K00286	bamb:BAPNAU_1879
ko:K00931	bamb:BAPNAU_1880
ko:K00265	bamb:BAPNAU_1882
ko:K00266	bamb:BAPNAU_1883
ko:K13955	bamb:BAPNAU_1885
ko:K07259	bamb:BAPNAU_1896
ko:K16511	bamb:BAPNAU_2643
ko:K16509	bamb:BAPNAU_2645
ko:K10823	bamb:BAPNAU_2648
ko:K15583	bamb:BAPNAU_2649
ko:K15582	bamb:BAPNAU_2650
ko:K03710	bamb:BAPNAU_2085
ko:K03466	bamb:BAPNAU_2086
ko:K01714	bamb:BAPNAU_2090
ko:K00928	bamb:BAPNAU_2091
ko:K03086	bamb:BAPNAU_1232
ko:K13300	bamb:BAPNAU_1233
ko:K06967	bamb:BAPNAU_1234
ko:K03527	bamb:BAPNAU_1236
ko:K01151	bamb:BAPNAU_1239
ko:K02076	bamb:BAPNAU_1242
ko:K05967	bamb:BAPNAU_1243
ko:K09793	bamb:BAPNAU_1248
ko:K04564	bamb:BAPNAU_1249
ko:K08222	bamb:BAPNAU_1250
ko:K02040	bamb:BAPNAU_1252
ko:K02037	bamb:BAPNAU_1253
ko:K02038	bamb:BAPNAU_1254
ko:K02036	bamb:BAPNAU_1255
ko:K02913	bamb:BAPNAU_1260
ko:K01934	bamb:BAPNAU_1261
ko:K03315	bamb:BAPNAU_1263
ko:K00845	bamb:BAPNAU_1266
ko:K01308	bamb:BAPNAU_1267
ko:K16509	bamb:BAPNAU_1273
ko:K15311	bamb:BAPNAU_2052
ko:K15337	bamb:BAPNAU_2053
ko:K15329	bamb:BAPNAU_2054
ko:K15328	bamb:BAPNAU_2055
ko:K03572	bamb:BAPNAU_2062
ko:K03555	bamb:BAPNAU_2063
ko:K06328	bamb:BAPNAU_2064
ko:K06168	bamb:BAPNAU_2066
ko:K00639	bamb:BAPNAU_2067
ko:K00060	bamb:BAPNAU_2068
ko:K06416	bamb:BAPNAU_2069
ko:K09769	bamb:BAPNAU_2070
ko:K00995	bamb:BAPNAU_2075
ko:K00059	bamb:BAPNAU_2079
ko:K06994	bamb:BAPNAU_2082
ko:K08221	bamb:BAPNAU_2084
ko:K07052	bamb:BAPNAU_0566
ko:K04078	bamb:BAPNAU_0567
ko:K04077	bamb:BAPNAU_0568
ko:K00847	bamb:BAPNAU_0575
ko:K03969	bamb:BAPNAU_0577
