ko:K02028	spya:A20_1271c
ko:K01810	spya:A20_0234
ko:K00963	spya:A20_0239c
ko:K00057	spya:A20_0240c
ko:K09765	spya:A20_0244
ko:K04485	spya:A20_0246
ko:K01673	spya:A20_0247
ko:K07707	spya:A20_0252
ko:K03536	spya:A20_0253
ko:K03217	spya:A20_0254
ko:K02914	spya:A20_0257
ko:K03424	spya:A20_0266
ko:K05985	spya:A20_0267
ko:K02528	spya:A20_0268
ko:K06949	spya:A20_0269
ko:K01783	spya:A20_0270
ko:K09760	spya:A20_0272
ko:K02950	spya:A20_0276
ko:K02992	spya:A20_0277
ko:K02355	spya:A20_0278
ko:K00134	spya:A20_0279
ko:K00688	spya:A20_1089c
ko:K00705	spya:A20_1090c
ko:K02529	spya:A20_1091c
ko:K03740	spya:A20_1104c
ko:K14188	spya:A20_1105c
ko:K03739	spya:A20_1106c
ko:K03367	spya:A20_1107c
ko:K03702	spya:A20_1109c
ko:K02761	spya:A20_1113c
ko:K02759	spya:A20_1115c
ko:K02760	spya:A20_1116c
ko:K01223	spya:A20_1119c
ko:K03979	spya:A20_1122c
ko:K03215	spya:A20_1132c
ko:K00891	spya:A20_1134c
ko:K05340	spya:A20_1900c
ko:K01867	spya:A20_1902c
ko:K00783	spya:A20_1913c
ko:K01893	spya:A20_0507
ko:K03110	spya:A20_0516
ko:K01223	spya:A20_0520
ko:K07089	spya:A20_0522c
ko:K06959	spya:A20_0524
ko:K13292	spya:A20_0528
ko:K08303	spya:A20_0533
ko:K04567	spya:A20_0537c
ko:K00432	spya:A20_0545c
ko:K01595	spya:A20_0547
ko:K03588	spya:A20_0548
ko:K02358	spya:A20_0550
ko:K01803	spya:A20_0551
ko:K07718	spya:A20_1340c
ko:K03565	spya:A20_1354
ko:K05808	spya:A20_1368c
ko:K01738	spya:A20_1372
ko:K03500	spya:A20_1380c
ko:K00604	spya:A20_1381c
ko:K04066	spya:A20_1382c
ko:K03060	spya:A20_1383c
ko:K00942	spya:A20_1384c
ko:K01034	spya:A20_1388
ko:K00019	spya:A20_1390
ko:K16785	spya:A20_1888c
ko:K01972	spya:A20_0617
ko:K02110	spya:A20_0619
ko:K02108	spya:A20_0620
ko:K02109	spya:A20_0621
ko:K02113	spya:A20_0622
ko:K02111	spya:A20_0623
ko:K02115	spya:A20_0624
ko:K02112	spya:A20_0625
ko:K02114	spya:A20_0626
ko:K00790	spya:A20_0628
ko:K01889	spya:A20_0631
ko:K01890	spya:A20_0632
ko:K02003	spya:A20_0636
ko:K02970	spya:A20_0641
ko:K03282	spya:A20_0642c
ko:K03086	spya:A20_0644
ko:K00067	spya:A20_0646
ko:K02834	spya:A20_1456c
ko:K02519	spya:A20_1457c
ko:K07742	spya:A20_1459c
ko:K02600	spya:A20_1460c
ko:K09748	spya:A20_1461c
ko:K02313	spya:A20_0001
ko:K02338	spya:A20_0002
ko:K06942	spya:A20_0005
ko:K01056	spya:A20_0006
ko:K03723	spya:A20_0007
ko:K04075	spya:A20_0012
ko:K00760	spya:A20_0013
ko:K03798	spya:A20_0014
ko:K00948	spya:A20_0051
ko:K03584	spya:A20_0052
ko:K03621	spya:A20_0053
ko:K02078	spya:A20_0054
ko:K01923	spya:A20_0055
ko:K01952	spya:A20_0056
ko:K00764	spya:A20_0057
ko:K01933	spya:A20_0058
ko:K11175	spya:A20_0059
ko:K03630	spya:A20_0879
ko:K07010	spya:A20_0880c
ko:K01926	spya:A20_0881c
ko:K04487	spya:A20_0883c
ko:K00948	spya:A20_0884c
ko:K00858	spya:A20_0887
ko:K06180	spya:A20_0888
ko:K05847	spya:A20_0893
ko:K00364	spya:A20_0895
ko:K03816	spya:A20_0896
ko:K16169	spya:A20_0897
ko:K03734	spya:A20_0898c
ko:K01821	spya:A20_0899c
ko:K02835	spya:A20_0901
ko:K02493	spya:A20_0902
ko:K07566	spya:A20_0903
ko:K00600	spya:A20_0905
ko:K02469	spya:A20_0912
ko:K11068	spya:A20_0918c
ko:K14540	spya:A20_0920
ko:K03470	spya:A20_0921
ko:K04096	spya:A20_0922
ko:K03168	spya:A20_0923
ko:K03778	spya:A20_0927
ko:K02871	spya:A20_1696c
ko:K06962	spya:A20_1700c
ko:K03218	spya:A20_1701c
ko:K11145	spya:A20_1703c
ko:K01883	spya:A20_1704c
ko:K00640	spya:A20_1706c
ko:K00962	spya:A20_1708c
ko:K02956	spya:A20_1714c
ko:K01462	spya:A20_1717
ko:K03763	spya:A20_1720c
ko:K01881	spya:A20_1721c
ko:K11749	spya:A20_1722c
ko:K00981	spya:A20_1723c
ko:K00806	spya:A20_1724c
ko:K03210	spya:A20_1725c
ko:K07560	spya:A20_1732c
ko:K09761	spya:A20_1738c
ko:K02687	spya:A20_1739c
ko:K07478	spya:A20_1743
ko:K06153	spya:A20_0284
ko:K16511	spya:A20_0285
ko:K09013	spya:A20_0288
ko:K09015	spya:A20_0289
ko:K11717	spya:A20_0290
ko:K09014	spya:A20_0292
ko:K15580	spya:A20_0295
ko:K15581	spya:A20_0296
ko:K07015	spya:A20_0310
ko:K07574	spya:A20_0312
ko:K00969	spya:A20_0313
ko:K09710	spya:A20_0315
ko:K02073	spya:A20_0320
ko:K02071	spya:A20_0321
ko:K02072	spya:A20_0322
ko:K03311	spya:A20_0323c
ko:K07862	spya:A20_0324
ko:K03501	spya:A20_0327c
ko:K03744	spya:A20_0328
ko:K03799	spya:A20_0329
ko:K07040	spya:A20_0330
ko:K07738	spya:A20_0333
ko:K03977	spya:A20_0336
ko:K00800	spya:A20_1135c
ko:K07058	spya:A20_1136c
ko:K01265	spya:A20_1137c
ko:K00790	spya:A20_1141c
ko:K00789	spya:A20_1142c
ko:K03524	spya:A20_1144
ko:K02343	spya:A20_1146c
ko:K00876	spya:A20_1150c
ko:K01872	spya:A20_1167c
ko:K08177	spya:A20_1170c
ko:K08602	spya:A20_1171c
ko:K07568	spya:A20_1175
ko:K04564	spya:A20_1180c
ko:K02340	spya:A20_1181c
ko:K02237	spya:A20_1183c
ko:K00655	spya:A20_1184c
ko:K11044	spya:A20_0402c
ko:K11045	spya:A20_1015c
ko:K06885	spya:A20_0556c
ko:K02747	spya:A20_0561c
ko:K02746	spya:A20_0562c
ko:K00874	spya:A20_0568
ko:K01625	spya:A20_0569
ko:K02836	spya:A20_0572
ko:K09812	spya:A20_0573
ko:K09811	spya:A20_0574
ko:K01893	spya:A20_0580
ko:K06958	spya:A20_0581
ko:K08659	spya:A20_0584
ko:K03710	spya:A20_0586
ko:K02082	spya:A20_0587
ko:K02909	spya:A20_0588c
ko:K02884	spya:A20_0593
ko:K02470	spya:A20_0597
ko:K01689	spya:A20_0600
ko:K07173	spya:A20_1392
ko:K07444	spya:A20_1394c
ko:K05366	spya:A20_1398
ko:K00763	spya:A20_1401c
ko:K00384	spya:A20_1403c
ko:K02029	spya:A20_1406c
ko:K01000	spya:A20_1409c
ko:K03438	spya:A20_1412c
ko:K00147	spya:A20_1414c
ko:K00931	spya:A20_1415c
ko:K00615	spya:A20_1422c
ko:K02440	spya:A20_1426c
ko:K00864	spya:A20_1428c
ko:K01879	spya:A20_1432c
ko:K01878	spya:A20_1433c
ko:K01443	spya:A20_1436c
ko:K03324	spya:A20_1437c
ko:K16788	spya:A20_1195c
ko:K00602	spya:A20_0060
ko:K01945	spya:A20_0062
ko:K01588	spya:A20_0063
ko:K01589	spya:A20_0064
ko:K01756	spya:A20_0066
ko:K03551	spya:A20_0068
ko:K04072	spya:A20_0072
ko:K02946	spya:A20_0075
ko:K02906	spya:A20_0076
ko:K02926	spya:A20_0077
ko:K02892	spya:A20_0078
ko:K02886	spya:A20_0079
ko:K02965	spya:A20_0080
ko:K02890	spya:A20_0081
ko:K02982	spya:A20_0082
ko:K02878	spya:A20_0083
ko:K02904	spya:A20_0084
ko:K02961	spya:A20_0085
ko:K02874	spya:A20_0086
ko:K02895	spya:A20_0087
ko:K02931	spya:A20_0088
ko:K02954	spya:A20_0089
ko:K02994	spya:A20_0090
ko:K02933	spya:A20_0091
ko:K02881	spya:A20_0092
ko:K02988	spya:A20_0093
ko:K02907	spya:A20_0094
ko:K02876	spya:A20_0095
ko:K03076	spya:A20_0096
ko:K02518	spya:A20_0098
ko:K02919	spya:A20_0099
ko:K02952	spya:A20_0100
ko:K02948	spya:A20_0101
ko:K03040	spya:A20_0102
ko:K02879	spya:A20_0103
ko:K04094	spya:A20_0930
ko:K03300	spya:A20_0937c
ko:K01646	spya:A20_0942
ko:K01644	spya:A20_0943
ko:K01643	spya:A20_0944
ko:K05964	spya:A20_0945
ko:K01910	spya:A20_0947c
ko:K03106	spya:A20_0951c
ko:K16789	spya:A20_0541c
ko:K00945	spya:A20_0662
ko:K02520	spya:A20_0663
ko:K02916	spya:A20_0664
ko:K02887	spya:A20_0665
ko:K06969	spya:A20_0667
ko:K03785	spya:A20_0668
ko:K01736	spya:A20_0669
ko:K11754	spya:A20_0672c
ko:K04487	spya:A20_0674
ko:K03151	spya:A20_0675
ko:K07282	spya:A20_0676
ko:K02888	spya:A20_0677
ko:K02899	spya:A20_0679
ko:K03101	spya:A20_0681
ko:K06180	spya:A20_0682
ko:K02825	spya:A20_0683
ko:K00609	spya:A20_0685
ko:K01956	spya:A20_0686
ko:K01955	spya:A20_0687
ko:K02003	spya:A20_0689
ko:K01126	spya:A20_0691
ko:K02959	spya:A20_0692
ko:K06960	spya:A20_0693
ko:K07006	spya:A20_0695
ko:K16264	spya:A20_0696c
ko:K02860	spya:A20_0698
ko:K00554	spya:A20_0699
ko:K00077	spya:A20_0702
ko:K02768	spya:A20_0705
ko:K02769	spya:A20_0705
ko:K02770	spya:A20_0705
ko:K00940	spya:A20_0712
ko:K03439	spya:A20_1517c
ko:K02503	spya:A20_1521
ko:K06925	spya:A20_1525c
ko:K06901	spya:A20_1526c
ko:K01875	spya:A20_1532
ko:K01962	spya:A20_1533c
ko:K01963	spya:A20_1534c
ko:K01961	spya:A20_1535c
ko:K02372	spya:A20_1536c
ko:K02160	spya:A20_1537c
ko:K09458	spya:A20_1538c
ko:K00645	spya:A20_1540c
ko:K02078	spya:A20_1542c
ko:K00648	spya:A20_1543c
ko:K03710	spya:A20_0953c
ko:K01951	spya:A20_0955
ko:K00868	spya:A20_0959c
ko:K06131	spya:A20_0962c
ko:K01938	spya:A20_0963c
ko:K03800	spya:A20_0964c
ko:K02057	spya:A20_0975c
ko:K02057	spya:A20_0976c
ko:K07335	spya:A20_0978c
ko:K02034	spya:A20_1752
ko:K02003	spya:A20_1772c
ko:K00005	spya:A20_1786c
ko:K00656	spya:A20_1788c
ko:K02761	spya:A20_1789c
ko:K02760	spya:A20_1790c
ko:K02759	spya:A20_1791c
ko:K04069	spya:A20_1794
ko:K01924	spya:A20_0339
ko:K07082	spya:A20_0341
ko:K03624	spya:A20_0342
ko:K03217	spya:A20_0344c
ko:K01512	spya:A20_0345c
ko:K03437	spya:A20_0347
ko:K06950	spya:A20_0348
ko:K06890	spya:A20_0349
ko:K03488	spya:A20_0518
ko:K02755	spya:A20_0519
ko:K02756	spya:A20_0519
ko:K02757	spya:A20_0519
ko:K03095	spya:A20_0525
ko:K06023	spya:A20_0527
ko:K07025	spya:A20_0538
ko:K03976	spya:A20_0540c
ko:K07273	spya:A20_0542c
ko:K12554	spya:A20_0552c
ko:K05363	spya:A20_0553c
ko:K07720	spya:A20_1339c
ko:K05350	spya:A20_1347c
ko:K01197	spya:A20_1348c
ko:K09704	spya:A20_1350
ko:K01191	spya:A20_1351
ko:K07706	spya:A20_1352c
ko:K07586	spya:A20_1355
ko:K02242	spya:A20_1369c
ko:K02240	spya:A20_1370c
ko:K07570	spya:A20_1373c
ko:K03768	spya:A20_1374c
ko:K11618	spya:A20_1375c
ko:K11617	spya:A20_1376c
ko:K00626	spya:A20_1387
ko:K03317	spya:A20_1633c
ko:K01409	spya:A20_1637c
ko:K03713	spya:A20_1643c
ko:K09698	spya:A20_0249
ko:K07706	spya:A20_0250
ko:K06346	spya:A20_0255
ko:K01788	spya:A20_0258
ko:K02025	spya:A20_0260
ko:K01639	spya:A20_0263
ko:K00949	spya:A20_0271
ko:K03698	spya:A20_0273
ko:K09685	spya:A20_0274
ko:K03491	spya:A20_1117c
ko:K09963	spya:A20_1118c
ko:K06183	spya:A20_1126c
ko:K00088	spya:A20_1901c
ko:K06948	spya:A20_0311
ko:K04488	spya:A20_0291
ko:K07258	spya:A20_0294c
ko:K15582	spya:A20_0297
ko:K15583	spya:A20_0298
ko:K10823	spya:A20_0299
ko:K03499	spya:A20_0325c
ko:K03346	spya:A20_0334
ko:K11144	spya:A20_0335
ko:K08483	spya:A20_1154c
ko:K11189	spya:A20_1155c
ko:K07052	spya:A20_1163c
ko:K07729	spya:A20_1165c
ko:K07533	spya:A20_1168c
ko:K06198	spya:A20_1172c
ko:K06183	spya:A20_1173c
ko:K02564	spya:A20_1174c
ko:K02238	spya:A20_1182c
ko:K01104	spya:A20_0069
ko:K13953	spya:A20_0073
ko:K00939	spya:A20_0097
ko:K01571	spya:A20_0931
ko:K05966	spya:A20_0935c
ko:K01572	spya:A20_0940
ko:K01571	spya:A20_0946
ko:K09787	spya:A20_0952c
ko:K05363	spya:A20_0956c
ko:K01835	spya:A20_0974
ko:K02056	spya:A20_0977c
ko:K02035	spya:A20_1750
ko:K02033	spya:A20_1751
ko:K09815	spya:A20_1757c
ko:K02004	spya:A20_1771c
ko:K02005	spya:A20_1773c
ko:K07533	spya:A20_1777c
ko:K15051	spya:A20_1783c
ko:K09976	spya:A20_0350
ko:K02428	spya:A20_0352
ko:K03699	spya:A20_0365
ko:K15986	spya:A20_0367
ko:K05362	spya:A20_0373c
ko:K06201	spya:A20_0387c
ko:K10530	spya:A20_0391
ko:K07105	spya:A20_1197c
ko:K15051	spya:A20_1204
ko:K07004	spya:A20_0615
ko:K15051	spya:A20_0630
ko:K02004	spya:A20_0635
ko:K07054	spya:A20_0637c
ko:K12996	spya:A20_0647
ko:K12997	spya:A20_0648
ko:K07272	spya:A20_0652
ko:K09153	spya:A20_0655
ko:K01258	spya:A20_0658
ko:K05337	spya:A20_0660c
ko:K01635	spya:A20_1444c
ko:K00917	spya:A20_1445c
ko:K01819	spya:A20_1446c
ko:K01819	spya:A20_1447c
ko:K02530	spya:A20_1451
ko:K15051	spya:A20_1463
ko:K01197	spya:A20_1471c
ko:K02123	spya:A20_0175
ko:K03693	spya:A20_0129
ko:K02243	spya:A20_0133
ko:K02244	spya:A20_0134
ko:K02245	spya:A20_0135
ko:K02246	spya:A20_0136
ko:K02248	spya:A20_0138
ko:K01261	spya:A20_0144c
ko:K00626	spya:A20_0168
ko:K02124	spya:A20_0176
ko:K01489	spya:A20_0979c
ko:K00564	spya:A20_0980c
ko:K00867	spya:A20_0981
ko:K14982	spya:A20_0983c
ko:K14983	spya:A20_0984c
ko:K01092	spya:A20_0993c
ko:K16509	spya:A20_0995c
ko:K03177	spya:A20_0997c
ko:K02004	spya:A20_1001c
ko:K12555	spya:A20_1797c
ko:K03708	spya:A20_1807c
ko:K03386	spya:A20_1811
ko:K00603	spya:A20_1815
ko:K01479	spya:A20_1821
ko:K07386	spya:A20_1825c
ko:K01226	spya:A20_1826c
ko:K02817	spya:A20_1827c
ko:K02818	spya:A20_1827c
ko:K02819	spya:A20_1827c
ko:K03486	spya:A20_1828
ko:K07104	spya:A20_1832
ko:K03810	spya:A20_1836c
ko:K00383	spya:A20_0671
ko:K07584	spya:A20_0678
ko:K02824	spya:A20_0684
ko:K02005	spya:A20_0688
ko:K02004	spya:A20_0690
ko:K07035	spya:A20_0701
ko:K03436	spya:A20_0703
ko:K00882	spya:A20_0704
ko:K02793	spya:A20_1528
ko:K02794	spya:A20_1528
ko:K02795	spya:A20_1529
ko:K00059	spya:A20_1539c
ko:K02371	spya:A20_1541c
ko:K01361	spya:A20_0393
ko:K03647	spya:A20_0400
ko:K00059	spya:A20_0412
ko:K01515	spya:A20_0416
ko:K01243	spya:A20_0418
ko:K03709	spya:A20_0420c
ko:K07304	spya:A20_0432
ko:K10254	spya:A20_0435
ko:K03697	spya:A20_1274
ko:K00974	spya:A20_0715
ko:K01081	spya:A20_0719c
ko:K00869	spya:A20_0723
ko:K01597	spya:A20_0724
ko:K00938	spya:A20_0725
ko:K01823	spya:A20_0726
ko:K00054	spya:A20_0727c
ko:K01641	spya:A20_0728c
ko:K04086	spya:A20_0735c
ko:K03783	spya:A20_0739
ko:K03784	spya:A20_0740
ko:K00799	spya:A20_0763
ko:K11041	spya:A20_0764
ko:K02433	spya:A20_1556c
ko:K01006	spya:A20_1558c
ko:K01424	spya:A20_1566
ko:K02808	spya:A20_1590c
ko:K02809	spya:A20_1590c
ko:K02810	spya:A20_1590c
ko:K02795	spya:A20_0822
ko:K07720	spya:A20_0825
ko:K07025	spya:A20_0829
ko:K00135	spya:A20_0830
ko:K07258	spya:A20_0856
ko:K11072	spya:A20_0865
ko:K11071	spya:A20_0866
ko:K11069	spya:A20_0868
ko:K00027	spya:A20_0872
ko:K07030	spya:A20_1648c
ko:K06889	spya:A20_1654c
ko:K03048	spya:A20_1657c
ko:K12296	spya:A20_1664c
ko:K02004	spya:A20_1677c
ko:K01220	spya:A20_1682c
ko:K02786	spya:A20_1684c
ko:K01635	spya:A20_1685c
ko:K00917	spya:A20_1686c
ko:K01819	spya:A20_1687c
ko:K01819	spya:A20_1688c
ko:K02530	spya:A20_1689
ko:K10563	spya:A20_0454
ko:K12999	spya:A20_0465c
ko:K01759	spya:A20_0466c
ko:K00626	spya:A20_0477
ko:K07668	spya:A20_0480
ko:K07652	spya:A20_0481
ko:K00845	spya:A20_1291c
ko:K02236	spya:A20_1294
ko:K07177	spya:A20_1299c
ko:K01478	spya:A20_1308c
ko:K06196	spya:A20_1317c
ko:K03856	spya:A20_1332
ko:K02121	spya:A20_0177
ko:K02119	spya:A20_0178
ko:K02122	spya:A20_0179
ko:K02117	spya:A20_0181
ko:K02118	spya:A20_0182
ko:K02120	spya:A20_0183
ko:K11031	spya:A20_0192
ko:K01760	spya:A20_0197
ko:K03475	spya:A20_0199
ko:K02822	spya:A20_0200
ko:K02821	spya:A20_0201
ko:K03493	spya:A20_0205
ko:K03476	spya:A20_0206
ko:K09825	spya:A20_0211
ko:K08152	spya:A20_1849c
