ko:K13613	bamy:V529_16600
ko:K01495	bamy:V529_23620
ko:K03530	bamy:V529_23630
ko:K06398	bamy:V529_23650
ko:K00057	bamy:V529_23680
ko:K03977	bamy:V529_23690
ko:K01823	bamy:V529_23720
ko:K02945	bamy:V529_23730
ko:K00945	bamy:V529_23740
ko:K06313	bamy:V529_23770
ko:K01449	bamy:V529_23780
ko:K00384	bamy:V529_23800
ko:K00260	bamy:V529_23810
ko:K16511	bamy:V529_23820
ko:K07052	bamy:V529_23860
ko:K03654	bamy:V529_23870
ko:K05337	bamy:V529_23890
ko:K00058	bamy:V529_23910
ko:K03088	bamy:V529_23930
ko:K07651	bamy:V529_23940
ko:K07775	bamy:V529_23950
ko:K01778	bamy:V529_31900
ko:K03317	bamy:V529_31910
ko:K03885	bamy:V529_31930
ko:K00872	bamy:V529_31970
ko:K01733	bamy:V529_31980
ko:K00003	bamy:V529_31990
ko:K03644	bamy:V529_32050
ko:K07090	bamy:V529_32090
ko:K01466	bamy:V529_32120
ko:K09684	bamy:V529_32130
ko:K08153	bamy:V529_32180
ko:K02083	bamy:V529_32200
ko:K10112	bamy:V529_32220
ko:K10711	bamy:V529_32230
ko:K10710	bamy:V529_32240
ko:K10119	bamy:V529_32250
ko:K10118	bamy:V529_32260
ko:K10117	bamy:V529_32270
ko:K10708	bamy:V529_32280
ko:K00285	bamy:V529_32310
ko:K09014	bamy:V529_32350
ko:K04488	bamy:V529_32360
ko:K11717	bamy:V529_32370
ko:K09015	bamy:V529_32380
ko:K09013	bamy:V529_32390
ko:K02073	bamy:V529_32420
ko:K03501	bamy:V529_40730
ko:K03495	bamy:V529_40740
ko:K03650	bamy:V529_40750
ko:K06346	bamy:V529_40760
ko:K03217	bamy:V529_40770
ko:K03536	bamy:V529_40780
ko:K07284	bamy:V529_08810
ko:K06180	bamy:V529_08820
ko:K02443	bamy:V529_08880
ko:K02440	bamy:V529_08890
ko:K00864	bamy:V529_08900
ko:K00111	bamy:V529_08910
ko:K01835	bamy:V529_08920
ko:K02480	bamy:V529_08930
ko:K03206	bamy:V529_08950
ko:K13771	bamy:V529_08990
ko:K01077	bamy:V529_09020
ko:K01647	bamy:V529_09050
ko:K03294	bamy:V529_09070
ko:K03308	bamy:V529_09080
ko:K03088	bamy:V529_09110
ko:K00655	bamy:V529_09120
ko:K11358	bamy:V529_09150
ko:K00646	bamy:V529_09160
ko:K06199	bamy:V529_09180
ko:K06199	bamy:V529_09190
ko:K01126	bamy:V529_09200
ko:K16052	bamy:V529_09230
ko:K12410	bamy:V529_09240
ko:K00824	bamy:V529_09260
ko:K01012	bamy:V529_17950
ko:K01935	bamy:V529_17960
ko:K00652	bamy:V529_17970
ko:K00963	bamy:V529_18010
ko:K01640	bamy:V529_18050
ko:K02160	bamy:V529_18060
ko:K01961	bamy:V529_18070
ko:K00666	bamy:V529_18080
ko:K07259	bamy:V529_18170
ko:K00969	bamy:V529_26690
ko:K07574	bamy:V529_26700
ko:K00014	bamy:V529_26710
ko:K06948	bamy:V529_26720
ko:K07015	bamy:V529_26730
ko:K06371	bamy:V529_26740
ko:K03091	bamy:V529_26820
ko:K01779	bamy:V529_26840
ko:K13256	bamy:V529_26880
ko:K07148	bamy:V529_26910
ko:K01809	bamy:V529_27020
ko:K02768	bamy:V529_27030
ko:K02769	bamy:V529_27030
ko:K02770	bamy:V529_27030
ko:K03976	bamy:V529_27060
ko:K08224	bamy:V529_27080
ko:K06351	bamy:V529_03930
ko:K06350	bamy:V529_03940
ko:K03817	bamy:V529_04060
ko:K03719	bamy:V529_04100
ko:K00158	bamy:V529_04190
ko:K03322	bamy:V529_04270
ko:K07217	bamy:V529_04380
ko:K11692	bamy:V529_04410
ko:K11103	bamy:V529_04420
ko:K01990	bamy:V529_04440
ko:K16203	bamy:V529_12250
ko:K16200	bamy:V529_12260
ko:K16201	bamy:V529_12270
ko:K16202	bamy:V529_12280
ko:K16199	bamy:V529_12290
ko:K01297	bamy:V529_12300
ko:K07404	bamy:V529_12340
ko:K01433	bamy:V529_12400
ko:K00931	bamy:V529_12410
ko:K00147	bamy:V529_12420
ko:K05820	bamy:V529_12510
ko:K00549	bamy:V529_12530
ko:K13275	bamy:V529_12540
ko:K17763	bamy:V529_12550
ko:K16785	bamy:V529_12560
ko:K16786	bamy:V529_12570
ko:K16787	bamy:V529_12570
ko:K16925	bamy:V529_12580
ko:K06213	bamy:V529_12620
ko:K15973	bamy:V529_12660
ko:K10979	bamy:V529_12690
ko:K03093	bamy:V529_12720
ko:K06421	bamy:V529_12740
ko:K06198	bamy:V529_21220
ko:K03530	bamy:V529_21250
ko:K03733	bamy:V529_21470
ko:K01843	bamy:V529_21750
ko:K01438	bamy:V529_21770
ko:K01975	bamy:V529_29900
ko:K01738	bamy:V529_29910
ko:K01439	bamy:V529_29920
ko:K06901	bamy:V529_29930
ko:K01992	bamy:V529_29940
ko:K01990	bamy:V529_29950
ko:K06183	bamy:V529_29970
ko:K07007	bamy:V529_30000
ko:K05020	bamy:V529_30010
ko:K02529	bamy:V529_30030
ko:K10117	bamy:V529_30040
ko:K10118	bamy:V529_30050
ko:K10119	bamy:V529_30060
ko:K07406	bamy:V529_30070
ko:K01869	bamy:V529_30100
ko:K11632	bamy:V529_30160
ko:K11631	bamy:V529_30170
ko:K11629	bamy:V529_30180
ko:K11630	bamy:V529_30190
ko:K16918	bamy:V529_30200
ko:K16920	bamy:V529_30210
ko:K16919	bamy:V529_30220
ko:K16919	bamy:V529_30230
ko:K16919	bamy:V529_30240
ko:K07979	bamy:V529_30260
ko:K07139	bamy:V529_30290
ko:K16188	bamy:V529_30320
ko:K01048	bamy:V529_30330
ko:K01953	bamy:V529_30360
ko:K00789	bamy:V529_30370
ko:K01610	bamy:V529_30380
ko:K02051	bamy:V529_30410
ko:K02049	bamy:V529_30420
ko:K02050	bamy:V529_30430
ko:K02759	bamy:V529_38490
ko:K02761	bamy:V529_38500
ko:K02760	bamy:V529_38510
ko:K03491	bamy:V529_38520
ko:K03652	bamy:V529_38540
ko:K02015	bamy:V529_38550
ko:K02015	bamy:V529_38560
ko:K02016	bamy:V529_38570
ko:K03893	bamy:V529_38590
ko:K02760	bamy:V529_38600
ko:K02759	bamy:V529_38610
ko:K02761	bamy:V529_38620
ko:K01223	bamy:V529_38630
ko:K00847	bamy:V529_38640
ko:K01809	bamy:V529_38650
ko:K01218	bamy:V529_38660
ko:K03781	bamy:V529_38670
ko:K01442	bamy:V529_38680
ko:K03457	bamy:V529_38700
ko:K17758	bamy:V529_38710
ko:K16012	bamy:V529_38720
ko:K16013	bamy:V529_38730
ko:K00426	bamy:V529_38740
ko:K00425	bamy:V529_38750
ko:K10112	bamy:V529_38780
ko:K01784	bamy:V529_38820
ko:K01258	bamy:V529_38830
ko:K00549	bamy:V529_38870
ko:K00563	bamy:V529_38880
ko:K16323	bamy:V529_38890
ko:K03781	bamy:V529_38930
ko:K03300	bamy:V529_38940
ko:K03488	bamy:V529_38960
ko:K06902	bamy:V529_38970
ko:K14338	bamy:V529_27090
ko:K00123	bamy:V529_27160
ko:K17217	bamy:V529_27190
ko:K17216	bamy:V529_27200
ko:K01243	bamy:V529_27210
ko:K17462	bamy:V529_27220
ko:K02423	bamy:V529_35160
ko:K02422	bamy:V529_35170
ko:K02407	bamy:V529_35180
ko:K02406	bamy:V529_35190
ko:K03563	bamy:V529_35200
ko:K13626	bamy:V529_35210
ko:K02397	bamy:V529_35230
ko:K02396	bamy:V529_35240
ko:K02398	bamy:V529_35260
ko:K02242	bamy:V529_35280
ko:K02241	bamy:V529_35290
ko:K02240	bamy:V529_35300
ko:K07692	bamy:V529_35320
ko:K07777	bamy:V529_35330
ko:K02851	bamy:V529_35360
ko:K16698	bamy:V529_35380
ko:K16705	bamy:V529_35400
ko:K00012	bamy:V529_35410
ko:K16697	bamy:V529_35420
ko:K16694	bamy:V529_35430
ko:K01448	bamy:V529_35450
ko:K01791	bamy:V529_35490
ko:K00963	bamy:V529_35500
ko:K09693	bamy:V529_35510
ko:K05946	bamy:V529_35560
ko:K01809	bamy:V529_35590
ko:K02313	bamy:V529_00010
ko:K02338	bamy:V529_00020
ko:K03629	bamy:V529_00040
ko:K02470	bamy:V529_00060
ko:K02469	bamy:V529_00070
ko:K00088	bamy:V529_00090
ko:K07258	bamy:V529_00100
ko:K06215	bamy:V529_00110
ko:K08681	bamy:V529_00120
ko:K01875	bamy:V529_00130
ko:K00865	bamy:V529_00140
ko:K15519	bamy:V529_00150
ko:K15518	bamy:V529_00160
ko:K18707	bamy:V529_26470
ko:K01977	bamy:V529_r00010
ko:K01921	bamy:V529_04520
ko:K01929	bamy:V529_04530
ko:K05592	bamy:V529_04540
ko:K09167	bamy:V529_04550
ko:K08981	bamy:V529_04560
ko:K00997	bamy:V529_04580
ko:K01775	bamy:V529_04600
ko:K07723	bamy:V529_04610
ko:K17763	bamy:V529_04630
ko:K17762	bamy:V529_04640
ko:K17752	bamy:V529_04650
ko:K07315	bamy:V529_04660
ko:K04749	bamy:V529_04670
ko:K04757	bamy:V529_04680
ko:K03090	bamy:V529_04690
ko:K05518	bamy:V529_04700
ko:K06959	bamy:V529_04710
ko:K03095	bamy:V529_04730
ko:K03762	bamy:V529_04800
ko:K07118	bamy:V529_04860
ko:K10255	bamy:V529_04870
ko:K03704	bamy:V529_04890
ko:K07736	bamy:V529_04900
ko:K01779	bamy:V529_04910
ko:K16264	bamy:V529_05000
ko:K07222	bamy:V529_05010
ko:K03799	bamy:V529_12770
ko:K13533	bamy:V529_12820
ko:K00567	bamy:V529_12830
ko:K08963	bamy:V529_12850
ko:K00899	bamy:V529_12860
ko:K08969	bamy:V529_12880
ko:K08965	bamy:V529_12890
ko:K08966	bamy:V529_12900
ko:K08964	bamy:V529_12910
ko:K08967	bamy:V529_12920
ko:K13532	bamy:V529_12960
ko:K15973	bamy:V529_12970
ko:K02557	bamy:V529_12980
ko:K02556	bamy:V529_12990
ko:K03697	bamy:V529_13000
ko:K06920	bamy:V529_13040
ko:K01737	bamy:V529_13050
ko:K10026	bamy:V529_13060
ko:K09457	bamy:V529_13070
ko:K01449	bamy:V529_13140
ko:K01534	bamy:V529_13170
ko:K03480	bamy:V529_13220
ko:K11189	bamy:V529_13240
ko:K08483	bamy:V529_13250
ko:K06315	bamy:V529_13260
ko:K03716	bamy:V529_13270
ko:K03406	bamy:V529_13280
ko:K02491	bamy:V529_13320
ko:K00841	bamy:V529_13330
ko:K01034	bamy:V529_21790
ko:K06322	bamy:V529_21840
ko:K06319	bamy:V529_21860
ko:K01083	bamy:V529_21880
ko:K07305	bamy:V529_21900
ko:K07304	bamy:V529_21910
ko:K07152	bamy:V529_21950
ko:K01754	bamy:V529_21970
ko:K11068	bamy:V529_21990
ko:K00655	bamy:V529_22000
ko:K01687	bamy:V529_22060
ko:K06950	bamy:V529_22080
ko:K00432	bamy:V529_22090
ko:K00651	bamy:V529_22100
ko:K03704	bamy:V529_22120
ko:K03469	bamy:V529_22160
ko:K09125	bamy:V529_22170
ko:K03469	bamy:V529_22180
ko:K06429	bamy:V529_22190
ko:K16168	bamy:V529_22250
ko:K16167	bamy:V529_22260
ko:K07443	bamy:V529_22280
ko:K04047	bamy:V529_30460
ko:K07173	bamy:V529_30490
ko:K08998	bamy:V529_30500
ko:K01673	bamy:V529_30510
ko:K02909	bamy:V529_30520
ko:K00425	bamy:V529_30530
ko:K00426	bamy:V529_30540
ko:K02549	bamy:V529_30560
ko:K01911	bamy:V529_30570
ko:K01661	bamy:V529_30580
ko:K08680	bamy:V529_30590
ko:K02551	bamy:V529_30600
ko:K02552	bamy:V529_30610
ko:K16789	bamy:V529_30650
ko:K07192	bamy:V529_30660
ko:K11440	bamy:V529_30700
ko:K03499	bamy:V529_30740
ko:K05916	bamy:V529_30760
ko:K03574	bamy:V529_39110
ko:K06113	bamy:V529_39120
ko:K09683	bamy:V529_39130
ko:K01745	bamy:V529_39140
ko:K01712	bamy:V529_39150
ko:K01468	bamy:V529_39160
ko:K01479	bamy:V529_39170
ko:K00756	bamy:V529_39190
ko:K01923	bamy:V529_06120
ko:K01952	bamy:V529_06130
ko:K01952	bamy:V529_06140
ko:K01952	bamy:V529_06150
ko:K00764	bamy:V529_06160
ko:K01933	bamy:V529_06170
ko:K11175	bamy:V529_06180
ko:K00602	bamy:V529_06190
ko:K01945	bamy:V529_06200
ko:K01486	bamy:V529_06220
ko:K07094	bamy:V529_06260
ko:K03657	bamy:V529_06270
ko:K01972	bamy:V529_06280
ko:K07507	bamy:V529_06310
ko:K03307	bamy:V529_06320
ko:K02435	bamy:V529_06330
ko:K02433	bamy:V529_06340
ko:K02434	bamy:V529_06350
ko:K03215	bamy:V529_06390
ko:K15312	bamy:V529_06440
ko:K15313	bamy:V529_06450
ko:K15337	bamy:V529_06460
ko:K01990	bamy:V529_06490
ko:K01992	bamy:V529_06510
ko:K15329	bamy:V529_06640
ko:K15311	bamy:V529_06650
ko:K09777	bamy:V529_15070
ko:K00942	bamy:V529_15080
ko:K03060	bamy:V529_15090
ko:K13038	bamy:V529_15100
ko:K04066	bamy:V529_15110
ko:K01462	bamy:V529_15120
ko:K00604	bamy:V529_15130
ko:K03500	bamy:V529_15140
ko:K06941	bamy:V529_15150
ko:K06949	bamy:V529_15180
ko:K01783	bamy:V529_15190
ko:K00949	bamy:V529_15200
ko:K06414	bamy:V529_15210
ko:K02902	bamy:V529_15220
ko:K07030	bamy:V529_15240
ko:K01752	bamy:V529_15250
ko:K01752	bamy:V529_15260
ko:K03655	bamy:V529_15270
ko:K03621	bamy:V529_15290
ko:K00645	bamy:V529_15300
ko:K00059	bamy:V529_15310
ko:K02078	bamy:V529_15320
ko:K03685	bamy:V529_15330
ko:K03529	bamy:V529_15340
ko:K03110	bamy:V529_15350
ko:K09787	bamy:V529_15370
ko:K03106	bamy:V529_15380
ko:K02959	bamy:V529_15390
ko:K06960	bamy:V529_15400
ko:K02860	bamy:V529_15420
ko:K00554	bamy:V529_15430
ko:K02884	bamy:V529_15440
ko:K14540	bamy:V529_15450
ko:K03470	bamy:V529_15460
ko:K04061	bamy:V529_15480
ko:K01903	bamy:V529_15490
ko:K01902	bamy:V529_15500
ko:K04096	bamy:V529_15510
ko:K03168	bamy:V529_15520
ko:K04094	bamy:V529_15530
ko:K03733	bamy:V529_15540
ko:K01419	bamy:V529_15550
ko:K03667	bamy:V529_15560
ko:K03706	bamy:V529_15570
ko:K02387	bamy:V529_15580
ko:K02388	bamy:V529_15590
ko:K02408	bamy:V529_15600
ko:K02409	bamy:V529_15610
ko:K02410	bamy:V529_15620
ko:K07399	bamy:V529_23970
ko:K06178	bamy:V529_23990
ko:K06374	bamy:V529_24000
ko:K06373	bamy:V529_24010
ko:K06024	bamy:V529_24040
ko:K05896	bamy:V529_24050
ko:K09763	bamy:V529_24070
ko:K02859	bamy:V529_24080
ko:K00794	bamy:V529_24090
ko:K14652	bamy:V529_24100
ko:K00793	bamy:V529_24110
ko:K11752	bamy:V529_24120
ko:K03100	bamy:V529_24140
ko:K03768	bamy:V529_24160
ko:K01586	bamy:V529_24180
ko:K06408	bamy:V529_24190
ko:K06407	bamy:V529_24200
ko:K06407	bamy:V529_24210
ko:K06406	bamy:V529_24220
ko:K06405	bamy:V529_24230
ko:K06404	bamy:V529_24240
ko:K06403	bamy:V529_24250
ko:K03091	bamy:V529_24260
ko:K06379	bamy:V529_24270
ko:K07258	bamy:V529_24290
ko:K03783	bamy:V529_24300
ko:K01839	bamy:V529_24310
ko:K04763	bamy:V529_24320
ko:K03711	bamy:V529_24340
ko:K06384	bamy:V529_24350
ko:K00027	bamy:V529_24380
ko:K03315	bamy:V529_24390
ko:K01744	bamy:V529_24400
ko:K01424	bamy:V529_24410
ko:K01515	bamy:V529_24440
ko:K06889	bamy:V529_24480
ko:K02072	bamy:V529_32430
ko:K02071	bamy:V529_32440
ko:K07476	bamy:V529_32470
ko:K02437	bamy:V529_32490
ko:K00537	bamy:V529_32500
ko:K07516	bamy:V529_32530
ko:K00318	bamy:V529_32550
ko:K01574	bamy:V529_32620
ko:K00077	bamy:V529_32630
ko:K02013	bamy:V529_32650
ko:K04047	bamy:V529_32690
ko:K07770	bamy:V529_32720
ko:K07650	bamy:V529_32730
ko:K01679	bamy:V529_32760
ko:K06290	bamy:V529_32800
ko:K11618	bamy:V529_32810
ko:K11617	bamy:V529_32820
ko:K11622	bamy:V529_32830
ko:K11621	bamy:V529_32840
ko:K11619	bamy:V529_32860
ko:K02013	bamy:V529_32890
ko:K02015	bamy:V529_32900
ko:K02016	bamy:V529_32910
ko:K02982	bamy:V529_01250
ko:K02878	bamy:V529_01260
ko:K02904	bamy:V529_01270
ko:K02961	bamy:V529_01280
ko:K02874	bamy:V529_01290
ko:K02895	bamy:V529_01300
ko:K02931	bamy:V529_01310
ko:K02954	bamy:V529_01320
ko:K02994	bamy:V529_01330
ko:K02933	bamy:V529_01340
ko:K02881	bamy:V529_01350
ko:K02988	bamy:V529_01360
ko:K02907	bamy:V529_01370
ko:K02876	bamy:V529_01380
ko:K03076	bamy:V529_01390
ko:K00939	bamy:V529_01400
ko:K01265	bamy:V529_01410
ko:K02518	bamy:V529_01420
ko:K02919	bamy:V529_01430
ko:K02952	bamy:V529_01440
ko:K02948	bamy:V529_01450
ko:K03040	bamy:V529_01460
ko:K02879	bamy:V529_01470
ko:K16786	bamy:V529_01480
ko:K16787	bamy:V529_01490
ko:K16785	bamy:V529_01500
ko:K06173	bamy:V529_01510
ko:K02871	bamy:V529_01520
ko:K02996	bamy:V529_01530
ko:K01448	bamy:V529_01570
ko:K03593	bamy:V529_01580
ko:K06294	bamy:V529_01590
ko:K06349	bamy:V529_01600
ko:K08174	bamy:V529_01630
ko:K01092	bamy:V529_01650
ko:K03897	bamy:V529_09450
ko:K03455	bamy:V529_09460
ko:K07228	bamy:V529_09470
ko:K01990	bamy:V529_09510
ko:K01992	bamy:V529_09520
ko:K03698	bamy:V529_09550
ko:K07533	bamy:V529_09570
ko:K09682	bamy:V529_09630
ko:K00831	bamy:V529_09670
ko:K02503	bamy:V529_09680
ko:K01990	bamy:V529_09690
ko:K01992	bamy:V529_09700
ko:K01599	bamy:V529_09760
ko:K01772	bamy:V529_09770
ko:K00231	bamy:V529_09780
ko:K01421	bamy:V529_09800
ko:K00648	bamy:V529_09810
ko:K11102	bamy:V529_09840
ko:K03800	bamy:V529_09870
ko:K01897	bamy:V529_09890
ko:K02016	bamy:V529_09930
ko:K00681	bamy:V529_18830
ko:K13955	bamy:V529_18880
ko:K00266	bamy:V529_18900
ko:K00265	bamy:V529_18910
ko:K00931	bamy:V529_18930
ko:K00286	bamy:V529_18940
ko:K00059	bamy:V529_18960
ko:K11216	bamy:V529_19000
ko:K00058	bamy:V529_19010
ko:K03624	bamy:V529_27260
ko:K00876	bamy:V529_27270
ko:K08303	bamy:V529_27280
ko:K08303	bamy:V529_27290
ko:K07082	bamy:V529_27310
ko:K07447	bamy:V529_27330
ko:K01872	bamy:V529_27350
ko:K10041	bamy:V529_27370
ko:K10039	bamy:V529_27380
ko:K10040	bamy:V529_27390
ko:K10040	bamy:V529_27400
ko:K03581	bamy:V529_27440
ko:K00566	bamy:V529_27460
ko:K04487	bamy:V529_27470
ko:K17472	bamy:V529_27480
ko:K07478	bamy:V529_27490
ko:K01876	bamy:V529_27510
ko:K01892	bamy:V529_27520
ko:K01448	bamy:V529_27550
ko:K07560	bamy:V529_27560
ko:K00951	bamy:V529_27570
ko:K00759	bamy:V529_27580
ko:K07462	bamy:V529_27590
ko:K07228	bamy:V529_27610
ko:K12257	bamy:V529_27630
ko:K06409	bamy:V529_27650
ko:K03210	bamy:V529_27680
ko:K00773	bamy:V529_27690
ko:K07568	bamy:V529_27700
ko:K03551	bamy:V529_27710
ko:K03550	bamy:V529_27720
ko:K06318	bamy:V529_27730
ko:K07282	bamy:V529_35710
ko:K06295	bamy:V529_35740
ko:K02529	bamy:V529_35770
ko:K00852	bamy:V529_35780
ko:K06726	bamy:V529_35790
ko:K10441	bamy:V529_35800
ko:K10440	bamy:V529_35810
ko:K10439	bamy:V529_35820
ko:K01575	bamy:V529_35850
ko:K01652	bamy:V529_35860
ko:K03893	bamy:V529_35880
ko:K06325	bamy:V529_35900
ko:K06330	bamy:V529_35910
ko:K00681	bamy:V529_35950
ko:K07240	bamy:V529_35970
ko:K07240	bamy:V529_35980
ko:K05982	bamy:V529_36020
ko:K00012	bamy:V529_36090
ko:K01104	bamy:V529_36110
ko:K03282	bamy:V529_36220
ko:K02372	bamy:V529_36230
ko:K02392	bamy:V529_36250
ko:K02392	bamy:V529_36260
ko:K11535	bamy:V529_39200
ko:K01619	bamy:V529_39210
ko:K05346	bamy:V529_39220
ko:K02016	bamy:V529_39300
ko:K11636	bamy:V529_39320
ko:K11635	bamy:V529_39330
ko:K06606	bamy:V529_39370
ko:K06605	bamy:V529_39380
ko:K00010	bamy:V529_39390
ko:K06610	bamy:V529_39400
ko:K03335	bamy:V529_39410
ko:K03336	bamy:V529_39420
ko:K03338	bamy:V529_39430
ko:K03337	bamy:V529_39440
ko:K00140	bamy:V529_39450
ko:K06608	bamy:V529_39460
ko:K04079	bamy:V529_39490
ko:K07693	bamy:V529_39520
ko:K07778	bamy:V529_39530
ko:K10255	bamy:V529_39540
ko:K00128	bamy:V529_39560
ko:K06306	bamy:V529_00170
ko:K11991	bamy:V529_00190
ko:K02343	bamy:V529_00200
ko:K09747	bamy:V529_00210
ko:K06187	bamy:V529_00220
ko:K06317	bamy:V529_00240
ko:K00943	bamy:V529_00290
ko:K09770	bamy:V529_00310
ko:K02341	bamy:V529_00320
ko:K07461	bamy:V529_00360
ko:K07056	bamy:V529_00370
ko:K06284	bamy:V529_00380
ko:K01874	bamy:V529_00390
ko:K03424	bamy:V529_00400
ko:K05985	bamy:V529_00420
