ko:K18929	cjx:BN867_00670
ko:K02067	cjx:BN867_16170
ko:K01265	cjx:BN867_16200
ko:K01776	cjx:BN867_16210
ko:K03313	cjx:BN867_16230
ko:K03313	cjx:BN867_16240
ko:K07243	cjx:BN867_16270
ko:K07230	cjx:BN867_16280
ko:K02004	cjx:BN867_16300
ko:K02004	cjx:BN867_16310
ko:K07552	cjx:BN867_00340
ko:K06207	cjx:BN867_00380
ko:K02389	cjx:BN867_00410
ko:K02390	cjx:BN867_00420
ko:K03319	cjx:BN867_00460
ko:K03319	cjx:BN867_00480
ko:K00566	cjx:BN867_00490
ko:K06966	cjx:BN867_00500
ko:K02417	cjx:BN867_00510
ko:K02416	cjx:BN867_00520
ko:K02405	cjx:BN867_00530
ko:K04562	cjx:BN867_00550
ko:K02404	cjx:BN867_00560
ko:K00950	cjx:BN867_00570
ko:K03786	cjx:BN867_00580
ko:K04773	cjx:BN867_00600
ko:K00782	cjx:BN867_00660
ko:K03303	cjx:BN867_00690
ko:K00425	cjx:BN867_00740
ko:K00426	cjx:BN867_00750
ko:K01779	cjx:BN867_00760
ko:K03648	cjx:BN867_00770
ko:K01744	cjx:BN867_00780
ko:K07791	cjx:BN867_00790
ko:K09859	cjx:BN867_00800
ko:K07337	cjx:BN867_00820
ko:K02888	cjx:BN867_00850
ko:K02899	cjx:BN867_00860
ko:K01491	cjx:BN867_08510
ko:K03100	cjx:BN867_08520
ko:K03750	cjx:BN867_08530
ko:K00790	cjx:BN867_08540
ko:K01664	cjx:BN867_08570
ko:K03342	cjx:BN867_08580
ko:K04763	cjx:BN867_08590
ko:K03673	cjx:BN867_08600
ko:K03611	cjx:BN867_08610
ko:K03673	cjx:BN867_08630
ko:K02400	cjx:BN867_08690
ko:K02956	cjx:BN867_08710
ko:K03466	cjx:BN867_08720
ko:K02397	cjx:BN867_08730
ko:K15738	cjx:BN867_08740
ko:K00058	cjx:BN867_08770
ko:K02945	cjx:BN867_08790
ko:K03527	cjx:BN867_08800
ko:K00800	cjx:BN867_08810
ko:K01890	cjx:BN867_08820
ko:K01889	cjx:BN867_08830
ko:K02503	cjx:BN867_08840
ko:K03152	cjx:BN867_08850
ko:K02029	cjx:BN867_08870
ko:K02028	cjx:BN867_08880
ko:K03310	cjx:BN867_08890
ko:K03216	cjx:BN867_08900
ko:K01775	cjx:BN867_08910
ko:K07152	cjx:BN867_08970
ko:K02003	cjx:BN867_16320
ko:K01689	cjx:BN867_16400
ko:K02420	cjx:BN867_16430
ko:K00075	cjx:BN867_16440
ko:K01082	cjx:BN867_16460
ko:K01647	cjx:BN867_16470
ko:K01012	cjx:BN867_16490
ko:K03168	cjx:BN867_16500
ko:K10112	cjx:BN867_16520
ko:K02025	cjx:BN867_16530
ko:K01091	cjx:BN867_16580
ko:K03076	cjx:BN867_16600
ko:K02876	cjx:BN867_16610
ko:K02988	cjx:BN867_16620
ko:K02881	cjx:BN867_16630
ko:K02933	cjx:BN867_16640
ko:K02994	cjx:BN867_16650
ko:K02954	cjx:BN867_16660
ko:K02931	cjx:BN867_16670
ko:K02895	cjx:BN867_16680
ko:K02874	cjx:BN867_16690
ko:K02961	cjx:BN867_16700
ko:K02904	cjx:BN867_16710
ko:K02878	cjx:BN867_16720
ko:K02982	cjx:BN867_16730
ko:K02890	cjx:BN867_16740
ko:K02965	cjx:BN867_16750
ko:K02886	cjx:BN867_16760
ko:K02892	cjx:BN867_16770
ko:K02926	cjx:BN867_16780
ko:K02906	cjx:BN867_16790
ko:K02946	cjx:BN867_16800
ko:K06178	cjx:BN867_16810
ko:K03979	cjx:BN867_00870
ko:K00931	cjx:BN867_00880
ko:K00604	cjx:BN867_00890
ko:K03524	cjx:BN867_00900
ko:K02109	cjx:BN867_00930
ko:K02109	cjx:BN867_00940
ko:K02113	cjx:BN867_00950
ko:K02111	cjx:BN867_00960
ko:K02115	cjx:BN867_00970
ko:K02112	cjx:BN867_00980
ko:K02114	cjx:BN867_00990
ko:K03559	cjx:BN867_01010
ko:K03832	cjx:BN867_01020
ko:K03641	cjx:BN867_01030
ko:K03640	cjx:BN867_01040
ko:K03775	cjx:BN867_01060
ko:K00645	cjx:BN867_01070
ko:K07042	cjx:BN867_01120
ko:K06204	cjx:BN867_01160
ko:K00783	cjx:BN867_01170
ko:K01963	cjx:BN867_01180
ko:K01092	cjx:BN867_01190
ko:K07277	cjx:BN867_01200
ko:K04517	cjx:BN867_01210
ko:K02535	cjx:BN867_01230
ko:K00872	cjx:BN867_01250
ko:K02519	cjx:BN867_01270
ko:K02834	cjx:BN867_01280
ko:K09748	cjx:BN867_01290
ko:K09816	cjx:BN867_01320
ko:K09817	cjx:BN867_01330
ko:K09815	cjx:BN867_01340
ko:K01738	cjx:BN867_08980
ko:K03530	cjx:BN867_08990
ko:K10806	cjx:BN867_09010
ko:K06200	cjx:BN867_09030
ko:K00948	cjx:BN867_09040
ko:K10040	cjx:BN867_09050
ko:K10040	cjx:BN867_09060
ko:K10039	cjx:BN867_09070
ko:K10041	cjx:BN867_09080
ko:K00575	cjx:BN867_09090
ko:K03412	cjx:BN867_09100
ko:K01808	cjx:BN867_09110
ko:K00759	cjx:BN867_09130
ko:K01255	cjx:BN867_09150
ko:K06942	cjx:BN867_09160
ko:K01755	cjx:BN867_09170
ko:K01610	cjx:BN867_09180
ko:K01960	cjx:BN867_09190
ko:K03308	cjx:BN867_09200
ko:K03308	cjx:BN867_09210
ko:K02110	cjx:BN867_09220
ko:K07088	cjx:BN867_09300
ko:K05939	cjx:BN867_09310
ko:K02029	cjx:BN867_09330
ko:K02004	cjx:BN867_09340
ko:K03070	cjx:BN867_09350
ko:K03634	cjx:BN867_09360
ko:K12251	cjx:BN867_09400
ko:K03406	cjx:BN867_09440
ko:K00602	cjx:BN867_09450
ko:K05801	cjx:BN867_09460
ko:K01952	cjx:BN867_09470
ko:K02528	cjx:BN867_16830
ko:K06941	cjx:BN867_16850
ko:K01704	cjx:BN867_16890
ko:K01703	cjx:BN867_16900
ko:K00052	cjx:BN867_16910
ko:K01649	cjx:BN867_16920
ko:K09457	cjx:BN867_16950
ko:K02390	cjx:BN867_16970
ko:K01159	cjx:BN867_16980
ko:K07093	cjx:BN867_01370
ko:K00384	cjx:BN867_01380
ko:K03671	cjx:BN867_01390
ko:K07460	cjx:BN867_01400
ko:K00003	cjx:BN867_01410
ko:K14261	cjx:BN867_01420
ko:K03218	cjx:BN867_01450
ko:K07056	cjx:BN867_01460
ko:K02909	cjx:BN867_01470
ko:K09761	cjx:BN867_01480
ko:K01737	cjx:BN867_01510
ko:K03639	cjx:BN867_01530
ko:K03179	cjx:BN867_01560
ko:K00791	cjx:BN867_01570
ko:K04564	cjx:BN867_01600
ko:K02010	cjx:BN867_01620
ko:K02011	cjx:BN867_01630
ko:K02012	cjx:BN867_01640
ko:K06193	cjx:BN867_01690
ko:K11175	cjx:BN867_01710
ko:K07391	cjx:BN867_01740
ko:K01462	cjx:BN867_01750
ko:K01358	cjx:BN867_01760
ko:K03545	cjx:BN867_01770
ko:K01495	cjx:BN867_01780
ko:K02412	cjx:BN867_01790
ko:K00764	cjx:BN867_01800
ko:K00215	cjx:BN867_01810
ko:K07478	cjx:BN867_01820
ko:K03650	cjx:BN867_09480
ko:K06346	cjx:BN867_09490
ko:K03217	cjx:BN867_09500
ko:K03536	cjx:BN867_09520
ko:K02914	cjx:BN867_09530
ko:K07107	cjx:BN867_09570
ko:K15257	cjx:BN867_09660
ko:K01270	cjx:BN867_09700
ko:K02030	cjx:BN867_09720
ko:K09861	cjx:BN867_09740
ko:K00611	cjx:BN867_09820
ko:K01698	cjx:BN867_09830
ko:K03501	cjx:BN867_09850
ko:K03086	cjx:BN867_09890
ko:K08296	cjx:BN867_09900
ko:K01735	cjx:BN867_09960
ko:K09944	cjx:BN867_09970
ko:K00773	cjx:BN867_09980
ko:K03300	cjx:BN867_01870
ko:K06153	cjx:BN867_01890
ko:K01868	cjx:BN867_01900
ko:K02520	cjx:BN867_01910
ko:K00145	cjx:BN867_01990
ko:K00930	cjx:BN867_02010
ko:K00573	cjx:BN867_02030
ko:K00763	cjx:BN867_02050
ko:K00762	cjx:BN867_02080
ko:K02838	cjx:BN867_02090
ko:K03075	cjx:BN867_02100
ko:K01673	cjx:BN867_02120
ko:K16052	cjx:BN867_02130
ko:K13819	cjx:BN867_02140
ko:K04487	cjx:BN867_02150
ko:K02916	cjx:BN867_02190
ko:K02887	cjx:BN867_02200
ko:K03637	cjx:BN867_02270
ko:K01142	cjx:BN867_02300
ko:K03760	cjx:BN867_02310
ko:K00901	cjx:BN867_02320
ko:K01465	cjx:BN867_02340
ko:K03406	cjx:BN867_02370
ko:K07238	cjx:BN867_02380
ko:K01996	cjx:BN867_10020
ko:K01995	cjx:BN867_10030
ko:K01998	cjx:BN867_10040
ko:K01997	cjx:BN867_10050
ko:K01999	cjx:BN867_10060
ko:K01999	cjx:BN867_10070
ko:K00133	cjx:BN867_10110
ko:K09860	cjx:BN867_10140
ko:K02469	cjx:BN867_10150
ko:K02242	cjx:BN867_10160
ko:K03596	cjx:BN867_10180
ko:K03686	cjx:BN867_10230
ko:K01959	cjx:BN867_10260
ko:K03588	cjx:BN867_10270
ko:K02563	cjx:BN867_10280
ko:K03449	cjx:BN867_10290
ko:K00788	cjx:BN867_10320
ko:K03150	cjx:BN867_10330
ko:K03149	cjx:BN867_10340
ko:K03148	cjx:BN867_10350
ko:K03154	cjx:BN867_10360
ko:K01154	cjx:BN867_10370
ko:K01439	cjx:BN867_10410
ko:K06895	cjx:BN867_10420
ko:K12410	cjx:BN867_10430
ko:K03532	cjx:BN867_02430
ko:K00826	cjx:BN867_02470
ko:K01821	cjx:BN867_02480
ko:K03564	cjx:BN867_02490
ko:K09765	cjx:BN867_02500
ko:K02372	cjx:BN867_02510
ko:K00677	cjx:BN867_02520
ko:K03544	cjx:BN867_02530
ko:K03569	cjx:BN867_02540
ko:K03570	cjx:BN867_02550
ko:K01955	cjx:BN867_02560
ko:K00616	cjx:BN867_02580
ko:K01079	cjx:BN867_02590
ko:K03408	cjx:BN867_02600
ko:K03407	cjx:BN867_02610
ko:K03415	cjx:BN867_02620
ko:K03269	cjx:BN867_02630
ko:K03624	cjx:BN867_02640
ko:K00748	cjx:BN867_02650
ko:K11382	cjx:BN867_02670
ko:K03787	cjx:BN867_02680
ko:K03830	cjx:BN867_02700
ko:K01579	cjx:BN867_02710
ko:K01918	cjx:BN867_02720
ko:K00606	cjx:BN867_02730
ko:K02017	cjx:BN867_02750
ko:K02018	cjx:BN867_02760
ko:K02020	cjx:BN867_02780
ko:K02169	cjx:BN867_02790
ko:K09789	cjx:BN867_02800
ko:K00652	cjx:BN867_02810
ko:K00833	cjx:BN867_02820
ko:K01935	cjx:BN867_02830
ko:K02897	cjx:BN867_02860
ko:K01056	cjx:BN867_02870
ko:K07456	cjx:BN867_10460
ko:K01924	cjx:BN867_10480
ko:K03602	cjx:BN867_10510
ko:K00088	cjx:BN867_10520
ko:K02433	cjx:BN867_10530
ko:K01870	cjx:BN867_10540
ko:K00995	cjx:BN867_10590
ko:K11749	cjx:BN867_10600
ko:K02990	cjx:BN867_10620
ko:K02963	cjx:BN867_10640
ko:K01338	cjx:BN867_10650
ko:K05807	cjx:BN867_10660
ko:K13626	cjx:BN867_10670
ko:K00286	cjx:BN867_10680
ko:K01719	cjx:BN867_10720
ko:K00788	cjx:BN867_10730
ko:K00941	cjx:BN867_10740
ko:K07457	cjx:BN867_10750
ko:K06923	cjx:BN867_10760
ko:K03723	cjx:BN867_10770
ko:K11754	cjx:BN867_10800
ko:K01869	cjx:BN867_10830
ko:K03074	cjx:BN867_10840
ko:K03072	cjx:BN867_10850
ko:K03210	cjx:BN867_10860
ko:K03820	cjx:BN867_10870
ko:K00789	cjx:BN867_10880
ko:K07862	cjx:BN867_10890
ko:K00609	cjx:BN867_10900
ko:K08602	cjx:BN867_10910
ko:K03657	cjx:BN867_10930
ko:K03177	cjx:BN867_10940
ko:K11720	cjx:BN867_02880
ko:K01586	cjx:BN867_02890
ko:K02566	cjx:BN867_02900
ko:K14170	cjx:BN867_02910
ko:K00817	cjx:BN867_02920
ko:K02409	cjx:BN867_02930
ko:K02410	cjx:BN867_02940
ko:K02411	cjx:BN867_02950
ko:K01662	cjx:BN867_02960
ko:K09825	cjx:BN867_02970
ko:K03183	cjx:BN867_02990
ko:K03601	cjx:BN867_03000
ko:K00831	cjx:BN867_03010
ko:K00648	cjx:BN867_03030
ko:K03621	cjx:BN867_03040
ko:K02911	cjx:BN867_03050
ko:K00940	cjx:BN867_03070
ko:K03386	cjx:BN867_03090
ko:K02401	cjx:BN867_03100
ko:K02557	cjx:BN867_03110
ko:K02556	cjx:BN867_03120
ko:K03701	cjx:BN867_03170
ko:K07090	cjx:BN867_03180
ko:K01657	cjx:BN867_03200
ko:K13497	cjx:BN867_03210
ko:K01817	cjx:BN867_03220
ko:K01696	cjx:BN867_03230
ko:K01695	cjx:BN867_03240
ko:K02417	cjx:BN867_03260
ko:K01524	cjx:BN867_03280
ko:K01633	cjx:BN867_03310
ko:K08591	cjx:BN867_03320
ko:K00428	cjx:BN867_03330
ko:K03431	cjx:BN867_03340
ko:K03101	cjx:BN867_03350
ko:K08973	cjx:BN867_03360
ko:K03563	cjx:BN867_10950
ko:K00919	cjx:BN867_10960
ko:K03664	cjx:BN867_10970
ko:K06891	cjx:BN867_10990
ko:K03694	cjx:BN867_11000
ko:K00684	cjx:BN867_11010
ko:K03406	cjx:BN867_11020
ko:K05595	cjx:BN867_11030
ko:K07305	cjx:BN867_11040
ko:K17103	cjx:BN867_11060
ko:K01613	cjx:BN867_11070
ko:K03798	cjx:BN867_11080
ko:K02687	cjx:BN867_11090
ko:K03413	cjx:BN867_11100
ko:K01784	cjx:BN867_11220
ko:K07501	cjx:BN867_11230
ko:K02841	cjx:BN867_11240
ko:K02517	cjx:BN867_11250
ko:K00973	cjx:BN867_11270
ko:K07270	cjx:BN867_11390
ko:K03585	cjx:BN867_03410
ko:K02970	cjx:BN867_03440
ko:K09767	cjx:BN867_03480
ko:K17247	cjx:BN867_03520
ko:K01591	cjx:BN867_03540
ko:K03625	cjx:BN867_03550
ko:K00794	cjx:BN867_03560
ko:K01627	cjx:BN867_03570
ko:K03977	cjx:BN867_03590
ko:K00891	cjx:BN867_03600
ko:K01867	cjx:BN867_03610
ko:K01875	cjx:BN867_03620
ko:K00873	cjx:BN867_03650
ko:K00116	cjx:BN867_03660
ko:K03525	cjx:BN867_03670
ko:K02435	cjx:BN867_03710
ko:K03558	cjx:BN867_03720
ko:K03711	cjx:BN867_03730
ko:K04567	cjx:BN867_03740
ko:K00600	cjx:BN867_03750
ko:K03749	cjx:BN867_03770
ko:K00014	cjx:BN867_03780
ko:K13292	cjx:BN867_03800
ko:K00246	cjx:BN867_03810
ko:K00244	cjx:BN867_03820
ko:K00245	cjx:BN867_03830
ko:K07126	cjx:BN867_03860
ko:K06152	cjx:BN867_03870
ko:K06151	cjx:BN867_03880
ko:K02843	cjx:BN867_11430
ko:K03271	cjx:BN867_11460
ko:K03272	cjx:BN867_11470
ko:K03274	cjx:BN867_11480
ko:K03273	cjx:BN867_11490
ko:K08738	cjx:BN867_11500
ko:K17686	cjx:BN867_11520
ko:K03628	cjx:BN867_11530
ko:K02343	cjx:BN867_11540
ko:K16264	cjx:BN867_11580
ko:K09981	cjx:BN867_11590
ko:K00016	cjx:BN867_11620
ko:K03768	cjx:BN867_11660
ko:K11743	cjx:BN867_11680
ko:K11742	cjx:BN867_11690
ko:K01887	cjx:BN867_11700
ko:K03116	cjx:BN867_11710
ko:K00942	cjx:BN867_11720
ko:K02421	cjx:BN867_11740
ko:K02003	cjx:BN867_11750
ko:K02357	cjx:BN867_11760
ko:K02967	cjx:BN867_11770
ko:K00574	cjx:BN867_11780
ko:K00413	cjx:BN867_11790
ko:K00412	cjx:BN867_11800
ko:K00411	cjx:BN867_11810
ko:K03893	cjx:BN867_11820
ko:K03495	cjx:BN867_11830
ko:K11103	cjx:BN867_11870
ko:K03306	cjx:BN867_11890
ko:K01465	cjx:BN867_11900
ko:K01925	cjx:BN867_04040
ko:K01000	cjx:BN867_04050
ko:K15633	cjx:BN867_04060
ko:K00059	cjx:BN867_04070
ko:K00239	cjx:BN867_04090
ko:K00240	cjx:BN867_04100
ko:K03707	cjx:BN867_04120
ko:K02078	cjx:BN867_04130
ko:K09458	cjx:BN867_04140
ko:K01962	cjx:BN867_04150
ko:K16089	cjx:BN867_04160
ko:K08077	cjx:BN867_04170
ko:K09794	cjx:BN867_04190
ko:K02902	cjx:BN867_04200
ko:K01783	cjx:BN867_04210
ko:K02342	cjx:BN867_04220
ko:K03147	cjx:BN867_04230
ko:K09778	cjx:BN867_04270
ko:K06168	cjx:BN867_04280
ko:K02600	cjx:BN867_04300
ko:K03655	cjx:BN867_04340
ko:K06886	cjx:BN867_04350
ko:K02029	cjx:BN867_04370
ko:K02029	cjx:BN867_04380
ko:K00057	cjx:BN867_11910
ko:K02434	cjx:BN867_11920
ko:K07173	cjx:BN867_11930
ko:K00549	cjx:BN867_11960
ko:K00297	cjx:BN867_11970
ko:K02108	cjx:BN867_11990
ko:K04485	cjx:BN867_12000
ko:K03110	cjx:BN867_12010
ko:K07058	cjx:BN867_12050
ko:K05810	cjx:BN867_12100
ko:K00793	cjx:BN867_12110
ko:K04078	cjx:BN867_12130
ko:K04077	cjx:BN867_12140
ko:K02484	cjx:BN867_12150
ko:K02484	cjx:BN867_12190
ko:K05516	cjx:BN867_12220
ko:K13640	cjx:BN867_12230
ko:K03455	cjx:BN867_12240
ko:K01091	cjx:BN867_12260
ko:K01879	cjx:BN867_12270
ko:K01524	cjx:BN867_12300
ko:K03474	cjx:BN867_12310
ko:K00097	cjx:BN867_12320
ko:K01599	cjx:BN867_12370
ko:K03703	cjx:BN867_12400
ko:K00254	cjx:BN867_08050
ko:K02028	cjx:BN867_04390
ko:K02358	cjx:BN867_04400
ko:K02913	cjx:BN867_04410
ko:K03073	cjx:BN867_04420
ko:K02601	cjx:BN867_04430
ko:K02867	cjx:BN867_04440
ko:K02863	cjx:BN867_04450
ko:K02864	cjx:BN867_04460
ko:K02935	cjx:BN867_04470
ko:K03043	cjx:BN867_04480
ko:K02950	cjx:BN867_04500
ko:K02992	cjx:BN867_04510
ko:K02355	cjx:BN867_04520
ko:K01173	cjx:BN867_04720
ko:K01951	cjx:BN867_12430
ko:K01945	cjx:BN867_12450
ko:K04744	cjx:BN867_12470
ko:K00962	cjx:BN867_12480
ko:K01104	cjx:BN867_12520
ko:K03686	cjx:BN867_12540
ko:K02484	cjx:BN867_12560
ko:K06187	cjx:BN867_12570
ko:K03620	cjx:BN867_12590
ko:K01448	cjx:BN867_12630
ko:K00459	cjx:BN867_12640
ko:K01866	cjx:BN867_12650
ko:K03060	cjx:BN867_12670
ko:K09903	cjx:BN867_12680
ko:K09811	cjx:BN867_12700
ko:K09812	cjx:BN867_12710
ko:K03439	cjx:BN867_12720
ko:K06180	cjx:BN867_12740
ko:K05837	cjx:BN867_12750
ko:K03498	cjx:BN867_12760
ko:K03499	cjx:BN867_12770
ko:K00761	cjx:BN867_12790
ko:K00029	cjx:BN867_12800
ko:K01885	cjx:BN867_12810
ko:K01961	cjx:BN867_12830
ko:K02160	cjx:BN867_12840
ko:K01494	cjx:BN867_12850
ko:K15894	cjx:BN867_12860
ko:K15895	cjx:BN867_12870
ko:K06940	cjx:BN867_05060
ko:K01609	cjx:BN867_05080
ko:K06917	cjx:BN867_05100
ko:K01772	cjx:BN867_05160
ko:K13017	cjx:BN867_05180
ko:K01872	cjx:BN867_05190
ko:K06287	cjx:BN867_05200
ko:K03695	cjx:BN867_05220
ko:K03797	cjx:BN867_05240
ko:K01923	cjx:BN867_05250
ko:K01952	cjx:BN867_05260
ko:K01952	cjx:BN867_05270
ko:K00655	cjx:BN867_05290
ko:K06199	cjx:BN867_05300
ko:K04079	cjx:BN867_05310
ko:K03324	cjx:BN867_05340
ko:K03587	cjx:BN867_05350
ko:K02408	cjx:BN867_05360
ko:K02388	cjx:BN867_05370
ko:K02387	cjx:BN867_05380
ko:K07082	cjx:BN867_05390
ko:K00031	cjx:BN867_05410
ko:K00024	cjx:BN867_05420
ko:K01903	cjx:BN867_05430
ko:K01902	cjx:BN867_05440
ko:K00176	cjx:BN867_05450
ko:K00174	cjx:BN867_05460
ko:K00175	cjx:BN867_05470
ko:K00648	cjx:BN867_12930
ko:K15896	cjx:BN867_13020
ko:K02500	cjx:BN867_13030
ko:K02501	cjx:BN867_13040
ko:K15898	cjx:BN867_13060
ko:K02406	cjx:BN867_13220
ko:K02406	cjx:BN867_13230
ko:K02456	cjx:BN867_13270
ko:K01409	cjx:BN867_13280
ko:K00099	cjx:BN867_13300
ko:K00981	cjx:BN867_13310
ko:K03752	cjx:BN867_13340
ko:K01058	cjx:BN867_13350
ko:K02015	cjx:BN867_13360
ko:K00177	cjx:BN867_05480
ko:K02523	cjx:BN867_05510
ko:K02492	cjx:BN867_05520
ko:K01881	cjx:BN867_05530
ko:K01649	cjx:BN867_05540
ko:K01749	cjx:BN867_05550
ko:K03182	cjx:BN867_05560
ko:K06603	cjx:BN867_05570
ko:K02407	cjx:BN867_05580
ko:K02422	cjx:BN867_05590
ko:K02356	cjx:BN867_05610
ko:K00147	cjx:BN867_05680
ko:K00384	cjx:BN867_05690
ko:K14652	cjx:BN867_05810
ko:K09117	cjx:BN867_05820
ko:K01652	cjx:BN867_05830
ko:K01653	cjx:BN867_05840
ko:K02536	cjx:BN867_05850
ko:K07568	cjx:BN867_05860
ko:K03118	cjx:BN867_05870
ko:K03117	cjx:BN867_05880
ko:K08311	cjx:BN867_05900
ko:K00928	cjx:BN867_05910
ko:K02341	cjx:BN867_05930
ko:K00796	cjx:BN867_05940
ko:K01972	cjx:BN867_05950
ko:K06442	cjx:BN867_05970
ko:K11753	cjx:BN867_05980
ko:K02015	cjx:BN867_13370
ko:K02013	cjx:BN867_13380
ko:K02016	cjx:BN867_13390
ko:K03385	cjx:BN867_13430
ko:K15876	cjx:BN867_13440
ko:K00937	cjx:BN867_13450
ko:K03407	cjx:BN867_13470
ko:K03551	cjx:BN867_13480
ko:K01679	cjx:BN867_13500
ko:K00820	cjx:BN867_13510
ko:K00990	cjx:BN867_13520
ko:K06901	cjx:BN867_13540
ko:K00769	cjx:BN867_13550
ko:K04754	cjx:BN867_13560
ko:K07323	cjx:BN867_13570
ko:K02428	cjx:BN867_13590
ko:K01042	cjx:BN867_13620
ko:K03833	cjx:BN867_13630
ko:K03981	cjx:BN867_13640
ko:K03839	cjx:BN867_13660
ko:K03781	cjx:BN867_13690
ko:K03326	cjx:BN867_13730
ko:K01760	cjx:BN867_13740
ko:K01756	cjx:BN867_13750
ko:K04758	cjx:BN867_13770
ko:K04759	cjx:BN867_13780
ko:K00208	cjx:BN867_13800
ko:K01803	cjx:BN867_13810
ko:K00927	cjx:BN867_13820
ko:K00134	cjx:BN867_13830
ko:K00969	cjx:BN867_13840
ko:K09710	cjx:BN867_13850
ko:K15778	cjx:BN867_13870
ko:K15256	cjx:BN867_05990
ko:K01173	cjx:BN867_06030
ko:K10773	cjx:BN867_06040
ko:K01624	cjx:BN867_06060
ko:K02557	cjx:BN867_06080
ko:K03308	cjx:BN867_06100
ko:K04084	cjx:BN867_06120
ko:K13888	cjx:BN867_06150
ko:K05685	cjx:BN867_06160
ko:K09795	cjx:BN867_06190
ko:K02217	cjx:BN867_06210
ko:K02040	cjx:BN867_06220
ko:K02037	cjx:BN867_06230
ko:K02038	cjx:BN867_06240
ko:K02036	cjx:BN867_06250
ko:K07043	cjx:BN867_06280
ko:K04656	cjx:BN867_06300
ko:K04652	cjx:BN867_06310
ko:K04653	cjx:BN867_06320
ko:K04654	cjx:BN867_06330
ko:K04655	cjx:BN867_06340
ko:K04651	cjx:BN867_06350
ko:K02340	cjx:BN867_06360
ko:K12573	cjx:BN867_06370
ko:K00053	cjx:BN867_06380
