ko:K03429	btb:BMB171_C0436
ko:K02040	btb:BMB171_C0627
ko:K02037	btb:BMB171_C0628
ko:K02038	btb:BMB171_C0629
ko:K01546	btb:BMB171_C0648
ko:K01547	btb:BMB171_C0649
ko:K01548	btb:BMB171_C0650
ko:K06901	btb:BMB171_C0655
ko:K06131	btb:BMB171_C0548
ko:K02818	btb:BMB171_C0553
ko:K02819	btb:BMB171_C0553
ko:K06295	btb:BMB171_C0557
ko:K03310	btb:BMB171_C0560
ko:K02445	btb:BMB171_C0575
ko:K02529	btb:BMB171_C0578
ko:K03707	btb:BMB171_C0635
ko:K03154	btb:BMB171_C0641
ko:K03149	btb:BMB171_C0642
ko:K00648	btb:BMB171_C1034
ko:K09458	btb:BMB171_C1035
ko:K01867	btb:BMB171_C1038
ko:K06131	btb:BMB171_C1050
ko:K08602	btb:BMB171_C1052
ko:K06180	btb:BMB171_C1137
ko:K11473	btb:BMB171_C1140
ko:K02647	btb:BMB171_C1142
ko:K00782	btb:BMB171_C1149
ko:K02598	btb:BMB171_C1152
ko:K00023	btb:BMB171_C1160
ko:K03821	btb:BMB171_C1161
ko:K02012	btb:BMB171_C1166
ko:K02011	btb:BMB171_C1168
ko:K05306	btb:BMB171_C1169
ko:K03430	btb:BMB171_C1170
ko:K01990	btb:BMB171_C0926
ko:K04517	btb:BMB171_C2646
ko:K01958	btb:BMB171_C3612
ko:K06886	btb:BMB171_C1054
ko:K00858	btb:BMB171_C1058
ko:K06180	btb:BMB171_C1059
ko:K00973	btb:BMB171_C1072
ko:K01790	btb:BMB171_C1073
ko:K07090	btb:BMB171_C0840
ko:K01772	btb:BMB171_C1015
ko:K03781	btb:BMB171_C1016
ko:K03320	btb:BMB171_C1017
ko:K09767	btb:BMB171_C1020
ko:K00243	btb:BMB171_C1021
ko:K03695	btb:BMB171_C1029
ko:K09770	btb:BMB171_C1500
ko:K02396	btb:BMB171_C1502
ko:K02397	btb:BMB171_C1503
ko:K02407	btb:BMB171_C1504
ko:K02422	btb:BMB171_C1505
ko:K02387	btb:BMB171_C1507
ko:K02388	btb:BMB171_C1508
ko:K02408	btb:BMB171_C1509
ko:K02409	btb:BMB171_C1510
ko:K02410	btb:BMB171_C1511
ko:K02411	btb:BMB171_C1512
ko:K02412	btb:BMB171_C1513
ko:K00958	btb:BMB171_C1259
ko:K02389	btb:BMB171_C1516
ko:K02390	btb:BMB171_C1517
ko:K03415	btb:BMB171_C1520
ko:K02406	btb:BMB171_C1522
ko:K02406	btb:BMB171_C1523
ko:K02406	btb:BMB171_C1524
ko:K02406	btb:BMB171_C1525
ko:K02417	btb:BMB171_C1527
ko:K02416	btb:BMB171_C1528
ko:K02417	btb:BMB171_C1529
ko:K02419	btb:BMB171_C1531
ko:K02420	btb:BMB171_C1532
ko:K02421	btb:BMB171_C1533
ko:K02401	btb:BMB171_C1534
ko:K02400	btb:BMB171_C1535
ko:K02404	btb:BMB171_C1536
ko:K02392	btb:BMB171_C1537
ko:K06425	btb:BMB171_C1544
ko:K02012	btb:BMB171_C1550
ko:K02011	btb:BMB171_C1551
ko:K01637	btb:BMB171_C0994
ko:K03704	btb:BMB171_C0997
ko:K02250	btb:BMB171_C1000
ko:K03100	btb:BMB171_C1002
ko:K00067	btb:BMB171_C1075
ko:K03790	btb:BMB171_C0846
ko:K02440	btb:BMB171_C0909
ko:K00864	btb:BMB171_C0910
ko:K00111	btb:BMB171_C0911
ko:K00847	btb:BMB171_C0659
ko:K01193	btb:BMB171_C0660
ko:K09798	btb:BMB171_C1177
ko:K07697	btb:BMB171_C1184
ko:K06920	btb:BMB171_C1185
ko:K01737	btb:BMB171_C1186
ko:K10026	btb:BMB171_C1187
ko:K09457	btb:BMB171_C1188
ko:K03800	btb:BMB171_C0959
ko:K02048	btb:BMB171_C0964
ko:K02046	btb:BMB171_C0965
ko:K02047	btb:BMB171_C0966
ko:K02045	btb:BMB171_C0967
ko:K06885	btb:BMB171_C0980
ko:K13653	btb:BMB171_C0982
ko:K01638	btb:BMB171_C0993
ko:K06395	btb:BMB171_C3848
ko:K01961	btb:BMB171_C2243
ko:K01426	btb:BMB171_C1841
ko:K04750	btb:BMB171_C4284
ko:K00634	btb:BMB171_C3826
ko:K02303	btb:BMB171_C1263
ko:K03484	btb:BMB171_C0662
ko:K03740	btb:BMB171_C1211
ko:K03739	btb:BMB171_C1213
ko:K01657	btb:BMB171_C1092
ko:K00766	btb:BMB171_C1094
ko:K01609	btb:BMB171_C1095
ko:K01817	btb:BMB171_C1096
ko:K01696	btb:BMB171_C1097
ko:K01695	btb:BMB171_C1098
ko:K03303	btb:BMB171_C1099
ko:K09136	btb:BMB171_C1107
ko:K00658	btb:BMB171_C1109
ko:K00164	btb:BMB171_C1110
ko:K03306	btb:BMB171_C1286
ko:K07220	btb:BMB171_C1287
ko:K00208	btb:BMB171_C1076
ko:K03657	btb:BMB171_C1082
ko:K03088	btb:BMB171_C0915
ko:K03657	btb:BMB171_C0919
ko:K02503	btb:BMB171_C0925
ko:K01599	btb:BMB171_C0942
ko:K01772	btb:BMB171_C0943
ko:K00231	btb:BMB171_C0944
ko:K01421	btb:BMB171_C0952
ko:K06304	btb:BMB171_C1006
ko:K06303	btb:BMB171_C1007
ko:K06301	btb:BMB171_C1008
ko:K01953	btb:BMB171_C1014
ko:K03594	btb:BMB171_C0880
ko:K02034	btb:BMB171_C0704
ko:K03311	btb:BMB171_C0705
ko:K06334	btb:BMB171_C0706
ko:K10979	btb:BMB171_C0709
ko:K03308	btb:BMB171_C1266
ko:K11102	btb:BMB171_C1268
ko:K11622	btb:BMB171_C1273
ko:K03311	btb:BMB171_C1277
ko:K05916	btb:BMB171_C1282
ko:K07090	btb:BMB171_C1285
ko:K07106	btb:BMB171_C0721
ko:K03923	btb:BMB171_C0736
ko:K04564	btb:BMB171_C1302
ko:K06373	btb:BMB171_C1304
ko:K06374	btb:BMB171_C1305
ko:K06178	btb:BMB171_C1306
ko:K07399	btb:BMB171_C1308
ko:K07775	btb:BMB171_C1310
ko:K07651	btb:BMB171_C1311
ko:K03654	btb:BMB171_C1318
ko:K00260	btb:BMB171_C1324
ko:K00384	btb:BMB171_C1328
ko:K03367	btb:BMB171_C1214
ko:K03327	btb:BMB171_C1224
ko:K06153	btb:BMB171_C1225
ko:K00826	btb:BMB171_C1234
ko:K01652	btb:BMB171_C1235
ko:K01653	btb:BMB171_C1236
ko:K00053	btb:BMB171_C1237
ko:K01649	btb:BMB171_C1238
ko:K00052	btb:BMB171_C1239
ko:K01703	btb:BMB171_C1240
ko:K01704	btb:BMB171_C1241
ko:K02502	btb:BMB171_C1242
ko:K00765	btb:BMB171_C1243
ko:K00013	btb:BMB171_C1244
ko:K01693	btb:BMB171_C1245
ko:K01814	btb:BMB171_C1247
ko:K02759	btb:BMB171_C0694
ko:K02760	btb:BMB171_C0695
ko:K02761	btb:BMB171_C0696
ko:K05520	btb:BMB171_C0740
ko:K03781	btb:BMB171_C0741
ko:K03758	btb:BMB171_C0743
ko:K01776	btb:BMB171_C0744
ko:K02500	btb:BMB171_C1248
ko:K04486	btb:BMB171_C1251
ko:K01586	btb:BMB171_C1256
ko:K00390	btb:BMB171_C1258
ko:K00860	btb:BMB171_C1260
ko:K00945	btb:BMB171_C1330
ko:K02945	btb:BMB171_C1331
ko:K05739	btb:BMB171_C1335
ko:K03977	btb:BMB171_C1337
ko:K00057	btb:BMB171_C1338
ko:K06398	btb:BMB171_C1342
ko:K03530	btb:BMB171_C1343
ko:K01495	btb:BMB171_C1344
ko:K03183	btb:BMB171_C1346
ko:K00940	btb:BMB171_C1348
ko:K01736	btb:BMB171_C1349
ko:K01735	btb:BMB171_C1350
ko:K00817	btb:BMB171_C1351
ko:K03887	btb:BMB171_C1356
ko:K03888	btb:BMB171_C1357
ko:K06973	btb:BMB171_C1361
ko:K00215	btb:BMB171_C1365
ko:K01734	btb:BMB171_C1366
ko:K03407	btb:BMB171_C0883
ko:K01442	btb:BMB171_C0890
ko:K15975	btb:BMB171_C0896
ko:K01652	btb:BMB171_C0761
ko:K01575	btb:BMB171_C0762
ko:K03652	btb:BMB171_C0763
ko:K03321	btb:BMB171_C0770
ko:K01448	btb:BMB171_C0780
ko:K02034	btb:BMB171_C0789
ko:K07396	btb:BMB171_C0792
ko:K03524	btb:BMB171_C1370
ko:K00606	btb:BMB171_C1371
ko:K01918	btb:BMB171_C1372
ko:K01579	btb:BMB171_C1373
ko:K00812	btb:BMB171_C1377
ko:K10773	btb:BMB171_C1379
ko:K05366	btb:BMB171_C1382
ko:K01999	btb:BMB171_C1715
ko:K01995	btb:BMB171_C1716
ko:K01996	btb:BMB171_C1717
ko:K01997	btb:BMB171_C1718
ko:K01998	btb:BMB171_C1719
ko:K00425	btb:BMB171_C1726
ko:K00426	btb:BMB171_C1727
ko:K07078	btb:BMB171_C1738
ko:K05995	btb:BMB171_C1583
ko:K01753	btb:BMB171_C1593
ko:K09903	btb:BMB171_C1604
ko:K11102	btb:BMB171_C1606
ko:K01744	btb:BMB171_C1607
ko:K07717	btb:BMB171_C1609
ko:K07719	btb:BMB171_C1610
ko:K01914	btb:BMB171_C1613
ko:K00928	btb:BMB171_C1615
ko:K00648	btb:BMB171_C1626
ko:K03665	btb:BMB171_C1628
ko:K08223	btb:BMB171_C1629
ko:K01738	btb:BMB171_C1630
ko:K03308	btb:BMB171_C1634
ko:K00826	btb:BMB171_C1642
ko:K01652	btb:BMB171_C1643
ko:K01653	btb:BMB171_C1644
ko:K00053	btb:BMB171_C1645
ko:K01687	btb:BMB171_C1646
ko:K01754	btb:BMB171_C1647
ko:K07282	btb:BMB171_C1648
ko:K07150	btb:BMB171_C1649
ko:K03322	btb:BMB171_C1666
ko:K07146	btb:BMB171_C1667
ko:K07006	btb:BMB171_C1751
ko:K00003	btb:BMB171_C1752
ko:K01733	btb:BMB171_C1753
ko:K00872	btb:BMB171_C1754
ko:K00077	btb:BMB171_C1669
ko:K00756	btb:BMB171_C1683
ko:K01118	btb:BMB171_C1699
ko:K03311	btb:BMB171_C1700
ko:K05606	btb:BMB171_C1701
ko:K07444	btb:BMB171_C1392
ko:K01299	btb:BMB171_C1400
ko:K01265	btb:BMB171_C1404
ko:K03816	btb:BMB171_C1405
ko:K01953	btb:BMB171_C1564
ko:K03088	btb:BMB171_C1565
ko:K03315	btb:BMB171_C1578
ko:K07148	btb:BMB171_C1407
ko:K08989	btb:BMB171_C1414
ko:K03704	btb:BMB171_C1448
ko:K09190	btb:BMB171_C1450
ko:K03666	btb:BMB171_C1471
ko:K07023	btb:BMB171_C1472
ko:K02556	btb:BMB171_C1473
ko:K02557	btb:BMB171_C1474
ko:K03413	btb:BMB171_C1475
ko:K03407	btb:BMB171_C1476
ko:K02417	btb:BMB171_C1477
ko:K07052	btb:BMB171_C4211
ko:K14228	btb:BMB171_C5139
ko:K14228	btb:BMB171_C5188
ko:K14228	btb:BMB171_C5224
ko:K00104	btb:BMB171_C1141
ko:K01784	btb:BMB171_C5044
ko:K00974	btb:BMB171_C1369
ko:K05799	btb:BMB171_C1146
ko:K13955	btb:BMB171_C2384
ko:K08222	btb:BMB171_C3941
ko:K01664	btb:BMB171_C0065
ko:K01537	btb:BMB171_C3539
ko:K03574	btb:BMB171_C0545
ko:K04091	btb:BMB171_C2616
ko:K07213	btb:BMB171_C3404
ko:K02827	btb:BMB171_C0614
ko:K00652	btb:BMB171_C3783
ko:K02057	btb:BMB171_C3458
ko:K02277	btb:BMB171_C3605
ko:K08978	btb:BMB171_C0403
ko:K14230	btb:BMB171_C5220
ko:K14230	btb:BMB171_C5132
ko:K03293	btb:BMB171_C3135
ko:K03639	btb:BMB171_C1909
ko:K03750	btb:BMB171_C1911
ko:K03636	btb:BMB171_C1913
ko:K02575	btb:BMB171_C1914
ko:K07088	btb:BMB171_C1915
ko:K13542	btb:BMB171_C1918
ko:K00363	btb:BMB171_C1919
ko:K00362	btb:BMB171_C1920
ko:K07322	btb:BMB171_C1921
ko:K00675	btb:BMB171_C1925
ko:K06416	btb:BMB171_C1928
ko:K06153	btb:BMB171_C2429
ko:K08310	btb:BMB171_C2437
ko:K00285	btb:BMB171_C2438
ko:K00675	btb:BMB171_C2441
ko:K03076	btb:BMB171_C2453
ko:K00231	btb:BMB171_C2116
ko:K03704	btb:BMB171_C2120
ko:K00133	btb:BMB171_C2125
ko:K14233	btb:BMB171_C5131
ko:K14233	btb:BMB171_C5193
ko:K14233	btb:BMB171_C5218
ko:K14233	btb:BMB171_C5192
ko:K03296	btb:BMB171_C5030
ko:K03491	btb:BMB171_C0693
ko:K03088	btb:BMB171_C2146
ko:K02760	btb:BMB171_C2153
ko:K02761	btb:BMB171_C2154
ko:K09001	btb:BMB171_C2156
ko:K01754	btb:BMB171_C2160
ko:K00453	btb:BMB171_C2468
ko:K01556	btb:BMB171_C2470
ko:K00382	btb:BMB171_C2483
ko:K00627	btb:BMB171_C2484
ko:K02000	btb:BMB171_C2495
ko:K02002	btb:BMB171_C2496
ko:K01358	btb:BMB171_C2497
ko:K03088	btb:BMB171_C2498
ko:K01807	btb:BMB171_C2500
ko:K03823	btb:BMB171_C2513
ko:K03657	btb:BMB171_C2517
ko:K14392	btb:BMB171_C3227
ko:K06889	btb:BMB171_C2999
ko:K07507	btb:BMB171_C1763
ko:K06895	btb:BMB171_C1773
ko:K07001	btb:BMB171_C1776
ko:K06385	btb:BMB171_C1845
ko:K01775	btb:BMB171_C1850
ko:K00375	btb:BMB171_C1855
ko:K07090	btb:BMB171_C2201
ko:K04566	btb:BMB171_C2297
ko:K03466	btb:BMB171_C1869
ko:K01938	btb:BMB171_C1888
ko:K03088	btb:BMB171_C1895
ko:K03688	btb:BMB171_C1897
ko:K00432	btb:BMB171_C1899
ko:K02003	btb:BMB171_C2907
ko:K07282	btb:BMB171_C2971
ko:K02106	btb:BMB171_C2983
ko:K02553	btb:BMB171_C2995
ko:K02056	btb:BMB171_C3459
ko:K07496	btb:BMB171_P0138
ko:K14234	btb:BMB171_C5144
ko:K11626	btb:BMB171_C2829
ko:K06325	btb:BMB171_C0330
ko:K07979	btb:BMB171_C3741
ko:K07001	btb:BMB171_C2219
ko:K03088	btb:BMB171_C2230
ko:K02160	btb:BMB171_C2244
ko:K01640	btb:BMB171_C2245
ko:K01895	btb:BMB171_C2248
ko:K08602	btb:BMB171_C2285
ko:K00003	btb:BMB171_C2310
ko:K01921	btb:BMB171_C2312
ko:K03707	btb:BMB171_C2313
ko:K09962	btb:BMB171_C1953
ko:K01091	btb:BMB171_C1955
ko:K01779	btb:BMB171_C1958
ko:K07727	btb:BMB171_C1961
ko:K01091	btb:BMB171_C1967
ko:K00655	btb:BMB171_C1975
ko:K11068	btb:BMB171_C1976
ko:K03116	btb:BMB171_C1977
ko:K03118	btb:BMB171_C1978
ko:K07152	btb:BMB171_C1981
ko:K01953	btb:BMB171_C1983
ko:K01448	btb:BMB171_C1985
ko:K02016	btb:BMB171_C1986
ko:K00824	btb:BMB171_C1987
ko:K07090	btb:BMB171_C2357
ko:K03100	btb:BMB171_C2375
ko:K01779	btb:BMB171_C2377
ko:K07697	btb:BMB171_C2381
ko:K01126	btb:BMB171_C2400
ko:K03308	btb:BMB171_C1951
ko:K05847	btb:BMB171_C2009
ko:K03758	btb:BMB171_C2012
ko:K01034	btb:BMB171_C2024
ko:K01438	btb:BMB171_C2026
ko:K06714	btb:BMB171_C2028
ko:K05366	btb:BMB171_C2053
ko:K01647	btb:BMB171_C2056
ko:K01720	btb:BMB171_C2057
ko:K07250	btb:BMB171_C0300
ko:K13532	btb:BMB171_C1179
ko:K06431	btb:BMB171_C3285
ko:K03093	btb:BMB171_C3111
ko:K14224	btb:BMB171_C5145
ko:K14224	btb:BMB171_C5154
ko:K14224	btb:BMB171_C5168
