ko:K18893	babu:DK53_1501
ko:K07335	babu:DK53_3120
ko:K02056	babu:DK53_3121
ko:K02057	babu:DK53_3122
ko:K02057	babu:DK53_3123
ko:K00852	babu:DK53_3125
ko:K01996	babu:DK53_3136
ko:K01995	babu:DK53_3137
ko:K02073	babu:DK53_7
ko:K01255	babu:DK53_14
ko:K10563	babu:DK53_16
ko:K01692	babu:DK53_17
ko:K02968	babu:DK53_18
ko:K02313	babu:DK53_19
ko:K02338	babu:DK53_20
ko:K03629	babu:DK53_21
ko:K12972	babu:DK53_23
ko:K13896	babu:DK53_24
ko:K13895	babu:DK53_25
ko:K13894	babu:DK53_26
ko:K13893	babu:DK53_27
ko:K13893	babu:DK53_28
ko:K01999	babu:DK53_30
ko:K13766	babu:DK53_31
ko:K01640	babu:DK53_32
ko:K01968	babu:DK53_33
ko:K01969	babu:DK53_34
ko:K00253	babu:DK53_35
ko:K01907	babu:DK53_36
ko:K01907	babu:DK53_37
ko:K00800	babu:DK53_43
ko:K00945	babu:DK53_44
ko:K02945	babu:DK53_45
ko:K06187	babu:DK53_49
ko:K09747	babu:DK53_50
ko:K02343	babu:DK53_51
ko:K03426	babu:DK53_53
ko:K04518	babu:DK53_54
ko:K00979	babu:DK53_55
ko:K08738	babu:DK53_56
ko:K02297	babu:DK53_58
ko:K02298	babu:DK53_59
ko:K02298	babu:DK53_60
ko:K00573	babu:DK53_881
ko:K06923	babu:DK53_883
ko:K03210	babu:DK53_884
ko:K12257	babu:DK53_885
ko:K02291	babu:DK53_887
ko:K04094	babu:DK53_888
ko:K03545	babu:DK53_893
ko:K02434	babu:DK53_894
ko:K00684	babu:DK53_898
ko:K01961	babu:DK53_899
ko:K02160	babu:DK53_900
ko:K03786	babu:DK53_901
ko:K08300	babu:DK53_905
ko:K01448	babu:DK53_906
ko:K05366	babu:DK53_907
ko:K02836	babu:DK53_908
ko:K03564	babu:DK53_913
ko:K01866	babu:DK53_915
ko:K09001	babu:DK53_917
ko:K07018	babu:DK53_918
ko:K04487	babu:DK53_919
ko:K09014	babu:DK53_920
ko:K09013	babu:DK53_921
ko:K09015	babu:DK53_922
ko:K11717	babu:DK53_923
ko:K00858	babu:DK53_927
ko:K13628	babu:DK53_929
ko:K07213	babu:DK53_931
ko:K00573	babu:DK53_932
ko:K12340	babu:DK53_933
ko:K09991	babu:DK53_934
ko:K01873	babu:DK53_935
ko:K06075	babu:DK53_1729
ko:K02114	babu:DK53_1730
ko:K02112	babu:DK53_1731
ko:K02115	babu:DK53_1732
ko:K02111	babu:DK53_1733
ko:K02113	babu:DK53_1734
ko:K04066	babu:DK53_1736
ko:K00616	babu:DK53_1737
ko:K03643	babu:DK53_1738
ko:K01869	babu:DK53_1739
ko:K06997	babu:DK53_1740
ko:K01895	babu:DK53_1743
ko:K03799	babu:DK53_1745
ko:K03500	babu:DK53_1746
ko:K00602	babu:DK53_1748
ko:K06902	babu:DK53_1749
ko:K15371	babu:DK53_1750
ko:K08988	babu:DK53_1751
ko:K06872	babu:DK53_1752
ko:K03744	babu:DK53_1753
ko:K02959	babu:DK53_1754
ko:K04092	babu:DK53_1755
ko:K03106	babu:DK53_1756
ko:K01673	babu:DK53_1758
ko:K00868	babu:DK53_1759
ko:K00140	babu:DK53_1761
ko:K08311	babu:DK53_1765
ko:K03797	babu:DK53_1766
ko:K00783	babu:DK53_1769
ko:K09710	babu:DK53_1770
ko:K00969	babu:DK53_1771
ko:K00147	babu:DK53_1772
ko:K00931	babu:DK53_1773
ko:K03979	babu:DK53_1774
ko:K02899	babu:DK53_1778
ko:K01999	babu:DK53_2567
ko:K01857	babu:DK53_2568
ko:K00448	babu:DK53_2569
ko:K00449	babu:DK53_2570
ko:K01607	babu:DK53_2572
ko:K01055	babu:DK53_2573
ko:K02623	babu:DK53_2574
ko:K00481	babu:DK53_2575
ko:K02624	babu:DK53_2577
ko:K01031	babu:DK53_2578
ko:K01032	babu:DK53_2579
ko:K02030	babu:DK53_2584
ko:K02030	babu:DK53_2585
ko:K00285	babu:DK53_2586
ko:K02342	babu:DK53_2591
ko:K02346	babu:DK53_2599
ko:K06140	babu:DK53_2600
ko:K11443	babu:DK53_2602
ko:K02488	babu:DK53_2603
ko:K02913	babu:DK53_2604
ko:K12573	babu:DK53_2608
ko:K03168	babu:DK53_2609
ko:K04096	babu:DK53_2611
ko:K08591	babu:DK53_2612
ko:K01465	babu:DK53_2613
ko:K00609	babu:DK53_2614
ko:K09456	babu:DK53_2616
ko:K07447	babu:DK53_2615
ko:K02435	babu:DK53_2618
ko:K03092	babu:DK53_170
ko:K02806	babu:DK53_172
ko:K10773	babu:DK53_176
ko:K06203	babu:DK53_177
ko:K03687	babu:DK53_180
ko:K03705	babu:DK53_181
ko:K00989	babu:DK53_182
ko:K02428	babu:DK53_185
ko:K07056	babu:DK53_187
ko:K07460	babu:DK53_188
ko:K02302	babu:DK53_189
ko:K00381	babu:DK53_191
ko:K00390	babu:DK53_192
ko:K00567	babu:DK53_195
ko:K00548	babu:DK53_198
ko:K07782	babu:DK53_199
ko:K16871	babu:DK53_200
ko:K00957	babu:DK53_201
ko:K00955	babu:DK53_202
ko:K01082	babu:DK53_203
ko:K02444	babu:DK53_207
ko:K00111	babu:DK53_208
ko:K00138	babu:DK53_210
ko:K00138	babu:DK53_211
ko:K13953	babu:DK53_212
ko:K09959	babu:DK53_213
ko:K02529	babu:DK53_214
ko:K06147	babu:DK53_215
ko:K15599	babu:DK53_217
ko:K03707	babu:DK53_218
ko:K15598	babu:DK53_219
ko:K00788	babu:DK53_220
ko:K03149	babu:DK53_221
ko:K03154	babu:DK53_222
ko:K13953	babu:DK53_1050
ko:K13953	babu:DK53_1051
ko:K14347	babu:DK53_1053
ko:K01784	babu:DK53_1054
ko:K04765	babu:DK53_1055
ko:K01868	babu:DK53_1059
ko:K08998	babu:DK53_1061
ko:K01495	babu:DK53_1063
ko:K01496	babu:DK53_1064
ko:K07001	babu:DK53_1065
ko:K00252	babu:DK53_1075
ko:K18138	babu:DK53_1079
ko:K03585	babu:DK53_1080
ko:K00773	babu:DK53_1082
ko:K07568	babu:DK53_1083
ko:K00954	babu:DK53_1086
ko:K02469	babu:DK53_1088
ko:K05595	babu:DK53_1089
ko:K05774	babu:DK53_1090
ko:K05774	babu:DK53_1091
ko:K02043	babu:DK53_1092
ko:K03701	babu:DK53_1097
ko:K03530	babu:DK53_1098
ko:K01338	babu:DK53_1099
ko:K03544	babu:DK53_1100
ko:K01761	babu:DK53_1886
ko:K01738	babu:DK53_1888
ko:K01738	babu:DK53_1889
ko:K00074	babu:DK53_1890
ko:K03522	babu:DK53_1891
ko:K03521	babu:DK53_1892
ko:K06920	babu:DK53_1893
ko:K01737	babu:DK53_1894
ko:K10026	babu:DK53_1895
ko:K07058	babu:DK53_1899
ko:K09768	babu:DK53_1900
ko:K01755	babu:DK53_1902
ko:K01586	babu:DK53_1904
ko:K00760	babu:DK53_1906
ko:K00817	babu:DK53_1908
ko:K00220	babu:DK53_1910
ko:K07232	babu:DK53_1911
ko:K02221	babu:DK53_1913
ko:K01507	babu:DK53_1914
ko:K00655	babu:DK53_1915
ko:K09811	babu:DK53_1917
ko:K09812	babu:DK53_1918
ko:K06188	babu:DK53_1920
ko:K01142	babu:DK53_1922
ko:K09125	babu:DK53_1933
ko:K02902	babu:DK53_1934
ko:K03885	babu:DK53_2722
ko:K02051	babu:DK53_2731
ko:K02049	babu:DK53_2732
ko:K02050	babu:DK53_2733
ko:K01990	babu:DK53_2736
ko:K01990	babu:DK53_2737
ko:K01993	babu:DK53_2738
ko:K07112	babu:DK53_2742
ko:K07112	babu:DK53_2743
ko:K09781	babu:DK53_2745
ko:K01462	babu:DK53_2746
ko:K00058	babu:DK53_2747
ko:K01895	babu:DK53_2749
ko:K01895	babu:DK53_2750
ko:K00626	babu:DK53_2752
ko:K07305	babu:DK53_2754
ko:K08224	babu:DK53_2756
ko:K01991	babu:DK53_2763
ko:K17948	babu:DK53_2768
ko:K02035	babu:DK53_2771
ko:K02033	babu:DK53_2772
ko:K02034	babu:DK53_2773
ko:K01714	babu:DK53_2774
ko:K03303	babu:DK53_722
ko:K00939	babu:DK53_728
ko:K01760	babu:DK53_744
ko:K09969	babu:DK53_746
ko:K09970	babu:DK53_747
ko:K09971	babu:DK53_748
ko:K09971	babu:DK53_749
ko:K09972	babu:DK53_750
ko:K00480	babu:DK53_751
ko:K00937	babu:DK53_753
ko:K01524	babu:DK53_754
ko:K03684	babu:DK53_755
ko:K01876	babu:DK53_756
ko:K02621	babu:DK53_758
ko:K01698	babu:DK53_761
ko:K00600	babu:DK53_766
ko:K07738	babu:DK53_767
ko:K11752	babu:DK53_768
ko:K00793	babu:DK53_769
ko:K00794	babu:DK53_770
ko:K03625	babu:DK53_771
ko:K15987	babu:DK53_772
ko:K17662	babu:DK53_774
ko:K16079	babu:DK53_1574
ko:K05879	babu:DK53_1577
ko:K05878	babu:DK53_1578
ko:K05878	babu:DK53_1579
ko:K05879	babu:DK53_1580
ko:K05878	babu:DK53_1581
ko:K17205	babu:DK53_1583
ko:K17206	babu:DK53_1584
ko:K17207	babu:DK53_1585
ko:K00135	babu:DK53_1595
ko:K01247	babu:DK53_1599
ko:K01894	babu:DK53_1600
ko:K01638	babu:DK53_1601
ko:K03823	babu:DK53_1602
ko:K03089	babu:DK53_1603
ko:K06180	babu:DK53_1604
ko:K03711	babu:DK53_1607
ko:K03088	babu:DK53_1612
ko:K03561	babu:DK53_1619
ko:K03559	babu:DK53_1620
ko:K03832	babu:DK53_1621
ko:K05685	babu:DK53_1624
ko:K01686	babu:DK53_2413
ko:K01812	babu:DK53_2415
ko:K01812	babu:DK53_2416
ko:K00040	babu:DK53_2417
ko:K02055	babu:DK53_2418
ko:K02052	babu:DK53_2419
ko:K02054	babu:DK53_2420
ko:K02053	babu:DK53_2421
ko:K01708	babu:DK53_2422
ko:K07722	babu:DK53_2423
ko:K15584	babu:DK53_2424
ko:K15584	babu:DK53_2425
ko:K15585	babu:DK53_2426
ko:K15586	babu:DK53_2427
ko:K15587	babu:DK53_2428
ko:K10824	babu:DK53_2429
ko:K00626	babu:DK53_2433
ko:K01782	babu:DK53_2434
ko:K04566	babu:DK53_2437
ko:K01673	babu:DK53_2439
ko:K02035	babu:DK53_2441
ko:K02033	babu:DK53_2442
ko:K02034	babu:DK53_2443
ko:K00286	babu:DK53_2446
ko:K01491	babu:DK53_2447
ko:K01690	babu:DK53_2448
ko:K01057	babu:DK53_2449
ko:K00036	babu:DK53_2450
ko:K00059	babu:DK53_2451
ko:K09471	babu:DK53_2458
ko:K01915	babu:DK53_2460
ko:K00275	babu:DK53_443
ko:K00208	babu:DK53_446
ko:K03704	babu:DK53_448
ko:K09778	babu:DK53_451
ko:K01736	babu:DK53_453
ko:K14652	babu:DK53_454
ko:K03602	babu:DK53_456
ko:K06911	babu:DK53_460
ko:K01662	babu:DK53_461
ko:K06442	babu:DK53_462
ko:K03215	babu:DK53_463
ko:K06966	babu:DK53_464
ko:K06147	babu:DK53_467
ko:K01613	babu:DK53_468
ko:K17103	babu:DK53_469
ko:K00764	babu:DK53_471
ko:K03558	babu:DK53_472
ko:K04485	babu:DK53_473
ko:K00574	babu:DK53_475
ko:K02939	babu:DK53_476
ko:K02963	babu:DK53_478
ko:K02990	babu:DK53_479
ko:K00645	babu:DK53_480
ko:K00059	babu:DK53_481
ko:K02078	babu:DK53_482
ko:K09458	babu:DK53_483
ko:K07082	babu:DK53_484
ko:K00942	babu:DK53_486
ko:K03568	babu:DK53_487
ko:K02275	babu:DK53_489
ko:K02274	babu:DK53_490
ko:K02258	babu:DK53_492
ko:K02258	babu:DK53_493
ko:K02276	babu:DK53_494
ko:K14998	babu:DK53_496
ko:K02431	babu:DK53_1313
ko:K02056	babu:DK53_1315
ko:K02057	babu:DK53_1316
ko:K02057	babu:DK53_1317
ko:K02058	babu:DK53_1318
ko:K02013	babu:DK53_1319
ko:K02015	babu:DK53_1321
ko:K02016	babu:DK53_1322
ko:K16092	babu:DK53_1323
ko:K13926	babu:DK53_1325
ko:K13926	babu:DK53_1326
ko:K01993	babu:DK53_1327
ko:K01430	babu:DK53_1330
ko:K01429	babu:DK53_1331
ko:K01428	babu:DK53_1332
ko:K03188	babu:DK53_1333
ko:K03189	babu:DK53_1334
ko:K03190	babu:DK53_1335
ko:K08717	babu:DK53_1336
ko:K02009	babu:DK53_1337
ko:K02007	babu:DK53_1338
ko:K16915	babu:DK53_1339
ko:K02008	babu:DK53_1340
ko:K02006	babu:DK53_1341
ko:K06199	babu:DK53_1343
ko:K06998	babu:DK53_1347
ko:K00053	babu:DK53_1352
ko:K03549	babu:DK53_1354
ko:K03474	babu:DK53_1355
ko:K01653	babu:DK53_1358
ko:K01652	babu:DK53_1359
ko:K02034	babu:DK53_2151
ko:K02033	babu:DK53_2152
ko:K02035	babu:DK53_2153
ko:K01434	babu:DK53_2154
ko:K06446	babu:DK53_2155
ko:K00074	babu:DK53_2157
ko:K11381	babu:DK53_2159
ko:K02035	babu:DK53_2160
ko:K00627	babu:DK53_2161
ko:K02033	babu:DK53_2163
ko:K02034	babu:DK53_2164
ko:K00135	babu:DK53_2168
ko:K07304	babu:DK53_2173
ko:K03745	babu:DK53_2174
ko:K00761	babu:DK53_2175
ko:K03183	babu:DK53_2177
ko:K03688	babu:DK53_2178
ko:K13038	babu:DK53_2180
ko:K02837	babu:DK53_2179
ko:K06131	babu:DK53_2182
ko:K00154	babu:DK53_2184
ko:K04719	babu:DK53_2187
ko:K01834	babu:DK53_2190
ko:K00215	babu:DK53_2191
ko:K06147	babu:DK53_2192
ko:K00845	babu:DK53_2193
ko:K01734	babu:DK53_2194
ko:K07261	babu:DK53_2195
ko:K00799	babu:DK53_2198
ko:K06153	babu:DK53_2199
ko:K02393	babu:DK53_2981
ko:K02394	babu:DK53_2983
ko:K02386	babu:DK53_2984
ko:K02392	babu:DK53_2985
ko:K02408	babu:DK53_2986
ko:K02388	babu:DK53_2987
ko:K02387	babu:DK53_2988
ko:K02412	babu:DK53_3005
ko:K02391	babu:DK53_3006
ko:K02556	babu:DK53_3008
ko:K02416	babu:DK53_3009
ko:K02416	babu:DK53_3010
ko:K02417	babu:DK53_3013
ko:K02410	babu:DK53_3015
ko:K02401	babu:DK53_3016
ko:K03543	babu:DK53_3020
ko:K02055	babu:DK53_3023
ko:K02054	babu:DK53_3024
ko:K02053	babu:DK53_3025
ko:K02052	babu:DK53_3026
ko:K00033	babu:DK53_3027
ko:K02200	babu:DK53_622
ko:K02197	babu:DK53_623
ko:K02198	babu:DK53_624
ko:K02200	babu:DK53_625
ko:K00982	babu:DK53_629
ko:K07716	babu:DK53_631
ko:K01256	babu:DK53_632
ko:K00311	babu:DK53_636
ko:K01241	babu:DK53_638
ko:K07126	babu:DK53_644
ko:K00817	babu:DK53_648
ko:K08309	babu:DK53_655
ko:K01714	babu:DK53_656
ko:K03664	babu:DK53_657
ko:K03060	babu:DK53_660
ko:K00762	babu:DK53_662
ko:K12989	babu:DK53_1464
ko:K03624	babu:DK53_1465
ko:K09922	babu:DK53_1468
ko:K10806	babu:DK53_1470
ko:K03702	babu:DK53_1472
ko:K07659	babu:DK53_1479
ko:K07638	babu:DK53_1480
ko:K07636	babu:DK53_338
ko:K13583	babu:DK53_339
ko:K04083	babu:DK53_342
ko:K06195	babu:DK53_343
ko:K10764	babu:DK53_344
ko:K01494	babu:DK53_345
ko:K00254	babu:DK53_350
ko:K01259	babu:DK53_353
ko:K03282	babu:DK53_356
ko:K06878	babu:DK53_1481
ko:K13292	babu:DK53_1484
ko:K05810	babu:DK53_1486
ko:K00948	babu:DK53_1489
ko:K06915	babu:DK53_1490
ko:K02897	babu:DK53_1491
ko:K01056	babu:DK53_1492
ko:K06942	babu:DK53_1493
ko:K00759	babu:DK53_1496
ko:K00413	babu:DK53_1498
ko:K00412	babu:DK53_1499
ko:K00411	babu:DK53_1500
ko:K03216	babu:DK53_1503
ko:K00228	babu:DK53_1506
ko:K03824	babu:DK53_1507
ko:K00970	babu:DK53_1510
ko:K09986	babu:DK53_1512
ko:K03924	babu:DK53_1513
ko:K09975	babu:DK53_2305
ko:K01712	babu:DK53_2306
ko:K01479	babu:DK53_2307
ko:K01745	babu:DK53_2308
ko:K01468	babu:DK53_2309
ko:K05836	babu:DK53_2311
ko:K00822	babu:DK53_2312
ko:K00285	babu:DK53_2314
ko:K01775	babu:DK53_2315
ko:K00101	babu:DK53_2318
ko:K03710	babu:DK53_2324
ko:K00820	babu:DK53_2325
ko:K01443	babu:DK53_2326
ko:K01433	babu:DK53_2328
ko:K00128	babu:DK53_2329
ko:K06959	babu:DK53_2333
ko:K10680	babu:DK53_2336
ko:K01476	babu:DK53_2338
ko:K06886	babu:DK53_2340
ko:K05838	babu:DK53_2344
ko:K07157	babu:DK53_2345
ko:K09791	babu:DK53_2347
ko:K00052	babu:DK53_2348
ko:K10778	babu:DK53_2349
ko:K00133	babu:DK53_2351
ko:K01704	babu:DK53_2355
ko:K01644	babu:DK53_2356
ko:K01998	babu:DK53_3138
ko:K01997	babu:DK53_3139
ko:K01997	babu:DK53_3140
ko:K01999	babu:DK53_3141
ko:K16087	babu:DK53_3143
ko:K02050	babu:DK53_3145
ko:K02049	babu:DK53_3146
ko:K10112	babu:DK53_3151
ko:K02025	babu:DK53_3152
ko:K02026	babu:DK53_3153
ko:K02027	babu:DK53_3154
ko:K03710	babu:DK53_3155
ko:K07090	babu:DK53_3156
ko:K01996	babu:DK53_3158
ko:K01995	babu:DK53_3159
ko:K01998	babu:DK53_3159
ko:K01997	babu:DK53_3160
ko:K01999	babu:DK53_3161
ko:K07025	babu:DK53_3167
ko:K01826	babu:DK53_3173
ko:K00151	babu:DK53_3174
ko:K02299	babu:DK53_61
ko:K02300	babu:DK53_62
ko:K07278	babu:DK53_64
ko:K09800	babu:DK53_65
ko:K01759	babu:DK53_71
ko:K03593	babu:DK53_72
ko:K01835	babu:DK53_73
ko:K06889	babu:DK53_75
ko:K16165	babu:DK53_77
ko:K11068	babu:DK53_82
ko:K14162	babu:DK53_83
ko:K14161	babu:DK53_84
ko:K14160	babu:DK53_85
ko:K01940	babu:DK53_88
ko:K06941	babu:DK53_91
ko:K01724	babu:DK53_95
ko:K01104	babu:DK53_98
ko:K01975	babu:DK53_97
ko:K10804	babu:DK53_99
ko:K02003	babu:DK53_100
ko:K02004	babu:DK53_101
ko:K06890	babu:DK53_102
ko:K03823	babu:DK53_104
ko:K01681	babu:DK53_107
ko:K02193	babu:DK53_108
ko:K02194	babu:DK53_109
ko:K02195	babu:DK53_110
ko:K02196	babu:DK53_111
ko:K02199	babu:DK53_112
ko:K01687	babu:DK53_113
ko:K06076	babu:DK53_937
ko:K02030	babu:DK53_941
ko:K03753	babu:DK53_942
ko:K03752	babu:DK53_943
ko:K03639	babu:DK53_944
ko:K01676	babu:DK53_947
ko:K16079	babu:DK53_963
ko:K16079	babu:DK53_964
ko:K09803	babu:DK53_967
ko:K00773	babu:DK53_968
ko:K00537	babu:DK53_979
ko:K03642	babu:DK53_980
ko:K00643	babu:DK53_357
ko:K06518	babu:DK53_363
ko:K01918	babu:DK53_366
ko:K00606	babu:DK53_367
ko:K00528	babu:DK53_368
