ko:K01006	fts:F92_00730
ko:K02653	fts:F92_04560
ko:K03442	fts:F92_09715
ko:K00241	fts:F92_09905
ko:K01977	fts:F92_r11016
ko:K01977	fts:F92_r11020
ko:K01977	fts:F92_r11018
ko:K14227	fts:F92_t10932
ko:K14227	fts:F92_t10966
ko:K14227	fts:F92_t10950
ko:K14218	fts:F92_t10934
ko:K14218	fts:F92_t10952
ko:K14218	fts:F92_t10968
ko:K01980	fts:F92_r11022
ko:K01980	fts:F92_r11026
ko:K01980	fts:F92_r11024
ko:K01985	fts:F92_r11008
ko:K01985	fts:F92_r11010
ko:K01985	fts:F92_r11014
ko:K14223	fts:F92_t10936
ko:K14224	fts:F92_t10938
ko:K14225	fts:F92_t10940
ko:K14225	fts:F92_t10960
ko:K14225	fts:F92_t10996
ko:K14219	fts:F92_t10942
ko:K14233	fts:F92_t10944
ko:K14233	fts:F92_t10946
ko:K14233	fts:F92_t10972
ko:K14237	fts:F92_t10948
ko:K14237	fts:F92_t10986
ko:K01985	fts:F92_r11012
ko:K14230	fts:F92_t10954
ko:K14228	fts:F92_t10956
ko:K14228	fts:F92_t10964
ko:K14228	fts:F92_t10974
ko:K14220	fts:F92_t10958
ko:K14222	fts:F92_t10962
ko:K14237	fts:F92_t10970
ko:K14226	fts:F92_t10976
ko:K14219	fts:F92_t10978
ko:K14232	fts:F92_t10980
ko:K14231	fts:F92_t10982
ko:K14236	fts:F92_t10998
ko:K14230	fts:F92_t11002
ko:K14221	fts:F92_t11004
ko:K14228	fts:F92_t11000
ko:K02073	fts:F92_04610
ko:K02072	fts:F92_04610
ko:K03565	fts:F92_00070
ko:K00925	fts:F92_00080
ko:K00283	fts:F92_02605
ko:K00014	fts:F92_02610
ko:K00975	fts:F92_02630
ko:K00703	fts:F92_02635
ko:K00688	fts:F92_02640
ko:K01878	fts:F92_02655
ko:K01928	fts:F92_02660
ko:K01929	fts:F92_02670
ko:K00133	fts:F92_02680
ko:K12524	fts:F92_02685
ko:K00872	fts:F92_02690
ko:K01733	fts:F92_02695
ko:K01611	fts:F92_02705
ko:K00797	fts:F92_02710
ko:K10536	fts:F92_02725
ko:K12251	fts:F92_02750
ko:K03269	fts:F92_02755
ko:K00762	fts:F92_02765
ko:K02558	fts:F92_02770
ko:K03218	fts:F92_02775
ko:K02066	fts:F92_02815
ko:K02065	fts:F92_02820
ko:K03608	fts:F92_02825
ko:K03609	fts:F92_02830
ko:K03610	fts:F92_02835
ko:K02913	fts:F92_02840
ko:K02902	fts:F92_02845
ko:K03655	fts:F92_02855
ko:K01676	fts:F92_02860
ko:K07461	fts:F92_02880
ko:K03648	fts:F92_02890
ko:K02469	fts:F92_02915
ko:K00099	fts:F92_02920
ko:K03798	fts:F92_08155
ko:K03701	fts:F92_08185
ko:K03624	fts:F92_08190
ko:K08084	fts:F92_08195
ko:K01810	fts:F92_08200
ko:K01255	fts:F92_08215
ko:K07091	fts:F92_08220
ko:K11720	fts:F92_08225
ko:K06169	fts:F92_08250
ko:K00757	fts:F92_08255
ko:K15633	fts:F92_08270
ko:K01875	fts:F92_08275
ko:K00847	fts:F92_08280
ko:K11103	fts:F92_08305
ko:K03321	fts:F92_08315
ko:K01129	fts:F92_08330
ko:K03782	fts:F92_08335
ko:K07259	fts:F92_08365
ko:K02445	fts:F92_08370
ko:K01126	fts:F92_08375
ko:K01993	fts:F92_08380
ko:K00761	fts:F92_08420
ko:K07277	fts:F92_02925
ko:K06142	fts:F92_02930
ko:K02536	fts:F92_02935
ko:K02372	fts:F92_02940
ko:K00677	fts:F92_02945
ko:K00748	fts:F92_02950
ko:K01207	fts:F92_02965
ko:K01004	fts:F92_02975
ko:K00795	fts:F92_02980
ko:K02527	fts:F92_02985
ko:K00286	fts:F92_02995
ko:K03100	fts:F92_03015
ko:K03685	fts:F92_03020
ko:K12573	fts:F92_03030
ko:K00574	fts:F92_03055
ko:K07337	fts:F92_03115
ko:K09859	fts:F92_03130
ko:K09794	fts:F92_03165
ko:K00031	fts:F92_03210
ko:K03578	fts:F92_03220
ko:K13012	fts:F92_03235
ko:K02474	fts:F92_03250
ko:K02473	fts:F92_03255
ko:K01953	fts:F92_03275
ko:K00060	fts:F92_08435
ko:K00991	fts:F92_08445
ko:K05589	fts:F92_08450
ko:K01689	fts:F92_08455
ko:K03811	fts:F92_08465
ko:K03215	fts:F92_08480
ko:K03060	fts:F92_08490
ko:K00876	fts:F92_08495
ko:K01627	fts:F92_08500
ko:K15724	fts:F92_08505
ko:K00962	fts:F92_08510
ko:K02956	fts:F92_08515
ko:K03587	fts:F92_08520
ko:K03586	fts:F92_08525
ko:K03438	fts:F92_08530
ko:K08681	fts:F92_08555
ko:K06215	fts:F92_08560
ko:K02470	fts:F92_08565
ko:K05539	fts:F92_08575
ko:K01903	fts:F92_08600
ko:K01902	fts:F92_08605
ko:K01091	fts:F92_08695
ko:K00384	fts:F92_08705
ko:K03572	fts:F92_08730
ko:K06949	fts:F92_08750
ko:K00973	fts:F92_03300
ko:K03628	fts:F92_03330
ko:K03671	fts:F92_03335
ko:K01524	fts:F92_03340
ko:K07478	fts:F92_03360
ko:K03040	fts:F92_03365
ko:K03594	fts:F92_03370
ko:K03424	fts:F92_03385
ko:K00858	fts:F92_03415
ko:K03439	fts:F92_03425
ko:K07090	fts:F92_03490
ko:K07394	fts:F92_03495
ko:K09160	fts:F92_03500
ko:K03625	fts:F92_03515
ko:K14287	fts:F92_03540
ko:K01881	fts:F92_03550
ko:K02426	fts:F92_03580
ko:K11073	fts:F92_08760
ko:K07462	fts:F92_08775
ko:K03524	fts:F92_08780
ko:K04568	fts:F92_08785
ko:K16052	fts:F92_08790
ko:K01961	fts:F92_08810
ko:K02160	fts:F92_08815
ko:K03786	fts:F92_08820
ko:K02528	fts:F92_08830
ko:K03771	fts:F92_08835
ko:K04744	fts:F92_08840
ko:K01887	fts:F92_08845
ko:K03216	fts:F92_08860
ko:K01698	fts:F92_08865
ko:K07574	fts:F92_08870
ko:K02341	fts:F92_08875
ko:K03599	fts:F92_08885
ko:K03588	fts:F92_08925
ko:K01925	fts:F92_08930
ko:K01000	fts:F92_08935
ko:K01610	fts:F92_08940
ko:K01886	fts:F92_08945
ko:K03305	fts:F92_08960
ko:K15738	fts:F92_08965
ko:K04754	fts:F92_09065
ko:K04758	fts:F92_03610
ko:K03583	fts:F92_03640
ko:K03582	fts:F92_03655
ko:K03581	fts:F92_03660
ko:K03525	fts:F92_03665
ko:K01579	fts:F92_03670
ko:K01918	fts:F92_03675
ko:K00606	fts:F92_03680
ko:K01972	fts:F92_03690
ko:K11074	fts:F92_03710
ko:K11075	fts:F92_03715
ko:K11076	fts:F92_03720
ko:K03543	fts:F92_03765
ko:K03446	fts:F92_03770
ko:K09761	fts:F92_03795
ko:K02065	fts:F92_03815
ko:K02066	fts:F92_03820
ko:K06180	fts:F92_03830
ko:K05807	fts:F92_03835
ko:K00600	fts:F92_03855
ko:K09889	fts:F92_03860
ko:K01442	fts:F92_03900
ko:K04075	fts:F92_03915
ko:K00864	fts:F92_09115
ko:K15581	fts:F92_09150
ko:K03657	fts:F92_09175
ko:K03110	fts:F92_09180
ko:K02837	fts:F92_09190
ko:K00943	fts:F92_09195
ko:K11535	fts:F92_09200
ko:K01839	fts:F92_09215
ko:K03525	fts:F92_09220
ko:K00912	fts:F92_09230
ko:K03611	fts:F92_09250
ko:K01883	fts:F92_09320
ko:K07320	fts:F92_09325
ko:K07552	fts:F92_09330
ko:K02672	fts:F92_09355
ko:K13292	fts:F92_03930
ko:K08300	fts:F92_03935
ko:K04487	fts:F92_03945
ko:K03584	fts:F92_03955
ko:K03975	fts:F92_03960
ko:K03975	fts:F92_03965
ko:K05527	fts:F92_03970
ko:K09895	fts:F92_03980
ko:K03185	fts:F92_03985
ko:K07568	fts:F92_04000
ko:K09125	fts:F92_04010
ko:K01807	fts:F92_04040
ko:K03495	fts:F92_04055
ko:K01141	fts:F92_04085
ko:K03702	fts:F92_04090
ko:K03601	fts:F92_04150
ko:K14058	fts:F92_04180
ko:K03664	fts:F92_04185
ko:K09801	fts:F92_04195
ko:K04754	fts:F92_04205
ko:K06207	fts:F92_04220
ko:K01154	fts:F92_04275
ko:K01154	fts:F92_04280
ko:K07018	fts:F92_09430
ko:K11733	fts:F92_09435
ko:K03466	fts:F92_09445
ko:K03634	fts:F92_09450
ko:K03607	fts:F92_09475
ko:K01153	fts:F92_09485
ko:K04077	fts:F92_09500
ko:K04078	fts:F92_09505
ko:K09861	fts:F92_09520
ko:K00783	fts:F92_09535
ko:K02493	fts:F92_09540
ko:K02835	fts:F92_09545
ko:K02492	fts:F92_09550
ko:K02622	fts:F92_09570
ko:K03806	fts:F92_09575
ko:K08311	fts:F92_09585
ko:K02884	fts:F92_09615
ko:K00554	fts:F92_09620
ko:K02860	fts:F92_09625
ko:K02959	fts:F92_09630
ko:K00789	fts:F92_09635
ko:K03046	fts:F92_09655
ko:K03043	fts:F92_09660
ko:K02935	fts:F92_09670
ko:K02864	fts:F92_09675
ko:K14540	fts:F92_04325
ko:K01443	fts:F92_04330
ko:K00812	fts:F92_04345
ko:K02666	fts:F92_04405
ko:K00891	fts:F92_04410
ko:K01735	fts:F92_04415
ko:K09159	fts:F92_04425
ko:K13821	fts:F92_04430
ko:K13038	fts:F92_04445
ko:K01772	fts:F92_04530
ko:K02652	fts:F92_04565
ko:K01126	fts:F92_04570
ko:K03802	fts:F92_04580
ko:K01770	fts:F92_04590
ko:K02071	fts:F92_04615
ko:K08591	fts:F92_04620
ko:K00773	fts:F92_04640
ko:K03210	fts:F92_04675
ko:K03072	fts:F92_04680
ko:K03074	fts:F92_04685
ko:K02863	fts:F92_09680
ko:K02867	fts:F92_09685
ko:K02601	fts:F92_09690
ko:K03073	fts:F92_09695
ko:K02358	fts:F92_09700
ko:K02440	fts:F92_09725
ko:K00111	fts:F92_09730
ko:K07071	fts:F92_09775
ko:K00425	fts:F92_09785
ko:K00426	fts:F92_09790
ko:K06955	fts:F92_09810
ko:K02669	fts:F92_09815
ko:K02669	fts:F92_09820
ko:K01681	fts:F92_09825
ko:K07223	fts:F92_09830
ko:K03075	fts:F92_09860
ko:K01803	fts:F92_09865
ko:K03431	fts:F92_09870
ko:K00759	fts:F92_09875
ko:K00658	fts:F92_09880
ko:K00164	fts:F92_09885
ko:K00240	fts:F92_09890
ko:K00239	fts:F92_09895
ko:K00242	fts:F92_09900
ko:K01647	fts:F92_09910
ko:K08218	fts:F92_09915
ko:K04564	fts:F92_09925
ko:K07390	fts:F92_09930
ko:K02114	fts:F92_09940
ko:K02112	fts:F92_09945
ko:K02115	fts:F92_09950
ko:K02111	fts:F92_09955
ko:K03089	fts:F92_04695
ko:K00800	fts:F92_04700
ko:K01673	fts:F92_04720
ko:K06956	fts:F92_04755
ko:K00820	fts:F92_04760
ko:K05810	fts:F92_04840
ko:K01173	fts:F92_04850
ko:K03820	fts:F92_04875
ko:K06189	fts:F92_04880
ko:K07042	fts:F92_04885
ko:K06168	fts:F92_04895
ko:K03545	fts:F92_04920
ko:K01358	fts:F92_04925
ko:K03544	fts:F92_04930
ko:K01338	fts:F92_04935
ko:K03530	fts:F92_04940
ko:K03770	fts:F92_04945
ko:K00791	fts:F92_04950
ko:K03666	fts:F92_04955
ko:K03665	fts:F92_04960
ko:K04088	fts:F92_04980
ko:K04087	fts:F92_04985
ko:K03978	fts:F92_04995
ko:K01733	fts:F92_05000
ko:K01653	fts:F92_05040
ko:K00053	fts:F92_05045
ko:K03723	fts:F92_05050
ko:K02113	fts:F92_09960
ko:K02109	fts:F92_09965
ko:K02110	fts:F92_09970
ko:K02108	fts:F92_09975
ko:K06916	fts:F92_09995
ko:K01892	fts:F92_10005
ko:K02834	fts:F92_10010
ko:K02519	fts:F92_10015
ko:K02600	fts:F92_10020
ko:K09748	fts:F92_10025
ko:K01599	fts:F92_10030
ko:K00343	fts:F92_10065
ko:K00342	fts:F92_10070
ko:K00341	fts:F92_10075
ko:K00340	fts:F92_10080
ko:K00339	fts:F92_10085
ko:K00338	fts:F92_10090
ko:K00337	fts:F92_10095
ko:K00334	fts:F92_10110
ko:K00333	fts:F92_10115
ko:K00332	fts:F92_10120
ko:K00331	fts:F92_10125
ko:K00330	fts:F92_10130
ko:K01586	fts:F92_10150
ko:K02434	fts:F92_10180
ko:K02435	fts:F92_10190
ko:K01756	fts:F92_10225
ko:K10773	fts:F92_05075
ko:K03675	fts:F92_05085
ko:K03305	fts:F92_05090
ko:K03305	fts:F92_05095
ko:K02217	fts:F92_05100
ko:K03644	fts:F92_05105
ko:K01159	fts:F92_05120
ko:K03550	fts:F92_05130
ko:K09760	fts:F92_05135
ko:K01590	fts:F92_05160
ko:K03652	fts:F92_05170
ko:K03811	fts:F92_05180
ko:K06987	fts:F92_05220
ko:K00948	fts:F92_05225
ko:K02897	fts:F92_05230
ko:K06942	fts:F92_05255
ko:K01056	fts:F92_05260
ko:K02654	fts:F92_05275
ko:K00322	fts:F92_05280
ko:K10716	fts:F92_05285
ko:K03305	fts:F92_05295
ko:K01419	fts:F92_05310
ko:K01866	fts:F92_05330
ko:K08325	fts:F92_05375
ko:K02687	fts:F92_05380
ko:K01952	fts:F92_10275
ko:K00764	fts:F92_10280
ko:K06133	fts:F92_10300
ko:K12340	fts:F92_10305
ko:K00573	fts:F92_10310
ko:K08303	fts:F92_10315
ko:K03979	fts:F92_10355
ko:K07667	fts:F92_10380
ko:K07646	fts:F92_10385
ko:K01548	fts:F92_10400
ko:K01547	fts:F92_10405
ko:K01547	fts:F92_10410
ko:K01546	fts:F92_10415
ko:K00052	fts:F92_10440
ko:K01704	fts:F92_10450
ko:K01703	fts:F92_10455
ko:K03098	fts:F92_10495
ko:K02340	fts:F92_10500
ko:K01915	fts:F92_10505
ko:K01425	fts:F92_10510
ko:K04567	fts:F92_10530
ko:K02836	fts:F92_10535
ko:K02343	fts:F92_10540
ko:K02535	fts:F92_10545
ko:K03531	fts:F92_10550
ko:K03590	fts:F92_10555
ko:K03589	fts:F92_10560
ko:K01921	fts:F92_10565
ko:K13788	fts:F92_00085
ko:K01876	fts:F92_00115
ko:K03837	fts:F92_00150
ko:K00609	fts:F92_00170
ko:K01955	fts:F92_00175
ko:K01956	fts:F92_00180
ko:K01465	fts:F92_00195
ko:K09941	fts:F92_00215
ko:K01591	fts:F92_00265
ko:K07560	fts:F92_00285
ko:K01193	fts:F92_00300
ko:K03834	fts:F92_00345
ko:K03501	fts:F92_00350
ko:K06997	fts:F92_00355
ko:K06186	fts:F92_00395
ko:K02968	fts:F92_00400
ko:K03596	fts:F92_00405
ko:K00566	fts:F92_00410
ko:K01462	fts:F92_00420
ko:K00794	fts:F92_00425
ko:K02346	fts:F92_05415
ko:K06158	fts:F92_05425
ko:K00024	fts:F92_05450
ko:K06134	fts:F92_05460
ko:K06193	fts:F92_05520
ko:K04761	fts:F92_05605
ko:K00945	fts:F92_05620
ko:K00831	fts:F92_05625
ko:K00228	fts:F92_05650
ko:K02990	fts:F92_05665
ko:K02963	fts:F92_05670
ko:K02939	fts:F92_05675
ko:K06941	fts:F92_05685
ko:K02656	fts:F92_05690
ko:K06178	fts:F92_05695
ko:K03789	fts:F92_05705
ko:K00860	fts:F92_05745
ko:K02523	fts:F92_05770
ko:K03773	fts:F92_05775
ko:K14058	fts:F92_05780
ko:K07566	fts:F92_10590
ko:K02221	fts:F92_10645
ko:K00602	fts:F92_10685
ko:K01939	fts:F92_10690
ko:K00760	fts:F92_10695
ko:K06077	fts:F92_10740
ko:K03809	fts:F92_10745
ko:K04066	fts:F92_10765
ko:K06895	fts:F92_10815
ko:K06895	fts:F92_10820
ko:K01256	fts:F92_10855
ko:K13993	fts:F92_10860
ko:K13498	fts:F92_10865
ko:K00766	fts:F92_10895
ko:K01657	fts:F92_10910
ko:K03720	fts:F92_10915
ko:K14652	fts:F92_00430
ko:K00793	fts:F92_00435
ko:K11752	fts:F92_00440
ko:K12262	fts:F92_00465
ko:K03313	fts:F92_00480
ko:K00655	fts:F92_00490
ko:K00655	fts:F92_00495
ko:K08289	fts:F92_00515
ko:K03695	fts:F92_00525
ko:K01695	fts:F92_00545
ko:K01696	fts:F92_00550
ko:K01299	fts:F92_00555
ko:K03281	fts:F92_00560
ko:K03811	fts:F92_00580
ko:K11901	fts:F92_00610
ko:K11900	fts:F92_00615
ko:K01649	fts:F92_00715
ko:K01649	fts:F92_00720
ko:K00826	fts:F92_00725
ko:K04759	fts:F92_00735
ko:K07107	fts:F92_05785
ko:K07259	fts:F92_05795
ko:K02970	fts:F92_05800
ko:K09117	fts:F92_05805
ko:K03086	fts:F92_05815
ko:K03885	fts:F92_05820
ko:K15922	fts:F92_05835
ko:K03801	fts:F92_05850
ko:K09158	fts:F92_05855
ko:K03270	fts:F92_05870
ko:K11719	fts:F92_05875
ko:K06861	fts:F92_05885
ko:K06173	fts:F92_05900
ko:K01951	fts:F92_05915
ko:K03551	fts:F92_05950
ko:K07727	fts:F92_05970
ko:K03305	fts:F92_05990
ko:K01442	fts:F92_06005
ko:K03437	fts:F92_06010
ko:K12267	fts:F92_06030
ko:K09710	fts:F92_06065
ko:K01872	fts:F92_06100
ko:K01255	fts:F92_06110
ko:K01147	fts:F92_00770
ko:K06999	fts:F92_00775
ko:K01749	fts:F92_00780
ko:K06199	fts:F92_00785
ko:K02494	fts:F92_00835
ko:K00919	fts:F92_00840
ko:K12262	fts:F92_00865
ko:K03306	fts:F92_00875
ko:K07220	fts:F92_00880
ko:K01114	fts:F92_00885
ko:K07160	fts:F92_00895
ko:K07015	fts:F92_00945
ko:K07056	fts:F92_00960
ko:K01924	fts:F92_00965
ko:K00014	fts:F92_00970
ko:K02914	fts:F92_00980
ko:K03536	fts:F92_00985
ko:K08998	fts:F92_00990
ko:K03217	fts:F92_00995
ko:K02517	fts:F92_01000
ko:K02517	fts:F92_01005
ko:K02655	fts:F92_01010
ko:K02356	fts:F92_01015
ko:K13288	fts:F92_01020
ko:K01713	fts:F92_01045
ko:K06980	fts:F92_06150
ko:K03656	fts:F92_06155
ko:K00243	fts:F92_06160
ko:K07146	fts:F92_06165
ko:K03554	fts:F92_06170
ko:K07154	fts:F92_06210
ko:K03500	fts:F92_06255
ko:K03500	fts:F92_06260
ko:K06141	fts:F92_06275
ko:K09458	fts:F92_06290
ko:K02078	fts:F92_06295
ko:K00645	fts:F92_06305
ko:K00648	fts:F92_06310
ko:K03621	fts:F92_06315
ko:K02911	fts:F92_06320
ko:K07040	fts:F92_06325
ko:K00615	fts:F92_06330
ko:K00134	fts:F92_06335
ko:K00927	fts:F92_06340
ko:K00873	fts:F92_06345
ko:K01624	fts:F92_06350
ko:K01194	fts:F92_06355
ko:K01194	fts:F92_06360
ko:K11901	fts:F92_06395
ko:K11900	fts:F92_06400
ko:K00426	fts:F92_01055
ko:K00425	fts:F92_01060
ko:K02297	fts:F92_01070
ko:K02298	fts:F92_01075
ko:K02299	fts:F92_01080
ko:K02300	fts:F92_01085
ko:K00868	fts:F92_01110
ko:K03924	fts:F92_01120
ko:K01304	fts:F92_01155
ko:K02339	fts:F92_01165
ko:K01873	fts:F92_01170
ko:K10679	fts:F92_01195
ko:K02967	fts:F92_01245
ko:K02357	fts:F92_01250
ko:K09903	fts:F92_01255
ko:K02838	fts:F92_01260
ko:K00806	fts:F92_01265
ko:K00981	fts:F92_01270
ko:K00995	fts:F92_01280
ko:K02950	fts:F92_01285
ko:K02992	fts:F92_01290
ko:K02355	fts:F92_01295
ko:K02946	fts:F92_01300
ko:K02906	fts:F92_01305
ko:K02926	fts:F92_01310
ko:K02892	fts:F92_01315
ko:K02886	fts:F92_01320
ko:K02965	fts:F92_01325
ko:K02890	fts:F92_01330
ko:K02982	fts:F92_01335
ko:K02878	fts:F92_01340
ko:K02904	fts:F92_01345
ko:K02961	fts:F92_01350
ko:K02874	fts:F92_01355
ko:K02895	fts:F92_01360
ko:K02931	fts:F92_01365
ko:K01697	fts:F92_06485
ko:K01442	fts:F92_06490
ko:K03650	fts:F92_06510
ko:K05808	fts:F92_06525
ko:K03470	fts:F92_06540
ko:K03600	fts:F92_06550
ko:K03599	fts:F92_06555
ko:K02996	fts:F92_06560
ko:K02871	fts:F92_06565
ko:K08304	fts:F92_06575
ko:K03687	fts:F92_06580
ko:K04043	fts:F92_06585
ko:K03686	fts:F92_06590
ko:K01889	fts:F92_06625
ko:K01890	fts:F92_06630
ko:K09823	fts:F92_06635
ko:K06131	fts:F92_06655
ko:K06131	fts:F92_06660
ko:K01494	fts:F92_06685
ko:K16053	fts:F92_06690
ko:K03643	fts:F92_06705
ko:K01869	fts:F92_06710
ko:K02954	fts:F92_01370
ko:K02994	fts:F92_01375
ko:K02933	fts:F92_01380
ko:K02881	fts:F92_01385
ko:K02988	fts:F92_01390
ko:K02907	fts:F92_01395
ko:K02876	fts:F92_01400
ko:K03076	fts:F92_01405
ko:K02919	fts:F92_01410
ko:K02952	fts:F92_01415
ko:K02948	fts:F92_01420
ko:K02986	fts:F92_01425
ko:K03040	fts:F92_01430
ko:K02879	fts:F92_01435
ko:K04079	fts:F92_01440
ko:K00262	fts:F92_01455
ko:K01586	fts:F92_01470
ko:K05516	fts:F92_01520
ko:K03834	fts:F92_01530
ko:K15984	fts:F92_01560
ko:K03733	fts:F92_01565
ko:K03071	fts:F92_01585
ko:K03555	fts:F92_01590
ko:K01962	fts:F92_01595
ko:K07106	fts:F92_01615
ko:K01867	fts:F92_01650
ko:K07447	fts:F92_06735
ko:K07735	fts:F92_06740
ko:K02205	fts:F92_06775
ko:K09015	fts:F92_06820
ko:K09013	fts:F92_06825
ko:K09014	fts:F92_06830
ko:K02518	fts:F92_06860
ko:K07090	fts:F92_06865
ko:K03106	fts:F92_06875
ko:K01626	fts:F92_06880
ko:K06987	fts:F92_06900
ko:K01142	fts:F92_06905
ko:K03305	fts:F92_06940
ko:K11927	fts:F92_06945
ko:K01495	fts:F92_06950
ko:K01633	fts:F92_07015
ko:K13941	fts:F92_07020
ko:K00833	fts:F92_07050
ko:K01012	fts:F92_07055
ko:K02169	fts:F92_07065
ko:K01935	fts:F92_07070
ko:K03524	fts:F92_07075
ko:K01574	fts:F92_07090
ko:K01207	fts:F92_07110
ko:K01845	fts:F92_07115
ko:K01920	fts:F92_07120
ko:K00604	fts:F92_07125
ko:K00859	fts:F92_01655
ko:K00163	fts:F92_01665
ko:K00627	fts:F92_01670
ko:K00382	fts:F92_01675
ko:K06901	fts:F92_01715
ko:K09758	fts:F92_01720
ko:K04096	fts:F92_01745
ko:K03774	fts:F92_01760
ko:K03527	fts:F92_01765
ko:K06208	fts:F92_01770
ko:K03562	fts:F92_01790
ko:K03641	fts:F92_01805
ko:K03640	fts:F92_01815
ko:K14441	fts:F92_01820
ko:K01669	fts:F92_01845
ko:K01669	fts:F92_01850
ko:K06876	fts:F92_01855
ko:K03453	fts:F92_01865
ko:K03179	fts:F92_01920
ko:K03181	fts:F92_01925
ko:K00989	fts:F92_01930
ko:K03799	fts:F92_01950
ko:K03744	fts:F92_01955
ko:K12297	fts:F92_07135
ko:K07007	fts:F92_07165
ko:K02909	fts:F92_07225
ko:K01919	fts:F92_07230
ko:K03980	fts:F92_07235
ko:K06925	fts:F92_07245
ko:K11754	fts:F92_07250
ko:K01963	fts:F92_07255
ko:K00940	fts:F92_07260
ko:K01937	fts:F92_07265
ko:K00954	fts:F92_07360
ko:K11717	fts:F92_07375
ko:K01752	fts:F92_07380
ko:K01775	fts:F92_07405
ko:K00057	fts:F92_02015
ko:K04485	fts:F92_02025
ko:K01736	fts:F92_02040
ko:K00812	fts:F92_02090
ko:K03631	fts:F92_02100
ko:K01491	fts:F92_02135
ko:K01933	fts:F92_02140
ko:K11175	fts:F92_02150
ko:K01588	fts:F92_02155
ko:K01589	fts:F92_02160
ko:K06190	fts:F92_02175
ko:K03183	fts:F92_02190
ko:K03690	fts:F92_02195
ko:K03688	fts:F92_02200
ko:K02503	fts:F92_02205
