ko:K10563	vco:VC0395_A2602
ko:K01935	vco:VC0395_A0633
ko:K00574	vco:VC0395_A0640
ko:K01756	vco:VC0395_A0644
ko:K00566	vco:VC0395_A0646
ko:K00892	vco:VC0395_A0647
ko:K00765	vco:VC0395_A0702
ko:K00013	vco:VC0395_A0703
ko:K00817	vco:VC0395_A0704
ko:K01814	vco:VC0395_A0707
ko:K00031	vco:VC0395_A0711
ko:K00831	vco:VC0395_A0728
ko:K01876	vco:VC0395_A0735
ko:K00857	vco:VC0395_A0736
ko:K00766	vco:VC0395_A0794
ko:K00384	vco:VC0395_A0803
ko:K00027	vco:VC0395_A0809
ko:K01745	vco:VC0395_A0822
ko:K01712	vco:VC0395_A0823
ko:K01479	vco:VC0395_A0824
ko:K01468	vco:VC0395_A0825
ko:K00995	vco:VC0395_A0835
ko:K00569	vco:VC0395_A0849
ko:K01489	vco:VC0395_A0852
ko:K01141	vco:VC0395_A0855
ko:K00768	vco:VC0395_A0859
ko:K00568	vco:VC0395_A0876
ko:K01497	vco:VC0395_A0882
ko:K01893	vco:VC0395_A0915
ko:K01752	vco:VC0395_A0918
ko:K03417	vco:VC0395_A0952
ko:K00457	vco:VC0395_A0960
ko:K01800	vco:VC0395_A0964
ko:K01512	vco:VC0395_A0969
ko:K01299	vco:VC0395_A1024
ko:K01716	vco:VC0395_A1091
ko:K01256	vco:VC0395_A1102
ko:K01626	vco:VC0395_A1114
ko:K01575	vco:VC0395_A1191
ko:K01785	vco:VC0395_A1196
ko:K00849	vco:VC0395_A1197
ko:K00651	vco:VC0395_A1216
ko:K01387	vco:VC0395_A1256
ko:K01760	vco:VC0395_A1276
ko:K01246	vco:VC0395_A1277
ko:K00549	vco:VC0395_A1308
ko:K00703	vco:VC0395_A1329
ko:K00975	vco:VC0395_A1330
ko:K00800	vco:VC0395_A1334
ko:K00135	vco:VC0395_A1344
ko:K01639	vco:VC0395_A1374
ko:K01443	vco:VC0395_A1380
ko:K01186	vco:VC0395_A1381
ko:K01809	vco:VC0395_A1422
ko:K01142	vco:VC0395_A1451
ko:K00656	vco:VC0395_A1457
ko:K00979	vco:VC0395_A1466
ko:K00912	vco:VC0395_A1468
ko:K00259	vco:VC0395_A1495
ko:K01591	vco:VC0395_A1501
ko:K00945	vco:VC0395_A1506
ko:K01338	vco:VC0395_A1510
ko:K01358	vco:VC0395_A1512
ko:K01911	vco:VC0395_A1557
ko:K01661	vco:VC0395_A1559
ko:K01129	vco:VC0395_A1566
ko:K01897	vco:VC0395_A1570
ko:K01433	vco:VC0395_A1577
ko:K00219	vco:VC0395_A1578
ko:K01424	vco:VC0395_A1580
ko:K00134	vco:VC0395_A1586
ko:K00873	vco:VC0395_A1594
ko:K00943	vco:VC0395_A1602
ko:K00059	vco:VC0395_A1607
ko:K00645	vco:VC0395_A1608
ko:K00133	vco:VC0395_A1621
ko:K01887	vco:VC0395_A1661
ko:K00658	vco:VC0395_A1672
ko:K00164	vco:VC0395_A1673
ko:K01647	vco:VC0395_A1678
ko:K01835	vco:VC0395_A1681
ko:K01736	vco:VC0395_A1699
ko:K01439	vco:VC0395_A1734
ko:K01714	vco:VC0395_A1738
ko:K01627	vco:VC0395_A1752
ko:K00948	vco:VC0395_A1760
ko:K01885	vco:VC0395_A1806
ko:K00761	vco:VC0395_A1818
ko:K01933	vco:VC0395_A1819
ko:K00748	vco:VC0395_A1838
ko:K00677	vco:VC0395_A1839
ko:K00981	vco:VC0395_A1846
ko:K00806	vco:VC0395_A1847
ko:K01265	vco:VC0395_A1852
ko:K00990	vco:VC0395_A1853
ko:K00946	vco:VC0395_A1856
ko:K00147	vco:VC0395_A1863
ko:K00931	vco:VC0395_A1864
ko:K00769	vco:VC0395_A1867
ko:K01270	vco:VC0395_A1869
ko:K00077	vco:VC0395_A1894
ko:K00674	vco:VC0395_A1909
ko:K01190	vco:VC0395_A1917
ko:K01079	vco:VC0395_A1924
ko:K01839	vco:VC0395_A1927
ko:K00758	vco:VC0395_A1928
ko:K01619	vco:VC0395_A1929
ko:K01151	vco:VC0395_A1939
ko:K01733	vco:VC0395_A1941
ko:K00986	vco:VC0395_A1962
ko:K00215	vco:VC0395_A1970
ko:K01924	vco:VC0395_A1978
ko:K01925	vco:VC0395_A1981
ko:K01000	vco:VC0395_A1982
ko:K01929	vco:VC0395_A1983
ko:K01928	vco:VC0395_A1984
ko:K00382	vco:VC0395_A1988
ko:K00627	vco:VC0395_A1989
ko:K00767	vco:VC0395_A1998
ko:K00982	vco:VC0395_A2015
ko:K02344	vco:VC0395_A0187
ko:K00794	vco:VC0395_A1858
ko:K02778	vco:VC0395_A1599
ko:K02779	vco:VC0395_A1599
ko:K03841	vco:VC0395_A2122
ko:K02446	vco:VC0395_A2260
ko:K02238	vco:VC0395_A1470
ko:K09808	vco:VC0395_A1472
ko:K09810	vco:VC0395_A1473
ko:K09808	vco:VC0395_A1474
ko:K03885	vco:VC0395_A1480
ko:K07000	vco:VC0395_A1482
ko:K07337	vco:VC0395_A1484
ko:K09859	vco:VC0395_A1486
ko:K03406	vco:VC0395_A1488
ko:K03603	vco:VC0395_A1490
ko:K03314	vco:VC0395_A1491
ko:K03611	vco:VC0395_A1492
ko:K03466	vco:VC0395_A1493
ko:K03719	vco:VC0395_A1494
ko:K09898	vco:VC0395_A2189
ko:K06447	vco:VC0395_A2193
ko:K00673	vco:VC0395_A2194
ko:K07004	vco:VC0395_A2198
ko:K02666	vco:VC0395_A2207
ko:K02663	vco:VC0395_A2210
ko:K02662	vco:VC0395_A2211
ko:K04761	vco:VC0395_A2213
ko:K00382	vco:VC0395_A2215
ko:K00057	vco:VC0395_A2226
ko:K04568	vco:VC0395_A2229
ko:K00246	vco:VC0395_A2232
ko:K00247	vco:VC0395_A2233
ko:K04077	vco:VC0395_A2237
ko:K04078	vco:VC0395_A2238
ko:K01826	vco:VC0395_A2242
ko:K02553	vco:VC0395_A2245
ko:K02548	vco:VC0395_A2246
ko:K03406	vco:VC0395_0173
ko:K00154	vco:VC0395_0175
ko:K03756	vco:VC0395_0180
ko:K02858	vco:VC0395_0181
ko:K03406	vco:VC0395_0185
ko:K07118	vco:VC0395_0187
ko:K07407	vco:VC0395_A1295
ko:K07811	vco:VC0395_A1296
ko:K03532	vco:VC0395_A1297
ko:K02571	vco:VC0395_A1298
ko:K06190	vco:VC0395_A1304
ko:K09780	vco:VC0395_A1306
ko:K03576	vco:VC0395_A1309
ko:K07263	vco:VC0395_A1312
ko:K03632	vco:VC0395_A1317
ko:K03804	vco:VC0395_A1318
ko:K03633	vco:VC0395_A1319
ko:K06219	vco:VC0395_A1320
ko:K07772	vco:VC0395_A1322
ko:K03533	vco:VC0395_A1323
ko:K03604	vco:VC0395_A1324
ko:K07343	vco:VC0395_A1325
ko:K00684	vco:VC0395_A1336
ko:K03442	vco:VC0395_A1350
ko:K03808	vco:VC0395_A1351
ko:K09857	vco:VC0395_A1353
ko:K01153	vco:VC0395_A1363
ko:K01154	vco:VC0395_A1366
ko:K03427	vco:VC0395_A1367
ko:K01788	vco:VC0395_A1378
ko:K00265	vco:VC0395_A1952
ko:K00266	vco:VC0395_A1953
ko:K02227	vco:VC0395_A1958
ko:K07139	vco:VC0395_A1950
ko:K06858	vco:VC0395_A1959
ko:K07090	vco:VC0395_A1961
ko:K03070	vco:VC0395_A1972
ko:K03590	vco:VC0395_A1976
ko:K03589	vco:VC0395_A1977
ko:K03588	vco:VC0395_A1980
ko:K03587	vco:VC0395_A1985
ko:K03586	vco:VC0395_A1986
ko:K03438	vco:VC0395_A1987
ko:K00163	vco:VC0395_A1990
ko:K01119	vco:VC0395_A1992
ko:K03981	vco:VC0395_A1994
ko:K04763	vco:VC0395_A1995
ko:K03840	vco:VC0395_A1996
ko:K00965	vco:VC0395_A1198
ko:K03415	vco:VC0395_A1207
ko:K01689	vco:VC0395_A2025
ko:K01937	vco:VC0395_A2026
ko:K00951	vco:VC0395_A2029
ko:K00997	vco:VC0395_A2035
ko:K03100	vco:VC0395_A2040
ko:K00278	vco:VC0395_A2046
ko:K00058	vco:VC0395_A2057
ko:K01649	vco:VC0395_A2065
ko:K00052	vco:VC0395_A2066
ko:K01255	vco:VC0395_A2083
ko:K01873	vco:VC0395_A2085
ko:K00611	vco:VC0395_A2091
ko:K00655	vco:VC0395_A2095
ko:K00790	vco:VC0395_A2096
ko:K01507	vco:VC0395_A2123
ko:K07304	vco:VC0395_A2127
ko:K00860	vco:VC0395_A2135
ko:K01119	vco:VC0395_A2139
ko:K01939	vco:VC0395_A2180
ko:K00855	vco:VC0395_A2190
ko:K01867	vco:VC0395_A2200
ko:K01091	vco:VC0395_A2201
ko:K01783	vco:VC0395_A2202
ko:K01735	vco:VC0395_A2205
ko:K00891	vco:VC0395_A2206
ko:K01755	vco:VC0395_A2217
ko:K01940	vco:VC0395_A2218
ko:K00930	vco:VC0395_A2219
ko:K00145	vco:VC0395_A2220
ko:K01438	vco:VC0395_A2221
ko:K01595	vco:VC0395_A2222
ko:K00640	vco:VC0395_A2225
ko:K01803	vco:VC0395_A2243
ko:K01739	vco:VC0395_A2256
ko:K00297	vco:VC0395_A2258
ko:K00850	vco:VC0395_A2261
ko:K01744	vco:VC0395_A2270
ko:K01200	vco:VC0395_A2273
ko:K00942	vco:VC0395_A2280
ko:K01139	vco:VC0395_A2282
ko:K01610	vco:VC0395_A2310
ko:K01915	vco:VC0395_A2318
ko:K01488	vco:VC0395_A2323
ko:K01776	vco:VC0395_A2339
ko:K00557	vco:VC0395_A2367
ko:K01778	vco:VC0395_A2393
ko:K01586	vco:VC0395_A2394
ko:K01749	vco:VC0395_A2398
ko:K01719	vco:VC0395_A2399
ko:K01698	vco:VC0395_A2413
ko:K01356	vco:VC0395_A2423
ko:K00428	vco:VC0395_A2426
ko:K01262	vco:VC0395_A2447
ko:K00788	vco:VC0395_A2451
ko:K00014	vco:VC0395_A2464
ko:K00228	vco:VC0395_A2465
ko:K00604	vco:VC0395_A2474
ko:K00826	vco:VC0395_A2490
ko:K01687	vco:VC0395_A2491
ko:K01754	vco:VC0395_A2492
ko:K00835	vco:VC0395_A2500
ko:K00632	vco:VC0395_A2533
ko:K00053	vco:VC0395_A2550
ko:K00383	vco:VC0395_A2568
ko:K00681	vco:VC0395_A2574
ko:K00989	vco:VC0395_A2589
ko:K00762	vco:VC0395_A2590
ko:K01840	vco:VC0395_A2622
ko:K01711	vco:VC0395_A2623
ko:K01809	vco:VC0395_A2647
ko:K01945	vco:VC0395_A2652
ko:K01582	vco:VC0395_A2658
ko:K00851	vco:VC0395_A2665
ko:K01690	vco:VC0395_A2666
ko:K01895	vco:VC0395_A2691
ko:K01524	vco:VC0395_A2696
ko:K00998	vco:VC0395_A2714
ko:K00075	vco:VC0395_A2716
ko:K01599	vco:VC0395_A2734
ko:K01613	vco:VC0395_A2741
ko:K00885	vco:VC0395_A1379
ko:K03630	vco:VC0395_A1383
ko:K01669	vco:VC0395_A1410
ko:K02768	vco:VC0395_A1415
ko:K02769	vco:VC0395_A1418
ko:K02806	vco:VC0395_A1420
ko:K02768	vco:VC0395_A1421
ko:K02769	vco:VC0395_A1421
ko:K02770	vco:VC0395_A1421
ko:K07039	vco:VC0395_A1425
ko:K03517	vco:VC0395_A1426
ko:K03560	vco:VC0395_A1431
ko:K03562	vco:VC0395_A1432
ko:K07107	vco:VC0395_A1433
ko:K00426	vco:VC0395_A1434
ko:K00425	vco:VC0395_A1435
ko:K03768	vco:VC0395_A1440
ko:K09858	vco:VC0395_A1443
ko:K07090	vco:VC0395_A1447
ko:K03406	vco:VC0395_A1450
ko:K03406	vco:VC0395_A1459
ko:K09161	vco:VC0395_A1462
ko:K07180	vco:VC0395_A1463
ko:K09791	vco:VC0395_A1467
ko:K04088	vco:VC0395_A2760
ko:K02672	vco:VC0395_A0386
ko:K03610	vco:VC0395_A1545
ko:K01993	vco:VC0395_A1212
ko:K02656	vco:VC0395_A1217
ko:K07043	vco:VC0395_A1222
ko:K09941	vco:VC0395_A1226
ko:K00836	vco:VC0395_A1232
ko:K02004	vco:VC0395_A1235
ko:K02003	vco:VC0395_A1236
ko:K07552	vco:VC0395_A1240
ko:K06183	vco:VC0395_A1241
ko:K02897	vco:VC0395_A1246
ko:K07679	vco:VC0395_A1259
ko:K06213	vco:VC0395_A1260
ko:K03837	vco:VC0395_A1262
ko:K01993	vco:VC0395_A1263
ko:K06938	vco:VC0395_A1267
ko:K03668	vco:VC0395_A1268
ko:K05777	vco:VC0395_A1269
ko:K05778	vco:VC0395_A1270
ko:K05779	vco:VC0395_A1271
ko:K03308	vco:VC0395_A1274
ko:K06131	vco:VC0395_A1275
ko:K07286	vco:VC0395_A1887
ko:K03767	vco:VC0395_A1888
ko:K08218	vco:VC0395_A1889
ko:K07167	vco:VC0395_A1890
ko:K03088	vco:VC0395_A1891
ko:K07157	vco:VC0395_A1892
ko:K05517	vco:VC0395_A1893
ko:K03152	vco:VC0395_A1895
ko:K02426	vco:VC0395_A1897
ko:K08304	vco:VC0395_A1899
ko:K09918	vco:VC0395_A1908
ko:K07234	vco:VC0395_A1910
ko:K06878	vco:VC0395_A1914
ko:K02529	vco:VC0395_A1916
ko:K07240	vco:VC0395_A1918
ko:K02355	vco:VC0395_A1921
ko:K04485	vco:VC0395_A1922
ko:K07186	vco:VC0395_A1925
ko:K03784	vco:VC0395_A1926
ko:K03317	vco:VC0395_A1931
ko:K03424	vco:VC0395_A1932
ko:K09861	vco:VC0395_A1934
ko:K03310	vco:VC0395_A1935
ko:K06866	vco:VC0395_A1940
ko:K00872	vco:VC0395_A1942
ko:K02553	vco:VC0395_A1944
ko:K07773	vco:VC0395_A1947
ko:K06969	vco:VC0395_A0968
ko:K09972	vco:VC0395_A0972
ko:K09971	vco:VC0395_A0973
ko:K09970	vco:VC0395_A0974
ko:K09969	vco:VC0395_A0975
ko:K10026	vco:VC0395_A0978
ko:K06920	vco:VC0395_A0980
ko:K03578	vco:VC0395_A0997
ko:K04046	vco:VC0395_A0999
ko:K03800	vco:VC0395_A1000
ko:K01669	vco:VC0395_A1004
ko:K03406	vco:VC0395_A1006
ko:K03413	vco:VC0395_A1007
ko:K03407	vco:VC0395_A1009
ko:K03413	vco:VC0395_A1010
ko:K03412	vco:VC0395_A1013
ko:K03408	vco:VC0395_A1014
ko:K03406	vco:VC0395_A1015
ko:K03406	vco:VC0395_A1016
ko:K03406	vco:VC0395_A1017
ko:K03543	vco:VC0395_A1021
ko:K03446	vco:VC0395_A1022
ko:K03406	vco:VC0395_A1023
ko:K03310	vco:VC0395_A1032
ko:K03796	vco:VC0395_A1041
ko:K10773	vco:VC0395_A0532
ko:K03327	vco:VC0395_A1146
ko:K03832	vco:VC0395_A1150
ko:K03559	vco:VC0395_A1151
ko:K03561	vco:VC0395_A1152
ko:K03561	vco:VC0395_A1153
ko:K05813	vco:VC0395_A1155
ko:K05814	vco:VC0395_A1156
ko:K05815	vco:VC0395_A1157
ko:K05816	vco:VC0395_A1158
ko:K02444	vco:VC0395_A1159
ko:K01126	vco:VC0395_A1160
ko:K02529	vco:VC0395_A1164
ko:K00426	vco:VC0395_A1174
ko:K00425	vco:VC0395_A1175
ko:K01679	vco:VC0395_A1177
ko:K09922	vco:VC0395_A1178
ko:K09900	vco:VC0395_A1180
ko:K05577	vco:VC0395_A1184
ko:K09822	vco:VC0395_A1185
ko:K03781	vco:VC0395_A1188
ko:K01652	vco:VC0395_A1192
ko:K02200	vco:VC0395_A1638
ko:K02199	vco:VC0395_A1639
ko:K02198	vco:VC0395_A1640
ko:K02197	vco:VC0395_A1641
ko:K02196	vco:VC0395_A1642
ko:K02195	vco:VC0395_A1643
ko:K02194	vco:VC0395_A1644
ko:K03408	vco:VC0395_A1647
ko:K03408	vco:VC0395_A1648
ko:K03412	vco:VC0395_A1650
ko:K03407	vco:VC0395_A1651
ko:K03414	vco:VC0395_A1652
ko:K02405	vco:VC0395_A1654
ko:K08296	vco:VC0395_A1658
ko:K09907	vco:VC0395_A1659
ko:K04759	vco:VC0395_A1664
ko:K04758	vco:VC0395_A1665
ko:K09815	vco:VC0395_A1667
ko:K09817	vco:VC0395_A1668
ko:K09816	vco:VC0395_A1669
ko:K01903	vco:VC0395_A1671
ko:K00240	vco:VC0395_A1674
ko:K00242	vco:VC0395_A1676
ko:K00241	vco:VC0395_A1677
ko:K09977	vco:VC0395_A1680
ko:K03839	vco:VC0395_A1685
ko:K06518	vco:VC0395_A1687
ko:K03473	vco:VC0395_A1692
ko:K09906	vco:VC0395_A1697
ko:K07320	vco:VC0395_A1700
ko:K02421	vco:VC0395_A1703
ko:K02420	vco:VC0395_A1704
ko:K02419	vco:VC0395_A1705
ko:K02418	vco:VC0395_A1706
ko:K02417	vco:VC0395_A1708
ko:K02416	vco:VC0395_A1709
ko:K02415	vco:VC0395_A1710
ko:K02414	vco:VC0395_A1711
ko:K02413	vco:VC0395_A1713
ko:K02411	vco:VC0395_A1715
ko:K02410	vco:VC0395_A1716
ko:K02409	vco:VC0395_A1717
ko:K02408	vco:VC0395_A1718
ko:K06604	vco:VC0395_A1723
ko:K02407	vco:VC0395_A1724
ko:K06603	vco:VC0395_A1725
ko:K02406	vco:VC0395_A1726
ko:K02406	vco:VC0395_A1727
ko:K02406	vco:VC0395_A1728
ko:K07223	vco:VC0395_A1729
ko:K07287	vco:VC0395_A1737
ko:K03567	vco:VC0395_A1739
ko:K03564	vco:VC0395_A1740
ko:K03548	vco:VC0395_A1742
ko:K03809	vco:VC0395_A1746
ko:K09938	vco:VC0395_A1748
ko:K00348	vco:VC0395_A1882
ko:K05527	vco:VC0395_A1885
ko:K00791	vco:VC0395_A2757
ko:K01775	vco:VC0395_A2783
ko:K01810	vco:VC0395_A2785
ko:K00390	vco:VC0395_A2797
ko:K00548	vco:VC0395_A2808
ko:K00928	vco:VC0395_A2809
ko:K00963	vco:VC0395_A2813
ko:K01478	vco:VC0395_A2842
ko:K00287	vco:VC0395_A2858
ko:K01525	vco:VC0395_A2859
ko:K08992	vco:VC0395_A1503
ko:K03770	vco:VC0395_A1508
ko:K03544	vco:VC0395_A1511
ko:K00981	vco:VC0395_A1525
ko:K07107	vco:VC0395_A1527
ko:K07821	vco:VC0395_A1539
ko:K01183	vco:VC0395_A1540
ko:K03317	vco:VC0395_A1541
ko:K09902	vco:VC0395_A1544
ko:K03609	vco:VC0395_A1546
ko:K03608	vco:VC0395_A1547
ko:K09948	vco:VC0395_A1549
ko:K05782	vco:VC0395_A1556
ko:K08680	vco:VC0395_A1560
ko:K02552	vco:VC0395_A1562
ko:K09889	vco:VC0395_A2116
ko:K02062	vco:VC0395_A2117
ko:K02063	vco:VC0395_A2118
ko:K02064	vco:VC0395_A2119
ko:K02558	vco:VC0395_A2121
ko:K09800	vco:VC0395_A2125
ko:K07278	vco:VC0395_A2126
ko:K07109	vco:VC0395_A2128
ko:K02003	vco:VC0395_A2131
ko:K02004	vco:VC0395_A2132
ko:K02445	vco:VC0395_0001
ko:K03811	vco:VC0395_0005
ko:K02529	vco:VC0395_0006
ko:K06177	vco:VC0395_0035
ko:K03972	vco:VC0395_0039
ko:K03321	vco:VC0395_0062
ko:K02036	vco:VC0395_0066
ko:K02038	vco:VC0395_0067
ko:K02037	vco:VC0395_0068
ko:K03406	vco:VC0395_0070
ko:K03784	vco:VC0395_0083
ko:K06975	vco:VC0395_0090
ko:K03312	vco:VC0395_0092
ko:K02011	vco:VC0395_0626
ko:K02012	vco:VC0395_0625
ko:K08974	vco:VC0395_0094
ko:K07152	vco:VC0395_0096
ko:K01096	vco:VC0395_0099
ko:K09909	vco:VC0395_0107
ko:K07136	vco:VC0395_0111
ko:K03556	vco:VC0395_0120
ko:K03406	vco:VC0395_0122
ko:K00020	vco:VC0395_0123
ko:K03497	vco:VC0395_0131
ko:K02031	vco:VC0395_0142
ko:K02032	vco:VC0395_0142
ko:K02034	vco:VC0395_0143
ko:K02033	vco:VC0395_0144
ko:K02035	vco:VC0395_0145
ko:K03413	vco:VC0395_0147
ko:K03407	vco:VC0395_0148
ko:K03408	vco:VC0395_0149
ko:K03408	vco:VC0395_0150
ko:K03406	vco:VC0395_0151
ko:K00575	vco:VC0395_0152
ko:K03411	vco:VC0395_0153
ko:K03412	vco:VC0395_0154
ko:K03406	vco:VC0395_0155
ko:K09749	vco:VC0395_0158
ko:K03979	vco:VC0395_A2855
ko:K09950	vco:VC0395_A2133
ko:K05591	vco:VC0395_A2141
ko:K02348	vco:VC0395_A2142
ko:K03773	vco:VC0395_A2145
ko:K03040	vco:VC0395_A2149
ko:K02986	vco:VC0395_A2150
ko:K02948	vco:VC0395_A2151
ko:K02952	vco:VC0395_A2152
ko:K03076	vco:VC0395_A2154
ko:K02988	vco:VC0395_A2157
ko:K02881	vco:VC0395_A2158
ko:K02994	vco:VC0395_A2160
ko:K02954	vco:VC0395_A2161
ko:K02895	vco:VC0395_A2163
ko:K02874	vco:VC0395_A2164
ko:K02961	vco:VC0395_A2165
ko:K02886	vco:VC0395_A2171
ko:K02926	vco:VC0395_A2173
ko:K07014	vco:VC0395_A2178
ko:K07070	vco:VC0395_A2183
ko:K06158	vco:VC0395_A2186
ko:K07019	vco:VC0395_A2188
ko:K01682	vco:VC0395_A0133
ko:K07258	vco:VC0395_A0470
ko:K00244	vco:VC0395_A2230
ko:K00245	vco:VC0395_A2231
ko:K04069	vco:VC0395_A1460
ko:K00830	vco:VC0395_A2810
ko:K03687	vco:VC0395_A0381
ko:K03184	vco:VC0395_A0485
ko:K02572	vco:VC0395_0615
ko:K03113	vco:VC0395_0513
ko:K02337	vco:VC0395_A1836
ko:K02035	vco:VC0395_A0149
ko:K02033	vco:VC0395_A0148
ko:K07277	vco:VC0395_A1843
ko:K02535	vco:VC0395_A1974
ko:K02761	vco:VC0395_A0901
ko:K03273	vco:VC0395_A0430
ko:K10540	vco:VC0395_A0942
ko:K00405	vco:VC0395_A1052
ko:K10000	vco:VC0395_0701
ko:K09997	vco:VC0395_0700
ko:K02040	vco:VC0395_0069
ko:K02314	vco:VC0395_A2782
ko:K02916	vco:VC0395_0940
ko:K06204	vco:VC0395_A0127
ko:K02072	vco:VC0395_A0428
ko:K10541	vco:VC0395_A0945
ko:K04744	vco:VC0395_A2864
ko:K03723	vco:VC0395_A1476
ko:K00406	vco:VC0395_A1050
ko:K03092	vco:VC0395_A2109
ko:K03669	vco:VC0395_A0906
ko:K03670	vco:VC0395_A0907
ko:K03406	vco:VC0395_A0908
ko:K07182	vco:VC0395_A0910
ko:K03406	vco:VC0395_A0916
ko:K01737	vco:VC0395_A0917
ko:K03837	vco:VC0395_A0919
ko:K01676	vco:VC0395_A0922
ko:K06918	vco:VC0395_A0924
ko:K08990	vco:VC0395_A0925
ko:K03721	vco:VC0395_A0926
ko:K03790	vco:VC0395_A0927
ko:K01775	vco:VC0395_A0930
ko:K03406	vco:VC0395_A0931
ko:K03413	vco:VC0395_A0934
ko:K09824	vco:VC0395_A0935
ko:K07274	vco:VC0395_A0936
ko:K05952	vco:VC0395_A0940
ko:K07793	vco:VC0395_A0948
ko:K07794	vco:VC0395_A0949
ko:K07795	vco:VC0395_A0950
ko:K01659	vco:VC0395_A0953
ko:K01908	vco:VC0395_A0956
ko:K07058	vco:VC0395_A2314
ko:K06207	vco:VC0395_A2316
ko:K07708	vco:VC0395_A2320
ko:K07712	vco:VC0395_A2321
ko:K07154	vco:VC0395_A2351
ko:K06915	vco:VC0395_A2356
ko:K00322	vco:VC0395_A2370
ko:K03089	vco:VC0395_A2371
ko:K08316	vco:VC0395_A2375
ko:K08993	vco:VC0395_A2376
ko:K04047	vco:VC0395_A2381
ko:K05834	vco:VC0395_A2384
ko:K01048	vco:VC0395_A2385
ko:K03733	vco:VC0395_A2391
ko:K09921	vco:VC0395_A2392
ko:K06202	vco:VC0395_A2396
ko:K05851	vco:VC0395_A2397
ko:K02496	vco:VC0395_A2400
ko:K07091	vco:VC0395_A2082
ko:K00018	vco:VC0395_A2086
ko:K03580	vco:VC0395_A2088
ko:K07175	vco:VC0395_A2090
ko:K00609	vco:VC0395_A2092
ko:K09022	vco:VC0395_A2094
ko:K07122	vco:VC0395_A2098
ko:K07323	vco:VC0395_A2099
ko:K02067	vco:VC0395_A2100
ko:K02066	vco:VC0395_A2101
ko:K02065	vco:VC0395_A2102
ko:K03270	vco:VC0395_A2105
ko:K09774	vco:VC0395_A2107
ko:K06861	vco:VC0395_A2108
ko:K05808	vco:VC0395_A2110
ko:K02806	vco:VC0395_A2111
ko:K06958	vco:VC0395_A2112
ko:K08485	vco:VC0395_A2113
ko:K06213	vco:VC0395_A2114
ko:K03592	vco:VC0395_A2115
ko:K03303	vco:VC0395_0255
ko:K03974	vco:VC0395_A1284
