ko:K01893	tpc:TPECDC2_0609
ko:K01810	tpc:TPECDC2_0475
ko:K00925	tpc:TPECDC2_0476
ko:K01057	tpc:TPECDC2_0477
ko:K00036	tpc:TPECDC2_0478
ko:K09768	tpc:TPECDC2_0845
ko:K02887	tpc:TPECDC2_0848
ko:K02916	tpc:TPECDC2_0849
ko:K02520	tpc:TPECDC2_0850
ko:K13292	tpc:TPECDC2_0852
ko:K04562	tpc:TPECDC2_0853
ko:K00820	tpc:TPECDC2_0861
ko:K03773	tpc:TPECDC2_0862
ko:K04487	tpc:TPECDC2_0863
ko:K07391	tpc:TPECDC2_0866
ko:K02406	tpc:TPECDC2_0868
ko:K02406	tpc:TPECDC2_0870
ko:K01897	tpc:TPECDC2_0145
ko:K02063	tpc:TPECDC2_0143
ko:K02064	tpc:TPECDC2_0144
ko:K03075	tpc:TPECDC2_0536
ko:K01803	tpc:TPECDC2_0537
ko:K00927	tpc:TPECDC2_0538
ko:K03550	tpc:TPECDC2_0543
ko:K03527	tpc:TPECDC2_0547
ko:K03696	tpc:TPECDC2_0549
ko:K03650	tpc:TPECDC2_0550
ko:K01091	tpc:TPECDC2_0554
ko:K06959	tpc:TPECDC2_0924
ko:K03100	tpc:TPECDC2_0926
ko:K01928	tpc:TPECDC2_0933
ko:K07095	tpc:TPECDC2_0937
ko:K03737	tpc:TPECDC2_0939
ko:K02422	tpc:TPECDC2_0943
ko:K01783	tpc:TPECDC2_0945
ko:K03501	tpc:TPECDC2_0946
ko:K02965	tpc:TPECDC2_0193
ko:K03076	tpc:TPECDC2_0208
ko:K02919	tpc:TPECDC2_0209
ko:K02952	tpc:TPECDC2_0210
ko:K02948	tpc:TPECDC2_0211
ko:K03040	tpc:TPECDC2_0212
ko:K02879	tpc:TPECDC2_0213
ko:K03687	tpc:TPECDC2_0215
ko:K04043	tpc:TPECDC2_0216
ko:K03686	tpc:TPECDC2_0217
ko:K03523	tpc:TPECDC2_0228
ko:K05946	tpc:TPECDC2_0275
ko:K09761	tpc:TPECDC2_0276
ko:K03797	tpc:TPECDC2_0277
ko:K02945	tpc:TPECDC2_0279
ko:K00954	tpc:TPECDC2_0283
ko:K07035	tpc:TPECDC2_0038
ko:K01488	tpc:TPECDC2_0045
ko:K01571	tpc:TPECDC2_0056
ko:K01572	tpc:TPECDC2_0057
ko:K02428	tpc:TPECDC2_0438
ko:K01372	tpc:TPECDC2_0112
ko:K01596	tpc:TPECDC2_0122
ko:K03386	tpc:TPECDC2_0509
ko:K03499	tpc:TPECDC2_0513
ko:K00949	tpc:TPECDC2_0518
ko:K02120	tpc:TPECDC2_0527
ko:K02118	tpc:TPECDC2_0528
ko:K02117	tpc:TPECDC2_0529
ko:K02121	tpc:TPECDC2_0530
ko:K02122	tpc:TPECDC2_0531
ko:K02123	tpc:TPECDC2_0533
ko:K10843	tpc:TPECDC2_0380
ko:K04763	tpc:TPECDC2_0391
ko:K07025	tpc:TPECDC2_0407
ko:K02056	tpc:TPECDC2_0300
ko:K01409	tpc:TPECDC2_0680
ko:K02427	tpc:TPECDC2_0682
ko:K10540	tpc:TPECDC2_0684
ko:K10541	tpc:TPECDC2_0686
ko:K01934	tpc:TPECDC2_0694
ko:K00625	tpc:TPECDC2_0094
ko:K06196	tpc:TPECDC2_0101
ko:K03451	tpc:TPECDC2_0106
ko:K03406	tpc:TPECDC2_0488
ko:K03177	tpc:TPECDC2_0889
ko:K02030	tpc:TPECDC2_0308
ko:K02030	tpc:TPECDC2_0309
ko:K08974	tpc:TPECDC2_0312
ko:K02056	tpc:TPECDC2_0321
ko:K00033	tpc:TPECDC2_0331
ko:K09749	tpc:TPECDC2_0710
ko:K04488	tpc:TPECDC2_0615
ko:K00575	tpc:TPECDC2_0630
ko:K03087	tpc:TPECDC2_1012
ko:K07052	tpc:TPECDC2_0335
ko:K03469	tpc:TPECDC2_0353
ko:K03784	tpc:TPECDC2_0734
ko:K07584	tpc:TPECDC2_0744
ko:K01006	tpc:TPECDC2_0746
ko:K02025	tpc:TPECDC2_0075
ko:K03499	tpc:TPECDC2_0139
ko:K00567	tpc:TPECDC2_0141
ko:K07004	tpc:TPECDC2_0544
ko:K10540	tpc:TPECDC2_0545
ko:K07025	tpc:TPECDC2_0158
ko:K11707	tpc:TPECDC2_0163
ko:K11710	tpc:TPECDC2_0164
ko:K11708	tpc:TPECDC2_0165
ko:K11709	tpc:TPECDC2_0166
ko:K03709	tpc:TPECDC2_0167
ko:K01243	tpc:TPECDC2_0170
ko:K01262	tpc:TPECDC2_0569
ko:K08483	tpc:TPECDC2_0575
ko:K02004	tpc:TPECDC2_0962
ko:K02004	tpc:TPECDC2_0963
ko:K03409	tpc:TPECDC2_0365
ko:K02806	tpc:TPECDC2_0755
ko:K03499	tpc:TPECDC2_0024
ko:K09815	tpc:TPECDC2_0034
ko:K02121	tpc:TPECDC2_0424
ko:K02117	tpc:TPECDC2_0426
ko:K02118	tpc:TPECDC2_0427
ko:K02120	tpc:TPECDC2_0428
ko:K02123	tpc:TPECDC2_0429
ko:K02124	tpc:TPECDC2_0430
ko:K07258	tpc:TPECDC2_0800
ko:K06976	tpc:TPECDC2_0815
ko:K00784	tpc:TPECDC2_0819
ko:K06179	tpc:TPECDC2_0231
ko:K03406	tpc:TPECDC2_0639
ko:K03406	tpc:TPECDC2_0640
ko:K01835	tpc:TPECDC2_0642
ko:K02342	tpc:TPECDC2_0643
ko:K11072	tpc:TPECDC2_0652
ko:K11071	tpc:TPECDC2_0653
ko:K02433	tpc:TPECDC2_1020
ko:K06023	tpc:TPECDC2_0591
ko:K00939	tpc:TPECDC2_0595
ko:K06346	tpc:TPECDC2_0948
ko:K11189	tpc:TPECDC2_0589
ko:K01619	tpc:TPECDC2_0264
ko:K00974	tpc:TPECDC2_0270
ko:K11069	tpc:TPECDC2_0655
ko:K01885	tpc:TPECDC2_0673
ko:K14230	tpc:TPECDC2_t0037
ko:K14235	tpc:TPECDC2_t0014
ko:K00970	tpc:TPECDC2_0596
ko:K02062	tpc:TPECDC2_0142
ko:K14226	tpc:TPECDC2_t0032
ko:K01834	tpc:TPECDC2_0168
ko:K00850	tpc:TPECDC2_0108
ko:K14237	tpc:TPECDC2_t0036
ko:K16783	tpc:TPECDC2_0226
ko:K16784	tpc:TPECDC2_0227
ko:K07260	tpc:TPECDC2_0221
ko:K14219	tpc:TPECDC2_t0003
ko:K14219	tpc:TPECDC2_t0030
ko:K14237	tpc:TPECDC2_t0009
ko:K01980	tpc:TPECDC2_r0002
ko:K01980	tpc:TPECDC2_r0005
ko:K01985	tpc:TPECDC2_r0003
ko:K01985	tpc:TPECDC2_r0006
ko:K14234	tpc:TPECDC2_t0013
ko:K14234	tpc:TPECDC2_t0019
ko:K14234	tpc:TPECDC2_t0042
ko:K14230	tpc:TPECDC2_t0029
ko:K01977	tpc:TPECDC2_r0001
ko:K01977	tpc:TPECDC2_r0004
ko:K14227	tpc:TPECDC2_t0015
ko:K14218	tpc:TPECDC2_t0012
ko:K14218	tpc:TPECDC2_t0041
ko:K14218	tpc:TPECDC2_t0045
ko:K14236	tpc:TPECDC2_t0020
ko:K01978	tpc:TPECDC2_nc0003
ko:K14229	tpc:TPECDC2_t0021
ko:K14229	tpc:TPECDC2_t0039
ko:K14220	tpc:TPECDC2_t0024
ko:K14222	tpc:TPECDC2_t0025
ko:K14232	tpc:TPECDC2_t0027
ko:K14232	tpc:TPECDC2_t0034
ko:K14232	tpc:TPECDC2_t0038
ko:K14221	tpc:TPECDC2_t0028
ko:K14231	tpc:TPECDC2_t0033
ko:K14225	tpc:TPECDC2_t0017
ko:K14225	tpc:TPECDC2_t0023
ko:K14219	tpc:TPECDC2_t0035
ko:K14228	tpc:TPECDC2_t0040
ko:K14228	tpc:TPECDC2_t0044
ko:K14237	tpc:TPECDC2_t0043
ko:K00895	tpc:TPECDC2_0542
ko:K09810	tpc:TPECDC2_0581
ko:K02003	tpc:TPECDC2_0964
ko:K01983	tpc:TPECDC2_nc0001
ko:K14233	tpc:TPECDC2_t0001
ko:K14233	tpc:TPECDC2_t0002
ko:K14233	tpc:TPECDC2_t0004
ko:K14233	tpc:TPECDC2_t0005
ko:K14219	tpc:TPECDC2_t0031
ko:K14219	tpc:TPECDC2_t0026
ko:K14223	tpc:TPECDC2_t0006
ko:K14223	tpc:TPECDC2_t0018
ko:K14224	tpc:TPECDC2_t0007
ko:K14224	tpc:TPECDC2_t0008
ko:K14228	tpc:TPECDC2_t0016
ko:K14228	tpc:TPECDC2_t0022
ko:K14230	tpc:TPECDC2_t0011
ko:K07091	tpc:TPECDC2_0884
ko:K11720	tpc:TPECDC2_0883
ko:K11070	tpc:TPECDC2_0654
ko:K15035	tpc:TPECDC2_nc0002
ko:K10112	tpc:TPECDC2_0804
ko:K01992	tpc:TPECDC2_0880
ko:K01990	tpc:TPECDC2_0881
ko:K14228	tpc:TPECDC2_t0010
ko:K17686	tpc:TPECDC2_1036
ko:K02026	tpc:TPECDC2_0076
ko:K06972	tpc:TPECDC2_0025
ko:K12146	tpc:TPECDC2_0082
ko:K02027	tpc:TPECDC2_0074
ko:K02058	tpc:TPECDC2_0298
ko:K07003	tpc:TPECDC2_0790
ko:K03406	tpc:TPECDC2_0040
ko:K06881	tpc:TPECDC2_0436
ko:K03686	tpc:TPECDC2_0098
ko:K03060	tpc:TPECDC2_0701
ko:K01768	tpc:TPECDC2_0485
ko:K18707	tpc:TPECDC2_0269
ko:K18682	tpc:TPECDC2_1018
ko:K03111	tpc:TPECDC2_0062
ko:K03497	tpc:TPECDC2_0271
ko:K03496	tpc:TPECDC2_0272
ko:K00849	tpc:TPECDC2_0418
ko:K14742	tpc:TPECDC2_0876
ko:K03526	tpc:TPECDC2_0446
ko:K06867	tpc:TPECDC2_0502
ko:K06867	tpc:TPECDC2_0835
ko:K04749	tpc:TPECDC2_0540
ko:K02806	tpc:TPECDC2_0085
ko:K11751	tpc:TPECDC2_0104
ko:K00525	tpc:TPECDC2_1008
ko:K03733	tpc:TPECDC2_0395
ko:K03498	tpc:TPECDC2_0140
ko:K18672	tpc:TPECDC2_0826
ko:K02035	tpc:TPECDC2_0585
ko:K02314	tpc:TPECDC2_0058
ko:K01493	tpc:TPECDC2_0274
ko:K03553	tpc:TPECDC2_0692
ko:K06223	tpc:TPECDC2_0810
ko:K01520	tpc:TPECDC2_0885
ko:K03465	tpc:TPECDC2_1007
ko:K02316	tpc:TPECDC2_0492
ko:K03546	tpc:TPECDC2_0627
ko:K02335	tpc:TPECDC2_0105
ko:K02027	tpc:TPECDC2_0737
ko:K02383	tpc:TPECDC2_0567
ko:K00526	tpc:TPECDC2_0053
ko:K21929	tpc:TPECDC2_0229
ko:K03595	tpc:TPECDC2_0541
