ko:K19078	suf:SARLGA251_05920
ko:K01635	suf:SARLGA251_19870
ko:K00917	suf:SARLGA251_19880
ko:K01819	suf:SARLGA251_19890
ko:K01819	suf:SARLGA251_19900
ko:K02530	suf:SARLGA251_19910
ko:K01727	suf:SARLGA251_19960
ko:K16787	suf:SARLGA251_20070
ko:K16786	suf:SARLGA251_20080
ko:K08974	suf:SARLGA251_07700
ko:K04488	suf:SARLGA251_07740
ko:K07120	suf:SARLGA251_15590
ko:K01719	suf:SARLGA251_15620
ko:K11144	suf:SARLGA251_15760
ko:K03346	suf:SARLGA251_15770
ko:K10563	suf:SARLGA251_15810
ko:K07658	suf:SARLGA251_15850
ko:K00027	suf:SARLGA251_15930
ko:K00158	suf:SARLGA251_23140
ko:K00054	suf:SARLGA251_23200
ko:K01641	suf:SARLGA251_23210
ko:K00567	suf:SARLGA251_23220
ko:K04086	suf:SARLGA251_23230
ko:K06994	suf:SARLGA251_23270
ko:K00294	suf:SARLGA251_23290
ko:K07213	suf:SARLGA251_23330
ko:K10209	suf:SARLGA251_23360
ko:K07035	suf:SARLGA251_23450
ko:K07032	suf:SARLGA251_23490
ko:K03976	suf:SARLGA251_06300
ko:K03436	suf:SARLGA251_06310
ko:K00882	suf:SARLGA251_06320
ko:K02619	suf:SARLGA251_06480
ko:K05845	suf:SARLGA251_06560
ko:K05846	suf:SARLGA251_06560
ko:K03647	suf:SARLGA251_06630
ko:K01258	suf:SARLGA251_06760
ko:K02851	suf:SARLGA251_06800
ko:K02076	suf:SARLGA251_14600
ko:K01489	suf:SARLGA251_14740
ko:K02238	suf:SARLGA251_14930
ko:K06948	suf:SARLGA251_15020
ko:K01243	suf:SARLGA251_15040
ko:K06147	suf:SARLGA251_22100
ko:K06147	suf:SARLGA251_22110
ko:K03929	suf:SARLGA251_22320
ko:K12942	suf:SARLGA251_22530
ko:K00852	suf:SARLGA251_02330
ko:K06216	suf:SARLGA251_02350
ko:K02004	suf:SARLGA251_02700
ko:K03471	suf:SARLGA251_10520
ko:K00241	suf:SARLGA251_10590
ko:K02428	suf:SARLGA251_10630
ko:K11041	suf:SARLGA251_10820
ko:K07025	suf:SARLGA251_10860
ko:K07052	suf:SARLGA251_18330
ko:K07706	suf:SARLGA251_18400
ko:K01409	suf:SARLGA251_18520
ko:K03095	suf:SARLGA251_18650
ko:K03090	suf:SARLGA251_18670
ko:K07315	suf:SARLGA251_18700
ko:K02499	suf:SARLGA251_04390
ko:K03708	suf:SARLGA251_04570
ko:K09698	suf:SARLGA251_04630
ko:K07304	suf:SARLGA251_12700
ko:K04517	suf:SARLGA251_12740
ko:K02033	suf:SARLGA251_12990
ko:K00939	suf:SARLGA251_20150
ko:K03635	suf:SARLGA251_20550
ko:K06286	suf:SARLGA251_16080
ko:K00058	suf:SARLGA251_16140
ko:K01261	suf:SARLGA251_16350
ko:K01439	suf:SARLGA251_16410
ko:K06183	suf:SARLGA251_16430
ko:K04750	suf:SARLGA251_23660
ko:K00016	suf:SARLGA251_23750
ko:K03294	suf:SARLGA251_23760
ko:K03451	suf:SARLGA251_23870
ko:K00380	suf:SARLGA251_23920
ko:K01077	suf:SARLGA251_23990
ko:K01478	suf:SARLGA251_24070
ko:K01401	suf:SARLGA251_24090
ko:K00639	suf:SARLGA251_04860
ko:K07668	suf:SARLGA251_00180
ko:K07652	suf:SARLGA251_00190
ko:K07077	suf:SARLGA251_00460
ko:K02004	suf:SARLGA251_00470
ko:K13628	suf:SARLGA251_08580
ko:K05570	suf:SARLGA251_08650
ko:K05568	suf:SARLGA251_08670
ko:K05565	suf:SARLGA251_08700
ko:K03768	suf:SARLGA251_08720
ko:K00819	suf:SARLGA251_08750
ko:K16899	suf:SARLGA251_08840
ko:K06910	suf:SARLGA251_08970
ko:K07052	suf:SARLGA251_16670
ko:K00616	suf:SARLGA251_16680
ko:K02549	suf:SARLGA251_16790
ko:K01727	suf:SARLGA251_16860
ko:K12270	suf:SARLGA251_24220
ko:K12269	suf:SARLGA251_24230
ko:K12268	suf:SARLGA251_24240
ko:K07304	suf:SARLGA251_24340
ko:K01104	suf:SARLGA251_24360
ko:K02352	suf:SARLGA251_24560
ko:K00853	suf:SARLGA251_04880
ko:K00712	suf:SARLGA251_05000
ko:K00712	suf:SARLGA251_05010
ko:K02564	suf:SARLGA251_05050
ko:K08093	suf:SARLGA251_05060
ko:K00626	suf:SARLGA251_05110
ko:K05822	suf:SARLGA251_13130
ko:K07305	suf:SARLGA251_13390
ko:K07304	suf:SARLGA251_13400
ko:K03469	suf:SARLGA251_13490
ko:K03294	suf:SARLGA251_13520
ko:K02017	suf:SARLGA251_20610
ko:K07052	suf:SARLGA251_20960
ko:K00625	suf:SARLGA251_05230
ko:K00869	suf:SARLGA251_05250
ko:K01597	suf:SARLGA251_05260
ko:K00938	suf:SARLGA251_05270
ko:K13953	suf:SARLGA251_05410
ko:K07457	suf:SARLGA251_05440
ko:K07025	suf:SARLGA251_05470
ko:K05565	suf:SARLGA251_05570
ko:K05568	suf:SARLGA251_05600
ko:K05570	suf:SARLGA251_05620
ko:K03316	suf:SARLGA251_05640
ko:K03709	suf:SARLGA251_05680
ko:K09693	suf:SARLGA251_05710
ko:K03700	suf:SARLGA251_13630
ko:K02086	suf:SARLGA251_13670
ko:K00974	suf:SARLGA251_13710
ko:K00805	suf:SARLGA251_13820
ko:K01424	suf:SARLGA251_13910
ko:K05337	suf:SARLGA251_13960
ko:K01771	suf:SARLGA251_00750
ko:K10254	suf:SARLGA251_00810
ko:K01784	suf:SARLGA251_01030
ko:K03784	suf:SARLGA251_01100
ko:K01619	suf:SARLGA251_01120
ko:K15582	suf:SARLGA251_09030
ko:K15583	suf:SARLGA251_09040
ko:K10823	suf:SARLGA251_09050
ko:K02035	suf:SARLGA251_09070
ko:K02033	suf:SARLGA251_09100
ko:K16509	suf:SARLGA251_09130
ko:K06198	suf:SARLGA251_09150
ko:K07816	suf:SARLGA251_09210
ko:K03455	suf:SARLGA251_09250
ko:K05362	suf:SARLGA251_09330
ko:K07052	suf:SARLGA251_09440
ko:K07533	suf:SARLGA251_17240
ko:K03698	suf:SARLGA251_17250
ko:K01679	suf:SARLGA251_17340
ko:K07035	suf:SARLGA251_17420
ko:K16329	suf:SARLGA251_02740
ko:K03307	suf:SARLGA251_02760
ko:K01639	suf:SARLGA251_02770
ko:K01788	suf:SARLGA251_02800
ko:K03475	suf:SARLGA251_02900
ko:K02822	suf:SARLGA251_02910
ko:K02821	suf:SARLGA251_02920
ko:K07729	suf:SARLGA251_03110
ko:K00626	suf:SARLGA251_03160
ko:K01760	suf:SARLGA251_03200
ko:K07104	suf:SARLGA251_11050
ko:K02824	suf:SARLGA251_11100
ko:K07030	suf:SARLGA251_11370
ko:K00059	suf:SARLGA251_11420
ko:K09787	suf:SARLGA251_11470
ko:K09167	suf:SARLGA251_18750
ko:K08981	suf:SARLGA251_18760
ko:K02116	suf:SARLGA251_19110
ko:K01104	suf:SARLGA251_19160
ko:K09763	suf:SARLGA251_14040
ko:K04763	suf:SARLGA251_14050
ko:K03711	suf:SARLGA251_14060
ko:K01515	suf:SARLGA251_14070
ko:K01479	suf:SARLGA251_21170
ko:K01785	suf:SARLGA251_21210
ko:K01823	suf:SARLGA251_21280
ko:K07045	suf:SARLGA251_23540
ko:K19975	suf:SARLGA251_05650
ko:K19973	suf:SARLGA251_05670
ko:K02545	suf:SARLGA251_00260
ko:K00128	suf:SARLGA251_01410
ko:K00128	suf:SARLGA251_18050
ko:K00128	suf:SARLGA251_19230
ko:K01906	suf:SARLGA251_22050
ko:K04757	suf:SARLGA251_18680
ko:K00980	suf:SARLGA251_05750
ko:K03483	suf:SARLGA251_19530
ko:K03800	suf:SARLGA251_02890
ko:K02445	suf:SARLGA251_02970
ko:K00299	suf:SARLGA251_03000
ko:K03817	suf:SARLGA251_03020
ko:K07224	suf:SARLGA251_03030
ko:K16301	suf:SARLGA251_03040
ko:K07243	suf:SARLGA251_03050
ko:K03118	suf:SARLGA251_03080
ko:K03116	suf:SARLGA251_03090
ko:K00549	suf:SARLGA251_03180
ko:K06942	suf:SARLGA251_03250
ko:K04074	suf:SARLGA251_11030
ko:K01870	suf:SARLGA251_11040
ko:K03101	suf:SARLGA251_11070
ko:K06180	suf:SARLGA251_11080
ko:K02825	suf:SARLGA251_11090
ko:K00609	suf:SARLGA251_11110
ko:K01465	suf:SARLGA251_11120
ko:K01956	suf:SARLGA251_11130
ko:K01955	suf:SARLGA251_11140
ko:K01591	suf:SARLGA251_11150
ko:K00762	suf:SARLGA251_11160
ko:K00942	suf:SARLGA251_11200
ko:K03060	suf:SARLGA251_11210
ko:K13038	suf:SARLGA251_11220
ko:K04066	suf:SARLGA251_11230
ko:K01462	suf:SARLGA251_11260
ko:K00604	suf:SARLGA251_11270
ko:K03500	suf:SARLGA251_11280
ko:K06941	suf:SARLGA251_11290
ko:K06949	suf:SARLGA251_11320
ko:K01783	suf:SARLGA251_11330
ko:K02902	suf:SARLGA251_11350
ko:K03655	suf:SARLGA251_11380
ko:K03621	suf:SARLGA251_11400
ko:K00645	suf:SARLGA251_11410
ko:K02078	suf:SARLGA251_11430
ko:K03685	suf:SARLGA251_11440
ko:K03529	suf:SARLGA251_11450
ko:K03110	suf:SARLGA251_11460
ko:K03106	suf:SARLGA251_11480
ko:K02959	suf:SARLGA251_11490
ko:K02860	suf:SARLGA251_11500
ko:K00554	suf:SARLGA251_11510
ko:K01548	suf:SARLGA251_18780
ko:K01547	suf:SARLGA251_18790
ko:K01546	suf:SARLGA251_18800
ko:K07646	suf:SARLGA251_18810
ko:K07667	suf:SARLGA251_18820
ko:K01929	suf:SARLGA251_18840
ko:K01921	suf:SARLGA251_18850
ko:K05837	suf:SARLGA251_18860
ko:K06131	suf:SARLGA251_18900
ko:K06950	suf:SARLGA251_18910
ko:K03217	suf:SARLGA251_18920
ko:K00788	suf:SARLGA251_18930
ko:K00878	suf:SARLGA251_18940
ko:K00941	suf:SARLGA251_18950
ko:K03707	suf:SARLGA251_18960
ko:K02372	suf:SARLGA251_19000
ko:K00790	suf:SARLGA251_19010
ko:K02114	suf:SARLGA251_19030
ko:K02112	suf:SARLGA251_19040
ko:K02115	suf:SARLGA251_19050
ko:K02111	suf:SARLGA251_19060
ko:K02113	suf:SARLGA251_19070
ko:K02109	suf:SARLGA251_19080
ko:K02110	suf:SARLGA251_19090
ko:K02108	suf:SARLGA251_19100
ko:K00761	suf:SARLGA251_19130
ko:K00600	suf:SARLGA251_19140
ko:K07566	suf:SARLGA251_19170
ko:K02493	suf:SARLGA251_19180
ko:K02835	suf:SARLGA251_19190
ko:K02909	suf:SARLGA251_19210
ko:K02044	suf:SARLGA251_01170
ko:K04072	suf:SARLGA251_01220
ko:K13012	suf:SARLGA251_01350
ko:K02472	suf:SARLGA251_01370
ko:K09790	suf:SARLGA251_01400
ko:K16264	suf:SARLGA251_01420
ko:K08996	suf:SARLGA251_01520
ko:K00930	suf:SARLGA251_01530
ko:K00620	suf:SARLGA251_01540
ko:K00145	suf:SARLGA251_01550
ko:K03311	suf:SARLGA251_01570
ko:K07106	suf:SARLGA251_01620
ko:K01153	suf:SARLGA251_01660
ko:K02016	suf:SARLGA251_09520
ko:K02548	suf:SARLGA251_09560
ko:K02551	suf:SARLGA251_09580
ko:K01661	suf:SARLGA251_09600
ko:K13715	suf:SARLGA251_09620
ko:K02829	suf:SARLGA251_09720
ko:K02828	suf:SARLGA251_09730
ko:K02827	suf:SARLGA251_09740
ko:K02826	suf:SARLGA251_09750
ko:K01491	suf:SARLGA251_09770
ko:K01588	suf:SARLGA251_09780
ko:K01589	suf:SARLGA251_09790
ko:K01923	suf:SARLGA251_09800
ko:K01952	suf:SARLGA251_09820
ko:K01952	suf:SARLGA251_09830
ko:K00764	suf:SARLGA251_09840
ko:K01933	suf:SARLGA251_09850
ko:K11175	suf:SARLGA251_09860
ko:K00602	suf:SARLGA251_09870
ko:K01945	suf:SARLGA251_09880
ko:K16785	suf:SARLGA251_09890
ko:K16786	suf:SARLGA251_09900
ko:K16787	suf:SARLGA251_09900
ko:K06969	suf:SARLGA251_09940
ko:K03564	suf:SARLGA251_17450
ko:K01845	suf:SARLGA251_17460
ko:K03575	suf:SARLGA251_17500
ko:K07038	suf:SARLGA251_17510
ko:K03565	suf:SARLGA251_17550
ko:K04478	suf:SARLGA251_17560
ko:K05520	suf:SARLGA251_17570
ko:K07058	suf:SARLGA251_17650
ko:K07681	suf:SARLGA251_17670
ko:K01265	suf:SARLGA251_17700
ko:K02217	suf:SARLGA251_17750
ko:K16869	suf:SARLGA251_05240
ko:K06885	suf:SARLGA251_05390
ko:K01887	suf:SARLGA251_05430
ko:K02016	suf:SARLGA251_05450
ko:K02015	suf:SARLGA251_05460
ko:K09936	suf:SARLGA251_05530
ko:K05566	suf:SARLGA251_05580
ko:K05567	suf:SARLGA251_05590
ko:K05569	suf:SARLGA251_05610
ko:K05571	suf:SARLGA251_05630
ko:K05946	suf:SARLGA251_05700
ko:K05366	suf:SARLGA251_13640
ko:K10773	suf:SARLGA251_13660
ko:K01893	suf:SARLGA251_13680
ko:K03524	suf:SARLGA251_13700
ko:K06973	suf:SARLGA251_13740
ko:K00800	suf:SARLGA251_13780
ko:K01735	suf:SARLGA251_13790
ko:K01736	suf:SARLGA251_13800
ko:K00940	suf:SARLGA251_13810
ko:K03183	suf:SARLGA251_13830
ko:K03530	suf:SARLGA251_13850
ko:K00057	suf:SARLGA251_13860
ko:K03977	suf:SARLGA251_13870
ko:K02945	suf:SARLGA251_13880
ko:K00945	suf:SARLGA251_13900
ko:K03654	suf:SARLGA251_13940
ko:K07651	suf:SARLGA251_13990
ko:K07775	suf:SARLGA251_14000
ko:K06178	suf:SARLGA251_14010
ko:K06024	suf:SARLGA251_14020
ko:K05896	suf:SARLGA251_14030
ko:K01468	suf:SARLGA251_21130
ko:K01712	suf:SARLGA251_21140
ko:K11210	suf:SARLGA251_21160
ko:K01807	suf:SARLGA251_21190
ko:K09771	suf:SARLGA251_21220
ko:K03652	suf:SARLGA251_21260
ko:K03312	suf:SARLGA251_21270
ko:K03284	suf:SARLGA251_21290
ko:K07107	suf:SARLGA251_21300
ko:K07552	suf:SARLGA251_21370
ko:K09814	suf:SARLGA251_21420
ko:K09813	suf:SARLGA251_21430
ko:K00116	suf:SARLGA251_21510
ko:K03303	suf:SARLGA251_21520
ko:K02034	suf:SARLGA251_01720
ko:K01118	suf:SARLGA251_01750
ko:K15771	suf:SARLGA251_01790
ko:K15772	suf:SARLGA251_01800
ko:K02012	suf:SARLGA251_01880
ko:K00656	suf:SARLGA251_01890
ko:K04069	suf:SARLGA251_01900
ko:K01126	suf:SARLGA251_01920
ko:K07516	suf:SARLGA251_01960
ko:K00252	suf:SARLGA251_01970
ko:K05916	suf:SARLGA251_02040
ko:K02773	suf:SARLGA251_02090
ko:K02774	suf:SARLGA251_02100
ko:K05352	suf:SARLGA251_02160
ko:K00425	suf:SARLGA251_09990
ko:K00426	suf:SARLGA251_10000
ko:K01462	suf:SARLGA251_10040
ko:K00161	suf:SARLGA251_10060
ko:K00162	suf:SARLGA251_10070
ko:K00627	suf:SARLGA251_10080
ko:K00382	suf:SARLGA251_10090
ko:K03322	suf:SARLGA251_10180
ko:K06207	suf:SARLGA251_10220
ko:K03588	suf:SARLGA251_10260
ko:K02259	suf:SARLGA251_10280
ko:K08976	suf:SARLGA251_10300
ko:K01126	suf:SARLGA251_10330
ko:K00954	suf:SARLGA251_10370
ko:K07040	suf:SARLGA251_10390
ko:K02911	suf:SARLGA251_10400
ko:K14193	suf:SARLGA251_10420
ko:K02016	suf:SARLGA251_10450
ko:K02015	suf:SARLGA251_10460
ko:K08600	suf:SARLGA251_10470
ko:K03437	suf:SARLGA251_10490
ko:K02346	suf:SARLGA251_17770
ko:K03215	suf:SARLGA251_17790
ko:K02434	suf:SARLGA251_17820
ko:K02435	suf:SARLGA251_17840
ko:K01972	suf:SARLGA251_17890
ko:K03657	suf:SARLGA251_17900
ko:K01756	suf:SARLGA251_17930
ko:K08258	suf:SARLGA251_17940
ko:K00763	suf:SARLGA251_17980
ko:K00491	suf:SARLGA251_17990
ko:K14445	suf:SARLGA251_18010
ko:K01114	suf:SARLGA251_18220
ko:K00643	suf:SARLGA251_18270
ko:K16323	suf:SARLGA251_05780
ko:K02013	suf:SARLGA251_05800
ko:K02015	suf:SARLGA251_05810
ko:K02015	suf:SARLGA251_05820
ko:K05878	suf:SARLGA251_05830
ko:K05879	suf:SARLGA251_05840
ko:K07220	suf:SARLGA251_05960
ko:K03306	suf:SARLGA251_05970
ko:K06890	suf:SARLGA251_05990
ko:K09793	suf:SARLGA251_06070
ko:K06966	suf:SARLGA251_06130
ko:K09768	suf:SARLGA251_06140
ko:K06153	suf:SARLGA251_06160
ko:K01669	suf:SARLGA251_06240
ko:K07124	suf:SARLGA251_14100
ko:K00286	suf:SARLGA251_14110
ko:K00036	suf:SARLGA251_14130
ko:K09699	suf:SARLGA251_14220
ko:K00167	suf:SARLGA251_14230
ko:K00166	suf:SARLGA251_14240
ko:K00382	suf:SARLGA251_14250
ko:K03631	suf:SARLGA251_14260
ko:K03402	suf:SARLGA251_14270
ko:K13789	suf:SARLGA251_14280
ko:K03602	suf:SARLGA251_14290
ko:K03601	suf:SARLGA251_14300
ko:K03625	suf:SARLGA251_14310
ko:K01961	suf:SARLGA251_14330
ko:K02160	suf:SARLGA251_14340
ko:K02356	suf:SARLGA251_14350
ko:K03800	suf:SARLGA251_14390
ko:K00283	suf:SARLGA251_14410
ko:K00282	suf:SARLGA251_14420
ko:K00605	suf:SARLGA251_14430
ko:K00891	suf:SARLGA251_14440
ko:K11102	suf:SARLGA251_21680
ko:K10850	suf:SARLGA251_21720
ko:K07696	suf:SARLGA251_21730
ko:K07683	suf:SARLGA251_21740
ko:K10851	suf:SARLGA251_21750
ko:K00373	suf:SARLGA251_21770
ko:K00371	suf:SARLGA251_21780
ko:K00370	suf:SARLGA251_21790
ko:K00363	suf:SARLGA251_21810
ko:K00362	suf:SARLGA251_21820
ko:K10010	suf:SARLGA251_21940
ko:K10009	suf:SARLGA251_21950
ko:K02424	suf:SARLGA251_21960
ko:K14197	suf:SARLGA251_22000
ko:K01012	suf:SARLGA251_22070
ko:K00833	suf:SARLGA251_22080
ko:K01935	suf:SARLGA251_22090
ko:K06412	suf:SARLGA251_04320
ko:K04042	suf:SARLGA251_04330
ko:K00948	suf:SARLGA251_04340
ko:K02897	suf:SARLGA251_04350
ko:K01056	suf:SARLGA251_04360
ko:K03723	suf:SARLGA251_04370
ko:K07571	suf:SARLGA251_04420
ko:K04075	suf:SARLGA251_04430
ko:K00760	suf:SARLGA251_04440
ko:K03798	suf:SARLGA251_04450
ko:K04083	suf:SARLGA251_04460
ko:K01738	suf:SARLGA251_04470
ko:K00796	suf:SARLGA251_04480
ko:K01633	suf:SARLGA251_04490
ko:K00950	suf:SARLGA251_04500
ko:K04567	suf:SARLGA251_04510
ko:K00375	suf:SARLGA251_04520
ko:K06215	suf:SARLGA251_04530
ko:K08681	suf:SARLGA251_04540
ko:K11535	suf:SARLGA251_04560
ko:K03696	suf:SARLGA251_04600
ko:K04485	suf:SARLGA251_04610
ko:K00640	suf:SARLGA251_04640
ko:K01883	suf:SARLGA251_04650
ko:K11145	suf:SARLGA251_04660
ko:K03218	suf:SARLGA251_04670
ko:K06962	suf:SARLGA251_04680
ko:K03091	suf:SARLGA251_04690
ko:K02913	suf:SARLGA251_04700
ko:K01681	suf:SARLGA251_12580
ko:K07107	suf:SARLGA251_12610
ko:K08591	suf:SARLGA251_12630
ko:K02622	suf:SARLGA251_12640
ko:K02621	suf:SARLGA251_12650
ko:K03310	suf:SARLGA251_12660
ko:K03480	suf:SARLGA251_12670
ko:K14205	suf:SARLGA251_12690
ko:K01821	suf:SARLGA251_12720
ko:K01657	suf:SARLGA251_12760
ko:K00766	suf:SARLGA251_12780
ko:K01609	suf:SARLGA251_12790
ko:K01817	suf:SARLGA251_12800
ko:K01696	suf:SARLGA251_12810
ko:K01695	suf:SARLGA251_12820
ko:K11694	suf:SARLGA251_12830
ko:K11695	suf:SARLGA251_12840
ko:K02034	suf:SARLGA251_12980
ko:K02039	suf:SARLGA251_13020
ko:K02036	suf:SARLGA251_13030
ko:K02038	suf:SARLGA251_13040
ko:K02037	suf:SARLGA251_13050
ko:K02040	suf:SARLGA251_13060
ko:K00243	suf:SARLGA251_13070
ko:K00928	suf:SARLGA251_13090
ko:K00133	suf:SARLGA251_13100
ko:K02952	suf:SARLGA251_20120
ko:K02919	suf:SARLGA251_20130
ko:K02518	suf:SARLGA251_20140
ko:K03076	suf:SARLGA251_20160
ko:K02876	suf:SARLGA251_20170
ko:K02907	suf:SARLGA251_20180
ko:K02988	suf:SARLGA251_20190
ko:K02881	suf:SARLGA251_20200
ko:K02933	suf:SARLGA251_20210
ko:K02994	suf:SARLGA251_20220
ko:K02954	suf:SARLGA251_20230
ko:K02931	suf:SARLGA251_20240
ko:K02895	suf:SARLGA251_20250
ko:K02874	suf:SARLGA251_20260
ko:K02961	suf:SARLGA251_20270
ko:K02904	suf:SARLGA251_20280
ko:K02878	suf:SARLGA251_20290
ko:K02982	suf:SARLGA251_20300
ko:K02890	suf:SARLGA251_20310
ko:K02965	suf:SARLGA251_20320
ko:K02886	suf:SARLGA251_20330
ko:K02892	suf:SARLGA251_20340
ko:K02926	suf:SARLGA251_20350
ko:K02906	suf:SARLGA251_20360
ko:K02946	suf:SARLGA251_20370
ko:K06901	suf:SARLGA251_20390
ko:K05340	suf:SARLGA251_20420
ko:K07088	suf:SARLGA251_20430
ko:K11693	suf:SARLGA251_20470
ko:K03639	suf:SARLGA251_20520
ko:K03752	suf:SARLGA251_20530
ko:K03636	suf:SARLGA251_20540
ko:K03753	suf:SARLGA251_20560
ko:K03750	suf:SARLGA251_20570
ko:K03637	suf:SARLGA251_20580
ko:K03638	suf:SARLGA251_20590
ko:K02990	suf:SARLGA251_03270
ko:K02963	suf:SARLGA251_03290
ko:K03387	suf:SARLGA251_03410
ko:K06956	suf:SARLGA251_03440
ko:K03816	suf:SARLGA251_03480
ko:K16169	suf:SARLGA251_03490
ko:K01951	suf:SARLGA251_03510
ko:K08987	suf:SARLGA251_03580
ko:K11042	suf:SARLGA251_03600
ko:K03427	suf:SARLGA251_03690
ko:K01154	suf:SARLGA251_03700
ko:K02884	suf:SARLGA251_11520
ko:K14540	suf:SARLGA251_11540
ko:K03470	suf:SARLGA251_11550
ko:K01903	suf:SARLGA251_11560
ko:K01902	suf:SARLGA251_11570
ko:K04096	suf:SARLGA251_11600
ko:K03168	suf:SARLGA251_11610
ko:K04094	suf:SARLGA251_11620
ko:K03733	suf:SARLGA251_11630
ko:K01419	suf:SARLGA251_11640
ko:K03667	suf:SARLGA251_11650
ko:K03706	suf:SARLGA251_11660
ko:K02967	suf:SARLGA251_11670
ko:K02357	suf:SARLGA251_11680
ko:K09903	suf:SARLGA251_11690
ko:K02838	suf:SARLGA251_11700
ko:K00806	suf:SARLGA251_11710
ko:K00981	suf:SARLGA251_11720
ko:K11749	suf:SARLGA251_11730
ko:K01881	suf:SARLGA251_11740
ko:K03763	suf:SARLGA251_11750
ko:K09748	suf:SARLGA251_11760
ko:K02600	suf:SARLGA251_11770
ko:K07742	suf:SARLGA251_11780
ko:K02519	suf:SARLGA251_11800
ko:K02834	suf:SARLGA251_11810
ko:K11753	suf:SARLGA251_11830
