ko:K07497	setu:STU288_14015
ko:K00484	setu:STU288_01820
ko:K01826	setu:STU288_01850
ko:K02510	setu:STU288_01860
ko:K08344	setu:STU288_01905
ko:K05595	setu:STU288_03925
ko:K06281	setu:STU288_04005
ko:K06282	setu:STU288_04010
ko:K02549	setu:STU288_07905
ko:K08680	setu:STU288_07915
ko:K02552	setu:STU288_07925
ko:K02348	setu:STU288_07935
ko:K00784	setu:STU288_07940
ko:K07114	setu:STU288_07950
ko:K03475	setu:STU288_08090
ko:K02822	setu:STU288_08095
ko:K02821	setu:STU288_08100
ko:K02004	setu:STU288_11830
ko:K11751	setu:STU288_11900
ko:K03455	setu:STU288_11915
ko:K00939	setu:STU288_11935
ko:K04067	setu:STU288_11975
ko:K00674	setu:STU288_01075
ko:K08997	setu:STU288_03045
ko:K02009	setu:STU288_06500
ko:K02190	setu:STU288_06515
ko:K03399	setu:STU288_06545
ko:K01243	setu:STU288_01045
ko:K13921	setu:STU288_06650
ko:K07027	setu:STU288_10355
ko:K03635	setu:STU288_10380
ko:K00652	setu:STU288_10435
ko:K06910	setu:STU288_10450
ko:K01479	setu:STU288_10475
ko:K07404	setu:STU288_10490
ko:K02017	setu:STU288_10500
ko:K01784	setu:STU288_10535
ko:K01785	setu:STU288_10550
ko:K01834	setu:STU288_10555
ko:K01572	setu:STU288_10575
ko:K02858	setu:STU288_16190
ko:K09806	setu:STU288_16195
ko:K00974	setu:STU288_16235
ko:K01409	setu:STU288_16255
ko:K03649	setu:STU288_16275
ko:K03776	setu:STU288_16295
ko:K09251	setu:STU288_16300
ko:K00219	setu:STU288_16305
ko:K07393	setu:STU288_16375
ko:K02427	setu:STU288_16680
ko:K02067	setu:STU288_16765
ko:K02806	setu:STU288_16820
ko:K06149	setu:STU288_18140
ko:K00383	setu:STU288_18170
ko:K01424	setu:STU288_18175
ko:K07792	setu:STU288_18180
ko:K01719	setu:STU288_19850
ko:K01048	setu:STU288_19965
ko:K06889	setu:STU288_21980
ko:K03476	setu:STU288_21990
ko:K03475	setu:STU288_21995
ko:K02822	setu:STU288_22000
ko:K02821	setu:STU288_22005
ko:K03079	setu:STU288_22015
ko:K03077	setu:STU288_22020
ko:K05806	setu:STU288_00570
ko:K02035	setu:STU288_02600
ko:K02033	setu:STU288_02605
ko:K02793	setu:STU288_05510
ko:K02794	setu:STU288_05510
ko:K02795	setu:STU288_05515
ko:K11392	setu:STU288_05615
ko:K13741	setu:STU288_05645
ko:K10762	setu:STU288_09520
ko:K09476	setu:STU288_09610
ko:K02342	setu:STU288_13425
ko:K03469	setu:STU288_13430
ko:K03647	setu:STU288_14205
ko:K03743	setu:STU288_14305
ko:K08305	setu:STU288_14310
ko:K02783	setu:STU288_14315
ko:K02782	setu:STU288_14320
ko:K02783	setu:STU288_14320
ko:K00068	setu:STU288_14330
ko:K02466	setu:STU288_14335
ko:K03747	setu:STU288_17220
ko:K03499	setu:STU288_17245
ko:K11189	setu:STU288_19095
ko:K02775	setu:STU288_19110
ko:K03148	setu:STU288_20915
ko:K07709	setu:STU288_20970
ko:K13641	setu:STU288_21020
ko:K00548	setu:STU288_21025
ko:K03613	setu:STU288_03585
ko:K03612	setu:STU288_03590
ko:K03614	setu:STU288_03595
ko:K03615	setu:STU288_03600
ko:K03616	setu:STU288_03605
ko:K03617	setu:STU288_03610
ko:K01488	setu:STU288_03630
ko:K06183	setu:STU288_07495
ko:K02200	setu:STU288_07610
ko:K02193	setu:STU288_07645
ko:K02569	setu:STU288_07650
ko:K02574	setu:STU288_07660
ko:K03386	setu:STU288_11335
ko:K08225	setu:STU288_11410
ko:K07214	setu:STU288_11445
ko:K02793	setu:STU288_11490
ko:K02795	setu:STU288_11500
ko:K01619	setu:STU288_22895
ko:K00758	setu:STU288_22900
ko:K03784	setu:STU288_22910
ko:K07186	setu:STU288_22945
ko:K03286	setu:STU288_01695
ko:K00799	setu:STU288_03570
ko:K03574	setu:STU288_00685
ko:K04093	setu:STU288_02665
ko:K07305	setu:STU288_02780
ko:K09815	setu:STU288_05860
ko:K06201	setu:STU288_05945
ko:K11085	setu:STU288_09685
ko:K02238	setu:STU288_09690
ko:K06212	setu:STU288_09735
ko:K07308	setu:STU288_09770
ko:K07307	setu:STU288_09775
ko:K16013	setu:STU288_09815
ko:K16012	setu:STU288_09820
ko:K02782	setu:STU288_13925
ko:K02783	setu:STU288_13925
ko:K08093	setu:STU288_13940
ko:K07017	setu:STU288_14055
ko:K07793	setu:STU288_14110
ko:K00135	setu:STU288_14125
ko:K04652	setu:STU288_14430
ko:K04655	setu:STU288_14445
ko:K11604	setu:STU288_14460
ko:K11607	setu:STU288_14465
ko:K13284	setu:STU288_14565
ko:K13287	setu:STU288_14570
ko:K13286	setu:STU288_14575
ko:K13285	setu:STU288_14580
ko:K00380	setu:STU288_14900
ko:K06897	setu:STU288_14910
ko:K04765	setu:STU288_14940
ko:K03535	setu:STU288_14990
ko:K02506	setu:STU288_17410
ko:K07019	setu:STU288_17510
ko:K09898	setu:STU288_17515
ko:K10914	setu:STU288_17530
ko:K07491	setu:STU288_17595
ko:K07784	setu:STU288_19135
ko:K00852	setu:STU288_19165
ko:K13636	setu:STU288_19205
ko:K00389	setu:STU288_19230
ko:K02200	setu:STU288_19270
ko:K02193	setu:STU288_19305
ko:K07772	setu:STU288_19330
ko:K00970	setu:STU288_00930
ko:K02014	setu:STU288_00965
ko:K06858	setu:STU288_01040
ko:K03478	setu:STU288_02910
ko:K16370	setu:STU288_02955
ko:K07283	setu:STU288_02960
ko:K03227	setu:STU288_03420
ko:K01759	setu:STU288_03490
ko:K01489	setu:STU288_07300
ko:K03748	setu:STU288_07305
ko:K10541	setu:STU288_07325
ko:K10540	setu:STU288_07335
ko:K00882	setu:STU288_07410
ko:K07126	setu:STU288_11100
ko:K04720	setu:STU288_11150
ko:K07258	setu:STU288_11190
ko:K03326	setu:STU288_11240
ko:K05966	setu:STU288_11280
ko:K05499	setu:STU288_20620
ko:K08314	setu:STU288_20705
ko:K00867	setu:STU288_20820
ko:K13637	setu:STU288_22605
ko:K06887	setu:STU288_22615
ko:K00135	setu:STU288_22670
ko:K01002	setu:STU288_22780
ko:K00564	setu:STU288_22840
ko:K07343	setu:STU288_01705
ko:K09909	setu:STU288_01730
ko:K01262	setu:STU288_15475
ko:K01934	setu:STU288_15490
ko:K00058	setu:STU288_15495
ko:K03442	setu:STU288_15520
ko:K06934	setu:STU288_15540
ko:K16923	setu:STU288_15545
ko:K16786	setu:STU288_15555
ko:K16787	setu:STU288_15560
ko:K01480	setu:STU288_15575
ko:K01585	setu:STU288_15625
ko:K11209	setu:STU288_15900
ko:K01176	setu:STU288_06205
ko:K02414	setu:STU288_06260
ko:K06281	setu:STU288_15935
ko:K06282	setu:STU288_15950
ko:K07126	setu:STU288_06425
ko:K03406	setu:STU288_15960
ko:K01760	setu:STU288_16005
ko:K06221	setu:STU288_16025
ko:K07666	setu:STU288_16090
ko:K01515	setu:STU288_16130
ko:K00932	setu:STU288_16420
ko:K01630	setu:STU288_16450
ko:K01708	setu:STU288_16455
ko:K16370	setu:STU288_16475
ko:K11189	setu:STU288_16485
ko:K02775	setu:STU288_16505
ko:K00094	setu:STU288_16510
ko:K02436	setu:STU288_16515
ko:K12961	setu:STU288_16535
ko:K03177	setu:STU288_16625
ko:K00700	setu:STU288_17880
ko:K07757	setu:STU288_10195
ko:K00851	setu:STU288_17900
ko:K03825	setu:STU288_17920
ko:K07048	setu:STU288_17940
ko:K05816	setu:STU288_17960
ko:K06970	setu:STU288_10285
ko:K05815	setu:STU288_17965
ko:K04763	setu:STU288_15400
ko:K11179	setu:STU288_01765
ko:K06910	setu:STU288_01750
ko:K13085	setu:STU288_01790
ko:K01679	setu:STU288_03655
ko:K14062	setu:STU288_03675
ko:K07312	setu:STU288_03795
ko:K00657	setu:STU288_03825
ko:K00568	setu:STU288_07755
ko:K12944	setu:STU288_07850
ko:K07346	setu:STU288_11645
ko:K14761	setu:STU288_11665
ko:K03768	setu:STU288_11690
ko:K02381	setu:STU288_11725
ko:K01466	setu:STU288_11755
ko:K03406	setu:STU288_18070
ko:K04085	setu:STU288_18075
ko:K05814	setu:STU288_17970
ko:K10440	setu:STU288_19645
ko:K00852	setu:STU288_19655
ko:K03769	setu:STU288_19740
ko:K02851	setu:STU288_19775
ko:K02852	setu:STU288_19830
ko:K11104	setu:STU288_21590
ko:K07792	setu:STU288_21600
ko:K07307	setu:STU288_21620
ko:K07308	setu:STU288_21625
ko:K07491	setu:STU288_21645
ko:K00247	setu:STU288_21795
ko:K00245	setu:STU288_21805
ko:K00244	setu:STU288_21810
ko:K07491	setu:STU288_1p00890
ko:K05812	setu:STU288_01285
ko:K01424	setu:STU288_02795
ko:K01916	setu:STU288_02875
ko:K01222	setu:STU288_02905
ko:K00575	setu:STU288_06000
ko:K07491	setu:STU288_06175
ko:K07491	setu:STU288_09860
ko:K10000	setu:STU288_09950
ko:K09998	setu:STU288_09965
ko:K02822	setu:STU288_09980
ko:K03475	setu:STU288_09985
ko:K05844	setu:STU288_10025
ko:K07258	setu:STU288_10085
ko:K03087	setu:STU288_14775
ko:K02100	setu:STU288_15245
ko:K00065	setu:STU288_15250
ko:K00626	setu:STU288_15260
ko:K07491	setu:STU288_15330
ko:K12943	setu:STU288_15365
ko:K03803	setu:STU288_01350
ko:K10762	setu:STU288_01410
ko:K15344	setu:STU288_03310
ko:K15368	setu:STU288_03315
ko:K15345	setu:STU288_03320
ko:K15346	setu:STU288_03325
ko:K15350	setu:STU288_03340
ko:K01104	setu:STU288_06970
ko:K03593	setu:STU288_07150
ko:K01545	setu:STU288_10865
ko:K03756	setu:STU288_10905
ko:K01835	setu:STU288_10915
ko:K03711	setu:STU288_10940
ko:K02564	setu:STU288_10985
ko:K02566	setu:STU288_11000
ko:K00101	setu:STU288_18665
ko:K03535	setu:STU288_18685
ko:K00639	setu:STU288_18740
ko:K02843	setu:STU288_18750
ko:K03280	setu:STU288_18765
ko:K12981	setu:STU288_18770
ko:K03279	setu:STU288_18780
ko:K02849	setu:STU288_18810
ko:K10563	setu:STU288_18825
ko:K01629	setu:STU288_20370
ko:K01813	setu:STU288_20375
ko:K02855	setu:STU288_20385
ko:K07640	setu:STU288_20440
ko:K13283	setu:STU288_20455
ko:K11530	setu:STU288_20545
ko:K02446	setu:STU288_20575
ko:K09022	setu:STU288_22360
ko:K01478	setu:STU288_22405
ko:K00046	setu:STU288_22485
ko:K00851	setu:STU288_22495
ko:K18984	setu:STU288_03300
ko:K01823	setu:STU288_15370
ko:K02428	setu:STU288_15705
ko:K01424	setu:STU288_15720
ko:K03289	setu:STU288_15755
ko:K09471	setu:STU288_15835
ko:K01974	setu:STU288_17790
ko:K02441	setu:STU288_17810
ko:K02116	setu:STU288_19590
ko:K03718	setu:STU288_19610
ko:K00799	setu:STU288_21420
ko:K03316	setu:STU288_21435
ko:K04015	setu:STU288_21485
ko:K04018	setu:STU288_21495
ko:K07126	setu:STU288_21505
ko:K04750	setu:STU288_21530
ko:K08234	setu:STU288_01185
ko:K07308	setu:STU288_08995
ko:K01011	setu:STU288_09020
ko:K13628	setu:STU288_09065
ko:K04488	setu:STU288_09070
ko:K01092	setu:STU288_09090
ko:K06889	setu:STU288_09095
ko:K02619	setu:STU288_02320
ko:K02778	setu:STU288_02345
ko:K02779	setu:STU288_02345
ko:K04774	setu:STU288_04965
ko:K10823	setu:STU288_05090
ko:K15583	setu:STU288_05095
ko:K15582	setu:STU288_05100
ko:K07126	setu:STU288_05160
ko:K00374	setu:STU288_05170
ko:K00088	setu:STU288_08905
ko:K01525	setu:STU288_00440
ko:K06177	setu:STU288_00475
ko:K00853	setu:STU288_00510
ko:K02099	setu:STU288_00515
ko:K01297	setu:STU288_05365
ko:K11105	setu:STU288_05370
ko:K11069	setu:STU288_02445
ko:K16950	setu:STU288_09100
ko:K16951	setu:STU288_09105
ko:K00385	setu:STU288_09110
ko:K03757	setu:STU288_09150
ko:K00769	setu:STU288_13130
ko:K01270	setu:STU288_13135
ko:K06445	setu:STU288_13175
ko:K11071	setu:STU288_02460
ko:K11072	setu:STU288_02465
ko:K01258	setu:STU288_02470
ko:K07660	setu:STU288_02490
ko:K06039	setu:STU288_05210
ko:K06282	setu:STU288_05295
ko:K06281	setu:STU288_05300
ko:K07034	setu:STU288_00040
ko:K01572	setu:STU288_00270
ko:K01571	setu:STU288_00275
ko:K01561	setu:STU288_12735
ko:K06179	setu:STU288_02260
ko:K03972	setu:STU288_04805
ko:K08992	setu:STU288_04920
ko:K00616	setu:STU288_08730
ko:K01439	setu:STU288_08780
ko:K07054	setu:STU288_08795
ko:K03548	setu:STU288_08830
ko:K02824	setu:STU288_08850
ko:K02014	setu:STU288_12570
ko:K01156	setu:STU288_12600
ko:K07316	setu:STU288_12605
ko:K08178	setu:STU288_12610
ko:K07213	setu:STU288_12615
ko:K00616	setu:STU288_00030
ko:K03307	setu:STU288_01970
ko:K01788	setu:STU288_01975
ko:K04477	setu:STU288_02010
ko:K14061	setu:STU288_04610
ko:K00567	setu:STU288_04665
ko:K00845	setu:STU288_08405
ko:K01885	setu:STU288_08455
ko:K02784	setu:STU288_08525
ko:K08483	setu:STU288_08530
ko:K03386	setu:STU288_12370
ko:K07657	setu:STU288_12395
ko:K08161	setu:STU288_12480
ko:K08161	setu:STU288_02100
ko:K03810	setu:STU288_02175
ko:K14587	setu:STU288_04430
ko:K03929	setu:STU288_04460
ko:K00121	setu:STU288_04480
ko:K02030	setu:STU288_04510
ko:K18552	setu:STU288_1p00745
ko:K13953	setu:STU288_04180
ko:K08350	setu:STU288_04185
ko:K16076	setu:STU288_04210
ko:K08167	setu:STU288_04220
ko:K02014	setu:STU288_04285
ko:K02775	setu:STU288_04415
ko:K06971	setu:STU288_04420
ko:K07052	setu:STU288_08270
ko:K00647	setu:STU288_08275
ko:K01782	setu:STU288_08325
ko:K08476	setu:STU288_08360
ko:K08475	setu:STU288_08365
ko:K08478	setu:STU288_08370
ko:K04063	setu:STU288_04155
ko:K00027	setu:STU288_04175
ko:K05966	setu:STU288_00315
ko:K08299	setu:STU288_00350
ko:K03855	setu:STU288_00395
ko:K00059	setu:STU288_02305
ko:K19611	setu:STU288_14060
ko:K14744	setu:STU288_01480
ko:K02495	setu:STU288_20155
ko:K19221	setu:STU288_04975
ko:K03111	setu:STU288_1p00065
ko:K00254	setu:STU288_01635
ko:K13654	setu:STU288_04290
ko:K01185	setu:STU288_12890
ko:K00884	setu:STU288_02435
ko:K01175	setu:STU288_10925
ko:K14223	setu:STU288_t23132
ko:K14223	setu:STU288_t23134
ko:K14232	setu:STU288_t23098
ko:K14228	setu:STU288_t23174
ko:K14234	setu:STU288_t23212
ko:K14227	setu:STU288_t23062
ko:K14227	setu:STU288_t23202
ko:K14227	setu:STU288_t23198
ko:K14219	setu:STU288_t23070
ko:K14237	setu:STU288_t23074
ko:K14225	setu:STU288_t23086
ko:K14225	setu:STU288_t23222
ko:K14225	setu:STU288_t23220
ko:K14225	setu:STU288_t23218
ko:K14219	setu:STU288_t23154
ko:K14219	setu:STU288_t23158
ko:K14219	setu:STU288_t23156
ko:K14230	setu:STU288_t23162
ko:K14230	setu:STU288_t23164
ko:K14230	setu:STU288_t23172
ko:K14231	setu:STU288_t23168
ko:K14231	setu:STU288_t23216
ko:K14230	setu:STU288_t23170
ko:K14234	setu:STU288_t23176
ko:K14219	setu:STU288_t23190
ko:K14232	setu:STU288_t23196
ko:K14225	setu:STU288_t23210
ko:K14234	setu:STU288_t23146
ko:K14230	setu:STU288_t23128
ko:K14230	setu:STU288_t23136
ko:K19230	setu:STU288_04855
ko:K18828	setu:STU288_15335
ko:K18828	setu:STU288_1p00360
ko:K00537	setu:STU288_08840
ko:K18816	setu:STU288_04440
ko:K07012	setu:STU288_14880
ko:K00984	setu:STU288_1p00750
ko:K07662	setu:STU288_20445
ko:K03801	setu:STU288_11200
ko:K03644	setu:STU288_11210
ko:K03425	setu:STU288_11215
ko:K06199	setu:STU288_11225
ko:K03704	setu:STU288_11230
ko:K12973	setu:STU288_11235
ko:K07702	setu:STU288_11245
ko:K07700	setu:STU288_11250
ko:K01910	setu:STU288_11255
ko:K01646	setu:STU288_11260
ko:K01644	setu:STU288_11265
ko:K01643	setu:STU288_11270
ko:K05964	setu:STU288_11275
ko:K01169	setu:STU288_11290
ko:K06140	setu:STU288_11295
ko:K11932	setu:STU288_11305
ko:K03387	setu:STU288_11330
ko:K03805	setu:STU288_11340
ko:K14287	setu:STU288_11360
ko:K08317	setu:STU288_11365
ko:K06200	setu:STU288_11375
ko:K00216	setu:STU288_11385
ko:K01252	setu:STU288_11390
ko:K02363	setu:STU288_11395
ko:K02361	setu:STU288_11400
ko:K02016	setu:STU288_11405
ko:K02015	setu:STU288_11415
ko:K02015	setu:STU288_11420
ko:K02013	setu:STU288_11425
ko:K02364	setu:STU288_11435
ko:K14187	setu:STU288_13510
ko:K01626	setu:STU288_13515
ko:K02884	setu:STU288_13530
ko:K00554	setu:STU288_13535
ko:K02860	setu:STU288_13540
ko:K02959	setu:STU288_13545
ko:K03106	setu:STU288_13550
ko:K03687	setu:STU288_13570
ko:K00858	setu:STU288_13575
ko:K03631	setu:STU288_13580
ko:K06186	setu:STU288_13585
ko:K09801	setu:STU288_13590
ko:K03664	setu:STU288_13600
ko:K12543	setu:STU288_13610
ko:K12541	setu:STU288_13615
ko:K12542	setu:STU288_13620
ko:K03923	setu:STU288_16100
ko:K02622	setu:STU288_16110
ko:K07000	setu:STU288_16115
ko:K03651	setu:STU288_16120
ko:K09920	setu:STU288_16125
ko:K12340	setu:STU288_16135
ko:K07238	setu:STU288_16155
ko:K03673	setu:STU288_16175
ko:K03611	setu:STU288_16180
ko:K03272	setu:STU288_16215
ko:K00982	setu:STU288_16220
ko:K07184	setu:STU288_16230
ko:K06153	setu:STU288_16240
ko:K01633	setu:STU288_16245
ko:K08591	setu:STU288_16250
ko:K02970	setu:STU288_16260
ko:K03086	setu:STU288_16270
ko:K07229	setu:STU288_16280
ko:K11391	setu:STU288_16310
ko:K07043	setu:STU288_16315
ko:K07862	setu:STU288_16335
ko:K01972	setu:STU288_18895
ko:K00942	setu:STU288_18900
ko:K03060	setu:STU288_18905
ko:K00556	setu:STU288_18915
ko:K03655	setu:STU288_18920
ko:K03312	setu:STU288_18930
ko:K16345	setu:STU288_18935
ko:K01811	setu:STU288_18945
ko:K01531	setu:STU288_19015
ko:K07507	setu:STU288_19020
ko:K01223	setu:STU288_19075
ko:K07726	setu:STU288_19090
ko:K02774	setu:STU288_19115
ko:K02773	setu:STU288_19120
ko:K07677	setu:STU288_07725
ko:K02469	setu:STU288_07730
ko:K11107	setu:STU288_07770
ko:K01126	setu:STU288_07785
ko:K02445	setu:STU288_07790
ko:K00111	setu:STU288_07795
ko:K00112	setu:STU288_07800
ko:K00113	setu:STU288_07805
ko:K12660	setu:STU288_07820
ko:K12661	setu:STU288_07830
ko:K07806	setu:STU288_07860
ko:K10012	setu:STU288_07865
ko:K09824	setu:STU288_14070
ko:K07241	setu:STU288_14085
ko:K07649	setu:STU288_14090
ko:K07774	setu:STU288_14095
ko:K07795	setu:STU288_14100
ko:K15737	setu:STU288_14115
ko:K15736	setu:STU288_14120
ko:K11735	setu:STU288_14135
ko:K15735	setu:STU288_14140
ko:K00375	setu:STU288_14190
ko:K02000	setu:STU288_14220
ko:K02001	setu:STU288_14225
ko:K02002	setu:STU288_14230
ko:K15974	setu:STU288_14240
ko:K03543	setu:STU288_14245
ko:K03446	setu:STU288_14250
ko:K07173	setu:STU288_14260
ko:K01919	setu:STU288_14265
ko:K03563	setu:STU288_14285
ko:K01872	setu:STU288_14290
ko:K03565	setu:STU288_14295
ko:K05803	setu:STU288_16610
ko:K00962	setu:STU288_16615
ko:K02956	setu:STU288_16620
ko:K02834	setu:STU288_16630
ko:K02519	setu:STU288_16635
ko:K02600	setu:STU288_16640
ko:K09748	setu:STU288_16645
ko:K01940	setu:STU288_16650
ko:K03075	setu:STU288_16660
ko:K03431	setu:STU288_16665
ko:K00796	setu:STU288_16670
ko:K03798	setu:STU288_16675
ko:K07574	setu:STU288_16685
ko:K03624	setu:STU288_16690
ko:K07259	setu:STU288_16700
ko:K03979	setu:STU288_16710
ko:K02899	setu:STU288_16725
ko:K02888	setu:STU288_16730
ko:K02523	setu:STU288_16735
ko:K00790	setu:STU288_16745
ko:K07122	setu:STU288_16755
ko:K07323	setu:STU288_16760
ko:K02066	setu:STU288_16770
ko:K02065	setu:STU288_16775
ko:K07301	setu:STU288_16780
ko:K06041	setu:STU288_16785
ko:K03270	setu:STU288_16790
ko:K11719	setu:STU288_16795
ko:K09774	setu:STU288_16800
ko:K06861	setu:STU288_16805
ko:K03092	setu:STU288_16810
ko:K05808	setu:STU288_16815
ko:K06958	setu:STU288_16825
ko:K03814	setu:STU288_16840
ko:K00928	setu:STU288_21195
ko:K01810	setu:STU288_21200
ko:K13256	setu:STU288_21225
ko:K10110	setu:STU288_21230
ko:K10109	setu:STU288_21235
ko:K10108	setu:STU288_21240
ko:K10111	setu:STU288_21245
ko:K02024	setu:STU288_21250
ko:K05775	setu:STU288_21255
ko:K03181	setu:STU288_21260
ko:K03179	setu:STU288_21265
ko:K00631	setu:STU288_21270
ko:K00901	setu:STU288_21275
ko:K01356	setu:STU288_21280
ko:K03327	setu:STU288_21285
ko:K09823	setu:STU288_21300
ko:K05539	setu:STU288_21310
ko:K11754	setu:STU288_08210
ko:K01963	setu:STU288_08215
ko:K03975	setu:STU288_08220
ko:K06173	setu:STU288_08225
ko:K03473	setu:STU288_08235
ko:K15461	setu:STU288_08280
ko:K09906	setu:STU288_08290
ko:K07090	setu:STU288_08295
ko:K07261	setu:STU288_08300
ko:K01736	setu:STU288_08305
ko:K07320	setu:STU288_08310
ko:K08296	setu:STU288_08320
ko:K06076	setu:STU288_08340
ko:K04754	setu:STU288_08345
ko:K11382	setu:STU288_08380
ko:K12974	setu:STU288_08395
ko:K14261	setu:STU288_08400
ko:K03322	setu:STU288_08430
ko:K11535	setu:STU288_08435
ko:K09999	setu:STU288_09960
ko:K09996	setu:STU288_09970
ko:K03212	setu:STU288_09990
ko:K11074	setu:STU288_10000
ko:K11075	setu:STU288_10005
ko:K11076	setu:STU288_10010
ko:K07085	setu:STU288_10050
ko:K08160	setu:STU288_10070
ko:K11534	setu:STU288_10080
ko:K00311	setu:STU288_10110
ko:K03522	setu:STU288_10125
ko:K03521	setu:STU288_10130
ko:K14441	setu:STU288_10145
ko:K13891	setu:STU288_10150
ko:K13890	setu:STU288_10155
ko:K13889	setu:STU288_10160
ko:K13892	setu:STU288_10165
ko:K13051	setu:STU288_10170
ko:K03750	setu:STU288_10175
ko:K04069	setu:STU288_10185
ko:K00656	setu:STU288_10190
ko:K06187	setu:STU288_11950
ko:K09747	setu:STU288_11955
ko:K02343	setu:STU288_11960
ko:K00759	setu:STU288_11965
ko:K09790	setu:STU288_11970
ko:K05802	setu:STU288_11990
ko:K03577	setu:STU288_11995
ko:K02919	setu:STU288_12030
ko:K02909	setu:STU288_12035
ko:K07443	setu:STU288_12045
ko:K09914	setu:STU288_12050
ko:K10805	setu:STU288_12055
ko:K03320	setu:STU288_12060
ko:K04752	setu:STU288_12065
ko:K01738	setu:STU288_12090
ko:K11938	setu:STU288_12095
ko:K06920	setu:STU288_12105
ko:K12500	setu:STU288_12110
ko:K02237	setu:STU288_12115
ko:K03770	setu:STU288_12120
ko:K03530	setu:STU288_12125
ko:K01338	setu:STU288_12130
ko:K03544	setu:STU288_12135
ko:K01358	setu:STU288_12140
ko:K03545	setu:STU288_12145
ko:K05527	setu:STU288_12150
ko:K07286	setu:STU288_12155
ko:K08218	setu:STU288_12160
ko:K02297	setu:STU288_12165
ko:K02298	setu:STU288_12170
ko:K02299	setu:STU288_12175
ko:K02300	setu:STU288_12180
ko:K09767	setu:STU288_12205
ko:K00077	setu:STU288_12210
ko:K03152	setu:STU288_12215
ko:K02781	setu:STU288_14325
ko:K02468	setu:STU288_14340
ko:K02467	setu:STU288_14345
ko:K12266	setu:STU288_14350
ko:K12264	setu:STU288_14355
ko:K12265	setu:STU288_14360
ko:K04656	setu:STU288_14365
ko:K05796	setu:STU288_14370
ko:K08315	setu:STU288_14380
ko:K15834	setu:STU288_14385
ko:K15832	setu:STU288_14390
ko:K15831	setu:STU288_14395
ko:K15830	setu:STU288_14400
ko:K15829	setu:STU288_14405
ko:K15828	setu:STU288_14410
ko:K15827	setu:STU288_14415
ko:K15833	setu:STU288_14420
ko:K04651	setu:STU288_14425
ko:K04653	setu:STU288_14435
ko:K04654	setu:STU288_14440
ko:K15836	setu:STU288_14450
ko:K11605	setu:STU288_14470
ko:K11606	setu:STU288_14475
ko:K03221	setu:STU288_14520
ko:K07648	setu:STU288_16850
ko:K07139	setu:STU288_16855
ko:K00266	setu:STU288_16865
ko:K10974	setu:STU288_16875
ko:K00885	setu:STU288_16890
ko:K03290	setu:STU288_16900
ko:K03600	setu:STU288_16915
ko:K03599	setu:STU288_16920
ko:K02996	setu:STU288_16930
ko:K02871	setu:STU288_16935
ko:K06916	setu:STU288_16940
ko:K09908	setu:STU288_16945
ko:K04691	setu:STU288_16955
ko:K01573	setu:STU288_16985
ko:K03780	setu:STU288_16990
ko:K00024	setu:STU288_17015
ko:K03402	setu:STU288_17020
ko:K03623	setu:STU288_17040
ko:K03468	setu:STU288_17045
ko:K15548	setu:STU288_17050
ko:K03568	setu:STU288_17065
