ko:K02495	ena:ECNA114_3967
ko:K14219	ena:ECNA114_t38
ko:K14219	ena:ECNA114_t39
ko:K14219	ena:ECNA114_t78
ko:K14233	ena:ECNA114_t40
ko:K14230	ena:ECNA114_t41
ko:K14230	ena:ECNA114_t42
ko:K14230	ena:ECNA114_t45
ko:K16140	ena:ECNA114_1662
ko:K14225	ena:ECNA114_t43
ko:K14231	ena:ECNA114_t66
ko:K14230	ena:ECNA114_t44
ko:K14228	ena:ECNA114_t46
ko:K14234	ena:ECNA114_t47
ko:K14232	ena:ECNA114_t56
ko:K14219	ena:ECNA114_t61
ko:K14226	ena:ECNA114_t62
ko:K16137	ena:ECNA114_1697
ko:K16089	ena:ECNA114_4546
ko:K14234	ena:ECNA114_t50
ko:K01977	ena:ECNA114_16sr7
ko:K01977	ena:ECNA114_16sr1
ko:K01977	ena:ECNA114_16sr2
ko:K01977	ena:ECNA114_16sr4
ko:K01977	ena:ECNA114_16sr6
ko:K01977	ena:ECNA114_16sr3
ko:K01977	ena:ECNA114_16sr5
ko:K16137	ena:ECNA114_4524
ko:K02550	ena:ECNA114_3050
ko:K07347	ena:ECNA114_0128
ko:K02014	ena:ECNA114_0141
ko:K02014	ena:ECNA114_2109
ko:K02014	ena:ECNA114_4697
ko:K05875	ena:ECNA114_1950
ko:K00130	ena:ECNA114_0303
ko:K03313	ena:ECNA114_0004
ko:K03717	ena:ECNA114_0005
ko:K01811	ena:ECNA114_0006
ko:K02968	ena:ECNA114_0008
ko:K11753	ena:ECNA114_0009
ko:K01870	ena:ECNA114_0010
ko:K03101	ena:ECNA114_0011
ko:K03774	ena:ECNA114_0012
ko:K03527	ena:ECNA114_0013
ko:K12700	ena:ECNA114_0014
ko:K00215	ena:ECNA114_0016
ko:K01956	ena:ECNA114_0018
ko:K01955	ena:ECNA114_0019
ko:K08277	ena:ECNA114_0021
ko:K02182	ena:ECNA114_0024
ko:K08298	ena:ECNA114_0025
ko:K08297	ena:ECNA114_0026
ko:K05245	ena:ECNA114_0027
ko:K03521	ena:ECNA114_0029
ko:K03522	ena:ECNA114_0030
ko:K00313	ena:ECNA114_0031
ko:K08368	ena:ECNA114_0033
ko:K11746	ena:ECNA114_0034
ko:K06195	ena:ECNA114_0040
ko:K02528	ena:ECNA114_0041
ko:K09824	ena:ECNA114_0819
ko:K13888	ena:ECNA114_0820
ko:K05685	ena:ECNA114_0821
ko:K03704	ena:ECNA114_0822
ko:K06891	ena:ECNA114_0823
ko:K03694	ena:ECNA114_0824
ko:K12972	ena:ECNA114_0825
ko:K06214	ena:ECNA114_0830
ko:K04338	ena:ECNA114_0831
ko:K04337	ena:ECNA114_0832
ko:K02518	ena:ECNA114_0834
ko:K00684	ena:ECNA114_0835
ko:K00384	ena:ECNA114_0838
ko:K03466	ena:ECNA114_0841
ko:K03634	ena:ECNA114_0842
ko:K07478	ena:ECNA114_0843
ko:K01875	ena:ECNA114_0844
ko:K14155	ena:ECNA114_1669
ko:K10773	ena:ECNA114_1681
ko:K03305	ena:ECNA114_1682
ko:K00868	ena:ECNA114_1684
ko:K01866	ena:ECNA114_1685
ko:K00275	ena:ECNA114_1686
ko:K09001	ena:ECNA114_1688
ko:K06077	ena:ECNA114_1689
ko:K10680	ena:ECNA114_1698
ko:K03683	ena:ECNA114_1700
ko:K07390	ena:ECNA114_1701
ko:K04564	ena:ECNA114_1703
ko:K00574	ena:ECNA114_1709
ko:K00793	ena:ECNA114_1710
ko:K03327	ena:ECNA114_1711
ko:K08354	ena:ECNA114_1716
ko:K11537	ena:ECNA114_2482
ko:K03815	ena:ECNA114_2483
ko:K14347	ena:ECNA114_2486
ko:K09954	ena:ECNA114_2487
ko:K01972	ena:ECNA114_2488
ko:K03528	ena:ECNA114_2489
ko:K06203	ena:ECNA114_2490
ko:K01738	ena:ECNA114_2491
ko:K00868	ena:ECNA114_2495
ko:K12339	ena:ECNA114_2497
ko:K02045	ena:ECNA114_2498
ko:K02047	ena:ECNA114_2499
ko:K02046	ena:ECNA114_2500
ko:K02048	ena:ECNA114_2501
ko:K07106	ena:ECNA114_2503
ko:K11191	ena:ECNA114_2504
ko:K11192	ena:ECNA114_2504
ko:K07223	ena:ECNA114_2506
ko:K01448	ena:ECNA114_2510
ko:K00228	ena:ECNA114_2511
ko:K04033	ena:ECNA114_2512
ko:K04025	ena:ECNA114_2513
ko:K04026	ena:ECNA114_2514
ko:K03736	ena:ECNA114_2515
ko:K03735	ena:ECNA114_2516
ko:K04019	ena:ECNA114_2517
ko:K04023	ena:ECNA114_2518
ko:K04022	ena:ECNA114_2519
ko:K04024	ena:ECNA114_2520
ko:K04021	ena:ECNA114_2521
ko:K04020	ena:ECNA114_2524
ko:K04032	ena:ECNA114_2525
ko:K04030	ena:ECNA114_2526
ko:K07648	ena:ECNA114_3289
ko:K07139	ena:ECNA114_3290
ko:K00266	ena:ECNA114_3293
ko:K00885	ena:ECNA114_3295
ko:K03290	ena:ECNA114_3297
ko:K03600	ena:ECNA114_3300
ko:K03599	ena:ECNA114_3301
ko:K02996	ena:ECNA114_3302
ko:K02871	ena:ECNA114_3303
ko:K06916	ena:ECNA114_3304
ko:K09908	ena:ECNA114_3305
ko:K04691	ena:ECNA114_3307
ko:K00024	ena:ECNA114_3308
ko:K03402	ena:ECNA114_3309
ko:K03623	ena:ECNA114_3311
ko:K03468	ena:ECNA114_3312
ko:K15548	ena:ECNA114_3313
ko:K03568	ena:ECNA114_3316
ko:K08301	ena:ECNA114_3318
ko:K06287	ena:ECNA114_3319
ko:K03571	ena:ECNA114_3320
ko:K03570	ena:ECNA114_3321
ko:K03569	ena:ECNA114_3322
ko:K02160	ena:ECNA114_3326
ko:K01961	ena:ECNA114_3327
ko:K10441	ena:ECNA114_3331
ko:K14392	ena:ECNA114_3339
ko:K02687	ena:ECNA114_3340
ko:K00297	ena:ECNA114_4082
ko:K03782	ena:ECNA114_4083
ko:K09974	ena:ECNA114_4085
ko:K00005	ena:ECNA114_4086
ko:K08483	ena:ECNA114_4088
ko:K11189	ena:ECNA114_4088
ko:K11201	ena:ECNA114_4088
ko:K11203	ena:ECNA114_4089
ko:K11202	ena:ECNA114_4090
ko:K00656	ena:ECNA114_4091
ko:K04069	ena:ECNA114_4092
ko:K11202	ena:ECNA114_4093
ko:K01595	ena:ECNA114_4096
ko:K01438	ena:ECNA114_4097
ko:K00145	ena:ECNA114_4098
ko:K00930	ena:ECNA114_4099
ko:K01755	ena:ECNA114_4100
ko:K04761	ena:ECNA114_4101
ko:K00322	ena:ECNA114_4102
ko:K01776	ena:ECNA114_4109
ko:K05786	ena:ECNA114_4110
ko:K01058	ena:ECNA114_4112
ko:K03654	ena:ECNA114_4113
ko:K05835	ena:ECNA114_4114
ko:K05834	ena:ECNA114_4116
ko:K03576	ena:ECNA114_4120
ko:K00549	ena:ECNA114_4121
ko:K08094	ena:ECNA114_4122
ko:K00615	ena:ECNA114_4124
ko:K00926	ena:ECNA114_4129
ko:K03977	ena:ECNA114_2589
ko:K01892	ena:ECNA114_2592
ko:K15539	ena:ECNA114_2594
ko:K06941	ena:ECNA114_2595
ko:K00940	ena:ECNA114_2596
ko:K05367	ena:ECNA114_2597
ko:K06894	ena:ECNA114_2598
ko:K07751	ena:ECNA114_2601
ko:K04755	ena:ECNA114_2603
ko:K04044	ena:ECNA114_2604
ko:K04082	ena:ECNA114_2605
ko:K04487	ena:ECNA114_2609
ko:K13643	ena:ECNA114_2610
ko:K15396	ena:ECNA114_2611
ko:K05820	ena:ECNA114_2615
ko:K15977	ena:ECNA114_2616
ko:K02057	ena:ECNA114_2619
ko:K00600	ena:ECNA114_2624
ko:K05916	ena:ECNA114_2625
ko:K04751	ena:ECNA114_2626
ko:K07715	ena:ECNA114_2627
ko:K07711	ena:ECNA114_2629
ko:K02904	ena:ECNA114_3386
ko:K02878	ena:ECNA114_3387
ko:K02982	ena:ECNA114_3388
ko:K02890	ena:ECNA114_3389
ko:K02965	ena:ECNA114_3390
ko:K02886	ena:ECNA114_3391
ko:K02892	ena:ECNA114_3392
ko:K02926	ena:ECNA114_3393
ko:K02906	ena:ECNA114_3394
ko:K02946	ena:ECNA114_3395
ko:K02451	ena:ECNA114_3396
ko:K02452	ena:ECNA114_3398
ko:K02453	ena:ECNA114_3399
ko:K02455	ena:ECNA114_3401
ko:K02456	ena:ECNA114_3402
ko:K02457	ena:ECNA114_3403
ko:K02458	ena:ECNA114_3404
ko:K02459	ena:ECNA114_3405
ko:K02460	ena:ECNA114_3406
ko:K02461	ena:ECNA114_3407
ko:K02462	ena:ECNA114_3408
ko:K03594	ena:ECNA114_3410
ko:K02192	ena:ECNA114_3411
ko:K00602	ena:ECNA114_3416
ko:K01945	ena:ECNA114_3417
ko:K07803	ena:ECNA114_3421
ko:K05787	ena:ECNA114_3423
ko:K09891	ena:ECNA114_3424
ko:K05982	ena:ECNA114_3425
ko:K01599	ena:ECNA114_3426
ko:K03426	ena:ECNA114_3427
ko:K07740	ena:ECNA114_3428
ko:K03147	ena:ECNA114_3429
ko:K00788	ena:ECNA114_3430
ko:K03149	ena:ECNA114_3431
ko:K03150	ena:ECNA114_3432
ko:K03046	ena:ECNA114_3433
ko:K03043	ena:ECNA114_3434
ko:K02935	ena:ECNA114_3435
ko:K02864	ena:ECNA114_3436
ko:K06182	ena:ECNA114_4178
ko:K00928	ena:ECNA114_4180
ko:K01810	ena:ECNA114_4181
ko:K13256	ena:ECNA114_4188
ko:K02024	ena:ECNA114_4193
ko:K05775	ena:ECNA114_4194
ko:K03181	ena:ECNA114_4196
ko:K03179	ena:ECNA114_4197
ko:K00631	ena:ECNA114_4198
ko:K00901	ena:ECNA114_4199
ko:K01356	ena:ECNA114_4200
ko:K03327	ena:ECNA114_4201
ko:K09823	ena:ECNA114_4203
ko:K05539	ena:ECNA114_4204
ko:K02529	ena:ECNA114_4211
ko:K01775	ena:ECNA114_4213
ko:K03811	ena:ECNA114_4214
ko:K00832	ena:ECNA114_4216
ko:K00164	ena:ECNA114_4217
ko:K00658	ena:ECNA114_4218
ko:K00382	ena:ECNA114_4219
ko:K01903	ena:ECNA114_4220
ko:K01902	ena:ECNA114_4221
ko:K10126	ena:ECNA114_4224
ko:K10125	ena:ECNA114_4225
ko:K03702	ena:ECNA114_0711
ko:K03639	ena:ECNA114_0713
ko:K03638	ena:ECNA114_0714
ko:K03637	ena:ECNA114_0715
ko:K03636	ena:ECNA114_0716
ko:K06890	ena:ECNA114_0718
ko:K06890	ena:ECNA114_0719
ko:K01993	ena:ECNA114_0727
ko:K11927	ena:ECNA114_0729
ko:K13574	ena:ECNA114_0734
ko:K13650	ena:ECNA114_0739
ko:K10037	ena:ECNA114_0743
ko:K11939	ena:ECNA114_0756
ko:K11934	ena:ECNA114_0757
ko:K11924	ena:ECNA114_0760
ko:K03817	ena:ECNA114_1565
ko:K03304	ena:ECNA114_1567
ko:K05782	ena:ECNA114_1570
ko:K08303	ena:ECNA114_1572
ko:K02053	ena:ECNA114_1579
ko:K00137	ena:ECNA114_1580
ko:K09936	ena:ECNA114_1584
ko:K03823	ena:ECNA114_1585
ko:K11738	ena:ECNA114_1589
ko:K07347	ena:ECNA114_1595
ko:K07345	ena:ECNA114_1597
ko:K07154	ena:ECNA114_1600
ko:K00041	ena:ECNA114_1604
ko:K01425	ena:ECNA114_1607
ko:K08324	ena:ECNA114_1608
ko:K08159	ena:ECNA114_1611
ko:K03712	ena:ECNA114_1613
ko:K13632	ena:ECNA114_1614
ko:K13630	ena:ECNA114_1615
ko:K15268	ena:ECNA114_1616
ko:K09161	ena:ECNA114_2384
ko:K09899	ena:ECNA114_2385
ko:K00925	ena:ECNA114_2387
ko:K13788	ena:ECNA114_2388
ko:K07095	ena:ECNA114_2391
ko:K07589	ena:ECNA114_2394
ko:K07071	ena:ECNA114_2395
ko:K10017	ena:ECNA114_2396
ko:K10015	ena:ECNA114_2397
ko:K10016	ena:ECNA114_2398
ko:K03186	ena:ECNA114_2401
ko:K00764	ena:ECNA114_2402
ko:K03558	ena:ECNA114_2403
ko:K03749	ena:ECNA114_2404
ko:K11754	ena:ECNA114_2405
ko:K01963	ena:ECNA114_2406
ko:K03975	ena:ECNA114_2407
ko:K06173	ena:ECNA114_2408
ko:K03473	ena:ECNA114_2411
ko:K15461	ena:ECNA114_2415
ko:K09906	ena:ECNA114_2417
ko:K07090	ena:ECNA114_2418
ko:K07261	ena:ECNA114_2419
ko:K01736	ena:ECNA114_2420
ko:K07320	ena:ECNA114_2421
ko:K08296	ena:ECNA114_2430
ko:K15977	ena:ECNA114_3194
ko:K06911	ena:ECNA114_3198
ko:K07591	ena:ECNA114_3204
ko:K00865	ena:ECNA114_3205
ko:K12299	ena:ECNA114_3208
ko:K02746	ena:ECNA114_3216
ko:K02747	ena:ECNA114_3217
ko:K02079	ena:ECNA114_3219
ko:K02082	ena:ECNA114_3220
ko:K10984	ena:ECNA114_3222
ko:K10985	ena:ECNA114_3223
ko:K10986	ena:ECNA114_3224
ko:K02080	ena:ECNA114_3225
ko:K07056	ena:ECNA114_3226
ko:K07121	ena:ECNA114_32261
ko:K07460	ena:ECNA114_3227
ko:K07089	ena:ECNA114_3230
ko:K05520	ena:ECNA114_3232
ko:K09979	ena:ECNA114_3233
ko:K07461	ena:ECNA114_3234
ko:K03824	ena:ECNA114_3235
ko:K08303	ena:ECNA114_3238
ko:K08318	ena:ECNA114_3975
ko:K07058	ena:ECNA114_3982
ko:K07560	ena:ECNA114_3983
ko:K02380	ena:ECNA114_3991
ko:K00123	ena:ECNA114_3994
ko:K00123	ena:ECNA114_39941
ko:K02379	ena:ECNA114_3996
ko:K03534	ena:ECNA114_3999
ko:K00848	ena:ECNA114_4002
ko:K02854	ena:ECNA114_4005
ko:K02856	ena:ECNA114_4006
ko:K04564	ena:ECNA114_4007
ko:K02526	ena:ECNA114_4009
ko:K06006	ena:ECNA114_4013
ko:K09765	ena:ECNA114_4818
ko:K02802	ena:ECNA114_0609
ko:K02803	ena:ECNA114_0609
ko:K02804	ena:ECNA114_0609
ko:K01714	ena:ECNA114_0614
ko:K01886	ena:ECNA114_0619
ko:K03839	ena:ECNA114_0623
ko:K03645	ena:ECNA114_0626
ko:K01581	ena:ECNA114_0629
ko:K07667	ena:ECNA114_0631
ko:K07646	ena:ECNA114_0632
ko:K01548	ena:ECNA114_0633
ko:K01547	ena:ECNA114_0634
ko:K01546	ena:ECNA114_0635
ko:K01669	ena:ECNA114_0639
ko:K03305	ena:ECNA114_0640
ko:K07160	ena:ECNA114_0644
ko:K01685	ena:ECNA114_0652
ko:K01647	ena:ECNA114_0656
ko:K00242	ena:ECNA114_0658
ko:K00239	ena:ECNA114_0659
ko:K00240	ena:ECNA114_0660
ko:K03168	ena:ECNA114_1463
ko:K13634	ena:ECNA114_1464
ko:K01681	ena:ECNA114_1467
ko:K03113	ena:ECNA114_1473
ko:K04062	ena:ECNA114_1474
ko:K14051	ena:ECNA114_1477
ko:K01147	ena:ECNA114_1478
ko:K00208	ena:ECNA114_1480
ko:K07552	ena:ECNA114_1485
ko:K03974	ena:ECNA114_1492
ko:K03969	ena:ECNA114_1493
ko:K03970	ena:ECNA114_1494
ko:K03971	ena:ECNA114_1496
ko:K14053	ena:ECNA114_1509
ko:K07014	ena:ECNA114_2283
ko:K07685	ena:ECNA114_2285
ko:K02199	ena:ECNA114_2287
ko:K02198	ena:ECNA114_2288
ko:K02197	ena:ECNA114_2289
ko:K02196	ena:ECNA114_2290
ko:K02195	ena:ECNA114_2291
ko:K02194	ena:ECNA114_2292
ko:K02568	ena:ECNA114_2295
ko:K02573	ena:ECNA114_2297
ko:K02567	ena:ECNA114_2298
ko:K02570	ena:ECNA114_2299
ko:K02572	ena:ECNA114_2300
ko:K08276	ena:ECNA114_2302
ko:K00116	ena:ECNA114_2303
ko:K06159	ena:ECNA114_2304
ko:K03919	ena:ECNA114_2305
ko:K10778	ena:ECNA114_2306
ko:K03734	ena:ECNA114_2307
ko:K09475	ena:ECNA114_2308
ko:K07676	ena:ECNA114_2309
ko:K07687	ena:ECNA114_2310
ko:K07677	ena:ECNA114_2311
ko:K07710	ena:ECNA114_2312
ko:K01034	ena:ECNA114_2314
ko:K02106	ena:ECNA114_2316
ko:K06894	ena:ECNA114_2320
ko:K09934	ena:ECNA114_2321
ko:K02469	ena:ECNA114_2323
ko:K11107	ena:ECNA114_2329
ko:K01126	ena:ECNA114_2331
ko:K02445	ena:ECNA114_2332
ko:K03561	ena:ECNA114_3088
ko:K08325	ena:ECNA114_3092
ko:K00655	ena:ECNA114_3105
ko:K02621	ena:ECNA114_3106
ko:K07471	ena:ECNA114_3108
ko:K03923	ena:ECNA114_3112
ko:K02016	ena:ECNA114_3115
ko:K02015	ena:ECNA114_3116
ko:K02015	ena:ECNA114_3117
ko:K02013	ena:ECNA114_3118
ko:K02622	ena:ECNA114_3121
ko:K07000	ena:ECNA114_3122
ko:K03651	ena:ECNA114_3123
ko:K09920	ena:ECNA114_3124
ko:K12340	ena:ECNA114_3126
ko:K03673	ena:ECNA114_3131
ko:K03611	ena:ECNA114_3132
ko:K07238	ena:ECNA114_3134
ko:K02112	ena:ECNA114_3881
ko:K02115	ena:ECNA114_3882
ko:K02111	ena:ECNA114_3883
ko:K02113	ena:ECNA114_3884
ko:K02109	ena:ECNA114_3885
ko:K02110	ena:ECNA114_3886
ko:K02108	ena:ECNA114_3887
ko:K03501	ena:ECNA114_3889
ko:K03495	ena:ECNA114_3890
ko:K06205	ena:ECNA114_3891
ko:K01914	ena:ECNA114_3893
ko:K03924	ena:ECNA114_3895
ko:K03549	ena:ECNA114_3896
ko:K06726	ena:ECNA114_3897
ko:K10441	ena:ECNA114_3898
ko:K02529	ena:ECNA114_3902
ko:K09897	ena:ECNA114_3906
ko:K07391	ena:ECNA114_3907
ko:K01652	ena:ECNA114_3908
ko:K11258	ena:ECNA114_3909
ko:K00826	ena:ECNA114_3910
ko:K01687	ena:ECNA114_3911
ko:K01754	ena:ECNA114_39121
ko:K02521	ena:ECNA114_3913
ko:K00053	ena:ECNA114_3914
ko:K03656	ena:ECNA114_3916
ko:K01524	ena:ECNA114_3917
ko:K03732	ena:ECNA114_3918
ko:K03671	ena:ECNA114_3919
ko:K03628	ena:ECNA114_3920
ko:K05790	ena:ECNA114_3923
ko:K10036	ena:ECNA114_4680
ko:K04047	ena:ECNA114_4681
ko:K03897	ena:ECNA114_4698
ko:K09022	ena:ECNA114_4346
ko:K02300	ena:ECNA114_0406
ko:K02299	ena:ECNA114_0407
ko:K02298	ena:ECNA114_0408
ko:K02297	ena:ECNA114_0409
ko:K08218	ena:ECNA114_0410
ko:K07286	ena:ECNA114_0411
ko:K05527	ena:ECNA114_0412
ko:K03545	ena:ECNA114_0414
ko:K01358	ena:ECNA114_0415
ko:K03544	ena:ECNA114_0416
ko:K01338	ena:ECNA114_0417
ko:K03530	ena:ECNA114_0418
ko:K03770	ena:ECNA114_0419
ko:K02237	ena:ECNA114_0420
ko:K12500	ena:ECNA114_0421
ko:K06920	ena:ECNA114_0422
ko:K11938	ena:ECNA114_0424
ko:K05800	ena:ECNA114_0425
ko:K04752	ena:ECNA114_0429
ko:K03320	ena:ECNA114_0430
ko:K10805	ena:ECNA114_0431
ko:K09914	ena:ECNA114_0433
ko:K07443	ena:ECNA114_0434
ko:K03577	ena:ECNA114_0443
ko:K05802	ena:ECNA114_0444
ko:K09790	ena:ECNA114_0447
ko:K00759	ena:ECNA114_0448
ko:K02343	ena:ECNA114_0449
ko:K09747	ena:ECNA114_0450
ko:K06187	ena:ECNA114_0451
ko:K06048	ena:ECNA114_0512
ko:K00864	ena:ECNA114_0520
ko:K00615	ena:ECNA114_0522
ko:K00615	ena:ECNA114_0523
ko:K02362	ena:ECNA114_0524
ko:K02364	ena:ECNA114_0529
ko:K02013	ena:ECNA114_0531
ko:K02015	ena:ECNA114_0532
ko:K02015	ena:ECNA114_0533
ko:K02016	ena:ECNA114_0535
ko:K02361	ena:ECNA114_0536
ko:K02363	ena:ECNA114_0537
ko:K01252	ena:ECNA114_0538
ko:K00216	ena:ECNA114_0539
ko:K06200	ena:ECNA114_0541
ko:K08317	ena:ECNA114_0543
ko:K14287	ena:ECNA114_0544
ko:K03805	ena:ECNA114_0547
ko:K03387	ena:ECNA114_0550
ko:K11932	ena:ECNA114_0551
ko:K06140	ena:ECNA114_0552
ko:K01169	ena:ECNA114_0553
ko:K05964	ena:ECNA114_0556
ko:K01643	ena:ECNA114_0557
ko:K01644	ena:ECNA114_0558
ko:K01646	ena:ECNA114_0559
ko:K01910	ena:ECNA114_0560
ko:K07700	ena:ECNA114_0561
ko:K07733	ena:ECNA114_1355
ko:K06942	ena:ECNA114_1368
ko:K01056	ena:ECNA114_1369
ko:K03321	ena:ECNA114_1371
ko:K00948	ena:ECNA114_1372
ko:K00919	ena:ECNA114_1373
ko:K02494	ena:ECNA114_1374
ko:K02492	ena:ECNA114_1375
ko:K02835	ena:ECNA114_1376
ko:K02493	ena:ECNA114_1377
ko:K01627	ena:ECNA114_1380
ko:K07300	ena:ECNA114_1382
ko:K07673	ena:ECNA114_1388
ko:K02575	ena:ECNA114_1390
ko:K00370	ena:ECNA114_1391
ko:K00371	ena:ECNA114_1392
ko:K00373	ena:ECNA114_1393
ko:K00648	ena:ECNA114_1395
ko:K01433	ena:ECNA114_1402
ko:K09858	ena:ECNA114_1403
ko:K07001	ena:ECNA114_1404
ko:K00963	ena:ECNA114_1406
ko:K02774	ena:ECNA114_2184
ko:K02773	ena:ECNA114_2185
ko:K00941	ena:ECNA114_2194
ko:K00878	ena:ECNA114_2195
ko:K01874	ena:ECNA114_2202
ko:K02478	ena:ECNA114_2215
ko:K05846	ena:ECNA114_2217
ko:K05847	ena:ECNA114_2218
ko:K05846	ena:ECNA114_2219
ko:K05845	ena:ECNA114_2220
ko:K05349	ena:ECNA114_2222
ko:K03777	ena:ECNA114_2224
ko:K07262	ena:ECNA114_2225
ko:K05541	ena:ECNA114_2230
ko:K00789	ena:ECNA114_2989
ko:K08137	ena:ECNA114_2991
ko:K02742	ena:ECNA114_2992
ko:K01150	ena:ECNA114_2993
ko:K09761	ena:ECNA114_2994
ko:K01920	ena:ECNA114_2995
ko:K07735	ena:ECNA114_2996
ko:K07447	ena:ECNA114_2997
ko:K02669	ena:ECNA114_2998
ko:K06997	ena:ECNA114_2999
ko:K02221	ena:ECNA114_3000
ko:K09131	ena:ECNA114_3001
ko:K09923	ena:ECNA114_3011
ko:K03439	ena:ECNA114_3012
ko:K03575	ena:ECNA114_3013
ko:K08306	ena:ECNA114_3015
ko:K01581	ena:ECNA114_3017
ko:K07150	ena:ECNA114_3018
ko:K06041	ena:ECNA114_3028
ko:K10107	ena:ECNA114_3029
ko:K00979	ena:ECNA114_3031
ko:K07266	ena:ECNA114_3032
ko:K07265	ena:ECNA114_3033
ko:K09689	ena:ECNA114_3034
ko:K13038	ena:ECNA114_3784
ko:K05501	ena:ECNA114_3786
ko:K00762	ena:ECNA114_3787
ko:K00989	ena:ECNA114_3788
ko:K01972	ena:ECNA114_3791
ko:K00942	ena:ECNA114_3792
ko:K03060	ena:ECNA114_3793
ko:K00556	ena:ECNA114_3795
ko:K03655	ena:ECNA114_3796
ko:K03312	ena:ECNA114_3797
ko:K09988	ena:ECNA114_3800
ko:K00847	ena:ECNA114_3801
ko:K01624	ena:ECNA114_3802
ko:K01624	ena:ECNA114_3803
ko:K01811	ena:ECNA114_3808
ko:K02073	ena:ECNA114_3812
ko:K07726	ena:ECNA114_3816
ko:K06901	ena:ECNA114_3818
ko:K01486	ena:ECNA114_3819
ko:K07783	ena:ECNA114_3821
ko:K01653	ena:ECNA114_3825
ko:K01652	ena:ECNA114_3826
ko:K06871	ena:ECNA114_3828
ko:K07559	ena:ECNA114_4577
ko:K01154	ena:ECNA114_4589
ko:K03427	ena:ECNA114_4590
ko:K09803	ena:ECNA114_4592
ko:K02317	ena:ECNA114_4604
ko:K13255	ena:ECNA114_4609
ko:K02344	ena:ECNA114_4612
ko:K03789	ena:ECNA114_4613
ko:K08723	ena:ECNA114_4614
ko:K02837	ena:ECNA114_4615
ko:K03424	ena:ECNA114_4619
ko:K01839	ena:ECNA114_4625
ko:K06222	ena:ECNA114_0192
ko:K08307	ena:ECNA114_0196
ko:K03271	ena:ECNA114_0204
ko:K02400	ena:ECNA114_0209
ko:K02401	ena:ECNA114_0210
ko:K02421	ena:ECNA114_0211
ko:K02420	ena:ECNA114_0212
ko:K02419	ena:ECNA114_0213
ko:K02417	ena:ECNA114_0214
ko:K02416	ena:ECNA114_0215
ko:K02408	ena:ECNA114_0218
ko:K02409	ena:ECNA114_0219
ko:K02410	ena:ECNA114_0220
ko:K02411	ena:ECNA114_0221
ko:K02412	ena:ECNA114_0222
ko:K02399	ena:ECNA114_0227
ko:K02398	ena:ECNA114_0228
ko:K02386	ena:ECNA114_0229
ko:K02387	ena:ECNA114_0230
ko:K02388	ena:ECNA114_0231
ko:K02389	ena:ECNA114_0232
ko:K02390	ena:ECNA114_0234
ko:K02391	ena:ECNA114_0235
ko:K02392	ena:ECNA114_0236
ko:K02393	ena:ECNA114_0237
ko:K02394	ena:ECNA114_0238
ko:K02395	ena:ECNA114_0239
ko:K02396	ena:ECNA114_0240
ko:K02397	ena:ECNA114_0241
ko:K01716	ena:ECNA114_1032
ko:K04770	ena:ECNA114_1033
ko:K09911	ena:ECNA114_1034
ko:K03658	ena:ECNA114_1041
ko:K01734	ena:ECNA114_1042
ko:K06929	ena:ECNA114_1045
