ko:K18137	abaz:P795_6965
ko:K02299	abaz:P795_6115
ko:K02298	abaz:P795_6120
ko:K02297	abaz:P795_6125
ko:K09773	abaz:P795_6140
ko:K11936	abaz:P795_6155
ko:K15256	abaz:P795_10335
ko:K00666	abaz:P795_10340
ko:K00253	abaz:P795_10350
ko:K01969	abaz:P795_10355
ko:K13766	abaz:P795_10360
ko:K01968	abaz:P795_10365
ko:K01640	abaz:P795_10370
ko:K04090	abaz:P795_10380
ko:K01032	abaz:P795_10410
ko:K01031	abaz:P795_10415
ko:K08196	abaz:P795_10420
ko:K06446	abaz:P795_10425
ko:K00074	abaz:P795_10440
ko:K00626	abaz:P795_10445
ko:K00459	abaz:P795_10460
ko:K06446	abaz:P795_10480
ko:K08196	abaz:P795_10485
ko:K05306	abaz:P795_10490
ko:K03430	abaz:P795_10495
ko:K02011	abaz:P795_10505
ko:K02010	abaz:P795_10510
ko:K02012	abaz:P795_10515
ko:K00481	abaz:P795_10525
ko:K02624	abaz:P795_10530
ko:K01118	abaz:P795_10535
ko:K01607	abaz:P795_10545
ko:K00135	abaz:P795_10550
ko:K03457	abaz:P795_10560
ko:K01681	abaz:P795_14625
ko:K03424	abaz:P795_14630
ko:K02837	abaz:P795_14645
ko:K00053	abaz:P795_14670
ko:K01653	abaz:P795_14675
ko:K01652	abaz:P795_14680
ko:K01869	abaz:P795_14690
ko:K03643	abaz:P795_14695
ko:K02340	abaz:P795_14700
ko:K13888	abaz:P795_14705
ko:K05685	abaz:P795_14710
ko:K00208	abaz:P795_14720
ko:K13288	abaz:P795_14730
ko:K06949	abaz:P795_14735
ko:K03071	abaz:P795_14750
ko:K06133	abaz:P795_14755
ko:K03977	abaz:P795_14760
ko:K17713	abaz:P795_14765
ko:K01892	abaz:P795_14775
ko:K02656	abaz:P795_14790
ko:K06941	abaz:P795_14795
ko:K00940	abaz:P795_14800
ko:K03797	abaz:P795_14820
ko:K01207	abaz:P795_14825
ko:K00147	abaz:P795_14840
ko:K00131	abaz:P795_14845
ko:K00851	abaz:P795_14850
ko:K03299	abaz:P795_14855
ko:K01625	abaz:P795_14860
ko:K01690	abaz:P795_14865
ko:K00925	abaz:P795_14875
ko:K13788	abaz:P795_14880
ko:K01676	abaz:P795_14885
ko:K09977	abaz:P795_3120
ko:K09790	abaz:P795_3125
ko:K00380	abaz:P795_3140
ko:K07552	abaz:P795_3155
ko:K03310	abaz:P795_3175
ko:K07001	abaz:P795_3180
ko:K01754	abaz:P795_3185
ko:K05520	abaz:P795_3215
ko:K02434	abaz:P795_3220
ko:K02433	abaz:P795_3225
ko:K02435	abaz:P795_3230
ko:K03569	abaz:P795_3235
ko:K03570	abaz:P795_3240
ko:K03571	abaz:P795_3245
ko:K06287	abaz:P795_3250
ko:K08301	abaz:P795_3255
ko:K00390	abaz:P795_3270
ko:K02203	abaz:P795_3275
ko:K06076	abaz:P795_3280
ko:K00355	abaz:P795_3285
ko:K02616	abaz:P795_3300
ko:K06153	abaz:P795_3305
ko:K05523	abaz:P795_3320
ko:K00795	abaz:P795_3335
ko:K07340	abaz:P795_3350
ko:K07001	abaz:P795_3355
ko:K02624	abaz:P795_7580
ko:K07112	abaz:P795_7590
ko:K07112	abaz:P795_7595
ko:K05358	abaz:P795_7610
ko:K07267	abaz:P795_7615
ko:K03785	abaz:P795_7625
ko:K00448	abaz:P795_7630
ko:K00449	abaz:P795_7635
ko:K01607	abaz:P795_7640
ko:K08195	abaz:P795_7645
ko:K01055	abaz:P795_7650
ko:K01857	abaz:P795_7655
ko:K01032	abaz:P795_7665
ko:K01031	abaz:P795_7670
ko:K03381	abaz:P795_7675
ko:K03464	abaz:P795_7680
ko:K03885	abaz:P795_7760
ko:K01897	abaz:P795_7815
ko:K03453	abaz:P795_7820
ko:K14052	abaz:P795_11945
ko:K00219	abaz:P795_12010
ko:K01940	abaz:P795_12020
ko:K01465	abaz:P795_12030
ko:K03683	abaz:P795_12035
ko:K02014	abaz:P795_12040
ko:K13896	abaz:P795_12050
ko:K13895	abaz:P795_12055
ko:K13894	abaz:P795_12060
ko:K13893	abaz:P795_12065
ko:K03426	abaz:P795_12085
ko:K07460	abaz:P795_12100
ko:K07056	abaz:P795_12105
ko:K05596	abaz:P795_12115
ko:K06895	abaz:P795_12120
ko:K03185	abaz:P795_12145
ko:K01262	abaz:P795_12150
ko:K09895	abaz:P795_12155
ko:K06966	abaz:P795_16235
ko:K07273	abaz:P795_16245
ko:K02346	abaz:P795_16250
ko:K01738	abaz:P795_16295
ko:K02014	abaz:P795_16320
ko:K01462	abaz:P795_16330
ko:K04096	abaz:P795_16340
ko:K07566	abaz:P795_16345
ko:K00432	abaz:P795_16370
ko:K02114	abaz:P795_16385
ko:K02112	abaz:P795_16390
ko:K02115	abaz:P795_16395
ko:K02111	abaz:P795_16400
ko:K02113	abaz:P795_16405
ko:K02109	abaz:P795_16410
ko:K02110	abaz:P795_16415
ko:K02108	abaz:P795_16420
ko:K02116	abaz:P795_16425
ko:K09815	abaz:P795_16430
ko:K09823	abaz:P795_16435
ko:K09817	abaz:P795_16440
ko:K09816	abaz:P795_16445
ko:K05834	abaz:P795_16450
ko:K07223	abaz:P795_16455
ko:K00027	abaz:P795_16465
ko:K01887	abaz:P795_16470
ko:K00799	abaz:P795_16480
ko:K03760	abaz:P795_3380
ko:K07666	abaz:P795_3385
ko:K03320	abaz:P795_3400
ko:K07088	abaz:P795_3410
ko:K01873	abaz:P795_3425
ko:K03585	abaz:P795_3465
ko:K02523	abaz:P795_3480
ko:K02888	abaz:P795_3490
ko:K02899	abaz:P795_3495
ko:K03634	abaz:P795_3500
ko:K01875	abaz:P795_3510
ko:K02302	abaz:P795_3515
ko:K03216	abaz:P795_3520
ko:K03801	abaz:P795_3550
ko:K09158	abaz:P795_3555
ko:K03086	abaz:P795_3560
ko:K07039	abaz:P795_3570
ko:K07146	abaz:P795_3575
ko:K06938	abaz:P795_3580
ko:K01647	abaz:P795_3585
ko:K00241	abaz:P795_3590
ko:K00242	abaz:P795_3595
ko:K00239	abaz:P795_3600
ko:K00240	abaz:P795_3605
ko:K00164	abaz:P795_3610
ko:K00658	abaz:P795_3615
ko:K00382	abaz:P795_3620
ko:K01903	abaz:P795_3625
ko:K01902	abaz:P795_3630
ko:K01867	abaz:P795_3635
ko:K09781	abaz:P795_3640
ko:K07054	abaz:P795_3645
ko:K03316	abaz:P795_3650
ko:K15125	abaz:P795_7840
ko:K03710	abaz:P795_7870
ko:K09936	abaz:P795_7890
ko:K09936	abaz:P795_7895
ko:K00058	abaz:P795_7910
ko:K03543	abaz:P795_7925
ko:K09471	abaz:P795_7945
ko:K09471	abaz:P795_7965
ko:K06995	abaz:P795_7980
ko:K07552	abaz:P795_8005
ko:K02508	abaz:P795_8010
ko:K05921	abaz:P795_8015
ko:K05921	abaz:P795_8020
ko:K00151	abaz:P795_8025
ko:K00455	abaz:P795_8030
ko:K01826	abaz:P795_8035
ko:K02509	abaz:P795_8040
ko:K02510	abaz:P795_8045
ko:K00135	abaz:P795_8050
ko:K07397	abaz:P795_16485
ko:K06911	abaz:P795_16490
ko:K01951	abaz:P795_16510
ko:K15977	abaz:P795_16520
ko:K03975	abaz:P795_16525
ko:K05527	abaz:P795_16550
ko:K06133	abaz:P795_16555
ko:K01692	abaz:P795_16620
ko:K01895	abaz:P795_16630
ko:K00140	abaz:P795_16640
ko:K11737	abaz:P795_16650
ko:K11737	abaz:P795_16655
ko:K01775	abaz:P795_16665
ko:K00285	abaz:P795_16670
ko:K02014	abaz:P795_16685
ko:K06177	abaz:P795_16700
ko:K01118	abaz:P795_16720
ko:K07443	abaz:P795_3680
ko:K03624	abaz:P795_3695
ko:K01955	abaz:P795_3700
ko:K01956	abaz:P795_3705
ko:K07574	abaz:P795_3720
ko:K02427	abaz:P795_3725
ko:K03798	abaz:P795_3730
ko:K00796	abaz:P795_3735
ko:K01113	abaz:P795_3750
ko:K01491	abaz:P795_3755
ko:K00864	abaz:P795_3775
ko:K00111	abaz:P795_3780
ko:K01596	abaz:P795_3785
ko:K04078	abaz:P795_3800
ko:K04077	abaz:P795_3805
ko:K00901	abaz:P795_3810
ko:K01126	abaz:P795_3820
ko:K03799	abaz:P795_3835
ko:K14058	abaz:P795_3845
ko:K04760	abaz:P795_3860
ko:K07044	abaz:P795_3890
ko:K07124	abaz:P795_3905
ko:K16137	abaz:P795_3910
ko:K00865	abaz:P795_3915
ko:K02379	abaz:P795_3925
ko:K13979	abaz:P795_8130
ko:K02016	abaz:P795_8135
ko:K02015	abaz:P795_8140
ko:K02013	abaz:P795_8145
ko:K00948	abaz:P795_8165
ko:K00297	abaz:P795_8180
ko:K03543	abaz:P795_8185
ko:K07345	abaz:P795_8310
ko:K07347	abaz:P795_8320
ko:K00121	abaz:P795_8335
ko:K01934	abaz:P795_12530
ko:K01338	abaz:P795_12545
ko:K00783	abaz:P795_12550
ko:K00262	abaz:P795_12570
ko:K03616	abaz:P795_12575
ko:K10773	abaz:P795_12580
ko:K00939	abaz:P795_12590
ko:K05515	abaz:P795_12605
ko:K08316	abaz:P795_12610
ko:K03192	abaz:P795_12615
ko:K03189	abaz:P795_12620
ko:K03188	abaz:P795_12625
ko:K03187	abaz:P795_12630
ko:K01428	abaz:P795_12635
ko:K01429	abaz:P795_12645
ko:K01430	abaz:P795_12650
ko:K03190	abaz:P795_12655
ko:K01637	abaz:P795_12675
ko:K03300	abaz:P795_12690
ko:K09965	abaz:P795_12700
ko:K00957	abaz:P795_12710
ko:K04567	abaz:P795_12720
ko:K05297	abaz:P795_12740
ko:K04761	abaz:P795_12750
ko:K00937	abaz:P795_12760
ko:K03814	abaz:P795_12765
ko:K07126	abaz:P795_16800
ko:K00647	abaz:P795_16805
ko:K03417	abaz:P795_16840
ko:K00832	abaz:P795_16850
ko:K03777	abaz:P795_16855
ko:K00101	abaz:P795_16860
ko:K14348	abaz:P795_16865
ko:K00427	abaz:P795_16870
ko:K01840	abaz:P795_16875
ko:K01810	abaz:P795_16885
ko:K00012	abaz:P795_16890
ko:K00963	abaz:P795_16895
ko:K12990	abaz:P795_16910
ko:K01790	abaz:P795_16925
ko:K00973	abaz:P795_16930
ko:K00067	abaz:P795_16935
ko:K00012	abaz:P795_16945
ko:K02474	abaz:P795_16965
ko:K01991	abaz:P795_16970
ko:K01104	abaz:P795_16975
ko:K16692	abaz:P795_16980
ko:K03773	abaz:P795_16990
ko:K03980	abaz:P795_16995
ko:K03806	abaz:P795_17000
ko:K00767	abaz:P795_17005
ko:K03473	abaz:P795_3935
ko:K04568	abaz:P795_3940
ko:K04485	abaz:P795_3950
ko:K11737	abaz:P795_3955
ko:K01586	abaz:P795_3965
ko:K01778	abaz:P795_3970
ko:K03733	abaz:P795_3985
ko:K03521	abaz:P795_3990
ko:K03522	abaz:P795_3995
ko:K02469	abaz:P795_4000
ko:K01992	abaz:P795_4035
ko:K01993	abaz:P795_4040
ko:K00831	abaz:P795_4050
ko:K09768	abaz:P795_4060
ko:K09808	abaz:P795_4070
ko:K09810	abaz:P795_4075
ko:K02238	abaz:P795_4080
ko:K02517	abaz:P795_4085
ko:K04773	abaz:P795_4090
ko:K11175	abaz:P795_4100
ko:K01933	abaz:P795_4105
ko:K10763	abaz:P795_4115
ko:K03088	abaz:P795_4140
ko:K03437	abaz:P795_4145
ko:K03841	abaz:P795_4150
ko:K03640	abaz:P795_4160
ko:K03641	abaz:P795_4165
ko:K03560	abaz:P795_4175
ko:K03562	abaz:P795_4180
ko:K07107	abaz:P795_4185
ko:K03551	abaz:P795_4195
ko:K03550	abaz:P795_4200
ko:K01129	abaz:P795_4205
ko:K01952	abaz:P795_4210
ko:K01273	abaz:P795_8380
ko:K06139	abaz:P795_8385
ko:K06138	abaz:P795_8390
ko:K06137	abaz:P795_8395
ko:K06136	abaz:P795_8400
ko:K00937	abaz:P795_8405
ko:K01081	abaz:P795_8410
ko:K00216	abaz:P795_8425
ko:K02017	abaz:P795_8430
ko:K02018	abaz:P795_8435
ko:K02020	abaz:P795_8440
ko:K02019	abaz:P795_8445
ko:K01061	abaz:P795_8490
ko:K00019	abaz:P795_8510
ko:K17737	abaz:P795_8550
ko:K01028	abaz:P795_8555
ko:K01029	abaz:P795_8560
ko:K02106	abaz:P795_8565
ko:K00626	abaz:P795_8570
ko:K01744	abaz:P795_8595
ko:K02014	abaz:P795_8600
ko:K02049	abaz:P795_8620
ko:K02050	abaz:P795_8625
ko:K02051	abaz:P795_8630
ko:K02004	abaz:P795_12775
ko:K02003	abaz:P795_12780
ko:K10804	abaz:P795_12785
ko:K01673	abaz:P795_12790
ko:K07400	abaz:P795_12810
ko:K01130	abaz:P795_12820
ko:K01753	abaz:P795_12840
ko:K03306	abaz:P795_12845
ko:K00548	abaz:P795_12850
ko:K00615	abaz:P795_12855
ko:K00615	abaz:P795_12860
ko:K01785	abaz:P795_12885
ko:K08223	abaz:P795_12890
ko:K01425	abaz:P795_12900
ko:K01462	abaz:P795_12905
ko:K01652	abaz:P795_12920
ko:K06989	abaz:P795_12930
ko:K03811	abaz:P795_12995
ko:K11936	abaz:P795_13010
ko:K11931	abaz:P795_13015
ko:K11103	abaz:P795_13030
ko:K01114	abaz:P795_17015
ko:K00989	abaz:P795_17025
ko:K03673	abaz:P795_17050
ko:K00568	abaz:P795_17055
ko:K14682	abaz:P795_17080
ko:K15553	abaz:P795_17085
ko:K15553	abaz:P795_17090
ko:K04091	abaz:P795_17095
ko:K15554	abaz:P795_17100
ko:K15555	abaz:P795_17105
ko:K01243	abaz:P795_17115
ko:K11753	abaz:P795_17125
ko:K01870	abaz:P795_17130
ko:K03101	abaz:P795_17135
ko:K03774	abaz:P795_17140
ko:K03767	abaz:P795_17160
ko:K03687	abaz:P795_17190
ko:K04043	abaz:P795_17195
ko:K01589	abaz:P795_17220
ko:K01588	abaz:P795_17225
ko:K09922	abaz:P795_17230
ko:K02558	abaz:P795_17235
ko:K05794	abaz:P795_17250
ko:K07552	abaz:P795_4215
ko:K03564	abaz:P795_4245
ko:K06920	abaz:P795_4260
ko:K10026	abaz:P795_4265
ko:K00674	abaz:P795_4270
ko:K13635	abaz:P795_4280
ko:K02045	abaz:P795_4285
ko:K02047	abaz:P795_4290
ko:K02046	abaz:P795_4295
ko:K07002	abaz:P795_4300
ko:K02048	abaz:P795_4305
ko:K02619	abaz:P795_4310
ko:K07082	abaz:P795_4315
ko:K00943	abaz:P795_4320
ko:K00278	abaz:P795_4330
ko:K07107	abaz:P795_4340
ko:K03596	abaz:P795_4345
ko:K03100	abaz:P795_4350
ko:K03685	abaz:P795_4360
ko:K03584	abaz:P795_4375
ko:K03474	abaz:P795_4380
ko:K00812	abaz:P795_4405
ko:K03702	abaz:P795_4425
ko:K03098	abaz:P795_4430
ko:K05786	abaz:P795_4435
ko:K00134	abaz:P795_4440
ko:K03979	abaz:P795_4455
ko:K00931	abaz:P795_4460
ko:K05540	abaz:P795_4475
ko:K00459	abaz:P795_4480
ko:K01791	abaz:P795_4495
ko:K03710	abaz:P795_8645
ko:K07240	abaz:P795_8650
ko:K01118	abaz:P795_8655
ko:K00003	abaz:P795_8675
ko:K07090	abaz:P795_8680
ko:K17218	abaz:P795_8685
ko:K00004	abaz:P795_8705
ko:K00382	abaz:P795_8715
ko:K00627	abaz:P795_8720
ko:K03644	abaz:P795_8735
ko:K01736	abaz:P795_8755
ko:K07320	abaz:P795_8760
ko:K06001	abaz:P795_8765
ko:K09989	abaz:P795_8770
ko:K09902	abaz:P795_8785
ko:K03684	abaz:P795_8805
ko:K06187	abaz:P795_8810
ko:K09747	abaz:P795_8815
ko:K10764	abaz:P795_8825
ko:K02503	abaz:P795_8870
ko:K01993	abaz:P795_8910
ko:K02168	abaz:P795_13055
ko:K02168	abaz:P795_13060
ko:K02167	abaz:P795_13065
ko:K00116	abaz:P795_13080
ko:K03758	abaz:P795_13095
ko:K09790	abaz:P795_13115
ko:K16087	abaz:P795_13140
ko:K03088	abaz:P795_13150
ko:K01714	abaz:P795_13160
ko:K08369	abaz:P795_13165
ko:K01154	abaz:P795_13185
ko:K03427	abaz:P795_13190
ko:K01153	abaz:P795_13195
ko:K03446	abaz:P795_13215
ko:K03543	abaz:P795_13220
ko:K01698	abaz:P795_13230
ko:K03153	abaz:P795_13235
ko:K07071	abaz:P795_13240
ko:K06996	abaz:P795_13250
ko:K03547	abaz:P795_13260
ko:K06997	abaz:P795_13275
ko:K02669	abaz:P795_13280
ko:K02670	abaz:P795_13285
ko:K03711	abaz:P795_13290
ko:K06186	abaz:P795_13295
ko:K09801	abaz:P795_13300
ko:K00760	abaz:P795_17280
ko:K03981	abaz:P795_17290
ko:K03650	abaz:P795_17305
ko:K03217	abaz:P795_17310
ko:K08998	abaz:P795_17315
ko:K03536	abaz:P795_17320
ko:K02914	abaz:P795_17325
ko:K00261	abaz:P795_1735
ko:K00840	abaz:P795_1740
ko:K00673	abaz:P795_1745
ko:K06447	abaz:P795_1750
ko:K01484	abaz:P795_1755
ko:K05526	abaz:P795_1760
ko:K01879	abaz:P795_1810
ko:K01878	abaz:P795_1815
ko:K07168	abaz:P795_1835
ko:K00014	abaz:P795_1860
ko:K00228	abaz:P795_1865
ko:K01497	abaz:P795_1870
ko:K01662	abaz:P795_1875
ko:K01092	abaz:P795_1880
ko:K02065	abaz:P795_1900
ko:K02066	abaz:P795_1905
ko:K02067	abaz:P795_1910
ko:K07323	abaz:P795_1915
ko:K07122	abaz:P795_1920
ko:K03284	abaz:P795_1925
ko:K06966	abaz:P795_1930
ko:K03574	abaz:P795_1935
ko:K03655	abaz:P795_1945
ko:K00631	abaz:P795_1960
ko:K10805	abaz:P795_1965
ko:K07044	abaz:P795_1975
ko:K03978	abaz:P795_1980
ko:K13771	abaz:P795_1985
ko:K05916	abaz:P795_1990
ko:K06915	abaz:P795_1995
ko:K01760	abaz:P795_2000
ko:K02946	abaz:P795_2010
ko:K02906	abaz:P795_2015
ko:K02926	abaz:P795_2020
ko:K02835	abaz:P795_6195
ko:K02493	abaz:P795_6200
ko:K01895	abaz:P795_6220
ko:K01633	abaz:P795_6240
ko:K00950	abaz:P795_6245
ko:K01546	abaz:P795_6250
ko:K01547	abaz:P795_6255
ko:K01548	abaz:P795_6260
ko:K07646	abaz:P795_6265
ko:K07667	abaz:P795_6270
ko:K09470	abaz:P795_6275
ko:K06134	abaz:P795_6285
ko:K09800	abaz:P795_6300
ko:K01682	abaz:P795_6310
ko:K10716	abaz:P795_6320
ko:K03576	abaz:P795_6340
ko:K06183	abaz:P795_6355
ko:K06177	abaz:P795_6370
ko:K06925	abaz:P795_6375
ko:K03572	abaz:P795_6380
ko:K00791	abaz:P795_6385
ko:K03666	abaz:P795_6390
ko:K10679	abaz:P795_6400
ko:K03269	abaz:P795_6410
ko:K03768	abaz:P795_6415
ko:K01886	abaz:P795_6420
ko:K01951	abaz:P795_6425
ko:K03736	abaz:P795_6430
ko:K03735	abaz:P795_6435
ko:K00128	abaz:P795_10570
ko:K03781	abaz:P795_10610
ko:K02617	abaz:P795_10650
ko:K02616	abaz:P795_10655
ko:K01912	abaz:P795_10660
ko:K00074	abaz:P795_10670
ko:K15866	abaz:P795_10675
ko:K01692	abaz:P795_10680
ko:K02613	abaz:P795_10685
ko:K02612	abaz:P795_10690
ko:K02611	abaz:P795_10695
ko:K02610	abaz:P795_10700
ko:K02609	abaz:P795_10705
ko:K02618	abaz:P795_10710
ko:K01752	abaz:P795_10715
ko:K12658	abaz:P795_10755
ko:K03298	abaz:P795_10765
ko:K09712	abaz:P795_10780
ko:K13639	abaz:P795_10785
ko:K09765	abaz:P795_10795
ko:K09927	abaz:P795_10805
ko:K03449	abaz:P795_10810
ko:K03544	abaz:P795_14900
ko:K01358	abaz:P795_14905
ko:K03545	abaz:P795_14910
ko:K16090	abaz:P795_14915
ko:K01649	abaz:P795_14925
ko:K00641	abaz:P795_14930
ko:K02428	abaz:P795_14945
ko:K07088	abaz:P795_14950
ko:K03116	abaz:P795_14955
ko:K03117	abaz:P795_14960
ko:K03118	abaz:P795_14965
ko:K07093	abaz:P795_14970
ko:K07093	abaz:P795_14975
ko:K13292	abaz:P795_14985
