ko:K18816	cln:UPTC3659_1111
ko:K00290	cln:UPTC3659_0477
ko:K02018	cln:UPTC3659_0478
ko:K01424	cln:UPTC3659_0490
ko:K03832	cln:UPTC3659_0494
ko:K03559	cln:UPTC3659_0495
ko:K03561	cln:UPTC3659_0496
ko:K02343	cln:UPTC3659_0498
ko:K03628	cln:UPTC3659_0499
ko:K17686	cln:UPTC3659_0500
ko:K08738	cln:UPTC3659_0502
ko:K03273	cln:UPTC3659_0503
ko:K03274	cln:UPTC3659_0504
ko:K01952	cln:UPTC3659_0814
ko:K01952	cln:UPTC3659_0815
ko:K01923	cln:UPTC3659_0816
ko:K03797	cln:UPTC3659_0817
ko:K03695	cln:UPTC3659_0818
ko:K05927	cln:UPTC3659_0819
ko:K05922	cln:UPTC3659_0820
ko:K03620	cln:UPTC3659_0821
ko:K03605	cln:UPTC3659_0822
ko:K01885	cln:UPTC3659_0824
ko:K02221	cln:UPTC3659_0825
ko:K08309	cln:UPTC3659_0826
ko:K03753	cln:UPTC3659_0828
ko:K03841	cln:UPTC3659_0829
ko:K01874	cln:UPTC3659_0831
ko:K01772	cln:UPTC3659_0832
ko:K06920	cln:UPTC3659_0835
ko:K07042	cln:UPTC3659_0836
ko:K08296	cln:UPTC3659_0840
ko:K01779	cln:UPTC3659_0842
ko:K04763	cln:UPTC3659_0843
ko:K00790	cln:UPTC3659_0847
ko:K03750	cln:UPTC3659_0848
ko:K16089	cln:UPTC3659_0853
ko:K02016	cln:UPTC3659_0854
ko:K02013	cln:UPTC3659_0855
ko:K02015	cln:UPTC3659_0856
ko:K02015	cln:UPTC3659_0857
ko:K02386	cln:UPTC3659_0858
ko:K03186	cln:UPTC3659_0859
ko:K00954	cln:UPTC3659_0860
ko:K00943	cln:UPTC3659_0861
ko:K01892	cln:UPTC3659_0862
ko:K01585	cln:UPTC3659_0863
ko:K03449	cln:UPTC3659_1223
ko:K02570	cln:UPTC3659_1225
ko:K02568	cln:UPTC3659_1227
ko:K02574	cln:UPTC3659_1228
ko:K02573	cln:UPTC3659_1229
ko:K02567	cln:UPTC3659_1230
ko:K02392	cln:UPTC3659_1231
ko:K02392	cln:UPTC3659_1232
ko:K03086	cln:UPTC3659_1233
ko:K00937	cln:UPTC3659_1234
ko:K15876	cln:UPTC3659_1235
ko:K03385	cln:UPTC3659_1236
ko:K02342	cln:UPTC3659_1239
ko:K01783	cln:UPTC3659_1240
ko:K02902	cln:UPTC3659_1241
ko:K10716	cln:UPTC3659_1242
ko:K09794	cln:UPTC3659_1243
ko:K08077	cln:UPTC3659_1245
ko:K04077	cln:UPTC3659_1246
ko:K04078	cln:UPTC3659_1247
ko:K05808	cln:UPTC3659_1249
ko:K07457	cln:UPTC3659_1250
ko:K03723	cln:UPTC3659_1251
ko:K11754	cln:UPTC3659_1254
ko:K01869	cln:UPTC3659_1257
ko:K03074	cln:UPTC3659_1259
ko:K03072	cln:UPTC3659_1260
ko:K03210	cln:UPTC3659_1261
ko:K03820	cln:UPTC3659_1262
ko:K00789	cln:UPTC3659_1263
ko:K07862	cln:UPTC3659_1264
ko:K00609	cln:UPTC3659_1265
ko:K08602	cln:UPTC3659_1266
ko:K03657	cln:UPTC3659_1268
ko:K00337	cln:UPTC3659_1651
ko:K00334	cln:UPTC3659_1654
ko:K00333	cln:UPTC3659_1655
ko:K00332	cln:UPTC3659_1656
ko:K00331	cln:UPTC3659_1657
ko:K00330	cln:UPTC3659_1658
ko:K02034	cln:UPTC3659_1661
ko:K02033	cln:UPTC3659_1662
ko:K02035	cln:UPTC3659_1663
ko:K02168	cln:UPTC3659_1664
ko:K11175	cln:UPTC3659_1681
ko:K09760	cln:UPTC3659_1683
ko:K07391	cln:UPTC3659_1685
ko:K01462	cln:UPTC3659_1686
ko:K01358	cln:UPTC3659_1688
ko:K03545	cln:UPTC3659_1689
ko:K01495	cln:UPTC3659_1690
ko:K02412	cln:UPTC3659_1691
ko:K04487	cln:UPTC3659_1695
ko:K13819	cln:UPTC3659_1696
ko:K03313	cln:UPTC3659_1697
ko:K03313	cln:UPTC3659_1698
ko:K02563	cln:UPTC3659_0865
ko:K06997	cln:UPTC3659_0866
ko:K03092	cln:UPTC3659_0867
ko:K06861	cln:UPTC3659_0868
ko:K06925	cln:UPTC3659_0869
ko:K01940	cln:UPTC3659_0871
ko:K02939	cln:UPTC3659_0872
ko:K01419	cln:UPTC3659_0873
ko:K03667	cln:UPTC3659_0874
ko:K02422	cln:UPTC3659_0880
ko:K02407	cln:UPTC3659_0881
ko:K06603	cln:UPTC3659_0882
ko:K03182	cln:UPTC3659_0883
ko:K01749	cln:UPTC3659_0884
ko:K01881	cln:UPTC3659_0886
ko:K02492	cln:UPTC3659_0887
ko:K02523	cln:UPTC3659_0888
ko:K01091	cln:UPTC3659_0891
ko:K03455	cln:UPTC3659_0893
ko:K13640	cln:UPTC3659_0894
ko:K05516	cln:UPTC3659_0895
ko:K02484	cln:UPTC3659_0898
ko:K03657	cln:UPTC3659_0899
ko:K11065	cln:UPTC3659_0900
ko:K07304	cln:UPTC3659_0903
ko:K04651	cln:UPTC3659_0904
ko:K00640	cln:UPTC3659_0864
ko:K04655	cln:UPTC3659_0905
ko:K04654	cln:UPTC3659_0906
ko:K04653	cln:UPTC3659_0907
ko:K04652	cln:UPTC3659_0908
ko:K04656	cln:UPTC3659_0909
ko:K05995	cln:UPTC3659_0911
ko:K07043	cln:UPTC3659_0912
ko:K03177	cln:UPTC3659_1269
ko:K03563	cln:UPTC3659_1270
ko:K00919	cln:UPTC3659_1271
ko:K03664	cln:UPTC3659_1272
ko:K06891	cln:UPTC3659_1274
ko:K03694	cln:UPTC3659_1275
ko:K00684	cln:UPTC3659_1276
ko:K02387	cln:UPTC3659_1277
ko:K02388	cln:UPTC3659_1278
ko:K02408	cln:UPTC3659_1279
ko:K03587	cln:UPTC3659_1280
ko:K01772	cln:UPTC3659_1282
ko:K13017	cln:UPTC3659_1284
ko:K01872	cln:UPTC3659_1285
ko:K06287	cln:UPTC3659_1286
ko:K05366	cln:UPTC3659_1287
ko:K17247	cln:UPTC3659_1289
ko:K00316	cln:UPTC3659_1290
ko:K01533	cln:UPTC3659_1292
ko:K03768	cln:UPTC3659_1296
ko:K09943	cln:UPTC3659_1297
ko:K01887	cln:UPTC3659_1302
ko:K03116	cln:UPTC3659_1303
ko:K00942	cln:UPTC3659_1304
ko:K02421	cln:UPTC3659_1306
ko:K02003	cln:UPTC3659_1307
ko:K02357	cln:UPTC3659_1308
ko:K02967	cln:UPTC3659_1309
ko:K00413	cln:UPTC3659_1310
ko:K00412	cln:UPTC3659_1311
ko:K00411	cln:UPTC3659_1312
ko:K03893	cln:UPTC3659_1313
ko:K03495	cln:UPTC3659_1314
ko:K00793	cln:UPTC3659_1315
ko:K01736	cln:UPTC3659_1702
ko:K03685	cln:UPTC3659_1703
ko:K03469	cln:UPTC3659_1704
ko:K00566	cln:UPTC3659_1707
ko:K03406	cln:UPTC3659_1708
ko:K05367	cln:UPTC3659_1709
ko:K06894	cln:UPTC3659_1710
ko:K16052	cln:UPTC3659_1713
ko:K01673	cln:UPTC3659_1714
ko:K03075	cln:UPTC3659_1716
ko:K02838	cln:UPTC3659_1717
ko:K00762	cln:UPTC3659_1718
ko:K00573	cln:UPTC3659_1723
ko:K01674	cln:UPTC3659_1725
ko:K06207	cln:UPTC3659_1727
ko:K02389	cln:UPTC3659_1730
ko:K02390	cln:UPTC3659_1731
ko:K07023	cln:UPTC3659_1733
ko:K02010	cln:UPTC3659_1734
ko:K02011	cln:UPTC3659_1735
ko:K02012	cln:UPTC3659_1736
ko:K06159	cln:UPTC3659_1739
ko:K02456	cln:UPTC3659_1743
ko:K01409	cln:UPTC3659_1744
ko:K00099	cln:UPTC3659_1746
ko:K00981	cln:UPTC3659_1747
ko:K05810	cln:UPTC3659_1316
ko:K02484	cln:UPTC3659_1318
ko:K01999	cln:UPTC3659_1325
ko:K01999	cln:UPTC3659_1326
ko:K01997	cln:UPTC3659_1327
ko:K01998	cln:UPTC3659_1328
ko:K01995	cln:UPTC3659_1329
ko:K01996	cln:UPTC3659_1330
ko:K03596	cln:UPTC3659_1333
ko:K01719	cln:UPTC3659_1336
ko:K00788	cln:UPTC3659_1337
ko:K00878	cln:UPTC3659_1338
ko:K00941	cln:UPTC3659_1339
ko:K01104	cln:UPTC3659_1340
ko:K03406	cln:UPTC3659_1341
ko:K03501	cln:UPTC3659_1343
ko:K01497	cln:UPTC3659_1344
ko:K01698	cln:UPTC3659_1345
ko:K01775	cln:UPTC3659_1350
ko:K07152	cln:UPTC3659_1354
ko:K02004	cln:UPTC3659_1355
ko:K09860	cln:UPTC3659_1357
ko:K02469	cln:UPTC3659_1358
ko:K02242	cln:UPTC3659_1359
ko:K14445	cln:UPTC3659_1361
ko:K00788	cln:UPTC3659_1362
ko:K03752	cln:UPTC3659_1750
ko:K07084	cln:UPTC3659_1751
ko:K01687	cln:UPTC3659_1752
ko:K03406	cln:UPTC3659_1757
ko:K09767	cln:UPTC3659_1761
ko:K02970	cln:UPTC3659_1766
ko:K03585	cln:UPTC3659_1769
ko:K08973	cln:UPTC3659_1774
ko:K03101	cln:UPTC3659_1775
ko:K03431	cln:UPTC3659_1776
ko:K07478	cln:UPTC3659_1778
ko:K01159	cln:UPTC3659_1782
ko:K07337	cln:UPTC3659_0150
ko:K09859	cln:UPTC3659_0151
ko:K03499	cln:UPTC3659_0155
ko:K03498	cln:UPTC3659_0156
ko:K07791	cln:UPTC3659_0157
ko:K01744	cln:UPTC3659_0158
ko:K03406	cln:UPTC3659_0159
ko:K03406	cln:UPTC3659_0160
ko:K03637	cln:UPTC3659_0163
ko:K06886	cln:UPTC3659_0167
ko:K01689	cln:UPTC3659_0170
ko:K11785	cln:UPTC3659_0172
ko:K02420	cln:UPTC3659_0173
ko:K00075	cln:UPTC3659_0174
ko:K01082	cln:UPTC3659_0176
ko:K01012	cln:UPTC3659_0178
ko:K03168	cln:UPTC3659_0179
ko:K02406	cln:UPTC3659_0180
ko:K02406	cln:UPTC3659_0181
ko:K15898	cln:UPTC3659_0189
ko:K02417	cln:UPTC3659_0191
ko:K01524	cln:UPTC3659_0193
ko:K01633	cln:UPTC3659_0196
ko:K08591	cln:UPTC3659_0197
ko:K00428	cln:UPTC3659_0198
ko:K02888	cln:UPTC3659_0199
ko:K02899	cln:UPTC3659_0200
ko:K03979	cln:UPTC3659_0201
ko:K03272	cln:UPTC3659_0505
ko:K03271	cln:UPTC3659_0506
ko:K00873	cln:UPTC3659_0507
ko:K00116	cln:UPTC3659_0508
ko:K03525	cln:UPTC3659_0509
ko:K02435	cln:UPTC3659_0513
ko:K03558	cln:UPTC3659_0514
ko:K03711	cln:UPTC3659_0515
ko:K04567	cln:UPTC3659_0516
ko:K00600	cln:UPTC3659_0517
ko:K03749	cln:UPTC3659_0519
ko:K00014	cln:UPTC3659_0520
ko:K03686	cln:UPTC3659_0521
ko:K02484	cln:UPTC3659_0523
ko:K06187	cln:UPTC3659_0524
ko:K03703	cln:UPTC3659_0526
ko:K01951	cln:UPTC3659_0530
ko:K01945	cln:UPTC3659_0533
ko:K04744	cln:UPTC3659_0535
ko:K00962	cln:UPTC3659_0537
ko:K03634	cln:UPTC3659_0556
ko:K03070	cln:UPTC3659_0557
ko:K02036	cln:UPTC3659_0915
ko:K02038	cln:UPTC3659_0916
ko:K02037	cln:UPTC3659_0917
ko:K02040	cln:UPTC3659_0918
ko:K02217	cln:UPTC3659_0921
ko:K02536	cln:UPTC3659_0928
ko:K01653	cln:UPTC3659_0929
ko:K01652	cln:UPTC3659_0930
ko:K00177	cln:UPTC3659_0931
ko:K00175	cln:UPTC3659_0932
ko:K00174	cln:UPTC3659_0933
ko:K00176	cln:UPTC3659_0934
ko:K00024	cln:UPTC3659_0935
ko:K07082	cln:UPTC3659_0937
ko:K03466	cln:UPTC3659_0938
ko:K02397	cln:UPTC3659_0939
ko:K03150	cln:UPTC3659_1363
ko:K03149	cln:UPTC3659_1364
ko:K03148	cln:UPTC3659_1365
ko:K03154	cln:UPTC3659_1366
ko:K01439	cln:UPTC3659_1367
ko:K06895	cln:UPTC3659_1368
ko:K12410	cln:UPTC3659_1369
ko:K07456	cln:UPTC3659_1370
ko:K01924	cln:UPTC3659_1372
ko:K03602	cln:UPTC3659_1375
ko:K00088	cln:UPTC3659_1376
ko:K02433	cln:UPTC3659_1377
ko:K01870	cln:UPTC3659_1378
ko:K03743	cln:UPTC3659_1379
ko:K02003	cln:UPTC3659_1385
ko:K02004	cln:UPTC3659_1386
ko:K02004	cln:UPTC3659_1387
ko:K07230	cln:UPTC3659_1389
ko:K11103	cln:UPTC3659_1391
ko:K00824	cln:UPTC3659_1392
ko:K03438	cln:UPTC3659_1396
ko:K01628	cln:UPTC3659_1397
ko:K03770	cln:UPTC3659_1398
ko:K03590	cln:UPTC3659_1399
ko:K03531	cln:UPTC3659_1400
ko:K00763	cln:UPTC3659_1401
ko:K00860	cln:UPTC3659_1403
ko:K07010	cln:UPTC3659_1408
ko:K04066	cln:UPTC3659_1410
ko:K00604	cln:UPTC3659_0203
ko:K03524	cln:UPTC3659_0204
ko:K02109	cln:UPTC3659_0207
ko:K02109	cln:UPTC3659_0208
ko:K02113	cln:UPTC3659_0209
ko:K02111	cln:UPTC3659_0210
ko:K02115	cln:UPTC3659_0211
ko:K02112	cln:UPTC3659_0212
ko:K02114	cln:UPTC3659_0213
ko:K03559	cln:UPTC3659_0215
ko:K03832	cln:UPTC3659_0216
ko:K03641	cln:UPTC3659_0217
ko:K03640	cln:UPTC3659_0218
ko:K03775	cln:UPTC3659_0220
ko:K00645	cln:UPTC3659_0221
ko:K18284	cln:UPTC3659_0222
ko:K05540	cln:UPTC3659_0227
ko:K06204	cln:UPTC3659_0229
ko:K00783	cln:UPTC3659_0230
ko:K01963	cln:UPTC3659_0231
ko:K07277	cln:UPTC3659_0232
ko:K04517	cln:UPTC3659_0233
ko:K02535	cln:UPTC3659_0235
ko:K00872	cln:UPTC3659_0237
ko:K02519	cln:UPTC3659_0239
ko:K02834	cln:UPTC3659_0240
ko:K09748	cln:UPTC3659_0241
ko:K11752	cln:UPTC3659_0244
ko:K04773	cln:UPTC3659_0245
ko:K03786	cln:UPTC3659_0247
ko:K01262	cln:UPTC3659_0248
ko:K00950	cln:UPTC3659_0249
ko:K00133	cln:UPTC3659_0559
ko:K01599	cln:UPTC3659_0561
ko:K01875	cln:UPTC3659_0565
ko:K01867	cln:UPTC3659_0566
ko:K00891	cln:UPTC3659_0567
ko:K03977	cln:UPTC3659_0568
ko:K16345	cln:UPTC3659_0570
ko:K01627	cln:UPTC3659_0571
ko:K00794	cln:UPTC3659_0572
ko:K03625	cln:UPTC3659_0573
ko:K01591	cln:UPTC3659_0574
ko:K03406	cln:UPTC3659_0576
ko:K00602	cln:UPTC3659_0577
ko:K05801	cln:UPTC3659_0578
ko:K01952	cln:UPTC3659_0579
ko:K03650	cln:UPTC3659_0580
ko:K06346	cln:UPTC3659_0581
ko:K03217	cln:UPTC3659_0582
ko:K03536	cln:UPTC3659_0584
ko:K02914	cln:UPTC3659_0585
ko:K07107	cln:UPTC3659_0589
ko:K03673	cln:UPTC3659_0591
ko:K03673	cln:UPTC3659_0592
ko:K03611	cln:UPTC3659_0593
ko:K07792	cln:UPTC3659_0596
ko:K01270	cln:UPTC3659_0597
ko:K15257	cln:UPTC3659_0601
ko:K02406	cln:UPTC3659_0602
ko:K02493	cln:UPTC3659_0604
ko:K06013	cln:UPTC3659_0605
ko:K15738	cln:UPTC3659_0607
ko:K07098	cln:UPTC3659_0608
ko:K11891	cln:UPTC3659_1016
ko:K11903	cln:UPTC3659_1017
ko:K11904	cln:UPTC3659_1018
ko:K02456	cln:UPTC3659_1411
ko:K03702	cln:UPTC3659_1414
ko:K02356	cln:UPTC3659_1416
ko:K00058	cln:UPTC3659_1417
ko:K02945	cln:UPTC3659_1419
ko:K03527	cln:UPTC3659_1420
ko:K00800	cln:UPTC3659_1421
ko:K01890	cln:UPTC3659_1422
ko:K01889	cln:UPTC3659_1423
ko:K02503	cln:UPTC3659_1424
ko:K01610	cln:UPTC3659_1425
ko:K01960	cln:UPTC3659_1426
ko:K03308	cln:UPTC3659_1427
ko:K03308	cln:UPTC3659_1428
ko:K03308	cln:UPTC3659_1429
ko:K02110	cln:UPTC3659_1430
ko:K03406	cln:UPTC3659_1433
ko:K01465	cln:UPTC3659_1434
ko:K00057	cln:UPTC3659_1435
ko:K02434	cln:UPTC3659_1436
ko:K02108	cln:UPTC3659_1437
ko:K04485	cln:UPTC3659_1439
ko:K03110	cln:UPTC3659_1440
ko:K01934	cln:UPTC3659_1442
ko:K18682	cln:UPTC3659_1443
ko:K02238	cln:UPTC3659_1445
ko:K07058	cln:UPTC3659_1446
ko:K00104	cln:UPTC3659_1447
ko:K06213	cln:UPTC3659_1450
ko:K11065	cln:UPTC3659_1451
ko:K01738	cln:UPTC3659_1453
ko:K03530	cln:UPTC3659_1454
ko:K02843	cln:UPTC3659_1455
ko:K07270	cln:UPTC3659_1457
ko:K02404	cln:UPTC3659_0250
ko:K04562	cln:UPTC3659_0251
ko:K02405	cln:UPTC3659_0253
ko:K02416	cln:UPTC3659_0254
ko:K02417	cln:UPTC3659_0255
ko:K06966	cln:UPTC3659_0256
ko:K00566	cln:UPTC3659_0257
ko:K09952	cln:UPTC3659_0258
ko:K01095	cln:UPTC3659_0261
ko:K00958	cln:UPTC3659_0262
ko:K12506	cln:UPTC3659_0264
ko:K03593	cln:UPTC3659_0265
ko:K00674	cln:UPTC3659_0266
ko:K04047	cln:UPTC3659_0268
ko:K01810	cln:UPTC3659_0269
ko:K00963	cln:UPTC3659_0270
ko:K15778	cln:UPTC3659_0276
ko:K04075	cln:UPTC3659_0277
ko:K02836	cln:UPTC3659_0280
ko:K01925	cln:UPTC3659_0286
ko:K01000	cln:UPTC3659_0287
ko:K15633	cln:UPTC3659_0288
ko:K00059	cln:UPTC3659_0289
ko:K00997	cln:UPTC3659_0290
ko:K02415	cln:UPTC3659_0291
ko:K03781	cln:UPTC3659_0293
ko:K01755	cln:UPTC3659_0295
ko:K01613	cln:UPTC3659_0609
ko:K04061	cln:UPTC3659_0610
ko:K01845	cln:UPTC3659_0615
ko:K01491	cln:UPTC3659_0617
ko:K03100	cln:UPTC3659_0618
ko:K00812	cln:UPTC3659_0619
ko:K00773	cln:UPTC3659_0620
ko:K01959	cln:UPTC3659_0623
ko:K03686	cln:UPTC3659_0626
ko:K03588	cln:UPTC3659_0627
ko:K00611	cln:UPTC3659_0628
ko:K02030	cln:UPTC3659_0629
ko:K02030	cln:UPTC3659_0630
ko:K06921	cln:UPTC3659_0632
ko:K01173	cln:UPTC3659_0654
ko:K11904	cln:UPTC3659_1030
ko:K11904	cln:UPTC3659_1042
ko:K11904	cln:UPTC3659_1054
ko:K11904	cln:UPTC3659_1066
ko:K02517	cln:UPTC3659_1466
ko:K02841	cln:UPTC3659_1467
ko:K07501	cln:UPTC3659_1468
ko:K01784	cln:UPTC3659_1469
ko:K03413	cln:UPTC3659_1479
ko:K02687	cln:UPTC3659_1480
ko:K03798	cln:UPTC3659_1481
ko:K01613	cln:UPTC3659_1482
ko:K17103	cln:UPTC3659_1483
ko:K10806	cln:UPTC3659_1489
ko:K00948	cln:UPTC3659_1490
ko:K03407	cln:UPTC3659_1494
ko:K03551	cln:UPTC3659_1496
ko:K02428	cln:UPTC3659_1500
ko:K07003	cln:UPTC3659_1501
ko:K07323	cln:UPTC3659_1502
ko:K04754	cln:UPTC3659_1503
ko:K02020	cln:UPTC3659_1504
ko:K02017	cln:UPTC3659_1506
ko:K01042	cln:UPTC3659_1509
ko:K03833	cln:UPTC3659_1510
ko:K02313	cln:UPTC3659_0001
ko:K02338	cln:UPTC3659_0002
ko:K02470	cln:UPTC3659_0003
ko:K14048	cln:UPTC3659_0005
ko:K01428	cln:UPTC3659_0006
ko:K03187	cln:UPTC3659_0007
ko:K03188	cln:UPTC3659_0008
ko:K03189	cln:UPTC3659_0009
ko:K03190	cln:UPTC3659_0010
ko:K09457	cln:UPTC3659_0011
ko:K06193	cln:UPTC3659_0015
ko:K01937	cln:UPTC3659_0017
ko:K07462	cln:UPTC3659_0018
ko:K02835	cln:UPTC3659_0020
ko:K02968	cln:UPTC3659_0021
ko:K06178	cln:UPTC3659_0022
ko:K12574	cln:UPTC3659_0023
ko:K02528	cln:UPTC3659_0024
ko:K06941	cln:UPTC3659_0026
ko:K06180	cln:UPTC3659_0028
ko:K01756	cln:UPTC3659_0029
ko:K06153	cln:UPTC3659_0032
ko:K01868	cln:UPTC3659_0033
ko:K02520	cln:UPTC3659_0034
ko:K07318	cln:UPTC3659_0035
ko:K03326	cln:UPTC3659_0299
ko:K01760	cln:UPTC3659_0300
ko:K01756	cln:UPTC3659_0301
ko:K04758	cln:UPTC3659_0303
ko:K04759	cln:UPTC3659_0304
ko:K03707	cln:UPTC3659_0305
ko:K02078	cln:UPTC3659_0306
ko:K09458	cln:UPTC3659_0307
ko:K01962	cln:UPTC3659_0308
ko:K09688	cln:UPTC3659_0311
ko:K09689	cln:UPTC3659_0312
ko:K10107	cln:UPTC3659_0313
ko:K06041	cln:UPTC3659_0315
ko:K01791	cln:UPTC3659_0316
ko:K02472	cln:UPTC3659_0317
ko:K01790	cln:UPTC3659_0322
ko:K02377	cln:UPTC3659_0323
ko:K12452	cln:UPTC3659_0324
ko:K01711	cln:UPTC3659_0325
ko:K07031	cln:UPTC3659_0326
ko:K03271	cln:UPTC3659_0327
ko:K00957	cln:UPTC3659_0329
ko:K00956	cln:UPTC3659_0330
ko:K00860	cln:UPTC3659_0332
ko:K07266	cln:UPTC3659_0335
ko:K07265	cln:UPTC3659_0336
ko:K02600	cln:UPTC3659_0341
ko:K06168	cln:UPTC3659_0343
ko:K09778	cln:UPTC3659_0344
ko:K13292	cln:UPTC3659_0349
ko:K00246	cln:UPTC3659_0350
ko:K07171	cln:UPTC3659_0673
ko:K06871	cln:UPTC3659_0682
ko:K03216	cln:UPTC3659_0691
ko:K02028	cln:UPTC3659_0692
ko:K02029	cln:UPTC3659_0693
ko:K03310	cln:UPTC3659_0694
ko:K01879	cln:UPTC3659_0695
ko:K14652	cln:UPTC3659_0698
ko:K05837	cln:UPTC3659_0702
ko:K06180	cln:UPTC3659_0703
ko:K03439	cln:UPTC3659_0705
ko:K09812	cln:UPTC3659_0706
ko:K09811	cln:UPTC3659_0707
ko:K09903	cln:UPTC3659_0709
ko:K03060	cln:UPTC3659_0710
ko:K01866	cln:UPTC3659_0712
ko:K00459	cln:UPTC3659_0713
ko:K01448	cln:UPTC3659_0714
ko:K11892	cln:UPTC3659_1088
ko:K11893	cln:UPTC3659_1089
ko:K11906	cln:UPTC3659_1090
ko:K11910	cln:UPTC3659_1091
ko:K11901	cln:UPTC3659_1092
ko:K11900	cln:UPTC3659_1093
ko:K11905	cln:UPTC3659_1094
ko:K11896	cln:UPTC3659_1095
ko:K11895	cln:UPTC3659_1096
ko:K02337	cln:UPTC3659_1100
ko:K03152	cln:UPTC3659_1101
ko:K12251	cln:UPTC3659_1102
ko:K01916	cln:UPTC3659_1107
ko:K00912	cln:UPTC3659_1108
ko:K01733	cln:UPTC3659_1109
ko:K00979	cln:UPTC3659_1110
ko:K02030	cln:UPTC3659_1112
ko:K02029	cln:UPTC3659_1113
ko:K04084	cln:UPTC3659_1115
ko:K03885	cln:UPTC3659_1117
ko:K03308	cln:UPTC3659_1118
ko:K02557	cln:UPTC3659_1120
ko:K01624	cln:UPTC3659_1122
ko:K10773	cln:UPTC3659_1124
ko:K03312	cln:UPTC3659_1125
ko:K03981	cln:UPTC3659_1511
ko:K00262	cln:UPTC3659_1513
ko:K11782	cln:UPTC3659_1514
ko:K00029	cln:UPTC3659_1515
ko:K01885	cln:UPTC3659_1516
ko:K01961	cln:UPTC3659_1518
ko:K02160	cln:UPTC3659_1519
ko:K01494	cln:UPTC3659_1520
ko:K15894	cln:UPTC3659_1521
ko:K15895	cln:UPTC3659_1522
ko:K00648	cln:UPTC3659_1528
ko:K00648	cln:UPTC3659_1529
ko:K15896	cln:UPTC3659_1537
ko:K07090	cln:UPTC3659_1539
ko:K02401	cln:UPTC3659_1540
ko:K03406	cln:UPTC3659_1541
ko:K03386	cln:UPTC3659_1542
ko:K00940	cln:UPTC3659_1544
ko:K02911	cln:UPTC3659_1546
ko:K03621	cln:UPTC3659_1547
ko:K00648	cln:UPTC3659_1548
ko:K02557	cln:UPTC3659_1549
ko:K02556	cln:UPTC3659_1550
ko:K08173	cln:UPTC3659_1552
