ko:K19078	sue:SAOV_0693
ko:K03308	sue:SAOV_0476
ko:K06412	sue:SAOV_0520
ko:K00796	sue:SAOV_0536
ko:K04485	sue:SAOV_0561
ko:K03043	sue:SAOV_0577
ko:K09936	sue:SAOV_0654c
ko:K02341	sue:SAOV_0505
ko:K04042	sue:SAOV_0521
ko:K01633	sue:SAOV_0537
ko:K03046	sue:SAOV_0578
ko:K00266	sue:SAOV_0490
ko:K00948	sue:SAOV_0522
ko:K07590	sue:SAOV_0579
ko:K01887	sue:SAOV_0643
ko:K02897	sue:SAOV_0523
ko:K00640	sue:SAOV_0564
ko:K02950	sue:SAOV_0580
ko:K14194	sue:SAOV_0596
ko:K02818	sue:SAOV_0492
ko:K02819	sue:SAOV_0492
ko:K01056	sue:SAOV_0524
ko:K01883	sue:SAOV_0565
ko:K02992	sue:SAOV_0581
ko:K14194	sue:SAOV_0597
ko:K02016	sue:SAOV_0645
ko:K07461	sue:SAOV_0509
ko:K03723	sue:SAOV_0525
ko:K11145	sue:SAOV_0566
ko:K02355	sue:SAOV_0582
ko:K14194	sue:SAOV_0598
ko:K00868	sue:SAOV_0614c
ko:K05946	sue:SAOV_0671
ko:K02013	sue:SAOV_0681
ko:K07056	sue:SAOV_0510
ko:K03218	sue:SAOV_0567
ko:K02358	sue:SAOV_0583
ko:K03648	sue:SAOV_0615
ko:K05566	sue:SAOV_0659
ko:K02015	sue:SAOV_0682
ko:K02071	sue:SAOV_0479
ko:K06962	sue:SAOV_0568
ko:K02015	sue:SAOV_0646
ko:K05567	sue:SAOV_0660
ko:K02015	sue:SAOV_0683
ko:K02072	sue:SAOV_0480
ko:K02343	sue:SAOV_0496
ko:K01874	sue:SAOV_0512
ko:K00375	sue:SAOV_0553c
ko:K03091	sue:SAOV_0569
ko:K09007	sue:SAOV_0601c
ko:K05878	sue:SAOV_0684
ko:K02073	sue:SAOV_0481
ko:K09747	sue:SAOV_0497
ko:K03424	sue:SAOV_0513
ko:K00950	sue:SAOV_0538
ko:K06215	sue:SAOV_0554
ko:K03073	sue:SAOV_0570
ko:K05523	sue:SAOV_0586
ko:K05569	sue:SAOV_0662
ko:K05879	sue:SAOV_0685
ko:K06187	sue:SAOV_0498
ko:K05985	sue:SAOV_0514
ko:K07571	sue:SAOV_0530
ko:K08681	sue:SAOV_0555
ko:K02601	sue:SAOV_0571
ko:K02528	sue:SAOV_0515
ko:K04075	sue:SAOV_0531
ko:K04567	sue:SAOV_0540
ko:K11535	sue:SAOV_0556c
ko:K02867	sue:SAOV_0572
ko:K05571	sue:SAOV_0664
ko:K00760	sue:SAOV_0532
ko:K02863	sue:SAOV_0573
ko:K03466	sue:SAOV_0230
ko:K00826	sue:SAOV_0589
ko:K00919	sue:SAOV_0517
ko:K03798	sue:SAOV_0533
ko:K02864	sue:SAOV_0574
ko:K01091	sue:SAOV_0590
ko:K08094	sue:SAOV_0606
ko:K06885	sue:SAOV_0638
ko:K04083	sue:SAOV_0534
ko:K02935	sue:SAOV_0575
ko:K15519	sue:SAOV_0591c
ko:K09793	sue:SAOV_0709
ko:K15738	sue:SAOV_0754
ko:K01803	sue:SAOV_0816
ko:K03402	sue:SAOV_1521
ko:K13789	sue:SAOV_1522
ko:K03602	sue:SAOV_1523
ko:K03601	sue:SAOV_1524
ko:K03625	sue:SAOV_1525
ko:K01961	sue:SAOV_1527
ko:K02160	sue:SAOV_1528
ko:K02356	sue:SAOV_1529
ko:K03800	sue:SAOV_1533
ko:K00283	sue:SAOV_1535
ko:K00282	sue:SAOV_1536
ko:K00605	sue:SAOV_1537
ko:K00891	sue:SAOV_1538
ko:K02913	sue:SAOV_1551
ko:K04564	sue:SAOV_1553
ko:K09816	sue:SAOV_1555
ko:K09817	sue:SAOV_1556
ko:K01151	sue:SAOV_1557
ko:K06967	sue:SAOV_1560
ko:K03086	sue:SAOV_1561
ko:K09773	sue:SAOV_1563
ko:K01880	sue:SAOV_1565
ko:K03584	sue:SAOV_1566
ko:K07042	sue:SAOV_1570
ko:K02970	sue:SAOV_1575
ko:K11102	sue:SAOV_2430c
ko:K07696	sue:SAOV_2437c
ko:K00373	sue:SAOV_2440c
ko:K00371	sue:SAOV_2441c
ko:K00370	sue:SAOV_2442c
ko:K00363	sue:SAOV_2445c
ko:K00362	sue:SAOV_2446c
ko:K01012	sue:SAOV_2474c
ko:K00833	sue:SAOV_2475c
ko:K01935	sue:SAOV_2476c
ko:K00865	sue:SAOV_2482
ko:K05846	sue:SAOV_2495c
ko:K10681	sue:SAOV_0739c
ko:K03654	sue:SAOV_0755
ko:K09761	sue:SAOV_1577
ko:K02687	sue:SAOV_1578
ko:K03686	sue:SAOV_1579
ko:K04043	sue:SAOV_1580
ko:K03687	sue:SAOV_1581
ko:K03705	sue:SAOV_1582
ko:K03596	sue:SAOV_1584
ko:K02968	sue:SAOV_1585
ko:K02340	sue:SAOV_1586
ko:K02237	sue:SAOV_1589
ko:K09710	sue:SAOV_1591
ko:K00969	sue:SAOV_1593
ko:K07574	sue:SAOV_1594
ko:K00014	sue:SAOV_1595
ko:K07015	sue:SAOV_1597
ko:K07160	sue:SAOV_1603
ko:K01961	sue:SAOV_1604
ko:K02160	sue:SAOV_1605
ko:K03624	sue:SAOV_1608
ko:K00876	sue:SAOV_1609
ko:K08303	sue:SAOV_1610
ko:K07447	sue:SAOV_1614
ko:K01872	sue:SAOV_1616
ko:K03581	sue:SAOV_1617
ko:K00566	sue:SAOV_1619
ko:K04487	sue:SAOV_1620
ko:K07478	sue:SAOV_1625
ko:K01876	sue:SAOV_1627
ko:K01892	sue:SAOV_1628
ko:K01448	sue:SAOV_1629
ko:K07560	sue:SAOV_1630
ko:K00759	sue:SAOV_1632
ko:K10682	sue:SAOV_0740c
ko:K05847	sue:SAOV_0756
ko:K02015	sue:SAOV_0770
ko:K00384	sue:SAOV_0801
ko:K15633	sue:SAOV_0817
ko:K07462	sue:SAOV_1633
ko:K12257	sue:SAOV_1634
ko:K03210	sue:SAOV_1635
ko:K00773	sue:SAOV_1636
ko:K07568	sue:SAOV_1637
ko:K03551	sue:SAOV_1638
ko:K03550	sue:SAOV_1639
ko:K06209	sue:SAOV_1640
ko:K03979	sue:SAOV_1641
ko:K02899	sue:SAOV_1642
ko:K02888	sue:SAOV_1644
ko:K03571	sue:SAOV_1645
ko:K03570	sue:SAOV_1646
ko:K03630	sue:SAOV_1649
ko:K11754	sue:SAOV_1651
ko:K01873	sue:SAOV_1652
ko:K01246	sue:SAOV_1653
ko:K01845	sue:SAOV_1656
ko:K01698	sue:SAOV_1657
ko:K01749	sue:SAOV_1659
ko:K02497	sue:SAOV_1660
ko:K02492	sue:SAOV_1661
ko:K03978	sue:SAOV_1662
ko:K03544	sue:SAOV_1663
ko:K03545	sue:SAOV_1664
ko:K02887	sue:SAOV_1667
ko:K02916	sue:SAOV_1668
ko:K02520	sue:SAOV_1669
ko:K01868	sue:SAOV_1671
ko:K07738	sue:SAOV_1674
ko:K00134	sue:SAOV_1675
ko:K00859	sue:SAOV_1676
ko:K07636	sue:SAOV_1680
ko:K00031	sue:SAOV_1682
ko:K01647	sue:SAOV_1683
ko:K00873	sue:SAOV_1685
ko:K00850	sue:SAOV_1686
ko:K02015	sue:SAOV_0771
ko:K01689	sue:SAOV_0818
ko:K01962	sue:SAOV_1687
ko:K01963	sue:SAOV_1688
ko:K02337	sue:SAOV_1690
ko:K00259	sue:SAOV_1696
ko:K00925	sue:SAOV_1698
ko:K11065	sue:SAOV_1700
ko:K07090	sue:SAOV_1701
ko:K03151	sue:SAOV_1702
ko:K04487	sue:SAOV_1703
ko:K02986	sue:SAOV_1706
ko:K01126	sue:SAOV_1707
ko:K00655	sue:SAOV_1713
ko:K01866	sue:SAOV_1715
ko:K01938	sue:SAOV_1718
ko:K01895	sue:SAOV_1719
ko:K04766	sue:SAOV_1720
ko:K04768	sue:SAOV_1721
ko:K02529	sue:SAOV_1722
ko:K13853	sue:SAOV_1723
ko:K01924	sue:SAOV_1726
ko:K03466	sue:SAOV_1727
ko:K06878	sue:SAOV_1728
ko:K03439	sue:SAOV_1734
ko:K00824	sue:SAOV_1736
ko:K03075	sue:SAOV_0820
ko:K03928	sue:SAOV_0821
ko:K12573	sue:SAOV_0822
ko:K03664	sue:SAOV_0823
ko:K03704	sue:SAOV_0833
ko:K06895	sue:SAOV_0842c
ko:K03785	sue:SAOV_0845
ko:K02437	sue:SAOV_0849
ko:K07476	sue:SAOV_0852
ko:K02071	sue:SAOV_0854
ko:K02072	sue:SAOV_0855
ko:K02073	sue:SAOV_0856
ko:K09013	sue:SAOV_0859
ko:K09015	sue:SAOV_0860
ko:K11717	sue:SAOV_0861
ko:K09014	sue:SAOV_0863
ko:K00459	sue:SAOV_0867
ko:K07090	sue:SAOV_0869
ko:K03644	sue:SAOV_0871
ko:K01869	sue:SAOV_1744
ko:K07139	sue:SAOV_1746
ko:K00318	sue:SAOV_1750
ko:K00794	sue:SAOV_1751
ko:K14652	sue:SAOV_1752
ko:K07007	sue:SAOV_1741
ko:K07220	sue:SAOV_0697
ko:K01669	sue:SAOV_0726
ko:K00817	sue:SAOV_0758
ko:K02013	sue:SAOV_0772
ko:K00793	sue:SAOV_1753
ko:K11752	sue:SAOV_1754
ko:K03893	sue:SAOV_1757
ko:K06199	sue:SAOV_1767
ko:K06199	sue:SAOV_1768
ko:K00789	sue:SAOV_1771
ko:K01610	sue:SAOV_1772
ko:K08998	sue:SAOV_1775
ko:K01911	sue:SAOV_1777
ko:K01154	sue:SAOV_1793
ko:K03306	sue:SAOV_0698
ko:K02016	sue:SAOV_0773
ko:K03367	sue:SAOV_0878
ko:K03739	sue:SAOV_0879
ko:K14188	sue:SAOV_0880
ko:K03740	sue:SAOV_0881
ko:K03885	sue:SAOV_0884c
ko:K03885	sue:SAOV_0887
ko:K01255	sue:SAOV_0888
ko:K07084	sue:SAOV_0889
ko:K05571	sue:SAOV_0892c
ko:K05569	sue:SAOV_0894c
ko:K05567	sue:SAOV_0896c
ko:K05566	sue:SAOV_0897c
ko:K06347	sue:SAOV_0899c
ko:K00260	sue:SAOV_0904
ko:K01126	sue:SAOV_0905c
ko:K01755	sue:SAOV_0906c
ko:K01940	sue:SAOV_0907c
ko:K01810	sue:SAOV_0908
ko:K03100	sue:SAOV_0911
ko:K03100	sue:SAOV_0912
ko:K03695	sue:SAOV_0921
ko:K00648	sue:SAOV_0929
ko:K09458	sue:SAOV_0930
ko:K15581	sue:SAOV_0932
ko:K07002	sue:SAOV_1826
ko:K00231	sue:SAOV_1827
ko:K01772	sue:SAOV_1828
ko:K01599	sue:SAOV_1829
ko:K02503	sue:SAOV_1833
ko:K06180	sue:SAOV_1847
ko:K03216	sue:SAOV_1852
ko:K06966	sue:SAOV_0715c
ko:K10026	sue:SAOV_0744c
ko:K15580	sue:SAOV_0936
ko:K02034	sue:SAOV_0941
ko:K01867	sue:SAOV_0942c
ko:K08602	sue:SAOV_0946
ko:K06886	sue:SAOV_0948c
ko:K00858	sue:SAOV_0952
ko:K06180	sue:SAOV_0953
ko:K06213	sue:SAOV_0954
ko:K00208	sue:SAOV_0956
ko:K03310	sue:SAOV_0958
ko:K02837	sue:SAOV_0964
ko:K02250	sue:SAOV_0971c
ko:K03800	sue:SAOV_0973c
ko:K02003	sue:SAOV_0979
ko:K15977	sue:SAOV_0982c
ko:K02016	sue:SAOV_0983
ko:K02548	sue:SAOV_0987c
ko:K02551	sue:SAOV_0989
ko:K01661	sue:SAOV_0991
ko:K03564	sue:SAOV_1890
ko:K01845	sue:SAOV_1891
ko:K03575	sue:SAOV_1895
ko:K03565	sue:SAOV_1899
ko:K05520	sue:SAOV_1903
ko:K06890	sue:SAOV_0700
ko:K09768	sue:SAOV_0716c
ko:K01737	sue:SAOV_0745c
ko:K00075	sue:SAOV_0775c
ko:K03070	sue:SAOV_0790
ko:K02829	sue:SAOV_1004c
ko:K02828	sue:SAOV_1005c
ko:K02827	sue:SAOV_1006c
ko:K02826	sue:SAOV_1007c
ko:K01491	sue:SAOV_1009c
ko:K01588	sue:SAOV_1010
ko:K01952	sue:SAOV_1013
ko:K01952	sue:SAOV_1014
ko:K00764	sue:SAOV_1015
ko:K01933	sue:SAOV_1016
ko:K11175	sue:SAOV_1017
ko:K00602	sue:SAOV_1018
ko:K01945	sue:SAOV_1019
ko:K06969	sue:SAOV_1025
ko:K00425	sue:SAOV_1030
ko:K00426	sue:SAOV_1031
ko:K01462	sue:SAOV_1035c
ko:K00161	sue:SAOV_1037
ko:K00162	sue:SAOV_1038
ko:K00627	sue:SAOV_1039
ko:K00382	sue:SAOV_1040
ko:K06920	sue:SAOV_0746c
ko:K03305	sue:SAOV_0762c
ko:K02836	sue:SAOV_0791
ko:K01358	sue:SAOV_0807
ko:K03322	sue:SAOV_1049c
ko:K06207	sue:SAOV_1052
ko:K03588	sue:SAOV_1055
ko:K02259	sue:SAOV_1057c
ko:K08976	sue:SAOV_1059
ko:K01126	sue:SAOV_1062c
ko:K00954	sue:SAOV_1066
ko:K07040	sue:SAOV_1068
ko:K02911	sue:SAOV_1069
ko:K07058	sue:SAOV_1981
ko:K01265	sue:SAOV_1986
ko:K02217	sue:SAOV_1992
ko:K02346	sue:SAOV_1994
ko:K03215	sue:SAOV_1996
ko:K02434	sue:SAOV_1999
ko:K02435	sue:SAOV_2001
ko:K01972	sue:SAOV_2006
ko:K03657	sue:SAOV_2007
ko:K01756	sue:SAOV_2010
ko:K00763	sue:SAOV_2016
ko:K00491	sue:SAOV_2017
ko:K14445	sue:SAOV_2019
ko:K06153	sue:SAOV_0718c
ko:K09457	sue:SAOV_0763c
ko:K02016	sue:SAOV_1129
ko:K02015	sue:SAOV_1130
ko:K08600	sue:SAOV_1131
ko:K03437	sue:SAOV_1133
ko:K01889	sue:SAOV_1134
ko:K01890	sue:SAOV_1135
ko:K09888	sue:SAOV_1138
ko:K02347	sue:SAOV_1140
ko:K07456	sue:SAOV_1141
ko:K03671	sue:SAOV_1142
ko:K03703	sue:SAOV_1143
ko:K00239	sue:SAOV_1145
ko:K00240	sue:SAOV_1146
ko:K01776	sue:SAOV_1147
ko:K07095	sue:SAOV_1149
ko:K11032	sue:SAOV_1161c
ko:K00611	sue:SAOV_1167
ko:K00926	sue:SAOV_1168
ko:K01114	sue:SAOV_2040
ko:K00643	sue:SAOV_2045
ko:K04077	sue:SAOV_2066c
ko:K04078	sue:SAOV_2067c
ko:K07078	sue:SAOV_2070
ko:K07813	sue:SAOV_2073
ko:K07707	sue:SAOV_2076
ko:K00847	sue:SAOV_2077c
ko:K01193	sue:SAOV_2078c
ko:K03484	sue:SAOV_2079c
ko:K03320	sue:SAOV_2080c
ko:K07112	sue:SAOV_2082c
ko:K01926	sue:SAOV_2083c
ko:K06158	sue:SAOV_2084
ko:K03789	sue:SAOV_2087c
ko:K06925	sue:SAOV_2089c
ko:K01665	sue:SAOV_0748
ko:K07023	sue:SAOV_0793
ko:K07071	sue:SAOV_0809c
ko:K03925	sue:SAOV_1179
ko:K03438	sue:SAOV_1180
ko:K01000	sue:SAOV_1183
ko:K01925	sue:SAOV_1184
ko:K03589	sue:SAOV_1185
ko:K03590	sue:SAOV_1186
ko:K03531	sue:SAOV_1187
ko:K05810	sue:SAOV_1188
ko:K06997	sue:SAOV_1189
ko:K09772	sue:SAOV_1190
ko:K02221	sue:SAOV_1191
ko:K04074	sue:SAOV_1193
ko:K01870	sue:SAOV_1194
ko:K03101	sue:SAOV_1199
ko:K06180	sue:SAOV_1200
ko:K02825	sue:SAOV_1201
ko:K00609	sue:SAOV_1203
ko:K01465	sue:SAOV_1204
ko:K01956	sue:SAOV_1205
ko:K01955	sue:SAOV_1206
ko:K01591	sue:SAOV_1207
ko:K00762	sue:SAOV_1208
ko:K00942	sue:SAOV_1212
ko:K03060	sue:SAOV_1213
ko:K13038	sue:SAOV_1214
ko:K04066	sue:SAOV_1215
ko:K01462	sue:SAOV_1218
ko:K00604	sue:SAOV_1219
ko:K03500	sue:SAOV_1220
ko:K06941	sue:SAOV_1221
ko:K06949	sue:SAOV_1224
ko:K01783	sue:SAOV_1225
ko:K02902	sue:SAOV_1227c
ko:K01687	sue:SAOV_2090
ko:K01652	sue:SAOV_2091
ko:K01653	sue:SAOV_2092
ko:K00053	sue:SAOV_2093
ko:K01649	sue:SAOV_2094
ko:K00052	sue:SAOV_2095
ko:K01703	sue:SAOV_2096
ko:K01704	sue:SAOV_2097
ko:K01754	sue:SAOV_2098
ko:K06959	sue:SAOV_2105c
ko:K01775	sue:SAOV_2112c
ko:K00997	sue:SAOV_2113c
ko:K01548	sue:SAOV_2117c
ko:K01547	sue:SAOV_2118c
ko:K01546	sue:SAOV_2119c
ko:K07646	sue:SAOV_2120
ko:K07667	sue:SAOV_2121
ko:K01929	sue:SAOV_2123c
ko:K01921	sue:SAOV_2124c
ko:K05837	sue:SAOV_2125
ko:K06131	sue:SAOV_2129
ko:K06950	sue:SAOV_2130
ko:K03217	sue:SAOV_2131c
ko:K00788	sue:SAOV_2132c
ko:K00878	sue:SAOV_2133c
ko:K00941	sue:SAOV_2134c
ko:K03707	sue:SAOV_2135c
ko:K02372	sue:SAOV_2140c
ko:K00790	sue:SAOV_2141c
ko:K02114	sue:SAOV_2143c
ko:K02112	sue:SAOV_2144c
ko:K00865	sue:SAOV_0779
ko:K03655	sue:SAOV_1230
ko:K03621	sue:SAOV_1232
ko:K00645	sue:SAOV_1233
ko:K02078	sue:SAOV_1235
ko:K03685	sue:SAOV_1236
ko:K03529	sue:SAOV_1237
ko:K03110	sue:SAOV_1238
ko:K03106	sue:SAOV_1240
ko:K02959	sue:SAOV_1241
ko:K02860	sue:SAOV_1242
ko:K00554	sue:SAOV_1243
ko:K02884	sue:SAOV_1244
ko:K14540	sue:SAOV_1246
ko:K03470	sue:SAOV_1247
ko:K01903	sue:SAOV_1248
ko:K01902	sue:SAOV_1249
ko:K04096	sue:SAOV_1251
ko:K03168	sue:SAOV_1252
ko:K04094	sue:SAOV_1253
ko:K03733	sue:SAOV_1254
ko:K01419	sue:SAOV_1255
ko:K03667	sue:SAOV_1256
ko:K03706	sue:SAOV_1257
ko:K02967	sue:SAOV_1258
ko:K02357	sue:SAOV_1259
ko:K09903	sue:SAOV_1260
ko:K02838	sue:SAOV_1261
ko:K00806	sue:SAOV_1262
ko:K00981	sue:SAOV_1263
ko:K11749	sue:SAOV_1264
ko:K01881	sue:SAOV_1265
ko:K03763	sue:SAOV_1266
ko:K09748	sue:SAOV_1267
ko:K02600	sue:SAOV_1268
ko:K07742	sue:SAOV_1269
ko:K02519	sue:SAOV_1271
ko:K02834	sue:SAOV_1272
ko:K11753	sue:SAOV_1274
ko:K02956	sue:SAOV_1275
ko:K00962	sue:SAOV_1276
ko:K03466	sue:SAOV_1278
ko:K00995	sue:SAOV_1285
ko:K02115	sue:SAOV_2145c
ko:K02111	sue:SAOV_2146c
ko:K02113	sue:SAOV_2147c
ko:K02109	sue:SAOV_2148c
ko:K02110	sue:SAOV_2149c
ko:K02108	sue:SAOV_2150c
ko:K00761	sue:SAOV_2153c
ko:K00600	sue:SAOV_2154c
ko:K07566	sue:SAOV_2157c
ko:K02493	sue:SAOV_2158c
ko:K02835	sue:SAOV_2159c
ko:K02909	sue:SAOV_2161c
ko:K03628	sue:SAOV_2162c
ko:K00790	sue:SAOV_2165c
ko:K01624	sue:SAOV_2166c
ko:K01937	sue:SAOV_2168c
ko:K07173	sue:SAOV_2175
ko:K00756	sue:SAOV_2176c
ko:K04047	sue:SAOV_2179c
ko:K02013	sue:SAOV_2190c
ko:K00820	sue:SAOV_2193c
ko:K00009	sue:SAOV_2198
ko:K03431	sue:SAOV_2200c
ko:K02768	sue:SAOV_0734
ko:K02769	sue:SAOV_0734
ko:K02770	sue:SAOV_0734
ko:K03702	sue:SAOV_0795
ko:K09769	sue:SAOV_1290
ko:K01775	sue:SAOV_1408
ko:K01586	sue:SAOV_1409
ko:K06173	sue:SAOV_2257c
ko:K02879	sue:SAOV_2261c
ko:K03040	sue:SAOV_2262c
ko:K02948	sue:SAOV_2263c
ko:K02952	sue:SAOV_2264c
ko:K02518	sue:SAOV_2265c
ko:K03076	sue:SAOV_2267c
ko:K02876	sue:SAOV_2268c
ko:K02907	sue:SAOV_2269c
ko:K02988	sue:SAOV_2270c
ko:K02881	sue:SAOV_2271c
ko:K02933	sue:SAOV_2272c
ko:K02994	sue:SAOV_2273c
ko:K02954	sue:SAOV_2274c
ko:K02931	sue:SAOV_2275c
ko:K02895	sue:SAOV_2276c
ko:K02874	sue:SAOV_2277c
ko:K02961	sue:SAOV_2278c
ko:K02904	sue:SAOV_2279c
ko:K02878	sue:SAOV_2280c
ko:K02982	sue:SAOV_2281c
ko:K02890	sue:SAOV_2282c
ko:K02965	sue:SAOV_2283c
ko:K02886	sue:SAOV_2284c
ko:K02892	sue:SAOV_2285c
ko:K02926	sue:SAOV_2286c
ko:K02906	sue:SAOV_2287c
ko:K02946	sue:SAOV_2288c
ko:K06901	sue:SAOV_2290c
ko:K07088	sue:SAOV_2296c
ko:K03639	sue:SAOV_2307c
ko:K03752	sue:SAOV_2308c
ko:K03636	sue:SAOV_2309c
ko:K03753	sue:SAOV_2311c
ko:K00134	sue:SAOV_0814
ko:K07734	sue:SAOV_1410c
ko:K03704	sue:SAOV_1412c
ko:K01512	sue:SAOV_1414
ko:K03311	sue:SAOV_1417c
ko:K00658	sue:SAOV_1422c
ko:K00164	sue:SAOV_1423c
ko:K02563	sue:SAOV_1427c
ko:K03797	sue:SAOV_1429c
ko:K09125	sue:SAOV_1441
ko:K08170	sue:SAOV_1445
ko:K01754	sue:SAOV_1447
ko:K00259	sue:SAOV_1448
ko:K07444	sue:SAOV_1453
ko:K05366	sue:SAOV_1458
ko:K10773	sue:SAOV_1460
ko:K01893	sue:SAOV_1462
ko:K03524	sue:SAOV_1464
ko:K03750	sue:SAOV_2312c
ko:K03637	sue:SAOV_2313
ko:K03638	sue:SAOV_2314c
ko:K02018	sue:SAOV_2317c
ko:K02020	sue:SAOV_2318c
ko:K02379	sue:SAOV_2319
ko:K03523	sue:SAOV_2321c
ko:K02016	sue:SAOV_2323c
ko:K08717	sue:SAOV_2326c
ko:K01430	sue:SAOV_2327
ko:K01429	sue:SAOV_2328
ko:K01428	sue:SAOV_2329
ko:K03187	sue:SAOV_2330
