ko:K12108	hpc:HPPC_02695
ko:K08303	hpc:HPPC_00855
ko:K02836	hpc:HPPC_00865
ko:K03750	hpc:HPPC_00870
ko:K02421	hpc:HPPC_00875
ko:K04079	hpc:HPPC_01050
ko:K03495	hpc:HPPC_01065
ko:K00981	hpc:HPPC_01075
ko:K00099	hpc:HPPC_01080
ko:K04487	hpc:HPPC_01105
ko:K13819	hpc:HPPC_01110
ko:K04485	hpc:HPPC_01120
ko:K12267	hpc:HPPC_01125
ko:K07090	hpc:HPPC_01140
ko:K00979	hpc:HPPC_01165
ko:K03981	hpc:HPPC_01170
ko:K01749	hpc:HPPC_01200
ko:K01881	hpc:HPPC_01205
ko:K02492	hpc:HPPC_01210
ko:K11749	hpc:HPPC_01305
ko:K03601	hpc:HPPC_01310
ko:K03695	hpc:HPPC_01340
ko:K01465	hpc:HPPC_01350
ko:K06168	hpc:HPPC_01365
ko:K09778	hpc:HPPC_01370
ko:K06940	hpc:HPPC_01390
ko:K01609	hpc:HPPC_01400
ko:K02841	hpc:HPPC_01415
ko:K02517	hpc:HPPC_01420
ko:K00773	hpc:HPPC_01425
ko:K09944	hpc:HPPC_01430
ko:K01735	hpc:HPPC_01435
ko:K01586	hpc:HPPC_01470
ko:K01163	hpc:HPPC_01480
ko:K02397	hpc:HPPC_01500
ko:K02888	hpc:HPPC_01505
ko:K02899	hpc:HPPC_01510
ko:K12368	hpc:HPPC_01515
ko:K12370	hpc:HPPC_01525
ko:K12372	hpc:HPPC_01535
ko:K03979	hpc:HPPC_01540
ko:K03116	hpc:HPPC_01620
ko:K00942	hpc:HPPC_01625
ko:K02393	hpc:HPPC_01645
ko:K00912	hpc:HPPC_01665
ko:K00053	hpc:HPPC_01675
ko:K03609	hpc:HPPC_01680
ko:K03608	hpc:HPPC_01685
ko:K04096	hpc:HPPC_01690
ko:K07447	hpc:HPPC_01695
ko:K06180	hpc:HPPC_01740
ko:K07462	hpc:HPPC_01745
ko:K01937	hpc:HPPC_01750
ko:K02409	hpc:HPPC_01760
ko:K02410	hpc:HPPC_01765
ko:K02411	hpc:HPPC_01770
ko:K01662	hpc:HPPC_01775
ko:K03596	hpc:HPPC_01780
ko:K02392	hpc:HPPC_01800
ko:K03466	hpc:HPPC_01810
ko:K00615	hpc:HPPC_01820
ko:K11753	hpc:HPPC_01825
ko:K06442	hpc:HPPC_01830
ko:K00609	hpc:HPPC_01840
ko:K07241	hpc:HPPC_01865
ko:K06950	hpc:HPPC_01930
ko:K03501	hpc:HPPC_01935
ko:K07568	hpc:HPPC_01940
ko:K03118	hpc:HPPC_01945
ko:K03117	hpc:HPPC_01950
ko:K03551	hpc:HPPC_01955
ko:K00606	hpc:HPPC_01960
ko:K03610	hpc:HPPC_01985
ko:K02535	hpc:HPPC_01990
ko:K00872	hpc:HPPC_02000
ko:K02519	hpc:HPPC_02010
ko:K02834	hpc:HPPC_02015
ko:K09748	hpc:HPPC_02020
ko:K01895	hpc:HPPC_02025
ko:K02400	hpc:HPPC_02050
ko:K02956	hpc:HPPC_02055
ko:K03786	hpc:HPPC_02065
ko:K00950	hpc:HPPC_02075
ko:K02404	hpc:HPPC_02080
ko:K04562	hpc:HPPC_02085
ko:K02405	hpc:HPPC_02095
ko:K02416	hpc:HPPC_02100
ko:K02417	hpc:HPPC_02105
ko:K07478	hpc:HPPC_02125
ko:K05516	hpc:HPPC_02135
ko:K12506	hpc:HPPC_02155
ko:K03707	hpc:HPPC_06330
ko:K03811	hpc:HPPC_06335
ko:K01448	hpc:HPPC_03905
ko:K01866	hpc:HPPC_03915
ko:K03060	hpc:HPPC_03925
ko:K09903	hpc:HPPC_03930
ko:K01682	hpc:HPPC_03940
ko:K03634	hpc:HPPC_03965
ko:K03070	hpc:HPPC_03970
ko:K01962	hpc:HPPC_02760
ko:K09458	hpc:HPPC_02765
ko:K02078	hpc:HPPC_02775
ko:K02970	hpc:HPPC_02785
ko:K01599	hpc:HPPC_03050
ko:K01972	hpc:HPPC_03100
ko:K03415	hpc:HPPC_03105
ko:K01876	hpc:HPPC_03110
ko:K07270	hpc:HPPC_03125
ko:K01028	hpc:HPPC_03325
ko:K07501	hpc:HPPC_03355
ko:K04759	hpc:HPPC_03360
ko:K02419	hpc:HPPC_03370
ko:K04042	hpc:HPPC_03380
ko:K03625	hpc:HPPC_00005
ko:K00794	hpc:HPPC_00010
ko:K01627	hpc:HPPC_00015
ko:K07090	hpc:HPPC_03405
ko:K00812	hpc:HPPC_03440
ko:K11473	hpc:HPPC_03455
ko:K01736	hpc:HPPC_03470
ko:K03685	hpc:HPPC_03475
ko:K03092	hpc:HPPC_03610
ko:K06861	hpc:HPPC_03615
ko:K06925	hpc:HPPC_03620
ko:K02343	hpc:HPPC_03625
ko:K06895	hpc:HPPC_03630
ko:K04075	hpc:HPPC_03680
ko:K01095	hpc:HPPC_03735
ko:K01921	hpc:HPPC_03740
ko:K01929	hpc:HPPC_03750
ko:K00948	hpc:HPPC_03760
ko:K05837	hpc:HPPC_03765
ko:K06180	hpc:HPPC_03775
ko:K03439	hpc:HPPC_03785
ko:K09812	hpc:HPPC_03790
ko:K09811	hpc:HPPC_03795
ko:K02407	hpc:HPPC_03810
ko:K02422	hpc:HPPC_03815
ko:K00995	hpc:HPPC_02170
ko:K01714	hpc:HPPC_02190
ko:K00937	hpc:HPPC_02205
ko:K01154	hpc:HPPC_02215
ko:K03427	hpc:HPPC_02220
ko:K01153	hpc:HPPC_02225
ko:K08602	hpc:HPPC_02255
ko:K02020	hpc:HPPC_02270
ko:K02018	hpc:HPPC_02275
ko:K06207	hpc:HPPC_02310
ko:K01058	hpc:HPPC_02460
ko:K02338	hpc:HPPC_02465
ko:K02470	hpc:HPPC_02470
ko:K00215	hpc:HPPC_02500
ko:K01915	hpc:HPPC_02515
ko:K02939	hpc:HPPC_02525
ko:K01419	hpc:HPPC_02530
ko:K03667	hpc:HPPC_02535
ko:K01776	hpc:HPPC_02720
ko:K03628	hpc:HPPC_02725
ko:K01673	hpc:HPPC_00020
ko:K01591	hpc:HPPC_00025
ko:K01918	hpc:HPPC_00030
ko:K01647	hpc:HPPC_00120
ko:K00031	hpc:HPPC_00125
ko:K01935	hpc:HPPC_00135
ko:K06891	hpc:HPPC_00150
ko:K03694	hpc:HPPC_00155
ko:K01579	hpc:HPPC_00160
ko:K09747	hpc:HPPC_00165
ko:K01711	hpc:HPPC_00205
ko:K02377	hpc:HPPC_00210
ko:K04656	hpc:HPPC_00220
ko:K13821	hpc:HPPC_00250
ko:K03190	hpc:HPPC_00335
ko:K03189	hpc:HPPC_00340
ko:K03188	hpc:HPPC_00345
ko:K03187	hpc:HPPC_00350
ko:K01428	hpc:HPPC_00365
ko:K03101	hpc:HPPC_00375
ko:K03431	hpc:HPPC_00380
ko:K02968	hpc:HPPC_00385
ko:K02835	hpc:HPPC_00390
ko:K02996	hpc:HPPC_00420
ko:K02871	hpc:HPPC_00425
ko:K00116	hpc:HPPC_00435
ko:K04043	hpc:HPPC_00555
ko:K03687	hpc:HPPC_00560
ko:K03705	hpc:HPPC_00565
ko:K01628	hpc:HPPC_00570
ko:K02406	hpc:HPPC_00585
ko:K03168	hpc:HPPC_00590
ko:K01868	hpc:HPPC_00620
ko:K02520	hpc:HPPC_00625
ko:K02916	hpc:HPPC_00630
ko:K02887	hpc:HPPC_00635
ko:K01752	hpc:HPPC_00660
ko:K03837	hpc:HPPC_00665
ko:K01626	hpc:HPPC_00675
ko:K03564	hpc:HPPC_00690
ko:K00782	hpc:HPPC_00695
ko:K03303	hpc:HPPC_00710
ko:K03303	hpc:HPPC_00715
ko:K03575	hpc:HPPC_00720
ko:K00404	hpc:HPPC_00730
ko:K00405	hpc:HPPC_00735
ko:K01772	hpc:HPPC_05030
ko:K01874	hpc:HPPC_05035
ko:K00574	hpc:HPPC_05040
ko:K01951	hpc:HPPC_05060
ko:K01624	hpc:HPPC_00890
ko:K02356	hpc:HPPC_00895
ko:K03820	hpc:HPPC_00910
ko:K03558	hpc:HPPC_00915
ko:K04567	hpc:HPPC_00920
ko:K00600	hpc:HPPC_00925
ko:K00246	hpc:HPPC_00965
ko:K01803	hpc:HPPC_00970
ko:K00208	hpc:HPPC_00975
ko:K02536	hpc:HPPC_00980
ko:K00789	hpc:HPPC_00985
ko:K00940	hpc:HPPC_00990
ko:K02911	hpc:HPPC_01000
ko:K03621	hpc:HPPC_01005
ko:K00648	hpc:HPPC_01010
ko:K00573	hpc:HPPC_05295
ko:K07091	hpc:HPPC_05300
ko:K06173	hpc:HPPC_05305
ko:K01625	hpc:HPPC_05335
ko:K01690	hpc:HPPC_05340
ko:K00036	hpc:HPPC_05345
ko:K01057	hpc:HPPC_05350
ko:K13979	hpc:HPPC_05360
ko:K00172	hpc:HPPC_05385
ko:K02523	hpc:HPPC_01215
ko:K04047	hpc:HPPC_01230
ko:K07710	hpc:HPPC_01235
ko:K02394	hpc:HPPC_01245
ko:K05592	hpc:HPPC_01250
ko:K13896	hpc:HPPC_01265
ko:K13895	hpc:HPPC_01270
ko:K01939	hpc:HPPC_01290
ko:K02109	hpc:HPPC_05525
ko:K02109	hpc:HPPC_05530
ko:K03524	hpc:HPPC_05545
ko:K00604	hpc:HPPC_05550
ko:K02884	hpc:HPPC_05585
ko:K00554	hpc:HPPC_05590
ko:K02860	hpc:HPPC_05595
ko:K06960	hpc:HPPC_05600
ko:K02959	hpc:HPPC_05605
ko:K03106	hpc:HPPC_05610
ko:K01873	hpc:HPPC_05615
ko:K02563	hpc:HPPC_05625
ko:K00286	hpc:HPPC_05640
ko:K04095	hpc:HPPC_05645
ko:K07042	hpc:HPPC_05650
ko:K03839	hpc:HPPC_05655
ko:K00384	hpc:HPPC_05670
ko:K01810	hpc:HPPC_05680
ko:K06200	hpc:HPPC_05695
ko:K02029	hpc:HPPC_05700
ko:K01845	hpc:HPPC_01555
ko:K00133	hpc:HPPC_05810
ko:K01892	hpc:HPPC_05815
ko:K02355	hpc:HPPC_05830
ko:K02992	hpc:HPPC_05835
ko:K02950	hpc:HPPC_05840
ko:K02935	hpc:HPPC_05855
ko:K02864	hpc:HPPC_05860
ko:K02863	hpc:HPPC_05865
ko:K02867	hpc:HPPC_05870
ko:K02601	hpc:HPPC_05875
ko:K03073	hpc:HPPC_05880
ko:K02913	hpc:HPPC_05885
ko:K02358	hpc:HPPC_05890
ko:K00640	hpc:HPPC_05920
ko:K02110	hpc:HPPC_05925
ko:K00962	hpc:HPPC_05935
ko:K04744	hpc:HPPC_05945
ko:K01945	hpc:HPPC_05955
ko:K00806	hpc:HPPC_05965
ko:K06199	hpc:HPPC_05985
ko:K09804	hpc:HPPC_06045
ko:K01956	hpc:HPPC_06050
ko:K06287	hpc:HPPC_06075
ko:K01872	hpc:HPPC_06080
ko:K09794	hpc:HPPC_06085
ko:K02963	hpc:HPPC_06105
ko:K02990	hpc:HPPC_06115
ko:K02340	hpc:HPPC_06125
ko:K12573	hpc:HPPC_06130
ko:K00014	hpc:HPPC_06135
ko:K13894	hpc:HPPC_06145
ko:K01867	hpc:HPPC_06160
ko:K02169	hpc:HPPC_06165
ko:K03075	hpc:HPPC_06170
ko:K02838	hpc:HPPC_06175
ko:K00762	hpc:HPPC_06180
ko:K12410	hpc:HPPC_06190
ko:K00330	hpc:HPPC_06195
ko:K00331	hpc:HPPC_06200
ko:K00332	hpc:HPPC_06205
ko:K00333	hpc:HPPC_06210
ko:K00334	hpc:HPPC_06215
ko:K00337	hpc:HPPC_06230
ko:K00338	hpc:HPPC_06235
ko:K00339	hpc:HPPC_06240
ko:K00340	hpc:HPPC_06245
ko:K00341	hpc:HPPC_06250
ko:K00342	hpc:HPPC_06255
ko:K00343	hpc:HPPC_06260
ko:K01695	hpc:HPPC_06280
ko:K01696	hpc:HPPC_06285
ko:K13498	hpc:HPPC_06290
ko:K00766	hpc:HPPC_06295
ko:K01657	hpc:HPPC_06305
ko:K02879	hpc:HPPC_06355
ko:K03040	hpc:HPPC_06360
ko:K02986	hpc:HPPC_06365
ko:K02948	hpc:HPPC_06370
ko:K02952	hpc:HPPC_06375
ko:K02919	hpc:HPPC_06380
ko:K02518	hpc:HPPC_06385
ko:K01265	hpc:HPPC_06390
ko:K03076	hpc:HPPC_06395
ko:K02876	hpc:HPPC_06400
ko:K02988	hpc:HPPC_06405
ko:K02881	hpc:HPPC_06410
ko:K02933	hpc:HPPC_06415
ko:K02994	hpc:HPPC_06420
ko:K02954	hpc:HPPC_06425
ko:K02931	hpc:HPPC_06430
ko:K02895	hpc:HPPC_06435
ko:K02874	hpc:HPPC_06440
ko:K02961	hpc:HPPC_06445
ko:K02904	hpc:HPPC_06450
ko:K02878	hpc:HPPC_06455
ko:K02982	hpc:HPPC_06460
ko:K02890	hpc:HPPC_06465
ko:K02965	hpc:HPPC_06470
ko:K02886	hpc:HPPC_06475
ko:K02892	hpc:HPPC_06480
ko:K02926	hpc:HPPC_06485
ko:K02906	hpc:HPPC_06490
ko:K02946	hpc:HPPC_06495
ko:K07133	hpc:HPPC_06500
ko:K03470	hpc:HPPC_06510
ko:K07787	hpc:HPPC_06540
ko:K03686	hpc:HPPC_06555
ko:K00566	hpc:HPPC_06565
ko:K00969	hpc:HPPC_06575
ko:K07722	hpc:HPPC_06580
ko:K01778	hpc:HPPC_02805
ko:K06942	hpc:HPPC_02820
ko:K01255	hpc:HPPC_02825
ko:K00759	hpc:HPPC_02835
ko:K01808	hpc:HPPC_02845
ko:K03100	hpc:HPPC_02855
ko:K01491	hpc:HPPC_02860
ko:K01465	hpc:HPPC_02880
ko:K02417	hpc:HPPC_02895
ko:K10773	hpc:HPPC_02900
ko:K07082	hpc:HPPC_02915
ko:K00176	hpc:HPPC_02920
ko:K00174	hpc:HPPC_02925
ko:K00175	hpc:HPPC_02930
ko:K00177	hpc:HPPC_02935
ko:K03611	hpc:HPPC_03000
ko:K02406	hpc:HPPC_03035
ko:K07337	hpc:HPPC_07120
ko:K06178	hpc:HPPC_07130
ko:K02337	hpc:HPPC_07135
ko:K00428	hpc:HPPC_07140
ko:K07456	hpc:HPPC_03135
ko:K01924	hpc:HPPC_03145
ko:K03923	hpc:HPPC_03175
ko:K03620	hpc:HPPC_03195
ko:K07023	hpc:HPPC_03225
ko:K03438	hpc:HPPC_03240
ko:K03701	hpc:HPPC_03250
ko:K02469	hpc:HPPC_03275
ko:K00901	hpc:HPPC_03280
ko:K10856	hpc:HPPC_03295
ko:K02106	hpc:HPPC_03315
ko:K01029	hpc:HPPC_03320
ko:K11752	hpc:HPPC_07385
ko:K03312	hpc:HPPC_07390
ko:K08591	hpc:HPPC_07405
ko:K01633	hpc:HPPC_07410
ko:K01042	hpc:HPPC_07425
ko:K02600	hpc:HPPC_07430
ko:K03655	hpc:HPPC_07460
ko:K02434	hpc:HPPC_03495
ko:K07277	hpc:HPPC_03510
ko:K02217	hpc:HPPC_03520
ko:K01079	hpc:HPPC_03525
ko:K01744	hpc:HPPC_03545
ko:K00790	hpc:HPPC_03550
ko:K00963	hpc:HPPC_03560
ko:K08309	hpc:HPPC_03565
ko:K02221	hpc:HPPC_03570
ko:K06920	hpc:HPPC_03595
ko:K03168	hpc:HPPC_07700
ko:K12251	hpc:HPPC_03835
ko:K07084	hpc:HPPC_03840
ko:K03110	hpc:HPPC_03865
ko:K06940	hpc:HPPC_03870
ko:K03639	hpc:HPPC_03885
ko:K03752	hpc:HPPC_03890
ko:K02401	hpc:HPPC_03895
ko:K02902	hpc:HPPC_02415
ko:K01000	hpc:HPPC_02430
ko:K01925	hpc:HPPC_02435
ko:K07107	hpc:HPPC_02445
ko:K03308	hpc:HPPC_02450
ko:K03308	hpc:HPPC_02455
ko:K03561	hpc:HPPC_06585
ko:K03832	hpc:HPPC_06595
ko:K03284	hpc:HPPC_06615
ko:K00927	hpc:HPPC_06620
ko:K00134	hpc:HPPC_06625
ko:K03648	hpc:HPPC_06630
ko:K00655	hpc:HPPC_06635
ko:K03797	hpc:HPPC_06645
ko:K00767	hpc:HPPC_06665
ko:K03517	hpc:HPPC_06670
ko:K01613	hpc:HPPC_06675
ko:K03179	hpc:HPPC_06690
ko:K02909	hpc:HPPC_02730
ko:K07056	hpc:HPPC_02735
ko:K03218	hpc:HPPC_02740
ko:K09457	hpc:HPPC_06865
ko:K09710	hpc:HPPC_06870
ko:K00791	hpc:HPPC_06875
ko:K00075	hpc:HPPC_06900
ko:K02420	hpc:HPPC_06905
ko:K02412	hpc:HPPC_06910
ko:K01870	hpc:HPPC_06920
ko:K06941	hpc:HPPC_06950
ko:K06041	hpc:HPPC_06955
ko:K02528	hpc:HPPC_06965
ko:K01154	hpc:HPPC_06980
ko:K01433	hpc:HPPC_06985
ko:K04773	hpc:HPPC_06990
ko:K03563	hpc:HPPC_07030
ko:K00919	hpc:HPPC_07035
ko:K03664	hpc:HPPC_07040
ko:K03561	hpc:HPPC_07045
ko:K02914	hpc:HPPC_07060
ko:K03536	hpc:HPPC_07065
ko:K03217	hpc:HPPC_07075
ko:K03650	hpc:HPPC_07085
ko:K02065	hpc:HPPC_07165
ko:K02066	hpc:HPPC_07170
ko:K00826	hpc:HPPC_07185
ko:K00943	hpc:HPPC_07225
ko:K00954	hpc:HPPC_07230
ko:K03186	hpc:HPPC_07235
ko:K02386	hpc:HPPC_07245
ko:K03657	hpc:HPPC_07250
ko:K01875	hpc:HPPC_07260
ko:K03602	hpc:HPPC_07270
ko:K03183	hpc:HPPC_07275
ko:K08973	hpc:HPPC_07280
ko:K01993	hpc:HPPC_07300
ko:K03306	hpc:HPPC_07315
ko:K01928	hpc:HPPC_07330
ko:K02897	hpc:HPPC_07340
ko:K01056	hpc:HPPC_07345
ko:K11720	hpc:HPPC_07350
ko:K01142	hpc:HPPC_07475
ko:K02313	hpc:HPPC_07485
ko:K00820	hpc:HPPC_07500
ko:K01154	hpc:HPPC_07515
ko:K03427	hpc:HPPC_07525
ko:K01153	hpc:HPPC_07530
ko:K07043	hpc:HPPC_07535
ko:K01476	hpc:HPPC_07545
ko:K00259	hpc:HPPC_07555
ko:K00858	hpc:HPPC_07575
ko:K03631	hpc:HPPC_07580
ko:K01783	hpc:HPPC_07610
ko:K03841	hpc:HPPC_07615
ko:K04077	hpc:HPPC_00050
ko:K04078	hpc:HPPC_00055
ko:K00566	hpc:HPPC_00065
ko:K09859	hpc:HPPC_00090
ko:K03415	hpc:HPPC_00095
ko:K13747	hpc:HPPC_00100
ko:K03550	hpc:HPPC_04450
ko:K03980	hpc:HPPC_04460
ko:K01883	hpc:HPPC_04465
ko:K02013	hpc:HPPC_04475
ko:K02015	hpc:HPPC_04480
ko:K04654	hpc:HPPC_04525
ko:K04653	hpc:HPPC_04530
ko:K00925	hpc:HPPC_04555
ko:K13788	hpc:HPPC_04565
ko:K02389	hpc:HPPC_04575
ko:K02390	hpc:HPPC_04580
ko:K03657	hpc:HPPC_04595
ko:K01955	hpc:HPPC_04630
ko:K00134	hpc:HPPC_04640
ko:K01775	hpc:HPPC_04750
ko:K03310	hpc:HPPC_04755
ko:K00285	hpc:HPPC_04760
ko:K00783	hpc:HPPC_04795
ko:K01963	hpc:HPPC_04800
ko:K13292	hpc:HPPC_04825
ko:K02527	hpc:HPPC_04835
ko:K07164	hpc:HPPC_04840
ko:K01878	hpc:HPPC_04850
ko:K00057	hpc:HPPC_04855
ko:K01879	hpc:HPPC_04915
ko:K02435	hpc:HPPC_04930
ko:K00833	hpc:HPPC_04935
ko:K03770	hpc:HPPC_04940
ko:K03590	hpc:HPPC_04945
ko:K03531	hpc:HPPC_04950
ko:K02503	hpc:HPPC_05085
ko:K01889	hpc:HPPC_05090
ko:K01890	hpc:HPPC_05095
ko:K00800	hpc:HPPC_05100
ko:K03527	hpc:HPPC_05105
ko:K02945	hpc:HPPC_05110
ko:K03182	hpc:HPPC_05125
ko:K06997	hpc:HPPC_05130
ko:K03269	hpc:HPPC_05135
ko:K03415	hpc:HPPC_05140
ko:K03407	hpc:HPPC_05145
ko:K03408	hpc:HPPC_05150
ko:K11065	hpc:HPPC_05160
ko:K04564	hpc:HPPC_05165
ko:K04066	hpc:HPPC_05175
ko:K02493	hpc:HPPC_05210
ko:K00262	hpc:HPPC_05215
ko:K01772	hpc:HPPC_05235
ko:K09761	hpc:HPPC_05245
ko:K01494	hpc:HPPC_05255
ko:K02160	hpc:HPPC_05260
ko:K01961	hpc:HPPC_05265
ko:K00171	hpc:HPPC_05390
ko:K00169	hpc:HPPC_05395
ko:K00170	hpc:HPPC_05400
ko:K01756	hpc:HPPC_05405
ko:K03702	hpc:HPPC_05415
ko:K02396	hpc:HPPC_05440
ko:K03775	hpc:HPPC_05465
ko:K03640	hpc:HPPC_05475
ko:K03641	hpc:HPPC_05480
ko:K02114	hpc:HPPC_05500
ko:K02112	hpc:HPPC_05505
ko:K02115	hpc:HPPC_05510
ko:K02111	hpc:HPPC_05515
ko:K02113	hpc:HPPC_05520
ko:K02429	hpc:HPPC_05725
ko:K06901	hpc:HPPC_05730
ko:K01839	hpc:HPPC_05760
ko:K08159	hpc:HPPC_05790
ko:K08311	hpc:HPPC_06000
ko:K00928	hpc:HPPC_06005
ko:K02341	hpc:HPPC_06015
ko:K00796	hpc:HPPC_06020
ko:K07460	hpc:HPPC_04165
ko:K03671	hpc:HPPC_04170
ko:K00384	hpc:HPPC_04175
ko:K07270	hpc:HPPC_04180
ko:K02108	hpc:HPPC_04195
ko:K00859	hpc:HPPC_04210
ko:K00797	hpc:HPPC_04215
ko:K03977	hpc:HPPC_04225
ko:K03530	hpc:HPPC_04230
ko:K09860	hpc:HPPC_04240
ko:K13038	hpc:HPPC_04260
ko:K00788	hpc:HPPC_04270
ko:K00941	hpc:HPPC_04275
ko:K00878	hpc:HPPC_04280
ko:K01153	hpc:HPPC_04285
ko:K01154	hpc:HPPC_04290
ko:K00364	hpc:HPPC_04325
ko:K03271	hpc:HPPC_04330
ko:K06187	hpc:HPPC_04660
ko:K06176	hpc:HPPC_04665
ko:K03799	hpc:HPPC_04670
ko:K01495	hpc:HPPC_04675
ko:K00795	hpc:HPPC_04680
ko:K03787	hpc:HPPC_04685
ko:K01737	hpc:HPPC_04695
ko:K03570	hpc:HPPC_06765
ko:K03569	hpc:HPPC_06770
ko:K03544	hpc:HPPC_06775
ko:K00677	hpc:HPPC_06780
ko:K02372	hpc:HPPC_06785
ko:K13626	hpc:HPPC_06790
ko:K05807	hpc:HPPC_06800
ko:K01338	hpc:HPPC_06805
ko:K01012	hpc:HPPC_06830
ko:K07058	hpc:HPPC_06835
ko:K01154	hpc:HPPC_03985
ko:K01534	hpc:HPPC_03990
ko:K07391	hpc:HPPC_03995
ko:K01462	hpc:HPPC_04000
ko:K01358	hpc:HPPC_04005
ko:K03545	hpc:HPPC_04010
ko:K03637	hpc:HPPC_04025
ko:K03831	hpc:HPPC_04030
ko:K03636	hpc:HPPC_04040
ko:K07270	hpc:HPPC_04060
ko:K07043	hpc:HPPC_04065
ko:K00997	hpc:HPPC_04075
ko:K02415	hpc:HPPC_04080
ko:K02556	hpc:HPPC_04110
ko:K02557	hpc:HPPC_04115
ko:K05847	hpc:HPPC_04145
ko:K03703	hpc:HPPC_04155
ko:K00003	hpc:HPPC_04160
ko:K03272	hpc:HPPC_04335
ko:K03274	hpc:HPPC_04340
ko:K03273	hpc:HPPC_04345
ko:K09792	hpc:HPPC_04350
ko:K03525	hpc:HPPC_04355
ko:K03624	hpc:HPPC_04375
ko:K00748	hpc:HPPC_04380
ko:K04651	hpc:HPPC_04390
ko:K02390	hpc:HPPC_04395
