ko:K11707	cfw:FSW5_0681
ko:K02400	cfw:FSW5_0611
ko:K02405	cfw:FSW5_0621
ko:K01866	cfw:FSW5_0631
ko:K03596	cfw:FSW5_0651
ko:K03301	cfw:FSW5_0661
ko:K00099	cfw:FSW5_0721
ko:K03629	cfw:FSW5_0751
ko:K02338	cfw:FSW5_0761
ko:K03664	cfw:FSW5_0771
ko:K03734	cfw:FSW5_0781
ko:K01491	cfw:FSW5_0791
ko:K02902	cfw:FSW5_0871
ko:K00705	cfw:FSW5_0881
ko:K04058	cfw:FSW5_0901
ko:K03230	cfw:FSW5_0911
ko:K03229	cfw:FSW5_0921
ko:K06942	cfw:FSW5_0931
ko:K11753	cfw:FSW5_0941
ko:K02834	cfw:FSW5_0961
ko:K02519	cfw:FSW5_0971
ko:K02600	cfw:FSW5_0981
ko:K02945	cfw:FSW5_0991
ko:K00384	cfw:FSW5_1001
ko:K00997	cfw:FSW5_1011
ko:K00208	cfw:FSW5_1051
ko:K03575	cfw:FSW5_1081
ko:K04077	cfw:FSW5_1111
ko:K04078	cfw:FSW5_1121
ko:K08602	cfw:FSW5_1131
ko:K03695	cfw:FSW5_1141
ko:K01972	cfw:FSW5_1471
ko:K02913	cfw:FSW5_1511
ko:K09808	cfw:FSW5_1521
ko:K03720	cfw:FSW5_1701
ko:K01695	cfw:FSW5_1721
ko:K03611	cfw:FSW5_1771
ko:K00979	cfw:FSW5_1831
ko:K01937	cfw:FSW5_1841
ko:K07447	cfw:FSW5_1851
ko:K00036	cfw:FSW5_1861
ko:K01057	cfw:FSW5_1871
ko:K02343	cfw:FSW5_1881
ko:K00943	cfw:FSW5_1891
ko:K02469	cfw:FSW5_1901
ko:K02470	cfw:FSW5_1911
ko:K00773	cfw:FSW5_1941
ko:K06213	cfw:FSW5_1951
ko:K15580	cfw:FSW5_1991
ko:K15581	cfw:FSW5_2001
ko:K04487	cfw:FSW5_2601
ko:K07083	cfw:FSW5_2641
ko:K01962	cfw:FSW5_2671
ko:K01448	cfw:FSW5_2701
ko:K01928	cfw:FSW5_2711
ko:K03587	cfw:FSW5_2721
ko:K03438	cfw:FSW5_2741
ko:K02313	cfw:FSW5_2771
ko:K00347	cfw:FSW5_2801
ko:K00348	cfw:FSW5_2811
ko:K00349	cfw:FSW5_2821
ko:K00350	cfw:FSW5_2831
ko:K02437	cfw:FSW5_2841
ko:K03800	cfw:FSW5_2871
ko:K03696	cfw:FSW5_2881
ko:K00566	cfw:FSW5_2891
ko:K01963	cfw:FSW5_2951
ko:K04564	cfw:FSW5_2961
ko:K03685	cfw:FSW5_2991
ko:K04485	cfw:FSW5_3001
ko:K01749	cfw:FSW5_3011
ko:K01873	cfw:FSW5_3041
ko:K03523	cfw:FSW5_3641
ko:K01714	cfw:FSW5_3661
ko:K00928	cfw:FSW5_3671
ko:K00133	cfw:FSW5_3681
ko:K00215	cfw:FSW5_3691
ko:K00800	cfw:FSW5_3711
ko:K00891	cfw:FSW5_3721
ko:K01736	cfw:FSW5_3731
ko:K01735	cfw:FSW5_3741
ko:K13832	cfw:FSW5_3751
ko:K03758	cfw:FSW5_3791
ko:K00024	cfw:FSW5_3811
ko:K01810	cfw:FSW5_3831
ko:K03665	cfw:FSW5_3841
ko:K06167	cfw:FSW5_3851
ko:K09996	cfw:FSW5_3861
ko:K06966	cfw:FSW5_3931
ko:K09131	cfw:FSW5_3941
ko:K10206	cfw:FSW5_3961
ko:K01881	cfw:FSW5_3991
ko:K03705	cfw:FSW5_4001
ko:K03687	cfw:FSW5_4011
ko:K04043	cfw:FSW5_4021
ko:K12573	cfw:FSW5_4031
ko:K07164	cfw:FSW5_4041
ko:K06041	cfw:FSW5_4051
ko:K00658	cfw:FSW5_4061
ko:K00912	cfw:FSW5_4081
ko:K03437	cfw:FSW5_4091
ko:K06969	cfw:FSW5_4101
ko:K00793	cfw:FSW5_4111
ko:K07738	cfw:FSW5_4121
ko:K06204	cfw:FSW5_4131
ko:K03101	cfw:FSW5_4141
ko:K03310	cfw:FSW5_4151
ko:K00748	cfw:FSW5_4171
ko:K02994	cfw:FSW5_5251
ko:K02931	cfw:FSW5_5261
ko:K02895	cfw:FSW5_5271
ko:K02874	cfw:FSW5_5281
ko:K02961	cfw:FSW5_5291
ko:K02904	cfw:FSW5_5301
ko:K02878	cfw:FSW5_5311
ko:K02982	cfw:FSW5_5321
ko:K02890	cfw:FSW5_5331
ko:K02965	cfw:FSW5_5341
ko:K02886	cfw:FSW5_5351
ko:K02892	cfw:FSW5_5361
ko:K02926	cfw:FSW5_5371
ko:K02906	cfw:FSW5_5381
ko:K00604	cfw:FSW5_5401
ko:K00677	cfw:FSW5_5411
ko:K02372	cfw:FSW5_5421
ko:K02535	cfw:FSW5_5431
ko:K03820	cfw:FSW5_5441
ko:K06925	cfw:FSW5_5471
ko:K03671	cfw:FSW5_5491
ko:K03216	cfw:FSW5_5501
ko:K01876	cfw:FSW5_5521
ko:K01892	cfw:FSW5_5531
ko:K07783	cfw:FSW5_5541
ko:K02337	cfw:FSW5_5551
ko:K03311	cfw:FSW5_5641
ko:K00382	cfw:FSW5_5671
ko:K03644	cfw:FSW5_5681
ko:K03222	cfw:FSW5_5691
ko:K03223	cfw:FSW5_5711
ko:K03226	cfw:FSW5_5721
ko:K03228	cfw:FSW5_5741
ko:K02357	cfw:FSW5_6911
ko:K02967	cfw:FSW5_6921
ko:K03162	cfw:FSW5_6931
ko:K09013	cfw:FSW5_6971
ko:K09015	cfw:FSW5_6981
ko:K11717	cfw:FSW5_6991
ko:K07220	cfw:FSW5_7031
ko:K03306	cfw:FSW5_7041
ko:K00927	cfw:FSW5_7051
ko:K10773	cfw:FSW5_7091
ko:K03650	cfw:FSW5_7101
ko:K01613	cfw:FSW5_7111
ko:K03070	cfw:FSW5_7131
ko:K03977	cfw:FSW5_7151
ko:K03544	cfw:FSW5_7171
ko:K01358	cfw:FSW5_7181
ko:K03545	cfw:FSW5_7191
ko:K03569	cfw:FSW5_7211
ko:K00057	cfw:FSW5_7261
ko:K02412	cfw:FSW5_7291
ko:K02411	cfw:FSW5_7301
ko:K02409	cfw:FSW5_7311
ko:K13819	cfw:FSW5_7321
ko:K04487	cfw:FSW5_7331
ko:K06178	cfw:FSW5_7351
ko:K03524	cfw:FSW5_7371
ko:K05837	cfw:FSW5_7381
ko:K01875	cfw:FSW5_7411
ko:K11752	cfw:FSW5_7421
ko:K14652	cfw:FSW5_7431
ko:K00794	cfw:FSW5_7441
ko:K01783	cfw:FSW5_1221
ko:K02356	cfw:FSW5_1231
ko:K02160	cfw:FSW5_1241
ko:K01961	cfw:FSW5_1251
ko:K02871	cfw:FSW5_1261
ko:K02996	cfw:FSW5_1271
ko:K02029	cfw:FSW5_1301
ko:K07058	cfw:FSW5_1331
ko:K06999	cfw:FSW5_1371
ko:K07566	cfw:FSW5_1381
ko:K09125	cfw:FSW5_1411
ko:K07039	cfw:FSW5_1421
ko:K03319	cfw:FSW5_2051
ko:K02527	cfw:FSW5_2091
ko:K01869	cfw:FSW5_2101
ko:K01845	cfw:FSW5_2111
ko:K07735	cfw:FSW5_2121
ko:K08999	cfw:FSW5_2131
ko:K01807	cfw:FSW5_2141
ko:K03787	cfw:FSW5_2191
ko:K03179	cfw:FSW5_2201
ko:K03186	cfw:FSW5_2211
ko:K03308	cfw:FSW5_2331
ko:K02078	cfw:FSW5_2381
ko:K00645	cfw:FSW5_2401
ko:K00648	cfw:FSW5_2411
ko:K06187	cfw:FSW5_2421
ko:K07277	cfw:FSW5_2431
ko:K06142	cfw:FSW5_2441
ko:K02536	cfw:FSW5_2451
ko:K00161	cfw:FSW5_2471
ko:K00162	cfw:FSW5_2481
ko:K00627	cfw:FSW5_2491
ko:K00688	cfw:FSW5_2501
ko:K02313	cfw:FSW5_2521
ko:K03217	cfw:FSW5_2531
ko:K03046	cfw:FSW5_3161
ko:K03043	cfw:FSW5_3171
ko:K02935	cfw:FSW5_3181
ko:K02864	cfw:FSW5_3191
ko:K02863	cfw:FSW5_3201
ko:K02867	cfw:FSW5_3211
ko:K02601	cfw:FSW5_3221
ko:K03073	cfw:FSW5_3231
ko:K02358	cfw:FSW5_3241
ko:K02518	cfw:FSW5_3251
ko:K01803	cfw:FSW5_3311
ko:K03601	cfw:FSW5_3321
ko:K03602	cfw:FSW5_3331
ko:K01662	cfw:FSW5_3351
ko:K00873	cfw:FSW5_3361
ko:K03701	cfw:FSW5_3371
ko:K02343	cfw:FSW5_3381
ko:K09747	cfw:FSW5_3391
ko:K11381	cfw:FSW5_3451
ko:K03686	cfw:FSW5_3461
ko:K02970	cfw:FSW5_3471
ko:K01338	cfw:FSW5_3491
ko:K03733	cfw:FSW5_3521
ko:K06287	cfw:FSW5_3541
ko:K03075	cfw:FSW5_3571
ko:K01462	cfw:FSW5_3581
ko:K02528	cfw:FSW5_3591
ko:K06888	cfw:FSW5_3611
ko:K09817	cfw:FSW5_4221
ko:K09816	cfw:FSW5_4231
ko:K03979	cfw:FSW5_4241
ko:K02899	cfw:FSW5_4251
ko:K02888	cfw:FSW5_4261
ko:K07042	cfw:FSW5_4301
ko:K03183	cfw:FSW5_4361
ko:K01778	cfw:FSW5_4381
ko:K01358	cfw:FSW5_4391
ko:K00600	cfw:FSW5_4401
ko:K01770	cfw:FSW5_4421
ko:K02946	cfw:FSW5_4441
ko:K02355	cfw:FSW5_4451
ko:K02992	cfw:FSW5_4461
ko:K02950	cfw:FSW5_4471
ko:K03797	cfw:FSW5_4491
ko:K07462	cfw:FSW5_4561
ko:K12257	cfw:FSW5_4571
ko:K00806	cfw:FSW5_4591
ko:K00981	cfw:FSW5_4601
ko:K00945	cfw:FSW5_4611
ko:K00655	cfw:FSW5_4621
ko:K01887	cfw:FSW5_4631
ko:K00790	cfw:FSW5_4641
ko:K02836	cfw:FSW5_4681
ko:K00991	cfw:FSW5_4711
ko:K06173	cfw:FSW5_4721
ko:K02455	cfw:FSW5_5801
ko:K02453	cfw:FSW5_5821
ko:K03572	cfw:FSW5_5851
ko:K01868	cfw:FSW5_5911
ko:K01867	cfw:FSW5_5951
ko:K03702	cfw:FSW5_5961
ko:K01689	cfw:FSW5_5971
ko:K03424	cfw:FSW5_6041
ko:K03562	cfw:FSW5_6061
ko:K03641	cfw:FSW5_6091
ko:K03640	cfw:FSW5_6101
ko:K03648	cfw:FSW5_6181
ko:K03657	cfw:FSW5_6191
ko:K03092	cfw:FSW5_6201
ko:K06137	cfw:FSW5_6211
ko:K13941	cfw:FSW5_6241
ko:K01633	cfw:FSW5_6251
ko:K03086	cfw:FSW5_6261
ko:K02968	cfw:FSW5_6281
ko:K03980	cfw:FSW5_6351
ko:K01151	cfw:FSW5_6361
ko:K03310	cfw:FSW5_7471
ko:K03466	cfw:FSW5_7511
ko:K00351	cfw:FSW5_7521
ko:K03210	cfw:FSW5_7531
ko:K00231	cfw:FSW5_7571
ko:K01599	cfw:FSW5_7591
ko:K03723	cfw:FSW5_7601
ko:K01872	cfw:FSW5_7611
ko:K00615	cfw:FSW5_7621
ko:K01241	cfw:FSW5_7631
ko:K02356	cfw:FSW5_7641
ko:K01929	cfw:FSW5_7681
ko:K01000	cfw:FSW5_7691
ko:K01925	cfw:FSW5_7701
ko:K03588	cfw:FSW5_7721
ko:K02563	cfw:FSW5_7731
ko:K06960	cfw:FSW5_7751
ko:K00791	cfw:FSW5_7781
ko:K09710	cfw:FSW5_7811
ko:K09458	cfw:FSW5_7821
ko:K00263	cfw:FSW5_7851
ko:K00655	cfw:FSW5_7871
ko:K04066	cfw:FSW5_7901
ko:K04567	cfw:FSW5_7931
ko:K01883	cfw:FSW5_7941
ko:K03536	cfw:FSW5_7961
ko:K11720	cfw:FSW5_8531
ko:K07091	cfw:FSW5_8541
ko:K04075	cfw:FSW5_8551
ko:K03798	cfw:FSW5_8561
ko:K00962	cfw:FSW5_8571
ko:K02956	cfw:FSW5_8581
ko:K01265	cfw:FSW5_8671
ko:K03321	cfw:FSW5_8721
ko:K03527	cfw:FSW5_8751
ko:K07710	cfw:FSW5_4761
ko:K03584	cfw:FSW5_4791
ko:K01890	cfw:FSW5_4841
ko:K02034	cfw:FSW5_4871
ko:K01772	cfw:FSW5_4941
ko:K07099	cfw:FSW5_4971
ko:K00975	cfw:FSW5_4981
ko:K03628	cfw:FSW5_5001
ko:K00859	cfw:FSW5_5011
ko:K03301	cfw:FSW5_5041
ko:K00995	cfw:FSW5_5051
ko:K03495	cfw:FSW5_5081
ko:K03800	cfw:FSW5_5091
ko:K00940	cfw:FSW5_5101
ko:K03550	cfw:FSW5_5111
ko:K01159	cfw:FSW5_5121
ko:K00134	cfw:FSW5_5151
ko:K02879	cfw:FSW5_5161
ko:K03040	cfw:FSW5_5171
ko:K02948	cfw:FSW5_5181
ko:K02952	cfw:FSW5_5191
ko:K03076	cfw:FSW5_5201
ko:K02876	cfw:FSW5_5211
ko:K02988	cfw:FSW5_5221
ko:K02881	cfw:FSW5_5231
ko:K02933	cfw:FSW5_5241
ko:K02986	cfw:FSW5_6371
ko:K07146	cfw:FSW5_6381
ko:K13789	cfw:FSW5_6391
ko:K01698	cfw:FSW5_6441
ko:K00346	cfw:FSW5_6451
ko:K03582	cfw:FSW5_6501
ko:K03583	cfw:FSW5_6511
ko:K03168	cfw:FSW5_6541
ko:K02221	cfw:FSW5_6561
ko:K03581	cfw:FSW5_6631
ko:K06861	cfw:FSW5_6651
ko:K01627	cfw:FSW5_6671
ko:K06180	cfw:FSW5_6701
ko:K06960	cfw:FSW5_6711
ko:K02469	cfw:FSW5_6721
ko:K02470	cfw:FSW5_6731
ko:K02492	cfw:FSW5_6741
ko:K03224	cfw:FSW5_6811
ko:K02417	cfw:FSW5_6841
ko:K03219	cfw:FSW5_6861
ko:K02838	cfw:FSW5_6891
ko:K09903	cfw:FSW5_6901
ko:K02914	cfw:FSW5_7971
ko:K02919	cfw:FSW5_7981
ko:K02954	cfw:FSW5_7991
ko:K03703	cfw:FSW5_8031
ko:K03555	cfw:FSW5_8041
ko:K14164	cfw:FSW5_8091
ko:K00995	cfw:FSW5_8101
ko:K00703	cfw:FSW5_8111
ko:K02897	cfw:FSW5_8121
ko:K01056	cfw:FSW5_8131
ko:K02990	cfw:FSW5_8141
ko:K02963	cfw:FSW5_8151
ko:K02939	cfw:FSW5_8161
ko:K00919	cfw:FSW5_8171
ko:K00630	cfw:FSW5_8201
ko:K08301	cfw:FSW5_8211
ko:K02911	cfw:FSW5_8241
ko:K03621	cfw:FSW5_8251
ko:K03431	cfw:FSW5_8301
ko:K00820	cfw:FSW5_8311
ko:K03834	cfw:FSW5_8321
ko:K03834	cfw:FSW5_8331
ko:K06890	cfw:FSW5_8341
ko:K03110	cfw:FSW5_8351
ko:K01903	cfw:FSW5_8361
ko:K01902	cfw:FSW5_8371
ko:K09760	cfw:FSW5_8401
ko:K03439	cfw:FSW5_8441
ko:K00075	cfw:FSW5_8461
ko:K03625	cfw:FSW5_8471
ko:K02520	cfw:FSW5_8481
ko:K02916	cfw:FSW5_8491
ko:K02887	cfw:FSW5_8501
ko:K01889	cfw:FSW5_8511
ko:K09779	cfw:FSW5_0011
ko:K11645	cfw:FSW5_2161
ko:K15583	cfw:FSW5_2031
ko:K00850	cfw:FSW5_2061
ko:K10823	cfw:FSW5_2021
ko:K07714	cfw:FSW5_4771
ko:K00895	cfw:FSW5_2081
ko:K11709	cfw:FSW5_0711
ko:K11708	cfw:FSW5_0701
ko:K11710	cfw:FSW5_0691
ko:K03559	cfw:FSW5_6071
ko:K01834	cfw:FSW5_7341
ko:K09810	cfw:FSW5_1531
ko:K02028	cfw:FSW5_1311
ko:K17103	cfw:FSW5_8411
ko:K04084	cfw:FSW5_6051
ko:K04763	cfw:FSW5_8801
ko:K00700	cfw:FSW5_8821
ko:K06972	cfw:FSW5_8391
ko:K07081	cfw:FSW5_4351
ko:K08275	cfw:FSW5_0811
ko:K01802	cfw:FSW5_5511
ko:K03309	cfw:FSW5_4071
ko:K08719	cfw:FSW5_7251
ko:K01921	cfw:FSW5_7741
ko:K01924	cfw:FSW5_7741
ko:K08274	cfw:FSW5_3821
ko:K01829	cfw:FSW5_7921
ko:K01829	cfw:FSW5_7951
ko:K07033	cfw:FSW5_6961
ko:K01214	cfw:FSW5_0431
ko:K03825	cfw:FSW5_4671
ko:K03496	cfw:FSW5_5921
ko:K03497	cfw:FSW5_7001
ko:K03111	cfw:FSW5_0451
ko:K02626	cfw:FSW5_3781
ko:K11991	cfw:FSW5_8591
ko:K04771	cfw:FSW5_8381
ko:K19411	cfw:FSW5_6881
ko:K02031	cfw:FSW5_7021
ko:K07125	cfw:FSW5_3271
ko:K14237	cfw:tRNA_32
ko:K22100	cfw:FSW5_3301
ko:K12132	cfw:FSW5_3031
ko:K20265	cfw:FSW5_2171
ko:K20074	cfw:FSW5_2611
ko:K14234	cfw:tRNA_7
ko:K14225	cfw:tRNA_16
ko:K14225	cfw:tRNA_17-1
ko:K01985	cfw:5S_rRNA-1
ko:K01985	cfw:5S_rRNA-2
ko:K14233	cfw:tRNA_36
ko:K14232	cfw:tRNA_2
ko:K14237	cfw:tRNA_10
ko:K14227	cfw:tRNA_25
ko:K14230	cfw:tRNA_30
ko:K14220	cfw:tRNA_1
ko:K14234	cfw:tRNA_3
ko:K11749	cfw:FSW5_0731
ko:K22099	cfw:FSW5_6221
ko:K00526	cfw:FSW5_8431
ko:K02314	cfw:FSW5_5071
ko:K00287	cfw:FSW5_6231
ko:K03553	cfw:FSW5_6611
ko:K01520	cfw:FSW5_2941
ko:K02335	cfw:FSW5_5021
ko:K02316	cfw:FSW5_8061
ko:K02032	cfw:FSW5_7011
ko:K00525	cfw:FSW5_8421
ko:K02050	cfw:FSW5_8701
ko:K02051	cfw:FSW5_8701
ko:K14236	cfw:tRNA_4
ko:K01534	cfw:FSW5_7391
ko:K16239	cfw:FSW5_0861
