ko:K11707	ces:ESW3_0681
ko:K00349	ces:ESW3_2821
ko:K00350	ces:ESW3_2831
ko:K02437	ces:ESW3_2841
ko:K03800	ces:ESW3_2871
ko:K03308	ces:ESW3_2331
ko:K02078	ces:ESW3_2381
ko:K00645	ces:ESW3_2401
ko:K00648	ces:ESW3_2411
ko:K06187	ces:ESW3_2421
ko:K07277	ces:ESW3_2431
ko:K06142	ces:ESW3_2441
ko:K02536	ces:ESW3_2451
ko:K00161	ces:ESW3_2471
ko:K00162	ces:ESW3_2481
ko:K00627	ces:ESW3_2491
ko:K00688	ces:ESW3_2501
ko:K02313	ces:ESW3_2521
ko:K03696	ces:ESW3_2881
ko:K00566	ces:ESW3_2891
ko:K01963	ces:ESW3_2951
ko:K04564	ces:ESW3_2961
ko:K03685	ces:ESW3_2991
ko:K04485	ces:ESW3_3001
ko:K01749	ces:ESW3_3011
ko:K01873	ces:ESW3_3041
ko:K03046	ces:ESW3_3161
ko:K03043	ces:ESW3_3171
ko:K02935	ces:ESW3_3181
ko:K02864	ces:ESW3_3191
ko:K02863	ces:ESW3_3201
ko:K02867	ces:ESW3_3211
ko:K02601	ces:ESW3_3221
ko:K03073	ces:ESW3_3231
ko:K02358	ces:ESW3_3241
ko:K02518	ces:ESW3_3251
ko:K01803	ces:ESW3_3311
ko:K03601	ces:ESW3_3321
ko:K03602	ces:ESW3_3331
ko:K01662	ces:ESW3_3351
ko:K00873	ces:ESW3_3361
ko:K03701	ces:ESW3_3371
ko:K02343	ces:ESW3_3381
ko:K09747	ces:ESW3_3391
ko:K11381	ces:ESW3_3451
ko:K03686	ces:ESW3_3461
ko:K02970	ces:ESW3_3471
ko:K01338	ces:ESW3_3491
ko:K03733	ces:ESW3_3521
ko:K06287	ces:ESW3_3541
ko:K03075	ces:ESW3_3571
ko:K01462	ces:ESW3_3581
ko:K02528	ces:ESW3_3591
ko:K06888	ces:ESW3_3611
ko:K03523	ces:ESW3_3641
ko:K01714	ces:ESW3_3661
ko:K00928	ces:ESW3_3671
ko:K00133	ces:ESW3_3681
ko:K00215	ces:ESW3_3691
ko:K00800	ces:ESW3_3711
ko:K00891	ces:ESW3_3721
ko:K01736	ces:ESW3_3731
ko:K01735	ces:ESW3_3741
ko:K13832	ces:ESW3_3751
ko:K03758	ces:ESW3_3791
ko:K00024	ces:ESW3_3811
ko:K01810	ces:ESW3_3831
ko:K03665	ces:ESW3_3841
ko:K06167	ces:ESW3_3851
ko:K09996	ces:ESW3_3861
ko:K02535	ces:ESW3_5431
ko:K03820	ces:ESW3_5441
ko:K06925	ces:ESW3_5471
ko:K03671	ces:ESW3_5491
ko:K03216	ces:ESW3_5501
ko:K01876	ces:ESW3_5521
ko:K01892	ces:ESW3_5531
ko:K07783	ces:ESW3_5541
ko:K02337	ces:ESW3_5551
ko:K03311	ces:ESW3_5641
ko:K00382	ces:ESW3_5671
ko:K03644	ces:ESW3_5681
ko:K03222	ces:ESW3_5691
ko:K03223	ces:ESW3_5711
ko:K03226	ces:ESW3_5721
ko:K00927	ces:ESW3_7051
ko:K10773	ces:ESW3_7091
ko:K03650	ces:ESW3_7101
ko:K01613	ces:ESW3_7111
ko:K03070	ces:ESW3_7131
ko:K03977	ces:ESW3_7151
ko:K03544	ces:ESW3_7171
ko:K01358	ces:ESW3_7181
ko:K03545	ces:ESW3_7191
ko:K03569	ces:ESW3_7211
ko:K00057	ces:ESW3_7261
ko:K02412	ces:ESW3_7291
ko:K02411	ces:ESW3_7301
ko:K02409	ces:ESW3_7311
ko:K13819	ces:ESW3_7321
ko:K04487	ces:ESW3_7331
ko:K06178	ces:ESW3_7351
ko:K03524	ces:ESW3_7371
ko:K05837	ces:ESW3_7381
ko:K01875	ces:ESW3_7411
ko:K11752	ces:ESW3_7421
ko:K14652	ces:ESW3_7431
ko:K00794	ces:ESW3_7441
ko:K03310	ces:ESW3_7471
ko:K01889	ces:ESW3_8511
ko:K11720	ces:ESW3_8531
ko:K07091	ces:ESW3_8541
ko:K04075	ces:ESW3_8551
ko:K03798	ces:ESW3_8561
ko:K00962	ces:ESW3_8571
ko:K02956	ces:ESW3_8581
ko:K01265	ces:ESW3_8671
ko:K03321	ces:ESW3_8721
ko:K03527	ces:ESW3_8751
ko:K06966	ces:ESW3_3931
ko:K09131	ces:ESW3_3941
ko:K10206	ces:ESW3_3961
ko:K01881	ces:ESW3_3991
ko:K03705	ces:ESW3_4001
ko:K03687	ces:ESW3_4011
ko:K04043	ces:ESW3_4021
ko:K12573	ces:ESW3_4031
ko:K07164	ces:ESW3_4041
ko:K06041	ces:ESW3_4051
ko:K00658	ces:ESW3_4061
ko:K00912	ces:ESW3_4081
ko:K03437	ces:ESW3_4091
ko:K06969	ces:ESW3_4101
ko:K00793	ces:ESW3_4111
ko:K03228	ces:ESW3_5741
ko:K02455	ces:ESW3_5801
ko:K02453	ces:ESW3_5821
ko:K03572	ces:ESW3_5851
ko:K01868	ces:ESW3_5911
ko:K01867	ces:ESW3_5951
ko:K03702	ces:ESW3_5961
ko:K01689	ces:ESW3_5971
ko:K03424	ces:ESW3_6041
ko:K03562	ces:ESW3_6061
ko:K03641	ces:ESW3_6091
ko:K03640	ces:ESW3_6101
ko:K03648	ces:ESW3_6181
ko:K03657	ces:ESW3_6191
ko:K03092	ces:ESW3_6201
ko:K06137	ces:ESW3_6211
ko:K13941	ces:ESW3_6241
ko:K01633	ces:ESW3_6251
ko:K03086	ces:ESW3_6261
ko:K02968	ces:ESW3_6281
ko:K03466	ces:ESW3_7511
ko:K00351	ces:ESW3_7521
ko:K03210	ces:ESW3_7531
ko:K00231	ces:ESW3_7571
ko:K01599	ces:ESW3_7591
ko:K03723	ces:ESW3_7601
ko:K01872	ces:ESW3_7611
ko:K00615	ces:ESW3_7621
ko:K01241	ces:ESW3_7631
ko:K02356	ces:ESW3_7641
ko:K01929	ces:ESW3_7681
ko:K01000	ces:ESW3_7691
ko:K01925	ces:ESW3_7701
ko:K03588	ces:ESW3_7721
ko:K02563	ces:ESW3_7731
ko:K06960	ces:ESW3_7751
ko:K00791	ces:ESW3_7781
ko:K09710	ces:ESW3_7811
ko:K09458	ces:ESW3_7821
ko:K00263	ces:ESW3_7851
ko:K00655	ces:ESW3_7871
ko:K04066	ces:ESW3_7901
ko:K04567	ces:ESW3_7931
ko:K01883	ces:ESW3_7941
ko:K03536	ces:ESW3_7961
ko:K07738	ces:ESW3_4121
ko:K06204	ces:ESW3_4131
ko:K03101	ces:ESW3_4141
ko:K03310	ces:ESW3_4151
ko:K00748	ces:ESW3_4171
ko:K09817	ces:ESW3_4221
ko:K09816	ces:ESW3_4231
ko:K03979	ces:ESW3_4241
ko:K02899	ces:ESW3_4251
ko:K02888	ces:ESW3_4261
ko:K07042	ces:ESW3_4301
ko:K03183	ces:ESW3_4361
ko:K01778	ces:ESW3_4381
ko:K01358	ces:ESW3_4391
ko:K00600	ces:ESW3_4401
ko:K01770	ces:ESW3_4421
ko:K02946	ces:ESW3_4441
ko:K02355	ces:ESW3_4451
ko:K02992	ces:ESW3_4461
ko:K02950	ces:ESW3_4471
ko:K03797	ces:ESW3_4491
ko:K07462	ces:ESW3_4561
ko:K12257	ces:ESW3_4571
ko:K00806	ces:ESW3_4591
ko:K00981	ces:ESW3_4601
ko:K00945	ces:ESW3_4611
ko:K00655	ces:ESW3_4621
ko:K01887	ces:ESW3_4631
ko:K00790	ces:ESW3_4641
ko:K03980	ces:ESW3_6351
ko:K01151	ces:ESW3_6361
ko:K02986	ces:ESW3_6371
ko:K07146	ces:ESW3_6381
ko:K13789	ces:ESW3_6391
ko:K01698	ces:ESW3_6441
ko:K00346	ces:ESW3_6451
ko:K03582	ces:ESW3_6501
ko:K02836	ces:ESW3_4681
ko:K00991	ces:ESW3_4711
ko:K06173	ces:ESW3_4721
ko:K07710	ces:ESW3_4761
ko:K03584	ces:ESW3_4791
ko:K01890	ces:ESW3_4841
ko:K02034	ces:ESW3_4871
ko:K01772	ces:ESW3_4941
ko:K07099	ces:ESW3_4971
ko:K00975	ces:ESW3_4981
ko:K03628	ces:ESW3_5001
ko:K00859	ces:ESW3_5011
ko:K03301	ces:ESW3_5041
ko:K00995	ces:ESW3_5051
ko:K03495	ces:ESW3_5081
ko:K03800	ces:ESW3_5091
ko:K00940	ces:ESW3_5101
ko:K03550	ces:ESW3_5111
ko:K01159	ces:ESW3_5121
ko:K00134	ces:ESW3_5151
ko:K02879	ces:ESW3_5161
ko:K03040	ces:ESW3_5171
ko:K03583	ces:ESW3_6511
ko:K03168	ces:ESW3_6541
ko:K02221	ces:ESW3_6561
ko:K03581	ces:ESW3_6631
ko:K06861	ces:ESW3_6651
ko:K01627	ces:ESW3_6671
ko:K06180	ces:ESW3_6701
ko:K06960	ces:ESW3_6711
ko:K02469	ces:ESW3_6721
ko:K02470	ces:ESW3_6731
ko:K02492	ces:ESW3_6741
ko:K03224	ces:ESW3_6811
ko:K02417	ces:ESW3_6841
ko:K03219	ces:ESW3_6861
ko:K02914	ces:ESW3_7971
ko:K02919	ces:ESW3_7981
ko:K02954	ces:ESW3_7991
ko:K03703	ces:ESW3_8031
ko:K03555	ces:ESW3_8041
ko:K14164	ces:ESW3_8091
ko:K00995	ces:ESW3_8101
ko:K00703	ces:ESW3_8111
ko:K02897	ces:ESW3_8121
ko:K01056	ces:ESW3_8131
ko:K02990	ces:ESW3_8141
ko:K02963	ces:ESW3_8151
ko:K02948	ces:ESW3_5181
ko:K02952	ces:ESW3_5191
ko:K03076	ces:ESW3_5201
ko:K02876	ces:ESW3_5211
ko:K02988	ces:ESW3_5221
ko:K02881	ces:ESW3_5231
ko:K02933	ces:ESW3_5241
ko:K02994	ces:ESW3_5251
ko:K02931	ces:ESW3_5261
ko:K02895	ces:ESW3_5271
ko:K02874	ces:ESW3_5281
ko:K02961	ces:ESW3_5291
ko:K02904	ces:ESW3_5301
ko:K02878	ces:ESW3_5311
ko:K02982	ces:ESW3_5321
ko:K02890	ces:ESW3_5331
ko:K02965	ces:ESW3_5341
ko:K02886	ces:ESW3_5351
ko:K02892	ces:ESW3_5361
ko:K02926	ces:ESW3_5371
ko:K02906	ces:ESW3_5381
ko:K00604	ces:ESW3_5401
ko:K00677	ces:ESW3_5411
ko:K02372	ces:ESW3_5421
ko:K02838	ces:ESW3_6891
ko:K09903	ces:ESW3_6901
ko:K02357	ces:ESW3_6911
ko:K02967	ces:ESW3_6921
ko:K03162	ces:ESW3_6931
ko:K09013	ces:ESW3_6971
ko:K09015	ces:ESW3_6981
ko:K11717	ces:ESW3_6991
ko:K07220	ces:ESW3_7031
ko:K03306	ces:ESW3_7041
ko:K11645	ces:ESW3_2161
ko:K15583	ces:ESW3_2031
ko:K00850	ces:ESW3_2061
ko:K01934	ces:ESW3_6601
ko:K00970	ces:ESW3_7161
ko:K01596	ces:ESW3_7221
ko:K00972	ces:ESW3_7271
ko:K06910	ces:ESW3_7481
ko:K07117	ces:ESW3_7491
ko:K01507	ces:ESW3_7841
ko:K01082	ces:ESW3_7861
ko:K01909	ces:ESW3_7881
ko:K00652	ces:ESW3_7891
ko:K02342	ces:ESW3_5461
ko:K07258	ces:ESW3_5611
ko:K03227	ces:ESW3_5731
ko:K02454	ces:ESW3_5811
ko:K01262	ces:ESW3_5841
ko:K07315	ces:ESW3_5981
ko:K03386	ces:ESW3_6131
ko:K02428	ces:ESW3_6161
ko:K00813	ces:ESW3_6481
ko:K10823	ces:ESW3_2021
ko:K07714	ces:ESW3_4771
ko:K00895	ces:ESW3_2081
ko:K11709	ces:ESW3_0711
ko:K11708	ces:ESW3_0701
ko:K11710	ces:ESW3_0691
ko:K03559	ces:ESW3_6071
ko:K01834	ces:ESW3_7341
ko:K09810	ces:ESW3_1531
ko:K02028	ces:ESW3_1311
ko:K17103	ces:ESW3_8411
ko:K04084	ces:ESW3_6051
ko:K02939	ces:ESW3_8161
ko:K00919	ces:ESW3_8171
ko:K00630	ces:ESW3_8201
ko:K08301	ces:ESW3_8211
ko:K02911	ces:ESW3_8241
ko:K03621	ces:ESW3_8251
ko:K03431	ces:ESW3_8301
ko:K00820	ces:ESW3_8311
ko:K03834	ces:ESW3_8321
ko:K03834	ces:ESW3_8331
ko:K06890	ces:ESW3_8341
ko:K03110	ces:ESW3_8351
ko:K01903	ces:ESW3_8361
ko:K01902	ces:ESW3_8371
ko:K06972	ces:ESW3_8391
ko:K09760	ces:ESW3_8401
ko:K03439	ces:ESW3_8441
ko:K00075	ces:ESW3_8461
ko:K03625	ces:ESW3_8471
ko:K02520	ces:ESW3_8481
ko:K02916	ces:ESW3_8491
ko:K02887	ces:ESW3_8501
ko:K08274	ces:ESW3_3821
ko:K07081	ces:ESW3_4351
ko:K08275	ces:ESW3_0811
ko:K01802	ces:ESW3_5511
ko:K03309	ces:ESW3_4071
ko:K01921	ces:ESW3_7741
ko:K01924	ces:ESW3_7741
ko:K01829	ces:ESW3_7921
ko:K01829	ces:ESW3_7951
ko:K07033	ces:ESW3_6961
ko:K01214	ces:ESW3_0431
ko:K03111	ces:ESW3_0451
ko:K03825	ces:ESW3_4671
ko:K03496	ces:ESW3_5921
ko:K03497	ces:ESW3_7001
ko:K02626	ces:ESW3_3781
ko:K11991	ces:ESW3_8591
ko:K04771	ces:ESW3_8381
ko:K19411	ces:ESW3_6881
ko:K02031	ces:ESW3_7021
ko:K07125	ces:ESW3_3271
ko:K01977	ces:16S_SSU_rRNA-1
ko:K01977	ces:16S_SSU_rRNA-2
ko:K22100	ces:ESW3_3301
ko:K12132	ces:ESW3_3031
ko:K20265	ces:ESW3_2171
ko:K20074	ces:ESW3_2611
ko:K14234	ces:tRNA_7
ko:K14225	ces:tRNA_16
ko:K14225	ces:tRNA_17
ko:K01985	ces:5S_rRNA-1
ko:K01985	ces:5S_rRNA-2
ko:K14232	ces:tRNA_2
ko:K14237	ces:tRNA_10
ko:K14220	ces:tRNA_1
ko:K01980	ces:23S_LSU_rRNA-1
ko:K01980	ces:23S_LSU_rRNA-2
ko:K14234	ces:tRNA_3
ko:K11749	ces:ESW3_0731
ko:K22099	ces:ESW3_6221
ko:K00526	ces:ESW3_8431
ko:K00287	ces:ESW3_6231
ko:K02314	ces:ESW3_5071
ko:K03553	ces:ESW3_6611
ko:K02316	ces:ESW3_8061
ko:K02335	ces:ESW3_5021
ko:K01520	ces:ESW3_2941
ko:K02032	ces:ESW3_7011
ko:K00525	ces:ESW3_8421
ko:K02050	ces:ESW3_8701
ko:K02051	ces:ESW3_8701
ko:K14236	ces:tRNA_4
ko:K01534	ces:ESW3_7391
ko:K16239	ces:ESW3_0861
