ko:K14222	sum:SMCARI_032
ko:K04078	sum:SMCARI_210
ko:K09014	sum:SMCARI_211
ko:K09013	sum:SMCARI_212
ko:K09015	sum:SMCARI_213
ko:K11717	sum:SMCARI_214
ko:K02519	sum:SMCARI_215
ko:K00133	sum:SMCARI_218
ko:K02968	sum:SMCARI_219
ko:K00800	sum:SMCARI_221
ko:K02959	sum:SMCARI_222
ko:K03624	sum:SMCARI_224
ko:K02470	sum:SMCARI_225
ko:K03501	sum:SMCARI_226
ko:K00812	sum:SMCARI_227
ko:K02911	sum:SMCARI_228
ko:K00162	sum:SMCARI_229
ko:K01624	sum:SMCARI_230
ko:K03086	sum:SMCARI_232
ko:K00962	sum:SMCARI_233
ko:K02956	sum:SMCARI_234
ko:K03183	sum:SMCARI_235
ko:K02909	sum:SMCARI_236
ko:K02950	sum:SMCARI_237
ko:K02992	sum:SMCARI_238
ko:K02355	sum:SMCARI_239
ko:K02946	sum:SMCARI_240
ko:K02518	sum:SMCARI_260
ko:K02919	sum:SMCARI_261
ko:K02952	sum:SMCARI_262
ko:K02948	sum:SMCARI_263
ko:K02986	sum:SMCARI_264
ko:K03040	sum:SMCARI_265
ko:K02879	sum:SMCARI_266
ko:K01778	sum:SMCARI_267
ko:K03438	sum:SMCARI_268
ko:K03572	sum:SMCARI_271
ko:K01755	sum:SMCARI_272
ko:K04567	sum:SMCARI_273
ko:K00161	sum:SMCARI_275
ko:K00627	sum:SMCARI_276
ko:K02906	sum:SMCARI_241
ko:K02926	sum:SMCARI_242
ko:K02892	sum:SMCARI_243
ko:K00850	sum:SMCARI_278
ko:K00134	sum:SMCARI_279
ko:K02340	sum:SMCARI_281
ko:K03218	sum:SMCARI_282
ko:K01889	sum:SMCARI_283
ko:K01754	sum:SMCARI_284
ko:K00053	sum:SMCARI_285
ko:K01653	sum:SMCARI_286
ko:K01652	sum:SMCARI_287
ko:K01687	sum:SMCARI_288
ko:K03801	sum:SMCARI_001
ko:K03217	sum:SMCARI_002
ko:K01892	sum:SMCARI_003
ko:K01873	sum:SMCARI_004
ko:K02338	sum:SMCARI_005
ko:K01890	sum:SMCARI_006
ko:K01735	sum:SMCARI_007
ko:K02469	sum:SMCARI_008
ko:K02945	sum:SMCARI_009
ko:K03885	sum:SMCARI_010
ko:K03628	sum:SMCARI_011
ko:K02835	sum:SMCARI_012
ko:K01876	sum:SMCARI_013
ko:K03786	sum:SMCARI_014
ko:K09458	sum:SMCARI_015
ko:K02078	sum:SMCARI_016
ko:K02114	sum:SMCARI_017
ko:K02112	sum:SMCARI_018
ko:K02528	sum:SMCARI_019
ko:K01870	sum:SMCARI_021
ko:K03101	sum:SMCARI_022
ko:K03596	sum:SMCARI_024
ko:K02341	sum:SMCARI_025
ko:K08303	sum:SMCARI_026
ko:K01886	sum:SMCARI_028
ko:K03495	sum:SMCARI_029
ko:K01874	sum:SMCARI_035
ko:K02115	sum:SMCARI_038
ko:K02111	sum:SMCARI_039
ko:K02109	sum:SMCARI_041
ko:K02110	sum:SMCARI_042
ko:K02108	sum:SMCARI_043
ko:K00928	sum:SMCARI_045
ko:K03437	sum:SMCARI_047
ko:K00052	sum:SMCARI_048
ko:K01704	sum:SMCARI_049
ko:K01703	sum:SMCARI_050
ko:K01649	sum:SMCARI_051
ko:K01866	sum:SMCARI_053
ko:K01869	sum:SMCARI_055
ko:K06178	sum:SMCARI_058
ko:K00175	sum:SMCARI_059
ko:K01875	sum:SMCARI_061
ko:K02902	sum:SMCARI_062
ko:K02913	sum:SMCARI_063
ko:K06173	sum:SMCARI_067
ko:K03046	sum:SMCARI_068
ko:K03043	sum:SMCARI_069
ko:K02935	sum:SMCARI_070
ko:K02864	sum:SMCARI_071
ko:K02863	sum:SMCARI_072
ko:K02867	sum:SMCARI_073
ko:K02358	sum:SMCARI_076
ko:K00185	sum:SMCARI_083
ko:K02871	sum:SMCARI_105
ko:K04043	sum:SMCARI_106
ko:K01868	sum:SMCARI_107
ko:K02520	sum:SMCARI_108
ko:K02916	sum:SMCARI_109
ko:K02887	sum:SMCARI_110
ko:K01462	sum:SMCARI_111
ko:K07447	sum:SMCARI_112
ko:K00826	sum:SMCARI_114
ko:K00566	sum:SMCARI_116
ko:K03686	sum:SMCARI_117
ko:K03687	sum:SMCARI_118
ko:K00382	sum:SMCARI_120
ko:K13788	sum:SMCARI_123
ko:K00925	sum:SMCARI_124
ko:K03650	sum:SMCARI_125
ko:K03657	sum:SMCARI_126
ko:K02337	sum:SMCARI_128
ko:K01940	sum:SMCARI_129
ko:K00145	sum:SMCARI_130
ko:K01956	sum:SMCARI_132
ko:K01955	sum:SMCARI_133
ko:K13043	sum:SMCARI_134
ko:K00930	sum:SMCARI_135
ko:K01438	sum:SMCARI_136
ko:K00891	sum:SMCARI_139
ko:K04075	sum:SMCARI_140
ko:K01881	sum:SMCARI_142
ko:K01338	sum:SMCARI_143
ko:K01586	sum:SMCARI_144
ko:K01736	sum:SMCARI_146
ko:K04079	sum:SMCARI_147
ko:K00174	sum:SMCARI_173
ko:K01867	sum:SMCARI_175
ko:K07277	sum:SMCARI_177
ko:K02838	sum:SMCARI_178
ko:K01893	sum:SMCARI_179
ko:K02888	sum:SMCARI_182
ko:K02899	sum:SMCARI_183
ko:K02990	sum:SMCARI_185
ko:K02939	sum:SMCARI_187
ko:K01714	sum:SMCARI_190
ko:K02836	sum:SMCARI_192
ko:K00215	sum:SMCARI_193
ko:K03100	sum:SMCARI_194
ko:K02970	sum:SMCARI_195
ko:K00014	sum:SMCARI_196
ko:K03979	sum:SMCARI_197
ko:K00382	sum:SMCARI_198
ko:K01872	sum:SMCARI_202
ko:K00164	sum:SMCARI_203
ko:K00658	sum:SMCARI_204
ko:K02886	sum:SMCARI_244
ko:K02965	sum:SMCARI_245
ko:K02890	sum:SMCARI_246
ko:K02982	sum:SMCARI_247
ko:K02878	sum:SMCARI_248
ko:K02961	sum:SMCARI_249
ko:K02874	sum:SMCARI_250
ko:K02895	sum:SMCARI_251
ko:K02931	sum:SMCARI_252
ko:K02954	sum:SMCARI_253
ko:K02994	sum:SMCARI_254
ko:K02933	sum:SMCARI_255
ko:K02881	sum:SMCARI_256
ko:K02988	sum:SMCARI_257
ko:K02876	sum:SMCARI_258
ko:K03076	sum:SMCARI_259
ko:K07056	sum:SMCARI_031
ko:K00948	sum:SMCARI_033
ko:K02897	sum:SMCARI_034
ko:K02426	sum:SMCARI_087
ko:K02523	sum:SMCARI_088
ko:K04518	sum:SMCARI_217
ko:K04516	sum:SMCARI_216
ko:K03593	sum:SMCARI_174
ko:K01885	sum:SMCARI_037
ko:K05595	sum:SMCARI_046
ko:K00674	sum:SMCARI_113
ko:K00616	sum:SMCARI_141
ko:K00294	sum:SMCARI_270
ko:K15862	sum:SMCARI_164
ko:K01978	sum:SMCARI_269
ko:K15035	sum:SMCARI_184
ko:K00184	sum:SMCARI_082
ko:K17686	sum:SMCARI_165
ko:K18707	sum:SMCARI_148
ko:K18682	sum:SMCARI_119
ko:K00821	sum:SMCARI_131
ko:K02316	sum:SMCARI_044
ko:K02314	sum:SMCARI_121
ko:K03595	sum:SMCARI_054
