ko:K02495	sfn:SFy_5623
ko:K03722	sfn:SFy_2034
ko:K03446	sfn:SFy_2622
ko:K22597	sfn:SFy_1884
ko:K21430	sfn:SFy_1067
ko:K01007	sfn:SFy_2188
ko:K08156	sfn:SFy_0415
ko:K07495	sfn:SFy_2107
ko:K10678	sfn:SFy_1089
ko:K01582	sfn:SFy_0240
ko:K01980	sfn:SFy_rRNA1
ko:K01980	sfn:SFy_rRNA3
ko:K01980	sfn:SFy_rRNA6
ko:K01980	sfn:SFy_rRNA7
ko:K01980	sfn:SFy_rRNA2
ko:K01980	sfn:SFy_rRNA4
ko:K01980	sfn:SFy_rRNA5
ko:K00087	sfn:SFy_4079
ko:K07713	sfn:SFy_5840
ko:K07495	sfn:SFy_6114
ko:K07495	sfn:SFy_1233
ko:K07495	sfn:SFy_1784
ko:K07495	sfn:SFy_3110
ko:K07495	sfn:SFy_3772
ko:K07495	sfn:SFy_3996
ko:K07495	sfn:SFy_4434
ko:K07495	sfn:SFy_4909
ko:K07495	sfn:SFy_5049
ko:K07495	sfn:SFy_5428
ko:K07495	sfn:SFy_5553
ko:K07495	sfn:SFy_5778
ko:K07483	sfn:SFy_1415
ko:K07483	sfn:SFy_2646
ko:K07483	sfn:SFy_0307
ko:K07483	sfn:SFy_1516
ko:K07483	sfn:SFy_1524
ko:K07483	sfn:SFy_2747
ko:K07483	sfn:SFy_5278
ko:K07483	sfn:SFy_0401
ko:K07483	sfn:SFy_2945
ko:K07483	sfn:SFy_4243
ko:K07483	sfn:SFy_5459
ko:K07483	sfn:SFy_0611
ko:K07483	sfn:SFy_3128
ko:K04753	sfn:SFy_4369
ko:K07483	sfn:SFy_0947
ko:K19540	sfn:SFy_4814
ko:K19540	sfn:SFy_4815
ko:K00984	sfn:SFy_1440
ko:K01612	sfn:SFy_3930
ko:K09998	sfn:SFy_1101
ko:K09999	sfn:SFy_1102
ko:K09997	sfn:SFy_1104
ko:K10000	sfn:SFy_1105
ko:K11066	sfn:SFy_1111
ko:K01620	sfn:SFy_1115
ko:K00156	sfn:SFy_1116
ko:K11933	sfn:SFy_1117
ko:K05601	sfn:SFy_1119
ko:K06188	sfn:SFy_1126
ko:K07459	sfn:SFy_1130
ko:K09824	sfn:SFy_1131
ko:K13888	sfn:SFy_1133
ko:K05685	sfn:SFy_1134
ko:K03704	sfn:SFy_1136
ko:K06891	sfn:SFy_1137
ko:K03694	sfn:SFy_1138
ko:K02518	sfn:SFy_1139
ko:K00684	sfn:SFy_1141
ko:K16012	sfn:SFy_1142
ko:K16013	sfn:SFy_1143
ko:K00384	sfn:SFy_1144
ko:K03719	sfn:SFy_1146
ko:K03466	sfn:SFy_1150
ko:K03634	sfn:SFy_1151
ko:K07478	sfn:SFy_1152
ko:K01875	sfn:SFy_1153
ko:K07306	sfn:SFy_1155
ko:K07307	sfn:SFy_1156
ko:K07308	sfn:SFy_1158
ko:K08219	sfn:SFy_1161
ko:K09765	sfn:SFy_1179
ko:K10762	sfn:SFy_1181
ko:K06956	sfn:SFy_2332
ko:K07639	sfn:SFy_2333
ko:K01679	sfn:SFy_2336
ko:K01676	sfn:SFy_2337
ko:K01809	sfn:SFy_2338
ko:K16140	sfn:SFy_2342
ko:K16139	sfn:SFy_2344
ko:K01195	sfn:SFy_2345
ko:K16138	sfn:SFy_2346
ko:K00076	sfn:SFy_2351
ko:K16136	sfn:SFy_2352
ko:K14155	sfn:SFy_2354
ko:K01488	sfn:SFy_2355
ko:K03617	sfn:SFy_2362
ko:K03616	sfn:SFy_2363
ko:K03615	sfn:SFy_2365
ko:K03614	sfn:SFy_2367
ko:K03612	sfn:SFy_2369
ko:K03613	sfn:SFy_2370
ko:K10773	sfn:SFy_2371
ko:K03305	sfn:SFy_2372
ko:K00799	sfn:SFy_2373
ko:K00868	sfn:SFy_2374
ko:K01866	sfn:SFy_2375
ko:K00275	sfn:SFy_2377
ko:K09001	sfn:SFy_2385
ko:K06077	sfn:SFy_2387
ko:K06075	sfn:SFy_2388
ko:K16137	sfn:SFy_2401
ko:K10680	sfn:SFy_2402
ko:K01759	sfn:SFy_2403
ko:K03683	sfn:SFy_2405
ko:K03724	sfn:SFy_2406
ko:K03724	sfn:SFy_2408
ko:K03724	sfn:SFy_2409
ko:K07491	sfn:SFy_2412
ko:K07390	sfn:SFy_2413
ko:K01448	sfn:SFy_3536
ko:K00228	sfn:SFy_3538
ko:K04033	sfn:SFy_3539
ko:K04025	sfn:SFy_3541
ko:K04026	sfn:SFy_3543
ko:K01580	sfn:SFy_3551
ko:K01776	sfn:SFy_3553
ko:K04019	sfn:SFy_3558
ko:K04029	sfn:SFy_3559
ko:K04031	sfn:SFy_3560
ko:K00029	sfn:SFy_3562
ko:K00616	sfn:SFy_3563
ko:K00615	sfn:SFy_3564
ko:K12945	sfn:SFy_3568
ko:K07674	sfn:SFy_3572
ko:K07674	sfn:SFy_3573
ko:K18324	sfn:SFy_3574
ko:K01439	sfn:SFy_3577
ko:K06999	sfn:SFy_3579
ko:K06957	sfn:SFy_3582
ko:K07054	sfn:SFy_3583
ko:K01923	sfn:SFy_3584
ko:K07287	sfn:SFy_3585
ko:K01714	sfn:SFy_3586
ko:K03567	sfn:SFy_3587
ko:K03564	sfn:SFy_3588
ko:K12136	sfn:SFy_3589
ko:K12138	sfn:SFy_3594
ko:K12139	sfn:SFy_3595
ko:K12140	sfn:SFy_3596
ko:K12141	sfn:SFy_3597
ko:K12142	sfn:SFy_3598
ko:K12142	sfn:SFy_3600
ko:K12143	sfn:SFy_3602
ko:K12144	sfn:SFy_3603
ko:K12145	sfn:SFy_3604
ko:K12146	sfn:SFy_3606
ko:K03459	sfn:SFy_3608
ko:K03459	sfn:SFy_3610
ko:K03548	sfn:SFy_3611
ko:K00537	sfn:SFy_3613
ko:K10914	sfn:SFy_4799
ko:K01664	sfn:SFy_4802
ko:K04095	sfn:SFy_4803
ko:K03767	sfn:SFy_4804
ko:K06141	sfn:SFy_4806
ko:K00362	sfn:SFy_4809
ko:K00363	sfn:SFy_4810
ko:K02598	sfn:SFy_4811
ko:K02302	sfn:SFy_4812
ko:K10708	sfn:SFy_4816
ko:K10709	sfn:SFy_4818
ko:K10710	sfn:SFy_4820
ko:K10711	sfn:SFy_4821
ko:K07048	sfn:SFy_4826
ko:K01867	sfn:SFy_4834
ko:K01091	sfn:SFy_4835
ko:K01783	sfn:SFy_4837
ko:K03112	sfn:SFy_4840
ko:K01735	sfn:SFy_4842
ko:K00891	sfn:SFy_4844
ko:K02507	sfn:SFy_4846
ko:K12291	sfn:SFy_4848
ko:K12290	sfn:SFy_4849
ko:K12289	sfn:SFy_4850
ko:K12288	sfn:SFy_4851
ko:K05366	sfn:SFy_4853
ko:K08312	sfn:SFy_4854
ko:K04762	sfn:SFy_4858
ko:K04083	sfn:SFy_4859
ko:K01610	sfn:SFy_4864
ko:K07638	sfn:SFy_4865
ko:K07659	sfn:SFy_4866
ko:K04760	sfn:SFy_4867
ko:K06959	sfn:SFy_4869
ko:K04758	sfn:SFy_4871
ko:K04759	sfn:SFy_4874
ko:K07490	sfn:SFy_4876
ko:K02170	sfn:SFy_4883
ko:K15536	sfn:SFy_6103
ko:K03592	sfn:SFy_6106
ko:K09889	sfn:SFy_6107
ko:K02558	sfn:SFy_6111
ko:K03841	sfn:SFy_6113
ko:K02057	sfn:SFy_6115
ko:K02057	sfn:SFy_6116
ko:K02056	sfn:SFy_6117
ko:K02058	sfn:SFy_6118
ko:K02058	sfn:SFy_6119
ko:K01507	sfn:SFy_6120
ko:K09800	sfn:SFy_6124
ko:K07278	sfn:SFy_6125
ko:K07304	sfn:SFy_6127
ko:K07109	sfn:SFy_6130
ko:K01082	sfn:SFy_6133
ko:K01119	sfn:SFy_6134
ko:K07322	sfn:SFy_6138
ko:K11737	sfn:SFy_6139
ko:K03773	sfn:SFy_6140
ko:K07269	sfn:SFy_6141
ko:K03757	sfn:SFy_6149
ko:K04084	sfn:SFy_6155
ko:K03926	sfn:SFy_6156
ko:K07791	sfn:SFy_6157
ko:K01744	sfn:SFy_6159
ko:K07113	sfn:SFy_6160
ko:K16263	sfn:SFy_6162
ko:K04078	sfn:SFy_6163
ko:K04077	sfn:SFy_6166
ko:K02356	sfn:SFy_6176
ko:K16347	sfn:SFy_6177
ko:K16348	sfn:SFy_6178
ko:K03098	sfn:SFy_6181
ko:K01467	sfn:SFy_6182
ko:K00247	sfn:SFy_6183
ko:K02440	sfn:SFy_5726
ko:K11750	sfn:SFy_0387
ko:K11926	sfn:SFy_0388
ko:K11929	sfn:SFy_0391
ko:K00931	sfn:SFy_0395
ko:K00147	sfn:SFy_0396
ko:K00286	sfn:SFy_0404
ko:K09768	sfn:SFy_0405
ko:K00891	sfn:SFy_0406
ko:K14591	sfn:SFy_0408
ko:K09913	sfn:SFy_0409
ko:K03554	sfn:SFy_0412
ko:K00847	sfn:SFy_0413
ko:K03547	sfn:SFy_0417
ko:K07657	sfn:SFy_0419
ko:K07636	sfn:SFy_0420
ko:K03311	sfn:SFy_0422
ko:K11736	sfn:SFy_0423
ko:K01187	sfn:SFy_0425
ko:K08682	sfn:SFy_0426
ko:K08682	sfn:SFy_0427
ko:K07568	sfn:SFy_0428
ko:K00773	sfn:SFy_0430
ko:K03210	sfn:SFy_0431
ko:K03072	sfn:SFy_0433
ko:K03074	sfn:SFy_0434
ko:K05517	sfn:SFy_0436
ko:K07738	sfn:SFy_0438
ko:K11752	sfn:SFy_0439
ko:K00794	sfn:SFy_0440
ko:K03625	sfn:SFy_0441
ko:K00946	sfn:SFy_0442
ko:K01095	sfn:SFy_0443
ko:K01662	sfn:SFy_0445
ko:K00795	sfn:SFy_0446
ko:K03602	sfn:SFy_0447
ko:K03151	sfn:SFy_0449
ko:K03152	sfn:SFy_0451
ko:K00077	sfn:SFy_0453
ko:K09767	sfn:SFy_0454
ko:K07126	sfn:SFy_0458
ko:K07637	sfn:SFy_1659
ko:K07660	sfn:SFy_1660
ko:K01756	sfn:SFy_1662
ko:K07153	sfn:SFy_1663
ko:K00566	sfn:SFy_1664
ko:K12152	sfn:SFy_1665
ko:K06181	sfn:SFy_1666
ko:K00031	sfn:SFy_1668
ko:K12678	sfn:SFy_1676
ko:K03608	sfn:SFy_1683
ko:K03609	sfn:SFy_1684
ko:K03610	sfn:SFy_1685
ko:K09902	sfn:SFy_1692
ko:K09160	sfn:SFy_1696
ko:K11139	sfn:SFy_1697
ko:K11139	sfn:SFy_1698
ko:K03611	sfn:SFy_1701
ko:K03314	sfn:SFy_1702
ko:K03603	sfn:SFy_1703
ko:K00285	sfn:SFy_1706
ko:K01775	sfn:SFy_1707
ko:K11105	sfn:SFy_1712
ko:K01297	sfn:SFy_1714
ko:K08308	sfn:SFy_1715
ko:K08308	sfn:SFy_1719
ko:K02014	sfn:SFy_1724
ko:K02014	sfn:SFy_1725
ko:K09781	sfn:SFy_2866
ko:K07458	sfn:SFy_2868
ko:K06950	sfn:SFy_2870
ko:K05523	sfn:SFy_2882
ko:K02484	sfn:SFy_2883
ko:K07127	sfn:SFy_2885
ko:K17247	sfn:SFy_2889
ko:K09933	sfn:SFy_2920
ko:K12943	sfn:SFy_4077
ko:K13479	sfn:SFy_4081
ko:K13480	sfn:SFy_4083
ko:K01823	sfn:SFy_4092
ko:K04567	sfn:SFy_4094
ko:K02836	sfn:SFy_4097
ko:K07462	sfn:SFy_4099
ko:K03981	sfn:SFy_4100
ko:K04763	sfn:SFy_4101
ko:K03840	sfn:SFy_4102
ko:K09159	sfn:SFy_4105
ko:K06980	sfn:SFy_4106
ko:K11068	sfn:SFy_4107
ko:K09900	sfn:SFy_4108
ko:K01223	sfn:SFy_4110
ko:K00281	sfn:SFy_4113
ko:K02437	sfn:SFy_4114
ko:K00605	sfn:SFy_4117
ko:K03185	sfn:SFy_4120
ko:K01262	sfn:SFy_4121
ko:K09895	sfn:SFy_4122
ko:K09888	sfn:SFy_4123
ko:K01934	sfn:SFy_4124
ko:K00058	sfn:SFy_4126
ko:K01807	sfn:SFy_4129
ko:K05596	sfn:SFy_4131
ko:K01847	sfn:SFy_4133
ko:K07588	sfn:SFy_4134
ko:K11264	sfn:SFy_4135
ko:K09807	sfn:SFy_4139
ko:K06895	sfn:SFy_4140
ko:K03442	sfn:SFy_4141
ko:K01624	sfn:SFy_4142
ko:K00927	sfn:SFy_4145
ko:K03472	sfn:SFy_4146
ko:K06934	sfn:SFy_4148
ko:K16923	sfn:SFy_4149
ko:K00748	sfn:SFy_0232
ko:K03470	sfn:SFy_0233
ko:K02337	sfn:SFy_0236
ko:K01962	sfn:SFy_0238
ko:K08234	sfn:SFy_0241
ko:K04075	sfn:SFy_0242
ko:K15034	sfn:SFy_0247
ko:K06079	sfn:SFy_0248
ko:K01881	sfn:SFy_0251
ko:K06080	sfn:SFy_0255
ko:K02073	sfn:SFy_0256
ko:K02072	sfn:SFy_0257
ko:K02071	sfn:SFy_0258
ko:K03273	sfn:SFy_0259
ko:K06222	sfn:SFy_0263
ko:K08307	sfn:SFy_0269
ko:K01069	sfn:SFy_0270
ko:K03469	sfn:SFy_0272
ko:K02342	sfn:SFy_0274
ko:K11902	sfn:SFy_0275
ko:K11895	sfn:SFy_0279
ko:K11896	sfn:SFy_0281
ko:K11897	sfn:SFy_0282
ko:K11898	sfn:SFy_0283
ko:K11941	sfn:SFy_1505
ko:K03670	sfn:SFy_1508
ko:K03669	sfn:SFy_1509
ko:K02517	sfn:SFy_1530
ko:K07146	sfn:SFy_1531
ko:K02846	sfn:SFy_1536
ko:K12148	sfn:SFy_1537
ko:K12149	sfn:SFy_1539
ko:K01465	sfn:SFy_1540
ko:K03675	sfn:SFy_1542
ko:K08162	sfn:SFy_1543
ko:K03790	sfn:SFy_1544
ko:K09915	sfn:SFy_1545
ko:K03810	sfn:SFy_1547
ko:K03980	sfn:SFy_1548
ko:K02399	sfn:SFy_1550
ko:K02398	sfn:SFy_1551
ko:K02386	sfn:SFy_1553
ko:K02387	sfn:SFy_1555
ko:K02388	sfn:SFy_1556
ko:K02388	sfn:SFy_1557
ko:K02389	sfn:SFy_1558
ko:K02390	sfn:SFy_1559
ko:K02391	sfn:SFy_1560
ko:K02391	sfn:SFy_1561
ko:K02392	sfn:SFy_1562
ko:K02393	sfn:SFy_1564
ko:K02394	sfn:SFy_1565
ko:K02395	sfn:SFy_1566
ko:K02396	sfn:SFy_1567
ko:K02396	sfn:SFy_1568
ko:K02397	sfn:SFy_1569
ko:K02397	sfn:SFy_1570
ko:K08300	sfn:SFy_1572
ko:K06179	sfn:SFy_1573
ko:K07136	sfn:SFy_2734
ko:K15256	sfn:SFy_2735
ko:K15257	sfn:SFy_2736
ko:K07812	sfn:SFy_2737
ko:K07821	sfn:SFy_2738
ko:K06201	sfn:SFy_2739
ko:K09907	sfn:SFy_2740
ko:K01887	sfn:SFy_2742
ko:K03516	sfn:SFy_2748
ko:K02400	sfn:SFy_2749
ko:K02400	sfn:SFy_2751
ko:K02401	sfn:SFy_2752
ko:K03414	sfn:SFy_2760
ko:K03413	sfn:SFy_2761
ko:K03412	sfn:SFy_2762
ko:K00575	sfn:SFy_2764
ko:K05877	sfn:SFy_2765
ko:K03408	sfn:SFy_2767
ko:K03407	sfn:SFy_2768
ko:K02557	sfn:SFy_2769
ko:K02556	sfn:SFy_2771
ko:K02402	sfn:SFy_2773
ko:K02403	sfn:SFy_2774
ko:K00697	sfn:SFy_2778
ko:K01087	sfn:SFy_2779
ko:K10538	sfn:SFy_2781
ko:K10539	sfn:SFy_2782
ko:K10537	sfn:SFy_2783
ko:K10537	sfn:SFy_2784
ko:K02255	sfn:SFy_2785
ko:K03186	sfn:SFy_3931
ko:K03087	sfn:SFy_3933
ko:K06194	sfn:SFy_3935
ko:K00573	sfn:SFy_3937
ko:K03787	sfn:SFy_3938
ko:K06176	sfn:SFy_3939
ko:K01770	sfn:SFy_3940
ko:K00991	sfn:SFy_3941
ko:K05589	sfn:SFy_3942
ko:K00860	sfn:SFy_3944
ko:K00956	sfn:SFy_3945
ko:K00957	sfn:SFy_3947
ko:K09612	sfn:SFy_3948
ko:K00390	sfn:SFy_3951
ko:K00381	sfn:SFy_3952
ko:K00380	sfn:SFy_3953
ko:K01737	sfn:SFy_3955
ko:K00313	sfn:SFy_3957
ko:K10026	sfn:SFy_3969
ko:K01689	sfn:SFy_3978
ko:K01937	sfn:SFy_3979
ko:K04765	sfn:SFy_3980
ko:K00951	sfn:SFy_3981
ko:K03215	sfn:SFy_3983
ko:K07678	sfn:SFy_3984
ko:K01706	sfn:SFy_3986
ko:K13918	sfn:SFy_3987
ko:K03535	sfn:SFy_3988
ko:K06175	sfn:SFy_3990
ko:K15723	sfn:SFy_3992
ko:K06879	sfn:SFy_3993
ko:K09798	sfn:SFy_5210
ko:K00060	sfn:SFy_5216
ko:K00639	sfn:SFy_5218
ko:K03274	sfn:SFy_5221
ko:K02843	sfn:SFy_5222
ko:K02841	sfn:SFy_5223
ko:K02847	sfn:SFy_5224
ko:K03279	sfn:SFy_5226
ko:K02850	sfn:SFy_5227
ko:K02848	sfn:SFy_5230
ko:K02844	sfn:SFy_5231
ko:K02849	sfn:SFy_5232
ko:K02527	sfn:SFy_5236
ko:K00954	sfn:SFy_5237
ko:K10563	sfn:SFy_5239
ko:K02913	sfn:SFy_5240
ko:K02902	sfn:SFy_5241
ko:K03630	sfn:SFy_5242
ko:K13038	sfn:SFy_5244
ko:K05501	sfn:SFy_5247
ko:K00762	sfn:SFy_5248
ko:K00989	sfn:SFy_5249
ko:K01972	sfn:SFy_5253
ko:K00942	sfn:SFy_5255
ko:K03060	sfn:SFy_5256
ko:K00556	sfn:SFy_5259
ko:K03655	sfn:SFy_5260
ko:K03312	sfn:SFy_5261
ko:K16345	sfn:SFy_5262
ko:K01811	sfn:SFy_5265
ko:K03292	sfn:SFy_5267
ko:K03292	sfn:SFy_5268
ko:K16785	sfn:SFy_4150
ko:K16785	sfn:SFy_4151
ko:K16786	sfn:SFy_4152
ko:K16787	sfn:SFy_4153
ko:K02173	sfn:SFy_4154
ko:K08194	sfn:SFy_5375
ko:K04080	sfn:SFy_5382
ko:K04081	sfn:SFy_5383
ko:K07085	sfn:SFy_5385
ko:K03482	sfn:SFy_5386
ko:K02749	sfn:SFy_5387
ko:K02750	sfn:SFy_5387
ko:K01232	sfn:SFy_5388
ko:K01232	sfn:SFy_5389
ko:K01232	sfn:SFy_5390
ko:K03307	sfn:SFy_5392
ko:K00389	sfn:SFy_5398
ko:K06871	sfn:SFy_5401
ko:K08154	sfn:SFy_5403
ko:K01652	sfn:SFy_5406
ko:K01653	sfn:SFy_5407
ko:K07675	sfn:SFy_5409
ko:K07783	sfn:SFy_5410
ko:K07784	sfn:SFy_5412
ko:K01486	sfn:SFy_5414
ko:K06901	sfn:SFy_5415
ko:K07345	sfn:SFy_5427
ko:K00820	sfn:SFy_5430
ko:K04042	sfn:SFy_5431
ko:K02114	sfn:SFy_5432
ko:K02112	sfn:SFy_5433
ko:K02115	sfn:SFy_5434
ko:K02111	sfn:SFy_5436
ko:K02113	sfn:SFy_5438
ko:K02109	sfn:SFy_5440
ko:K02110	sfn:SFy_5441
ko:K02108	sfn:SFy_5444
ko:K03501	sfn:SFy_5447
ko:K03495	sfn:SFy_5450
ko:K06205	sfn:SFy_5451
ko:K03718	sfn:SFy_5453
ko:K01914	sfn:SFy_5454
ko:K09710	sfn:SFy_0877
ko:K00783	sfn:SFy_0879
ko:K05515	sfn:SFy_0880
ko:K05837	sfn:SFy_0881
ko:K03642	sfn:SFy_0882
ko:K07258	sfn:SFy_0884
ko:K09158	sfn:SFy_0885
ko:K03801	sfn:SFy_0886
ko:K03644	sfn:SFy_0889
ko:K03425	sfn:SFy_0890
ko:K06199	sfn:SFy_0892
ko:K03704	sfn:SFy_0893
ko:K12973	sfn:SFy_0895
ko:K03326	sfn:SFy_0897
ko:K07702	sfn:SFy_0898
ko:K05777	sfn:SFy_2106
ko:K05777	sfn:SFy_2108
ko:K01142	sfn:SFy_2114
ko:K00840	sfn:SFy_2116
ko:K00840	sfn:SFy_2117
ko:K00673	sfn:SFy_2118
ko:K06447	sfn:SFy_2120
ko:K01484	sfn:SFy_2122
ko:K01484	sfn:SFy_2123
ko:K05526	sfn:SFy_2125
ko:K02099	sfn:SFy_0077
ko:K02062	sfn:SFy_0079
ko:K02063	sfn:SFy_0080
ko:K02064	sfn:SFy_0081
ko:K11925	sfn:SFy_0083
ko:K03291	sfn:SFy_0085
ko:K01704	sfn:SFy_0086
ko:K01703	sfn:SFy_0088
ko:K00052	sfn:SFy_0089
ko:K01649	sfn:SFy_0090
ko:K05798	sfn:SFy_0092
ko:K01652	sfn:SFy_0094
ko:K01653	sfn:SFy_0095
ko:K03435	sfn:SFy_0097
ko:K03925	sfn:SFy_0102
ko:K03438	sfn:SFy_0103
ko:K03586	sfn:SFy_0104
ko:K03587	sfn:SFy_0105
ko:K01928	sfn:SFy_0106
ko:K01929	sfn:SFy_0107
ko:K01000	sfn:SFy_0108
ko:K01925	sfn:SFy_0109
ko:K03588	sfn:SFy_0110
ko:K02563	sfn:SFy_0111
ko:K01924	sfn:SFy_0112
ko:K01921	sfn:SFy_0113
ko:K03589	sfn:SFy_0114
ko:K03590	sfn:SFy_0115
ko:K03531	sfn:SFy_0117
ko:K02535	sfn:SFy_0118
ko:K13301	sfn:SFy_0119
ko:K03070	sfn:SFy_0122
ko:K03574	sfn:SFy_0123
ko:K09862	sfn:SFy_0124
ko:K00859	sfn:SFy_0126
ko:K00364	sfn:SFy_0127
ko:K02505	sfn:SFy_0129
ko:K02504	sfn:SFy_0132
ko:K02682	sfn:SFy_0134
ko:K00767	sfn:SFy_0135
ko:K03806	sfn:SFy_0136
ko:K03807	sfn:SFy_0137
ko:K11734	sfn:SFy_0138
ko:K00163	sfn:SFy_0140
ko:K00627	sfn:SFy_0142
ko:K00382	sfn:SFy_0144
ko:K01682	sfn:SFy_0150
ko:K09910	sfn:SFy_0152
ko:K01611	sfn:SFy_0153
ko:K01104	sfn:SFy_1345
ko:K01991	sfn:SFy_1346
ko:K03704	sfn:SFy_1352
ko:K03704	sfn:SFy_1353
ko:K07647	sfn:SFy_1359
ko:K11930	sfn:SFy_1362
ko:K07772	sfn:SFy_1363
ko:K03532	sfn:SFy_1364
ko:K07811	sfn:SFy_1367
ko:K07811	sfn:SFy_1369
ko:K03533	sfn:SFy_1370
ko:K03533	sfn:SFy_1374
ko:K05516	sfn:SFy_1377
ko:K01085	sfn:SFy_1379
ko:K03809	sfn:SFy_1381
ko:K09016	sfn:SFy_1382
ko:K09024	sfn:SFy_1383
ko:K09019	sfn:SFy_1385
ko:K09023	sfn:SFy_1386
ko:K09021	sfn:SFy_1388
ko:K09020	sfn:SFy_1389
ko:K09018	sfn:SFy_1390
ko:K07243	sfn:SFy_1395
ko:K07224	sfn:SFy_1396
ko:K16301	sfn:SFy_1397
ko:K00645	sfn:SFy_1402
ko:K00134	sfn:SFy_2570
ko:K07248	sfn:SFy_2571
ko:K03578	sfn:SFy_2580
ko:K01118	sfn:SFy_2582
ko:K00981	sfn:SFy_2589
ko:K03778	sfn:SFy_2596
ko:K09978	sfn:SFy_2600
ko:K14063	sfn:SFy_2601
ko:K03737	sfn:SFy_2608
ko:K14062	sfn:SFy_2609
ko:K14062	sfn:SFy_2610
ko:K14061	sfn:SFy_2611
ko:K14058	sfn:SFy_2612
ko:K05591	sfn:SFy_2613
ko:K16074	sfn:SFy_2615
ko:K03543	sfn:SFy_2628
ko:K00567	sfn:SFy_2631
ko:K14055	sfn:SFy_2634
ko:K16052	sfn:SFy_2640
ko:K15580	sfn:SFy_2641
ko:K05807	sfn:SFy_3767
ko:K06180	sfn:SFy_3768
ko:K05810	sfn:SFy_3769
ko:K03695	sfn:SFy_3770
ko:K05809	sfn:SFy_3773
ko:K14170	sfn:SFy_3776
ko:K14187	sfn:SFy_3777
ko:K01626	sfn:SFy_3778
ko:K02884	sfn:SFy_3785
ko:K00554	sfn:SFy_3786
ko:K02860	sfn:SFy_3787
ko:K02959	sfn:SFy_3788
ko:K03106	sfn:SFy_3789
ko:K03687	sfn:SFy_3792
ko:K00858	sfn:SFy_3794
ko:K03631	sfn:SFy_3795
ko:K06186	sfn:SFy_3797
ko:K09801	sfn:SFy_3799
ko:K03664	sfn:SFy_3801
ko:K15737	sfn:SFy_3810
ko:K15736	sfn:SFy_3813
ko:K00135	sfn:SFy_3815
ko:K00135	sfn:SFy_3816
ko:K07250	sfn:SFy_3819
ko:K11735	sfn:SFy_3821
ko:K15735	sfn:SFy_3822
ko:K03647	sfn:SFy_3836
ko:K02018	sfn:SFy_0712
ko:K02020	sfn:SFy_0713
ko:K02019	sfn:SFy_0717
ko:K05776	sfn:SFy_0718
ko:K01784	sfn:SFy_0721
ko:K00965	sfn:SFy_0722
ko:K00849	sfn:SFy_0723
ko:K01785	sfn:SFy_0724
ko:K01834	sfn:SFy_0725
ko:K01626	sfn:SFy_0728
ko:K16264	sfn:SFy_0731
ko:K03811	sfn:SFy_0732
ko:K03517	sfn:SFy_0733
ko:K03640	sfn:SFy_0735
ko:K03641	sfn:SFy_0736
