ko:K19077	suq:HMPREF0772_12528
ko:K00382	suq:HMPREF0772_12136
ko:K00627	suq:HMPREF0772_12137
ko:K00162	suq:HMPREF0772_12138
ko:K00161	suq:HMPREF0772_12139
ko:K00645	suq:HMPREF0772_12002
ko:K03621	suq:HMPREF0772_12003
ko:K03655	suq:HMPREF0772_12005
ko:K02902	suq:HMPREF0772_12008
ko:K01783	suq:HMPREF0772_12010
ko:K06949	suq:HMPREF0772_12011
ko:K06941	suq:HMPREF0772_12014
ko:K03500	suq:HMPREF0772_12015
ko:K00604	suq:HMPREF0772_12016
ko:K01462	suq:HMPREF0772_12017
ko:K04066	suq:HMPREF0772_12020
ko:K13038	suq:HMPREF0772_12021
ko:K03060	suq:HMPREF0772_12022
ko:K00942	suq:HMPREF0772_12023
ko:K00762	suq:HMPREF0772_12027
ko:K01591	suq:HMPREF0772_12028
ko:K01955	suq:HMPREF0772_12029
ko:K01956	suq:HMPREF0772_12030
ko:K01465	suq:HMPREF0772_12031
ko:K00609	suq:HMPREF0772_12032
ko:K02825	suq:HMPREF0772_12034
ko:K06180	suq:HMPREF0772_12035
ko:K03101	suq:HMPREF0772_12036
ko:K01870	suq:HMPREF0772_12039
ko:K04074	suq:HMPREF0772_12040
ko:K02221	suq:HMPREF0772_12042
ko:K09772	suq:HMPREF0772_12043
ko:K06997	suq:HMPREF0772_12044
ko:K05810	suq:HMPREF0772_12045
ko:K03531	suq:HMPREF0772_12046
ko:K00215	suq:HMPREF0772_11813
ko:K01714	suq:HMPREF0772_11814
ko:K00133	suq:HMPREF0772_11815
ko:K00928	suq:HMPREF0772_11816
ko:K00243	suq:HMPREF0772_11818
ko:K02040	suq:HMPREF0772_11819
ko:K02037	suq:HMPREF0772_11820
ko:K02038	suq:HMPREF0772_11821
ko:K02036	suq:HMPREF0772_11822
ko:K02039	suq:HMPREF0772_11823
ko:K02034	suq:HMPREF0772_11827
ko:K01695	suq:HMPREF0772_11834
ko:K01696	suq:HMPREF0772_11835
ko:K01817	suq:HMPREF0772_11836
ko:K01609	suq:HMPREF0772_11837
ko:K00766	suq:HMPREF0772_11838
ko:K01657	suq:HMPREF0772_11840
ko:K01821	suq:HMPREF0772_11844
ko:K14205	suq:HMPREF0772_11849
ko:K03480	suq:HMPREF0772_11852
ko:K03310	suq:HMPREF0772_11853
ko:K02621	suq:HMPREF0772_11854
ko:K02622	suq:HMPREF0772_11855
ko:K08591	suq:HMPREF0772_11856
ko:K05571	suq:HMPREF0772_12560
ko:K05569	suq:HMPREF0772_12562
ko:K05567	suq:HMPREF0772_12564
ko:K05566	suq:HMPREF0772_12565
ko:K09936	suq:HMPREF0772_12569
ko:K02015	suq:HMPREF0772_12576
ko:K02016	suq:HMPREF0772_12577
ko:K01887	suq:HMPREF0772_12579
ko:K06885	suq:HMPREF0772_12583
ko:K13292	suq:HMPREF0772_12420
ko:K03701	suq:HMPREF0772_12422
ko:K03702	suq:HMPREF0772_12423
ko:K07023	suq:HMPREF0772_12425
ko:K02836	suq:HMPREF0772_12428
ko:K03070	suq:HMPREF0772_12429
ko:K00865	suq:HMPREF0772_12441
ko:K00075	suq:HMPREF0772_12446
ko:K02016	suq:HMPREF0772_12448
ko:K02013	suq:HMPREF0772_12449
ko:K02015	suq:HMPREF0772_12450
ko:K02015	suq:HMPREF0772_12451
ko:K09457	suq:HMPREF0772_12457
ko:K03305	suq:HMPREF0772_12459
ko:K00817	suq:HMPREF0772_12463
ko:K05847	suq:HMPREF0772_12465
ko:K01915	suq:HMPREF0772_11917
ko:K03665	suq:HMPREF0772_11920
ko:K00432	suq:HMPREF0772_11921
ko:K03666	suq:HMPREF0772_11922
ko:K00791	suq:HMPREF0772_11923
ko:K00111	suq:HMPREF0772_11926
ko:K00864	suq:HMPREF0772_11927
ko:K02440	suq:HMPREF0772_11928
ko:K03572	suq:HMPREF0772_11932
ko:K03555	suq:HMPREF0772_11933
ko:K06168	suq:HMPREF0772_11936
ko:K00175	suq:HMPREF0772_11938
ko:K00174	suq:HMPREF0772_11939
ko:K09769	suq:HMPREF0772_11940
ko:K00995	suq:HMPREF0772_11945
ko:K03466	suq:HMPREF0772_11953
ko:K02867	suq:HMPREF0772_12652
ko:K02601	suq:HMPREF0772_12653
ko:K03073	suq:HMPREF0772_12654
ko:K02913	suq:HMPREF0772_12655
ko:K03091	suq:HMPREF0772_12656
ko:K06962	suq:HMPREF0772_12657
ko:K03218	suq:HMPREF0772_12658
ko:K11145	suq:HMPREF0772_12659
ko:K01883	suq:HMPREF0772_12660
ko:K00640	suq:HMPREF0772_12661
ko:K04485	suq:HMPREF0772_12665
ko:K03696	suq:HMPREF0772_12666
ko:K11535	suq:HMPREF0772_12670
ko:K08681	suq:HMPREF0772_12671
ko:K06215	suq:HMPREF0772_12672
ko:K00375	suq:HMPREF0772_12673
ko:K02003	suq:HMPREF0772_12688
ko:K02945	suq:HMPREF0772_11730
ko:K03977	suq:HMPREF0772_11731
ko:K00057	suq:HMPREF0772_11732
ko:K03530	suq:HMPREF0772_11733
ko:K03183	suq:HMPREF0772_11735
ko:K00940	suq:HMPREF0772_11737
ko:K01736	suq:HMPREF0772_11738
ko:K01735	suq:HMPREF0772_11739
ko:K00800	suq:HMPREF0772_11740
ko:K06973	suq:HMPREF0772_11744
ko:K03524	suq:HMPREF0772_11748
ko:K01893	suq:HMPREF0772_11750
ko:K10773	suq:HMPREF0772_11752
ko:K05366	suq:HMPREF0772_11754
ko:K07444	suq:HMPREF0772_11760
ko:K03654	suq:HMPREF0772_12466
ko:K15738	suq:HMPREF0772_12467
ko:K01665	suq:HMPREF0772_12473
ko:K06920	suq:HMPREF0772_12475
ko:K01737	suq:HMPREF0772_12476
ko:K10026	suq:HMPREF0772_12477
ko:K10682	suq:HMPREF0772_12481
ko:K10681	suq:HMPREF0772_12482
ko:K01443	suq:HMPREF0772_12486
ko:K02768	suq:HMPREF0772_12487
ko:K02769	suq:HMPREF0772_12487
ko:K02770	suq:HMPREF0772_12487
ko:K01669	suq:HMPREF0772_12496
ko:K06153	suq:HMPREF0772_12504
ko:K09768	suq:HMPREF0772_12506
ko:K06966	suq:HMPREF0772_12507
ko:K03100	suq:HMPREF0772_12281
ko:K03100	suq:HMPREF0772_12282
ko:K01810	suq:HMPREF0772_12284
ko:K01940	suq:HMPREF0772_12285
ko:K01755	suq:HMPREF0772_12286
ko:K01126	suq:HMPREF0772_12287
ko:K00260	suq:HMPREF0772_12288
ko:K06347	suq:HMPREF0772_12294
ko:K05566	suq:HMPREF0772_12296
ko:K05567	suq:HMPREF0772_12297
ko:K05569	suq:HMPREF0772_12299
ko:K03644	suq:HMPREF0772_12322
ko:K07090	suq:HMPREF0772_12324
ko:K00459	suq:HMPREF0772_12326
ko:K09014	suq:HMPREF0772_12330
ko:K11717	suq:HMPREF0772_12332
ko:K09015	suq:HMPREF0772_12333
ko:K09013	suq:HMPREF0772_12334
ko:K02073	suq:HMPREF0772_12364
ko:K02072	suq:HMPREF0772_12365
ko:K02071	suq:HMPREF0772_12366
ko:K07476	suq:HMPREF0772_12368
ko:K02437	suq:HMPREF0772_12370
ko:K05571	suq:HMPREF0772_12301
ko:K07084	suq:HMPREF0772_12304
ko:K01255	suq:HMPREF0772_12305
ko:K03885	suq:HMPREF0772_12306
ko:K03885	suq:HMPREF0772_12309
ko:K03740	suq:HMPREF0772_12312
ko:K14188	suq:HMPREF0772_12313
ko:K03739	suq:HMPREF0772_12314
ko:K03367	suq:HMPREF0772_12315
ko:K12574	suq:HMPREF0772_11954
ko:K12574	suq:HMPREF0772_12143
ko:K09692	suq:HMPREF0772_12549
ko:K18940	suq:HMPREF0772_11793
ko:K05352	suq:HMPREF0772_10251
ko:K02774	suq:HMPREF0772_10257
ko:K02773	suq:HMPREF0772_10258
ko:K05916	suq:HMPREF0772_10264
ko:K00252	suq:HMPREF0772_10272
ko:K07516	suq:HMPREF0772_10273
ko:K01126	suq:HMPREF0772_10277
ko:K04069	suq:HMPREF0772_10279
ko:K00656	suq:HMPREF0772_10280
ko:K02012	suq:HMPREF0772_10283
ko:K01476	suq:HMPREF0772_11028
ko:K03431	suq:HMPREF0772_11031
ko:K00009	suq:HMPREF0772_11034
ko:K00820	suq:HMPREF0772_11039
ko:K02013	suq:HMPREF0772_11040
ko:K01809	suq:HMPREF0772_11047
ko:K04047	suq:HMPREF0772_11051
ko:K00756	suq:HMPREF0772_11054
ko:K07173	suq:HMPREF0772_11056
ko:K01937	suq:HMPREF0772_11063
ko:K07241	suq:HMPREF0772_10489
ko:K05786	suq:HMPREF0772_10491
ko:K03319	suq:HMPREF0772_10493
ko:K01304	suq:HMPREF0772_10496
ko:K07146	suq:HMPREF0772_10497
ko:K00765	suq:HMPREF0772_10507
ko:K00013	suq:HMPREF0772_10508
ko:K00817	suq:HMPREF0772_10509
ko:K01693	suq:HMPREF0772_10510
ko:K02501	suq:HMPREF0772_10511
ko:K01814	suq:HMPREF0772_10512
ko:K02500	suq:HMPREF0772_10513
ko:K11755	suq:HMPREF0772_10514
ko:K11936	suq:HMPREF0772_10520
ko:K07058	suq:HMPREF0772_11261
ko:K05520	suq:HMPREF0772_11269
ko:K03565	suq:HMPREF0772_11271
ko:K03575	suq:HMPREF0772_11276
ko:K01845	suq:HMPREF0772_11280
ko:K03564	suq:HMPREF0772_11281
ko:K03216	suq:HMPREF0772_11289
ko:K06180	suq:HMPREF0772_11294
ko:K02503	suq:HMPREF0772_11307
ko:K01599	suq:HMPREF0772_11311
ko:K01772	suq:HMPREF0772_11312
ko:K00231	suq:HMPREF0772_11313
ko:K07002	suq:HMPREF0772_11315
ko:K03427	suq:HMPREF0772_11335
ko:K01154	suq:HMPREF0772_11336
ko:K01154	suq:HMPREF0772_11337
ko:K01911	suq:HMPREF0772_11360
ko:K08998	suq:HMPREF0772_11362
ko:K01610	suq:HMPREF0772_11365
ko:K00789	suq:HMPREF0772_11366
ko:K06199	suq:HMPREF0772_11369
ko:K06199	suq:HMPREF0772_11370
ko:K03893	suq:HMPREF0772_11381
ko:K11752	suq:HMPREF0772_11383
ko:K00793	suq:HMPREF0772_11384
ko:K14652	suq:HMPREF0772_11385
ko:K00794	suq:HMPREF0772_11386
ko:K00318	suq:HMPREF0772_11387
ko:K07139	suq:HMPREF0772_11391
ko:K01869	suq:HMPREF0772_11393
ko:K07007	suq:HMPREF0772_11397
ko:K00824	suq:HMPREF0772_11402
ko:K03439	suq:HMPREF0772_11404
ko:K06878	suq:HMPREF0772_11411
ko:K03466	suq:HMPREF0772_11412
ko:K01924	suq:HMPREF0772_11413
ko:K13853	suq:HMPREF0772_11416
ko:K02529	suq:HMPREF0772_11417
ko:K04768	suq:HMPREF0772_11418
ko:K04766	suq:HMPREF0772_11419
ko:K01895	suq:HMPREF0772_11420
ko:K01938	suq:HMPREF0772_11421
ko:K01866	suq:HMPREF0772_11424
ko:K00655	suq:HMPREF0772_11426
ko:K01126	suq:HMPREF0772_11432
ko:K02986	suq:HMPREF0772_11433
ko:K04487	suq:HMPREF0772_11436
ko:K03151	suq:HMPREF0772_11437
ko:K07090	suq:HMPREF0772_11438
ko:K11065	suq:HMPREF0772_11439
ko:K00925	suq:HMPREF0772_11441
ko:K00259	suq:HMPREF0772_11443
ko:K02337	suq:HMPREF0772_11449
ko:K01963	suq:HMPREF0772_11451
ko:K01962	suq:HMPREF0772_11452
ko:K00850	suq:HMPREF0772_11453
ko:K00873	suq:HMPREF0772_11454
ko:K01647	suq:HMPREF0772_11456
ko:K00031	suq:HMPREF0772_11457
ko:K07636	suq:HMPREF0772_11459
ko:K00859	suq:HMPREF0772_11463
ko:K00134	suq:HMPREF0772_11464
ko:K07738	suq:HMPREF0772_11465
ko:K01868	suq:HMPREF0772_11468
ko:K02520	suq:HMPREF0772_11470
ko:K02916	suq:HMPREF0772_11471
ko:K02887	suq:HMPREF0772_11472
ko:K03545	suq:HMPREF0772_11475
ko:K03544	suq:HMPREF0772_11476
ko:K03978	suq:HMPREF0772_11477
ko:K02492	suq:HMPREF0772_11478
ko:K02497	suq:HMPREF0772_11479
ko:K01749	suq:HMPREF0772_11480
ko:K01698	suq:HMPREF0772_11482
ko:K01845	suq:HMPREF0772_11483
ko:K01246	suq:HMPREF0772_11485
ko:K01873	suq:HMPREF0772_11486
ko:K11754	suq:HMPREF0772_11487
ko:K03630	suq:HMPREF0772_11489
ko:K03570	suq:HMPREF0772_11493
ko:K03571	suq:HMPREF0772_11494
ko:K02888	suq:HMPREF0772_11495
ko:K02899	suq:HMPREF0772_11497
ko:K03979	suq:HMPREF0772_11498
ko:K06209	suq:HMPREF0772_11499
ko:K03550	suq:HMPREF0772_11500
ko:K03551	suq:HMPREF0772_11501
ko:K07568	suq:HMPREF0772_11502
ko:K00773	suq:HMPREF0772_11503
ko:K03210	suq:HMPREF0772_11504
ko:K12257	suq:HMPREF0772_11505
ko:K07462	suq:HMPREF0772_11506
ko:K00759	suq:HMPREF0772_11507
ko:K07560	suq:HMPREF0772_11509
ko:K01448	suq:HMPREF0772_11510
ko:K01892	suq:HMPREF0772_11511
ko:K01876	suq:HMPREF0772_11512
ko:K07478	suq:HMPREF0772_11514
ko:K04487	suq:HMPREF0772_11519
ko:K00566	suq:HMPREF0772_11520
ko:K03581	suq:HMPREF0772_11522
ko:K01872	suq:HMPREF0772_11523
ko:K07447	suq:HMPREF0772_11525
ko:K08303	suq:HMPREF0772_11529
ko:K00876	suq:HMPREF0772_11530
ko:K03624	suq:HMPREF0772_11531
ko:K02160	suq:HMPREF0772_11534
ko:K01961	suq:HMPREF0772_11535
ko:K07160	suq:HMPREF0772_11536
ko:K07015	suq:HMPREF0772_11543
ko:K00014	suq:HMPREF0772_11545
ko:K07574	suq:HMPREF0772_11546
ko:K00969	suq:HMPREF0772_11547
ko:K09710	suq:HMPREF0772_11549
ko:K02237	suq:HMPREF0772_11551
ko:K02340	suq:HMPREF0772_11554
ko:K02968	suq:HMPREF0772_11555
ko:K03596	suq:HMPREF0772_11556
ko:K03705	suq:HMPREF0772_11558
ko:K03687	suq:HMPREF0772_11559
ko:K04043	suq:HMPREF0772_11560
ko:K03686	suq:HMPREF0772_11561
ko:K02687	suq:HMPREF0772_11562
ko:K09761	suq:HMPREF0772_11563
ko:K02970	suq:HMPREF0772_11565
ko:K07042	suq:HMPREF0772_11570
ko:K03595	suq:HMPREF0772_11573
ko:K03584	suq:HMPREF0772_11574
ko:K01880	suq:HMPREF0772_11575
ko:K09773	suq:HMPREF0772_11577
ko:K03086	suq:HMPREF0772_11579
ko:K06967	suq:HMPREF0772_11580
ko:K01151	suq:HMPREF0772_11583
ko:K09817	suq:HMPREF0772_11584
ko:K09816	suq:HMPREF0772_11585
ko:K04564	suq:HMPREF0772_11587
ko:K02913	suq:HMPREF0772_11589
ko:K00891	suq:HMPREF0772_11603
ko:K00605	suq:HMPREF0772_11604
ko:K00282	suq:HMPREF0772_11605
ko:K00283	suq:HMPREF0772_11606
ko:K03800	suq:HMPREF0772_11608
ko:K02356	suq:HMPREF0772_11612
ko:K02160	suq:HMPREF0772_11613
ko:K01961	suq:HMPREF0772_11614
ko:K03625	suq:HMPREF0772_11616
ko:K03601	suq:HMPREF0772_11617
ko:K03602	suq:HMPREF0772_11618
ko:K13789	suq:HMPREF0772_11619
ko:K03402	suq:HMPREF0772_11620
ko:K03631	suq:HMPREF0772_11621
ko:K00382	suq:HMPREF0772_11622
ko:K00166	suq:HMPREF0772_11623
ko:K00167	suq:HMPREF0772_11624
ko:K09699	suq:HMPREF0772_11625
ko:K00036	suq:HMPREF0772_11636
ko:K00286	suq:HMPREF0772_11638
ko:K07124	suq:HMPREF0772_11639
ko:K05896	suq:HMPREF0772_11646
ko:K06024	suq:HMPREF0772_11647
ko:K06178	suq:HMPREF0772_11648
ko:K07775	suq:HMPREF0772_11649
ko:K07651	suq:HMPREF0772_11650
ko:K03654	suq:HMPREF0772_11724
ko:K04567	suq:HMPREF0772_10001
ko:K00950	suq:HMPREF0772_10002
ko:K01633	suq:HMPREF0772_10003
ko:K00796	suq:HMPREF0772_10004
ko:K01738	suq:HMPREF0772_10005
ko:K04083	suq:HMPREF0772_10006
ko:K03798	suq:HMPREF0772_10008
ko:K00760	suq:HMPREF0772_10009
ko:K04075	suq:HMPREF0772_10010
ko:K07571	suq:HMPREF0772_10011
ko:K03723	suq:HMPREF0772_10016
ko:K01056	suq:HMPREF0772_10017
ko:K02897	suq:HMPREF0772_10018
ko:K00948	suq:HMPREF0772_10019
ko:K04042	suq:HMPREF0772_10020
ko:K06412	suq:HMPREF0772_10022
ko:K00919	suq:HMPREF0772_10025
ko:K02528	suq:HMPREF0772_10027
ko:K05985	suq:HMPREF0772_10028
ko:K03424	suq:HMPREF0772_10029
ko:K01874	suq:HMPREF0772_10030
ko:K07056	suq:HMPREF0772_10032
ko:K07461	suq:HMPREF0772_10033
ko:K02341	suq:HMPREF0772_10037
ko:K00943	suq:HMPREF0772_10039
ko:K06187	suq:HMPREF0772_10042
ko:K09747	suq:HMPREF0772_10043
ko:K02343	suq:HMPREF0772_10044
ko:K02818	suq:HMPREF0772_10048
ko:K02819	suq:HMPREF0772_10048
ko:K00266	suq:HMPREF0772_10050
ko:K02073	suq:HMPREF0772_10059
ko:K02072	suq:HMPREF0772_10060
ko:K02071	suq:HMPREF0772_10061
ko:K03308	suq:HMPREF0772_10064
ko:K03928	suq:HMPREF0772_10065
ko:K09822	suq:HMPREF0772_10069
ko:K05577	suq:HMPREF0772_10070
ko:K01154	suq:HMPREF0772_10085
ko:K03427	suq:HMPREF0772_10086
ko:K08987	suq:HMPREF0772_10097
ko:K01951	suq:HMPREF0772_10103
ko:K03816	suq:HMPREF0772_10106
ko:K06956	suq:HMPREF0772_10112
ko:K03387	suq:HMPREF0772_10115
ko:K02963	suq:HMPREF0772_10127
ko:K02990	suq:HMPREF0772_10129
ko:K06942	suq:HMPREF0772_10132
ko:K00549	suq:HMPREF0772_10138
ko:K03116	suq:HMPREF0772_10147
ko:K03118	suq:HMPREF0772_10148
ko:K07243	suq:HMPREF0772_10149
ko:K07224	suq:HMPREF0772_10151
ko:K03817	suq:HMPREF0772_10152
ko:K00299	suq:HMPREF0772_10155
ko:K02445	suq:HMPREF0772_10159
ko:K03800	suq:HMPREF0772_10168
ko:K02003	suq:HMPREF0772_10186
ko:K03311	suq:HMPREF0772_10190
ko:K03466	suq:HMPREF0772_10213
ko:K01442	suq:HMPREF0772_10225
ko:K03076	suq:HMPREF0772_10534
ko:K03070	suq:HMPREF0772_10538
ko:K15772	suq:HMPREF0772_10291
ko:K15771	suq:HMPREF0772_10292
ko:K01118	suq:HMPREF0772_10296
ko:K02034	suq:HMPREF0772_10299
ko:K01153	suq:HMPREF0772_10303
ko:K07106	suq:HMPREF0772_10307
ko:K03311	suq:HMPREF0772_10313
ko:K00145	suq:HMPREF0772_10315
ko:K00620	suq:HMPREF0772_10316
ko:K00930	suq:HMPREF0772_10317
ko:K08996	suq:HMPREF0772_10318
ko:K09790	suq:HMPREF0772_10332
ko:K01624	suq:HMPREF0772_11065
ko:K00790	suq:HMPREF0772_11066
ko:K03628	suq:HMPREF0772_11069
ko:K02909	suq:HMPREF0772_11070
ko:K02835	suq:HMPREF0772_11073
ko:K02493	suq:HMPREF0772_11074
ko:K07566	suq:HMPREF0772_11075
ko:K00600	suq:HMPREF0772_11078
ko:K00761	suq:HMPREF0772_11079
ko:K02108	suq:HMPREF0772_11082
ko:K02110	suq:HMPREF0772_11083
ko:K02109	suq:HMPREF0772_11084
ko:K02113	suq:HMPREF0772_11085
ko:K02111	suq:HMPREF0772_11086
ko:K02115	suq:HMPREF0772_11087
ko:K02112	suq:HMPREF0772_11088
ko:K02114	suq:HMPREF0772_11089
ko:K00790	suq:HMPREF0772_11092
ko:K02372	suq:HMPREF0772_11093
ko:K03707	suq:HMPREF0772_11097
ko:K00941	suq:HMPREF0772_11098
ko:K00878	suq:HMPREF0772_11099
ko:K00788	suq:HMPREF0772_11100
ko:K03217	suq:HMPREF0772_11102
ko:K06950	suq:HMPREF0772_11104
ko:K06131	suq:HMPREF0772_11105
ko:K05837	suq:HMPREF0772_11111
ko:K01921	suq:HMPREF0772_11112
ko:K01421	suq:HMPREF0772_10544
ko:K01809	suq:HMPREF0772_10545
