ko:K11707	ctd:CTDEC_0067
ko:K00940	ctd:CTDEC_0500
ko:K02881	ctd:CTDEC_0513
ko:K02933	ctd:CTDEC_0514
ko:K02994	ctd:CTDEC_0515
ko:K02931	ctd:CTDEC_0516
ko:K02895	ctd:CTDEC_0517
ko:K02874	ctd:CTDEC_0518
ko:K02961	ctd:CTDEC_0519
ko:K02904	ctd:CTDEC_0520
ko:K02878	ctd:CTDEC_0521
ko:K02982	ctd:CTDEC_0522
ko:K02890	ctd:CTDEC_0523
ko:K02965	ctd:CTDEC_0524
ko:K02886	ctd:CTDEC_0525
ko:K02892	ctd:CTDEC_0526
ko:K02926	ctd:CTDEC_0527
ko:K02906	ctd:CTDEC_0528
ko:K02455	ctd:CTDEC_0570
ko:K02454	ctd:CTDEC_0571
ko:K02453	ctd:CTDEC_0572
ko:K01262	ctd:CTDEC_0574
ko:K03572	ctd:CTDEC_0575
ko:K01868	ctd:CTDEC_0581
ko:K01867	ctd:CTDEC_0585
ko:K03702	ctd:CTDEC_0586
ko:K01689	ctd:CTDEC_0587
ko:K07315	ctd:CTDEC_0588
ko:K00240	ctd:CTDEC_0591
ko:K00239	ctd:CTDEC_0592
ko:K00241	ctd:CTDEC_0593
ko:K03424	ctd:CTDEC_0594
ko:K03562	ctd:CTDEC_0596
ko:K03641	ctd:CTDEC_0599
ko:K03640	ctd:CTDEC_0600
ko:K03386	ctd:CTDEC_0603
ko:K02428	ctd:CTDEC_0606
ko:K03648	ctd:CTDEC_0607
ko:K03657	ctd:CTDEC_0608
ko:K03092	ctd:CTDEC_0609
ko:K06137	ctd:CTDEC_0610
ko:K13941	ctd:CTDEC_0613
ko:K01633	ctd:CTDEC_0614
ko:K03086	ctd:CTDEC_0615
ko:K02968	ctd:CTDEC_0617
ko:K03980	ctd:CTDEC_0624
ko:K01151	ctd:CTDEC_0625
ko:K02986	ctd:CTDEC_0626
ko:K07146	ctd:CTDEC_0627
ko:K13789	ctd:CTDEC_0628
ko:K01698	ctd:CTDEC_0633
ko:K00346	ctd:CTDEC_0634
ko:K00813	ctd:CTDEC_0637
ko:K03582	ctd:CTDEC_0639
ko:K03583	ctd:CTDEC_0640
ko:K03168	ctd:CTDEC_0643
ko:K06180	ctd:CTDEC_0658
ko:K06960	ctd:CTDEC_0659
ko:K02469	ctd:CTDEC_0660
ko:K02470	ctd:CTDEC_0661
ko:K02492	ctd:CTDEC_0662
ko:K03224	ctd:CTDEC_0669
ko:K02417	ctd:CTDEC_0672
ko:K03219	ctd:CTDEC_0674
ko:K02838	ctd:CTDEC_0677
ko:K09903	ctd:CTDEC_0678
ko:K02357	ctd:CTDEC_0679
ko:K02967	ctd:CTDEC_0680
ko:K09013	ctd:CTDEC_0685
ko:K09015	ctd:CTDEC_0686
ko:K11717	ctd:CTDEC_0687
ko:K07220	ctd:CTDEC_0691
ko:K03306	ctd:CTDEC_0692
ko:K00927	ctd:CTDEC_0693
ko:K10773	ctd:CTDEC_0697
ko:K03650	ctd:CTDEC_0698
ko:K01613	ctd:CTDEC_0699
ko:K03070	ctd:CTDEC_0701
ko:K03977	ctd:CTDEC_0703
ko:K00970	ctd:CTDEC_0704
ko:K03544	ctd:CTDEC_0705
ko:K03545	ctd:CTDEC_0707
ko:K00231	ctd:CTDEC_0745
ko:K01599	ctd:CTDEC_0747
ko:K03723	ctd:CTDEC_0748
ko:K01872	ctd:CTDEC_0749
ko:K00615	ctd:CTDEC_0750
ko:K01241	ctd:CTDEC_0751
ko:K02356	ctd:CTDEC_0752
ko:K01929	ctd:CTDEC_0756
ko:K01000	ctd:CTDEC_0757
ko:K01925	ctd:CTDEC_0758
ko:K03588	ctd:CTDEC_0760
ko:K01358	ctd:CTDEC_0706
ko:K00075	ctd:CTDEC_0831
ko:K03625	ctd:CTDEC_0832
ko:K02520	ctd:CTDEC_0833
ko:K02887	ctd:CTDEC_0835
ko:K01889	ctd:CTDEC_0836
ko:K11720	ctd:CTDEC_0838
ko:K07091	ctd:CTDEC_0839
ko:K04075	ctd:CTDEC_0840
ko:K03798	ctd:CTDEC_0841
ko:K00962	ctd:CTDEC_0842
ko:K02956	ctd:CTDEC_0843
ko:K01265	ctd:CTDEC_0851
ko:K01679	ctd:CTDEC_0855
ko:K03321	ctd:CTDEC_0856
ko:K03527	ctd:CTDEC_0859
ko:K04763	ctd:CTDEC_0864
ko:K00700	ctd:CTDEC_0866
ko:K00133	ctd:CTDEC_0363
ko:K00215	ctd:CTDEC_0364
ko:K03569	ctd:CTDEC_0709
ko:K01596	ctd:CTDEC_0710
ko:K00057	ctd:CTDEC_0714
ko:K00972	ctd:CTDEC_0715
ko:K02412	ctd:CTDEC_0717
ko:K02411	ctd:CTDEC_0718
ko:K02409	ctd:CTDEC_0719
ko:K13819	ctd:CTDEC_0720
ko:K04487	ctd:CTDEC_0721
ko:K06178	ctd:CTDEC_0723
ko:K03524	ctd:CTDEC_0725
ko:K05837	ctd:CTDEC_0726
ko:K01875	ctd:CTDEC_0729
ko:K11752	ctd:CTDEC_0730
ko:K14652	ctd:CTDEC_0731
ko:K00794	ctd:CTDEC_0732
ko:K03310	ctd:CTDEC_0735
ko:K06910	ctd:CTDEC_0736
ko:K07117	ctd:CTDEC_0737
ko:K03466	ctd:CTDEC_0739
ko:K00351	ctd:CTDEC_0740
ko:K03210	ctd:CTDEC_0741
ko:K02563	ctd:CTDEC_0761
ko:K06960	ctd:CTDEC_0763
ko:K00791	ctd:CTDEC_0766
ko:K09710	ctd:CTDEC_0769
ko:K09458	ctd:CTDEC_0770
ko:K01507	ctd:CTDEC_0772
ko:K01082	ctd:CTDEC_0774
ko:K00655	ctd:CTDEC_0775
ko:K01909	ctd:CTDEC_0776
ko:K00652	ctd:CTDEC_0777
ko:K04567	ctd:CTDEC_0781
ko:K01883	ctd:CTDEC_0782
ko:K03536	ctd:CTDEC_0784
ko:K02914	ctd:CTDEC_0785
ko:K02919	ctd:CTDEC_0786
ko:K02954	ctd:CTDEC_0787
ko:K03703	ctd:CTDEC_0791
ko:K03555	ctd:CTDEC_0792
ko:K14164	ctd:CTDEC_0796
ko:K00995	ctd:CTDEC_0797
ko:K00703	ctd:CTDEC_0798
ko:K02897	ctd:CTDEC_0799
ko:K01056	ctd:CTDEC_0800
ko:K02990	ctd:CTDEC_0801
ko:K02963	ctd:CTDEC_0802
ko:K02939	ctd:CTDEC_0803
ko:K00919	ctd:CTDEC_0804
ko:K01408	ctd:CTDEC_0806
ko:K00630	ctd:CTDEC_0807
ko:K08301	ctd:CTDEC_0808
ko:K02911	ctd:CTDEC_0810
ko:K03621	ctd:CTDEC_0811
ko:K03431	ctd:CTDEC_0815
ko:K00820	ctd:CTDEC_0816
ko:K03834	ctd:CTDEC_0817
ko:K03834	ctd:CTDEC_0818
ko:K06890	ctd:CTDEC_0819
ko:K03110	ctd:CTDEC_0820
ko:K01903	ctd:CTDEC_0821
ko:K01902	ctd:CTDEC_0822
ko:K06167	ctd:CTDEC_0380
ko:K09996	ctd:CTDEC_0381
ko:K03856	ctd:CTDEC_0382
ko:K06966	ctd:CTDEC_0387
ko:K09131	ctd:CTDEC_0388
ko:K10206	ctd:CTDEC_0390
ko:K01881	ctd:CTDEC_0393
ko:K03705	ctd:CTDEC_0394
ko:K03687	ctd:CTDEC_0395
ko:K04043	ctd:CTDEC_0396
ko:K12573	ctd:CTDEC_0397
ko:K07164	ctd:CTDEC_0398
ko:K06041	ctd:CTDEC_0399
ko:K00658	ctd:CTDEC_0400
ko:K00912	ctd:CTDEC_0402
ko:K03437	ctd:CTDEC_0403
ko:K06969	ctd:CTDEC_0404
ko:K00891	ctd:CTDEC_0367
ko:K01736	ctd:CTDEC_0368
ko:K09760	ctd:CTDEC_0825
ko:K03439	ctd:CTDEC_0829
ko:K02221	ctd:CTDEC_0645
ko:K01934	ctd:CTDEC_0649
ko:K03581	ctd:CTDEC_0652
ko:K06861	ctd:CTDEC_0653
ko:K01627	ctd:CTDEC_0655
ko:K01770	ctd:CTDEC_0434
ko:K00380	ctd:CTDEC_0435
ko:K02946	ctd:CTDEC_0436
ko:K02355	ctd:CTDEC_0437
ko:K02992	ctd:CTDEC_0438
ko:K02950	ctd:CTDEC_0439
ko:K03797	ctd:CTDEC_0441
ko:K01885	ctd:CTDEC_0445
ko:K07462	ctd:CTDEC_0447
ko:K12257	ctd:CTDEC_0448
ko:K00806	ctd:CTDEC_0450
ko:K00981	ctd:CTDEC_0451
ko:K00945	ctd:CTDEC_0452
ko:K00655	ctd:CTDEC_0453
ko:K01887	ctd:CTDEC_0454
ko:K00790	ctd:CTDEC_0455
ko:K02836	ctd:CTDEC_0459
ko:K07098	ctd:CTDEC_0461
ko:K00991	ctd:CTDEC_0462
ko:K06173	ctd:CTDEC_0463
ko:K01735	ctd:CTDEC_0369
ko:K13832	ctd:CTDEC_0370
ko:K03758	ctd:CTDEC_0374
ko:K07738	ctd:CTDEC_0406
ko:K06204	ctd:CTDEC_0407
ko:K03101	ctd:CTDEC_0408
ko:K03310	ctd:CTDEC_0409
ko:K00970	ctd:CTDEC_0410
ko:K00748	ctd:CTDEC_0411
ko:K00024	ctd:CTDEC_0376
ko:K09815	ctd:CTDEC_0415
ko:K09817	ctd:CTDEC_0416
ko:K09816	ctd:CTDEC_0417
ko:K02899	ctd:CTDEC_0419
ko:K02888	ctd:CTDEC_0420
ko:K07042	ctd:CTDEC_0422
ko:K03183	ctd:CTDEC_0428
ko:K01778	ctd:CTDEC_0430
ko:K01358	ctd:CTDEC_0431
ko:K00793	ctd:CTDEC_0405
ko:K00600	ctd:CTDEC_0432
ko:K01719	ctd:CTDEC_0433
ko:K07710	ctd:CTDEC_0467
ko:K07714	ctd:CTDEC_0468
ko:K03584	ctd:CTDEC_0470
ko:K01890	ctd:CTDEC_0475
ko:K00567	ctd:CTDEC_0477
ko:K02034	ctd:CTDEC_0478
ko:K01810	ctd:CTDEC_0378
ko:K02033	ctd:CTDEC_0479
ko:K02035	ctd:CTDEC_0480
ko:K01772	ctd:CTDEC_0485
ko:K03665	ctd:CTDEC_0379
ko:K00800	ctd:CTDEC_0366
ko:K02030	ctd:CTDEC_0486
ko:K07099	ctd:CTDEC_0488
ko:K03820	ctd:CTDEC_0534
ko:K02342	ctd:CTDEC_0536
ko:K06925	ctd:CTDEC_0537
ko:K03671	ctd:CTDEC_0539
ko:K03216	ctd:CTDEC_0540
ko:K01876	ctd:CTDEC_0542
ko:K01892	ctd:CTDEC_0543
ko:K07783	ctd:CTDEC_0544
ko:K02337	ctd:CTDEC_0545
ko:K07258	ctd:CTDEC_0551
ko:K03311	ctd:CTDEC_0554
ko:K00382	ctd:CTDEC_0557
ko:K03644	ctd:CTDEC_0558
ko:K00975	ctd:CTDEC_0489
ko:K03222	ctd:CTDEC_0559
ko:K03223	ctd:CTDEC_0561
ko:K03226	ctd:CTDEC_0562
ko:K03227	ctd:CTDEC_0563
ko:K03228	ctd:CTDEC_0564
ko:K03628	ctd:CTDEC_0491
ko:K00859	ctd:CTDEC_0492
ko:K00604	ctd:CTDEC_0530
ko:K00677	ctd:CTDEC_0531
ko:K03301	ctd:CTDEC_0495
ko:K00995	ctd:CTDEC_0496
ko:K02372	ctd:CTDEC_0532
ko:K02535	ctd:CTDEC_0533
ko:K03495	ctd:CTDEC_0498
ko:K03800	ctd:CTDEC_0499
ko:K03162	ctd:CTDEC_0681
ko:K14232	ctd:CTDEC_r036
ko:K14233	ctd:CTDEC_r027
ko:K14228	ctd:CTDEC_r013
ko:K01840	ctd:CTDEC_0295
ko:K11645	ctd:CTDEC_0215
ko:K15583	ctd:CTDEC_0202
ko:K14221	ctd:CTDEC_r031
ko:K00850	ctd:CTDEC_0205
ko:K10823	ctd:CTDEC_0201
ko:K14223	ctd:CTDEC_r011
ko:K01834	ctd:CTDEC_0722
ko:K14226	ctd:CTDEC_r016
ko:K00895	ctd:CTDEC_0207
ko:K08719	ctd:CTDEC_0713
ko:K01985	ctd:CTDEC_r042
ko:K01985	ctd:CTDEC_r043
ko:K11709	ctd:CTDEC_0070
ko:K11708	ctd:CTDEC_0069
ko:K11710	ctd:CTDEC_0068
ko:K14233	ctd:CTDEC_r012
ko:K01214	ctd:CTDEC_0042
ko:K03559	ctd:CTDEC_0597
ko:K14219	ctd:CTDEC_r009
ko:K14227	ctd:CTDEC_r035
ko:K09810	ctd:CTDEC_0152
ko:K14234	ctd:CTDEC_r001
ko:K02028	ctd:CTDEC_0130
ko:K14222	ctd:CTDEC_r015
ko:K14220	ctd:CTDEC_r037
ko:K01980	ctd:CTDEC_r040
ko:K01980	ctd:CTDEC_r041
ko:K17103	ctd:CTDEC_0826
ko:K01977	ctd:CTDEC_r038
ko:K01977	ctd:CTDEC_r039
ko:K14233	ctd:CTDEC_r004
ko:K14228	ctd:CTDEC_r005
ko:K04084	ctd:CTDEC_0595
ko:K14218	ctd:CTDEC_r021
ko:K14230	ctd:CTDEC_r033
ko:K14230	ctd:CTDEC_r003
ko:K14235	ctd:CTDEC_r029
ko:K14233	ctd:CTDEC_r024
ko:K14231	ctd:CTDEC_r026
ko:K14228	ctd:CTDEC_r023
ko:K14228	ctd:CTDEC_r007
ko:K14219	ctd:CTDEC_r006
ko:K14232	ctd:CTDEC_r008
ko:K14229	ctd:CTDEC_r020
ko:K14224	ctd:CTDEC_r019
ko:K14218	ctd:CTDEC_r034
ko:K14219	ctd:CTDEC_r022
ko:K14234	ctd:CTDEC_r010
ko:K14225	ctd:CTDEC_r018
ko:K14228	ctd:CTDEC_r025
ko:K14237	ctd:CTDEC_r030
ko:K14230	ctd:CTDEC_r032
ko:K14234	ctd:CTDEC_r028
ko:K14236	ctd:CTDEC_r002
ko:K14225	ctd:CTDEC_r017
ko:K14237	ctd:CTDEC_r014
ko:K06972	ctd:CTDEC_0824
ko:K08274	ctd:CTDEC_0377
ko:K02970	ctd:CTDEC_0342
ko:K07081	ctd:CTDEC_0427
ko:K01802	ctd:CTDEC_0541
ko:K08275	ctd:CTDEC_0080
ko:K01921	ctd:CTDEC_0762
ko:K01924	ctd:CTDEC_0762
ko:K01829	ctd:CTDEC_0780
ko:K01829	ctd:CTDEC_0783
ko:K03309	ctd:CTDEC_0401
ko:K07033	ctd:CTDEC_0684
ko:K03496	ctd:CTDEC_p003
ko:K03496	ctd:CTDEC_0582
ko:K03497	ctd:CTDEC_0688
ko:K03825	ctd:CTDEC_0458
ko:K03111	ctd:CTDEC_0044
ko:K02626	ctd:CTDEC_0373
ko:K11991	ctd:CTDEC_0844
ko:K02031	ctd:CTDEC_0690
ko:K04771	ctd:CTDEC_0823
ko:K19411	ctd:CTDEC_0676
ko:K19405	ctd:CTDEC_0675
ko:K07125	ctd:CTDEC_0325
ko:K22100	ctd:CTDEC_0327
ko:K12132	ctd:CTDEC_0301
ko:K20265	ctd:CTDEC_0216
ko:K20074	ctd:CTDEC_0259
ko:K11749	ctd:CTDEC_0072
ko:K22099	ctd:CTDEC_0611
ko:K01520	ctd:CTDEC_0292
ko:K02314	ctd:CTDEC_p007
ko:K02314	ctd:CTDEC_0497
ko:K00287	ctd:CTDEC_0612
ko:K02316	ctd:CTDEC_0794
ko:K03553	ctd:CTDEC_0650
ko:K02335	ctd:CTDEC_0493
ko:K02032	ctd:CTDEC_0689
ko:K00525	ctd:CTDEC_0827
ko:K02050	ctd:CTDEC_0854
ko:K02051	ctd:CTDEC_0854
ko:K00526	ctd:CTDEC_0828
ko:K01534	ctd:CTDEC_0727
ko:K16239	ctd:CTDEC_0085
