ko:K19504	senl:IY59_22800
ko:K07121	senl:IY59_16380
ko:K07460	senl:IY59_16385
ko:K12961	senl:IY59_16390
ko:K05520	senl:IY59_16405
ko:K09979	senl:IY59_16410
ko:K07461	senl:IY59_16415
ko:K03824	senl:IY59_16420
ko:K08303	senl:IY59_16430
ko:K03835	senl:IY59_16455
ko:K05592	senl:IY59_16460
ko:K05803	senl:IY59_16465
ko:K00962	senl:IY59_16470
ko:K02956	senl:IY59_16475
ko:K03177	senl:IY59_16480
ko:K02834	senl:IY59_16485
ko:K02519	senl:IY59_16490
ko:K02600	senl:IY59_16495
ko:K09748	senl:IY59_16500
ko:K01940	senl:IY59_16510
ko:K03075	senl:IY59_16525
ko:K03431	senl:IY59_16530
ko:K00796	senl:IY59_16535
ko:K03798	senl:IY59_16540
ko:K02427	senl:IY59_16545
ko:K07574	senl:IY59_16550
ko:K03624	senl:IY59_16555
ko:K07259	senl:IY59_16565
ko:K03979	senl:IY59_16570
ko:K02899	senl:IY59_16580
ko:K02888	senl:IY59_16585
ko:K02523	senl:IY59_16590
ko:K07724	senl:IY59_16595
ko:K00075	senl:IY59_20810
ko:K03524	senl:IY59_20815
ko:K00867	senl:IY59_20820
ko:K02358	senl:IY59_20850
ko:K03073	senl:IY59_20855
ko:K02601	senl:IY59_20860
ko:K02867	senl:IY59_20865
ko:K02863	senl:IY59_20870
ko:K02864	senl:IY59_20875
ko:K02935	senl:IY59_20880
ko:K03043	senl:IY59_20885
ko:K03046	senl:IY59_20890
ko:K03150	senl:IY59_20920
ko:K03149	senl:IY59_20925
ko:K03154	senl:IY59_20930
ko:K03148	senl:IY59_20935
ko:K00788	senl:IY59_20940
ko:K03147	senl:IY59_20945
ko:K07740	senl:IY59_20950
ko:K03426	senl:IY59_20955
ko:K01599	senl:IY59_20960
ko:K05982	senl:IY59_20965
ko:K09891	senl:IY59_20970
ko:K05787	senl:IY59_20975
ko:K07803	senl:IY59_20985
ko:K07709	senl:IY59_20990
ko:K01945	senl:IY59_21000
ko:K00602	senl:IY59_21005
ko:K03827	senl:IY59_21030
ko:K00651	senl:IY59_21035
ko:K01638	senl:IY59_21040
ko:K01637	senl:IY59_21045
ko:K00906	senl:IY59_21050
ko:K13641	senl:IY59_21060
ko:K00548	senl:IY59_21065
ko:K03324	senl:IY59_21070
ko:K05995	senl:IY59_21075
ko:K09912	senl:IY59_21085
ko:K06182	senl:IY59_21090
ko:K08234	senl:IY59_01225
ko:K04075	senl:IY59_01230
ko:K19000	senl:IY59_01235
ko:K15034	senl:IY59_01250
ko:K06079	senl:IY59_01255
ko:K01881	senl:IY59_01260
ko:K06080	senl:IY59_01270
ko:K02073	senl:IY59_01275
ko:K02072	senl:IY59_01280
ko:K02071	senl:IY59_01285
ko:K03273	senl:IY59_01290
ko:K06222	senl:IY59_01325
ko:K08307	senl:IY59_01350
ko:K01069	senl:IY59_01355
ko:K03469	senl:IY59_01365
ko:K02342	senl:IY59_01370
ko:K11902	senl:IY59_01385
ko:K11895	senl:IY59_01390
ko:K11904	senl:IY59_01405
ko:K19048	senl:IY59_01420
ko:K19048	senl:IY59_01445
ko:K07347	senl:IY59_01470
ko:K06445	senl:IY59_01520
ko:K03271	senl:IY59_01525
ko:K03550	senl:IY59_05840
ko:K03551	senl:IY59_05845
ko:K09816	senl:IY59_05850
ko:K09817	senl:IY59_05855
ko:K09815	senl:IY59_05860
ko:K02560	senl:IY59_05870
ko:K00873	senl:IY59_05875
ko:K05776	senl:IY59_03815
ko:K02019	senl:IY59_03820
ko:K02020	senl:IY59_03830
ko:K02018	senl:IY59_03835
ko:K02017	senl:IY59_03840
ko:K07404	senl:IY59_03850
ko:K01051	senl:IY59_03855
ko:K01468	senl:IY59_03860
ko:K01479	senl:IY59_03865
ko:K05836	senl:IY59_03870
ko:K01712	senl:IY59_03875
ko:K01745	senl:IY59_03880
ko:K06910	senl:IY59_03885
ko:K00833	senl:IY59_03890
ko:K01012	senl:IY59_03895
ko:K00652	senl:IY59_03900
ko:K02169	senl:IY59_03905
ko:K01935	senl:IY59_03910
ko:K03702	senl:IY59_03915
ko:K03639	senl:IY59_03935
ko:K03638	senl:IY59_03940
ko:K03637	senl:IY59_03945
ko:K03636	senl:IY59_03950
ko:K03635	senl:IY59_03955
ko:K06890	senl:IY59_03960
ko:K06890	senl:IY59_03965
ko:K07027	senl:IY59_03980
ko:K01993	senl:IY59_04015
ko:K11927	senl:IY59_04025
ko:K06970	senl:IY59_04055
ko:K10038	senl:IY59_04070
ko:K10037	senl:IY59_04075
ko:K10036	senl:IY59_04080
ko:K04047	senl:IY59_04090
ko:K11939	senl:IY59_04095
ko:K11934	senl:IY59_04100
ko:K06075	senl:IY59_08495
ko:K04565	senl:IY59_08515
ko:K06938	senl:IY59_08525
ko:K16137	senl:IY59_08530
ko:K10680	senl:IY59_08535
ko:K01759	senl:IY59_08540
ko:K03683	senl:IY59_08545
ko:K07390	senl:IY59_08550
ko:K04564	senl:IY59_08560
ko:K03604	senl:IY59_08570
ko:K00574	senl:IY59_08585
ko:K00793	senl:IY59_08590
ko:K03327	senl:IY59_08595
ko:K03229	senl:IY59_08610
ko:K03228	senl:IY59_08615
ko:K03227	senl:IY59_08620
ko:K03226	senl:IY59_08625
ko:K03225	senl:IY59_08630
ko:K03224	senl:IY59_08645
ko:K03230	senl:IY59_08650
ko:K03222	senl:IY59_08675
ko:K03221	senl:IY59_08690
ko:K15351	senl:IY59_08695
ko:K15350	senl:IY59_08700
ko:K15346	senl:IY59_08715
ko:K15345	senl:IY59_08720
ko:K15368	senl:IY59_08725
ko:K15344	senl:IY59_08730
ko:K15367	senl:IY59_08735
ko:K18984	senl:IY59_08740
ko:K03220	senl:IY59_08745
ko:K03219	senl:IY59_08750
ko:K14978	senl:IY59_08760
ko:K13735	senl:IY59_13005
ko:K03977	senl:IY59_13015
ko:K17713	senl:IY59_13020
ko:K01892	senl:IY59_13030
ko:K03526	senl:IY59_13035
ko:K15539	senl:IY59_13040
ko:K06941	senl:IY59_13045
ko:K00940	senl:IY59_13050
ko:K07308	senl:IY59_13060
ko:K07307	senl:IY59_13065
ko:K07306	senl:IY59_13070
ko:K05367	senl:IY59_13075
ko:K06894	senl:IY59_13080
ko:K01011	senl:IY59_13085
ko:K07751	senl:IY59_13100
ko:K04755	senl:IY59_13110
ko:K04044	senl:IY59_13115
ko:K04082	senl:IY59_13120
ko:K13628	senl:IY59_13125
ko:K04488	senl:IY59_13130
ko:K04487	senl:IY59_13135
ko:K13643	senl:IY59_13140
ko:K15396	senl:IY59_13145
ko:K01092	senl:IY59_13150
ko:K06889	senl:IY59_13155
ko:K16951	senl:IY59_13165
ko:K00385	senl:IY59_13170
ko:K05820	senl:IY59_13190
ko:K00600	senl:IY59_13195
ko:K05916	senl:IY59_13200
ko:K03765	senl:IY59_13205
ko:K03757	senl:IY59_13210
ko:K03305	senl:IY59_13220
ko:K04751	senl:IY59_13225
ko:K07715	senl:IY59_13230
ko:K07711	senl:IY59_13240
ko:K01952	senl:IY59_13245
ko:K18691	senl:IY59_13255
ko:K11991	senl:IY59_13260
ko:K18697	senl:IY59_13265
ko:K01664	senl:IY59_17445
ko:K04095	senl:IY59_17450
ko:K03767	senl:IY59_17460
ko:K06141	senl:IY59_17465
ko:K00362	senl:IY59_17470
ko:K00363	senl:IY59_17475
ko:K02598	senl:IY59_17480
ko:K02302	senl:IY59_17485
ko:K12516	senl:IY59_17490
ko:K01867	senl:IY59_17500
ko:K01091	senl:IY59_17505
ko:K01783	senl:IY59_17510
ko:K03112	senl:IY59_17520
ko:K01735	senl:IY59_17525
ko:K00891	senl:IY59_17530
ko:K02507	senl:IY59_17535
ko:K12291	senl:IY59_17540
ko:K12290	senl:IY59_17545
ko:K12289	senl:IY59_17550
ko:K12288	senl:IY59_17555
ko:K05366	senl:IY59_17560
ko:K08312	senl:IY59_17565
ko:K04762	senl:IY59_17580
ko:K04083	senl:IY59_17585
ko:K01610	senl:IY59_17595
ko:K07638	senl:IY59_17600
ko:K07659	senl:IY59_17605
ko:K04760	senl:IY59_17610
ko:K06959	senl:IY59_17615
ko:K04758	senl:IY59_17620
ko:K04759	senl:IY59_17625
ko:K07490	senl:IY59_17630
ko:K02170	senl:IY59_17640
ko:K07400	senl:IY59_17650
ko:K06155	senl:IY59_17655
ko:K00705	senl:IY59_17660
ko:K00688	senl:IY59_17665
ko:K03556	senl:IY59_17670
ko:K19157	senl:IY59_17675
ko:K07473	senl:IY59_17680
ko:K01974	senl:IY59_17685
ko:K14415	senl:IY59_17690
ko:K14414	senl:IY59_17700
ko:K02444	senl:IY59_17705
ko:K02441	senl:IY59_17710
ko:K03476	senl:IY59_21985
ko:K03475	senl:IY59_21990
ko:K02822	senl:IY59_21995
ko:K02821	senl:IY59_22000
ko:K03078	senl:IY59_22005
ko:K03079	senl:IY59_22010
ko:K03077	senl:IY59_22015
ko:K02990	senl:IY59_22030
ko:K02686	senl:IY59_22035
ko:K02963	senl:IY59_22040
ko:K02939	senl:IY59_22045
ko:K07269	senl:IY59_22055
ko:K03773	senl:IY59_22060
ko:K07322	senl:IY59_22080
ko:K19267	senl:IY59_22090
ko:K01119	senl:IY59_22100
ko:K01082	senl:IY59_22105
ko:K07109	senl:IY59_22110
ko:K07304	senl:IY59_22125
ko:K07278	senl:IY59_22130
ko:K09800	senl:IY59_22135
ko:K01507	senl:IY59_22155
ko:K03841	senl:IY59_22160
ko:K02558	senl:IY59_22165
ko:K09889	senl:IY59_22170
ko:K07347	senl:IY59_00115
ko:K06871	senl:IY59_00190
ko:K03313	senl:IY59_00205
ko:K03717	senl:IY59_00210
ko:K01811	senl:IY59_00215
ko:K00036	senl:IY59_05885
ko:K01690	senl:IY59_05890
ko:K01625	senl:IY59_05895
ko:K08289	senl:IY59_05905
ko:K09918	senl:IY59_05910
ko:K01354	senl:IY59_05925
ko:K10857	senl:IY59_05930
ko:K02345	senl:IY59_05940
ko:K07156	senl:IY59_05945
ko:K07245	senl:IY59_05950
ko:K04565	senl:IY59_06060
ko:K13741	senl:IY59_06085
ko:K03394	senl:IY59_10500
ko:K02190	senl:IY59_10505
ko:K05895	senl:IY59_10510
ko:K02189	senl:IY59_10520
ko:K05936	senl:IY59_10525
ko:K02191	senl:IY59_10530
ko:K03399	senl:IY59_10535
ko:K02188	senl:IY59_10540
ko:K06042	senl:IY59_10545
ko:K02227	senl:IY59_10550
ko:K02224	senl:IY59_10555
ko:K01699	senl:IY59_10580
ko:K13919	senl:IY59_10585
ko:K13920	senl:IY59_10590
ko:K13923	senl:IY59_10615
ko:K13922	senl:IY59_10635
ko:K13921	senl:IY59_10640
ko:K04031	senl:IY59_10655
ko:K04029	senl:IY59_10660
ko:K16651	senl:IY59_10670
ko:K09802	senl:IY59_10675
ko:K07470	senl:IY59_10685
ko:K07258	senl:IY59_10690
ko:K08354	senl:IY59_10695
ko:K08353	senl:IY59_10700
ko:K08352	senl:IY59_10705
ko:K01141	senl:IY59_10720
ko:K00765	senl:IY59_10740
ko:K00013	senl:IY59_10745
ko:K00817	senl:IY59_10750
ko:K01089	senl:IY59_10755
ko:K02501	senl:IY59_10760
ko:K01814	senl:IY59_10765
ko:K00879	senl:IY59_14930
ko:K02431	senl:IY59_14935
ko:K02430	senl:IY59_14940
ko:K06968	senl:IY59_14945
ko:K03566	senl:IY59_14955
ko:K01766	senl:IY59_14965
ko:K02426	senl:IY59_14970
ko:K08304	senl:IY59_14985
ko:K01448	senl:IY59_15000
ko:K14682	senl:IY59_15005
ko:K03581	senl:IY59_15010
ko:K03582	senl:IY59_15015
ko:K01407	senl:IY59_15020
ko:K03583	senl:IY59_15025
ko:K02681	senl:IY59_15030
ko:K02680	senl:IY59_15040
ko:K02679	senl:IY59_15045
ko:K13292	senl:IY59_15055
ko:K08484	senl:IY59_15060
ko:K08311	senl:IY59_15065
ko:K03573	senl:IY59_15075
ko:K08227	senl:IY59_15095
ko:K05939	senl:IY59_15100
ko:K02529	senl:IY59_15105
ko:K01586	senl:IY59_15115
ko:K02100	senl:IY59_15130
ko:K00065	senl:IY59_15135
ko:K01815	senl:IY59_15140
ko:K00626	senl:IY59_15145
ko:K00014	senl:IY59_19395
ko:K00820	senl:IY59_19405
ko:K04042	senl:IY59_19410
ko:K06890	senl:IY59_19420
ko:K02114	senl:IY59_19430
ko:K02112	senl:IY59_19435
ko:K02115	senl:IY59_19440
ko:K02111	senl:IY59_19445
ko:K02113	senl:IY59_19450
ko:K02109	senl:IY59_19455
ko:K02110	senl:IY59_19460
ko:K02108	senl:IY59_19465
ko:K02116	senl:IY59_19470
ko:K03501	senl:IY59_19475
ko:K03495	senl:IY59_19480
ko:K06205	senl:IY59_19485
ko:K03718	senl:IY59_19490
ko:K01914	senl:IY59_19495
ko:K03924	senl:IY59_19505
ko:K03549	senl:IY59_19510
ko:K06726	senl:IY59_19515
ko:K10441	senl:IY59_19520
ko:K10440	senl:IY59_19525
ko:K10439	senl:IY59_19530
ko:K00852	senl:IY59_19535
ko:K02529	senl:IY59_19540
ko:K09897	senl:IY59_19590
ko:K07391	senl:IY59_19595
ko:K01652	senl:IY59_19605
ko:K11258	senl:IY59_19610
ko:K00826	senl:IY59_19615
ko:K01687	senl:IY59_19620
ko:K01754	senl:IY59_19625
ko:K02521	senl:IY59_19640
ko:K00053	senl:IY59_19645
ko:K03769	senl:IY59_19650
ko:K03656	senl:IY59_19660
ko:K01524	senl:IY59_19665
ko:K03592	senl:IY59_22175
ko:K15536	senl:IY59_22180
ko:K01465	senl:IY59_22210
ko:K01042	senl:IY59_22215
ko:K18918	senl:IY59_22230
ko:K06218	senl:IY59_22235
ko:K01226	senl:IY59_22255
ko:K02968	senl:IY59_00225
ko:K11753	senl:IY59_00235
ko:K01870	senl:IY59_00240
ko:K03101	senl:IY59_00245
ko:K03774	senl:IY59_00250
ko:K03527	senl:IY59_00255
ko:K12700	senl:IY59_00270
ko:K07702	senl:IY59_00275
ko:K07700	senl:IY59_00280
ko:K01572	senl:IY59_00285
ko:K01571	senl:IY59_00290
ko:K01573	senl:IY59_00295
ko:K01910	senl:IY59_00305
ko:K01646	senl:IY59_00310
ko:K01644	senl:IY59_00315
ko:K01643	senl:IY59_00320
ko:K05964	senl:IY59_00325
ko:K05966	senl:IY59_00330
ko:K00215	senl:IY59_00335
ko:K01956	senl:IY59_00340
ko:K01955	senl:IY59_00345
ko:K08277	senl:IY59_00350
ko:K08279	senl:IY59_00355
ko:K08299	senl:IY59_00360
ko:K02182	senl:IY59_00365
ko:K08298	senl:IY59_00370
ko:K08297	senl:IY59_00375
ko:K05245	senl:IY59_00380
ko:K03521	senl:IY59_00390
ko:K03522	senl:IY59_00395
ko:K00313	senl:IY59_00400
ko:K05788	senl:IY59_04670
ko:K02238	senl:IY59_04675
ko:K11085	senl:IY59_04680
ko:K00912	senl:IY59_04685
ko:K09927	senl:IY59_04690
ko:K09791	senl:IY59_04695
ko:K00979	senl:IY59_04700
ko:K06219	senl:IY59_04715
ko:K03633	senl:IY59_04720
ko:K03804	senl:IY59_04725
ko:K03632	senl:IY59_04730
ko:K00813	senl:IY59_04750
ko:K09476	senl:IY59_04755
ko:K01893	senl:IY59_04760
ko:K01751	senl:IY59_04770
ko:K03310	senl:IY59_04775
ko:K00763	senl:IY59_04780
ko:K01256	senl:IY59_04845
ko:K00254	senl:IY59_04850
ko:K18657	senl:IY59_04855
ko:K07140	senl:IY59_04860
ko:K12297	senl:IY59_04865
ko:K15738	senl:IY59_04870
ko:K03808	senl:IY59_04875
ko:K06192	senl:IY59_04880
ko:K09857	senl:IY59_04885
ko:K03812	senl:IY59_04890
ko:K01716	senl:IY59_04895
ko:K04770	senl:IY59_04900
ko:K09911	senl:IY59_04905
ko:K03286	senl:IY59_04910
ko:K13053	senl:IY59_04915
ko:K07343	senl:IY59_04920
ko:K03658	senl:IY59_04935
ko:K01734	senl:IY59_04940
ko:K09909	senl:IY59_04945
ko:K06929	senl:IY59_04950
ko:K11940	senl:IY59_04955
ko:K06969	senl:IY59_04960
ko:K06910	senl:IY59_04965
ko:K06871	senl:IY59_09350
ko:K07180	senl:IY59_09360
ko:K09786	senl:IY59_09365
ko:K19055	senl:IY59_09380
ko:K03449	senl:IY59_09400
ko:K09712	senl:IY59_09415
ko:K11250	senl:IY59_09445
ko:K04093	senl:IY59_09450
ko:K02034	senl:IY59_09510
ko:K02033	senl:IY59_09515
ko:K02035	senl:IY59_09520
ko:K04080	senl:IY59_09545
ko:K07804	senl:IY59_09590
ko:K03704	senl:IY59_09610
ko:K00031	senl:IY59_09640
ko:K06181	senl:IY59_09645
ko:K07491	senl:IY59_13865
ko:K18895	senl:IY59_13875
ko:K07017	senl:IY59_13885
ko:K15352	senl:IY59_13900
ko:K09824	senl:IY59_13905
ko:K07241	senl:IY59_13920
ko:K07649	senl:IY59_13925
ko:K07774	senl:IY59_13930
ko:K07795	senl:IY59_13940
ko:K07794	senl:IY59_13945
ko:K07793	senl:IY59_13950
ko:K15737	senl:IY59_13955
ko:K15736	senl:IY59_13960
ko:K00135	senl:IY59_13965
ko:K07250	senl:IY59_13970
ko:K11735	senl:IY59_13975
ko:K15735	senl:IY59_13980
ko:K11685	senl:IY59_14010
ko:K00375	senl:IY59_14030
ko:K03647	senl:IY59_14050
ko:K02000	senl:IY59_14065
ko:K02001	senl:IY59_14070
ko:K02002	senl:IY59_14075
ko:K15974	senl:IY59_14085
ko:K03543	senl:IY59_14090
ko:K03446	senl:IY59_14095
ko:K07173	senl:IY59_14105
ko:K01919	senl:IY59_14110
ko:K12975	senl:IY59_18290
ko:K07347	senl:IY59_18305
ko:K01246	senl:IY59_18330
ko:K03826	senl:IY59_18335
ko:K08351	senl:IY59_18340
ko:K00090	senl:IY59_18350
ko:K07726	senl:IY59_18360
ko:K03704	senl:IY59_18365
ko:K03830	senl:IY59_18385
ko:K01879	senl:IY59_18395
ko:K01878	senl:IY59_18400
ko:K00854	senl:IY59_18420
ko:K01805	senl:IY59_18425
ko:K02529	senl:IY59_18430
ko:K03796	senl:IY59_18435
ko:K01176	senl:IY59_18445
ko:K00835	senl:IY59_18450
ko:K08092	senl:IY59_18465
ko:K00880	senl:IY59_18495
ko:K09955	senl:IY59_18520
ko:K00138	senl:IY59_18525
ko:K03833	senl:IY59_18535
ko:K01042	senl:IY59_18540
ko:K00564	senl:IY59_22885
ko:K02344	senl:IY59_22890
ko:K03789	senl:IY59_22895
ko:K08723	senl:IY59_22900
ko:K02837	senl:IY59_22905
ko:K04065	senl:IY59_22910
ko:K03424	senl:IY59_22925
ko:K01619	senl:IY59_22940
ko:K00758	senl:IY59_22945
ko:K01839	senl:IY59_22950
ko:K03784	senl:IY59_22955
ko:K03800	senl:IY59_22965
ko:K07186	senl:IY59_22970
ko:K01079	senl:IY59_22975
ko:K04485	senl:IY59_22980
ko:K06211	senl:IY59_22985
ko:K08309	senl:IY59_22995
ko:K03720	senl:IY59_23000
ko:K05804	senl:IY59_23015
ko:K05805	senl:IY59_23020
ko:K07663	senl:IY59_23025
ko:K07641	senl:IY59_23030
ko:K06143	senl:IY59_23035
ko:K07347	senl:IY59_23050
ko:K07773	senl:IY59_23075
ko:K02533	senl:IY59_23085
ko:K03151	senl:IY59_02125
ko:K11082	senl:IY59_02130
ko:K11083	senl:IY59_02135
ko:K11084	senl:IY59_02140
ko:K11081	senl:IY59_02145
ko:K03430	senl:IY59_02160
ko:K05306	senl:IY59_02165
ko:K03152	senl:IY59_02170
ko:K00077	senl:IY59_02175
ko:K09767	senl:IY59_02180
ko:K02300	senl:IY59_02205
ko:K02299	senl:IY59_02210
ko:K02298	senl:IY59_02215
ko:K02297	senl:IY59_02220
ko:K08218	senl:IY59_02225
ko:K07286	senl:IY59_02230
ko:K05527	senl:IY59_02235
ko:K03545	senl:IY59_02240
ko:K01358	senl:IY59_02245
ko:K03544	senl:IY59_02250
ko:K01338	senl:IY59_02255
ko:K03530	senl:IY59_02260
ko:K03770	senl:IY59_02265
ko:K02237	senl:IY59_02270
ko:K12500	senl:IY59_02275
ko:K06920	senl:IY59_02280
ko:K11938	senl:IY59_02290
ko:K01738	senl:IY59_02295
ko:K05800	senl:IY59_02300
ko:K18889	senl:IY59_02305
ko:K18890	senl:IY59_02310
ko:K04752	senl:IY59_02315
ko:K03320	senl:IY59_02320
ko:K10805	senl:IY59_02325
ko:K09914	senl:IY59_02330
ko:K07443	senl:IY59_02335
ko:K02909	senl:IY59_02345
ko:K02919	senl:IY59_02350
ko:K00661	senl:IY59_02360
ko:K05839	senl:IY59_02365
ko:K19162	senl:IY59_02370
ko:K18138	senl:IY59_02375
ko:K03585	senl:IY59_02380
ko:K03577	senl:IY59_02385
ko:K05802	senl:IY59_02390
ko:K01433	senl:IY59_06755
ko:K09858	senl:IY59_06760
ko:K07001	senl:IY59_06765
ko:K00963	senl:IY59_06775
ko:K03746	senl:IY59_06780
ko:K04072	senl:IY59_06790
ko:K15580	senl:IY59_06800
ko:K15581	senl:IY59_06805
ko:K15582	senl:IY59_06810
ko:K15583	senl:IY59_06815
ko:K10823	senl:IY59_06820
ko:K10716	senl:IY59_06825
ko:K09901	senl:IY59_06830
ko:K06131	senl:IY59_06835
ko:K09780	senl:IY59_06840
ko:K03832	senl:IY59_06845
ko:K10806	senl:IY59_06850
ko:K06190	senl:IY59_06855
ko:K06940	senl:IY59_06865
ko:K07275	senl:IY59_06870
ko:K07217	senl:IY59_06875
ko:K01695	senl:IY59_06895
ko:K01696	senl:IY59_06900
ko:K13498	senl:IY59_06905
ko:K13497	senl:IY59_06910
ko:K01657	senl:IY59_06915
ko:K07053	senl:IY59_06920
ko:K06178	senl:IY59_06930
ko:K19221	senl:IY59_06935
ko:K04774	senl:IY59_06945
ko:K03168	senl:IY59_06955
ko:K13634	senl:IY59_06960
ko:K01681	senl:IY59_06975
ko:K01497	senl:IY59_06980
ko:K08992	senl:IY59_06990
ko:K01591	senl:IY59_07000
ko:K03113	senl:IY59_07005
ko:K04062	senl:IY59_07010
ko:K17722	senl:IY59_11320
ko:K17723	senl:IY59_11325
ko:K10541	senl:IY59_11330
ko:K10542	senl:IY59_11335
ko:K10540	senl:IY59_11340
ko:K02529	senl:IY59_11345
ko:K07148	senl:IY59_11350
ko:K01495	senl:IY59_11355
ko:K01070	senl:IY59_11360
ko:K01752	senl:IY59_11370
ko:K07783	senl:IY59_11380
ko:K16089	senl:IY59_11385
ko:K11733	senl:IY59_11390
ko:K01151	senl:IY59_11405
ko:K02769	senl:IY59_11410
ko:K02770	senl:IY59_11410
ko:K00882	senl:IY59_11415
ko:K02768	senl:IY59_11420
ko:K11183	senl:IY59_11420
ko:K03291	senl:IY59_11430
ko:K06940	senl:IY59_11445
