ko:K13967	babs:DK51_2253
ko:K10545	babs:DK51_2369
ko:K03435	babs:DK51_2372
ko:K00368	babs:DK51_2375
ko:K02448	babs:DK51_2384
ko:K04748	babs:DK51_2385
ko:K04561	babs:DK51_2386
ko:K02902	babs:DK51_1608
ko:K09125	babs:DK51_1609
ko:K01142	babs:DK51_1620
ko:K06188	babs:DK51_1622
ko:K09812	babs:DK51_1624
ko:K09811	babs:DK51_1625
ko:K00655	babs:DK51_1627
ko:K01507	babs:DK51_1628
ko:K02221	babs:DK51_1629
ko:K07232	babs:DK51_1631
ko:K00220	babs:DK51_1632
ko:K00817	babs:DK51_1634
ko:K00760	babs:DK51_1636
ko:K01586	babs:DK51_1638
ko:K01755	babs:DK51_1640
ko:K09768	babs:DK51_1642
ko:K07058	babs:DK51_1643
ko:K10026	babs:DK51_1647
ko:K01737	babs:DK51_1648
ko:K06920	babs:DK51_1649
ko:K03521	babs:DK51_1650
ko:K03522	babs:DK51_1651
ko:K00074	babs:DK51_1652
ko:K01738	babs:DK51_1653
ko:K01738	babs:DK51_1654
ko:K01761	babs:DK51_1656
ko:K01424	babs:DK51_1658
ko:K01424	babs:DK51_1660
ko:K00074	babs:DK51_2409
ko:K06446	babs:DK51_2412
ko:K08196	babs:DK51_2414
ko:K03572	babs:DK51_2415
ko:K00912	babs:DK51_2417
ko:K02527	babs:DK51_2418
ko:K09778	babs:DK51_2419
ko:K01092	babs:DK51_2421
ko:K03592	babs:DK51_2422
ko:K03455	babs:DK51_2423
ko:K07001	babs:DK51_2424
ko:K07263	babs:DK51_2425
ko:K07263	babs:DK51_2426
ko:K08316	babs:DK51_2428
ko:K06178	babs:DK51_2429
ko:K12262	babs:DK51_2431
ko:K01870	babs:DK51_2433
ko:K11753	babs:DK51_2434
ko:K04078	babs:DK51_2436
ko:K04077	babs:DK51_2437
ko:K01679	babs:DK51_2439
ko:K15977	babs:DK51_2440
ko:K02429	babs:DK51_2441
ko:K00765	babs:DK51_2442
ko:K02502	babs:DK51_2443
ko:K01892	babs:DK51_2444
ko:K01246	babs:DK51_2446
ko:K06221	babs:DK51_2448
ko:K11473	babs:DK51_2449
ko:K11472	babs:DK51_2450
ko:K00104	babs:DK51_2451
ko:K09794	babs:DK51_2455
ko:K08738	babs:DK51_2456
ko:K19181	babs:DK51_1575
ko:K09972	babs:DK51_1661
ko:K01239	babs:DK51_2609
ko:K01621	babs:DK51_2280
ko:K06147	babs:DK51_1247
ko:K06147	babs:DK51_1248
ko:K02529	babs:DK51_1249
ko:K09959	babs:DK51_1250
ko:K13953	babs:DK51_1251
ko:K00138	babs:DK51_1252
ko:K00111	babs:DK51_1254
ko:K02444	babs:DK51_1255
ko:K01082	babs:DK51_1259
ko:K00955	babs:DK51_1260
ko:K00957	babs:DK51_1261
ko:K16871	babs:DK51_1262
ko:K07782	babs:DK51_1263
ko:K00548	babs:DK51_1264
ko:K00567	babs:DK51_1268
ko:K00390	babs:DK51_1270
ko:K00381	babs:DK51_1271
ko:K02302	babs:DK51_1273
ko:K07460	babs:DK51_1274
ko:K07056	babs:DK51_1275
ko:K02428	babs:DK51_1278
ko:K00989	babs:DK51_1281
ko:K03705	babs:DK51_1282
ko:K03687	babs:DK51_1283
ko:K06203	babs:DK51_1286
ko:K10773	babs:DK51_1287
ko:K02806	babs:DK51_1291
ko:K03092	babs:DK51_1293
ko:K06861	babs:DK51_1294
ko:K09774	babs:DK51_1295
ko:K11719	babs:DK51_1296
ko:K00228	babs:DK51_2034
ko:K03216	babs:DK51_2037
ko:K18893	babs:DK51_2038
ko:K00411	babs:DK51_2041
ko:K00412	babs:DK51_2042
ko:K00413	babs:DK51_2043
ko:K00759	babs:DK51_2045
ko:K06942	babs:DK51_2048
ko:K01056	babs:DK51_2049
ko:K02897	babs:DK51_2050
ko:K06915	babs:DK51_2051
ko:K00948	babs:DK51_2052
ko:K05810	babs:DK51_2055
ko:K13292	babs:DK51_2057
ko:K06878	babs:DK51_2060
ko:K07638	babs:DK51_2061
ko:K07659	babs:DK51_2062
ko:K03702	babs:DK51_2069
ko:K10806	babs:DK51_2071
ko:K09922	babs:DK51_2073
ko:K03624	babs:DK51_2076
ko:K12989	babs:DK51_2077
ko:K03498	babs:DK51_2079
ko:K00384	babs:DK51_2080
ko:K06140	babs:DK51_2082
ko:K11443	babs:DK51_2084
ko:K02488	babs:DK51_2085
ko:K02913	babs:DK51_2086
ko:K07010	babs:DK51_2838
ko:K00324	babs:DK51_2844
ko:K00324	babs:DK51_2845
ko:K00325	babs:DK51_2846
ko:K02970	babs:DK51_2852
ko:K02072	babs:DK51_2855
ko:K02071	babs:DK51_2856
ko:K02073	babs:DK51_2857
ko:K01998	babs:DK51_2859
ko:K01997	babs:DK51_2860
ko:K01996	babs:DK51_2861
ko:K01995	babs:DK51_2862
ko:K01999	babs:DK51_2863
ko:K09969	babs:DK51_2868
ko:K01266	babs:DK51_2869
ko:K01652	babs:DK51_2871
ko:K01687	babs:DK51_2875
ko:K00883	babs:DK51_2876
ko:K01631	babs:DK51_2877
ko:K10546	babs:DK51_2878
ko:K10546	babs:DK51_2879
ko:K10548	babs:DK51_2880
ko:K10547	babs:DK51_2881
ko:K10547	babs:DK51_2882
ko:K00824	babs:DK51_2883
ko:K09975	babs:DK51_2884
ko:K01712	babs:DK51_2885
ko:K01744	babs:DK51_1662
ko:K01480	babs:DK51_1663
ko:K02028	babs:DK51_1664
ko:K02029	babs:DK51_1666
ko:K02029	babs:DK51_1667
ko:K02030	babs:DK51_1668
ko:K03760	babs:DK51_1672
ko:K03760	babs:DK51_1673
ko:K03070	babs:DK51_1675
ko:K03769	babs:DK51_1676
ko:K00620	babs:DK51_1677
ko:K03574	babs:DK51_1679
ko:K01069	babs:DK51_1682
ko:K06190	babs:DK51_1683
ko:K03110	babs:DK51_1684
ko:K18707	babs:DK51_1685
ko:K01778	babs:DK51_1686
ko:K06916	babs:DK51_1688
ko:K00024	babs:DK51_1689
ko:K01903	babs:DK51_1690
ko:K01902	babs:DK51_1691
ko:K00164	babs:DK51_1692
ko:K00658	babs:DK51_1693
ko:K00382	babs:DK51_1697
ko:K09973	babs:DK51_1698
ko:K03733	babs:DK51_1699
ko:K02860	babs:DK51_1700
ko:K00554	babs:DK51_1701
ko:K07090	babs:DK51_1706
ko:K03457	babs:DK51_1707
ko:K02884	babs:DK51_1708
ko:K01703	babs:DK51_1709
ko:K00241	babs:DK51_1711
ko:K00242	babs:DK51_1712
ko:K01644	babs:DK51_2461
ko:K09709	babs:DK51_2462
ko:K02419	babs:DK51_2467
ko:K02415	babs:DK51_2468
ko:K02393	babs:DK51_2469
ko:K02394	babs:DK51_2471
ko:K02386	babs:DK51_2472
ko:K02392	babs:DK51_2473
ko:K02408	babs:DK51_2474
ko:K02388	babs:DK51_2475
ko:K02387	babs:DK51_2476
ko:K02412	babs:DK51_2493
ko:K02391	babs:DK51_2494
ko:K02556	babs:DK51_2496
ko:K02416	babs:DK51_2497
ko:K02416	babs:DK51_2498
ko:K02417	babs:DK51_2500
ko:K02410	babs:DK51_2501
ko:K02401	babs:DK51_2502
ko:K03543	babs:DK51_2506
ko:K02055	babs:DK51_2508
ko:K02054	babs:DK51_2509
ko:K02053	babs:DK51_2510
ko:K02052	babs:DK51_2511
ko:K00033	babs:DK51_2512
ko:K04773	babs:DK51_1297
ko:K05788	babs:DK51_1298
ko:K06969	babs:DK51_1300
ko:K03437	babs:DK51_1301
ko:K03101	babs:DK51_1302
ko:K03555	babs:DK51_1304
ko:K00029	babs:DK51_1305
ko:K00029	babs:DK51_1306
ko:K00990	babs:DK51_1307
ko:K03980	babs:DK51_1308
ko:K01867	babs:DK51_1309
ko:K15012	babs:DK51_1314
ko:K15011	babs:DK51_1317
ko:K03579	babs:DK51_1318
ko:K03579	babs:DK51_1319
ko:K00121	babs:DK51_1321
ko:K02348	babs:DK51_1322
ko:K01070	babs:DK51_1325
ko:K02470	babs:DK51_1326
ko:K05592	babs:DK51_1327
ko:K03684	babs:DK51_1330
ko:K16079	babs:DK51_1331
ko:K16079	babs:DK51_1332
ko:K05366	babs:DK51_1333
ko:K00847	babs:DK51_1335
ko:K00763	babs:DK51_1338
ko:K13688	babs:DK51_1339
ko:K02045	babs:DK51_1340
ko:K02047	babs:DK51_1341
ko:K02046	babs:DK51_1342
ko:K02048	babs:DK51_1343
ko:K12573	babs:DK51_2090
ko:K03168	babs:DK51_2091
ko:K04096	babs:DK51_2093
ko:K08591	babs:DK51_2094
ko:K01465	babs:DK51_2095
ko:K00609	babs:DK51_2096
ko:K09456	babs:DK51_2098
ko:K07447	babs:DK51_2097
ko:K02435	babs:DK51_2100
ko:K02433	babs:DK51_2101
ko:K02622	babs:DK51_2103
ko:K03801	babs:DK51_2105
ko:K14205	babs:DK51_2110
ko:K06196	babs:DK51_2111
ko:K04042	babs:DK51_2112
ko:K00820	babs:DK51_2113
ko:K03655	babs:DK51_2114
ko:K09159	babs:DK51_2115
ko:K03723	babs:DK51_2116
ko:K02035	babs:DK51_2119
ko:K11940	babs:DK51_2121
ko:K03185	babs:DK51_2122
ko:K01004	babs:DK51_2123
ko:K02056	babs:DK51_2126
ko:K02057	babs:DK51_2127
ko:K02057	babs:DK51_2128
ko:K02058	babs:DK51_2129
ko:K14441	babs:DK51_2130
ko:K03594	babs:DK51_2131
ko:K13772	babs:DK51_2134
ko:K07483	babs:DK51_2139
ko:K01479	babs:DK51_2886
ko:K01745	babs:DK51_2887
ko:K01468	babs:DK51_2888
ko:K05836	babs:DK51_2890
ko:K00822	babs:DK51_2891
ko:K00285	babs:DK51_2893
ko:K01775	babs:DK51_2894
ko:K00101	babs:DK51_2897
ko:K02305	babs:DK51_2387
ko:K02164	babs:DK51_2389
ko:K03734	babs:DK51_2398
ko:K00380	babs:DK51_2399
ko:K02484	babs:DK51_2403
ko:K01996	babs:DK51_3149
ko:K01995	babs:DK51_3150
ko:K01997	babs:DK51_3153
ko:K01999	babs:DK51_3154
ko:K01857	babs:DK51_3155
ko:K00448	babs:DK51_3156
ko:K00449	babs:DK51_3157
ko:K01607	babs:DK51_3158
ko:K01055	babs:DK51_3159
ko:K00481	babs:DK51_3162
ko:K18954	babs:DK51_3163
ko:K02624	babs:DK51_3164
ko:K01031	babs:DK51_3165
ko:K01032	babs:DK51_3166
ko:K02030	babs:DK51_3171
ko:K02030	babs:DK51_3172
ko:K00285	babs:DK51_3173
ko:K02342	babs:DK51_3177
ko:K02346	babs:DK51_3185
ko:K00239	babs:DK51_1713
ko:K00240	babs:DK51_1714
ko:K03185	babs:DK51_1716
ko:K10805	babs:DK51_1717
ko:K03320	babs:DK51_1718
ko:K03466	babs:DK51_1719
ko:K09780	babs:DK51_1724
ko:K00057	babs:DK51_1725
ko:K01409	babs:DK51_1726
ko:K01749	babs:DK51_1727
ko:K01719	babs:DK51_1728
ko:K02498	babs:DK51_1730
ko:K00568	babs:DK51_1740
ko:K00928	babs:DK51_1741
ko:K08484	babs:DK51_1742
ko:K02835	babs:DK51_1743
ko:K02493	babs:DK51_1744
ko:K03695	babs:DK51_1746
ko:K02888	babs:DK51_1762
ko:K02899	babs:DK51_1763
ko:K03979	babs:DK51_1767
ko:K00931	babs:DK51_1768
ko:K01581	babs:DK51_2521
ko:K01426	babs:DK51_2522
ko:K02017	babs:DK51_2529
ko:K02018	babs:DK51_2530
ko:K02020	babs:DK51_2531
ko:K07146	babs:DK51_2532
ko:K01625	babs:DK51_2534
ko:K08602	babs:DK51_2537
ko:K01665	babs:DK51_2538
ko:K02619	babs:DK51_2539
ko:K00808	babs:DK51_2540
ko:K01772	babs:DK51_2542
ko:K07340	babs:DK51_2544
ko:K00963	babs:DK51_2547
ko:K08305	babs:DK51_2548
ko:K03194	babs:DK51_2549
ko:K03201	babs:DK51_2554
ko:K03202	babs:DK51_2555
ko:K03203	babs:DK51_2556
ko:K03204	babs:DK51_2557
ko:K03196	babs:DK51_2559
ko:K09795	babs:DK51_2561
ko:K11737	babs:DK51_2562
ko:K00266	babs:DK51_2563
ko:K00265	babs:DK51_2564
ko:K01620	babs:DK51_2565
ko:K03710	babs:DK51_2903
ko:K00820	babs:DK51_2904
ko:K01443	babs:DK51_2905
ko:K01433	babs:DK51_2907
ko:K00128	babs:DK51_2908
ko:K06959	babs:DK51_2912
ko:K10680	babs:DK51_2915
ko:K01476	babs:DK51_2917
ko:K06886	babs:DK51_2919
ko:K19055	babs:DK51_2922
ko:K05838	babs:DK51_2923
ko:K07157	babs:DK51_2924
ko:K09791	babs:DK51_2926
ko:K00052	babs:DK51_2927
ko:K10778	babs:DK51_2928
ko:K00133	babs:DK51_2930
ko:K01704	babs:DK51_2934
ko:K01644	babs:DK51_2935
ko:K01284	babs:DK51_2938
ko:K06213	babs:DK51_2939
ko:K01687	babs:DK51_1351
ko:K02199	babs:DK51_1352
ko:K02196	babs:DK51_1353
ko:K02195	babs:DK51_1354
ko:K02194	babs:DK51_1355
ko:K02193	babs:DK51_1356
ko:K01681	babs:DK51_1357
ko:K03823	babs:DK51_1360
ko:K03823	babs:DK51_1361
ko:K06890	babs:DK51_1362
ko:K02004	babs:DK51_1363
ko:K02003	babs:DK51_1364
ko:K10804	babs:DK51_1365
ko:K01975	babs:DK51_1367
ko:K01104	babs:DK51_1366
ko:K01724	babs:DK51_1369
ko:K06941	babs:DK51_1373
ko:K01940	babs:DK51_1376
ko:K14160	babs:DK51_1379
ko:K14161	babs:DK51_1380
ko:K14162	babs:DK51_1381
ko:K11068	babs:DK51_1382
ko:K16165	babs:DK51_1387
ko:K06889	babs:DK51_1389
ko:K01835	babs:DK51_1391
ko:K03593	babs:DK51_1392
ko:K01759	babs:DK51_1393
ko:K09800	babs:DK51_1398
ko:K07278	babs:DK51_1399
ko:K02300	babs:DK51_1401
ko:K02299	babs:DK51_1402
ko:K07039	babs:DK51_2142
ko:K00012	babs:DK51_2148
ko:K15580	babs:DK51_2154
ko:K15580	babs:DK51_2155
ko:K15581	babs:DK51_2156
ko:K15582	babs:DK51_2157
ko:K10823	babs:DK51_2158
ko:K15583	babs:DK51_2158
ko:K03919	babs:DK51_2159
ko:K08369	babs:DK51_2160
ko:K01266	babs:DK51_2161
ko:K03466	babs:DK51_2162
ko:K14998	babs:DK51_2165
ko:K00382	babs:DK51_2164
ko:K09699	babs:DK51_2166
ko:K00167	babs:DK51_2167
ko:K00166	babs:DK51_2168
ko:K10111	babs:DK51_2169
ko:K10119	babs:DK51_2171
ko:K10118	babs:DK51_2172
ko:K10117	babs:DK51_2173
ko:K10117	babs:DK51_2174
ko:K18676	babs:DK51_2175
ko:K03710	babs:DK51_2176
ko:K00426	babs:DK51_2178
ko:K00425	babs:DK51_2179
ko:K16012	babs:DK51_2180
ko:K16013	babs:DK51_2181
ko:K05564	babs:DK51_2183
ko:K05563	babs:DK51_2184
ko:K05562	babs:DK51_2185
ko:K05561	babs:DK51_2186
ko:K05560	babs:DK51_2187
ko:K05559	babs:DK51_2188
ko:K07078	babs:DK51_2190
ko:K03831	babs:DK51_2191
ko:K06207	babs:DK51_2940
ko:K03841	babs:DK51_2943
ko:K01624	babs:DK51_2944
ko:K00862	babs:DK51_2951
ko:K17204	babs:DK51_2953
ko:K17203	babs:DK51_2954
ko:K17202	babs:DK51_2955
ko:K07043	babs:DK51_2968
ko:K01153	babs:DK51_2969
ko:K01154	babs:DK51_2970
ko:K03427	babs:DK51_2971
ko:K01736	babs:DK51_1009
ko:K09778	babs:DK51_1011
ko:K03704	babs:DK51_1014
ko:K00208	babs:DK51_1016
ko:K00275	babs:DK51_1019
ko:K03179	babs:DK51_1020
ko:K01945	babs:DK51_1021
ko:K07566	babs:DK51_1029
ko:K01879	babs:DK51_1030
ko:K01878	babs:DK51_1032
ko:K02523	babs:DK51_1034
ko:K00147	babs:DK51_1769
ko:K00969	babs:DK51_1770
ko:K09710	babs:DK51_1771
ko:K00783	babs:DK51_1772
ko:K03797	babs:DK51_1775
ko:K08311	babs:DK51_1776
ko:K00140	babs:DK51_1780
ko:K00868	babs:DK51_1782
ko:K01673	babs:DK51_1783
ko:K03106	babs:DK51_1785
ko:K04092	babs:DK51_1786
ko:K02959	babs:DK51_1787
ko:K03744	babs:DK51_1788
ko:K06872	babs:DK51_1789
ko:K08988	babs:DK51_1790
ko:K15371	babs:DK51_1791
ko:K06902	babs:DK51_1792
ko:K00602	babs:DK51_1793
ko:K03799	babs:DK51_1797
ko:K01895	babs:DK51_1799
ko:K06997	babs:DK51_1802
ko:K01869	babs:DK51_1803
ko:K03643	babs:DK51_1804
ko:K00616	babs:DK51_1805
ko:K04066	babs:DK51_1806
ko:K02113	babs:DK51_1808
ko:K02111	babs:DK51_1809
ko:K02115	babs:DK51_1810
ko:K02112	babs:DK51_1811
ko:K02114	babs:DK51_1812
ko:K06075	babs:DK51_1813
ko:K00285	babs:DK51_1815
ko:K12658	babs:DK51_1816
ko:K01997	babs:DK51_1817
ko:K01998	babs:DK51_1818
ko:K01995	babs:DK51_1819
ko:K01996	babs:DK51_1820
ko:K01999	babs:DK51_1822
ko:K04080	babs:DK51_2566
ko:K01048	babs:DK51_2568
ko:K13589	babs:DK51_2571
ko:K07507	babs:DK51_2575
ko:K01531	babs:DK51_2578
ko:K00014	babs:DK51_2579
ko:K00627	babs:DK51_2580
ko:K11381	babs:DK51_2581
ko:K00059	babs:DK51_2584
ko:K01996	babs:DK51_2586
ko:K01995	babs:DK51_2587
ko:K01998	babs:DK51_2588
ko:K01997	babs:DK51_2589
ko:K03088	babs:DK51_2594
ko:K02364	babs:DK51_2598
ko:K02361	babs:DK51_2599
ko:K02363	babs:DK51_2600
ko:K01252	babs:DK51_2601
ko:K00216	babs:DK51_2602
ko:K02362	babs:DK51_2604
ko:K07335	babs:DK51_2605
ko:K02056	babs:DK51_2606
ko:K02057	babs:DK51_2607
ko:K02057	babs:DK51_2608
ko:K00852	babs:DK51_2610
ko:K18996	babs:DK51_2613
ko:K03497	babs:DK51_2614
ko:K03496	babs:DK51_2615
ko:K00459	babs:DK51_2981
ko:K03724	babs:DK51_2984
ko:K06953	babs:DK51_2985
ko:K07090	babs:DK51_2987
ko:K13582	babs:DK51_2988
ko:K09137	babs:DK51_2990
ko:K06199	babs:DK51_2991
ko:K06199	babs:DK51_2992
ko:K02298	babs:DK51_1403
ko:K02298	babs:DK51_1404
ko:K02297	babs:DK51_1405
ko:K08738	babs:DK51_1407
ko:K00979	babs:DK51_1408
ko:K04518	babs:DK51_1409
ko:K03426	babs:DK51_1410
ko:K02343	babs:DK51_1412
ko:K09747	babs:DK51_1413
ko:K06187	babs:DK51_1414
ko:K02945	babs:DK51_1418
ko:K00945	babs:DK51_1419
ko:K00800	babs:DK51_1420
ko:K01907	babs:DK51_1425
ko:K00253	babs:DK51_1426
ko:K01969	babs:DK51_1427
ko:K01968	babs:DK51_1428
ko:K01640	babs:DK51_1429
ko:K13766	babs:DK51_1430
ko:K01999	babs:DK51_1431
ko:K13893	babs:DK51_1433
ko:K13893	babs:DK51_1434
ko:K13894	babs:DK51_1435
ko:K13895	babs:DK51_1436
ko:K13896	babs:DK51_1437
ko:K12972	babs:DK51_1438
ko:K03629	babs:DK51_1440
ko:K02338	babs:DK51_1441
ko:K02313	babs:DK51_1442
