ko:K22010	lmr:LMR479A_1193
ko:K02417	lmr:LMR479A_0711
ko:K02389	lmr:LMR479A_0714
ko:K02390	lmr:LMR479A_0715
ko:K02417	lmr:LMR479A_0716
ko:K02416	lmr:LMR479A_0717
ko:K02417	lmr:LMR479A_0718
ko:K09770	lmr:LMR479A_0721
ko:K02396	lmr:LMR479A_0723
ko:K02397	lmr:LMR479A_0724
ko:K02407	lmr:LMR479A_0725
ko:K02422	lmr:LMR479A_0726
ko:K02387	lmr:LMR479A_0728
ko:K02388	lmr:LMR479A_0729
ko:K02408	lmr:LMR479A_0730
ko:K02409	lmr:LMR479A_0731
ko:K02410	lmr:LMR479A_0732
ko:K02411	lmr:LMR479A_0733
ko:K02412	lmr:LMR479A_0734
ko:K10947	lmr:LMR479A_0737
ko:K03555	lmr:LMR479A_1491
ko:K03572	lmr:LMR479A_1492
ko:K02443	lmr:LMR479A_1493
ko:K00656	lmr:LMR479A_1494
ko:K04069	lmr:LMR479A_1495
ko:K07727	lmr:LMR479A_1500
ko:K00626	lmr:LMR479A_1503
ko:K01641	lmr:LMR479A_1504
ko:K06902	lmr:LMR479A_1506
ko:K00075	lmr:LMR479A_1509
ko:K05847	lmr:LMR479A_1510
ko:K05845	lmr:LMR479A_1511
ko:K05846	lmr:LMR479A_1511
ko:K03322	lmr:LMR479A_1513
ko:K05846	lmr:LMR479A_1514
ko:K05845	lmr:LMR479A_1515
ko:K05846	lmr:LMR479A_1516
ko:K05847	lmr:LMR479A_1517
ko:K16789	lmr:LMR479A_1518
ko:K00383	lmr:LMR479A_1522
ko:K12574	lmr:LMR479A_1523
ko:K01714	lmr:LMR479A_1524
ko:K00928	lmr:LMR479A_1525
ko:K00133	lmr:LMR479A_1526
ko:K04564	lmr:LMR479A_1528
ko:K07533	lmr:LMR479A_1533
ko:K02076	lmr:LMR479A_1534
ko:K09816	lmr:LMR479A_1535
ko:K09817	lmr:LMR479A_1536
ko:K02773	lmr:LMR479A_2209
ko:K06215	lmr:LMR479A_2212
ko:K08681	lmr:LMR479A_2213
ko:K00625	lmr:LMR479A_2214
ko:K04758	lmr:LMR479A_2215
ko:K04759	lmr:LMR479A_2216
ko:K07098	lmr:LMR479A_2217
ko:K01443	lmr:LMR479A_2219
ko:K01809	lmr:LMR479A_2221
ko:K02003	lmr:LMR479A_2225
ko:K02004	lmr:LMR479A_2226
ko:K03431	lmr:LMR479A_2229
ko:K00691	lmr:LMR479A_2232
ko:K15772	lmr:LMR479A_2234
ko:K15771	lmr:LMR479A_2235
ko:K15770	lmr:LMR479A_2236
ko:K07052	lmr:LMR479A_2238
ko:K01698	lmr:LMR479A_1647
ko:K01719	lmr:LMR479A_1648
ko:K01749	lmr:LMR479A_1649
ko:K02492	lmr:LMR479A_1650
ko:K03978	lmr:LMR479A_1651
ko:K01868	lmr:LMR479A_1652
ko:K11144	lmr:LMR479A_1654
ko:K03346	lmr:LMR479A_1655
ko:K07738	lmr:LMR479A_1656
ko:K00859	lmr:LMR479A_1657
ko:K10563	lmr:LMR479A_1658
ko:K00031	lmr:LMR479A_1660
ko:K01647	lmr:LMR479A_1661
ko:K07113	lmr:LMR479A_1663
ko:K00873	lmr:LMR479A_1664
ko:K00850	lmr:LMR479A_1665
ko:K01962	lmr:LMR479A_1666
ko:K01963	lmr:LMR479A_1667
ko:K02337	lmr:LMR479A_1668
ko:K00259	lmr:LMR479A_1673
ko:K00014	lmr:LMR479A_2350
ko:K01992	lmr:LMR479A_2353
ko:K01990	lmr:LMR479A_2354
ko:K07979	lmr:LMR479A_2355
ko:K13531	lmr:LMR479A_2356
ko:K13530	lmr:LMR479A_2357
ko:K06180	lmr:LMR479A_2358
ko:K07220	lmr:LMR479A_2363
ko:K03306	lmr:LMR479A_2364
ko:K02029	lmr:LMR479A_2365
ko:K02030	lmr:LMR479A_2365
ko:K02028	lmr:LMR479A_2366
ko:K06901	lmr:LMR479A_2369
ko:K05520	lmr:LMR479A_2370
ko:K02759	lmr:LMR479A_2373
ko:K06889	lmr:LMR479A_2376
ko:K16898	lmr:LMR479A_2381
ko:K16899	lmr:LMR479A_2382
ko:K02250	lmr:LMR479A_2384
ko:K01624	lmr:LMR479A_2245
ko:K01624	lmr:LMR479A_2246
ko:K02768	lmr:LMR479A_2249
ko:K01990	lmr:LMR479A_2251
ko:K01992	lmr:LMR479A_2252
ko:K00058	lmr:LMR479A_2962
ko:K00831	lmr:LMR479A_2963
ko:K07078	lmr:LMR479A_2967
ko:K01838	lmr:LMR479A_2969
ko:K00865	lmr:LMR479A_2970
ko:K04844	lmr:LMR479A_2971
ko:K02026	lmr:LMR479A_2975
ko:K02025	lmr:LMR479A_2976
ko:K02027	lmr:LMR479A_2977
ko:K03534	lmr:LMR479A_2983
ko:K01629	lmr:LMR479A_2984
ko:K01813	lmr:LMR479A_2985
ko:K00848	lmr:LMR479A_2986
ko:K06610	lmr:LMR479A_2987
ko:K06346	lmr:LMR479A_2990
ko:K03217	lmr:LMR479A_2991
ko:K03536	lmr:LMR479A_2992
ko:K02914	lmr:LMR479A_2993
ko:K00158	lmr:LMR479A_0740
ko:K03406	lmr:LMR479A_0741
ko:K00820	lmr:LMR479A_0745
ko:K07726	lmr:LMR479A_0752
ko:K02529	lmr:LMR479A_0753
ko:K01783	lmr:LMR479A_0754
ko:K01808	lmr:LMR479A_0755
ko:K02755	lmr:LMR479A_0757
ko:K02756	lmr:LMR479A_0757
ko:K02757	lmr:LMR479A_0757
ko:K01223	lmr:LMR479A_0758
ko:K01990	lmr:LMR479A_0761
ko:K07729	lmr:LMR479A_0768
ko:K15975	lmr:LMR479A_0778
ko:K06999	lmr:LMR479A_0779
ko:K03665	lmr:LMR479A_0781
ko:K07098	lmr:LMR479A_0782
ko:K03800	lmr:LMR479A_0783
ko:K09704	lmr:LMR479A_0784
ko:K02025	lmr:LMR479A_0785
ko:K02026	lmr:LMR479A_0786
ko:K02027	lmr:LMR479A_0787
ko:K15986	lmr:LMR479A_1537
ko:K01151	lmr:LMR479A_1538
ko:K03527	lmr:LMR479A_1540
ko:K06967	lmr:LMR479A_1542
ko:K03086	lmr:LMR479A_1543
ko:K09768	lmr:LMR479A_1545
ko:K09773	lmr:LMR479A_1546
ko:K01879	lmr:LMR479A_1547
ko:K01878	lmr:LMR479A_1548
ko:K03584	lmr:LMR479A_1549
ko:K01489	lmr:LMR479A_1552
ko:K07042	lmr:LMR479A_1554
ko:K07037	lmr:LMR479A_1555
ko:K09117	lmr:LMR479A_1558
ko:K02970	lmr:LMR479A_1559
ko:K09761	lmr:LMR479A_1560
ko:K02687	lmr:LMR479A_1561
ko:K03686	lmr:LMR479A_1562
ko:K04043	lmr:LMR479A_1563
ko:K03687	lmr:LMR479A_1564
ko:K03705	lmr:LMR479A_1565
ko:K03596	lmr:LMR479A_1569
ko:K02968	lmr:LMR479A_1570
ko:K02340	lmr:LMR479A_1571
ko:K02238	lmr:LMR479A_1572
ko:K02237	lmr:LMR479A_1574
ko:K09710	lmr:LMR479A_1576
ko:K00969	lmr:LMR479A_1578
ko:K07574	lmr:LMR479A_1579
ko:K00014	lmr:LMR479A_1580
ko:K06948	lmr:LMR479A_1581
ko:K07015	lmr:LMR479A_1582
ko:K03710	lmr:LMR479A_2256
ko:K10778	lmr:LMR479A_0086
ko:K02110	lmr:LMR479A_0096
ko:K02113	lmr:LMR479A_0097
ko:K02111	lmr:LMR479A_0098
ko:K02115	lmr:LMR479A_0099
ko:K02112	lmr:LMR479A_0100
ko:K02114	lmr:LMR479A_0101
ko:K02793	lmr:LMR479A_0104
ko:K02794	lmr:LMR479A_0104
ko:K02795	lmr:LMR479A_0105
ko:K01183	lmr:LMR479A_0113
ko:K06147	lmr:LMR479A_0115
ko:K06147	lmr:LMR479A_0116
ko:K02759	lmr:LMR479A_0894
ko:K02760	lmr:LMR479A_0895
ko:K02761	lmr:LMR479A_0896
ko:K09167	lmr:LMR479A_0903
ko:K08981	lmr:LMR479A_0904
ko:K00231	lmr:LMR479A_0905
ko:K00997	lmr:LMR479A_0906
ko:K01775	lmr:LMR479A_0907
ko:K07723	lmr:LMR479A_0908
ko:K17763	lmr:LMR479A_0910
ko:K17762	lmr:LMR479A_0911
ko:K17752	lmr:LMR479A_0912
ko:K07315	lmr:LMR479A_0913
ko:K04757	lmr:LMR479A_0915
ko:K03090	lmr:LMR479A_0916
ko:K05518	lmr:LMR479A_0917
ko:K03321	lmr:LMR479A_0918
ko:K06959	lmr:LMR479A_0919
ko:K03095	lmr:LMR479A_0920
ko:K02761	lmr:LMR479A_0923
ko:K03492	lmr:LMR479A_0924
ko:K00383	lmr:LMR479A_0928
ko:K00135	lmr:LMR479A_0936
ko:K02760	lmr:LMR479A_0937
ko:K02761	lmr:LMR479A_0938
ko:K02759	lmr:LMR479A_0939
ko:K00925	lmr:LMR479A_1675
ko:K11065	lmr:LMR479A_1677
ko:K04773	lmr:LMR479A_1679
ko:K00858	lmr:LMR479A_1680
ko:K00611	lmr:LMR479A_1681
ko:K00930	lmr:LMR479A_1683
ko:K00620	lmr:LMR479A_1684
ko:K00145	lmr:LMR479A_1685
ko:K03151	lmr:LMR479A_1686
ko:K04487	lmr:LMR479A_1687
ko:K06286	lmr:LMR479A_1688
ko:K02986	lmr:LMR479A_1690
ko:K01866	lmr:LMR479A_1693
ko:K02529	lmr:LMR479A_1695
ko:K13853	lmr:LMR479A_1696
ko:K01924	lmr:LMR479A_1701
ko:K03466	lmr:LMR479A_1703
ko:K06878	lmr:LMR479A_1704
ko:K03439	lmr:LMR479A_1712
ko:K00824	lmr:LMR479A_1716
ko:K01439	lmr:LMR479A_1717
ko:K03574	lmr:LMR479A_1718
ko:K03700	lmr:LMR479A_2412
ko:K02250	lmr:LMR479A_2452
ko:K02768	lmr:LMR479A_2454
ko:K02769	lmr:LMR479A_2454
ko:K02770	lmr:LMR479A_2454
ko:K00882	lmr:LMR479A_2455
ko:K07035	lmr:LMR479A_2257
ko:K03671	lmr:LMR479A_2264
ko:K01759	lmr:LMR479A_2280
ko:K08177	lmr:LMR479A_2283
ko:K01026	lmr:LMR479A_2284
ko:K08600	lmr:LMR479A_2293
ko:K02013	lmr:LMR479A_2294
ko:K02015	lmr:LMR479A_2295
ko:K02016	lmr:LMR479A_2296
ko:K08602	lmr:LMR479A_2301
ko:K07052	lmr:LMR479A_p0023
ko:K02283	lmr:LMR479A_p0033
ko:K02313	lmr:LMR479A_0001
ko:K02338	lmr:LMR479A_0002
ko:K03629	lmr:LMR479A_0005
ko:K02470	lmr:LMR479A_0006
ko:K02469	lmr:LMR479A_0007
ko:K06131	lmr:LMR479A_0008
ko:K00657	lmr:LMR479A_0009
ko:K00869	lmr:LMR479A_0010
ko:K01597	lmr:LMR479A_0011
ko:K00938	lmr:LMR479A_0012
ko:K02826	lmr:LMR479A_0013
ko:K02827	lmr:LMR479A_0014
ko:K02828	lmr:LMR479A_0015
ko:K02829	lmr:LMR479A_0016
ko:K07282	lmr:LMR479A_0017
ko:K01223	lmr:LMR479A_0018
ko:K02793	lmr:LMR479A_0021
ko:K02794	lmr:LMR479A_0022
ko:K02795	lmr:LMR479A_0023
ko:K06201	lmr:LMR479A_0026
ko:K02795	lmr:LMR479A_0801
ko:K02794	lmr:LMR479A_0802
ko:K02793	lmr:LMR479A_0803
ko:K01118	lmr:LMR479A_0805
ko:K11737	lmr:LMR479A_0806
ko:K03976	lmr:LMR479A_0809
ko:K07150	lmr:LMR479A_0812
ko:K07118	lmr:LMR479A_0813
ko:K05786	lmr:LMR479A_0814
ko:K11733	lmr:LMR479A_0817
ko:K03316	lmr:LMR479A_0821
ko:K11072	lmr:LMR479A_0825
ko:K11071	lmr:LMR479A_0826
ko:K11070	lmr:LMR479A_0827
ko:K11069	lmr:LMR479A_0828
ko:K01674	lmr:LMR479A_0829
ko:K00847	lmr:LMR479A_0831
ko:K02371	lmr:LMR479A_0832
ko:K01243	lmr:LMR479A_1587
ko:K03624	lmr:LMR479A_1589
ko:K00876	lmr:LMR479A_1590
ko:K07082	lmr:LMR479A_1592
ko:K07447	lmr:LMR479A_1595
ko:K01872	lmr:LMR479A_1597
ko:K02003	lmr:LMR479A_1598
ko:K02004	lmr:LMR479A_1599
ko:K03581	lmr:LMR479A_1602
ko:K00566	lmr:LMR479A_1605
ko:K04487	lmr:LMR479A_1606
ko:K07478	lmr:LMR479A_1607
ko:K17472	lmr:LMR479A_1608
ko:K03320	lmr:LMR479A_1609
ko:K04751	lmr:LMR479A_1610
ko:K01876	lmr:LMR479A_1612
ko:K01892	lmr:LMR479A_1613
ko:K01448	lmr:LMR479A_1614
ko:K07560	lmr:LMR479A_1615
ko:K00951	lmr:LMR479A_1616
ko:K00759	lmr:LMR479A_1617
ko:K07462	lmr:LMR479A_1618
ko:K12257	lmr:LMR479A_1620
ko:K03210	lmr:LMR479A_1622
ko:K00773	lmr:LMR479A_1623
ko:K07568	lmr:LMR479A_1624
ko:K03551	lmr:LMR479A_1625
ko:K03550	lmr:LMR479A_1626
ko:K00016	lmr:LMR479A_1627
ko:K04518	lmr:LMR479A_1629
ko:K06198	lmr:LMR479A_2302
ko:K01448	lmr:LMR479A_0137
ko:K01081	lmr:LMR479A_0138
ko:K00088	lmr:LMR479A_0140
ko:K06975	lmr:LMR479A_0142
ko:K02035	lmr:LMR479A_0143
ko:K02033	lmr:LMR479A_0144
ko:K02034	lmr:LMR479A_0145
ko:K02035	lmr:LMR479A_0161
ko:K09815	lmr:LMR479A_0162
ko:K09817	lmr:LMR479A_0163
ko:K09816	lmr:LMR479A_0164
ko:K17763	lmr:LMR479A_0170
ko:K02341	lmr:LMR479A_0171
ko:K07461	lmr:LMR479A_0175
ko:K07056	lmr:LMR479A_0176
ko:K06284	lmr:LMR479A_0177
ko:K05340	lmr:LMR479A_0178
ko:K01223	lmr:LMR479A_0940
ko:K03491	lmr:LMR479A_0941
ko:K07089	lmr:LMR479A_0943
ko:K08986	lmr:LMR479A_0944
ko:K00867	lmr:LMR479A_0945
ko:K03652	lmr:LMR479A_0950
ko:K07284	lmr:LMR479A_0951
ko:K03800	lmr:LMR479A_0953
ko:K03216	lmr:LMR479A_0957
ko:K01104	lmr:LMR479A_0960
ko:K04079	lmr:LMR479A_0964
ko:K04047	lmr:LMR479A_0965
ko:K03449	lmr:LMR479A_0970
ko:K01443	lmr:LMR479A_0980
ko:K02564	lmr:LMR479A_0981
ko:K03710	lmr:LMR479A_0982
ko:K02851	lmr:LMR479A_0983
ko:K08303	lmr:LMR479A_0985
ko:K03744	lmr:LMR479A_0986
ko:K03799	lmr:LMR479A_0987
ko:K01695	lmr:LMR479A_1724
ko:K01696	lmr:LMR479A_1725
ko:K01817	lmr:LMR479A_1726
ko:K01609	lmr:LMR479A_1727
ko:K00766	lmr:LMR479A_1728
ko:K01658	lmr:LMR479A_1729
ko:K01657	lmr:LMR479A_1730
ko:K04072	lmr:LMR479A_1731
ko:K01246	lmr:LMR479A_1736
ko:K01681	lmr:LMR479A_1738
ko:K03547	lmr:LMR479A_1743
ko:K00655	lmr:LMR479A_1744
ko:K02357	lmr:LMR479A_1756
ko:K02967	lmr:LMR479A_1757
ko:K01869	lmr:LMR479A_1759
ko:K07139	lmr:LMR479A_1760
ko:K01953	lmr:LMR479A_1762
ko:K00789	lmr:LMR479A_1763
ko:K03436	lmr:LMR479A_2456
ko:K01372	lmr:LMR479A_2457
ko:K16329	lmr:LMR479A_2459
ko:K06183	lmr:LMR479A_2461
ko:K16959	lmr:LMR479A_2466
ko:K16958	lmr:LMR479A_2467
ko:K16957	lmr:LMR479A_2468
ko:K00299	lmr:LMR479A_2470
ko:K02564	lmr:LMR479A_2478
ko:K01421	lmr:LMR479A_2480
ko:K01580	lmr:LMR479A_2484
ko:K16511	lmr:LMR479A_2303
ko:K16509	lmr:LMR479A_2304
ko:K15582	lmr:LMR479A_2307
ko:K15581	lmr:LMR479A_2308
ko:K15580	lmr:LMR479A_2309
ko:K01867	lmr:LMR479A_2311
ko:K09458	lmr:LMR479A_2314
ko:K00648	lmr:LMR479A_2315
ko:K01834	lmr:LMR479A_2319
ko:K03695	lmr:LMR479A_2320
ko:K06890	lmr:LMR479A_2321
ko:K06976	lmr:LMR479A_2323
ko:K01772	lmr:LMR479A_2325
ko:K01599	lmr:LMR479A_2326
ko:K01992	lmr:LMR479A_2328
ko:K01990	lmr:LMR479A_2329
ko:K02503	lmr:LMR479A_2330
ko:K07533	lmr:LMR479A_2333
ko:K03698	lmr:LMR479A_2334
ko:K01679	lmr:LMR479A_2339
ko:K01992	lmr:LMR479A_2340
ko:K01990	lmr:LMR479A_2341
ko:K12555	lmr:LMR479A_2343
ko:K01534	lmr:LMR479A_p0062
ko:K01533	lmr:LMR479A_p0067
ko:K06915	lmr:LMR479A_p0070
ko:K01534	lmr:LMR479A_p0071
ko:K04047	lmr:LMR479A_p0074
ko:K02069	lmr:LMR479A_p0077
ko:K02068	lmr:LMR479A_p0078
ko:K02002	lmr:LMR479A_p0089
ko:K01874	lmr:LMR479A_0186
ko:K02025	lmr:LMR479A_0188
ko:K02026	lmr:LMR479A_0189
ko:K02027	lmr:LMR479A_0190
ko:K01187	lmr:LMR479A_0192
ko:K01182	lmr:LMR479A_0193
ko:K03424	lmr:LMR479A_0194
ko:K05985	lmr:LMR479A_0196
ko:K02528	lmr:LMR479A_0197
ko:K00919	lmr:LMR479A_0199
ko:K03478	lmr:LMR479A_0200
ko:K09685	lmr:LMR479A_0201
ko:K02005	lmr:LMR479A_0202
ko:K02003	lmr:LMR479A_0203
ko:K02004	lmr:LMR479A_0204
ko:K06412	lmr:LMR479A_0205
ko:K06412	lmr:LMR479A_0206
ko:K04042	lmr:LMR479A_0207
ko:K00948	lmr:LMR479A_0208
ko:K01771	lmr:LMR479A_0210
ko:K11031	lmr:LMR479A_0211
ko:K01114	lmr:LMR479A_0214
ko:K00016	lmr:LMR479A_0219
ko:K02897	lmr:LMR479A_0220
ko:K01056	lmr:LMR479A_0222
ko:K03723	lmr:LMR479A_0223
ko:K07571	lmr:LMR479A_0227
ko:K03798	lmr:LMR479A_0229
ko:K03525	lmr:LMR479A_0230
ko:K04083	lmr:LMR479A_0231
ko:K07816	lmr:LMR479A_0991
ko:K00858	lmr:LMR479A_0992
ko:K06180	lmr:LMR479A_0994
ko:K00208	lmr:LMR479A_0995
ko:K03740	lmr:LMR479A_0996
ko:K14188	lmr:LMR479A_0997
ko:K03739	lmr:LMR479A_0998
ko:K03367	lmr:LMR479A_0999
ko:K01807	lmr:LMR479A_1001
ko:K00826	lmr:LMR479A_1004
ko:K01990	lmr:LMR479A_1005
ko:K01992	lmr:LMR479A_1006
ko:K00432	lmr:LMR479A_1009
ko:K11050	lmr:LMR479A_1012
ko:K11051	lmr:LMR479A_1013
ko:K02837	lmr:LMR479A_1014
ko:K00567	lmr:LMR479A_1022
ko:K03697	lmr:LMR479A_1023
ko:K07052	lmr:LMR479A_1024
ko:K10027	lmr:LMR479A_1026
ko:K11189	lmr:LMR479A_1028
ko:K08483	lmr:LMR479A_1029
ko:K00841	lmr:LMR479A_1032
ko:K05822	lmr:LMR479A_1037
ko:K05823	lmr:LMR479A_1038
ko:K00016	lmr:LMR479A_1766
ko:K08998	lmr:LMR479A_1769
ko:K09815	lmr:LMR479A_1770
ko:K01911	lmr:LMR479A_1771
ko:K01661	lmr:LMR479A_1772
ko:K08680	lmr:LMR479A_1773
ko:K02551	lmr:LMR479A_1774
ko:K02552	lmr:LMR479A_1775
ko:K02548	lmr:LMR479A_1776
ko:K01760	lmr:LMR479A_1778
ko:K01739	lmr:LMR479A_1779
ko:K00549	lmr:LMR479A_1780
ko:K09825	lmr:LMR479A_1785
ko:K01845	lmr:LMR479A_1787
ko:K07586	lmr:LMR479A_1789
ko:K10780	lmr:LMR479A_1790
ko:K03575	lmr:LMR479A_1791
ko:K07038	lmr:LMR479A_1793
ko:K01810	lmr:LMR479A_2491
ko:K03574	lmr:LMR479A_2492
ko:K07570	lmr:LMR479A_2493
ko:K14155	lmr:LMR479A_2494
ko:K02004	lmr:LMR479A_2495
ko:K02003	lmr:LMR479A_2496
ko:K02760	lmr:LMR479A_2497
ko:K00928	lmr:LMR479A_2498
ko:K03768	lmr:LMR479A_2500
