ko:K09796	mmv:MYCMA_1220
ko:K11084	mmv:MYCMA_0821
ko:K11533	mmv:MYCMA_0826
ko:K00997	mmv:MYCMA_0827
ko:K03564	mmv:MYCMA_0828
ko:K01868	mmv:MYCMA_1606
ko:K11738	mmv:MYCMA_1611
ko:K07402	mmv:MYCMA_1619
ko:K11103	mmv:MYCMA_1626
ko:K01477	mmv:MYCMA_1627
ko:K06916	mmv:MYCMA_1642
ko:K00231	mmv:MYCMA_1647
ko:K01599	mmv:MYCMA_1648
ko:K03684	mmv:MYCMA_1649
ko:K01662	mmv:MYCMA_1650
ko:K03313	mmv:MYCMA_1651
ko:K01644	mmv:MYCMA_2431
ko:K05596	mmv:MYCMA_2433
ko:K06895	mmv:MYCMA_2437
ko:K03921	mmv:MYCMA_2444
ko:K04756	mmv:MYCMA_2447
ko:K04761	mmv:MYCMA_2449
ko:K00823	mmv:MYCMA_2454
ko:K07246	mmv:MYCMA_2456
ko:K00239	mmv:MYCMA_2457
ko:K00240	mmv:MYCMA_2458
ko:K01840	mmv:MYCMA_1977
ko:K01840	mmv:MYCMA_2013
ko:K03282	mmv:MYCMA_0580
ko:K00963	mmv:MYCMA_0581
ko:K03750	mmv:MYCMA_0582
ko:K03790	mmv:MYCMA_0583
ko:K07056	mmv:MYCMA_0591
ko:K01665	mmv:MYCMA_0592
ko:K01874	mmv:MYCMA_0594
ko:K03424	mmv:MYCMA_0595
ko:K02528	mmv:MYCMA_0597
ko:K11738	mmv:MYCMA_0598
ko:K00919	mmv:MYCMA_0603
ko:K01056	mmv:MYCMA_0606
ko:K02897	mmv:MYCMA_0607
ko:K00948	mmv:MYCMA_0610
ko:K04042	mmv:MYCMA_0611
ko:K01586	mmv:MYCMA_0613
ko:K03723	mmv:MYCMA_0614
ko:K07243	mmv:MYCMA_0616
ko:K07224	mmv:MYCMA_0619
ko:K01689	mmv:MYCMA_0620
ko:K01524	mmv:MYCMA_0621
ko:K01996	mmv:MYCMA_1416
ko:K01999	mmv:MYCMA_1419
ko:K00425	mmv:MYCMA_1423
ko:K00426	mmv:MYCMA_1424
ko:K10805	mmv:MYCMA_1428
ko:K00873	mmv:MYCMA_1429
ko:K01695	mmv:MYCMA_1432
ko:K01696	mmv:MYCMA_1433
ko:K01609	mmv:MYCMA_1434
ko:K01657	mmv:MYCMA_1435
ko:K03564	mmv:MYCMA_1445
ko:K02500	mmv:MYCMA_1446
ko:K02501	mmv:MYCMA_1449
ko:K01693	mmv:MYCMA_1450
ko:K00817	mmv:MYCMA_1451
ko:K00013	mmv:MYCMA_1452
ko:K00767	mmv:MYCMA_1453
ko:K01845	mmv:MYCMA_2214
ko:K01698	mmv:MYCMA_2217
ko:K13542	mmv:MYCMA_2218
ko:K01749	mmv:MYCMA_2219
ko:K02492	mmv:MYCMA_2220
ko:K00286	mmv:MYCMA_2227
ko:K01524	mmv:MYCMA_2234
ko:K00075	mmv:MYCMA_2265
ko:K13063	mmv:MYCMA_0160
ko:K02343	mmv:MYCMA_0163
ko:K00574	mmv:MYCMA_0164
ko:K01689	mmv:MYCMA_0165
ko:K06187	mmv:MYCMA_0168
ko:K02954	mmv:MYCMA_0173
ko:K01649	mmv:MYCMA_0175
ko:K00928	mmv:MYCMA_0177
ko:K00133	mmv:MYCMA_0179
ko:K03781	mmv:MYCMA_0183
ko:K03320	mmv:MYCMA_0185
ko:K01443	mmv:MYCMA_0188
ko:K00820	mmv:MYCMA_0189
ko:K01919	mmv:MYCMA_0193
ko:K07008	mmv:MYCMA_0195
ko:K02440	mmv:MYCMA_0199
ko:K00864	mmv:MYCMA_0200
ko:K03924	mmv:MYCMA_0201
ko:K03582	mmv:MYCMA_0205
ko:K03583	mmv:MYCMA_0206
ko:K01738	mmv:MYCMA_0208
ko:K00606	mmv:MYCMA_0992
ko:K01915	mmv:MYCMA_0997
ko:K00982	mmv:MYCMA_0998
ko:K15977	mmv:MYCMA_1002
ko:K05523	mmv:MYCMA_1003
ko:K01915	mmv:MYCMA_1004
ko:K03644	mmv:MYCMA_1009
ko:K03801	mmv:MYCMA_1010
ko:K07071	mmv:MYCMA_1011
ko:K01255	mmv:MYCMA_1013
ko:K00432	mmv:MYCMA_0370
ko:K01952	mmv:MYCMA_0372
ko:K07223	mmv:MYCMA_0374
ko:K01952	mmv:MYCMA_0376
ko:K00764	mmv:MYCMA_0377
ko:K02034	mmv:MYCMA_0382
ko:K01933	mmv:MYCMA_0386
ko:K02040	mmv:MYCMA_0393
ko:K02037	mmv:MYCMA_0394
ko:K02038	mmv:MYCMA_0395
ko:K02036	mmv:MYCMA_0396
ko:K02039	mmv:MYCMA_0398
ko:K03921	mmv:MYCMA_0401
ko:K00074	mmv:MYCMA_0402
ko:K00466	mmv:MYCMA_0419
ko:K15371	mmv:MYCMA_0421
ko:K03710	mmv:MYCMA_1197
ko:K03762	mmv:MYCMA_1215
ko:K10674	mmv:MYCMA_1216
ko:K00836	mmv:MYCMA_1217
ko:K06718	mmv:MYCMA_1218
ko:K03449	mmv:MYCMA_1222
ko:K02945	mmv:MYCMA_1234
ko:K00859	mmv:MYCMA_1235
ko:K03702	mmv:MYCMA_1241
ko:K13639	mmv:MYCMA_1242
ko:K00761	mmv:MYCMA_2014
ko:K00239	mmv:MYCMA_2019
ko:K00240	mmv:MYCMA_2020
ko:K07058	mmv:MYCMA_2023
ko:K01867	mmv:MYCMA_2024
ko:K01142	mmv:MYCMA_2025
ko:K00031	mmv:MYCMA_2026
ko:K01740	mmv:MYCMA_2027
ko:K00641	mmv:MYCMA_2028
ko:K01491	mmv:MYCMA_2030
ko:K07118	mmv:MYCMA_2033
ko:K03216	mmv:MYCMA_2035
ko:K01951	mmv:MYCMA_2042
ko:K03088	mmv:MYCMA_2048
ko:K04077	mmv:MYCMA_2049
ko:K03789	mmv:MYCMA_2051
ko:K06925	mmv:MYCMA_2053
ko:K01775	mmv:MYCMA_2054
ko:K00820	mmv:MYCMA_2058
ko:K00605	mmv:MYCMA_1014
ko:K00826	mmv:MYCMA_1015
ko:K00768	mmv:MYCMA_1018
ko:K02231	mmv:MYCMA_1019
ko:K00865	mmv:MYCMA_1021
ko:K01953	mmv:MYCMA_1025
ko:K02275	mmv:MYCMA_1026
ko:K00766	mmv:MYCMA_1034
ko:K00655	mmv:MYCMA_1040
ko:K03530	mmv:MYCMA_1811
ko:K01704	mmv:MYCMA_1812
ko:K01703	mmv:MYCMA_1813
ko:K00052	mmv:MYCMA_1818
ko:K10679	mmv:MYCMA_1823
ko:K00053	mmv:MYCMA_1828
ko:K01653	mmv:MYCMA_1829
ko:K01652	mmv:MYCMA_1830
ko:K02434	mmv:MYCMA_1837
ko:K01972	mmv:MYCMA_1844
ko:K04719	mmv:MYCMA_1848
ko:K06901	mmv:MYCMA_1849
ko:K03921	mmv:MYCMA_1850
ko:K00566	mmv:MYCMA_1852
ko:K04487	mmv:MYCMA_1853
ko:K03522	mmv:MYCMA_1854
ko:K03521	mmv:MYCMA_1855
ko:K02939	mmv:MYCMA_2648
ko:K01858	mmv:MYCMA_2654
ko:K11735	mmv:MYCMA_2656
ko:K00627	mmv:MYCMA_2660
ko:K00162	mmv:MYCMA_2661
ko:K00161	mmv:MYCMA_2662
ko:K07148	mmv:MYCMA_2664
ko:K01869	mmv:MYCMA_2666
ko:K07735	mmv:MYCMA_2668
ko:K07090	mmv:MYCMA_2671
ko:K00140	mmv:MYCMA_0632
ko:K08289	mmv:MYCMA_0633
ko:K01697	mmv:MYCMA_0636
ko:K01754	mmv:MYCMA_0639
ko:K03624	mmv:MYCMA_0641
ko:K06888	mmv:MYCMA_0643
ko:K11068	mmv:MYCMA_0645
ko:K05846	mmv:MYCMA_0657
ko:K05847	mmv:MYCMA_0658
ko:K05845	mmv:MYCMA_0660
ko:K00600	mmv:MYCMA_0663
ko:K07175	mmv:MYCMA_0665
ko:K03601	mmv:MYCMA_0671
ko:K03527	mmv:MYCMA_0673
ko:K06200	mmv:MYCMA_0674
ko:K06942	mmv:MYCMA_0676
ko:K00278	mmv:MYCMA_1454
ko:K03517	mmv:MYCMA_1455
ko:K00116	mmv:MYCMA_1459
ko:K01012	mmv:MYCMA_1461
ko:K01935	mmv:MYCMA_1463
ko:K00833	mmv:MYCMA_1465
ko:K01754	mmv:MYCMA_1468
ko:K02337	mmv:MYCMA_1470
ko:K05786	mmv:MYCMA_1471
ko:K06180	mmv:MYCMA_1472
ko:K03101	mmv:MYCMA_1473
ko:K02346	mmv:MYCMA_1474
ko:K01870	mmv:MYCMA_1475
ko:K01772	mmv:MYCMA_1486
ko:K03924	mmv:MYCMA_1490
ko:K01681	mmv:MYCMA_1493
ko:K11717	mmv:MYCMA_1503
ko:K09013	mmv:MYCMA_1504
ko:K00574	mmv:MYCMA_2276
ko:K09967	mmv:MYCMA_2277
ko:K00074	mmv:MYCMA_2279
ko:K01637	mmv:MYCMA_2280
ko:K00973	mmv:MYCMA_2290
ko:K07110	mmv:MYCMA_2294
ko:K01673	mmv:MYCMA_2300
ko:K00382	mmv:MYCMA_2301
ko:K00697	mmv:MYCMA_2308
ko:K02066	mmv:MYCMA_2309
ko:K02066	mmv:MYCMA_2310
ko:K00252	mmv:MYCMA_0423
ko:K14267	mmv:MYCMA_0435
ko:K03637	mmv:MYCMA_0442
ko:K03639	mmv:MYCMA_0445
ko:K03704	mmv:MYCMA_0446
ko:K03701	mmv:MYCMA_1246
ko:K04567	mmv:MYCMA_1249
ko:K02520	mmv:MYCMA_1250
ko:K02887	mmv:MYCMA_1251
ko:K03437	mmv:MYCMA_1252
ko:K13529	mmv:MYCMA_1255
ko:K01889	mmv:MYCMA_1256
ko:K01890	mmv:MYCMA_1257
ko:K00145	mmv:MYCMA_1258
ko:K02338	mmv:MYCMA_0002
ko:K03629	mmv:MYCMA_0004
ko:K02470	mmv:MYCMA_0006
ko:K00675	mmv:MYCMA_0007
ko:K02469	mmv:MYCMA_0009
ko:K01725	mmv:MYCMA_0033
ko:K11921	mmv:MYCMA_0034
ko:K10773	mmv:MYCMA_0215
ko:K01895	mmv:MYCMA_0219
ko:K02283	mmv:MYCMA_0226
ko:K01738	mmv:MYCMA_0230
ko:K03168	mmv:MYCMA_0241
ko:K02341	mmv:MYCMA_0243
ko:K06978	mmv:MYCMA_0246
ko:K07259	mmv:MYCMA_0256
ko:K00760	mmv:MYCMA_0258
ko:K09807	mmv:MYCMA_0259
ko:K09807	mmv:MYCMA_0260
ko:K01626	mmv:MYCMA_1042
ko:K00297	mmv:MYCMA_1044
ko:K03438	mmv:MYCMA_1046
ko:K03587	mmv:MYCMA_1047
ko:K01928	mmv:MYCMA_1048
ko:K01929	mmv:MYCMA_1049
ko:K01000	mmv:MYCMA_1050
ko:K01925	mmv:MYCMA_1051
ko:K03588	mmv:MYCMA_1052
ko:K02563	mmv:MYCMA_1053
ko:K01924	mmv:MYCMA_1054
ko:K03589	mmv:MYCMA_1055
ko:K03531	mmv:MYCMA_1056
ko:K06997	mmv:MYCMA_1057
ko:K09772	mmv:MYCMA_1058
ko:K09458	mmv:MYCMA_1062
ko:K02013	mmv:MYCMA_1865
ko:K01079	mmv:MYCMA_1868
ko:K02016	mmv:MYCMA_1870
ko:K02471	mmv:MYCMA_1872
ko:K13979	mmv:MYCMA_1873
ko:K03088	mmv:MYCMA_1888
ko:K12410	mmv:MYCMA_1896
ko:K13993	mmv:MYCMA_1909
ko:K01652	mmv:MYCMA_1910
ko:K03980	mmv:MYCMA_2673
ko:K03088	mmv:MYCMA_2674
ko:K00384	mmv:MYCMA_2675
ko:K03671	mmv:MYCMA_2676
ko:K03501	mmv:MYCMA_2681
ko:K03217	mmv:MYCMA_2683
ko:K00620	mmv:MYCMA_1259
ko:K00930	mmv:MYCMA_1260
ko:K00611	mmv:MYCMA_1262
ko:K03402	mmv:MYCMA_1263
ko:K01940	mmv:MYCMA_1264
ko:K01755	mmv:MYCMA_1265
ko:K03652	mmv:MYCMA_1267
ko:K01866	mmv:MYCMA_1268
ko:K06442	mmv:MYCMA_1271
ko:K00858	mmv:MYCMA_1272
ko:K03631	mmv:MYCMA_1273
ko:K01937	mmv:MYCMA_1275
ko:K05896	mmv:MYCMA_1279
ko:K06024	mmv:MYCMA_1280
ko:K06178	mmv:MYCMA_1281
ko:K00945	mmv:MYCMA_1282
ko:K03977	mmv:MYCMA_1283
ko:K03070	mmv:MYCMA_1296
ko:K03431	mmv:MYCMA_2061
ko:K02871	mmv:MYCMA_2063
ko:K03466	mmv:MYCMA_2064
ko:K06173	mmv:MYCMA_2074
ko:K02879	mmv:MYCMA_2075
ko:K03040	mmv:MYCMA_2076
ko:K02986	mmv:MYCMA_2077
ko:K02948	mmv:MYCMA_2078
ko:K02952	mmv:MYCMA_2079
ko:K01790	mmv:MYCMA_2082
ko:K01265	mmv:MYCMA_2083
ko:K03076	mmv:MYCMA_2085
ko:K04773	mmv:MYCMA_2088
ko:K02876	mmv:MYCMA_2090
ko:K02988	mmv:MYCMA_2091
ko:K02881	mmv:MYCMA_2092
ko:K02933	mmv:MYCMA_2093
ko:K02994	mmv:MYCMA_2094
ko:K00262	mmv:MYCMA_2095
ko:K02931	mmv:MYCMA_2097
ko:K02895	mmv:MYCMA_2098
ko:K02874	mmv:MYCMA_2099
ko:K02961	mmv:MYCMA_2103
ko:K02878	mmv:MYCMA_2104
ko:K02982	mmv:MYCMA_2105
ko:K02890	mmv:MYCMA_2106
ko:K02886	mmv:MYCMA_2107
ko:K02892	mmv:MYCMA_2108
ko:K02926	mmv:MYCMA_2109
ko:K02906	mmv:MYCMA_2110
ko:K02946	mmv:MYCMA_2111
ko:K13288	mmv:MYCMA_0841
ko:K06915	mmv:MYCMA_0842
ko:K07124	mmv:MYCMA_0844
ko:K11103	mmv:MYCMA_0846
ko:K00955	mmv:MYCMA_0848
ko:K00957	mmv:MYCMA_0849
ko:K15371	mmv:MYCMA_0855
ko:K06886	mmv:MYCMA_0858
ko:K01256	mmv:MYCMA_0861
ko:K01808	mmv:MYCMA_0863
ko:K03545	mmv:MYCMA_0868
ko:K01358	mmv:MYCMA_0869
ko:K01358	mmv:MYCMA_0870
ko:K02379	mmv:MYCMA_0875
ko:K03752	mmv:MYCMA_0877
ko:K01873	mmv:MYCMA_0879
ko:K11754	mmv:MYCMA_0880
ko:K02888	mmv:MYCMA_0883
ko:K03979	mmv:MYCMA_0884
ko:K00886	mmv:MYCMA_1659
ko:K03086	mmv:MYCMA_1660
ko:K09930	mmv:MYCMA_1665
ko:K00322	mmv:MYCMA_1668
ko:K07738	mmv:MYCMA_1671
ko:K01356	mmv:MYCMA_1672
ko:K03665	mmv:MYCMA_1675
ko:K01778	mmv:MYCMA_1676
ko:K00791	mmv:MYCMA_1677
ko:K06168	mmv:MYCMA_1679
ko:K10008	mmv:MYCMA_1680
ko:K10007	mmv:MYCMA_1682
ko:K00995	mmv:MYCMA_1686
ko:K01714	mmv:MYCMA_1692
ko:K00215	mmv:MYCMA_1699
ko:K01673	mmv:MYCMA_1700
ko:K00259	mmv:MYCMA_1702
ko:K00962	mmv:MYCMA_1706
ko:K11753	mmv:MYCMA_1707
ko:K02048	mmv:MYCMA_2471
ko:K01207	mmv:MYCMA_2477
ko:K03088	mmv:MYCMA_2478
ko:K03439	mmv:MYCMA_2496
ko:K06929	mmv:MYCMA_2507
ko:K01969	mmv:MYCMA_2512
ko:K01687	mmv:MYCMA_2514
ko:K03088	mmv:MYCMA_2518
ko:K01738	mmv:MYCMA_0678
ko:K11065	mmv:MYCMA_0682
ko:K01433	mmv:MYCMA_0689
ko:K06207	mmv:MYCMA_0691
ko:K00318	mmv:MYCMA_0702
ko:K06966	mmv:MYCMA_0709
ko:K00796	mmv:MYCMA_0712
ko:K01246	mmv:MYCMA_0713
ko:K00975	mmv:MYCMA_0715
ko:K03088	mmv:MYCMA_0719
ko:K03117	mmv:MYCMA_0721
ko:K01644	mmv:MYCMA_0723
ko:K09015	mmv:MYCMA_1505
ko:K00615	mmv:MYCMA_1510
ko:K00036	mmv:MYCMA_1512
ko:K01057	mmv:MYCMA_1513
ko:K01803	mmv:MYCMA_1518
ko:K00927	mmv:MYCMA_1519
ko:K00134	mmv:MYCMA_1520
ko:K06958	mmv:MYCMA_1523
ko:K03703	mmv:MYCMA_1524
ko:K02020	mmv:MYCMA_1525
ko:K03736	mmv:MYCMA_1527
ko:K03735	mmv:MYCMA_1528
ko:K00794	mmv:MYCMA_1533
ko:K14652	mmv:MYCMA_1534
ko:K00793	mmv:MYCMA_1535
ko:K02072	mmv:MYCMA_1536
ko:K02071	mmv:MYCMA_1537
ko:K02073	mmv:MYCMA_1538
ko:K11752	mmv:MYCMA_1542
ko:K01783	mmv:MYCMA_1543
ko:K03500	mmv:MYCMA_1544
ko:K00604	mmv:MYCMA_1545
ko:K04066	mmv:MYCMA_1546
ko:K01464	mmv:MYCMA_1549
ko:K00789	mmv:MYCMA_1551
ko:K13038	mmv:MYCMA_1552
ko:K03060	mmv:MYCMA_1553
ko:K00942	mmv:MYCMA_1554
ko:K00528	mmv:MYCMA_2320
ko:K07560	mmv:MYCMA_2323
ko:K00957	mmv:MYCMA_2325
ko:K00955	mmv:MYCMA_2326
ko:K06048	mmv:MYCMA_2327
ko:K01462	mmv:MYCMA_2329
ko:K01142	mmv:MYCMA_2331
ko:K03147	mmv:MYCMA_2333
ko:K00941	mmv:MYCMA_2334
ko:K03149	mmv:MYCMA_2346
ko:K00788	mmv:MYCMA_2348
ko:K00925	mmv:MYCMA_2352
ko:K13788	mmv:MYCMA_2353
ko:K02029	mmv:MYCMA_2360
ko:K10764	mmv:MYCMA_2362
ko:K08289	mmv:MYCMA_2364
ko:K01939	mmv:MYCMA_2366
ko:K01624	mmv:MYCMA_2367
ko:K03798	mmv:MYCMA_0265
ko:K01495	mmv:MYCMA_0266
ko:K00796	mmv:MYCMA_0267
ko:K01633	mmv:MYCMA_0268
ko:K00950	mmv:MYCMA_0269
ko:K01918	mmv:MYCMA_0270
ko:K01579	mmv:MYCMA_0271
ko:K03525	mmv:MYCMA_0272
ko:K00831	mmv:MYCMA_0481
ko:K00528	mmv:MYCMA_0483
ko:K01647	mmv:MYCMA_0485
ko:K00275	mmv:MYCMA_0486
ko:K01647	mmv:MYCMA_0496
ko:K03710	mmv:MYCMA_0503
ko:K09861	mmv:MYCMA_0516
ko:K06996	mmv:MYCMA_0517
ko:K02346	mmv:MYCMA_0518
ko:K02437	mmv:MYCMA_1301
ko:K08999	mmv:MYCMA_1304
ko:K00281	mmv:MYCMA_1306
ko:K01638	mmv:MYCMA_1308
ko:K01430	mmv:MYCMA_1315
ko:K01429	mmv:MYCMA_1316
ko:K01428	mmv:MYCMA_1317
ko:K03188	mmv:MYCMA_1318
ko:K03189	mmv:MYCMA_1319
ko:K03190	mmv:MYCMA_1320
ko:K03885	mmv:MYCMA_1321
ko:K02020	mmv:MYCMA_1324
ko:K02018	mmv:MYCMA_1325
ko:K06199	mmv:MYCMA_1328
ko:K06153	mmv:MYCMA_1333
ko:K03782	mmv:MYCMA_1343
ko:K03736	mmv:MYCMA_2114
ko:K02358	mmv:MYCMA_2129
ko:K02355	mmv:MYCMA_2130
ko:K02992	mmv:MYCMA_2131
ko:K02950	mmv:MYCMA_2132
ko:K09456	mmv:MYCMA_2136
ko:K03046	mmv:MYCMA_2138
ko:K03043	mmv:MYCMA_2139
ko:K02065	mmv:MYCMA_2141
ko:K02935	mmv:MYCMA_2143
ko:K02864	mmv:MYCMA_2144
ko:K00574	mmv:MYCMA_2146
ko:K00111	mmv:MYCMA_2147
ko:K03088	mmv:MYCMA_2152
ko:K02863	mmv:MYCMA_2155
ko:K02867	mmv:MYCMA_2156
ko:K02601	mmv:MYCMA_2157
ko:K03073	mmv:MYCMA_2158
ko:K16048	mmv:MYCMA_0299
ko:K00266	mmv:MYCMA_0058
ko:K01265	mmv:MYCMA_0059
ko:K02553	mmv:MYCMA_0067
ko:K04564	mmv:MYCMA_0070
ko:K01126	mmv:MYCMA_0073
ko:K00156	mmv:MYCMA_0081
ko:K07507	mmv:MYCMA_0088
ko:K01875	mmv:MYCMA_0090
ko:K00459	mmv:MYCMA_0093
ko:K00931	mmv:MYCMA_0885
ko:K00969	mmv:MYCMA_0888
ko:K09710	mmv:MYCMA_0889
ko:K02237	mmv:MYCMA_0892
ko:K00459	mmv:MYCMA_0897
ko:K02048	mmv:MYCMA_0899
ko:K02046	mmv:MYCMA_0900
ko:K02047	mmv:MYCMA_0901
ko:K02045	mmv:MYCMA_0902
ko:K00957	mmv:MYCMA_0904
ko:K00390	mmv:MYCMA_0905
ko:K03705	mmv:MYCMA_0908
ko:K03686	mmv:MYCMA_0909
ko:K09761	mmv:MYCMA_0910
ko:K07042	mmv:MYCMA_0912
ko:K03584	mmv:MYCMA_0916
ko:K00836	mmv:MYCMA_0921
ko:K13745	mmv:MYCMA_0922
ko:K01880	mmv:MYCMA_0927
ko:K15372	mmv:MYCMA_0928
ko:K01129	mmv:MYCMA_0932
ko:K02834	mmv:MYCMA_1714
ko:K05916	mmv:MYCMA_1716
ko:K13771	mmv:MYCMA_1717
ko:K02600	mmv:MYCMA_1718
ko:K09748	mmv:MYCMA_1719
ko:K01881	mmv:MYCMA_1720
ko:K02302	mmv:MYCMA_1723
ko:K02224	mmv:MYCMA_1731
ko:K00116	mmv:MYCMA_1735
ko:K02232	mmv:MYCMA_1736
ko:K01265	mmv:MYCMA_1737
ko:K00099	mmv:MYCMA_1742
ko:K06941	mmv:MYCMA_1743
ko:K01061	mmv:MYCMA_1746
ko:K00981	mmv:MYCMA_1747
ko:K04567	mmv:MYCMA_0273
ko:K03696	mmv:MYCMA_0275
ko:K02013	mmv:MYCMA_0276
ko:K02015	mmv:MYCMA_0277
ko:K01114	mmv:MYCMA_0278
ko:K03575	mmv:MYCMA_0280
ko:K01673	mmv:MYCMA_0279
ko:K04485	mmv:MYCMA_0283
ko:K07736	mmv:MYCMA_0285
ko:K01770	mmv:MYCMA_0286
ko:K01883	mmv:MYCMA_0287
ko:K03218	mmv:MYCMA_0288
ko:K07160	mmv:MYCMA_0289
ko:K10536	mmv:MYCMA_0301
ko:K06188	mmv:MYCMA_0302
ko:K06153	mmv:MYCMA_1102
ko:K00765	mmv:MYCMA_1118
ko:K00330	mmv:MYCMA_1120
ko:K00331	mmv:MYCMA_1121
ko:K00332	mmv:MYCMA_1122
ko:K00333	mmv:MYCMA_1123
ko:K00334	mmv:MYCMA_1124
ko:K00337	mmv:MYCMA_1127
ko:K00338	mmv:MYCMA_1128
ko:K00339	mmv:MYCMA_1129
ko:K00341	mmv:MYCMA_1130
ko:K00342	mmv:MYCMA_1131
ko:K00343	mmv:MYCMA_1132
ko:K06978	mmv:MYCMA_1136
ko:K03921	mmv:MYCMA_1137
ko:K03664	mmv:MYCMA_1912
ko:K09811	mmv:MYCMA_1913
ko:K09812	mmv:MYCMA_1914
ko:K02836	mmv:MYCMA_1916
ko:K00528	mmv:MYCMA_1917
ko:K03657	mmv:MYCMA_1932
ko:K03426	mmv:MYCMA_1933
ko:K10716	mmv:MYCMA_1934
ko:K03657	mmv:MYCMA_1935
ko:K00362	mmv:MYCMA_1937
ko:K02575	mmv:MYCMA_1938
ko:K02361	mmv:MYCMA_1943
ko:K03088	mmv:MYCMA_1945
ko:K00800	mmv:MYCMA_1947
ko:K06949	mmv:MYCMA_1948
ko:K02838	mmv:MYCMA_1748
ko:K09903	mmv:MYCMA_1749
ko:K03811	mmv:MYCMA_1751
ko:K02357	mmv:MYCMA_1753
ko:K02967	mmv:MYCMA_1754
ko:K03733	mmv:MYCMA_1756
ko:K01673	mmv:MYCMA_1759
ko:K06911	mmv:MYCMA_2522
ko:K00325	mmv:MYCMA_2527
ko:K00324	mmv:MYCMA_2528
ko:K00324	mmv:MYCMA_2529
ko:K00252	mmv:MYCMA_2545
ko:K01720	mmv:MYCMA_2550
ko:K01647	mmv:MYCMA_2552
ko:K00549	mmv:MYCMA_2553
ko:K00965	mmv:MYCMA_2559
ko:K00849	mmv:MYCMA_2560
ko:K01687	mmv:MYCMA_2562
ko:K01640	mmv:MYCMA_2566
ko:K07552	mmv:MYCMA_0736
ko:K05592	mmv:MYCMA_0741
ko:K08296	mmv:MYCMA_0753
ko:K01887	mmv:MYCMA_0763
ko:K01586	mmv:MYCMA_0764
ko:K00003	mmv:MYCMA_0765
ko:K01733	mmv:MYCMA_0766
