ko:K22477	blx:GS08_00965
ko:K03601	blx:GS08_08035
ko:K03602	blx:GS08_08040
ko:K01897	blx:GS08_08060
ko:K03282	blx:GS08_08065
ko:K01524	blx:GS08_08090
ko:K07458	blx:GS08_08105
ko:K00674	blx:GS08_08135
ko:K01647	blx:GS08_08140
ko:K01265	blx:GS08_08145
ko:K07386	blx:GS08_08155
ko:K01881	blx:GS08_08165
ko:K04069	blx:GS08_08175
ko:K06990	blx:GS08_08180
ko:K13288	blx:GS08_08190
ko:K00088	blx:GS08_08195
ko:K06997	blx:GS08_01230
ko:K05995	blx:GS08_01235
ko:K00948	blx:GS08_01250
ko:K02990	blx:GS08_01260
ko:K02963	blx:GS08_01270
ko:K02939	blx:GS08_01275
ko:K11189	blx:GS08_01285
ko:K08483	blx:GS08_01290
ko:K02440	blx:GS08_01295
ko:K17686	blx:GS08_01300
ko:K09760	blx:GS08_01310
ko:K02435	blx:GS08_01330
ko:K02433	blx:GS08_01335
ko:K02434	blx:GS08_01340
ko:K03628	blx:GS08_01360
ko:K04092	blx:GS08_01370
ko:K00766	blx:GS08_06135
ko:K03070	blx:GS08_06155
ko:K03565	blx:GS08_06165
ko:K03743	blx:GS08_06185
ko:K00995	blx:GS08_06190
ko:K03466	blx:GS08_06195
ko:K04095	blx:GS08_06200
ko:K00791	blx:GS08_06205
ko:K06168	blx:GS08_06210
ko:K06890	blx:GS08_06225
ko:K01681	blx:GS08_06255
ko:K01142	blx:GS08_06285
ko:K02031	blx:GS08_06290
ko:K02032	blx:GS08_06290
ko:K15582	blx:GS08_06295
ko:K15581	blx:GS08_06300
ko:K15580	blx:GS08_06305
ko:K03733	blx:GS08_06310
ko:K04517	blx:GS08_06320
ko:K14170	blx:GS08_06325
ko:K06207	blx:GS08_06335
ko:K02003	blx:GS08_06345
ko:K02004	blx:GS08_06350
ko:K08369	blx:GS08_06355
ko:K04487	blx:GS08_06360
ko:K00767	blx:GS08_06365
ko:K00278	blx:GS08_06370
ko:K03517	blx:GS08_06375
ko:K06024	blx:GS08_06385
ko:K05896	blx:GS08_06390
ko:K04763	blx:GS08_06400
ko:K02887	blx:GS08_06405
ko:K02916	blx:GS08_06410
ko:K16785	blx:GS08_03285
ko:K03437	blx:GS08_03290
ko:K01889	blx:GS08_03295
ko:K01890	blx:GS08_03300
ko:K00145	blx:GS08_03310
ko:K00620	blx:GS08_03315
ko:K00930	blx:GS08_03320
ko:K00611	blx:GS08_03330
ko:K03402	blx:GS08_03335
ko:K01940	blx:GS08_03340
ko:K01755	blx:GS08_03345
ko:K03154	blx:GS08_03350
ko:K03149	blx:GS08_03355
ko:K06950	blx:GS08_03370
ko:K01866	blx:GS08_03380
ko:K06442	blx:GS08_03400
ko:K03499	blx:GS08_03410
ko:K00858	blx:GS08_03420
ko:K03631	blx:GS08_03425
ko:K07979	blx:GS08_03435
ko:K01990	blx:GS08_03440
ko:K01733	blx:GS08_03480
ko:K00600	blx:GS08_03485
ko:K00147	blx:GS08_03495
ko:K00969	blx:GS08_03505
ko:K01207	blx:GS08_03510
ko:K09118	blx:GS08_03515
ko:K03823	blx:GS08_03520
ko:K06212	blx:GS08_03525
ko:K01056	blx:GS08_03540
ko:K03723	blx:GS08_03545
ko:K01689	blx:GS08_03555
ko:K09009	blx:GS08_03565
ko:K01524	blx:GS08_03570
ko:K01752	blx:GS08_03585
ko:K03624	blx:GS08_03595
ko:K11068	blx:GS08_03600
ko:K02851	blx:GS08_08200
ko:K02493	blx:GS08_08215
ko:K02835	blx:GS08_08220
ko:K02909	blx:GS08_08225
ko:K00854	blx:GS08_08240
ko:K10547	blx:GS08_08265
ko:K10548	blx:GS08_08270
ko:K10546	blx:GS08_08275
ko:K00661	blx:GS08_08290
ko:K03929	blx:GS08_08305
ko:K15531	blx:GS08_08310
ko:K05970	blx:GS08_08315
ko:K01198	blx:GS08_08320
ko:K10119	blx:GS08_08325
ko:K10118	blx:GS08_08330
ko:K10117	blx:GS08_08335
ko:K02529	blx:GS08_08340
ko:K01805	blx:GS08_08350
ko:K01462	blx:GS08_08370
ko:K10547	blx:GS08_08395
ko:K10548	blx:GS08_08400
ko:K10546	blx:GS08_08405
ko:K02056	blx:GS08_08415
ko:K00845	blx:GS08_08420
ko:K10805	blx:GS08_08440
ko:K13940	blx:GS08_08450
ko:K00796	blx:GS08_08455
ko:K01495	blx:GS08_08460
ko:K03798	blx:GS08_08470
ko:K00760	blx:GS08_08475
ko:K04075	blx:GS08_08480
ko:K07259	blx:GS08_08485
ko:K09013	blx:GS08_04560
ko:K11717	blx:GS08_04565
ko:K04488	blx:GS08_04570
ko:K00975	blx:GS08_04580
ko:K09761	blx:GS08_04595
ko:K02503	blx:GS08_04600
ko:K07042	blx:GS08_04610
ko:K01897	blx:GS08_04625
ko:K00324	blx:GS08_04630
ko:K00324	blx:GS08_04635
ko:K00325	blx:GS08_04640
ko:K06889	blx:GS08_04645
ko:K02897	blx:GS08_04650
ko:K00826	blx:GS08_04655
ko:K02968	blx:GS08_04670
ko:K03596	blx:GS08_04675
ko:K02529	blx:GS08_04685
ko:K00265	blx:GS08_04745
ko:K00266	blx:GS08_04750
ko:K15580	blx:GS08_04755
ko:K16148	blx:GS08_04770
ko:K02013	blx:GS08_04775
ko:K01156	blx:GS08_04855
ko:K07316	blx:GS08_04860
ko:K05786	blx:GS08_04890
ko:K03524	blx:GS08_09405
ko:K02863	blx:GS08_09445
ko:K02867	blx:GS08_09450
ko:K02601	blx:GS08_09455
ko:K03073	blx:GS08_09460
ko:K00931	blx:GS08_09475
ko:K03979	blx:GS08_09480
ko:K02899	blx:GS08_09485
ko:K02888	blx:GS08_09490
ko:K01439	blx:GS08_09500
ko:K07088	blx:GS08_09505
ko:K02429	blx:GS08_09520
ko:K18333	blx:GS08_09525
ko:K18334	blx:GS08_09530
ko:K02529	blx:GS08_09535
ko:K02003	blx:GS08_09545
ko:K06287	blx:GS08_09560
ko:K00872	blx:GS08_09565
ko:K00003	blx:GS08_09570
ko:K01586	blx:GS08_09575
ko:K01887	blx:GS08_09580
ko:K14155	blx:GS08_09590
ko:K00790	blx:GS08_09595
ko:K01704	blx:GS08_09610
ko:K01703	blx:GS08_09615
ko:K00937	blx:GS08_09630
ko:K03574	blx:GS08_09635
ko:K07133	blx:GS08_09645
ko:K00761	blx:GS08_09650
ko:K00783	blx:GS08_09655
ko:K01885	blx:GS08_09665
ko:K03695	blx:GS08_09670
ko:K01745	blx:GS08_09675
ko:K01873	blx:GS08_01380
ko:K10773	blx:GS08_01390
ko:K01507	blx:GS08_01410
ko:K16147	blx:GS08_01415
ko:K00651	blx:GS08_01430
ko:K02108	blx:GS08_01435
ko:K02110	blx:GS08_01440
ko:K02109	blx:GS08_01445
ko:K02113	blx:GS08_01450
ko:K02111	blx:GS08_01455
ko:K02115	blx:GS08_01460
ko:K02112	blx:GS08_01465
ko:K02114	blx:GS08_01470
ko:K07503	blx:GS08_01475
ko:K05838	blx:GS08_01495
ko:K00057	blx:GS08_01520
ko:K01921	blx:GS08_01525
ko:K02055	blx:GS08_01530
ko:K02054	blx:GS08_01535
ko:K02053	blx:GS08_01540
ko:K02052	blx:GS08_01545
ko:K01744	blx:GS08_01560
ko:K00567	blx:GS08_01575
ko:K06902	blx:GS08_01655
ko:K02902	blx:GS08_01665
ko:K03655	blx:GS08_01670
ko:K02025	blx:GS08_01680
ko:K02026	blx:GS08_01685
ko:K02027	blx:GS08_01690
ko:K02520	blx:GS08_06415
ko:K00949	blx:GS08_06420
ko:K00134	blx:GS08_06425
ko:K03527	blx:GS08_06525
ko:K03088	blx:GS08_06545
ko:K01928	blx:GS08_06550
ko:K03529	blx:GS08_06560
ko:K11754	blx:GS08_06565
ko:K01262	blx:GS08_06575
ko:K02031	blx:GS08_06585
ko:K02032	blx:GS08_06585
ko:K02034	blx:GS08_06590
ko:K02033	blx:GS08_06595
ko:K02035	blx:GS08_06600
ko:K01443	blx:GS08_06605
ko:K02564	blx:GS08_06610
ko:K00847	blx:GS08_06630
ko:K09704	blx:GS08_06635
ko:K05349	blx:GS08_06655
ko:K02026	blx:GS08_06670
ko:K02025	blx:GS08_06675
ko:K02027	blx:GS08_06680
ko:K01191	blx:GS08_06685
ko:K01191	blx:GS08_06690
ko:K07560	blx:GS08_06695
ko:K02313	blx:GS08_00005
ko:K02338	blx:GS08_00010
ko:K03629	blx:GS08_00015
ko:K02470	blx:GS08_00025
ko:K02469	blx:GS08_00030
ko:K06921	blx:GS08_00040
ko:K00262	blx:GS08_00050
ko:K03719	blx:GS08_00055
ko:K07442	blx:GS08_04905
ko:K08296	blx:GS08_04910
ko:K00549	blx:GS08_04915
ko:K00297	blx:GS08_04920
ko:K01442	blx:GS08_04925
ko:K00982	blx:GS08_04930
ko:K00609	blx:GS08_04935
ko:K00610	blx:GS08_04940
ko:K01465	blx:GS08_04945
ko:K01591	blx:GS08_04950
ko:K02823	blx:GS08_04955
ko:K17828	blx:GS08_04960
ko:K00762	blx:GS08_04965
ko:K11358	blx:GS08_04995
ko:K03100	blx:GS08_05060
ko:K16235	blx:GS08_05070
ko:K01990	blx:GS08_05135
ko:K11939	blx:GS08_05150
ko:K02004	blx:GS08_05175
ko:K02003	blx:GS08_05180
ko:K01854	blx:GS08_09710
ko:K01990	blx:GS08_09790
ko:K01992	blx:GS08_09795
ko:K00012	blx:GS08_09805
ko:K06950	blx:GS08_09840
ko:K03549	blx:GS08_09850
ko:K03424	blx:GS08_09855
ko:K03424	blx:GS08_09895
ko:K09955	blx:GS08_09930
ko:K17320	blx:GS08_09955
ko:K17319	blx:GS08_09960
ko:K17318	blx:GS08_09965
ko:K06147	blx:GS08_09980
ko:K06147	blx:GS08_09985
ko:K06921	blx:GS08_09990
ko:K07133	blx:GS08_09995
ko:K18334	blx:GS08_01695
ko:K18333	blx:GS08_01700
ko:K02431	blx:GS08_01710
ko:K01206	blx:GS08_01715
ko:K08316	blx:GS08_01725
ko:K00554	blx:GS08_01730
ko:K08303	blx:GS08_01735
ko:K01304	blx:GS08_01750
ko:K01372	blx:GS08_01760
ko:K01626	blx:GS08_01765
ko:K01626	blx:GS08_01770
ko:K01243	blx:GS08_01785
ko:K07768	blx:GS08_01795
ko:K07776	blx:GS08_01800
ko:K02040	blx:GS08_01805
ko:K02037	blx:GS08_01810
ko:K02038	blx:GS08_01815
ko:K02036	blx:GS08_01820
ko:K03744	blx:GS08_01825
ko:K02860	blx:GS08_01870
ko:K06960	blx:GS08_01875
ko:K02959	blx:GS08_01880
ko:K01665	blx:GS08_01890
ko:K11752	blx:GS08_01895
ko:K00793	blx:GS08_01900
ko:K14652	blx:GS08_01905
ko:K00794	blx:GS08_01910
ko:K03106	blx:GS08_01920
ko:K01883	blx:GS08_01930
ko:K01653	blx:GS08_01950
ko:K01652	blx:GS08_01955
ko:K03685	blx:GS08_01960
ko:K02911	blx:GS08_01965
ko:K07040	blx:GS08_01970
ko:K00954	blx:GS08_01980
ko:K03589	blx:GS08_06725
ko:K01924	blx:GS08_06730
ko:K02563	blx:GS08_06735
ko:K03588	blx:GS08_06740
ko:K01925	blx:GS08_06745
ko:K01000	blx:GS08_06750
ko:K01929	blx:GS08_06755
ko:K03587	blx:GS08_06765
ko:K03438	blx:GS08_06775
ko:K03925	blx:GS08_06780
ko:K00058	blx:GS08_06790
ko:K07738	blx:GS08_06795
ko:K01356	blx:GS08_06805
ko:K16264	blx:GS08_06810
ko:K00016	blx:GS08_06815
ko:K03665	blx:GS08_06820
ko:K03578	blx:GS08_06830
ko:K01811	blx:GS08_06850
ko:K02026	blx:GS08_06855
ko:K02025	blx:GS08_06860
ko:K02027	blx:GS08_06865
ko:K01915	blx:GS08_06880
ko:K01814	blx:GS08_06890
ko:K01817	blx:GS08_06890
ko:K02501	blx:GS08_06895
ko:K01693	blx:GS08_06905
ko:K00817	blx:GS08_06910
ko:K00013	blx:GS08_06915
ko:K00854	blx:GS08_06920
ko:K10254	blx:GS08_06950
ko:K02337	blx:GS08_06960
ko:K07058	blx:GS08_06965
ko:K06180	blx:GS08_06970
ko:K03101	blx:GS08_06975
ko:K02221	blx:GS08_06985
ko:K09772	blx:GS08_06990
ko:K03531	blx:GS08_06995
ko:K10907	blx:GS08_00060
ko:K07043	blx:GS08_00110
ko:K00851	blx:GS08_00115
ko:K07133	blx:GS08_00120
ko:K04047	blx:GS08_00125
ko:K03699	blx:GS08_00130
ko:K01673	blx:GS08_00145
ko:K03386	blx:GS08_00150
ko:K00384	blx:GS08_00155
ko:K08177	blx:GS08_00160
ko:K03655	blx:GS08_00175
ko:K01595	blx:GS08_00205
ko:K11928	blx:GS08_00215
ko:K01867	blx:GS08_00230
ko:K00688	blx:GS08_00260
ko:K01664	blx:GS08_00290
ko:K01278	blx:GS08_00330
ko:K01048	blx:GS08_00335
ko:K07114	blx:GS08_00340
ko:K12267	blx:GS08_00385
ko:K03574	blx:GS08_00405
ko:K16235	blx:GS08_05275
ko:K01151	blx:GS08_05280
ko:K01696	blx:GS08_05290
ko:K01695	blx:GS08_05295
ko:K01783	blx:GS08_05305
ko:K01523	blx:GS08_05310
ko:K00765	blx:GS08_05315
ko:K01091	blx:GS08_05360
ko:K03727	blx:GS08_05370
ko:K00963	blx:GS08_05385
ko:K03977	blx:GS08_05395
ko:K06178	blx:GS08_05400
ko:K00602	blx:GS08_05410
ko:K01902	blx:GS08_05420
ko:K01903	blx:GS08_05425
ko:K00759	blx:GS08_05430
ko:K03210	blx:GS08_05435
ko:K03551	blx:GS08_05440
ko:K03550	blx:GS08_05445
ko:K01159	blx:GS08_05450
ko:K01868	blx:GS08_05465
ko:K06153	blx:GS08_05500
ko:K03686	blx:GS08_05510
ko:K10119	blx:GS08_10005
ko:K10118	blx:GS08_10010
ko:K10117	blx:GS08_10015
ko:K12308	blx:GS08_10025
ko:K07133	blx:GS08_10030
ko:K02035	blx:GS08_10040
ko:K02031	blx:GS08_10045
ko:K02032	blx:GS08_10045
ko:K02034	blx:GS08_10050
ko:K02033	blx:GS08_10055
ko:K01372	blx:GS08_10060
ko:K01874	blx:GS08_10075
ko:K07056	blx:GS08_10090
ko:K03734	blx:GS08_10105
ko:K06147	blx:GS08_10110
ko:K06147	blx:GS08_10115
ko:K03655	blx:GS08_10140
ko:K01191	blx:GS08_10175
ko:K02026	blx:GS08_10180
ko:K02025	blx:GS08_10185
ko:K02027	blx:GS08_10190
ko:K02004	blx:GS08_10205
ko:K02003	blx:GS08_10210
ko:K06921	blx:GS08_10225
ko:K10119	blx:GS08_10240
ko:K10118	blx:GS08_10245
ko:K10117	blx:GS08_10255
ko:K01421	blx:GS08_10275
ko:K01421	blx:GS08_10280
ko:K12410	blx:GS08_10300
ko:K00763	blx:GS08_02005
ko:K00989	blx:GS08_02015
ko:K02428	blx:GS08_02020
ko:K12554	blx:GS08_02030
ko:K12554	blx:GS08_02040
ko:K01810	blx:GS08_02060
ko:K02049	blx:GS08_02065
ko:K02050	blx:GS08_02070
ko:K02884	blx:GS08_02075
ko:K03100	blx:GS08_02080
ko:K03470	blx:GS08_02085
ko:K01804	blx:GS08_02105
ko:K07010	blx:GS08_02110
ko:K02004	blx:GS08_02120
ko:K02004	blx:GS08_02125
ko:K02003	blx:GS08_02130
ko:K01897	blx:GS08_02135
ko:K02027	blx:GS08_02155
ko:K02025	blx:GS08_02160
ko:K02026	blx:GS08_02165
ko:K12308	blx:GS08_02170
ko:K01224	blx:GS08_02180
ko:K07133	blx:GS08_02195
ko:K03322	blx:GS08_02200
ko:K04096	blx:GS08_02255
ko:K03671	blx:GS08_02300
ko:K03426	blx:GS08_02315
ko:K02437	blx:GS08_02320
ko:K01354	blx:GS08_02330
ko:K00052	blx:GS08_02335
ko:K01880	blx:GS08_07005
ko:K00878	blx:GS08_07010
ko:K03147	blx:GS08_07015
ko:K13525	blx:GS08_07020
ko:K00941	blx:GS08_07025
ko:K08369	blx:GS08_07035
ko:K02529	blx:GS08_07060
ko:K02532	blx:GS08_07070
ko:K01193	blx:GS08_07075
ko:K00806	blx:GS08_07095
ko:K03584	blx:GS08_07100
ko:K00099	blx:GS08_07115
ko:K07177	blx:GS08_07140
ko:K03657	blx:GS08_07150
ko:K07053	blx:GS08_07165
ko:K01778	blx:GS08_07175
ko:K01776	blx:GS08_07180
ko:K10009	blx:GS08_07195
ko:K02424	blx:GS08_07200
ko:K01740	blx:GS08_07210
ko:K01997	blx:GS08_07225
ko:K01998	blx:GS08_07225
ko:K01999	blx:GS08_07230
ko:K01599	blx:GS08_07235
ko:K00286	blx:GS08_07240
ko:K01760	blx:GS08_07255
ko:K06999	blx:GS08_07260
ko:K02342	blx:GS08_07270
ko:K00942	blx:GS08_07275
ko:K01591	blx:GS08_07280
ko:K01955	blx:GS08_07285
ko:K03800	blx:GS08_02340
ko:K00226	blx:GS08_02360
ko:K17836	blx:GS08_03615
ko:K03466	blx:GS08_03630
ko:K00700	blx:GS08_03685
ko:K07736	blx:GS08_03690
ko:K01770	blx:GS08_03695
ko:K02075	blx:GS08_03700
ko:K02074	blx:GS08_03705
ko:K02077	blx:GS08_03710
ko:K01491	blx:GS08_03715
ko:K02945	blx:GS08_03720
ko:K00859	blx:GS08_03725
ko:K03702	blx:GS08_03730
ko:K05794	blx:GS08_03735
ko:K00873	blx:GS08_03740
ko:K01515	blx:GS08_03745
ko:K01246	blx:GS08_03800
ko:K01992	blx:GS08_03855
ko:K01990	blx:GS08_03860
ko:K01190	blx:GS08_03895
ko:K16209	blx:GS08_03900
ko:K16209	blx:GS08_03905
ko:K00800	blx:GS08_03930
ko:K01992	blx:GS08_08490
ko:K01990	blx:GS08_08495
ko:K00048	blx:GS08_08515
ko:K00574	blx:GS08_08520
ko:K01784	blx:GS08_08535
ko:K03439	blx:GS08_08540
ko:K01079	blx:GS08_08580
ko:K01104	blx:GS08_08605
ko:K00831	blx:GS08_08645
ko:K02039	blx:GS08_08660
ko:K01834	blx:GS08_08665
ko:K02548	blx:GS08_08670
ko:K04567	blx:GS08_08675
ko:K01784	blx:GS08_08725
ko:K00965	blx:GS08_08730
ko:K15533	blx:GS08_08740
ko:K02026	blx:GS08_08745
ko:K02025	blx:GS08_08750
ko:K02027	blx:GS08_08755
ko:K11068	blx:GS08_00420
ko:K00773	blx:GS08_00435
ko:K08372	blx:GS08_00440
ko:K07133	blx:GS08_00450
ko:K00528	blx:GS08_00455
ko:K03799	blx:GS08_00460
ko:K03649	blx:GS08_00475
ko:K01624	blx:GS08_00480
ko:K01939	blx:GS08_00500
ko:K06199	blx:GS08_00510
ko:K06199	blx:GS08_00515
ko:K01997	blx:GS08_00520
ko:K01998	blx:GS08_00525
ko:K01995	blx:GS08_00530
ko:K01996	blx:GS08_00535
ko:K01999	blx:GS08_00540
ko:K03484	blx:GS08_00545
ko:K00690	blx:GS08_00550
ko:K00053	blx:GS08_00565
ko:K00053	blx:GS08_00570
ko:K01187	blx:GS08_00585
ko:K00705	blx:GS08_00595
ko:K05343	blx:GS08_00600
ko:K15770	blx:GS08_00605
ko:K15771	blx:GS08_00610
ko:K15772	blx:GS08_00615
ko:K07025	blx:GS08_00625
ko:K00053	blx:GS08_00650
ko:K01077	blx:GS08_00655
ko:K04043	blx:GS08_00660
ko:K03687	blx:GS08_00665
ko:K03686	blx:GS08_00670
ko:K13640	blx:GS08_00675
ko:K10118	blx:GS08_00685
ko:K10119	blx:GS08_00690
ko:K10117	blx:GS08_00700
ko:K03975	blx:GS08_00710
ko:K03705	blx:GS08_05515
ko:K00615	blx:GS08_05520
ko:K00616	blx:GS08_05525
ko:K03311	blx:GS08_05530
ko:K14260	blx:GS08_05545
ko:K00016	blx:GS08_05555
ko:K03075	blx:GS08_05560
ko:K01803	blx:GS08_05565
ko:K00927	blx:GS08_05570
ko:K09762	blx:GS08_05575
ko:K06958	blx:GS08_05580
ko:K00014	blx:GS08_05585
ko:K03703	blx:GS08_05590
ko:K03701	blx:GS08_05595
ko:K02003	blx:GS08_05625
ko:K16926	blx:GS08_05650
ko:K01304	blx:GS08_05690
ko:K01657	blx:GS08_05695
ko:K01496	blx:GS08_05700
ko:K02500	blx:GS08_05705
ko:K05520	blx:GS08_05710
ko:K06941	blx:GS08_05715
ko:K00981	blx:GS08_05720
ko:K02838	blx:GS08_05725
ko:K09903	blx:GS08_05730
ko:K02357	blx:GS08_05735
ko:K02967	blx:GS08_05740
ko:K01462	blx:GS08_05745
ko:K01897	blx:GS08_05750
ko:K00088	blx:GS08_05760
ko:K00031	blx:GS08_05765
ko:K01754	blx:GS08_10305
ko:K01182	blx:GS08_10310
ko:K01187	blx:GS08_10320
ko:K10119	blx:GS08_10325
ko:K10118	blx:GS08_10330
ko:K10117	blx:GS08_10335
ko:K10117	blx:GS08_10340
ko:K10119	blx:GS08_10355
ko:K10118	blx:GS08_10360
ko:K10117	blx:GS08_10365
ko:K07407	blx:GS08_10375
ko:K11991	blx:GS08_10380
ko:K03316	blx:GS08_10385
ko:K06999	blx:GS08_10390
ko:K01494	blx:GS08_10400
ko:K07133	blx:GS08_10420
ko:K03218	blx:GS08_10430
ko:K10112	blx:GS08_10440
ko:K03647	blx:GS08_10465
ko:K10716	blx:GS08_10485
ko:K02528	blx:GS08_10515
ko:K00919	blx:GS08_10520
ko:K00970	blx:GS08_10530
ko:K00384	blx:GS08_10555
ko:K03501	blx:GS08_10570
ko:K06346	blx:GS08_10575
ko:K03217	blx:GS08_10580
ko:K03536	blx:GS08_10585
ko:K02914	blx:GS08_10590
ko:K00965	blx:GS08_02370
ko:K00849	blx:GS08_02375
ko:K17318	blx:GS08_02390
ko:K17319	blx:GS08_02395
ko:K17320	blx:GS08_02400
ko:K02529	blx:GS08_02410
ko:K07166	blx:GS08_02420
ko:K09157	blx:GS08_02425
ko:K03216	blx:GS08_02430
ko:K03575	blx:GS08_02435
ko:K03043	blx:GS08_02445
ko:K03046	blx:GS08_02450
ko:K07133	blx:GS08_02500
ko:K03924	blx:GS08_02540
ko:K03657	blx:GS08_02560
ko:K00215	blx:GS08_02570
ko:K01714	blx:GS08_02575
ko:K12574	blx:GS08_02580
ko:K01256	blx:GS08_02585
ko:K07090	blx:GS08_02590
ko:K03431	blx:GS08_02615
ko:K01462	blx:GS08_02620
ko:K07133	blx:GS08_02630
ko:K02836	blx:GS08_02635
ko:K09812	blx:GS08_02640
ko:K09811	blx:GS08_02645
ko:K03664	blx:GS08_02655
ko:K02030	blx:GS08_02660
ko:K02030	blx:GS08_02665
ko:K02029	blx:GS08_02670
ko:K01956	blx:GS08_07290
ko:K03625	blx:GS08_07295
ko:K02356	blx:GS08_07300
ko:K02068	blx:GS08_07305
ko:K02069	blx:GS08_07310
ko:K00074	blx:GS08_07335
ko:K17331	blx:GS08_07350
ko:K17330	blx:GS08_07355
ko:K17329	blx:GS08_07360
ko:K03593	blx:GS08_07375
ko:K01972	blx:GS08_07380
ko:K16784	blx:GS08_07395
ko:K00886	blx:GS08_07405
ko:K07574	blx:GS08_07425
ko:K08972	blx:GS08_07430
ko:K02057	blx:GS08_07450
ko:K02057	blx:GS08_07455
ko:K02056	blx:GS08_07460
ko:K02058	blx:GS08_07465
ko:K07654	blx:GS08_07475
ko:K07670	blx:GS08_07480
ko:K07478	blx:GS08_07485
ko:K01081	blx:GS08_07505
ko:K10007	blx:GS08_07515
ko:K10006	blx:GS08_07520
ko:K10005	blx:GS08_07525
ko:K10008	blx:GS08_07530
ko:K01876	blx:GS08_07545
ko:K01892	blx:GS08_07550
ko:K01470	blx:GS08_07565
ko:K03762	blx:GS08_07570
