ko:K18929	ccf:YSQ_00385
ko:K07160	ccf:YSQ_01195
ko:K05772	ccf:YSQ_01200
ko:K05773	ccf:YSQ_01205
ko:K06857	ccf:YSQ_01210
ko:K01895	ccf:YSQ_01215
ko:K00963	ccf:YSQ_01220
ko:K01810	ccf:YSQ_01225
ko:K04047	ccf:YSQ_01230
ko:K07133	ccf:YSQ_01240
ko:K03796	ccf:YSQ_01245
ko:K01778	ccf:YSQ_01250
ko:K00859	ccf:YSQ_01255
ko:K01933	ccf:YSQ_01260
ko:K03326	ccf:YSQ_01270
ko:K03750	ccf:YSQ_01290
ko:K03635	ccf:YSQ_01295
ko:K03636	ccf:YSQ_01300
ko:K13747	ccf:YSQ_01310
ko:K00123	ccf:YSQ_01325
ko:K00123	ccf:YSQ_01330
ko:K00124	ccf:YSQ_01335
ko:K00127	ccf:YSQ_01340
ko:K02379	ccf:YSQ_01365
ko:K01008	ccf:YSQ_01380
ko:K13821	ccf:YSQ_01385
ko:K11928	ccf:YSQ_01390
ko:K07112	ccf:YSQ_01400
ko:K01939	ccf:YSQ_01410
ko:K09804	ccf:YSQ_01425
ko:K01956	ccf:YSQ_01430
ko:K00860	ccf:YSQ_05920
ko:K07010	ccf:YSQ_05945
ko:K04066	ccf:YSQ_05955
ko:K02456	ccf:YSQ_05960
ko:K03702	ccf:YSQ_05975
ko:K07792	ccf:YSQ_05980
ko:K03092	ccf:YSQ_05985
ko:K06861	ccf:YSQ_05990
ko:K06925	ccf:YSQ_05995
ko:K01940	ccf:YSQ_06005
ko:K02939	ccf:YSQ_06010
ko:K01419	ccf:YSQ_06015
ko:K03667	ccf:YSQ_06020
ko:K01262	ccf:YSQ_06040
ko:K05515	ccf:YSQ_06045
ko:K03978	ccf:YSQ_06055
ko:K09774	ccf:YSQ_06060
ko:K03270	ccf:YSQ_06070
ko:K03642	ccf:YSQ_06075
ko:K08307	ccf:YSQ_06080
ko:K03424	ccf:YSQ_06085
ko:K03631	ccf:YSQ_06095
ko:K00858	ccf:YSQ_06100
ko:K01876	ccf:YSQ_06105
ko:K00939	ccf:YSQ_06110
ko:K01507	ccf:YSQ_06115
ko:K07304	ccf:YSQ_06120
ko:K07447	ccf:YSQ_06130
ko:K04096	ccf:YSQ_06135
ko:K09798	ccf:YSQ_06140
ko:K00053	ccf:YSQ_06145
ko:K12573	ccf:YSQ_06150
ko:K02340	ccf:YSQ_06155
ko:K04651	ccf:YSQ_06165
ko:K04655	ccf:YSQ_06170
ko:K04654	ccf:YSQ_06175
ko:K04653	ccf:YSQ_06180
ko:K04652	ccf:YSQ_06185
ko:K04656	ccf:YSQ_06190
ko:K07043	ccf:YSQ_06200
ko:K07238	ccf:YSQ_08465
ko:K03723	ccf:YSQ_03560
ko:K06923	ccf:YSQ_03565
ko:K07457	ccf:YSQ_03570
ko:K00941	ccf:YSQ_03575
ko:K00788	ccf:YSQ_03580
ko:K01719	ccf:YSQ_03585
ko:K00286	ccf:YSQ_03605
ko:K13626	ccf:YSQ_03610
ko:K05807	ccf:YSQ_03615
ko:K01338	ccf:YSQ_03620
ko:K02963	ccf:YSQ_03625
ko:K02990	ccf:YSQ_03635
ko:K11749	ccf:YSQ_03645
ko:K00995	ccf:YSQ_03650
ko:K03743	ccf:YSQ_03670
ko:K01870	ccf:YSQ_03675
ko:K02433	ccf:YSQ_03685
ko:K00088	ccf:YSQ_03690
ko:K03602	ccf:YSQ_03695
ko:K01924	ccf:YSQ_03730
ko:K07456	ccf:YSQ_03740
ko:K12410	ccf:YSQ_03750
ko:K06895	ccf:YSQ_03755
ko:K01439	ccf:YSQ_03760
ko:K01154	ccf:YSQ_03780
ko:K03154	ccf:YSQ_03785
ko:K03148	ccf:YSQ_03790
ko:K03149	ccf:YSQ_03795
ko:K03150	ccf:YSQ_03800
ko:K00788	ccf:YSQ_03805
ko:K03449	ccf:YSQ_03820
ko:K02563	ccf:YSQ_03825
ko:K03588	ccf:YSQ_03830
ko:K00748	ccf:YSQ_08470
ko:K03624	ccf:YSQ_08475
ko:K03269	ccf:YSQ_08480
ko:K03415	ccf:YSQ_08485
ko:K03407	ccf:YSQ_08490
ko:K03408	ccf:YSQ_08495
ko:K01079	ccf:YSQ_08500
ko:K00616	ccf:YSQ_08505
ko:K01955	ccf:YSQ_08525
ko:K01720	ccf:YSQ_08560
ko:K01659	ccf:YSQ_08565
ko:K03417	ccf:YSQ_08570
ko:K01908	ccf:YSQ_08575
ko:K03569	ccf:YSQ_08590
ko:K03544	ccf:YSQ_08595
ko:K00677	ccf:YSQ_08600
ko:K02372	ccf:YSQ_08605
ko:K09765	ccf:YSQ_08610
ko:K03564	ccf:YSQ_08615
ko:K01821	ccf:YSQ_08620
ko:K00826	ccf:YSQ_08625
ko:K03406	ccf:YSQ_08645
ko:K01465	ccf:YSQ_08660
ko:K00901	ccf:YSQ_08670
ko:K03760	ccf:YSQ_08675
ko:K01142	ccf:YSQ_08680
ko:K03637	ccf:YSQ_08695
ko:K02887	ccf:YSQ_08720
ko:K02916	ccf:YSQ_08725
ko:K04487	ccf:YSQ_08735
ko:K13819	ccf:YSQ_08740
ko:K16052	ccf:YSQ_08745
ko:K09792	ccf:YSQ_01435
ko:K00404	ccf:YSQ_01450
ko:K00405	ccf:YSQ_01455
ko:K00407	ccf:YSQ_01460
ko:K00406	ccf:YSQ_01465
ko:K03582	ccf:YSQ_01495
ko:K02871	ccf:YSQ_01510
ko:K02996	ccf:YSQ_01515
ko:K03286	ccf:YSQ_01520
ko:K01091	ccf:YSQ_01525
ko:K03737	ccf:YSQ_01530
ko:K02453	ccf:YSQ_01540
ko:K01714	ccf:YSQ_01545
ko:K02454	ccf:YSQ_01555
ko:K02455	ccf:YSQ_01560
ko:K07090	ccf:YSQ_01565
ko:K02396	ccf:YSQ_01575
ko:K02394	ccf:YSQ_01595
ko:K01959	ccf:YSQ_03835
ko:K03686	ccf:YSQ_03850
ko:K03596	ccf:YSQ_03870
ko:K02242	ccf:YSQ_03880
ko:K02469	ccf:YSQ_03885
ko:K09860	ccf:YSQ_03890
ko:K00133	ccf:YSQ_03905
ko:K01999	ccf:YSQ_03925
ko:K01999	ccf:YSQ_03930
ko:K01997	ccf:YSQ_03935
ko:K01998	ccf:YSQ_03940
ko:K01995	ccf:YSQ_03945
ko:K01996	ccf:YSQ_03950
ko:K00773	ccf:YSQ_03990
ko:K09944	ccf:YSQ_03995
ko:K01735	ccf:YSQ_04000
ko:K08296	ccf:YSQ_04030
ko:K03086	ccf:YSQ_04035
ko:K03501	ccf:YSQ_04055
ko:K01497	ccf:YSQ_04060
ko:K01698	ccf:YSQ_04065
ko:K00611	ccf:YSQ_04070
ko:K09861	ccf:YSQ_04100
ko:K02030	ccf:YSQ_04110
ko:K01270	ccf:YSQ_04120
ko:K06176	ccf:YSQ_01625
ko:K02836	ccf:YSQ_01635
ko:K04075	ccf:YSQ_01645
ko:K09979	ccf:YSQ_01665
ko:K09688	ccf:YSQ_01670
ko:K09689	ccf:YSQ_01675
ko:K10107	ccf:YSQ_01680
ko:K06041	ccf:YSQ_01690
ko:K01790	ccf:YSQ_01720
ko:K02377	ccf:YSQ_01725
ko:K01711	ccf:YSQ_01730
ko:K07031	ccf:YSQ_01735
ko:K02036	ccf:YSQ_06215
ko:K02038	ccf:YSQ_06220
ko:K02037	ccf:YSQ_06225
ko:K02040	ccf:YSQ_06230
ko:K02217	ccf:YSQ_06240
ko:K09795	ccf:YSQ_06250
ko:K05685	ccf:YSQ_06265
ko:K13888	ccf:YSQ_06270
ko:K04084	ccf:YSQ_06285
ko:K03308	ccf:YSQ_06295
ko:K03686	ccf:YSQ_06305
ko:K02484	ccf:YSQ_06315
ko:K06187	ccf:YSQ_06320
ko:K03605	ccf:YSQ_06325
ko:K03620	ccf:YSQ_06330
ko:K05922	ccf:YSQ_06335
ko:K05927	ccf:YSQ_06340
ko:K01448	ccf:YSQ_06350
ko:K00459	ccf:YSQ_06355
ko:K01866	ccf:YSQ_06360
ko:K03060	ccf:YSQ_06370
ko:K09903	ccf:YSQ_06375
ko:K09811	ccf:YSQ_06385
ko:K09812	ccf:YSQ_06390
ko:K03439	ccf:YSQ_06395
ko:K06180	ccf:YSQ_06405
ko:K05837	ccf:YSQ_06410
ko:K04763	ccf:YSQ_06435
ko:K01673	ccf:YSQ_08750
ko:K03075	ccf:YSQ_08760
ko:K02838	ccf:YSQ_08765
ko:K00762	ccf:YSQ_08770
ko:K00763	ccf:YSQ_08785
ko:K00573	ccf:YSQ_08795
ko:K00930	ccf:YSQ_08805
ko:K00145	ccf:YSQ_08815
ko:K07318	ccf:YSQ_08820
ko:K02520	ccf:YSQ_08825
ko:K01868	ccf:YSQ_08830
ko:K06153	ccf:YSQ_08835
ko:K05367	ccf:YSQ_08845
ko:K06894	ccf:YSQ_08850
ko:K07478	ccf:YSQ_08865
ko:K00215	ccf:YSQ_08870
ko:K00764	ccf:YSQ_08875
ko:K07052	ccf:YSQ_08880
ko:K07093	ccf:YSQ_08895
ko:K00384	ccf:YSQ_08900
ko:K03671	ccf:YSQ_08905
ko:K07460	ccf:YSQ_08910
ko:K00003	ccf:YSQ_08915
ko:K14261	ccf:YSQ_08920
ko:K03218	ccf:YSQ_08935
ko:K07056	ccf:YSQ_08940
ko:K02909	ccf:YSQ_08945
ko:K09761	ccf:YSQ_08950
ko:K01737	ccf:YSQ_08965
ko:K03639	ccf:YSQ_08975
ko:K03179	ccf:YSQ_08990
ko:K00791	ccf:YSQ_08995
ko:K04564	ccf:YSQ_09035
ko:K00290	ccf:YSQ_09040
ko:K03271	ccf:YSQ_01740
ko:K00979	ccf:YSQ_01775
ko:K00764	ccf:YSQ_01780
ko:K01666	ccf:YSQ_01790
ko:K01091	ccf:YSQ_01795
ko:K07266	ccf:YSQ_01800
ko:K00997	ccf:YSQ_01825
ko:K02415	ccf:YSQ_01830
ko:K15778	ccf:YSQ_01835
ko:K09710	ccf:YSQ_01845
ko:K00969	ccf:YSQ_01850
ko:K00134	ccf:YSQ_01855
ko:K00927	ccf:YSQ_01860
ko:K01803	ccf:YSQ_01865
ko:K00208	ccf:YSQ_01870
ko:K05927	ccf:YSQ_01875
ko:K04758	ccf:YSQ_01885
ko:K01756	ccf:YSQ_01895
ko:K01760	ccf:YSQ_01900
ko:K03326	ccf:YSQ_01905
ko:K03781	ccf:YSQ_01925
ko:K03839	ccf:YSQ_01940
ko:K07017	ccf:YSQ_01945
ko:K01042	ccf:YSQ_01955
ko:K03833	ccf:YSQ_01960
ko:K03981	ccf:YSQ_01965
ko:K02428	ccf:YSQ_01985
ko:K07003	ccf:YSQ_01990
ko:K07323	ccf:YSQ_01995
ko:K04754	ccf:YSQ_02000
ko:K00769	ccf:YSQ_02005
ko:K06901	ccf:YSQ_02010
ko:K18285	ccf:YSQ_02015
ko:K00990	ccf:YSQ_02020
ko:K00820	ccf:YSQ_02025
ko:K01679	ccf:YSQ_02030
ko:K01173	ccf:YSQ_06735
ko:K15257	ccf:YSQ_04140
ko:K02010	ccf:YSQ_09045
ko:K02011	ccf:YSQ_09050
ko:K02012	ccf:YSQ_09055
ko:K16087	ccf:YSQ_09070
ko:K03561	ccf:YSQ_09075
ko:K03559	ccf:YSQ_09080
ko:K03832	ccf:YSQ_09085
ko:K17938	ccf:YSQ_09090
ko:K08224	ccf:YSQ_09095
ko:K06193	ccf:YSQ_09110
ko:K11175	ccf:YSQ_09130
ko:K07391	ccf:YSQ_09145
ko:K01462	ccf:YSQ_09150
ko:K01358	ccf:YSQ_09155
ko:K03545	ccf:YSQ_09160
ko:K01495	ccf:YSQ_09165
ko:K09815	ccf:YSQ_09180
ko:K09817	ccf:YSQ_09185
ko:K09816	ccf:YSQ_09190
ko:K09748	ccf:YSQ_09210
ko:K02834	ccf:YSQ_09215
ko:K02519	ccf:YSQ_09220
ko:K00872	ccf:YSQ_09230
ko:K02535	ccf:YSQ_09240
ko:K04517	ccf:YSQ_09250
ko:K07277	ccf:YSQ_09255
ko:K01092	ccf:YSQ_09260
ko:K01963	ccf:YSQ_09265
ko:K00783	ccf:YSQ_09270
ko:K06204	ccf:YSQ_09275
ko:K05540	ccf:YSQ_09285
ko:K07042	ccf:YSQ_09300
ko:K18284	ccf:YSQ_09320
ko:K00645	ccf:YSQ_09325
ko:K03775	ccf:YSQ_09330
ko:K02110	ccf:YSQ_04545
ko:K03308	ccf:YSQ_04550
ko:K03308	ccf:YSQ_04555
ko:K01960	ccf:YSQ_04560
ko:K01610	ccf:YSQ_04565
ko:K01755	ccf:YSQ_04570
ko:K06942	ccf:YSQ_04575
ko:K01255	ccf:YSQ_04580
ko:K00759	ccf:YSQ_04590
ko:K01808	ccf:YSQ_04600
ko:K03412	ccf:YSQ_04605
ko:K00575	ccf:YSQ_04610
ko:K10041	ccf:YSQ_04615
ko:K10039	ccf:YSQ_04620
ko:K10040	ccf:YSQ_04625
ko:K10040	ccf:YSQ_04630
ko:K00948	ccf:YSQ_04635
ko:K06200	ccf:YSQ_04640
ko:K10806	ccf:YSQ_04650
ko:K03530	ccf:YSQ_04660
ko:K01738	ccf:YSQ_04665
ko:K07152	ccf:YSQ_04670
ko:K01775	ccf:YSQ_04695
ko:K03216	ccf:YSQ_04700
ko:K03310	ccf:YSQ_04705
ko:K02028	ccf:YSQ_04710
ko:K02029	ccf:YSQ_04715
ko:K03152	ccf:YSQ_04725
