ko:K01990	ssk:SSUD12_0236
ko:K03060	ssk:SSUD12_0400
ko:K04066	ssk:SSUD12_0401
ko:K00604	ssk:SSUD12_0402
ko:K03500	ssk:SSUD12_0403
ko:K01738	ssk:SSUD12_0411
ko:K05808	ssk:SSUD12_0415
ko:K03565	ssk:SSUD12_0424
ko:K03710	ssk:SSUD12_0427
ko:K12308	ssk:SSUD12_0431
ko:K01873	ssk:SSUD12_0442
ko:K03088	ssk:SSUD12_1317
ko:K03215	ssk:SSUD12_1349
ko:K00891	ssk:SSUD12_1352
ko:K00800	ssk:SSUD12_1353
ko:K00991	ssk:SSUD12_1359
ko:K09817	ssk:SSUD12_0106
ko:K09816	ssk:SSUD12_0107
ko:K02003	ssk:SSUD12_0115
ko:K01866	ssk:SSUD12_0117
ko:K03043	ssk:SSUD12_0119
ko:K03046	ssk:SSUD12_0120
ko:K00925	ssk:SSUD12_0131
ko:K11754	ssk:SSUD12_0133
ko:K06878	ssk:SSUD12_0138
ko:K04078	ssk:SSUD12_0142
ko:K04077	ssk:SSUD12_0143
ko:K02950	ssk:SSUD12_0144
ko:K02992	ssk:SSUD12_0145
ko:K02355	ssk:SSUD12_0146
ko:K00134	ssk:SSUD12_0151
ko:K00927	ssk:SSUD12_0152
ko:K01915	ssk:SSUD12_0155
ko:K03789	ssk:SSUD12_0161
ko:K03311	ssk:SSUD12_1050
ko:K03151	ssk:SSUD12_1051
ko:K04487	ssk:SSUD12_1052
ko:K01620	ssk:SSUD12_1055
ko:K02945	ssk:SSUD12_1056
ko:K00826	ssk:SSUD12_1058
ko:K02621	ssk:SSUD12_1060
ko:K02622	ssk:SSUD12_1062
ko:K08591	ssk:SSUD12_1063
ko:K03979	ssk:SSUD12_1067
ko:K03703	ssk:SSUD12_1072
ko:K03816	ssk:SSUD12_1906
ko:K01462	ssk:SSUD12_1910
ko:K01704	ssk:SSUD12_1912
ko:K01703	ssk:SSUD12_1913
ko:K00052	ssk:SSUD12_1914
ko:K01649	ssk:SSUD12_1915
ko:K07078	ssk:SSUD12_1923
ko:K03763	ssk:SSUD12_1924
ko:K05878	ssk:SSUD12_1927
ko:K05879	ssk:SSUD12_1928
ko:K02440	ssk:SSUD12_1930
ko:K01881	ssk:SSUD12_1931
ko:K11749	ssk:SSUD12_1932
ko:K00981	ssk:SSUD12_1933
ko:K00806	ssk:SSUD12_1934
ko:K03210	ssk:SSUD12_1935
ko:K01939	ssk:SSUD12_1936
ko:K01919	ssk:SSUD12_1937
ko:K04083	ssk:SSUD12_1939
ko:K03696	ssk:SSUD12_1942
ko:K02357	ssk:SSUD12_1946
ko:K02967	ssk:SSUD12_1947
ko:K02601	ssk:SSUD12_1950
ko:K03073	ssk:SSUD12_1951
ko:K02913	ssk:SSUD12_1952
ko:K06180	ssk:SSUD12_1955
ko:K03466	ssk:SSUD12_1957
ko:K02863	ssk:SSUD12_0622
ko:K09903	ssk:SSUD12_0626
ko:K02838	ssk:SSUD12_0627
ko:K00243	ssk:SSUD12_0628
ko:K00077	ssk:SSUD12_0629
ko:K03449	ssk:SSUD12_0634
ko:K00791	ssk:SSUD12_0637
ko:K03665	ssk:SSUD12_0638
ko:K07124	ssk:SSUD12_0641
ko:K06131	ssk:SSUD12_0643
ko:K07462	ssk:SSUD12_0644
ko:K00759	ssk:SSUD12_0646
ko:K00651	ssk:SSUD12_0647
ko:K06967	ssk:SSUD12_0649
ko:K07238	ssk:SSUD12_0651
ko:K00973	ssk:SSUD12_0652
ko:K01790	ssk:SSUD12_0653
ko:K00067	ssk:SSUD12_0657
ko:K01448	ssk:SSUD12_0661
ko:K05592	ssk:SSUD12_1529
ko:K00868	ssk:SSUD12_1536
ko:K04042	ssk:SSUD12_1540
ko:K02003	ssk:SSUD12_1549
ko:K05847	ssk:SSUD12_1556
ko:K13292	ssk:SSUD12_1560
ko:K01809	ssk:SSUD12_1562
ko:K06959	ssk:SSUD12_1568
ko:K07058	ssk:SSUD12_1574
ko:K01265	ssk:SSUD12_1575
ko:K00790	ssk:SSUD12_1577
ko:K00789	ssk:SSUD12_1579
ko:K02003	ssk:SSUD12_0224
ko:K03310	ssk:SSUD12_0226
ko:K00262	ssk:SSUD12_0229
ko:K07282	ssk:SSUD12_0232
ko:K01421	ssk:SSUD12_0238
ko:K06915	ssk:SSUD12_0243
ko:K02913	ssk:SSUD12_0253
ko:K02911	ssk:SSUD12_0254
ko:K01892	ssk:SSUD12_0255
ko:K04072	ssk:SSUD12_0257
ko:K01733	ssk:SSUD12_0258
ko:K07166	ssk:SSUD12_0273
ko:K09157	ssk:SSUD12_0274
ko:K00831	ssk:SSUD12_1136
ko:K07056	ssk:SSUD12_1137
ko:K02341	ssk:SSUD12_1139
ko:K00943	ssk:SSUD12_1140
ko:K01358	ssk:SSUD12_1168
ko:K00789	ssk:SSUD12_1180
ko:K00057	ssk:SSUD12_2014
ko:K00963	ssk:SSUD12_2015
ko:K05823	ssk:SSUD12_2018
ko:K01810	ssk:SSUD12_2023
ko:K00615	ssk:SSUD12_2026
ko:K02761	ssk:SSUD12_2049
ko:K02759	ssk:SSUD12_2051
ko:K02760	ssk:SSUD12_2052
ko:K01869	ssk:SSUD12_2057
ko:K02313	ssk:SSUD12_0001
ko:K02338	ssk:SSUD12_0002
ko:K06942	ssk:SSUD12_0006
ko:K01056	ssk:SSUD12_0007
ko:K01740	ssk:SSUD12_0858
ko:K03702	ssk:SSUD12_0863
ko:K00703	ssk:SSUD12_0871
ko:K00975	ssk:SSUD12_0872
ko:K00975	ssk:SSUD12_0873
ko:K01591	ssk:SSUD12_0877
ko:K00762	ssk:SSUD12_0879
ko:K03648	ssk:SSUD12_0881
ko:K01465	ssk:SSUD12_0882
ko:K06287	ssk:SSUD12_0884
ko:K06940	ssk:SSUD12_0885
ko:K14540	ssk:SSUD12_0886
ko:K03470	ssk:SSUD12_0887
ko:K11068	ssk:SSUD12_0889
ko:K04096	ssk:SSUD12_0893
ko:K03168	ssk:SSUD12_0894
ko:K02864	ssk:SSUD12_0895
ko:K02935	ssk:SSUD12_0896
ko:K03427	ssk:SSUD12_0902
ko:K01154	ssk:SSUD12_0903
ko:K04094	ssk:SSUD12_0904
ko:K07010	ssk:SSUD12_1745
ko:K00549	ssk:SSUD12_1748
ko:K00297	ssk:SSUD12_1749
ko:K06901	ssk:SSUD12_1750
ko:K01875	ssk:SSUD12_1756
ko:K01962	ssk:SSUD12_1760
ko:K01963	ssk:SSUD12_1761
ko:K01961	ssk:SSUD12_1762
ko:K02372	ssk:SSUD12_1763
ko:K02160	ssk:SSUD12_1764
ko:K09458	ssk:SSUD12_1765
ko:K00645	ssk:SSUD12_1767
ko:K02078	ssk:SSUD12_1769
ko:K00648	ssk:SSUD12_1770
ko:K00928	ssk:SSUD12_1774
ko:K01775	ssk:SSUD12_1775
ko:K00997	ssk:SSUD12_1776
ko:K03070	ssk:SSUD12_1777
ko:K00847	ssk:SSUD12_1781
ko:K01193	ssk:SSUD12_1783
ko:K03484	ssk:SSUD12_1784
ko:K03625	ssk:SSUD12_1785
ko:K02356	ssk:SSUD12_1787
ko:K03701	ssk:SSUD12_1794
ko:K03284	ssk:SSUD12_1796
ko:K02963	ssk:SSUD12_1798
ko:K01914	ssk:SSUD12_0448
ko:K06207	ssk:SSUD12_0449
ko:K01925	ssk:SSUD12_0451
ko:K02563	ssk:SSUD12_0452
ko:K03589	ssk:SSUD12_0453
ko:K03590	ssk:SSUD12_0454
ko:K03531	ssk:SSUD12_0455
ko:K06997	ssk:SSUD12_0456
ko:K09772	ssk:SSUD12_0457
ko:K02221	ssk:SSUD12_0458
ko:K04074	ssk:SSUD12_0460
ko:K01870	ssk:SSUD12_0462
ko:K01491	ssk:SSUD12_0469
ko:K03100	ssk:SSUD12_0471
ko:K08303	ssk:SSUD12_0479
ko:K03523	ssk:SSUD12_0482
ko:K02003	ssk:SSUD12_0486
ko:K13012	ssk:SSUD12_1365
ko:K09861	ssk:SSUD12_1371
ko:K00286	ssk:SSUD12_1377
ko:K00147	ssk:SSUD12_1378
ko:K00931	ssk:SSUD12_1379
ko:K02029	ssk:SSUD12_1386
ko:K00820	ssk:SSUD12_1387
ko:K03100	ssk:SSUD12_1388
ko:K00873	ssk:SSUD12_1393
ko:K00850	ssk:SSUD12_1394
ko:K02337	ssk:SSUD12_1395
ko:K12251	ssk:SSUD12_1403
ko:K10536	ssk:SSUD12_1404
ko:K13747	ssk:SSUD12_1405
ko:K00797	ssk:SSUD12_1407
ko:K03086	ssk:SSUD12_1410
ko:K03282	ssk:SSUD12_1412
ko:K02970	ssk:SSUD12_1415
ko:K07407	ssk:SSUD12_0167
ko:K07007	ssk:SSUD12_0174
ko:K01126	ssk:SSUD12_0177
ko:K09747	ssk:SSUD12_0178
ko:K02082	ssk:SSUD12_0179
ko:K00656	ssk:SSUD12_0188
ko:K02346	ssk:SSUD12_0189
ko:K07118	ssk:SSUD12_0191
ko:K03581	ssk:SSUD12_0194
ko:K03100	ssk:SSUD12_0195
ko:K07456	ssk:SSUD12_0208
ko:K03671	ssk:SSUD12_0217
ko:K12267	ssk:SSUD12_0219
ko:K03657	ssk:SSUD12_1082
ko:K06999	ssk:SSUD12_1086
ko:K15975	ssk:SSUD12_1087
ko:K02440	ssk:SSUD12_1088
ko:K00864	ssk:SSUD12_1090
ko:K01714	ssk:SSUD12_1094
ko:K00133	ssk:SSUD12_1095
ko:K00005	ssk:SSUD12_1096
ko:K00656	ssk:SSUD12_1099
ko:K02761	ssk:SSUD12_1100
ko:K02760	ssk:SSUD12_1101
ko:K02759	ssk:SSUD12_1102
ko:K04069	ssk:SSUD12_1105
ko:K03823	ssk:SSUD12_1108
ko:K01938	ssk:SSUD12_1114
ko:K01142	ssk:SSUD12_1130
ko:K09760	ssk:SSUD12_1966
ko:K01783	ssk:SSUD12_1968
ko:K06949	ssk:SSUD12_1969
ko:K02528	ssk:SSUD12_1975
ko:K05985	ssk:SSUD12_1981
ko:K03424	ssk:SSUD12_1982
ko:K02914	ssk:SSUD12_1983
ko:K03217	ssk:SSUD12_1985
ko:K03536	ssk:SSUD12_1986
ko:K01755	ssk:SSUD12_1987
ko:K01940	ssk:SSUD12_1988
ko:K01673	ssk:SSUD12_2001
ko:K04485	ssk:SSUD12_2002
ko:K02003	ssk:SSUD12_2010
ko:K03705	ssk:SSUD12_0282
ko:K03687	ssk:SSUD12_0283
ko:K04043	ssk:SSUD12_0284
ko:K03686	ssk:SSUD12_0286
ko:K07727	ssk:SSUD12_0291
ko:K01534	ssk:SSUD12_0293
ko:K06173	ssk:SSUD12_0295
ko:K00868	ssk:SSUD12_0296
ko:K07118	ssk:SSUD12_0310
ko:K03545	ssk:SSUD12_0317
ko:K01937	ssk:SSUD12_0325
ko:K01624	ssk:SSUD12_0326
ko:K02902	ssk:SSUD12_0327
ko:K03655	ssk:SSUD12_0331
ko:K02769	ssk:SSUD12_1208
ko:K02770	ssk:SSUD12_1208
ko:K02237	ssk:SSUD12_1215
ko:K00655	ssk:SSUD12_1216
ko:K02013	ssk:SSUD12_1218
ko:K02016	ssk:SSUD12_1219
ko:K02015	ssk:SSUD12_1220
ko:K02015	ssk:SSUD12_1221
ko:K00432	ssk:SSUD12_1222
ko:K14188	ssk:SSUD12_1230
ko:K03739	ssk:SSUD12_1231
ko:K03367	ssk:SSUD12_1232
ko:K07560	ssk:SSUD12_2068
ko:K07150	ssk:SSUD12_2072
ko:K09761	ssk:SSUD12_2073
ko:K02687	ssk:SSUD12_2074
ko:K07478	ssk:SSUD12_2079
ko:K02029	ssk:SSUD12_2086
ko:K07010	ssk:SSUD12_2088
ko:K03555	ssk:SSUD12_2091
ko:K03402	ssk:SSUD12_2092
ko:K01887	ssk:SSUD12_2093
ko:K00705	ssk:SSUD12_2097
ko:K02529	ssk:SSUD12_2102
ko:K00945	ssk:SSUD12_0681
ko:K02520	ssk:SSUD12_0682
ko:K02916	ssk:SSUD12_0683
ko:K02887	ssk:SSUD12_0684
ko:K06969	ssk:SSUD12_0687
ko:K03785	ssk:SSUD12_0688
ko:K01736	ssk:SSUD12_0689
ko:K01443	ssk:SSUD12_0692
ko:K01735	ssk:SSUD12_0698
ko:K00014	ssk:SSUD12_0699
ko:K01626	ssk:SSUD12_0700
ko:K01626	ssk:SSUD12_0701
ko:K01874	ssk:SSUD12_0703
ko:K08602	ssk:SSUD12_0707
ko:K01872	ssk:SSUD12_0715
ko:K01681	ssk:SSUD12_0730
ko:K01647	ssk:SSUD12_0731
ko:K00031	ssk:SSUD12_0732
ko:K03685	ssk:SSUD12_0741
ko:K03524	ssk:SSUD12_1583
ko:K02343	ssk:SSUD12_1585
ko:K00876	ssk:SSUD12_1589
ko:K09946	ssk:SSUD12_1602
ko:K03530	ssk:SSUD12_1612
ko:K03631	ssk:SSUD12_1616
ko:K03402	ssk:SSUD12_1617
ko:K06442	ssk:SSUD12_1618
ko:K13789	ssk:SSUD12_1619
ko:K03602	ssk:SSUD12_1620
ko:K03601	ssk:SSUD12_1621
ko:K07396	ssk:SSUD12_1636
ko:K01876	ssk:SSUD12_2106
ko:K02986	ssk:SSUD12_2113
ko:K02939	ssk:SSUD12_2116
ko:K03495	ssk:SSUD12_2119
ko:K03723	ssk:SSUD12_0008
ko:K04075	ssk:SSUD12_0013
ko:K00760	ssk:SSUD12_0014
ko:K03570	ssk:SSUD12_0019
ko:K03571	ssk:SSUD12_0020
ko:K00948	ssk:SSUD12_0022
ko:K03584	ssk:SSUD12_0024
ko:K03621	ssk:SSUD12_0025
ko:K02078	ssk:SSUD12_0026
ko:K01923	ssk:SSUD12_0027
ko:K00764	ssk:SSUD12_0030
ko:K11175	ssk:SSUD12_0033
ko:K00602	ssk:SSUD12_0035
ko:K01945	ssk:SSUD12_0040
ko:K01588	ssk:SSUD12_0041
ko:K01589	ssk:SSUD12_0042
ko:K01756	ssk:SSUD12_0044
ko:K03551	ssk:SSUD12_0053
ko:K02003	ssk:SSUD12_0913
ko:K03106	ssk:SSUD12_0926
ko:K03710	ssk:SSUD12_0928
ko:K01951	ssk:SSUD12_0929
ko:K00600	ssk:SSUD12_0939
ko:K07566	ssk:SSUD12_0941
ko:K02493	ssk:SSUD12_0942
ko:K02835	ssk:SSUD12_0943
ko:K01821	ssk:SSUD12_0947
ko:K03596	ssk:SSUD12_0948
ko:K00940	ssk:SSUD12_0949
ko:K03978	ssk:SSUD12_0950
ko:K03544	ssk:SSUD12_0951
ko:K15738	ssk:SSUD12_0959
ko:K00215	ssk:SSUD12_0961
ko:K02768	ssk:SSUD12_0964
ko:K02769	ssk:SSUD12_0964
ko:K02770	ssk:SSUD12_0964
ko:K00817	ssk:SSUD12_0967
ko:K00554	ssk:SSUD12_0968
ko:K02990	ssk:SSUD12_1800
ko:K03800	ssk:SSUD12_1801
ko:K01223	ssk:SSUD12_1802
ko:K01223	ssk:SSUD12_1806
ko:K00382	ssk:SSUD12_1812
ko:K00627	ssk:SSUD12_1813
ko:K00162	ssk:SSUD12_1814
ko:K00161	ssk:SSUD12_1815
ko:K02834	ssk:SSUD12_1819
ko:K02519	ssk:SSUD12_1820
ko:K07742	ssk:SSUD12_1822
ko:K02600	ssk:SSUD12_1823
ko:K09748	ssk:SSUD12_1824
ko:K03439	ssk:SSUD12_1825
ko:K02503	ssk:SSUD12_1829
ko:K06925	ssk:SSUD12_1834
ko:K02034	ssk:SSUD12_1837
ko:K09014	ssk:SSUD12_1845
ko:K11717	ssk:SSUD12_1848
ko:K09015	ssk:SSUD12_1849
ko:K04567	ssk:SSUD12_0510
ko:K03588	ssk:SSUD12_0518
ko:K01595	ssk:SSUD12_0519
ko:K03088	ssk:SSUD12_0520
ko:K02358	ssk:SSUD12_0522
ko:K01803	ssk:SSUD12_0523
ko:K06885	ssk:SSUD12_0525
ko:K02836	ssk:SSUD12_0533
ko:K09812	ssk:SSUD12_0534
ko:K09811	ssk:SSUD12_0535
ko:K04759	ssk:SSUD12_0536
ko:K04758	ssk:SSUD12_0537
ko:K07042	ssk:SSUD12_0546
ko:K00859	ssk:SSUD12_0551
ko:K02913	ssk:SSUD12_0553
ko:K03075	ssk:SSUD12_0554
ko:K12573	ssk:SSUD12_0556
ko:K03664	ssk:SSUD12_0557
ko:K00688	ssk:SSUD12_1422
ko:K01839	ssk:SSUD12_1426
ko:K01807	ssk:SSUD12_1427
ko:K03427	ssk:SSUD12_1428
ko:K01154	ssk:SSUD12_1431
ko:K01153	ssk:SSUD12_1433
ko:K03650	ssk:SSUD12_1434
ko:K03744	ssk:SSUD12_1438
ko:K07862	ssk:SSUD12_1444
ko:K03431	ssk:SSUD12_1448
ko:K01928	ssk:SSUD12_1451
ko:K00563	ssk:SSUD12_1453
ko:K06158	ssk:SSUD12_1455
ko:K01575	ssk:SSUD12_1469
ko:K03529	ssk:SSUD12_0742
ko:K03110	ssk:SSUD12_0745
ko:K00036	ssk:SSUD12_0748
ko:K07089	ssk:SSUD12_0750
ko:K01972	ssk:SSUD12_0752
ko:K02110	ssk:SSUD12_0754
ko:K02108	ssk:SSUD12_0755
ko:K02109	ssk:SSUD12_0756
ko:K02113	ssk:SSUD12_0757
ko:K02111	ssk:SSUD12_0758
ko:K02115	ssk:SSUD12_0759
ko:K02112	ssk:SSUD12_0760
ko:K02114	ssk:SSUD12_0761
ko:K00790	ssk:SSUD12_0763
ko:K00874	ssk:SSUD12_0767
ko:K01195	ssk:SSUD12_0768
ko:K01625	ssk:SSUD12_0770
ko:K01812	ssk:SSUD12_0771
ko:K01686	ssk:SSUD12_0772
ko:K01207	ssk:SSUD12_0775
ko:K01207	ssk:SSUD12_0776
ko:K01889	ssk:SSUD12_0777
ko:K01890	ssk:SSUD12_0779
ko:K01495	ssk:SSUD12_0785
ko:K00796	ssk:SSUD12_0786
ko:K01633	ssk:SSUD12_0787
ko:K00950	ssk:SSUD12_0788
ko:K08987	ssk:SSUD12_0794
ko:K07088	ssk:SSUD12_0798
ko:K01207	ssk:SSUD12_1640
ko:K04069	ssk:SSUD12_1641
ko:K02013	ssk:SSUD12_1643
ko:K00763	ssk:SSUD12_1648
ko:K01696	ssk:SSUD12_1650
ko:K00954	ssk:SSUD12_1657
ko:K07778	ssk:SSUD12_1663
ko:K04047	ssk:SSUD12_1666
ko:K03216	ssk:SSUD12_1673
ko:K08998	ssk:SSUD12_1675
ko:K06178	ssk:SSUD12_1676
ko:K06024	ssk:SSUD12_1677
ko:K05896	ssk:SSUD12_1678
ko:K07095	ssk:SSUD12_1681
ko:K01776	ssk:SSUD12_1683
ko:K01586	ssk:SSUD12_1685
ko:K06890	ssk:SSUD12_1687
ko:K06950	ssk:SSUD12_1688
ko:K03437	ssk:SSUD12_1689
ko:K01512	ssk:SSUD12_1690
ko:K14260	ssk:SSUD12_0338
ko:K03706	ssk:SSUD12_0339
ko:K02884	ssk:SSUD12_0341
ko:K02435	ssk:SSUD12_0346
ko:K02434	ssk:SSUD12_0348
ko:K02529	ssk:SSUD12_0349
ko:K00849	ssk:SSUD12_0350
ko:K00965	ssk:SSUD12_0351
ko:K07015	ssk:SSUD12_0355
ko:K07574	ssk:SSUD12_0357
ko:K00969	ssk:SSUD12_0358
ko:K09710	ssk:SSUD12_0363
ko:K01462	ssk:SSUD12_0369
ko:K00705	ssk:SSUD12_0371
ko:K00688	ssk:SSUD12_0372
ko:K07146	ssk:SSUD12_0383
ko:K03704	ssk:SSUD12_0387
ko:K03501	ssk:SSUD12_0388
ko:K05366	ssk:SSUD12_0389
ko:K07568	ssk:SSUD12_1250
ko:K03402	ssk:SSUD12_1251
ko:K00926	ssk:SSUD12_1256
ko:K00611	ssk:SSUD12_1257
ko:K06958	ssk:SSUD12_1263
ko:K01893	ssk:SSUD12_1268
ko:K07707	ssk:SSUD12_1282
ko:K00566	ssk:SSUD12_2125
ko:K01752	ssk:SSUD12_2126
ko:K01752	ssk:SSUD12_2127
ko:K00995	ssk:SSUD12_2135
ko:K03629	ssk:SSUD12_2154
ko:K01867	ssk:SSUD12_2156
ko:K00783	ssk:SSUD12_2171
ko:K11754	ssk:SSUD12_0059
ko:K03572	ssk:SSUD12_0062
ko:K03550	ssk:SSUD12_0063
ko:K01246	ssk:SSUD12_0064
ko:K07447	ssk:SSUD12_0071
ko:K02946	ssk:SSUD12_0074
ko:K02906	ssk:SSUD12_0075
ko:K02926	ssk:SSUD12_0076
ko:K02892	ssk:SSUD12_0077
ko:K02886	ssk:SSUD12_0078
ko:K02965	ssk:SSUD12_0079
ko:K02890	ssk:SSUD12_0080
ko:K02982	ssk:SSUD12_0081
ko:K02878	ssk:SSUD12_0082
ko:K02904	ssk:SSUD12_0083
ko:K02961	ssk:SSUD12_0084
ko:K02874	ssk:SSUD12_0085
ko:K02895	ssk:SSUD12_0086
ko:K02931	ssk:SSUD12_0087
ko:K02954	ssk:SSUD12_0088
ko:K02994	ssk:SSUD12_0089
ko:K02933	ssk:SSUD12_0090
ko:K02881	ssk:SSUD12_0091
ko:K02988	ssk:SSUD12_0092
ko:K02907	ssk:SSUD12_0093
ko:K02876	ssk:SSUD12_0094
ko:K03076	ssk:SSUD12_0095
ko:K02518	ssk:SSUD12_0097
ko:K02952	ssk:SSUD12_0098
ko:K02948	ssk:SSUD12_0099
ko:K03040	ssk:SSUD12_0100
ko:K02879	ssk:SSUD12_0101
ko:K02860	ssk:SSUD12_0969
ko:K03327	ssk:SSUD12_0970
ko:K00364	ssk:SSUD12_0971
ko:K10773	ssk:SSUD12_0972
ko:K00075	ssk:SSUD12_0979
ko:K00872	ssk:SSUD12_0980
ko:K00003	ssk:SSUD12_0981
ko:K02860	ssk:SSUD12_0998
ko:K06960	ssk:SSUD12_1001
ko:K02959	ssk:SSUD12_1002
ko:K01304	ssk:SSUD12_1004
ko:K01955	ssk:SSUD12_1009
ko:K01956	ssk:SSUD12_1010
ko:K00609	ssk:SSUD12_1011
ko:K02825	ssk:SSUD12_1012
ko:K06193	ssk:SSUD12_1014
ko:K06180	ssk:SSUD12_1015
ko:K03101	ssk:SSUD12_1016
ko:K02899	ssk:SSUD12_1019
ko:K02888	ssk:SSUD12_1020
ko:K09013	ssk:SSUD12_1850
ko:K06153	ssk:SSUD12_1853
ko:K01754	ssk:SSUD12_1858
ko:K00053	ssk:SSUD12_1859
ko:K01653	ssk:SSUD12_1860
ko:K01652	ssk:SSUD12_1861
ko:K01687	ssk:SSUD12_1864
ko:K02996	ssk:SSUD12_1870
ko:K02871	ssk:SSUD12_1871
ko:K06962	ssk:SSUD12_1874
ko:K03218	ssk:SSUD12_1875
ko:K07718	ssk:SSUD12_1883
ko:K11145	ssk:SSUD12_1894
ko:K01883	ssk:SSUD12_1895
ko:K00640	ssk:SSUD12_1898
ko:K00962	ssk:SSUD12_1899
ko:K02956	ssk:SSUD12_1900
ko:K11065	ssk:SSUD12_0569
ko:K02003	ssk:SSUD12_0571
ko:K06929	ssk:SSUD12_0578
ko:K00773	ssk:SSUD12_0580
ko:K02529	ssk:SSUD12_0583
ko:K01868	ssk:SSUD12_0590
ko:K00687	ssk:SSUD12_0599
ko:K06187	ssk:SSUD12_0600
ko:K01921	ssk:SSUD12_0601
ko:K02003	ssk:SSUD12_0604
ko:K01929	ssk:SSUD12_0605
ko:K02837	ssk:SSUD12_0608
ko:K02529	ssk:SSUD12_0613
ko:K01193	ssk:SSUD12_0617
ko:K03466	ssk:SSUD12_0618
ko:K02867	ssk:SSUD12_0621
ko:K01689	ssk:SSUD12_1475
ko:K00865	ssk:SSUD12_1479
ko:K01091	ssk:SSUD12_1480
ko:K01079	ssk:SSUD12_1481
ko:K02470	ssk:SSUD12_1483
ko:K03152	ssk:SSUD12_1484
ko:K05837	ssk:SSUD12_1485
ko:K02909	ssk:SSUD12_1488
ko:K03734	ssk:SSUD12_1489
ko:K02954	ssk:SSUD12_1492
ko:K04564	ssk:SSUD12_1496
ko:K02340	ssk:SSUD12_1497
ko:K09765	ssk:SSUD12_1499
ko:K01996	ssk:SSUD12_1500
ko:K01995	ssk:SSUD12_1501
ko:K01998	ssk:SSUD12_1502
ko:K01997	ssk:SSUD12_1503
ko:K01999	ssk:SSUD12_1504
ko:K01358	ssk:SSUD12_1506
ko:K00761	ssk:SSUD12_1507
ko:K00690	ssk:SSUD12_1509
ko:K10117	ssk:SSUD12_1512
ko:K07407	ssk:SSUD12_1513
ko:K14155	ssk:SSUD12_1515
ko:K07461	ssk:SSUD12_1522
ko:K01118	ssk:SSUD12_1524
ko:K10716	ssk:SSUD12_0810
ko:K10040	ssk:SSUD12_0592
ko:K01834	ssk:SSUD12_1594
ko:K13953	ssk:SSUD12_0256
ko:K00869	ssk:SSUD12_0267
ko:K01597	ssk:SSUD12_0268
ko:K00938	ssk:SSUD12_0269
ko:K01823	ssk:SSUD12_0270
ko:K01992	ssk:SSUD12_0276
ko:K04767	ssk:SSUD12_1144
ko:K01934	ssk:SSUD12_2017
ko:K00674	ssk:SSUD12_2020
ko:K03476	ssk:SSUD12_2027
ko:K03493	ssk:SSUD12_2028
ko:K02821	ssk:SSUD12_2033
ko:K02822	ssk:SSUD12_2034
ko:K03475	ssk:SSUD12_2035
ko:K03491	ssk:SSUD12_2053
ko:K09963	ssk:SSUD12_2054
ko:K01222	ssk:SSUD12_2056
ko:K07386	ssk:SSUD12_2059
ko:K11709	ssk:SSUD12_2060
ko:K11708	ssk:SSUD12_2061
ko:K11710	ssk:SSUD12_2062
ko:K11707	ssk:SSUD12_2063
ko:K03709	ssk:SSUD12_2064
ko:K04517	ssk:SSUD12_0690
ko:K01635	ssk:SSUD12_0693
ko:K05832	ssk:SSUD12_0696
