ko:K19079	sauz:SAZ172_0672
ko:K11476	sauz:SAZ172_2603
ko:K03535	sauz:SAZ172_2608
ko:K01990	sauz:SAZ172_2612
ko:K04041	sauz:SAZ172_2614
ko:K06999	sauz:SAZ172_2616
ko:K15975	sauz:SAZ172_2617
ko:K15973	sauz:SAZ172_2618
ko:K06975	sauz:SAZ172_2619
ko:K07104	sauz:SAZ172_2620
ko:K03778	sauz:SAZ172_2622
ko:K16917	sauz:SAZ172_2624
ko:K16916	sauz:SAZ172_2625
ko:K03823	sauz:SAZ172_2627
ko:K01752	sauz:SAZ172_2628
ko:K01752	sauz:SAZ172_2629
ko:K07107	sauz:SAZ172_2634
ko:K00158	sauz:SAZ172_2636
ko:K00054	sauz:SAZ172_2644
ko:K01641	sauz:SAZ172_2645
ko:K00567	sauz:SAZ172_2646
ko:K04086	sauz:SAZ172_2647
ko:K04759	sauz:SAZ172_2649
ko:K04758	sauz:SAZ172_2650
ko:K06994	sauz:SAZ172_2651
ko:K00294	sauz:SAZ172_2654
ko:K17686	sauz:SAZ172_2657
ko:K07213	sauz:SAZ172_2658
ko:K03778	sauz:SAZ172_2659
ko:K10209	sauz:SAZ172_2661
ko:K10208	sauz:SAZ172_2662
ko:K10211	sauz:SAZ172_2663
ko:K10210	sauz:SAZ172_2664
ko:K07035	sauz:SAZ172_2669
ko:K07032	sauz:SAZ172_2673
ko:K14228	sauz:SAZ172_t08
ko:K14228	sauz:SAZ172_t45
ko:K09765	sauz:SAZ172_2711
ko:K04750	sauz:SAZ172_2712
ko:K06978	sauz:SAZ172_2714
ko:K01579	sauz:SAZ172_2715
ko:K01918	sauz:SAZ172_2716
ko:K00606	sauz:SAZ172_2717
ko:K00077	sauz:SAZ172_2718
ko:K01575	sauz:SAZ172_2719
ko:K00016	sauz:SAZ172_2720
ko:K03294	sauz:SAZ172_2721
ko:K00823	sauz:SAZ172_2722
ko:K01623	sauz:SAZ172_2724
ko:K00116	sauz:SAZ172_2725
ko:K01895	sauz:SAZ172_2726
ko:K03451	sauz:SAZ172_2732
ko:K03300	sauz:SAZ172_2735
ko:K02304	sauz:SAZ172_2737
ko:K00380	sauz:SAZ172_2738
ko:K00432	sauz:SAZ172_2739
ko:K01077	sauz:SAZ172_2746
ko:K14192	sauz:SAZ172_2749
ko:K00926	sauz:SAZ172_2751
ko:K03758	sauz:SAZ172_2752
ko:K00611	sauz:SAZ172_2753
ko:K01478	sauz:SAZ172_2754
ko:K01401	sauz:SAZ172_2756
ko:K02768	sauz:SAZ172_2760
ko:K02769	sauz:SAZ172_2760
ko:K02770	sauz:SAZ172_2760
ko:K01809	sauz:SAZ172_2761
ko:K01421	sauz:SAZ172_2762
ko:K03070	sauz:SAZ172_2768
ko:K12270	sauz:SAZ172_2769
ko:K12269	sauz:SAZ172_2770
ko:K12268	sauz:SAZ172_2771
ko:K03076	sauz:SAZ172_2772
ko:K07304	sauz:SAZ172_2780
ko:K01104	sauz:SAZ172_2782
ko:K11936	sauz:SAZ172_2786
ko:K11755	sauz:SAZ172_2792
ko:K02500	sauz:SAZ172_2793
ko:K01814	sauz:SAZ172_2794
ko:K02501	sauz:SAZ172_2795
ko:K01693	sauz:SAZ172_2796
ko:K00817	sauz:SAZ172_2797
ko:K00013	sauz:SAZ172_2798
ko:K00765	sauz:SAZ172_2799
ko:K16785	sauz:SAZ172_2803
ko:K16786	sauz:SAZ172_2804
ko:K16787	sauz:SAZ172_2804
ko:K16924	sauz:SAZ172_2805
ko:K02352	sauz:SAZ172_2808
ko:K07146	sauz:SAZ172_2809
ko:K01304	sauz:SAZ172_2810
ko:K03319	sauz:SAZ172_2813
ko:K05786	sauz:SAZ172_2814
ko:K07241	sauz:SAZ172_2816
ko:K11631	sauz:SAZ172_2819
ko:K11632	sauz:SAZ172_2820
ko:K03704	sauz:SAZ172_2826
ko:K07491	sauz:SAZ172_2830
ko:K03501	sauz:SAZ172_2832
ko:K03495	sauz:SAZ172_2833
ko:K03650	sauz:SAZ172_2834
ko:K03536	sauz:SAZ172_2835
ko:K02914	sauz:SAZ172_2836
ko:K01534	sauz:SAZ172_p126
ko:K07729	sauz:SAZ172_p131
ko:K08167	sauz:SAZ172_p133
ko:K00128	sauz:SAZ172_1934
ko:K00128	sauz:SAZ172_2226
ko:K00128	sauz:SAZ172_0177
ko:K02012	sauz:SAZ172_0224
ko:K00656	sauz:SAZ172_0225
ko:K04069	sauz:SAZ172_0226
ko:K01126	sauz:SAZ172_0228
ko:K07516	sauz:SAZ172_0232
ko:K00252	sauz:SAZ172_0233
ko:K01897	sauz:SAZ172_0234
ko:K02035	sauz:SAZ172_0238
ko:K05916	sauz:SAZ172_0241
ko:K00016	sauz:SAZ172_0242
ko:K02773	sauz:SAZ172_0247
ko:K02774	sauz:SAZ172_0248
ko:K02775	sauz:SAZ172_0249
ko:K05352	sauz:SAZ172_0254
ko:K07322	sauz:SAZ172_0262
ko:K07704	sauz:SAZ172_0263
ko:K05338	sauz:SAZ172_0265
ko:K05339	sauz:SAZ172_0266
ko:K04561	sauz:SAZ172_0267
ko:K03489	sauz:SAZ172_0268
ko:K01223	sauz:SAZ172_0270
ko:K02551	sauz:SAZ172_0984
ko:K08680	sauz:SAZ172_0985
ko:K01661	sauz:SAZ172_0986
ko:K13715	sauz:SAZ172_0988
ko:K00841	sauz:SAZ172_0990
ko:K02829	sauz:SAZ172_0998
ko:K02828	sauz:SAZ172_0999
ko:K02827	sauz:SAZ172_1000
ko:K02826	sauz:SAZ172_1001
ko:K01491	sauz:SAZ172_1003
ko:K01588	sauz:SAZ172_1004
ko:K01589	sauz:SAZ172_1005
ko:K01923	sauz:SAZ172_1006
ko:K01952	sauz:SAZ172_1008
ko:K01952	sauz:SAZ172_1009
ko:K00764	sauz:SAZ172_1010
ko:K01933	sauz:SAZ172_1011
ko:K11175	sauz:SAZ172_1012
ko:K00602	sauz:SAZ172_1013
ko:K01945	sauz:SAZ172_1014
ko:K16785	sauz:SAZ172_1015
ko:K16786	sauz:SAZ172_1016
ko:K16787	sauz:SAZ172_1016
ko:K16925	sauz:SAZ172_1017
ko:K06969	sauz:SAZ172_1020
ko:K11189	sauz:SAZ172_1022
ko:K08483	sauz:SAZ172_1023
ko:K00425	sauz:SAZ172_1025
ko:K00426	sauz:SAZ172_1026
ko:K03499	sauz:SAZ172_1027
ko:K00058	sauz:SAZ172_1737
ko:K02803	sauz:SAZ172_1739
ko:K02804	sauz:SAZ172_1739
ko:K00655	sauz:SAZ172_1740
ko:K01866	sauz:SAZ172_1742
ko:K12551	sauz:SAZ172_1743
ko:K01938	sauz:SAZ172_1745
ko:K01895	sauz:SAZ172_1746
ko:K04766	sauz:SAZ172_1747
ko:K04768	sauz:SAZ172_1748
ko:K02529	sauz:SAZ172_1749
ko:K13853	sauz:SAZ172_1751
ko:K01924	sauz:SAZ172_1754
ko:K03466	sauz:SAZ172_1755
ko:K06878	sauz:SAZ172_1756
ko:K01261	sauz:SAZ172_1759
ko:K03439	sauz:SAZ172_1762
ko:K00824	sauz:SAZ172_1764
ko:K01439	sauz:SAZ172_1765
ko:K06183	sauz:SAZ172_1767
ko:K07007	sauz:SAZ172_1769
ko:K01869	sauz:SAZ172_1772
ko:K07139	sauz:SAZ172_1774
ko:K00318	sauz:SAZ172_1780
ko:K00794	sauz:SAZ172_1781
ko:K14652	sauz:SAZ172_1782
ko:K03652	sauz:SAZ172_2447
ko:K03312	sauz:SAZ172_2448
ko:K01823	sauz:SAZ172_2449
ko:K03284	sauz:SAZ172_2450
ko:K07107	sauz:SAZ172_2451
ko:K07552	sauz:SAZ172_2458
ko:K09814	sauz:SAZ172_2463
ko:K09813	sauz:SAZ172_2464
ko:K00116	sauz:SAZ172_2469
ko:K03303	sauz:SAZ172_2470
ko:K11102	sauz:SAZ172_2487
ko:K10850	sauz:SAZ172_2491
ko:K07696	sauz:SAZ172_2495
ko:K07683	sauz:SAZ172_2496
ko:K00852	sauz:SAZ172_0272
ko:K06726	sauz:SAZ172_0273
ko:K06216	sauz:SAZ172_0274
ko:K02529	sauz:SAZ172_0275
ko:K01442	sauz:SAZ172_0278
ko:K01990	sauz:SAZ172_0280
ko:K01992	sauz:SAZ172_0281
ko:K01992	sauz:SAZ172_0282
ko:K03466	sauz:SAZ172_0290
ko:K03311	sauz:SAZ172_0306
ko:K02004	sauz:SAZ172_0308
ko:K02003	sauz:SAZ172_0309
ko:K16329	sauz:SAZ172_0312
ko:K03307	sauz:SAZ172_0314
ko:K01639	sauz:SAZ172_0315
ko:K01788	sauz:SAZ172_0318
ko:K01462	sauz:SAZ172_1030
ko:K00161	sauz:SAZ172_1032
ko:K00162	sauz:SAZ172_1033
ko:K00627	sauz:SAZ172_1034
ko:K00382	sauz:SAZ172_1035
ko:K11072	sauz:SAZ172_1038
ko:K11071	sauz:SAZ172_1039
ko:K11070	sauz:SAZ172_1040
ko:K11069	sauz:SAZ172_1041
ko:K03322	sauz:SAZ172_1044
ko:K01092	sauz:SAZ172_1046
ko:K06207	sauz:SAZ172_1048
ko:K03588	sauz:SAZ172_1052
ko:K01958	sauz:SAZ172_1053
ko:K02259	sauz:SAZ172_1054
ko:K08976	sauz:SAZ172_1056
ko:K01126	sauz:SAZ172_1059
ko:K00954	sauz:SAZ172_1063
ko:K07040	sauz:SAZ172_1065
ko:K02911	sauz:SAZ172_1066
ko:K00793	sauz:SAZ172_1783
ko:K11752	sauz:SAZ172_1784
ko:K03893	sauz:SAZ172_1786
ko:K07052	sauz:SAZ172_1793
ko:K00616	sauz:SAZ172_1794
ko:K06199	sauz:SAZ172_1796
ko:K00789	sauz:SAZ172_1801
ko:K01610	sauz:SAZ172_1802
ko:K07491	sauz:SAZ172_1803
ko:K08998	sauz:SAZ172_1806
ko:K02549	sauz:SAZ172_1807
ko:K01911	sauz:SAZ172_1808
ko:K01154	sauz:SAZ172_1822
ko:K03427	sauz:SAZ172_1823
ko:K10851	sauz:SAZ172_2497
ko:K00374	sauz:SAZ172_2498
ko:K00373	sauz:SAZ172_2499
ko:K00371	sauz:SAZ172_2500
ko:K00370	sauz:SAZ172_2501
ko:K02303	sauz:SAZ172_2502
ko:K00363	sauz:SAZ172_2503
ko:K00362	sauz:SAZ172_2504
ko:K09815	sauz:SAZ172_2510
ko:K10010	sauz:SAZ172_2516
ko:K10009	sauz:SAZ172_2517
ko:K02424	sauz:SAZ172_2518
ko:K01834	sauz:SAZ172_2520
ko:K14197	sauz:SAZ172_2522
ko:K00652	sauz:SAZ172_2529
ko:K01012	sauz:SAZ172_2530
ko:K00833	sauz:SAZ172_2531
ko:K01935	sauz:SAZ172_2532
ko:K06147	sauz:SAZ172_2533
ko:K06147	sauz:SAZ172_2534
ko:K00865	sauz:SAZ172_2536
ko:K11737	sauz:SAZ172_2542
ko:K03800	sauz:SAZ172_0328
ko:K03475	sauz:SAZ172_0330
ko:K02822	sauz:SAZ172_0331
ko:K02821	sauz:SAZ172_0332
ko:K02445	sauz:SAZ172_0337
ko:K00299	sauz:SAZ172_0340
ko:K03817	sauz:SAZ172_0343
ko:K07224	sauz:SAZ172_0344
ko:K16301	sauz:SAZ172_0346
ko:K07243	sauz:SAZ172_0347
ko:K03118	sauz:SAZ172_0348
ko:K03116	sauz:SAZ172_0349
ko:K07729	sauz:SAZ172_0351
ko:K01990	sauz:SAZ172_0353
ko:K00626	sauz:SAZ172_0356
ko:K00549	sauz:SAZ172_0358
ko:K01760	sauz:SAZ172_0360
ko:K06942	sauz:SAZ172_0365
ko:K02990	sauz:SAZ172_0367
ko:K02963	sauz:SAZ172_0369
ko:K14193	sauz:SAZ172_1129
ko:K02016	sauz:SAZ172_1132
ko:K02015	sauz:SAZ172_1133
ko:K08600	sauz:SAZ172_1134
ko:K03437	sauz:SAZ172_1136
ko:K01889	sauz:SAZ172_1137
ko:K07002	sauz:SAZ172_1842
ko:K00231	sauz:SAZ172_1843
ko:K01772	sauz:SAZ172_1844
ko:K01599	sauz:SAZ172_1845
ko:K01992	sauz:SAZ172_1847
ko:K01990	sauz:SAZ172_1848
ko:K02503	sauz:SAZ172_1849
ko:K07533	sauz:SAZ172_1852
ko:K03698	sauz:SAZ172_1853
ko:K06180	sauz:SAZ172_1861
ko:K01679	sauz:SAZ172_1862
ko:K03216	sauz:SAZ172_1866
ko:K02028	sauz:SAZ172_1868
ko:K02029	sauz:SAZ172_1869
ko:K02030	sauz:SAZ172_1869
ko:K07035	sauz:SAZ172_1870
ko:K01834	sauz:SAZ172_0378
ko:K03387	sauz:SAZ172_0382
ko:K03386	sauz:SAZ172_0383
ko:K06956	sauz:SAZ172_0385
ko:K03816	sauz:SAZ172_0389
ko:K16169	sauz:SAZ172_0390
ko:K00088	sauz:SAZ172_0391
ko:K01951	sauz:SAZ172_0392
ko:K08987	sauz:SAZ172_0425
ko:K11042	sauz:SAZ172_0427
ko:K01890	sauz:SAZ172_1138
ko:K03471	sauz:SAZ172_1139
ko:K09888	sauz:SAZ172_1140
ko:K02347	sauz:SAZ172_1142
ko:K07456	sauz:SAZ172_1143
ko:K03671	sauz:SAZ172_1144
ko:K03703	sauz:SAZ172_1145
ko:K00241	sauz:SAZ172_1146
ko:K00239	sauz:SAZ172_1147
ko:K00240	sauz:SAZ172_1148
ko:K01776	sauz:SAZ172_1149
ko:K02428	sauz:SAZ172_1150
ko:K07095	sauz:SAZ172_1151
ko:K14200	sauz:SAZ172_1157
ko:K11032	sauz:SAZ172_1162
ko:K00611	sauz:SAZ172_1169
ko:K00926	sauz:SAZ172_1170
ko:K11041	sauz:SAZ172_1173
ko:K07025	sauz:SAZ172_1177
ko:K03925	sauz:SAZ172_1180
ko:K03438	sauz:SAZ172_1181
ko:K12552	sauz:SAZ172_1183
ko:K01000	sauz:SAZ172_1184
ko:K01925	sauz:SAZ172_1185
ko:K03589	sauz:SAZ172_1186
ko:K03590	sauz:SAZ172_1187
ko:K03531	sauz:SAZ172_1188
ko:K05810	sauz:SAZ172_1189
ko:K06997	sauz:SAZ172_1190
ko:K09772	sauz:SAZ172_1191
ko:K09825	sauz:SAZ172_1872
ko:K03564	sauz:SAZ172_1874
ko:K01845	sauz:SAZ172_1875
ko:K11085	sauz:SAZ172_1877
ko:K07586	sauz:SAZ172_1878
ko:K03575	sauz:SAZ172_1879
ko:K07038	sauz:SAZ172_1880
ko:K09693	sauz:SAZ172_1882
ko:K03565	sauz:SAZ172_1884
ko:K04478	sauz:SAZ172_1885
ko:K05520	sauz:SAZ172_1886
ko:K01104	sauz:SAZ172_1892
ko:K07058	sauz:SAZ172_1894
ko:K07694	sauz:SAZ172_1895
ko:K07681	sauz:SAZ172_1896
ko:K01265	sauz:SAZ172_1899
ko:K07009	sauz:SAZ172_1902
ko:K02217	sauz:SAZ172_1904
ko:K03427	sauz:SAZ172_0438
ko:K01154	sauz:SAZ172_0439
ko:K05577	sauz:SAZ172_0453
ko:K09822	sauz:SAZ172_0454
ko:K03928	sauz:SAZ172_0458
ko:K03308	sauz:SAZ172_0460
ko:K17216	sauz:SAZ172_0461
ko:K17217	sauz:SAZ172_0462
ko:K02071	sauz:SAZ172_0463
ko:K02072	sauz:SAZ172_0464
ko:K02073	sauz:SAZ172_0465
ko:K00265	sauz:SAZ172_0473
ko:K00266	sauz:SAZ172_0474
ko:K02818	sauz:SAZ172_475
ko:K02819	sauz:SAZ172_475
ko:K01226	sauz:SAZ172_0476
ko:K03486	sauz:SAZ172_0477
ko:K02343	sauz:SAZ172_0479
ko:K09747	sauz:SAZ172_0480
ko:K06187	sauz:SAZ172_0481
ko:K02221	sauz:SAZ172_1192
ko:K04074	sauz:SAZ172_1195
ko:K01870	sauz:SAZ172_1196
ko:K07104	sauz:SAZ172_1197
ko:K03101	sauz:SAZ172_1199
ko:K06180	sauz:SAZ172_1200
ko:K02825	sauz:SAZ172_1201
ko:K02824	sauz:SAZ172_1202
ko:K00609	sauz:SAZ172_1203
ko:K01465	sauz:SAZ172_1204
ko:K01956	sauz:SAZ172_1205
ko:K01955	sauz:SAZ172_1206
ko:K01591	sauz:SAZ172_1207
ko:K00762	sauz:SAZ172_1208
ko:K00942	sauz:SAZ172_1213
ko:K03060	sauz:SAZ172_1214
ko:K13038	sauz:SAZ172_1215
ko:K04066	sauz:SAZ172_1216
ko:K01462	sauz:SAZ172_1219
ko:K00604	sauz:SAZ172_1220
ko:K03500	sauz:SAZ172_1221
ko:K06941	sauz:SAZ172_1222
ko:K06949	sauz:SAZ172_1225
ko:K01783	sauz:SAZ172_1226
ko:K02902	sauz:SAZ172_1228
ko:K07030	sauz:SAZ172_1230
ko:K03655	sauz:SAZ172_1231
ko:K03621	sauz:SAZ172_1233
ko:K00645	sauz:SAZ172_1234
ko:K00059	sauz:SAZ172_1235
ko:K02078	sauz:SAZ172_1236
ko:K03685	sauz:SAZ172_1237
ko:K03529	sauz:SAZ172_1238
ko:K03110	sauz:SAZ172_1239
ko:K09787	sauz:SAZ172_1240
ko:K02342	sauz:SAZ172_1905
ko:K02346	sauz:SAZ172_1906
ko:K03215	sauz:SAZ172_1908
ko:K02434	sauz:SAZ172_1911
ko:K02433	sauz:SAZ172_1912
ko:K02435	sauz:SAZ172_1913
ko:K01972	sauz:SAZ172_1916
ko:K03657	sauz:SAZ172_1917
ko:K07094	sauz:SAZ172_1918
ko:K01756	sauz:SAZ172_1920
ko:K08258	sauz:SAZ172_1921
ko:K01916	sauz:SAZ172_1925
ko:K00763	sauz:SAZ172_1926
ko:K00491	sauz:SAZ172_1927
ko:K04518	sauz:SAZ172_1928
ko:K14445	sauz:SAZ172_1929
ko:K15986	sauz:SAZ172_1932
ko:K01992	sauz:SAZ172_1943
ko:K01990	sauz:SAZ172_1944
ko:K01990	sauz:SAZ172_1946
ko:K00943	sauz:SAZ172_0483
ko:K02341	sauz:SAZ172_0485
ko:K07461	sauz:SAZ172_0489
ko:K07056	sauz:SAZ172_0490
ko:K01874	sauz:SAZ172_0491
ko:K03424	sauz:SAZ172_0492
ko:K05985	sauz:SAZ172_0493
ko:K02528	sauz:SAZ172_0494
ko:K00919	sauz:SAZ172_0496
ko:K09685	sauz:SAZ172_0497
ko:K06412	sauz:SAZ172_0499
ko:K04042	sauz:SAZ172_0501
ko:K00948	sauz:SAZ172_0502
ko:K02897	sauz:SAZ172_0503
ko:K01056	sauz:SAZ172_0504
ko:K03723	sauz:SAZ172_0505
ko:K02499	sauz:SAZ172_0507
ko:K07571	sauz:SAZ172_0510
ko:K04075	sauz:SAZ172_0511
ko:K00760	sauz:SAZ172_0512
ko:K03798	sauz:SAZ172_0513
ko:K04083	sauz:SAZ172_0514
ko:K01738	sauz:SAZ172_0515
ko:K00796	sauz:SAZ172_0516
ko:K01633	sauz:SAZ172_0517
ko:K00950	sauz:SAZ172_0518
ko:K04567	sauz:SAZ172_0519
ko:K00375	sauz:SAZ172_0520
ko:K03106	sauz:SAZ172_1241
ko:K02959	sauz:SAZ172_1242
ko:K02860	sauz:SAZ172_1243
ko:K00554	sauz:SAZ172_1244
ko:K02884	sauz:SAZ172_1245
ko:K14540	sauz:SAZ172_1247
ko:K03470	sauz:SAZ172_1248
ko:K01903	sauz:SAZ172_1249
ko:K01902	sauz:SAZ172_1250
ko:K04096	sauz:SAZ172_1253
ko:K03168	sauz:SAZ172_1254
ko:K04094	sauz:SAZ172_1255
ko:K03733	sauz:SAZ172_1256
ko:K01419	sauz:SAZ172_1257
ko:K03667	sauz:SAZ172_1258
ko:K03706	sauz:SAZ172_1259
ko:K02967	sauz:SAZ172_1260
ko:K02357	sauz:SAZ172_1261
ko:K09903	sauz:SAZ172_1262
ko:K02838	sauz:SAZ172_1263
ko:K00806	sauz:SAZ172_1264
ko:K00981	sauz:SAZ172_1265
ko:K11749	sauz:SAZ172_1266
ko:K01881	sauz:SAZ172_1267
ko:K03763	sauz:SAZ172_1268
ko:K09748	sauz:SAZ172_1269
ko:K02600	sauz:SAZ172_1270
ko:K07742	sauz:SAZ172_1271
ko:K02519	sauz:SAZ172_1273
ko:K02834	sauz:SAZ172_1274
ko:K03177	sauz:SAZ172_1275
ko:K11753	sauz:SAZ172_1276
ko:K02956	sauz:SAZ172_1277
ko:K00962	sauz:SAZ172_1278
ko:K03466	sauz:SAZ172_1280
ko:K00059	sauz:SAZ172_1284
ko:K00995	sauz:SAZ172_1287
ko:K06215	sauz:SAZ172_0521
ko:K08681	sauz:SAZ172_0522
ko:K11535	sauz:SAZ172_0523
ko:K03708	sauz:SAZ172_0524
ko:K03696	sauz:SAZ172_0527
ko:K04485	sauz:SAZ172_0528
ko:K09698	sauz:SAZ172_0530
ko:K00640	sauz:SAZ172_0531
ko:K01883	sauz:SAZ172_0532
ko:K11145	sauz:SAZ172_0533
ko:K03218	sauz:SAZ172_0534
ko:K06962	sauz:SAZ172_0535
ko:K03091	sauz:SAZ172_0536
ko:K03073	sauz:SAZ172_0537
ko:K02601	sauz:SAZ172_0538
ko:K02867	sauz:SAZ172_0539
ko:K02863	sauz:SAZ172_0540
ko:K02864	sauz:SAZ172_0541
ko:K02935	sauz:SAZ172_0542
ko:K03043	sauz:SAZ172_0544
ko:K03046	sauz:SAZ172_0545
ko:K07590	sauz:SAZ172_0546
ko:K02950	sauz:SAZ172_0547
ko:K02992	sauz:SAZ172_0548
ko:K02355	sauz:SAZ172_0549
ko:K02358	sauz:SAZ172_0550
ko:K00639	sauz:SAZ172_0552
ko:K05523	sauz:SAZ172_0553
ko:K00853	sauz:SAZ172_0554
ko:K00826	sauz:SAZ172_0556
ko:K01091	sauz:SAZ172_0558
ko:K15519	sauz:SAZ172_0559
ko:K15518	sauz:SAZ172_0560
ko:K11991	sauz:SAZ172_0561
ko:K14194	sauz:SAZ172_0564
ko:K14194	sauz:SAZ172_0565
ko:K00712	sauz:SAZ172_0566
ko:K00712	sauz:SAZ172_0567
ko:K09007	sauz:SAZ172_0568
ko:K09769	sauz:SAZ172_1292
ko:K00174	sauz:SAZ172_1293
ko:K00175	sauz:SAZ172_1294
ko:K06168	sauz:SAZ172_1296
ko:K03555	sauz:SAZ172_1299
ko:K03572	sauz:SAZ172_1300
ko:K02443	sauz:SAZ172_1301
ko:K02440	sauz:SAZ172_1302
ko:K00864	sauz:SAZ172_1303
ko:K00111	sauz:SAZ172_1304
ko:K00791	sauz:SAZ172_1306
ko:K03666	sauz:SAZ172_1307
ko:K00432	sauz:SAZ172_1308
ko:K03665	sauz:SAZ172_1309
ko:K03713	sauz:SAZ172_1311
ko:K01915	sauz:SAZ172_1312
ko:K01620	sauz:SAZ172_1329
ko:K06131	sauz:SAZ172_1331
ko:K01990	sauz:SAZ172_1332
ko:K01992	sauz:SAZ172_1333
ko:K07778	sauz:SAZ172_1334
ko:K00928	sauz:SAZ172_1340
ko:K00003	sauz:SAZ172_1341
ko:K01733	sauz:SAZ172_1342
ko:K00872	sauz:SAZ172_1343
ko:K03781	sauz:SAZ172_1347
ko:K01114	sauz:SAZ172_2018
ko:K01439	sauz:SAZ172_2021
ko:K02016	sauz:SAZ172_2024
ko:K04077	sauz:SAZ172_2029
ko:K04078	sauz:SAZ172_2030
ko:K07052	sauz:SAZ172_2031
ko:K07078	sauz:SAZ172_2033
ko:K07813	sauz:SAZ172_2036
ko:K07800	sauz:SAZ172_2037
ko:K07706	sauz:SAZ172_2038
ko:K07707	sauz:SAZ172_2039
ko:K00847	sauz:SAZ172_2040
ko:K01193	sauz:SAZ172_2041
