ko:K19405	ctlq:L2B8200_00710
ko:K06204	ctlq:L2B8200_00421
ko:K03101	ctlq:L2B8200_00422
ko:K03310	ctlq:L2B8200_00423
ko:K00748	ctlq:L2B8200_00425
ko:K09817	ctlq:L2B8200_00431
ko:K09816	ctlq:L2B8200_00432
ko:K03979	ctlq:L2B8200_00433
ko:K02899	ctlq:L2B8200_00434
ko:K02888	ctlq:L2B8200_00435
ko:K07042	ctlq:L2B8200_00440
ko:K03183	ctlq:L2B8200_00446
ko:K01778	ctlq:L2B8200_00448
ko:K01358	ctlq:L2B8200_00449
ko:K09779	ctlq:L2B8200_00002
ko:K02435	ctlq:L2B8200_00003
ko:K02434	ctlq:L2B8200_00005
ko:K02517	ctlq:L2B8200_00011
ko:K00425	ctlq:L2B8200_00014
ko:K00426	ctlq:L2B8200_00015
ko:K07175	ctlq:L2B8200_00016
ko:K01870	ctlq:L2B8200_00021
ko:K03100	ctlq:L2B8200_00022
ko:K02909	ctlq:L2B8200_00024
ko:K00263	ctlq:L2B8200_00821
ko:K00655	ctlq:L2B8200_00823
ko:K04066	ctlq:L2B8200_00826
ko:K04567	ctlq:L2B8200_00830
ko:K01883	ctlq:L2B8200_00831
ko:K03536	ctlq:L2B8200_00833
ko:K02919	ctlq:L2B8200_00834
ko:K02954	ctlq:L2B8200_00835
ko:K03703	ctlq:L2B8200_00839
ko:K03555	ctlq:L2B8200_00840
ko:K14164	ctlq:L2B8200_00844
ko:K00995	ctlq:L2B8200_00845
ko:K00703	ctlq:L2B8200_00846
ko:K02897	ctlq:L2B8200_00848
ko:K01056	ctlq:L2B8200_00849
ko:K02990	ctlq:L2B8200_00850
ko:K02963	ctlq:L2B8200_00851
ko:K02939	ctlq:L2B8200_00852
ko:K00919	ctlq:L2B8200_00853
ko:K00630	ctlq:L2B8200_00857
ko:K08301	ctlq:L2B8200_00858
ko:K02911	ctlq:L2B8200_00861
ko:K03621	ctlq:L2B8200_00862
ko:K03431	ctlq:L2B8200_00867
ko:K00820	ctlq:L2B8200_00868
ko:K03834	ctlq:L2B8200_00869
ko:K03834	ctlq:L2B8200_00871
ko:K06890	ctlq:L2B8200_00872
ko:K03110	ctlq:L2B8200_00873
ko:K01903	ctlq:L2B8200_00874
ko:K01902	ctlq:L2B8200_00875
ko:K00600	ctlq:L2B8200_00450
ko:K01770	ctlq:L2B8200_00452
ko:K02946	ctlq:L2B8200_00454
ko:K02355	ctlq:L2B8200_00455
ko:K02992	ctlq:L2B8200_00456
ko:K02950	ctlq:L2B8200_00457
ko:K03797	ctlq:L2B8200_00459
ko:K07462	ctlq:L2B8200_00466
ko:K12257	ctlq:L2B8200_00467
ko:K00806	ctlq:L2B8200_00469
ko:K00981	ctlq:L2B8200_00470
ko:K00945	ctlq:L2B8200_00471
ko:K00655	ctlq:L2B8200_00472
ko:K01887	ctlq:L2B8200_00473
ko:K00790	ctlq:L2B8200_00474
ko:K02836	ctlq:L2B8200_00478
ko:K00991	ctlq:L2B8200_00481
ko:K06173	ctlq:L2B8200_00482
ko:K07710	ctlq:L2B8200_00487
ko:K07714	ctlq:L2B8200_00488
ko:K03584	ctlq:L2B8200_00491
ko:K08998	ctlq:L2B8200_00495
ko:K01890	ctlq:L2B8200_00497
ko:K02034	ctlq:L2B8200_00500
ko:K02835	ctlq:L2B8200_00025
ko:K02493	ctlq:L2B8200_00026
ko:K03106	ctlq:L2B8200_00027
ko:K02959	ctlq:L2B8200_00028
ko:K00554	ctlq:L2B8200_00029
ko:K02884	ctlq:L2B8200_00030
ko:K03470	ctlq:L2B8200_00031
ko:K00942	ctlq:L2B8200_00032
ko:K01874	ctlq:L2B8200_00034
ko:K03581	ctlq:L2B8200_00035
ko:K01494	ctlq:L2B8200_00041
ko:K03551	ctlq:L2B8200_00042
ko:K01255	ctlq:L2B8200_00047
ko:K02340	ctlq:L2B8200_00049
ko:K07056	ctlq:L2B8200_00050
ko:K00164	ctlq:L2B8200_00056
ko:K00658	ctlq:L2B8200_00057
ko:K05810	ctlq:L2B8200_00058
ko:K03526	ctlq:L2B8200_00059
ko:K02400	ctlq:L2B8200_00063
ko:K02405	ctlq:L2B8200_00064
ko:K01866	ctlq:L2B8200_00065
ko:K03596	ctlq:L2B8200_00067
ko:K03301	ctlq:L2B8200_00068
ko:K01772	ctlq:L2B8200_00509
ko:K07099	ctlq:L2B8200_00512
ko:K00975	ctlq:L2B8200_00513
ko:K03628	ctlq:L2B8200_00515
ko:K00859	ctlq:L2B8200_00516
ko:K03301	ctlq:L2B8200_00519
ko:K00995	ctlq:L2B8200_00520
ko:K03495	ctlq:L2B8200_00523
ko:K03800	ctlq:L2B8200_00524
ko:K00940	ctlq:L2B8200_00525
ko:K03550	ctlq:L2B8200_00526
ko:K01159	ctlq:L2B8200_00527
ko:K00134	ctlq:L2B8200_00531
ko:K02879	ctlq:L2B8200_00532
ko:K03040	ctlq:L2B8200_00533
ko:K02948	ctlq:L2B8200_00534
ko:K02952	ctlq:L2B8200_00535
ko:K03076	ctlq:L2B8200_00536
ko:K02876	ctlq:L2B8200_00537
ko:K02988	ctlq:L2B8200_00538
ko:K02881	ctlq:L2B8200_00539
ko:K02933	ctlq:L2B8200_00540
ko:K02994	ctlq:L2B8200_00541
ko:K02931	ctlq:L2B8200_00542
ko:K02895	ctlq:L2B8200_00543
ko:K02874	ctlq:L2B8200_00544
ko:K02961	ctlq:L2B8200_00545
ko:K02904	ctlq:L2B8200_00546
ko:K02878	ctlq:L2B8200_00547
ko:K02982	ctlq:L2B8200_00548
ko:K02890	ctlq:L2B8200_00549
ko:K02965	ctlq:L2B8200_00550
ko:K02886	ctlq:L2B8200_00551
ko:K02892	ctlq:L2B8200_00552
ko:K02926	ctlq:L2B8200_00553
ko:K02906	ctlq:L2B8200_00554
ko:K00099	ctlq:L2B8200_00074
ko:K03629	ctlq:L2B8200_00077
ko:K02338	ctlq:L2B8200_00078
ko:K09760	ctlq:L2B8200_00878
ko:K00075	ctlq:L2B8200_00884
ko:K02520	ctlq:L2B8200_00886
ko:K02916	ctlq:L2B8200_00887
ko:K02887	ctlq:L2B8200_00888
ko:K01889	ctlq:L2B8200_00889
ko:K11720	ctlq:L2B8200_00892
ko:K07091	ctlq:L2B8200_00893
ko:K04075	ctlq:L2B8200_00894
ko:K03798	ctlq:L2B8200_00895
ko:K00962	ctlq:L2B8200_00896
ko:K02956	ctlq:L2B8200_00897
ko:K01265	ctlq:L2B8200_00906
ko:K03321	ctlq:L2B8200_00913
ko:K03527	ctlq:L2B8200_00916
ko:K03664	ctlq:L2B8200_00079
ko:K03734	ctlq:L2B8200_00080
ko:K01491	ctlq:L2B8200_00081
ko:K02902	ctlq:L2B8200_00087
ko:K00705	ctlq:L2B8200_00088
ko:K04058	ctlq:L2B8200_00090
ko:K03230	ctlq:L2B8200_00091
ko:K03229	ctlq:L2B8200_00092
ko:K06942	ctlq:L2B8200_00093
ko:K11753	ctlq:L2B8200_00094
ko:K02834	ctlq:L2B8200_00096
ko:K02519	ctlq:L2B8200_00097
ko:K02600	ctlq:L2B8200_00098
ko:K02945	ctlq:L2B8200_00099
ko:K00384	ctlq:L2B8200_00100
ko:K00997	ctlq:L2B8200_00101
ko:K00208	ctlq:L2B8200_00105
ko:K03575	ctlq:L2B8200_00108
ko:K04077	ctlq:L2B8200_00111
ko:K04078	ctlq:L2B8200_00112
ko:K08602	ctlq:L2B8200_00114
ko:K03695	ctlq:L2B8200_00115
ko:K01783	ctlq:L2B8200_00123
ko:K02356	ctlq:L2B8200_00124
ko:K02160	ctlq:L2B8200_00125
ko:K01961	ctlq:L2B8200_00126
ko:K02871	ctlq:L2B8200_00127
ko:K02996	ctlq:L2B8200_00128
ko:K02029	ctlq:L2B8200_00131
ko:K00604	ctlq:L2B8200_00556
ko:K00677	ctlq:L2B8200_00557
ko:K02372	ctlq:L2B8200_00558
ko:K02535	ctlq:L2B8200_00559
ko:K03820	ctlq:L2B8200_00560
ko:K06925	ctlq:L2B8200_00563
ko:K03671	ctlq:L2B8200_00566
ko:K03216	ctlq:L2B8200_00567
ko:K01876	ctlq:L2B8200_00569
ko:K01892	ctlq:L2B8200_00570
ko:K07783	ctlq:L2B8200_00571
ko:K02337	ctlq:L2B8200_00572
ko:K03311	ctlq:L2B8200_00581
ko:K00382	ctlq:L2B8200_00584
ko:K03644	ctlq:L2B8200_00585
ko:K03222	ctlq:L2B8200_00586
ko:K03223	ctlq:L2B8200_00588
ko:K03226	ctlq:L2B8200_00589
ko:K03228	ctlq:L2B8200_00591
ko:K02455	ctlq:L2B8200_00597
ko:K02453	ctlq:L2B8200_00599
ko:K03572	ctlq:L2B8200_00602
ko:K01868	ctlq:L2B8200_00608
ko:K01867	ctlq:L2B8200_00612
ko:K03702	ctlq:L2B8200_00613
ko:K01689	ctlq:L2B8200_00614
ko:K00240	ctlq:L2B8200_00618
ko:K00239	ctlq:L2B8200_00619
ko:K03424	ctlq:L2B8200_00622
ko:K03562	ctlq:L2B8200_00624
ko:K03641	ctlq:L2B8200_00627
ko:K03640	ctlq:L2B8200_00628
ko:K07058	ctlq:L2B8200_00134
ko:K06999	ctlq:L2B8200_00138
ko:K07566	ctlq:L2B8200_00139
ko:K09125	ctlq:L2B8200_00142
ko:K07039	ctlq:L2B8200_00143
ko:K01972	ctlq:L2B8200_00150
ko:K02913	ctlq:L2B8200_00154
ko:K09808	ctlq:L2B8200_00155
ko:K09810	ctlq:L2B8200_00156
ko:K03720	ctlq:L2B8200_00169
ko:K01696	ctlq:L2B8200_00170
ko:K01695	ctlq:L2B8200_00171
ko:K03611	ctlq:L2B8200_00175
ko:K00979	ctlq:L2B8200_00183
ko:K01937	ctlq:L2B8200_00184
ko:K07447	ctlq:L2B8200_00185
ko:K00036	ctlq:L2B8200_00186
ko:K03648	ctlq:L2B8200_00637
ko:K03657	ctlq:L2B8200_00638
ko:K03092	ctlq:L2B8200_00639
ko:K06137	ctlq:L2B8200_00640
ko:K13941	ctlq:L2B8200_00643
ko:K01633	ctlq:L2B8200_00644
ko:K03086	ctlq:L2B8200_00645
ko:K02968	ctlq:L2B8200_00647
ko:K03980	ctlq:L2B8200_00654
ko:K01151	ctlq:L2B8200_00655
ko:K02986	ctlq:L2B8200_00656
ko:K07146	ctlq:L2B8200_00657
ko:K13789	ctlq:L2B8200_00658
ko:K01698	ctlq:L2B8200_00664
ko:K00346	ctlq:L2B8200_00665
ko:K03582	ctlq:L2B8200_00671
ko:K03583	ctlq:L2B8200_00672
ko:K03168	ctlq:L2B8200_00675
ko:K02221	ctlq:L2B8200_00677
ko:K03581	ctlq:L2B8200_00684
ko:K06861	ctlq:L2B8200_00686
ko:K01627	ctlq:L2B8200_00688
ko:K06180	ctlq:L2B8200_00692
ko:K06960	ctlq:L2B8200_00693
ko:K02469	ctlq:L2B8200_00694
ko:K02470	ctlq:L2B8200_00695
ko:K02492	ctlq:L2B8200_00696
ko:K03224	ctlq:L2B8200_00703
ko:K02417	ctlq:L2B8200_00706
ko:K03219	ctlq:L2B8200_00708
ko:K02838	ctlq:L2B8200_00714
ko:K09903	ctlq:L2B8200_00715
ko:K02357	ctlq:L2B8200_00716
ko:K01057	ctlq:L2B8200_00187
ko:K02343	ctlq:L2B8200_00188
ko:K00943	ctlq:L2B8200_00189
ko:K02469	ctlq:L2B8200_00190
ko:K02470	ctlq:L2B8200_00191
ko:K00773	ctlq:L2B8200_00194
ko:K06213	ctlq:L2B8200_00195
ko:K15580	ctlq:L2B8200_00199
ko:K15581	ctlq:L2B8200_00200
ko:K03319	ctlq:L2B8200_00205
ko:K00850	ctlq:L2B8200_00206
ko:K00895	ctlq:L2B8200_00208
ko:K02527	ctlq:L2B8200_00211
ko:K01869	ctlq:L2B8200_00212
ko:K01845	ctlq:L2B8200_00213
ko:K07735	ctlq:L2B8200_00214
ko:K08999	ctlq:L2B8200_00215
ko:K01807	ctlq:L2B8200_00216
ko:K03787	ctlq:L2B8200_00221
ko:K03179	ctlq:L2B8200_00222
ko:K03186	ctlq:L2B8200_00223
ko:K03308	ctlq:L2B8200_00236
ko:K02967	ctlq:L2B8200_00717
ko:K03162	ctlq:L2B8200_00720
ko:K09013	ctlq:L2B8200_00724
ko:K09015	ctlq:L2B8200_00725
ko:K11717	ctlq:L2B8200_00726
ko:K07220	ctlq:L2B8200_00730
ko:K03306	ctlq:L2B8200_00731
ko:K00927	ctlq:L2B8200_00732
ko:K10773	ctlq:L2B8200_00736
ko:K03650	ctlq:L2B8200_00737
ko:K01613	ctlq:L2B8200_00738
ko:K03070	ctlq:L2B8200_00740
ko:K03977	ctlq:L2B8200_00742
ko:K03544	ctlq:L2B8200_00744
ko:K01358	ctlq:L2B8200_00745
ko:K03545	ctlq:L2B8200_00746
ko:K03569	ctlq:L2B8200_00749
ko:K00057	ctlq:L2B8200_00754
ko:K02412	ctlq:L2B8200_00757
ko:K02411	ctlq:L2B8200_00758
ko:K02409	ctlq:L2B8200_00759
ko:K13819	ctlq:L2B8200_00760
ko:K04487	ctlq:L2B8200_00761
ko:K06178	ctlq:L2B8200_00763
ko:K03524	ctlq:L2B8200_00765
ko:K05837	ctlq:L2B8200_00766
ko:K01875	ctlq:L2B8200_00769
ko:K02078	ctlq:L2B8200_00241
ko:K00645	ctlq:L2B8200_00243
ko:K00648	ctlq:L2B8200_00244
ko:K06187	ctlq:L2B8200_00245
ko:K07277	ctlq:L2B8200_00246
ko:K06142	ctlq:L2B8200_00247
ko:K02536	ctlq:L2B8200_00248
ko:K00161	ctlq:L2B8200_00250
ko:K00162	ctlq:L2B8200_00251
ko:K00627	ctlq:L2B8200_00252
ko:K00688	ctlq:L2B8200_00253
ko:K02313	ctlq:L2B8200_00255
ko:K03217	ctlq:L2B8200_00256
ko:K04487	ctlq:L2B8200_00263
ko:K07083	ctlq:L2B8200_00267
ko:K01962	ctlq:L2B8200_00270
ko:K01448	ctlq:L2B8200_00273
ko:K01928	ctlq:L2B8200_00274
ko:K03587	ctlq:L2B8200_00275
ko:K03438	ctlq:L2B8200_00277
ko:K02313	ctlq:L2B8200_00280
ko:K00347	ctlq:L2B8200_00283
ko:K00348	ctlq:L2B8200_00284
ko:K00349	ctlq:L2B8200_00285
ko:K00350	ctlq:L2B8200_00286
ko:K02437	ctlq:L2B8200_00287
ko:K11752	ctlq:L2B8200_00770
ko:K14652	ctlq:L2B8200_00771
ko:K00794	ctlq:L2B8200_00772
ko:K03310	ctlq:L2B8200_00775
ko:K03466	ctlq:L2B8200_00779
ko:K00351	ctlq:L2B8200_00784
ko:K03210	ctlq:L2B8200_00785
ko:K00231	ctlq:L2B8200_00789
ko:K01599	ctlq:L2B8200_00791
ko:K03723	ctlq:L2B8200_00792
ko:K01872	ctlq:L2B8200_00793
ko:K00615	ctlq:L2B8200_00797
ko:K02028	ctlq:L2B8200_00132
ko:K15035	ctlq:L2B8200_00020
ko:K14222	ctlq:L2B8200_00803
ko:K01985	ctlq:L2B8200_00783
ko:K01985	ctlq:L2B8200_00796
ko:K01980	ctlq:L2B8200_00782
ko:K01980	ctlq:L2B8200_00795
ko:K17103	ctlq:L2B8200_00879
ko:K02433	ctlq:L2B8200_00004
ko:K03471	ctlq:L2B8200_00009
ko:K01507	ctlq:L2B8200_00820
ko:K01082	ctlq:L2B8200_00822
ko:K01909	ctlq:L2B8200_00824
ko:K00652	ctlq:L2B8200_00825
ko:K00033	ctlq:L2B8200_00066
ko:K11707	ctlq:L2B8200_00070
ko:K11710	ctlq:L2B8200_00071
ko:K11708	ctlq:L2B8200_00072
ko:K11709	ctlq:L2B8200_00073
ko:K01408	ctlq:L2B8200_00856
ko:K14228	ctlq:L2B8200_00485
ko:K14233	ctlq:L2B8200_00521
ko:K14219	ctlq:L2B8200_00632
ko:K03177	ctlq:L2B8200_00095
ko:K06179	ctlq:L2B8200_00107
ko:K00939	ctlq:L2B8200_00130
ko:K02035	ctlq:L2B8200_00141
ko:K06889	ctlq:L2B8200_00153
ko:K02035	ctlq:L2B8200_00174
ko:K02049	ctlq:L2B8200_00179
ko:K04084	ctlq:L2B8200_00623
ko:K01409	ctlq:L2B8200_00198
ko:K15582	ctlq:L2B8200_00201
ko:K10823	ctlq:L2B8200_00202
ko:K15583	ctlq:L2B8200_00203
ko:K06889	ctlq:L2B8200_00207
ko:K00059	ctlq:L2B8200_00242
ko:K07052	ctlq:L2B8200_00259
ko:K02342	ctlq:L2B8200_00266
ko:K02806	ctlq:L2B8200_00295
ko:K02806	ctlq:L2B8200_00296
ko:K02124	ctlq:L2B8200_00309
ko:K02123	ctlq:L2B8200_00310
ko:K02120	ctlq:L2B8200_00311
ko:K02118	ctlq:L2B8200_00312
ko:K02117	ctlq:L2B8200_00313
ko:K02121	ctlq:L2B8200_00315
ko:K00616	ctlq:L2B8200_00318
ko:K08483	ctlq:L2B8200_00346
ko:K11189	ctlq:L2B8200_00347
ko:K00784	ctlq:L2B8200_00357
ko:K03856	ctlq:L2B8200_00395
ko:K00970	ctlq:L2B8200_00424
ko:K09815	ctlq:L2B8200_00430
ko:K01719	ctlq:L2B8200_00451
ko:K00380	ctlq:L2B8200_00453
ko:K01885	ctlq:L2B8200_00464
ko:K07098	ctlq:L2B8200_00480
ko:K00567	ctlq:L2B8200_00499
ko:K02033	ctlq:L2B8200_00501
ko:K02035	ctlq:L2B8200_00502
ko:K02030	ctlq:L2B8200_00510
ko:K02342	ctlq:L2B8200_00562
ko:K07258	ctlq:L2B8200_00578
ko:K03227	ctlq:L2B8200_00590
ko:K02454	ctlq:L2B8200_00598
ko:K01262	ctlq:L2B8200_00601
ko:K07315	ctlq:L2B8200_00615
ko:K00241	ctlq:L2B8200_00620
ko:K00241	ctlq:L2B8200_00621
ko:K03386	ctlq:L2B8200_00631
ko:K02428	ctlq:L2B8200_00635
ko:K00813	ctlq:L2B8200_00669
ko:K01934	ctlq:L2B8200_00681
ko:K00970	ctlq:L2B8200_00743
ko:K01596	ctlq:L2B8200_00750
ko:K00972	ctlq:L2B8200_00755
ko:K01834	ctlq:L2B8200_00762
ko:K06910	ctlq:L2B8200_00776
ko:K07117	ctlq:L2B8200_00777
ko:K14227	ctlq:L2B8200_00180
ko:K14218	ctlq:L2B8200_00668
ko:K14230	ctlq:L2B8200_00209
ko:K14230	ctlq:L2B8200_00335
ko:K14235	ctlq:L2B8200_00327
ko:K14233	ctlq:L2B8200_00368
ko:K14231	ctlq:L2B8200_00436
ko:K14221	ctlq:L2B8200_00225
ko:K14233	ctlq:L2B8200_00429
ko:K14228	ctlq:L2B8200_00529
ko:K14228	ctlq:L2B8200_00565
ko:K14219	ctlq:L2B8200_00489
ko:K14219	ctlq:L2B8200_00689
ko:K14232	ctlq:L2B8200_00662
ko:K14229	ctlq:L2B8200_00712
ko:K14224	ctlq:L2B8200_00713
ko:K14226	ctlq:L2B8200_00780
ko:K14223	ctlq:L2B8200_00847
ko:K14218	ctlq:L2B8200_00181
ko:K14234	ctlq:L2B8200_00709
ko:K14225	ctlq:L2B8200_00718
ko:K14228	ctlq:L2B8200_00493
ko:K14228	ctlq:L2B8200_00921
ko:K14232	ctlq:L2B8200_00062
ko:K14237	ctlq:L2B8200_00226
ko:K14230	ctlq:L2B8200_00210
ko:K01977	ctlq:L2B8200_00781
ko:K01977	ctlq:L2B8200_00794
ko:K14220	ctlq:L2B8200_00039
ko:K14234	ctlq:L2B8200_00144
ko:K14234	ctlq:L2B8200_00329
ko:K14236	ctlq:L2B8200_00145
ko:K14225	ctlq:L2B8200_00747
ko:K01679	ctlq:L2B8200_00912
ko:K04763	ctlq:L2B8200_00923
ko:K00700	ctlq:L2B8200_00925
ko:K14237	ctlq:L2B8200_00882
ko:K01840	ctlq:L2B8200_00300
ko:K06972	ctlq:L2B8200_00877
ko:K08274	ctlq:L2B8200_00390
ko:K03625	ctlq:L2B8200_00885
ko:K01679	ctlq:L2B8200_00910
ko:K07081	ctlq:L2B8200_00445
ko:K07125	ctlq:L2B8200_00332
ko:K01802	ctlq:L2B8200_00568
ko:K08275	ctlq:L2B8200_00082
ko:K08719	ctlq:L2B8200_00753
ko:K01829	ctlq:L2B8200_00828
ko:K01829	ctlq:L2B8200_00832
ko:K03309	ctlq:L2B8200_00415
ko:K07033	ctlq:L2B8200_00723
ko:K01214	ctlq:L2B8200_00044
ko:K03825	ctlq:L2B8200_00477
ko:K03496	ctlq:L2b8200_p7
ko:K03111	ctlq:L2B8200_00046
ko:K03496	ctlq:L2B8200_00609
ko:K03497	ctlq:L2B8200_00727
ko:K02626	ctlq:L2B8200_00386
ko:K11991	ctlq:L2B8200_00898
ko:K04771	ctlq:L2B8200_00876
ko:K19411	ctlq:L2B8200_00711
ko:K02031	ctlq:L2B8200_00729
ko:K22100	ctlq:L2B8200_00336
ko:K12132	ctlq:L2B8200_00306
ko:K20265	ctlq:L2B8200_00219
ko:K20074	ctlq:L2B8200_00264
ko:K11749	ctlq:L2B8200_00075
ko:K22099	ctlq:L2B8200_00641
ko:K00526	ctlq:L2B8200_00881
ko:K02335	ctlq:L2B8200_00517
ko:K02316	ctlq:L2B8200_00841
ko:K01520	ctlq:L2B8200_00297
ko:K02314	ctlq:L2B8200_00522
ko:K00287	ctlq:L2B8200_00642
ko:K03553	ctlq:L2B8200_00682
ko:K02314	ctlq:L2b8200_p3
ko:K02032	ctlq:L2B8200_00728
ko:K00525	ctlq:L2B8200_00880
ko:K02050	ctlq:L2B8200_00909
ko:K02051	ctlq:L2B8200_00909
ko:K01534	ctlq:L2B8200_00767
ko:K16239	ctlq:L2B8200_00086
