ko:K07726	nmi:NMO_0277
ko:K01591	nmi:NMO_0710
ko:K03274	nmi:NMO_0712
ko:K03427	nmi:NMO_0713
ko:K03517	nmi:NMO_1648
ko:K00278	nmi:NMO_1649
ko:K01785	nmi:NMO_1652
ko:K01095	nmi:NMO_1655
ko:K00946	nmi:NMO_1656
ko:K03306	nmi:NMO_1661
ko:K09001	nmi:NMO_1662
ko:K07461	nmi:NMO_1679
ko:K08218	nmi:NMO_1680
ko:K01915	nmi:NMO_1681
ko:K00014	nmi:NMO_1682
ko:K03814	nmi:NMO_1683
ko:K06861	nmi:NMO_1684
ko:K09774	nmi:NMO_1685
ko:K11719	nmi:NMO_1686
ko:K03270	nmi:NMO_1687
ko:K06041	nmi:NMO_1688
ko:K00616	nmi:NMO_1689
ko:K01894	nmi:NMO_1691
ko:K05539	nmi:NMO_1692
ko:K07560	nmi:NMO_1693
ko:K05527	nmi:NMO_1696
ko:K09780	nmi:NMO_1697
ko:K06190	nmi:NMO_1698
ko:K07288	nmi:NMO_1699
ko:K00826	nmi:NMO_1704
ko:K00208	nmi:NMO_1705
ko:K01810	nmi:NMO_1707
ko:K02653	nmi:NMO_1708
ko:K01153	nmi:NMO_0718
ko:K03694	nmi:NMO_0719
ko:K06891	nmi:NMO_0720
ko:K03704	nmi:NMO_0721
ko:K03592	nmi:NMO_0722
ko:K09889	nmi:NMO_0723
ko:K07462	nmi:NMO_0725
ko:K06217	nmi:NMO_0728
ko:K01494	nmi:NMO_0732
ko:K03554	nmi:NMO_0734
ko:K03977	nmi:NMO_0735
ko:K01892	nmi:NMO_0737
ko:K07018	nmi:NMO_0745
ko:K00797	nmi:NMO_0746
ko:K00606	nmi:NMO_0747
ko:K01918	nmi:NMO_0748
ko:K02494	nmi:NMO_0750
ko:K00919	nmi:NMO_0751
ko:K00948	nmi:NMO_0752
ko:K02897	nmi:NMO_0753
ko:K07258	nmi:NMO_0754
ko:K01754	nmi:NMO_0755
ko:K02045	nmi:NMO_0756
ko:K02047	nmi:NMO_0757
ko:K02046	nmi:NMO_0758
ko:K04564	nmi:NMO_0761
ko:K02314	nmi:NMO_0762
ko:K08084	nmi:NMO_0763
ko:K02672	nmi:NMO_0765
ko:K02655	nmi:NMO_0767
ko:K01520	nmi:NMO_0769
ko:K09861	nmi:NMO_0771
ko:K02654	nmi:NMO_1709
ko:K00859	nmi:NMO_1710
ko:K09862	nmi:NMO_1711
ko:K02652	nmi:NMO_1712
ko:K02523	nmi:NMO_1714
ko:K02888	nmi:NMO_1715
ko:K02899	nmi:NMO_1716
ko:K02913	nmi:NMO_1718
ko:K02902	nmi:NMO_1719
ko:K03543	nmi:NMO_1722
ko:K09125	nmi:NMO_1724
ko:K08973	nmi:NMO_1730
ko:K00287	nmi:NMO_1732
ko:K01626	nmi:NMO_1733
ko:K03106	nmi:NMO_1742
ko:K03673	nmi:NMO_1743
ko:K07078	nmi:NMO_1746
ko:K01669	nmi:NMO_1749
ko:K03722	nmi:NMO_1751
ko:K01756	nmi:NMO_1754
ko:K06966	nmi:NMO_1755
ko:K01147	nmi:NMO_1756
ko:K03771	nmi:NMO_1758
ko:K04744	nmi:NMO_1759
ko:K07102	nmi:NMO_1760
ko:K03673	nmi:NMO_1761
ko:K03980	nmi:NMO_1762
ko:K07019	nmi:NMO_1763
ko:K01609	nmi:NMO_1764
ko:K03654	nmi:NMO_1765
ko:K02170	nmi:NMO_1767
ko:K07341	nmi:NMO_0810
ko:K00031	nmi:NMO_0815
ko:K10806	nmi:NMO_0820
ko:K07287	nmi:NMO_0823
ko:K01714	nmi:NMO_0824
ko:K03218	nmi:NMO_0827
ko:K09793	nmi:NMO_0828
ko:K00791	nmi:NMO_0830
ko:K02356	nmi:NMO_0833
ko:K00641	nmi:NMO_0836
ko:K03216	nmi:NMO_1769
ko:K03642	nmi:NMO_1770
ko:K03550	nmi:NMO_1772
ko:K06949	nmi:NMO_1775
ko:K03602	nmi:NMO_1776
ko:K00795	nmi:NMO_1777
ko:K00343	nmi:NMO_1779
ko:K00342	nmi:NMO_1780
ko:K00341	nmi:NMO_1782
ko:K07088	nmi:NMO_1783
ko:K00340	nmi:NMO_1784
ko:K00339	nmi:NMO_1785
ko:K00338	nmi:NMO_1786
ko:K00337	nmi:NMO_1787
ko:K00336	nmi:NMO_1788
ko:K07461	nmi:NMO_1789
ko:K00335	nmi:NMO_1792
ko:K00334	nmi:NMO_1793
ko:K00333	nmi:NMO_1794
ko:K00332	nmi:NMO_1795
ko:K00331	nmi:NMO_1796
ko:K00330	nmi:NMO_1797
ko:K07090	nmi:NMO_1802
ko:K03657	nmi:NMO_1803
ko:K07160	nmi:NMO_1806
ko:K07043	nmi:NMO_1808
ko:K00982	nmi:NMO_1809
ko:K02078	nmi:NMO_1816
ko:K09458	nmi:NMO_1817
ko:K03453	nmi:NMO_1818
ko:K03092	nmi:NMO_1821
ko:K03781	nmi:NMO_1822
ko:K01414	nmi:NMO_1825
ko:K02470	nmi:NMO_1827
ko:K01752	nmi:NMO_1828
ko:K12688	nmi:NMO_0199
ko:K07397	nmi:NMO_1375
ko:K01515	nmi:NMO_0966
ko:K03500	nmi:NMO_1187
ko:K02664	nmi:NMO_0368
ko:K02919	nmi:NMO_0838
ko:K02909	nmi:NMO_0839
ko:K00549	nmi:NMO_0841
ko:K00382	nmi:NMO_0844
ko:K00241	nmi:NMO_0845
ko:K00242	nmi:NMO_0846
ko:K00239	nmi:NMO_0847
ko:K00240	nmi:NMO_0848
ko:K09159	nmi:NMO_0849
ko:K01647	nmi:NMO_0850
ko:K00164	nmi:NMO_0851
ko:K00658	nmi:NMO_0852
ko:K00382	nmi:NMO_0853
ko:K01903	nmi:NMO_0855
ko:K01902	nmi:NMO_0856
ko:K03701	nmi:NMO_0861
ko:K01613	nmi:NMO_0862
ko:K02014	nmi:NMO_0863
ko:K01658	nmi:NMO_0865
ko:K00766	nmi:NMO_0866
ko:K00325	nmi:NMO_0878
ko:K00324	nmi:NMO_0880
ko:K00602	nmi:NMO_0883
ko:K01448	nmi:NMO_0888
ko:K03455	nmi:NMO_1831
ko:K03616	nmi:NMO_1832
ko:K00134	nmi:NMO_1833
ko:K00684	nmi:NMO_1834
ko:K06186	nmi:NMO_1836
ko:K00748	nmi:NMO_1840
ko:K06179	nmi:NMO_1841
ko:K08300	nmi:NMO_1842
ko:K00097	nmi:NMO_1843
ko:K03310	nmi:NMO_1844
ko:K03495	nmi:NMO_1845
ko:K03470	nmi:NMO_1846
ko:K03496	nmi:NMO_1847
ko:K03501	nmi:NMO_1848
ko:K02838	nmi:NMO_1851
ko:K00806	nmi:NMO_1852
ko:K00981	nmi:NMO_1853
ko:K00099	nmi:NMO_1854
ko:K11749	nmi:NMO_1855
ko:K07277	nmi:NMO_1856
ko:K06142	nmi:NMO_1857
ko:K02536	nmi:NMO_1858
ko:K02372	nmi:NMO_1859
ko:K00677	nmi:NMO_1860
ko:K03310	nmi:NMO_1861
ko:K00285	nmi:NMO_1862
ko:K07238	nmi:NMO_1863
ko:K01873	nmi:NMO_1864
ko:K04761	nmi:NMO_1865
ko:K03608	nmi:NMO_1866
ko:K03609	nmi:NMO_1867
ko:K03610	nmi:NMO_1868
ko:K02879	nmi:NMO_1869
ko:K03040	nmi:NMO_1870
ko:K02986	nmi:NMO_1871
ko:K02948	nmi:NMO_1872
ko:K02952	nmi:NMO_1873
ko:K02919	nmi:NMO_1874
ko:K02518	nmi:NMO_1875
ko:K03076	nmi:NMO_1876
ko:K02876	nmi:NMO_1877
ko:K02907	nmi:NMO_1878
ko:K02988	nmi:NMO_1879
ko:K02881	nmi:NMO_1880
ko:K02933	nmi:NMO_1881
ko:K02994	nmi:NMO_1882
ko:K00484	nmi:NMO_0320
ko:K02954	nmi:NMO_1883
ko:K02931	nmi:NMO_1884
ko:K02895	nmi:NMO_1885
ko:K02874	nmi:NMO_1886
ko:K02961	nmi:NMO_1887
ko:K03777	nmi:NMO_0906
ko:K05541	nmi:NMO_0908
ko:K06907	nmi:NMO_0929
ko:K06908	nmi:NMO_0930
ko:K06905	nmi:NMO_0935
ko:K06903	nmi:NMO_0937
ko:K06223	nmi:NMO_0943
ko:K02048	nmi:NMO_0947
ko:K01589	nmi:NMO_0949
ko:K00558	nmi:NMO_0951
ko:K01657	nmi:NMO_0952
ko:K03975	nmi:NMO_0955
ko:K00600	nmi:NMO_0956
ko:K00681	nmi:NMO_0957
ko:K09794	nmi:NMO_0961
ko:K01104	nmi:NMO_1109
ko:K02970	nmi:NMO_0221
ko:K08309	nmi:NMO_0222
ko:K11085	nmi:NMO_0252
ko:K03841	nmi:NMO_0962
ko:K07115	nmi:NMO_0963
ko:K08591	nmi:NMO_0964
ko:K01633	nmi:NMO_0965
ko:K02904	nmi:NMO_1888
ko:K02878	nmi:NMO_1889
ko:K02982	nmi:NMO_1890
ko:K02890	nmi:NMO_1891
ko:K02965	nmi:NMO_1892
ko:K02886	nmi:NMO_1893
ko:K02892	nmi:NMO_1894
ko:K02926	nmi:NMO_1895
ko:K02906	nmi:NMO_1896
ko:K02946	nmi:NMO_1898
ko:K02358	nmi:NMO_1899
ko:K02355	nmi:NMO_1900
ko:K02992	nmi:NMO_1901
ko:K02950	nmi:NMO_1902
ko:K03046	nmi:NMO_1905
ko:K03043	nmi:NMO_1906
ko:K02935	nmi:NMO_1907
ko:K02864	nmi:NMO_1908
ko:K02863	nmi:NMO_1909
ko:K02867	nmi:NMO_1910
ko:K02601	nmi:NMO_1911
ko:K03073	nmi:NMO_1912
ko:K03168	nmi:NMO_1919
ko:K03747	nmi:NMO_1920
ko:K04096	nmi:NMO_1921
ko:K03500	nmi:NMO_1925
ko:K00604	nmi:NMO_1926
ko:K01462	nmi:NMO_1927
ko:K00610	nmi:NMO_1930
ko:K00609	nmi:NMO_1931
ko:K00873	nmi:NMO_1938
ko:K06076	nmi:NMO_1939
ko:K03312	nmi:NMO_1942
ko:K06959	nmi:NMO_1944
ko:K01710	nmi:NMO_1946
ko:K00973	nmi:NMO_1947
ko:K06199	nmi:NMO_0967
ko:K03466	nmi:NMO_0969
ko:K00147	nmi:NMO_0971
ko:K00931	nmi:NMO_0972
ko:K01649	nmi:NMO_0973
ko:K07039	nmi:NMO_0974
ko:K00930	nmi:NMO_0977
ko:K10763	nmi:NMO_0980
ko:K02291	nmi:NMO_0989
ko:K04044	nmi:NMO_0990
ko:K04755	nmi:NMO_0994
ko:K04762	nmi:NMO_0997
ko:K01962	nmi:NMO_0998
ko:K04075	nmi:NMO_0999
ko:K03437	nmi:NMO_1000
ko:K02558	nmi:NMO_1002
ko:K01012	nmi:NMO_1003
ko:K01687	nmi:NMO_1006
ko:K00381	nmi:NMO_1007
ko:K00380	nmi:NMO_1008
ko:K00957	nmi:NMO_1010
ko:K00390	nmi:NMO_1011
ko:K02302	nmi:NMO_1012
ko:K06207	nmi:NMO_1015
ko:K12573	nmi:NMO_1016
ko:K00088	nmi:NMO_1017
ko:K00990	nmi:NMO_1018
ko:K03594	nmi:NMO_1020
ko:K03594	nmi:NMO_1021
ko:K03644	nmi:NMO_1022
ko:K03801	nmi:NMO_1023
ko:K09158	nmi:NMO_1024
ko:K01790	nmi:NMO_1948
ko:K03686	nmi:NMO_1950
ko:K06204	nmi:NMO_1953
ko:K00286	nmi:NMO_1954
ko:K06997	nmi:NMO_1956
ko:K02669	nmi:NMO_1957
ko:K02670	nmi:NMO_1958
ko:K07461	nmi:NMO_1961
ko:K03110	nmi:NMO_1962
ko:K12267	nmi:NMO_1963
ko:K03743	nmi:NMO_1964
ko:K03442	nmi:NMO_1965
ko:K02064	nmi:NMO_1966
ko:K04042	nmi:NMO_1968
ko:K06193	nmi:NMO_1969
ko:K07224	nmi:NMO_1971
ko:K07243	nmi:NMO_1972
ko:K08304	nmi:NMO_1973
ko:K00820	nmi:NMO_1975
ko:K01874	nmi:NMO_1976
ko:K02535	nmi:NMO_1987
ko:K03648	nmi:NMO_1028
ko:K06158	nmi:NMO_1038
ko:K00003	nmi:NMO_1040
ko:K03530	nmi:NMO_1042
ko:K01338	nmi:NMO_1043
ko:K03581	nmi:NMO_1045
ko:K09808	nmi:NMO_1047
ko:K06187	nmi:NMO_1050
ko:K03770	nmi:NMO_1051
ko:K03551	nmi:NMO_1056
ko:K01783	nmi:NMO_1057
ko:K06923	nmi:NMO_1059
ko:K00793	nmi:NMO_1060
ko:K03752	nmi:NMO_1061
ko:K07673	nmi:NMO_1062
ko:K01933	nmi:NMO_1065
ko:K07478	nmi:NMO_1076
ko:K01733	nmi:NMO_1082
ko:K00528	nmi:NMO_1084
ko:K01533	nmi:NMO_1086
ko:K03665	nmi:NMO_1087
ko:K09765	nmi:NMO_1089
ko:K03630	nmi:NMO_1090
ko:K01919	nmi:NMO_1091
ko:K01703	nmi:NMO_1092
ko:K01704	nmi:NMO_1094
ko:K00052	nmi:NMO_1097
ko:K01744	nmi:NMO_1099
ko:K06980	nmi:NMO_1104
ko:K09823	nmi:NMO_1108
ko:K00865	nmi:NMO_1110
ko:K09795	nmi:NMO_1115
ko:K02168	nmi:NMO_1118
ko:K03723	nmi:NMO_1124
ko:K01579	nmi:NMO_1125
ko:K01627	nmi:NMO_1126
ko:K01689	nmi:NMO_1128
ko:K05589	nmi:NMO_1129
ko:K11107	nmi:NMO_1130
ko:K00526	nmi:NMO_1131
ko:K00525	nmi:NMO_1133
ko:K00655	nmi:NMO_1135
ko:K10563	nmi:NMO_1136
ko:K08307	nmi:NMO_1138
ko:K00945	nmi:NMO_1141
ko:K02945	nmi:NMO_1142
ko:K05788	nmi:NMO_1143
ko:K06916	nmi:NMO_1147
ko:K00940	nmi:NMO_1148
ko:K06941	nmi:NMO_1149
ko:K02656	nmi:NMO_1150
ko:K01358	nmi:NMO_1152
ko:K03545	nmi:NMO_1153
ko:K03466	nmi:NMO_1154
ko:K02939	nmi:NMO_1160
ko:K02963	nmi:NMO_1161
ko:K02686	nmi:NMO_1162
ko:K02990	nmi:NMO_1163
ko:K00384	nmi:NMO_1164
ko:K03703	nmi:NMO_1166
ko:K03439	nmi:NMO_1168
ko:K03702	nmi:NMO_1171
ko:K03797	nmi:NMO_1172
ko:K05805	nmi:NMO_1174
ko:K07735	nmi:NMO_1175
ko:K07447	nmi:NMO_1176
ko:K01881	nmi:NMO_1178
ko:K00163	nmi:NMO_1179
ko:K00627	nmi:NMO_1180
ko:K00382	nmi:NMO_1181
ko:K02014	nmi:NMO_1183
ko:K01092	nmi:NMO_1184
ko:K09977	nmi:NMO_1186
ko:K05595	nmi:NMO_1190
ko:K02435	nmi:NMO_1191
ko:K02433	nmi:NMO_1192
ko:K09824	nmi:NMO_1193
ko:K02434	nmi:NMO_1194
ko:K00523	nmi:NMO_1195
ko:K00275	nmi:NMO_1196
ko:K06178	nmi:NMO_1197
ko:K03601	nmi:NMO_1199
ko:K07322	nmi:NMO_1201
ko:K03671	nmi:NMO_1202
ko:K03544	nmi:NMO_1211
ko:K02834	nmi:NMO_1212
ko:K03177	nmi:NMO_1214
ko:K00101	nmi:NMO_1217
ko:K04487	nmi:NMO_1219
ko:K04488	nmi:NMO_1221
ko:K04082	nmi:NMO_1223
ko:K02469	nmi:NMO_1224
ko:K01810	nmi:NMO_1230
ko:K00845	nmi:NMO_1232
ko:K01057	nmi:NMO_1233
ko:K00036	nmi:NMO_1234
ko:K01690	nmi:NMO_1235
ko:K01625	nmi:NMO_1236
ko:K03575	nmi:NMO_1238
ko:K04565	nmi:NMO_1240
ko:K11004	nmi:NMO_1242
ko:K01256	nmi:NMO_1248
ko:K07501	nmi:NMO_1249
ko:K02517	nmi:NMO_1251
ko:K01159	nmi:NMO_1252
