ko:K07126	hih:NF38_07625
ko:K09997	hih:NF38_08250
ko:K09999	hih:NF38_08255
ko:K09998	hih:NF38_08260
ko:K02742	hih:NF38_08275
ko:K00789	hih:NF38_08280
ko:K01664	hih:NF38_08285
ko:K01665	hih:NF38_08290
ko:K02619	hih:NF38_08295
ko:K09802	hih:NF38_08300
ko:K00831	hih:NF38_08305
ko:K00817	hih:NF38_08310
ko:K07390	hih:NF38_08315
ko:K03286	hih:NF38_08320
ko:K03086	hih:NF38_02410
ko:K02970	hih:NF38_02420
ko:K01409	hih:NF38_02425
ko:K03834	hih:NF38_02435
ko:K01166	hih:NF38_02445
ko:K00927	hih:NF38_02450
ko:K01624	hih:NF38_02455
ko:K03317	hih:NF38_02480
ko:K03784	hih:NF38_02485
ko:K02867	hih:NF38_02490
ko:K02863	hih:NF38_02495
ko:K03043	hih:NF38_02500
ko:K03046	hih:NF38_02505
ko:K03304	hih:NF38_02510
ko:K02548	hih:NF38_02520
ko:K02553	hih:NF38_02525
ko:K02078	hih:NF38_04650
ko:K07792	hih:NF38_04655
ko:K06133	hih:NF38_04660
ko:K04088	hih:NF38_04665
ko:K04087	hih:NF38_04670
ko:K17948	hih:NF38_04680
ko:K01788	hih:NF38_04695
ko:K00885	hih:NF38_04700
ko:K01639	hih:NF38_04710
ko:K02564	hih:NF38_04715
ko:K01443	hih:NF38_04720
ko:K03469	hih:NF38_04730
ko:K02342	hih:NF38_04735
ko:K03977	hih:NF38_04750
ko:K08159	hih:NF38_04755
ko:K01494	hih:NF38_04765
ko:K00876	hih:NF38_04770
ko:K06901	hih:NF38_04775
ko:K01507	hih:NF38_04780
ko:K14055	hih:NF38_07005
ko:K11175	hih:NF38_07015
ko:K01933	hih:NF38_07020
ko:K01696	hih:NF38_07030
ko:K01695	hih:NF38_07035
ko:K03704	hih:NF38_07050
ko:K09917	hih:NF38_07055
ko:K06175	hih:NF38_07060
ko:K03151	hih:NF38_07070
ko:K01977	hih:NF38_02090
ko:K01977	hih:NF38_04295
ko:K14235	hih:NF38_03335
ko:K04085	hih:NF38_01525
ko:K03799	hih:NF38_01530
ko:K09022	hih:NF38_01535
ko:K04754	hih:NF38_01540
ko:K02601	hih:NF38_01545
ko:K03073	hih:NF38_01550
ko:K03544	hih:NF38_01555
ko:K01358	hih:NF38_01560
ko:K03545	hih:NF38_01565
ko:K03833	hih:NF38_01590
ko:K01042	hih:NF38_01595
ko:K03555	hih:NF38_01605
ko:K03835	hih:NF38_01610
ko:K01667	hih:NF38_01615
ko:K06194	hih:NF38_01620
ko:K03787	hih:NF38_01635
ko:K06176	hih:NF38_01640
ko:K09893	hih:NF38_01645
ko:K03775	hih:NF38_01650
ko:K07278	hih:NF38_01655
ko:K09800	hih:NF38_01660
ko:K03550	hih:NF38_03810
ko:K03551	hih:NF38_03815
ko:K04763	hih:NF38_03825
ko:K05820	hih:NF38_03830
ko:K00286	hih:NF38_03835
ko:K03554	hih:NF38_03840
ko:K07447	hih:NF38_03845
ko:K07735	hih:NF38_03850
ko:K09761	hih:NF38_03855
ko:K03820	hih:NF38_03860
ko:K06189	hih:NF38_03865
ko:K03806	hih:NF38_03870
ko:K02682	hih:NF38_03875
ko:K02504	hih:NF38_03880
ko:K02505	hih:NF38_03885
ko:K02506	hih:NF38_03890
ko:K03628	hih:NF38_03895
ko:K03764	hih:NF38_03900
ko:K07213	hih:NF38_03910
ko:K07213	hih:NF38_03915
ko:K07213	hih:NF38_03920
ko:K07213	hih:NF38_03925
ko:K17686	hih:NF38_03930
ko:K03837	hih:NF38_03935
ko:K01752	hih:NF38_03940
ko:K03835	hih:NF38_03945
ko:K14260	hih:NF38_03950
ko:K00163	hih:NF38_06065
ko:K01734	hih:NF38_06070
ko:K04043	hih:NF38_06080
ko:K03686	hih:NF38_06085
ko:K00147	hih:NF38_06090
ko:K07552	hih:NF38_06105
ko:K06183	hih:NF38_06110
ko:K00029	hih:NF38_06120
ko:K03702	hih:NF38_06130
ko:K06957	hih:NF38_06170
ko:K03723	hih:NF38_06175
ko:K01963	hih:NF38_06185
ko:K11754	hih:NF38_06190
ko:K03748	hih:NF38_06195
ko:K00641	hih:NF38_06200
ko:K01772	hih:NF38_08335
ko:K05838	hih:NF38_08340
ko:K00384	hih:NF38_08345
ko:K16013	hih:NF38_08350
ko:K16012	hih:NF38_08355
ko:K06956	hih:NF38_08365
ko:K00760	hih:NF38_08370
ko:K03592	hih:NF38_08375
ko:K09889	hih:NF38_08380
ko:K11719	hih:NF38_08385
ko:K09774	hih:NF38_08390
ko:K06861	hih:NF38_08395
ko:K02806	hih:NF38_08400
ko:K06958	hih:NF38_08405
ko:K14170	hih:NF38_08410
ko:K02535	hih:NF38_08415
ko:K03531	hih:NF38_08420
ko:K03590	hih:NF38_08425
ko:K03589	hih:NF38_08430
ko:K01921	hih:NF38_08435
ko:K01924	hih:NF38_08440
ko:K02563	hih:NF38_08445
ko:K03588	hih:NF38_08450
ko:K01925	hih:NF38_08455
ko:K01000	hih:NF38_08460
ko:K01929	hih:NF38_08465
ko:K02529	hih:NF38_02535
ko:K00852	hih:NF38_02540
ko:K10439	hih:NF38_02545
ko:K10440	hih:NF38_02550
ko:K10441	hih:NF38_02555
ko:K06726	hih:NF38_02560
ko:K09760	hih:NF38_02565
ko:K09471	hih:NF38_02570
ko:K11069	hih:NF38_02575
ko:K03667	hih:NF38_02580
ko:K01419	hih:NF38_02585
ko:K03788	hih:NF38_02590
ko:K07173	hih:NF38_02605
ko:K03501	hih:NF38_02625
ko:K02116	hih:NF38_02630
ko:K02108	hih:NF38_02635
ko:K02110	hih:NF38_02640
ko:K02109	hih:NF38_02645
ko:K02113	hih:NF38_02650
ko:K02111	hih:NF38_02655
ko:K02115	hih:NF38_02660
ko:K02112	hih:NF38_02665
ko:K00995	hih:NF38_04800
ko:K03386	hih:NF38_04805
ko:K01760	hih:NF38_04810
ko:K02558	hih:NF38_04815
ko:K09815	hih:NF38_04825
ko:K08304	hih:NF38_04835
ko:K12297	hih:NF38_04845
ko:K16087	hih:NF38_04885
ko:K00799	hih:NF38_04895
ko:K01875	hih:NF38_04900
ko:K03106	hih:NF38_04925
ko:K01153	hih:NF38_04930
ko:K01154	hih:NF38_04935
ko:K03602	hih:NF38_07075
ko:K00795	hih:NF38_07080
ko:K01662	hih:NF38_07085
ko:K03600	hih:NF38_07090
ko:K03599	hih:NF38_07095
ko:K02996	hih:NF38_07100
ko:K02871	hih:NF38_07105
ko:K00297	hih:NF38_07110
ko:K01935	hih:NF38_07115
ko:K09902	hih:NF38_07120
ko:K01495	hih:NF38_07125
ko:K03750	hih:NF38_07130
ko:K09901	hih:NF38_07140
ko:K06196	hih:NF38_07155
ko:K12267	hih:NF38_07160
ko:K03088	hih:NF38_07175
ko:K08296	hih:NF38_07195
ko:K03431	hih:NF38_07200
ko:K00796	hih:NF38_07205
ko:K07226	hih:NF38_00675
ko:K12368	hih:NF38_00680
ko:K03753	hih:NF38_00690
ko:K03803	hih:NF38_00695
ko:K15984	hih:NF38_00700
ko:K09897	hih:NF38_00710
ko:K03673	hih:NF38_00715
ko:K06181	hih:NF38_01670
ko:K00769	hih:NF38_01680
ko:K00864	hih:NF38_01685
ko:K02440	hih:NF38_01690
ko:K01126	hih:NF38_01695
ko:K02445	hih:NF38_01700
ko:K00111	hih:NF38_01705
ko:K00112	hih:NF38_01710
ko:K00113	hih:NF38_01715
ko:K00053	hih:NF38_01720
ko:K02521	hih:NF38_01725
ko:K05786	hih:NF38_01730
ko:K02439	hih:NF38_01735
ko:K01803	hih:NF38_01740
ko:K03733	hih:NF38_01750
ko:K01270	hih:NF38_01755
ko:K00769	hih:NF38_01760
ko:K05589	hih:NF38_01765
ko:K00991	hih:NF38_01770
ko:K01770	hih:NF38_01775
ko:K07560	hih:NF38_01780
ko:K06205	hih:NF38_01785
ko:K09892	hih:NF38_01790
ko:K02446	hih:NF38_01795
ko:K02552	hih:NF38_03960
ko:K02551	hih:NF38_03965
ko:K08680	hih:NF38_03970
ko:K00757	hih:NF38_03980
ko:K09858	hih:NF38_03990
ko:K07058	hih:NF38_03995
ko:K01885	hih:NF38_04025
ko:K00989	hih:NF38_04035
ko:K00762	hih:NF38_04040
ko:K05801	hih:NF38_04045
ko:K05541	hih:NF38_04050
ko:K03089	hih:NF38_04055
ko:K00075	hih:NF38_04060
ko:K07674	hih:NF38_04065
ko:K08591	hih:NF38_04070
ko:K01633	hih:NF38_04075
ko:K16087	hih:NF38_04090
ko:K12982	hih:NF38_04095
ko:K02469	hih:NF38_06205
ko:K09136	hih:NF38_06215
ko:K01069	hih:NF38_06230
ko:K16868	hih:NF38_06235
ko:K01874	hih:NF38_06240
ko:K03593	hih:NF38_06245
ko:K02114	hih:NF38_02670
ko:K03834	hih:NF38_02675
ko:K11755	hih:NF38_02680
ko:K02500	hih:NF38_02685
ko:K01814	hih:NF38_02690
ko:K02501	hih:NF38_02695
ko:K01089	hih:NF38_02700
ko:K00817	hih:NF38_02705
ko:K00013	hih:NF38_02710
ko:K00765	hih:NF38_02715
ko:K06980	hih:NF38_02730
ko:K00058	hih:NF38_02735
ko:K01807	hih:NF38_02740
ko:K01338	hih:NF38_02750
ko:K09824	hih:NF38_02755
ko:K04765	hih:NF38_02760
ko:K02825	hih:NF38_02765
ko:K03771	hih:NF38_02770
ko:K07082	hih:NF38_02775
ko:K02341	hih:NF38_02790
ko:K03424	hih:NF38_02795
ko:K03655	hih:NF38_04940
ko:K03427	hih:NF38_04945
ko:K04079	hih:NF38_04955
ko:K01439	hih:NF38_04965
ko:K02010	hih:NF38_04975
ko:K02011	hih:NF38_04980
ko:K02012	hih:NF38_04985
ko:K02647	hih:NF38_05005
ko:K03299	hih:NF38_05010
ko:K00865	hih:NF38_05015
ko:K06997	hih:NF38_05020
ko:K12524	hih:NF38_05025
ko:K00872	hih:NF38_05030
ko:K01733	hih:NF38_05035
ko:K01739	hih:NF38_05060
ko:K03778	hih:NF38_05065
ko:K03671	hih:NF38_05070
ko:K03424	hih:NF38_05075
ko:K03798	hih:NF38_07210
ko:K02427	hih:NF38_07215
ko:K07574	hih:NF38_07220
ko:K03624	hih:NF38_07225
ko:K07259	hih:NF38_07230
ko:K02956	hih:NF38_07245
ko:K01716	hih:NF38_07260
ko:K04770	hih:NF38_07265
ko:K09911	hih:NF38_07270
ko:K03581	hih:NF38_07275
ko:K03582	hih:NF38_07280
ko:K02887	hih:NF38_07285
ko:K02916	hih:NF38_07290
ko:K02520	hih:NF38_07295
ko:K01792	hih:NF38_07300
ko:K12410	hih:NF38_07340
ko:K09896	hih:NF38_00720
ko:K03752	hih:NF38_00725
ko:K07014	hih:NF38_00735
ko:K09904	hih:NF38_00740
ko:K06899	hih:NF38_00745
ko:K06186	hih:NF38_00750
ko:K04568	hih:NF38_00760
ko:K00244	hih:NF38_00765
ko:K00245	hih:NF38_00770
ko:K00246	hih:NF38_00775
ko:K00247	hih:NF38_00780
ko:K03814	hih:NF38_00785
ko:K03720	hih:NF38_00790
ko:K08309	hih:NF38_00795
ko:K09780	hih:NF38_00800
ko:K10806	hih:NF38_00805
ko:K06190	hih:NF38_00810
ko:K03214	hih:NF38_02950
ko:K15460	hih:NF38_02955
ko:K05590	hih:NF38_02960
ko:K08303	hih:NF38_02965
ko:K00788	hih:NF38_02975
ko:K00941	hih:NF38_02980
ko:K00878	hih:NF38_02985
ko:K08300	hih:NF38_02995
ko:K06179	hih:NF38_03000
ko:K03666	hih:NF38_03005
ko:K03721	hih:NF38_03010
ko:K09817	hih:NF38_03020
ko:K09816	hih:NF38_03025
ko:K01962	hih:NF38_03030
ko:K04075	hih:NF38_03035
ko:K03573	hih:NF38_03040
ko:K00567	hih:NF38_03045
ko:K06076	hih:NF38_03050
ko:K03651	hih:NF38_03060
ko:K01515	hih:NF38_03065
ko:K03601	hih:NF38_03070
ko:K09801	hih:NF38_03080
ko:K01056	hih:NF38_03085
ko:K06942	hih:NF38_03090
ko:K00874	hih:NF38_05230
ko:K01812	hih:NF38_05240
ko:K01625	hih:NF38_05245
ko:K06193	hih:NF38_05250
ko:K07109	hih:NF38_05255
ko:K08990	hih:NF38_05270
ko:K06177	hih:NF38_05275
ko:K01142	hih:NF38_05280
ko:K03571	hih:NF38_05290
ko:K03570	hih:NF38_05295
ko:K03569	hih:NF38_05300
ko:K02471	hih:NF38_05305
ko:K07085	hih:NF38_05310
ko:K09710	hih:NF38_05315
ko:K00783	hih:NF38_05320
ko:K05515	hih:NF38_05325
ko:K05837	hih:NF38_05330
ko:K03642	hih:NF38_05335
ko:K07258	hih:NF38_05340
ko:K09158	hih:NF38_05345
ko:K03644	hih:NF38_05355
ko:K01910	hih:NF38_05360
ko:K01646	hih:NF38_05365
ko:K01644	hih:NF38_05370
ko:K15461	hih:NF38_07485
ko:K07271	hih:NF38_07505
ko:K04773	hih:NF38_07510
ko:K07862	hih:NF38_07530
ko:K01626	hih:NF38_07540
ko:K09808	hih:NF38_07545
ko:K09810	hih:NF38_07550
ko:K01935	hih:NF38_07555
ko:K02169	hih:NF38_07560
ko:K09789	hih:NF38_07565
ko:K00652	hih:NF38_07570
ko:K00833	hih:NF38_07575
ko:K09808	hih:NF38_07580
ko:K00018	hih:NF38_07585
ko:K01627	hih:NF38_07590
ko:K02493	hih:NF38_07600
ko:K02835	hih:NF38_07610
ko:K01928	hih:NF38_08470
ko:K03587	hih:NF38_08475
ko:K03586	hih:NF38_08480
ko:K03438	hih:NF38_08485
ko:K03925	hih:NF38_08490
ko:K00616	hih:NF38_08500
ko:K15580	hih:NF38_08505
ko:K15581	hih:NF38_08510
ko:K15582	hih:NF38_08515
ko:K15583	hih:NF38_08520
ko:K10823	hih:NF38_08525
ko:K09824	hih:NF38_08530
ko:K03978	hih:NF38_08535
ko:K07391	hih:NF38_08540
ko:K01619	hih:NF38_08545
ko:K03274	hih:NF38_08555
ko:K00854	hih:NF38_08560
ko:K01805	hih:NF38_08565
ko:K14155	hih:NF38_08570
ko:K03315	hih:NF38_08575
ko:K02529	hih:NF38_08580
ko:K02843	hih:NF38_08585
ko:K01738	hih:NF38_08595
ko:K06203	hih:NF38_08600
ko:K03528	hih:NF38_08605
ko:K01934	hih:NF38_00655
ko:K06158	hih:NF38_01830
ko:K07479	hih:NF38_01835
ko:K07566	hih:NF38_01840
ko:K00014	hih:NF38_01845
ko:K01246	hih:NF38_01855
ko:K12984	hih:NF38_01860
ko:K02527	hih:NF38_01865
ko:K00954	hih:NF38_01870
ko:K03656	hih:NF38_01880
ko:K03923	hih:NF38_01890
ko:K07507	hih:NF38_01895
ko:K00133	hih:NF38_01900
ko:K01048	hih:NF38_01905
ko:K07821	hih:NF38_01910
ko:K07812	hih:NF38_01915
ko:K04042	hih:NF38_01940
ko:K02935	hih:NF38_01945
ko:K02864	hih:NF38_01950
ko:K01756	hih:NF38_01955
ko:K11211	hih:NF38_04100
ko:K02428	hih:NF38_04105
ko:K05809	hih:NF38_04120
ko:K07287	hih:NF38_04125
ko:K01714	hih:NF38_04130
ko:K03564	hih:NF38_04135
ko:K03561	hih:NF38_04140
ko:K03559	hih:NF38_04145
ko:K03832	hih:NF38_04150
ko:K03701	hih:NF38_04160
ko:K01347	hih:NF38_04165
ko:K07568	hih:NF38_04175
ko:K00773	hih:NF38_04180
ko:K03210	hih:NF38_04195
ko:K03072	hih:NF38_04200
ko:K03074	hih:NF38_04205
ko:K03548	hih:NF38_04210
ko:K00537	hih:NF38_04215
ko:K18691	hih:NF38_04230
ko:K05592	hih:NF38_04235
ko:K05803	hih:NF38_04240
ko:K09748	hih:NF38_06430
ko:K02600	hih:NF38_06435
ko:K02519	hih:NF38_06440
ko:K01153	hih:NF38_06445
ko:K01154	hih:NF38_06455
ko:K02834	hih:NF38_06465
ko:K03177	hih:NF38_06470
ko:K14187	hih:NF38_06475
ko:K06879	hih:NF38_06480
ko:K09888	hih:NF38_00660
ko:K00943	hih:NF38_02780
ko:K02768	hih:NF38_02825
ko:K11183	hih:NF38_02825
ko:K00882	hih:NF38_02830
ko:K02769	hih:NF38_02835
ko:K02770	hih:NF38_02835
ko:K03075	hih:NF38_02845
ko:K06187	hih:NF38_02855
ko:K09747	hih:NF38_02860
ko:K07115	hih:NF38_02865
ko:K05366	hih:NF38_02870
ko:K02507	hih:NF38_02895
ko:K07400	hih:NF38_02905
ko:K03426	hih:NF38_02910
ko:K09891	hih:NF38_02915
ko:K05787	hih:NF38_02920
ko:K00820	hih:NF38_02925
ko:K03611	hih:NF38_02930
ko:K03314	hih:NF38_02935
ko:K03603	hih:NF38_02940
ko:K00998	hih:NF38_02945
ko:K03768	hih:NF38_05085
ko:K01883	hih:NF38_05090
ko:K10805	hih:NF38_05095
ko:K03687	hih:NF38_05115
ko:K00858	hih:NF38_05120
ko:K03631	hih:NF38_05125
ko:K00982	hih:NF38_05130
ko:K00791	hih:NF38_05135
ko:K03572	hih:NF38_05140
ko:K01448	hih:NF38_05145
ko:K06925	hih:NF38_05150
ko:K00950	hih:NF38_05155
ko:K00970	hih:NF38_05160
ko:K06204	hih:NF38_05165
ko:K02238	hih:NF38_05170
ko:K11085	hih:NF38_05175
ko:K00912	hih:NF38_05180
ko:K00979	hih:NF38_05185
ko:K03703	hih:NF38_05190
ko:K01686	hih:NF38_05200
ko:K13637	hih:NF38_05205
ko:K04764	hih:NF38_07360
ko:K01890	hih:NF38_07365
ko:K01889	hih:NF38_07370
ko:K11107	hih:NF38_07380
ko:K00215	hih:NF38_07385
ko:K01095	hih:NF38_07395
ko:K00946	hih:NF38_07400
ko:K03625	hih:NF38_07405
ko:K00794	hih:NF38_07410
ko:K01893	hih:NF38_07415
ko:K10542	hih:NF38_00825
ko:K10540	hih:NF38_00830
ko:K02529	hih:NF38_00835
ko:K00965	hih:NF38_00840
ko:K00849	hih:NF38_00845
ko:K01785	hih:NF38_00850
ko:K09895	hih:NF38_00855
ko:K01262	hih:NF38_00860
ko:K06149	hih:NF38_00865
ko:K01872	hih:NF38_00870
ko:K03563	hih:NF38_00875
ko:K00963	hih:NF38_00880
ko:K01755	hih:NF38_00885
ko:K04083	hih:NF38_00890
ko:K01610	hih:NF38_00895
ko:K02838	hih:NF38_00900
ko:K00099	hih:NF38_00905
ko:K07090	hih:NF38_00910
ko:K02879	hih:NF38_00925
ko:K03040	hih:NF38_00930
ko:K02986	hih:NF38_00935
ko:K02948	hih:NF38_00940
ko:K02952	hih:NF38_00945
ko:K02919	hih:NF38_00950
ko:K03076	hih:NF38_00955
ko:K03684	hih:NF38_03100
ko:K01897	hih:NF38_03105
ko:K07285	hih:NF38_03110
ko:K07107	hih:NF38_03125
ko:K03562	hih:NF38_03130
ko:K03560	hih:NF38_03135
ko:K03641	hih:NF38_03145
ko:K03640	hih:NF38_03150
ko:K03554	hih:NF38_03220
ko:K03801	hih:NF38_05350
ko:K01643	hih:NF38_05375
ko:K13927	hih:NF38_05380
ko:K03319	hih:NF38_05385
ko:K06168	hih:NF38_05390
ko:K03648	hih:NF38_05395
ko:K03596	hih:NF38_05405
ko:K03100	hih:NF38_05410
ko:K03685	hih:NF38_05415
ko:K00564	hih:NF38_05425
ko:K02344	hih:NF38_05430
ko:K03789	hih:NF38_05435
ko:K02380	hih:NF38_05440
ko:K00127	hih:NF38_05445
ko:K00124	hih:NF38_05450
ko:K00123	hih:NF38_05455
ko:K00123	hih:NF38_05460
ko:K02379	hih:NF38_05465
ko:K07042	hih:NF38_05470
ko:K01897	hih:NF38_05480
ko:K00134	hih:NF38_05485
ko:K00942	hih:NF38_05490
ko:K03060	hih:NF38_05495
ko:K03655	hih:NF38_05505
ko:K07126	hih:NF38_07620
ko:K09906	hih:NF38_07630
ko:K00873	hih:NF38_07660
ko:K01775	hih:NF38_07670
ko:K01810	hih:NF38_07675
ko:K06077	hih:NF38_07690
ko:K09907	hih:NF38_07700
ko:K01887	hih:NF38_07705
ko:K01653	hih:NF38_07710
ko:K01652	hih:NF38_07715
ko:K01433	hih:NF38_07730
ko:K00800	hih:NF38_07735
ko:K07478	hih:NF38_07740
ko:K03634	hih:NF38_07745
ko:K03466	hih:NF38_07750
ko:K03719	hih:NF38_07755
ko:K02426	hih:NF38_06490
ko:K01766	hih:NF38_06495
ko:K06518	hih:NF38_06505
ko:K01972	hih:NF38_08610
ko:K02200	hih:NF38_08630
ko:K02199	hih:NF38_08635
ko:K02198	hih:NF38_08640
ko:K02197	hih:NF38_08645
ko:K02196	hih:NF38_08650
ko:K02195	hih:NF38_08655
ko:K02194	hih:NF38_08660
ko:K02193	hih:NF38_08665
ko:K04564	hih:NF38_08670
ko:K02065	hih:NF38_08675
ko:K02066	hih:NF38_08680
ko:K02067	hih:NF38_08685
ko:K07323	hih:NF38_08690
ko:K07122	hih:NF38_08695
ko:K00790	hih:NF38_08705
ko:K02424	hih:NF38_08710
ko:K10009	hih:NF38_08715
ko:K10010	hih:NF38_08720
ko:K03811	hih:NF38_08725
ko:K01937	hih:NF38_08730
ko:K00426	hih:NF38_08745
ko:K01673	hih:NF38_07420
ko:K15738	hih:NF38_07425
ko:K15738	hih:NF38_07430
ko:K03272	hih:NF38_07445
ko:K02517	hih:NF38_07450
ko:K02622	hih:NF38_07455
ko:K02621	hih:NF38_07460
ko:K03312	hih:NF38_07465
ko:K05844	hih:NF38_07470
ko:K00647	hih:NF38_07480
ko:K07153	hih:NF38_01960
ko:K01867	hih:NF38_01965
ko:K05539	hih:NF38_01975
ko:K02358	hih:NF38_01990
ko:K00867	hih:NF38_02015
ko:K03598	hih:NF38_02020
ko:K03597	hih:NF38_02025
ko:K03088	hih:NF38_02030
ko:K09159	hih:NF38_02035
ko:K03282	hih:NF38_02040
ko:K03499	hih:NF38_02045
ko:K03500	hih:NF38_02050
ko:K00604	hih:NF38_02055
ko:K01462	hih:NF38_02060
ko:K00962	hih:NF38_04245
ko:K10541	hih:NF38_00820
ko:K02876	hih:NF38_00960
ko:K02907	hih:NF38_00965
ko:K02988	hih:NF38_00970
ko:K02881	hih:NF38_00975
ko:K02933	hih:NF38_00980
ko:K02994	hih:NF38_00985
ko:K02954	hih:NF38_00990
ko:K02931	hih:NF38_00995
ko:K02895	hih:NF38_01000
ko:K02874	hih:NF38_01005
ko:K02961	hih:NF38_01015
ko:K02904	hih:NF38_01020
ko:K02878	hih:NF38_01025
ko:K02982	hih:NF38_01030
ko:K02890	hih:NF38_01035
ko:K02965	hih:NF38_01040
ko:K02886	hih:NF38_01045
ko:K02892	hih:NF38_01050
ko:K02926	hih:NF38_01055
ko:K02906	hih:NF38_01060
ko:K02946	hih:NF38_01065
ko:K01034	hih:NF38_01075
ko:K01035	hih:NF38_01080
ko:K02106	hih:NF38_01085
ko:K00626	hih:NF38_01090
ko:K01776	hih:NF38_05510
ko:K00101	hih:NF38_05515
ko:K03576	hih:NF38_05545
ko:K02837	hih:NF38_05565
ko:K00208	hih:NF38_05570
ko:K01147	hih:NF38_05575
ko:K07160	hih:NF38_05590
ko:K01940	hih:NF38_05600
ko:K01923	hih:NF38_05605
ko:K05365	hih:NF38_05610
ko:K09910	hih:NF38_05615
ko:K15724	hih:NF38_05620
ko:K01265	hih:NF38_05625
ko:K00990	hih:NF38_05630
ko:K02851	hih:NF38_05635
ko:K13288	hih:NF38_05650
ko:K04485	hih:NF38_07760
ko:K09929	hih:NF38_07795
ko:K15977	hih:NF38_07810
ko:K07220	hih:NF38_07815
ko:K03306	hih:NF38_07820
ko:K07184	hih:NF38_07825
ko:K00974	hih:NF38_07830
ko:K02494	hih:NF38_07835
ko:K00919	hih:NF38_07840
ko:K00948	hih:NF38_07845
ko:K01866	hih:NF38_07850
ko:K06206	hih:NF38_07855
ko:K03327	hih:NF38_07860
ko:K00793	hih:NF38_07865
ko:K01256	hih:NF38_07870
ko:K01588	hih:NF38_07885
ko:K01589	hih:NF38_07890
ko:K00813	hih:NF38_07895
ko:K03311	hih:NF38_04260
ko:K03313	hih:NF38_04265
ko:K03719	hih:NF38_04270
ko:K05786	hih:NF38_04275
