ko:K19405	ctre:SOTONE4_00715
ko:K06999	ctre:SOTONE4_00138
ko:K07566	ctre:SOTONE4_00139
ko:K09125	ctre:SOTONE4_00142
ko:K07039	ctre:SOTONE4_00143
ko:K01972	ctre:SOTONE4_00150
ko:K02913	ctre:SOTONE4_00154
ko:K09808	ctre:SOTONE4_00155
ko:K09810	ctre:SOTONE4_00156
ko:K03720	ctre:SOTONE4_00171
ko:K00240	ctre:SOTONE4_00623
ko:K00239	ctre:SOTONE4_00624
ko:K03424	ctre:SOTONE4_00627
ko:K03562	ctre:SOTONE4_00629
ko:K03641	ctre:SOTONE4_00632
ko:K03640	ctre:SOTONE4_00633
ko:K03648	ctre:SOTONE4_00642
ko:K03657	ctre:SOTONE4_00643
ko:K03092	ctre:SOTONE4_00644
ko:K06137	ctre:SOTONE4_00645
ko:K13941	ctre:SOTONE4_00648
ko:K01633	ctre:SOTONE4_00649
ko:K03086	ctre:SOTONE4_00650
ko:K02968	ctre:SOTONE4_00652
ko:K03980	ctre:SOTONE4_00659
ko:K01151	ctre:SOTONE4_00660
ko:K02986	ctre:SOTONE4_00661
ko:K07146	ctre:SOTONE4_00662
ko:K13789	ctre:SOTONE4_00663
ko:K01698	ctre:SOTONE4_00669
ko:K00346	ctre:SOTONE4_00670
ko:K01696	ctre:SOTONE4_00172
ko:K01695	ctre:SOTONE4_00173
ko:K03611	ctre:SOTONE4_00178
ko:K03582	ctre:SOTONE4_00676
ko:K03685	ctre:SOTONE4_00305
ko:K04485	ctre:SOTONE4_00306
ko:K01749	ctre:SOTONE4_00307
ko:K01873	ctre:SOTONE4_00310
ko:K03046	ctre:SOTONE4_00322
ko:K03043	ctre:SOTONE4_00323
ko:K02935	ctre:SOTONE4_00324
ko:K02864	ctre:SOTONE4_00325
ko:K02863	ctre:SOTONE4_00326
ko:K02867	ctre:SOTONE4_00327
ko:K02601	ctre:SOTONE4_00328
ko:K03073	ctre:SOTONE4_00329
ko:K02358	ctre:SOTONE4_00331
ko:K02518	ctre:SOTONE4_00333
ko:K01803	ctre:SOTONE4_00342
ko:K03601	ctre:SOTONE4_00343
ko:K03602	ctre:SOTONE4_00344
ko:K01662	ctre:SOTONE4_00346
ko:K00873	ctre:SOTONE4_00347
ko:K03701	ctre:SOTONE4_00348
ko:K02343	ctre:SOTONE4_00349
ko:K09747	ctre:SOTONE4_00350
ko:K11381	ctre:SOTONE4_00356
ko:K09779	ctre:SOTONE4_00002
ko:K02435	ctre:SOTONE4_00003
ko:K02434	ctre:SOTONE4_00005
ko:K02517	ctre:SOTONE4_00011
ko:K00425	ctre:SOTONE4_00014
ko:K00426	ctre:SOTONE4_00015
ko:K07175	ctre:SOTONE4_00016
ko:K01870	ctre:SOTONE4_00021
ko:K03100	ctre:SOTONE4_00022
ko:K02909	ctre:SOTONE4_00024
ko:K02835	ctre:SOTONE4_00025
ko:K02493	ctre:SOTONE4_00026
ko:K03106	ctre:SOTONE4_00027
ko:K02959	ctre:SOTONE4_00028
ko:K00554	ctre:SOTONE4_00029
ko:K02884	ctre:SOTONE4_00030
ko:K03470	ctre:SOTONE4_00031
ko:K00942	ctre:SOTONE4_00032
ko:K01874	ctre:SOTONE4_00034
ko:K03581	ctre:SOTONE4_00035
ko:K01494	ctre:SOTONE4_00042
ko:K03551	ctre:SOTONE4_00043
ko:K01255	ctre:SOTONE4_00048
ko:K02340	ctre:SOTONE4_00050
ko:K07056	ctre:SOTONE4_00051
ko:K00164	ctre:SOTONE4_00057
ko:K00658	ctre:SOTONE4_00058
ko:K05810	ctre:SOTONE4_00059
ko:K03526	ctre:SOTONE4_00060
ko:K02400	ctre:SOTONE4_00064
ko:K02405	ctre:SOTONE4_00065
ko:K01866	ctre:SOTONE4_00066
ko:K03596	ctre:SOTONE4_00068
ko:K03301	ctre:SOTONE4_00069
ko:K03686	ctre:SOTONE4_00357
ko:K02970	ctre:SOTONE4_00358
ko:K01338	ctre:SOTONE4_00361
ko:K03733	ctre:SOTONE4_00364
ko:K06287	ctre:SOTONE4_00366
ko:K03075	ctre:SOTONE4_00369
ko:K01462	ctre:SOTONE4_00370
ko:K02528	ctre:SOTONE4_00371
ko:K06888	ctre:SOTONE4_00373
ko:K03523	ctre:SOTONE4_00377
ko:K01714	ctre:SOTONE4_00380
ko:K00928	ctre:SOTONE4_00381
ko:K00133	ctre:SOTONE4_00382
ko:K03583	ctre:SOTONE4_00677
ko:K03168	ctre:SOTONE4_00680
ko:K02221	ctre:SOTONE4_00682
ko:K03581	ctre:SOTONE4_00689
ko:K06861	ctre:SOTONE4_00691
ko:K01627	ctre:SOTONE4_00693
ko:K06180	ctre:SOTONE4_00697
ko:K06960	ctre:SOTONE4_00698
ko:K02469	ctre:SOTONE4_00699
ko:K02470	ctre:SOTONE4_00700
ko:K02492	ctre:SOTONE4_00701
ko:K03224	ctre:SOTONE4_00708
ko:K02417	ctre:SOTONE4_00711
ko:K03219	ctre:SOTONE4_00713
ko:K02838	ctre:SOTONE4_00719
ko:K09903	ctre:SOTONE4_00720
ko:K02357	ctre:SOTONE4_00721
ko:K02967	ctre:SOTONE4_00722
ko:K03162	ctre:SOTONE4_00724
ko:K09013	ctre:SOTONE4_00728
ko:K09015	ctre:SOTONE4_00729
ko:K11717	ctre:SOTONE4_00730
ko:K00215	ctre:SOTONE4_00383
ko:K00800	ctre:SOTONE4_00385
ko:K00891	ctre:SOTONE4_00386
ko:K01736	ctre:SOTONE4_00387
ko:K01735	ctre:SOTONE4_00388
ko:K13832	ctre:SOTONE4_00389
ko:K03758	ctre:SOTONE4_00393
ko:K00024	ctre:SOTONE4_00395
ko:K01810	ctre:SOTONE4_00397
ko:K03665	ctre:SOTONE4_00398
ko:K06167	ctre:SOTONE4_00399
ko:K09996	ctre:SOTONE4_00400
ko:K06966	ctre:SOTONE4_00407
ko:K09131	ctre:SOTONE4_00408
ko:K10206	ctre:SOTONE4_00410
ko:K01881	ctre:SOTONE4_00413
ko:K03705	ctre:SOTONE4_00414
ko:K03687	ctre:SOTONE4_00415
ko:K04043	ctre:SOTONE4_00416
ko:K12573	ctre:SOTONE4_00417
ko:K07164	ctre:SOTONE4_00418
ko:K06041	ctre:SOTONE4_00419
ko:K00658	ctre:SOTONE4_00420
ko:K00912	ctre:SOTONE4_00422
ko:K03437	ctre:SOTONE4_00423
ko:K06969	ctre:SOTONE4_00424
ko:K00793	ctre:SOTONE4_00425
ko:K07738	ctre:SOTONE4_00426
ko:K06204	ctre:SOTONE4_00427
ko:K03101	ctre:SOTONE4_00428
ko:K03310	ctre:SOTONE4_00429
ko:K00748	ctre:SOTONE4_00431
ko:K09817	ctre:SOTONE4_00437
ko:K09816	ctre:SOTONE4_00438
ko:K03979	ctre:SOTONE4_00439
ko:K02899	ctre:SOTONE4_00440
ko:K02888	ctre:SOTONE4_00441
ko:K07042	ctre:SOTONE4_00446
ko:K03183	ctre:SOTONE4_00452
ko:K01778	ctre:SOTONE4_00454
ko:K01358	ctre:SOTONE4_00455
ko:K00600	ctre:SOTONE4_00456
ko:K01770	ctre:SOTONE4_00458
ko:K02946	ctre:SOTONE4_00460
ko:K02355	ctre:SOTONE4_00461
ko:K02992	ctre:SOTONE4_00462
ko:K02950	ctre:SOTONE4_00463
ko:K07220	ctre:SOTONE4_00734
ko:K03306	ctre:SOTONE4_00735
ko:K00927	ctre:SOTONE4_00736
ko:K10773	ctre:SOTONE4_00740
ko:K03650	ctre:SOTONE4_00741
ko:K01613	ctre:SOTONE4_00742
ko:K03070	ctre:SOTONE4_00744
ko:K03977	ctre:SOTONE4_00746
ko:K03544	ctre:SOTONE4_00748
ko:K01358	ctre:SOTONE4_00749
ko:K03545	ctre:SOTONE4_00750
ko:K03569	ctre:SOTONE4_00753
ko:K00057	ctre:SOTONE4_00758
ko:K02412	ctre:SOTONE4_00761
ko:K02411	ctre:SOTONE4_00762
ko:K02409	ctre:SOTONE4_00763
ko:K13819	ctre:SOTONE4_00764
ko:K04487	ctre:SOTONE4_00765
ko:K06178	ctre:SOTONE4_00767
ko:K03524	ctre:SOTONE4_00769
ko:K05837	ctre:SOTONE4_00770
ko:K01875	ctre:SOTONE4_00773
ko:K11752	ctre:SOTONE4_00774
ko:K14652	ctre:SOTONE4_00775
ko:K00794	ctre:SOTONE4_00776
ko:K03310	ctre:SOTONE4_00779
ko:K03466	ctre:SOTONE4_00783
ko:K00351	ctre:SOTONE4_00788
ko:K03210	ctre:SOTONE4_00789
ko:K00231	ctre:SOTONE4_00793
ko:K01599	ctre:SOTONE4_00795
ko:K03723	ctre:SOTONE4_00796
ko:K01872	ctre:SOTONE4_00797
ko:K00615	ctre:SOTONE4_00801
ko:K01241	ctre:SOTONE4_00802
ko:K02356	ctre:SOTONE4_00803
ko:K01929	ctre:SOTONE4_00808
ko:K01000	ctre:SOTONE4_00809
ko:K01925	ctre:SOTONE4_00810
ko:K03588	ctre:SOTONE4_00812
ko:K02563	ctre:SOTONE4_00813
ko:K06960	ctre:SOTONE4_00815
ko:K00791	ctre:SOTONE4_00818
ko:K09710	ctre:SOTONE4_00821
ko:K09458	ctre:SOTONE4_00822
ko:K00263	ctre:SOTONE4_00825
ko:K00655	ctre:SOTONE4_00827
ko:K04066	ctre:SOTONE4_00830
ko:K04567	ctre:SOTONE4_00833
ko:K01883	ctre:SOTONE4_00834
ko:K03797	ctre:SOTONE4_00465
ko:K07462	ctre:SOTONE4_00472
ko:K12257	ctre:SOTONE4_00473
ko:K00806	ctre:SOTONE4_00475
ko:K00981	ctre:SOTONE4_00476
ko:K00945	ctre:SOTONE4_00477
ko:K00655	ctre:SOTONE4_00478
ko:K01887	ctre:SOTONE4_00479
ko:K00790	ctre:SOTONE4_00480
ko:K02836	ctre:SOTONE4_00484
ko:K00991	ctre:SOTONE4_00487
ko:K06173	ctre:SOTONE4_00488
ko:K07710	ctre:SOTONE4_00493
ko:K07714	ctre:SOTONE4_00494
ko:K03584	ctre:SOTONE4_00497
ko:K01890	ctre:SOTONE4_00502
ko:K02034	ctre:SOTONE4_00505
ko:K01772	ctre:SOTONE4_00514
ko:K07099	ctre:SOTONE4_00517
ko:K00975	ctre:SOTONE4_00518
ko:K03628	ctre:SOTONE4_00520
ko:K00859	ctre:SOTONE4_00521
ko:K03301	ctre:SOTONE4_00524
ko:K00995	ctre:SOTONE4_00525
ko:K03495	ctre:SOTONE4_00528
ko:K03800	ctre:SOTONE4_00529
ko:K00940	ctre:SOTONE4_00530
ko:K03550	ctre:SOTONE4_00531
ko:K01159	ctre:SOTONE4_00532
ko:K00134	ctre:SOTONE4_00536
ko:K02879	ctre:SOTONE4_00537
ko:K03040	ctre:SOTONE4_00538
ko:K02948	ctre:SOTONE4_00539
ko:K02952	ctre:SOTONE4_00540
ko:K03076	ctre:SOTONE4_00541
ko:K02876	ctre:SOTONE4_00542
ko:K02988	ctre:SOTONE4_00543
ko:K02881	ctre:SOTONE4_00544
ko:K02933	ctre:SOTONE4_00545
ko:K02994	ctre:SOTONE4_00546
ko:K02931	ctre:SOTONE4_00547
ko:K02895	ctre:SOTONE4_00548
ko:K02874	ctre:SOTONE4_00549
ko:K02961	ctre:SOTONE4_00550
ko:K02904	ctre:SOTONE4_00551
ko:K03559	ctre:SOTONE4_00630
ko:K03536	ctre:SOTONE4_00836
ko:K02919	ctre:SOTONE4_00837
ko:K02954	ctre:SOTONE4_00838
ko:K03703	ctre:SOTONE4_00842
ko:K03555	ctre:SOTONE4_00843
ko:K14164	ctre:SOTONE4_00847
ko:K00995	ctre:SOTONE4_00848
ko:K00703	ctre:SOTONE4_00849
ko:K02897	ctre:SOTONE4_00851
ko:K01056	ctre:SOTONE4_00852
ko:K02990	ctre:SOTONE4_00853
ko:K02963	ctre:SOTONE4_00854
ko:K02939	ctre:SOTONE4_00855
ko:K00919	ctre:SOTONE4_00856
ko:K00630	ctre:SOTONE4_00860
ko:K08301	ctre:SOTONE4_00861
ko:K02911	ctre:SOTONE4_00864
ko:K03621	ctre:SOTONE4_00865
ko:K03431	ctre:SOTONE4_00870
ko:K00820	ctre:SOTONE4_00871
ko:K03834	ctre:SOTONE4_00872
ko:K03834	ctre:SOTONE4_00874
ko:K06890	ctre:SOTONE4_00875
ko:K03110	ctre:SOTONE4_00876
ko:K01903	ctre:SOTONE4_00877
ko:K01902	ctre:SOTONE4_00878
ko:K09760	ctre:SOTONE4_00881
ko:K00075	ctre:SOTONE4_00888
ko:K02520	ctre:SOTONE4_00890
ko:K02878	ctre:SOTONE4_00552
ko:K02982	ctre:SOTONE4_00553
ko:K02890	ctre:SOTONE4_00554
ko:K02965	ctre:SOTONE4_00555
ko:K02886	ctre:SOTONE4_00556
ko:K02892	ctre:SOTONE4_00557
ko:K02926	ctre:SOTONE4_00558
ko:K02906	ctre:SOTONE4_00559
ko:K00604	ctre:SOTONE4_00561
ko:K00677	ctre:SOTONE4_00562
ko:K02372	ctre:SOTONE4_00563
ko:K02535	ctre:SOTONE4_00564
ko:K03820	ctre:SOTONE4_00565
ko:K06925	ctre:SOTONE4_00568
ko:K03671	ctre:SOTONE4_00571
ko:K03216	ctre:SOTONE4_00572
ko:K01876	ctre:SOTONE4_00574
ko:K01892	ctre:SOTONE4_00575
ko:K07783	ctre:SOTONE4_00576
ko:K02337	ctre:SOTONE4_00577
ko:K03311	ctre:SOTONE4_00586
ko:K00382	ctre:SOTONE4_00589
ko:K03644	ctre:SOTONE4_00590
ko:K03222	ctre:SOTONE4_00591
ko:K03223	ctre:SOTONE4_00593
ko:K03226	ctre:SOTONE4_00594
ko:K03228	ctre:SOTONE4_00596
ko:K02455	ctre:SOTONE4_00602
ko:K02453	ctre:SOTONE4_00604
ko:K03572	ctre:SOTONE4_00607
ko:K01868	ctre:SOTONE4_00613
ko:K01867	ctre:SOTONE4_00617
ko:K03702	ctre:SOTONE4_00618
ko:K01689	ctre:SOTONE4_00619
ko:K01985	ctre:SOTONE4_00787
ko:K01985	ctre:SOTONE4_00800
ko:K02028	ctre:SOTONE4_00132
ko:K15035	ctre:SOTONE4_00020
ko:K14222	ctre:SOTONE4_00807
ko:K14220	ctre:SOTONE4_00040
ko:K01977	ctre:SOTONE4_00785
ko:K01977	ctre:SOTONE4_00798
ko:K01980	ctre:SOTONE4_00786
ko:K01980	ctre:SOTONE4_00799
ko:K17103	ctre:SOTONE4_00882
ko:K00033	ctre:SOTONE4_00067
ko:K11707	ctre:SOTONE4_00071
ko:K11710	ctre:SOTONE4_00072
ko:K11708	ctre:SOTONE4_00073
ko:K11709	ctre:SOTONE4_00074
ko:K03177	ctre:SOTONE4_00096
ko:K06179	ctre:SOTONE4_00108
ko:K00939	ctre:SOTONE4_00130
ko:K02035	ctre:SOTONE4_00141
ko:K10823	ctre:SOTONE4_00205
ko:K15583	ctre:SOTONE4_00206
ko:K06889	ctre:SOTONE4_00210
ko:K00059	ctre:SOTONE4_00245
ko:K02123	ctre:SOTONE4_00313
ko:K02124	ctre:SOTONE4_00312
ko:K02120	ctre:SOTONE4_00314
ko:K02118	ctre:SOTONE4_00315
ko:K02117	ctre:SOTONE4_00316
ko:K02121	ctre:SOTONE4_00318
ko:K00616	ctre:SOTONE4_00321
ko:K08483	ctre:SOTONE4_00351
ko:K11189	ctre:SOTONE4_00352
ko:K00970	ctre:SOTONE4_00430
ko:K09815	ctre:SOTONE4_00436
ko:K01719	ctre:SOTONE4_00457
ko:K00380	ctre:SOTONE4_00459
ko:K02342	ctre:SOTONE4_00567
ko:K00241	ctre:SOTONE4_00626
ko:K03386	ctre:SOTONE4_00636
ko:K02428	ctre:SOTONE4_00640
ko:K00813	ctre:SOTONE4_00674
ko:K00970	ctre:SOTONE4_00747
ko:K01596	ctre:SOTONE4_00754
ko:K00972	ctre:SOTONE4_00759
ko:K01834	ctre:SOTONE4_00766
ko:K06910	ctre:SOTONE4_00780
ko:K07117	ctre:SOTONE4_00781
ko:K01408	ctre:SOTONE4_00859
ko:K06889	ctre:SOTONE4_00153
ko:K02035	ctre:SOTONE4_00177
ko:K02049	ctre:SOTONE4_00182
ko:K01409	ctre:SOTONE4_00201
ko:K15582	ctre:SOTONE4_00204
ko:K07052	ctre:SOTONE4_00262
ko:K02342	ctre:SOTONE4_00269
ko:K02806	ctre:SOTONE4_00298
ko:K02806	ctre:SOTONE4_00299
ko:K00784	ctre:SOTONE4_00363
ko:K03856	ctre:SOTONE4_00401
ko:K01885	ctre:SOTONE4_00470
ko:K07098	ctre:SOTONE4_00486
ko:K00567	ctre:SOTONE4_00504
ko:K02033	ctre:SOTONE4_00506
ko:K02035	ctre:SOTONE4_00507
ko:K02030	ctre:SOTONE4_00515
ko:K07258	ctre:SOTONE4_00583
ko:K03227	ctre:SOTONE4_00595
ko:K02454	ctre:SOTONE4_00603
ko:K01262	ctre:SOTONE4_00606
ko:K07315	ctre:SOTONE4_00620
ko:K01934	ctre:SOTONE4_00686
ko:K01507	ctre:SOTONE4_00824
ko:K01082	ctre:SOTONE4_00826
ko:K01909	ctre:SOTONE4_00828
ko:K00652	ctre:SOTONE4_00829
ko:K01679	ctre:SOTONE4_00914
ko:K04763	ctre:SOTONE4_00925
ko:K00700	ctre:SOTONE4_00927
ko:K14233	ctre:SOTONE4_00374
ko:K02433	ctre:SOTONE4_00004
ko:K03471	ctre:SOTONE4_00009
ko:K04084	ctre:SOTONE4_00628
ko:K14236	ctre:SOTONE4_00145
ko:K14227	ctre:SOTONE4_00183
ko:K14218	ctre:SOTONE4_00184
ko:K14218	ctre:SOTONE4_00673
ko:K14230	ctre:SOTONE4_00212
ko:K14230	ctre:SOTONE4_00340
ko:K14235	ctre:SOTONE4_00330
ko:K14233	ctre:SOTONE4_00526
ko:K14231	ctre:SOTONE4_00442
ko:K14228	ctre:SOTONE4_00491
ko:K14221	ctre:SOTONE4_00228
ko:K14233	ctre:SOTONE4_00435
ko:K14228	ctre:SOTONE4_00534
ko:K14228	ctre:SOTONE4_00570
ko:K14219	ctre:SOTONE4_00495
ko:K14219	ctre:SOTONE4_00637
ko:K14219	ctre:SOTONE4_00694
ko:K14232	ctre:SOTONE4_00667
ko:K14229	ctre:SOTONE4_00717
ko:K14224	ctre:SOTONE4_00718
ko:K14226	ctre:SOTONE4_00784
ko:K14223	ctre:SOTONE4_00850
ko:K14234	ctre:SOTONE4_00714
ko:K14225	ctre:SOTONE4_00723
ko:K14228	ctre:SOTONE4_00499
ko:K14228	ctre:SOTONE4_00923
ko:K14232	ctre:SOTONE4_00063
ko:K14237	ctre:SOTONE4_00229
ko:K14230	ctre:SOTONE4_00213
ko:K14234	ctre:SOTONE4_00144
ko:K14234	ctre:SOTONE4_00332
ko:K14225	ctre:SOTONE4_00751
ko:K14237	ctre:SOTONE4_00886
ko:K01840	ctre:SOTONE4_00303
ko:K06972	ctre:SOTONE4_00880
ko:K07081	ctre:SOTONE4_00451
ko:K03625	ctre:SOTONE4_00889
ko:K00239	ctre:SOTONE4_00625
ko:K08275	ctre:SOTONE4_00083
ko:K01802	ctre:SOTONE4_00573
ko:K03309	ctre:SOTONE4_00421
ko:K08719	ctre:SOTONE4_00757
ko:K08274	ctre:SOTONE4_00396
ko:K01921	ctre:SOTONE4_00814
ko:K01924	ctre:SOTONE4_00814
ko:K01829	ctre:SOTONE4_00832
ko:K01829	ctre:SOTONE4_00835
ko:K07033	ctre:SOTONE4_00727
ko:K01214	ctre:SOTONE4_00045
ko:K03825	ctre:SOTONE4_00483
ko:K03496	ctre:SOTONE4_00614
ko:K03497	ctre:SOTONE4_00731
ko:K03496	ctre:SOTONE4_p7
ko:K03111	ctre:SOTONE4_00047
ko:K02626	ctre:SOTONE4_00392
ko:K11991	ctre:SOTONE4_00902
ko:K04771	ctre:SOTONE4_00879
ko:K19411	ctre:SOTONE4_00716
ko:K02031	ctre:SOTONE4_00733
ko:K07125	ctre:SOTONE4_00335
ko:K22100	ctre:SOTONE4_00341
ko:K12132	ctre:SOTONE4_00309
ko:K20265	ctre:SOTONE4_00222
ko:K20074	ctre:SOTONE4_00267
ko:K11749	ctre:SOTONE4_00076
ko:K22099	ctre:SOTONE4_00646
ko:K00526	ctre:SOTONE4_00884
ko:K02314	ctre:SOTONE4_00527
ko:K01520	ctre:SOTONE4_00300
ko:K03553	ctre:SOTONE4_00687
ko:K02314	ctre:SOTONE4_p3
ko:K00287	ctre:SOTONE4_00647
ko:K02316	ctre:SOTONE4_00844
ko:K02335	ctre:SOTONE4_00522
ko:K02032	ctre:SOTONE4_00732
ko:K00525	ctre:SOTONE4_00883
ko:K02050	ctre:SOTONE4_00913
ko:K02051	ctre:SOTONE4_00913
ko:K01534	ctre:SOTONE4_00771
ko:K16239	ctre:SOTONE4_00087
