ko:K02495	senb:BN855_40700
ko:K00059	senb:BN855_11550
ko:K13741	senb:BN855_19150
ko:K03803	senb:BN855_27330
ko:K15460	senb:BN855_27390
ko:K01733	senb:BN855_30
ko:K01129	senb:BN855_2240
ko:K02647	senb:BN855_2260
ko:K00990	senb:BN855_2300
ko:K01265	senb:BN855_2310
ko:K02967	senb:BN855_2320
ko:K02357	senb:BN855_2330
ko:K09903	senb:BN855_2340
ko:K02838	senb:BN855_2350
ko:K00099	senb:BN855_2360
ko:K07347	senb:BN855_3290
ko:K07345	senb:BN855_3310
ko:K00425	senb:BN855_3510
ko:K01579	senb:BN855_1940
ko:K01918	senb:BN855_1950
ko:K00606	senb:BN855_1960
ko:K00950	senb:BN855_1970
ko:K01894	senb:BN855_1990
ko:K06204	senb:BN855_2000
ko:K06206	senb:BN855_2010
ko:K01975	senb:BN855_2020
ko:K03579	senb:BN855_2030
ko:K05365	senb:BN855_2040
ko:K02013	senb:BN855_2070
ko:K02016	senb:BN855_2080
ko:K02015	senb:BN855_2090
ko:K07347	senb:BN855_1880
ko:K01845	senb:BN855_2180
ko:K03281	senb:BN855_2190
ko:K15724	senb:BN855_2200
ko:K00806	senb:BN855_2370
ko:K00981	senb:BN855_2380
ko:K11749	senb:BN855_2390
ko:K07277	senb:BN855_2400
ko:K06142	senb:BN855_2410
ko:K02536	senb:BN855_2420
ko:K02372	senb:BN855_2430
ko:K00677	senb:BN855_2440
ko:K00748	senb:BN855_2450
ko:K03470	senb:BN855_2460
ko:K02337	senb:BN855_2470
ko:K01962	senb:BN855_2480
ko:K04075	senb:BN855_2520
ko:K06079	senb:BN855_2570
ko:K01881	senb:BN855_2580
ko:K06080	senb:BN855_2600
ko:K02073	senb:BN855_2610
ko:K02072	senb:BN855_2620
ko:K02071	senb:BN855_2630
ko:K03273	senb:BN855_2640
ko:K06222	senb:BN855_2650
ko:K08307	senb:BN855_2700
ko:K03329	senb:BN855_3570
ko:K02688	senb:BN855_3590
ko:K01720	senb:BN855_3620
ko:K01908	senb:BN855_3630
ko:K01698	senb:BN855_3640
ko:K00426	senb:BN855_3520
ko:K01921	senb:BN855_3730
ko:K07700	senb:BN855_550
ko:K01573	senb:BN855_570
ko:K01910	senb:BN855_590
ko:K01646	senb:BN855_600
ko:K01644	senb:BN855_610
ko:K01643	senb:BN855_620
ko:K05964	senb:BN855_630
ko:K00215	senb:BN855_650
ko:K01956	senb:BN855_690
ko:K01955	senb:BN855_700
ko:K08277	senb:BN855_710
ko:K02182	senb:BN855_740
ko:K08298	senb:BN855_750
ko:K08297	senb:BN855_760
ko:K05245	senb:BN855_770
ko:K07702	senb:BN855_540
ko:K01804	senb:BN855_1050
ko:K02062	senb:BN855_1090
ko:K02063	senb:BN855_1100
ko:K02064	senb:BN855_1110
ko:K11925	senb:BN855_1130
ko:K01704	senb:BN855_1160
ko:K01703	senb:BN855_1170
ko:K00052	senb:BN855_1180
ko:K01649	senb:BN855_1190
ko:K05798	senb:BN855_1210
ko:K01652	senb:BN855_1220
ko:K01653	senb:BN855_1230
ko:K03435	senb:BN855_1240
ko:K03925	senb:BN855_1250
ko:K03438	senb:BN855_1260
ko:K03586	senb:BN855_1270
ko:K03587	senb:BN855_1280
ko:K01928	senb:BN855_1290
ko:K01929	senb:BN855_1300
ko:K01000	senb:BN855_1310
ko:K01925	senb:BN855_1320
ko:K03588	senb:BN855_1330
ko:K02563	senb:BN855_1340
ko:K01924	senb:BN855_1350
ko:K01921	senb:BN855_1360
ko:K03589	senb:BN855_1370
ko:K03590	senb:BN855_1380
ko:K03531	senb:BN855_1390
ko:K02535	senb:BN855_1400
ko:K13301	senb:BN855_1410
ko:K03070	senb:BN855_1420
ko:K09862	senb:BN855_1460
ko:K00859	senb:BN855_1480
ko:K00364	senb:BN855_1500
ko:K02505	senb:BN855_1510
ko:K03806	senb:BN855_1550
ko:K03807	senb:BN855_1560
ko:K11734	senb:BN855_1600
ko:K00163	senb:BN855_1620
ko:K00627	senb:BN855_1630
ko:K00382	senb:BN855_1640
ko:K01682	senb:BN855_1690
ko:K09910	senb:BN855_1720
ko:K02526	senb:BN855_1730
ko:K01611	senb:BN855_1770
ko:K00797	senb:BN855_1790
ko:K14588	senb:BN855_1810
ko:K00117	senb:BN855_1820
ko:K00760	senb:BN855_1830
ko:K01673	senb:BN855_1840
ko:K00767	senb:BN855_1540
ko:K03310	senb:BN855_50
ko:K03831	senb:BN855_80
ko:K04043	senb:BN855_120
ko:K03686	senb:BN855_130
ko:K07347	senb:BN855_240
ko:K06871	senb:BN855_390
ko:K03313	senb:BN855_420
ko:K03717	senb:BN855_430
ko:K01811	senb:BN855_440
ko:K02968	senb:BN855_460
ko:K11753	senb:BN855_470
ko:K01870	senb:BN855_480
ko:K03101	senb:BN855_490
ko:K09861	senb:BN855_40
ko:K03774	senb:BN855_500
ko:K03527	senb:BN855_510
ko:K12700	senb:BN855_530
ko:K03521	senb:BN855_800
ko:K03522	senb:BN855_810
ko:K00313	senb:BN855_820
ko:K08368	senb:BN855_840
ko:K11746	senb:BN855_890
ko:K06195	senb:BN855_930
ko:K02528	senb:BN855_940
ko:K00097	senb:BN855_950
ko:K03771	senb:BN855_960
ko:K04744	senb:BN855_970
ko:K05801	senb:BN855_980
ko:K03580	senb:BN855_1000
ko:K02336	senb:BN855_1010
ko:K02504	senb:BN855_1520
ko:K02682	senb:BN855_1530
ko:K00286	senb:BN855_3800
ko:K09768	senb:BN855_3820
ko:K00891	senb:BN855_3830
ko:K14591	senb:BN855_3850
ko:K09913	senb:BN855_3860
ko:K03554	senb:BN855_3870
ko:K00847	senb:BN855_3880
ko:K03547	senb:BN855_3910
ko:K07636	senb:BN855_3940
ko:K03311	senb:BN855_3960
ko:K11736	senb:BN855_3970
ko:K08682	senb:BN855_4000
ko:K07568	senb:BN855_4010
ko:K00773	senb:BN855_4020
ko:K03210	senb:BN855_4030
ko:K03072	senb:BN855_4040
ko:K03074	senb:BN855_4050
ko:K07347	senb:BN855_2910
ko:K03271	senb:BN855_3010
ko:K02346	senb:BN855_3040
ko:K02839	senb:BN855_3060
ko:K11750	senb:BN855_3090
ko:K11926	senb:BN855_3100
ko:K11929	senb:BN855_3110
ko:K00931	senb:BN855_3130
ko:K00147	senb:BN855_3140
ko:K01703	senb:BN855_3210
ko:K01704	senb:BN855_3220
ko:K05517	senb:BN855_4090
ko:K07738	senb:BN855_4120
ko:K11752	senb:BN855_4130
ko:K00794	senb:BN855_4140
ko:K03625	senb:BN855_4150
ko:K00946	senb:BN855_4160
ko:K01095	senb:BN855_4170
ko:K01662	senb:BN855_4190
ko:K00795	senb:BN855_4200
ko:K03602	senb:BN855_4210
ko:K03151	senb:BN855_4220
ko:K11082	senb:BN855_4230
ko:K11083	senb:BN855_4240
ko:K11084	senb:BN855_4250
ko:K11081	senb:BN855_4260
ko:K01250	senb:BN855_6550
ko:K11070	senb:BN855_11850
ko:K11941	senb:BN855_11070
ko:K03670	senb:BN855_11080
ko:K03669	senb:BN855_11090
ko:K12147	senb:BN855_11110
ko:K02517	senb:BN855_11130
ko:K07146	senb:BN855_11140
ko:K02846	senb:BN855_11190
ko:K12148	senb:BN855_11200
ko:K12149	senb:BN855_11210
ko:K01465	senb:BN855_11220
ko:K03675	senb:BN855_11240
ko:K08162	senb:BN855_11250
ko:K03790	senb:BN855_11260
ko:K09915	senb:BN855_11270
ko:K03980	senb:BN855_11290
ko:K02399	senb:BN855_11300
ko:K02398	senb:BN855_11310
ko:K02386	senb:BN855_11320
ko:K02387	senb:BN855_11330
ko:K02388	senb:BN855_11340
ko:K02389	senb:BN855_11350
ko:K02390	senb:BN855_11360
ko:K02391	senb:BN855_11370
ko:K02392	senb:BN855_11380
ko:K02393	senb:BN855_11390
ko:K02394	senb:BN855_11400
ko:K02395	senb:BN855_11410
ko:K02396	senb:BN855_11420
ko:K02397	senb:BN855_11430
ko:K08300	senb:BN855_11440
ko:K07040	senb:BN855_11490
ko:K02911	senb:BN855_11510
ko:K03621	senb:BN855_11520
ko:K00648	senb:BN855_11530
ko:K00645	senb:BN855_11540
ko:K02078	senb:BN855_11560
ko:K07156	senb:BN855_19580
ko:K10857	senb:BN855_19610
ko:K01354	senb:BN855_19620
ko:K03598	senb:BN855_27340
ko:K03597	senb:BN855_27350
ko:K03088	senb:BN855_27360
ko:K00278	senb:BN855_27380
ko:K05590	senb:BN855_27410
ko:K05501	senb:BN855_38270
ko:K00762	senb:BN855_38280
ko:K01867	senb:BN855_45770
ko:K01779	senb:BN855_45820
ko:K01305	senb:BN855_45840
ko:K03427	senb:BN855_45990
ko:K01153	senb:BN855_46000
ko:K02317	senb:BN855_46170
ko:K11932	senb:BN855_6060
ko:K06140	senb:BN855_6090
ko:K01169	senb:BN855_6100
ko:K05964	senb:BN855_6130
ko:K01643	senb:BN855_6140
ko:K01644	senb:BN855_6150
ko:K01646	senb:BN855_6160
ko:K01910	senb:BN855_6170
ko:K07700	senb:BN855_6180
ko:K07702	senb:BN855_6190
ko:K12973	senb:BN855_6210
ko:K03704	senb:BN855_6220
ko:K06199	senb:BN855_6230
ko:K03425	senb:BN855_6250
ko:K03644	senb:BN855_6260
ko:K03801	senb:BN855_6290
ko:K09158	senb:BN855_6300
ko:K03642	senb:BN855_6320
ko:K05837	senb:BN855_6330
ko:K05515	senb:BN855_6340
ko:K00783	senb:BN855_6350
ko:K09710	senb:BN855_6360
ko:K00969	senb:BN855_6390
ko:K02340	senb:BN855_6400
ko:K03643	senb:BN855_6410
ko:K01869	senb:BN855_6420
ko:K16849	senb:BN855_6430
ko:K16850	senb:BN855_6440
ko:K04045	senb:BN855_6530
ko:K00873	senb:BN855_14160
ko:K03219	senb:BN855_14330
ko:K03220	senb:BN855_14340
ko:K03221	senb:BN855_14450
ko:K03222	senb:BN855_14480
ko:K03230	senb:BN855_14530
ko:K03224	senb:BN855_14540
ko:K03225	senb:BN855_14570
ko:K03226	senb:BN855_14580
ko:K03228	senb:BN855_14600
ko:K03229	senb:BN855_14610
ko:K13684	senb:BN855_22020
ko:K03819	senb:BN855_22030
ko:K16692	senb:BN855_22050
ko:K01991	senb:BN855_22070
ko:K07289	senb:BN855_22090
ko:K01494	senb:BN855_22100
ko:K00876	senb:BN855_22110
ko:K01247	senb:BN855_22140
ko:K04046	senb:BN855_22150
ko:K07799	senb:BN855_22160
ko:K07788	senb:BN855_22170
ko:K07789	senb:BN855_22180
ko:K07642	senb:BN855_22200
ko:K07664	senb:BN855_22210
ko:K08303	senb:BN855_22250
ko:K00941	senb:BN855_22360
ko:K00878	senb:BN855_22370
ko:K07347	senb:BN855_22400
ko:K01874	senb:BN855_22450
ko:K02478	senb:BN855_22500
ko:K02431	senb:BN855_30400
ko:K02430	senb:BN855_30410
ko:K06968	senb:BN855_30420
ko:K01766	senb:BN855_30460
ko:K02426	senb:BN855_30470
ko:K08304	senb:BN855_30500
ko:K01448	senb:BN855_30510
ko:K14682	senb:BN855_30520
ko:K03581	senb:BN855_30530
ko:K03582	senb:BN855_30540
ko:K01407	senb:BN855_30550
ko:K03583	senb:BN855_30560
ko:K02681	senb:BN855_30570
ko:K02680	senb:BN855_30590
ko:K02679	senb:BN855_30600
ko:K13292	senb:BN855_30630
ko:K08484	senb:BN855_30650
ko:K08311	senb:BN855_30660
ko:K03573	senb:BN855_30670
ko:K08227	senb:BN855_30710
ko:K05939	senb:BN855_30720
ko:K02529	senb:BN855_30740
ko:K01586	senb:BN855_30760
ko:K01815	senb:BN855_30820
ko:K00989	senb:BN855_38290
ko:K01972	senb:BN855_38340
ko:K00942	senb:BN855_38350
ko:K03060	senb:BN855_38360
ko:K00556	senb:BN855_38380
ko:K03655	senb:BN855_38390
ko:K03312	senb:BN855_38400
ko:K16345	senb:BN855_38410
ko:K01811	senb:BN855_38430
ko:K01531	senb:BN855_38540
ko:K07507	senb:BN855_38560
ko:K17468	senb:BN855_38600
ko:K17467	senb:BN855_38610
ko:K17466	senb:BN855_38620
ko:K17465	senb:BN855_38630
ko:K01223	senb:BN855_38670
ko:K07726	senb:BN855_38700
ko:K02774	senb:BN855_38750
ko:K02773	senb:BN855_38760
ko:K13255	senb:BN855_46230
ko:K02344	senb:BN855_46270
ko:K03789	senb:BN855_46280
ko:K08723	senb:BN855_46290
ko:K02837	senb:BN855_46300
ko:K03424	senb:BN855_46350
ko:K01839	senb:BN855_46400
ko:K03800	senb:BN855_46480
ko:K01079	senb:BN855_46510
ko:K04485	senb:BN855_46520
ko:K06211	senb:BN855_46530
ko:K08309	senb:BN855_46550
ko:K03720	senb:BN855_46560
ko:K05804	senb:BN855_46590
ko:K05805	senb:BN855_46600
ko:K07663	senb:BN855_46610
ko:K07641	senb:BN855_46620
ko:K06143	senb:BN855_46630
ko:K07347	senb:BN855_46660
ko:K10004	senb:BN855_6560
ko:K10002	senb:BN855_6570
ko:K10003	senb:BN855_6580
ko:K10001	senb:BN855_6590
ko:K03820	senb:BN855_6600
ko:K06189	senb:BN855_6610
ko:K06168	senb:BN855_6630
ko:K03184	senb:BN855_6640
ko:K01953	senb:BN855_6660
ko:K02565	senb:BN855_6680
ko:K01443	senb:BN855_6690
ko:K02802	senb:BN855_6710
ko:K02803	senb:BN855_6710
ko:K02804	senb:BN855_6710
ko:K01886	senb:BN855_6720
ko:K03288	senb:BN855_6750
ko:K13795	senb:BN855_6760
ko:K13796	senb:BN855_6770
ko:K13794	senb:BN855_6780
ko:K03839	senb:BN855_6800
ko:K03645	senb:BN855_6840
ko:K01581	senb:BN855_6880
ko:K07667	senb:BN855_6900
ko:K07646	senb:BN855_6910
ko:K01548	senb:BN855_6920
ko:K01547	senb:BN855_6930
ko:K01546	senb:BN855_6940
ko:K01669	senb:BN855_6970
ko:K03305	senb:BN855_6980
ko:K03327	senb:BN855_14620
ko:K00793	senb:BN855_14630
ko:K00574	senb:BN855_14640
ko:K04564	senb:BN855_14680
ko:K07390	senb:BN855_14700
ko:K03683	senb:BN855_14710
ko:K10680	senb:BN855_14730
ko:K16137	senb:BN855_14740
ko:K06938	senb:BN855_14750
ko:K06077	senb:BN855_14810
ko:K09001	senb:BN855_14820
ko:K00275	senb:BN855_14840
ko:K01866	senb:BN855_14850
ko:K00868	senb:BN855_14860
ko:K03305	senb:BN855_14880
ko:K10773	senb:BN855_14890
ko:K14155	senb:BN855_15000
ko:K01809	senb:BN855_15040
ko:K01676	senb:BN855_15050
ko:K07639	senb:BN855_15080
ko:K05846	senb:BN855_22520
ko:K05847	senb:BN855_22530
ko:K05846	senb:BN855_22540
ko:K05845	senb:BN855_22550
ko:K05349	senb:BN855_22560
ko:K03777	senb:BN855_22570
ko:K07262	senb:BN855_22580
ko:K05541	senb:BN855_22630
ko:K16165	senb:BN855_22660
ko:K00450	senb:BN855_22670
ko:K08195	senb:BN855_22680
ko:K10542	senb:BN855_22780
ko:K02529	senb:BN855_22810
ko:K07148	senb:BN855_22820
ko:K01495	senb:BN855_22830
ko:K01070	senb:BN855_22840
ko:K01752	senb:BN855_22860
ko:K07783	senb:BN855_22880
ko:K16089	senb:BN855_22890
ko:K11733	senb:BN855_22900
ko:K01151	senb:BN855_22940
ko:K02769	senb:BN855_22950
ko:K02770	senb:BN855_22950
ko:K02768	senb:BN855_22970
ko:K11183	senb:BN855_22970
ko:K03291	senb:BN855_23000
ko:K04567	senb:BN855_31040
ko:K02836	senb:BN855_31050
ko:K07462	senb:BN855_31060
ko:K03981	senb:BN855_31070
ko:K03840	senb:BN855_31090
ko:K09159	senb:BN855_31110
ko:K06980	senb:BN855_31140
ko:K11068	senb:BN855_31160
ko:K09900	senb:BN855_31170
ko:K01223	senb:BN855_31180
ko:K00281	senb:BN855_31200
ko:K02437	senb:BN855_31210
ko:K00605	senb:BN855_31220
ko:K03185	senb:BN855_31240
ko:K09895	senb:BN855_31260
ko:K09888	senb:BN855_31270
ko:K01807	senb:BN855_31300
ko:K05596	senb:BN855_31310
ko:K09807	senb:BN855_31330
ko:K06895	senb:BN855_31340
ko:K07783	senb:BN855_38800
ko:K07675	senb:BN855_38810
ko:K02429	senb:BN855_38840
ko:K11534	senb:BN855_38860
ko:K01653	senb:BN855_38870
ko:K01652	senb:BN855_38880
ko:K08154	senb:BN855_38900
ko:K13629	senb:BN855_38930
ko:K01753	senb:BN855_38940
ko:K06871	senb:BN855_38950
ko:K07085	senb:BN855_39010
ko:K04081	senb:BN855_39020
ko:K04080	senb:BN855_39030
ko:K00428	senb:BN855_39080
ko:K07811	senb:BN855_39100
ko:K03532	senb:BN855_39110
ko:K11930	senb:BN855_39130
ko:K07647	senb:BN855_39140
ko:K01684	senb:BN855_39160
ko:K01631	senb:BN855_39170
ko:K00883	senb:BN855_39180
ko:K02470	senb:BN855_39240
ko:K03629	senb:BN855_39250
ko:K02338	senb:BN855_39260
ko:K02313	senb:BN855_39270
ko:K07773	senb:BN855_46710
ko:K07160	senb:BN855_7020
ko:K01647	senb:BN855_7050
ko:K00242	senb:BN855_7080
ko:K00239	senb:BN855_7090
ko:K00240	senb:BN855_7100
ko:K00164	senb:BN855_7110
ko:K00658	senb:BN855_7120
ko:K01903	senb:BN855_7130
ko:K01902	senb:BN855_7140
ko:K00425	senb:BN855_7170
ko:K00426	senb:BN855_7180
ko:K07107	senb:BN855_7210
ko:K03562	senb:BN855_7220
ko:K03641	senb:BN855_7240
ko:K03640	senb:BN855_7250
ko:K03517	senb:BN855_7280
ko:K03811	senb:BN855_7290
ko:K16264	senb:BN855_7300
ko:K01626	senb:BN855_7320
ko:K01678	senb:BN855_7330
ko:K01677	senb:BN855_7340
ko:K01573	senb:BN855_7380
ko:K02015	senb:BN855_7410
ko:K02013	senb:BN855_7420
ko:K00849	senb:BN855_7450
ko:K00965	senb:BN855_7460
ko:K05776	senb:BN855_7490
ko:K07661	senb:BN855_15130
ko:K03758	senb:BN855_15150
ko:K00324	senb:BN855_15170
ko:K00325	senb:BN855_15180
ko:K11744	senb:BN855_15190
ko:K11743	senb:BN855_15210
ko:K11742	senb:BN855_15220
ko:K04775	senb:BN855_15230
ko:K08224	senb:BN855_15260
ko:K15545	senb:BN855_15280
ko:K01935	senb:BN855_15290
ko:K03281	senb:BN855_15300
ko:K05847	senb:BN855_15310
ko:K05846	senb:BN855_15320
ko:K05845	senb:BN855_15330
ko:K05846	senb:BN855_15340
ko:K07310	senb:BN855_15380
ko:K07309	senb:BN855_15390
ko:K09771	senb:BN855_15440
ko:K08323	senb:BN855_15450
ko:K08322	senb:BN855_15460
ko:K16066	senb:BN855_15510
ko:K01284	senb:BN855_15520
ko:K15268	senb:BN855_15590
ko:K13630	senb:BN855_15600
ko:K06940	senb:BN855_23030
ko:K02356	senb:BN855_23040
ko:K13694	senb:BN855_23070
ko:K13893	senb:BN855_23090
ko:K13894	senb:BN855_23100
ko:K13895	senb:BN855_23110
ko:K13896	senb:BN855_23120
ko:K07552	senb:BN855_23140
ko:K02897	senb:BN855_23170
ko:K06899	senb:BN855_23190
ko:K09904	senb:BN855_23200
ko:K07014	senb:BN855_23210
ko:K07685	senb:BN855_23270
ko:K02199	senb:BN855_23290
ko:K02198	senb:BN855_23300
ko:K02196	senb:BN855_23320
ko:K02195	senb:BN855_23330
ko:K02194	senb:BN855_23340
ko:K02568	senb:BN855_23370
ko:K02573	senb:BN855_23390
ko:K02567	senb:BN855_23400
ko:K02570	senb:BN855_23410
ko:K02572	senb:BN855_23420
ko:K08276	senb:BN855_23430
ko:K06159	senb:BN855_23440
ko:K03919	senb:BN855_23450
ko:K10778	senb:BN855_23460
ko:K03734	senb:BN855_23470
ko:K09475	senb:BN855_23480
ko:K07676	senb:BN855_23500
ko:K01624	senb:BN855_31380
ko:K00927	senb:BN855_31390
ko:K03472	senb:BN855_31400
ko:K16785	senb:BN855_31430
ko:K00615	senb:BN855_31460
ko:K07387	senb:BN855_31470
ko:K00789	senb:BN855_31610
ko:K08137	senb:BN855_31630
ko:K02742	senb:BN855_31640
ko:K01150	senb:BN855_31650
ko:K09761	senb:BN855_31660
ko:K01920	senb:BN855_31670
ko:K07735	senb:BN855_31680
ko:K07447	senb:BN855_31690
ko:K02669	senb:BN855_31710
ko:K06997	senb:BN855_31720
ko:K02221	senb:BN855_31730
ko:K09131	senb:BN855_31740
ko:K09923	senb:BN855_31800
ko:K03439	senb:BN855_31810
ko:K03575	senb:BN855_31820
ko:K08306	senb:BN855_31840
ko:K02914	senb:BN855_39290
ko:K03536	senb:BN855_39300
ko:K03217	senb:BN855_39310
ko:K03650	senb:BN855_39320
ko:K08163	senb:BN855_39330
ko:K06901	senb:BN855_39370
ko:K02039	senb:BN855_39390
ko:K02036	senb:BN855_39400
ko:K02038	senb:BN855_39410
ko:K02037	senb:BN855_39420
ko:K02040	senb:BN855_39430
ko:K02769	senb:BN855_39440
ko:K02770	senb:BN855_39440
ko:K00014	senb:BN855_39450
ko:K00820	senb:BN855_39470
ko:K04042	senb:BN855_39480
ko:K06890	senb:BN855_39490
ko:K02114	senb:BN855_39500
ko:K02112	senb:BN855_39510
ko:K02115	senb:BN855_39520
ko:K02111	senb:BN855_39530
ko:K02113	senb:BN855_39540
ko:K02109	senb:BN855_39550
ko:K02110	senb:BN855_39560
ko:K02108	senb:BN855_39570
ko:K03501	senb:BN855_39610
ko:K03495	senb:BN855_39620
ko:K06205	senb:BN855_39630
ko:K01914	senb:BN855_39650
ko:K03924	senb:BN855_39670
ko:K03549	senb:BN855_39680
ko:K06726	senb:BN855_39690
ko:K10441	senb:BN855_39700
ko:K02529	senb:BN855_39740
ko:K01673	senb:BN855_p610
ko:K02019	senb:BN855_7500
ko:K02020	senb:BN855_7520
ko:K02018	senb:BN855_7530
ko:K01051	senb:BN855_7570
ko:K01468	senb:BN855_7580
ko:K05836	senb:BN855_7600
ko:K01712	senb:BN855_7610
ko:K01745	senb:BN855_7620
ko:K00833	senb:BN855_7640
ko:K01012	senb:BN855_7650
ko:K02169	senb:BN855_7670
ko:K01935	senb:BN855_7680
ko:K03702	senb:BN855_7690
ko:K03639	senb:BN855_7720
ko:K03638	senb:BN855_7730
ko:K03637	senb:BN855_7740
ko:K03636	senb:BN855_7750
ko:K06890	senb:BN855_7770
ko:K06890	senb:BN855_7780
ko:K01993	senb:BN855_7880
ko:K11927	senb:BN855_7900
ko:K10037	senb:BN855_7990
ko:K10036	senb:BN855_8000
ko:K13632	senb:BN855_15610
ko:K03712	senb:BN855_15620
ko:K08159	senb:BN855_15640
ko:K08324	senb:BN855_15660
ko:K01425	senb:BN855_15670
ko:K04651	senb:BN855_15720
ko:K03618	senb:BN855_15740
ko:K03619	senb:BN855_15750
ko:K04653	senb:BN855_15760
ko:K03620	senb:BN855_15780
ko:K02529	senb:BN855_16000
ko:K03315	senb:BN855_16010
ko:K14155	senb:BN855_16020
ko:K06044	senb:BN855_16040
ko:K02972	senb:BN855_16100
ko:K07687	senb:BN855_23510
ko:K07677	senb:BN855_23520
ko:K02469	senb:BN855_23530
ko:K11107	senb:BN855_23600
ko:K01126	senb:BN855_23630
ko:K02445	senb:BN855_23640
ko:K00111	senb:BN855_23650
ko:K00112	senb:BN855_23660
ko:K00113	senb:BN855_23670
ko:K12660	senb:BN855_23700
ko:K12661	senb:BN855_23720
ko:K07806	senb:BN855_23780
ko:K10012	senb:BN855_23790
ko:K10011	senb:BN855_23800
ko:K13014	senb:BN855_23810
ko:K07264	senb:BN855_23820
ko:K12962	senb:BN855_23830
ko:K12963	senb:BN855_23840
ko:K01911	senb:BN855_23860
ko:K01661	senb:BN855_23880
ko:K02551	senb:BN855_23900
ko:K05594	senb:BN855_23920
ko:K03415	senb:BN855_23950
ko:K00343	senb:BN855_23980
ko:K00342	senb:BN855_23990
ko:K01581	senb:BN855_31870
ko:K07150	senb:BN855_31890
ko:K06871	senb:BN855_31950
ko:K06995	senb:BN855_32000
ko:K11903	senb:BN855_32050
ko:K08191	senb:BN855_32090
ko:K01686	senb:BN855_32100
ko:K01812	senb:BN855_32120
ko:K01460	senb:BN855_32150
ko:K02020	senb:BN855_32170
