ko:K02408	bapw:BUMPW106_CDS00521
ko:K01776	bapw:BUMPW106_CDS00049
ko:K01141	bapw:BUMPW106_CDS00048
ko:K09802	bapw:BUMPW106_CDS00047
ko:K00762	bapw:BUMPW106_CDS00046
ko:K01082	bapw:BUMPW106_CDS00044
ko:K02939	bapw:BUMPW106_CDS00043
ko:K02963	bapw:BUMPW106_CDS00042
ko:K02990	bapw:BUMPW106_CDS00041
ko:K12573	bapw:BUMPW106_CDS00040
ko:K01939	bapw:BUMPW106_CDS00039
ko:K04087	bapw:BUMPW106_CDS00038
ko:K04088	bapw:BUMPW106_CDS00037
ko:K00791	bapw:BUMPW106_CDS00036
ko:K03572	bapw:BUMPW106_CDS00035
ko:K00009	bapw:BUMPW106_CDS00034
ko:K02798	bapw:BUMPW106_CDS00033
ko:K02799	bapw:BUMPW106_CDS00033
ko:K02800	bapw:BUMPW106_CDS00033
ko:K01810	bapw:BUMPW106_CDS00032
ko:K13288	bapw:BUMPW106_CDS00031
ko:K01448	bapw:BUMPW106_CDS00030
ko:K02909	bapw:BUMPW106_CDS00029
ko:K01419	bapw:BUMPW106_CDS00027
ko:K03667	bapw:BUMPW106_CDS00026
ko:K04080	bapw:BUMPW106_CDS00025
ko:K00528	bapw:BUMPW106_CDS00024
ko:K04568	bapw:BUMPW106_CDS00023
ko:K00954	bapw:BUMPW106_CDS00022
ko:K01879	bapw:BUMPW106_CDS00461
ko:K01878	bapw:BUMPW106_CDS00460
ko:K01495	bapw:BUMPW106_CDS00459
ko:K01151	bapw:BUMPW106_CDS00458
ko:K02897	bapw:BUMPW106_CDS00457
ko:K03771	bapw:BUMPW106_CDS00455
ko:K02528	bapw:BUMPW106_CDS00454
ko:K01525	bapw:BUMPW106_CDS00453
ko:K01955	bapw:BUMPW106_CDS00451
ko:K01956	bapw:BUMPW106_CDS00450
ko:K00215	bapw:BUMPW106_CDS00449
ko:K03527	bapw:BUMPW106_CDS00448
ko:K03101	bapw:BUMPW106_CDS00447
ko:K01870	bapw:BUMPW106_CDS00446
ko:K11753	bapw:BUMPW106_CDS00445
ko:K02968	bapw:BUMPW106_CDS00444
ko:K03686	bapw:BUMPW106_CDS00443
ko:K04043	bapw:BUMPW106_CDS00442
ko:K00330	bapw:BUMPW106_CDS00441
ko:K00331	bapw:BUMPW106_CDS00440
ko:K13378	bapw:BUMPW106_CDS00439
ko:K00337	bapw:BUMPW106_CDS00435
ko:K00338	bapw:BUMPW106_CDS00434
ko:K00339	bapw:BUMPW106_CDS00433
ko:K00340	bapw:BUMPW106_CDS00432
ko:K00341	bapw:BUMPW106_CDS00431
ko:K00342	bapw:BUMPW106_CDS00430
ko:K00343	bapw:BUMPW106_CDS00429
ko:K11754	bapw:BUMPW106_CDS00427
ko:K00948	bapw:BUMPW106_CDS00426
ko:K00919	bapw:BUMPW106_CDS00425
ko:K02835	bapw:BUMPW106_CDS00424
ko:K02493	bapw:BUMPW106_CDS00423
ko:K01916	bapw:BUMPW106_CDS00421
ko:K00925	bapw:BUMPW106_CDS00420
ko:K13788	bapw:BUMPW106_CDS00419
ko:K02469	bapw:BUMPW106_CDS00415
ko:K09945	bapw:BUMPW106_CDS00414
ko:K03386	bapw:BUMPW106_CDS00413
ko:K03648	bapw:BUMPW106_CDS00412
ko:K03687	bapw:BUMPW106_CDS00411
ko:K00858	bapw:BUMPW106_CDS00410
ko:K06186	bapw:BUMPW106_CDS00409
ko:K07390	bapw:BUMPW106_CDS00408
ko:K03683	bapw:BUMPW106_CDS00407
ko:K04564	bapw:BUMPW106_CDS00406
ko:K01056	bapw:BUMPW106_CDS00405
ko:K15984	bapw:BUMPW106_CDS00019
ko:K16322	bapw:BUMPW106_CDS00018
ko:K08224	bapw:BUMPW106_CDS00017
ko:K01778	bapw:BUMPW106_CDS00016
ko:K06202	bapw:BUMPW106_CDS00015
ko:K01749	bapw:BUMPW106_CDS00014
ko:K01719	bapw:BUMPW106_CDS00013
ko:K03628	bapw:BUMPW106_CDS00012
ko:K03671	bapw:BUMPW106_CDS00011
ko:K03656	bapw:BUMPW106_CDS00010
ko:K00053	bapw:BUMPW106_CDS00009
ko:K01687	bapw:BUMPW106_CDS00008
ko:K04487	bapw:BUMPW106_CDS00007
ko:K04488	bapw:BUMPW106_CDS00006
ko:K04082	bapw:BUMPW106_CDS00005
ko:K04044	bapw:BUMPW106_CDS00004
ko:K04755	bapw:BUMPW106_CDS00003
ko:K03977	bapw:BUMPW106_CDS00002
ko:K01649	bapw:BUMPW106pLeu00004
ko:K00052	bapw:BUMPW106pLeu00005
ko:K01703	bapw:BUMPW106pLeu00006
ko:K01704	bapw:BUMPW106pLeu00007
ko:K06942	bapw:BUMPW106_CDS00404
ko:K01733	bapw:BUMPW106_CDS00403
ko:K00872	bapw:BUMPW106_CDS00402
ko:K12524	bapw:BUMPW106_CDS00401
ko:K00760	bapw:BUMPW106_CDS00400
ko:K01918	bapw:BUMPW106_CDS00399
ko:K00606	bapw:BUMPW106_CDS00398
ko:K06204	bapw:BUMPW106_CDS00397
ko:K06173	bapw:BUMPW106_CDS00396
ko:K03070	bapw:BUMPW106_CDS00394
ko:K03574	bapw:BUMPW106_CDS00393
ko:K00859	bapw:BUMPW106_CDS00392
ko:K00364	bapw:BUMPW106_CDS00391
ko:K00163	bapw:BUMPW106_CDS00390
ko:K00627	bapw:BUMPW106_CDS00389
ko:K00382	bapw:BUMPW106_CDS00388
ko:K01611	bapw:BUMPW106_CDS00387
ko:K00797	bapw:BUMPW106_CDS00386
ko:K01243	bapw:BUMPW106_CDS00385
ko:K15724	bapw:BUMPW106_CDS00384
ko:K03531	bapw:BUMPW106_CDS00383
ko:K03590	bapw:BUMPW106_CDS00382
ko:K01921	bapw:BUMPW106_CDS00381
ko:K01924	bapw:BUMPW106_CDS00380
ko:K02563	bapw:BUMPW106_CDS00379
ko:K03588	bapw:BUMPW106_CDS00378
ko:K01925	bapw:BUMPW106_CDS00377
ko:K01000	bapw:BUMPW106_CDS00376
ko:K01928	bapw:BUMPW106_CDS00373
ko:K03587	bapw:BUMPW106_CDS00372
ko:K03438	bapw:BUMPW106_CDS00370
ko:K01653	bapw:BUMPW106_CDS00369
ko:K01652	bapw:BUMPW106_CDS00368
ko:K03734	bapw:BUMPW106_CDS00367
ko:K00674	bapw:BUMPW106_CDS00365
ko:K01265	bapw:BUMPW106_CDS00364
ko:K02967	bapw:BUMPW106_CDS00363
ko:K02357	bapw:BUMPW106_CDS00362
ko:K09903	bapw:BUMPW106_CDS00361
ko:K02838	bapw:BUMPW106_CDS00360
ko:K00099	bapw:BUMPW106_CDS00359
ko:K00806	bapw:BUMPW106_CDS00358
ko:K07277	bapw:BUMPW106_CDS00357
ko:K02372	bapw:BUMPW106_CDS00356
ko:K02337	bapw:BUMPW106_CDS00355
ko:K01881	bapw:BUMPW106_CDS00354
ko:K02401	bapw:BUMPW106_CDS00353
ko:K02400	bapw:BUMPW106_CDS00352
ko:K01887	bapw:BUMPW106_CDS00351
ko:K01069	bapw:BUMPW106_CDS00350
ko:K02342	bapw:BUMPW106_CDS00347
ko:K03271	bapw:BUMPW106_CDS00346
ko:K00769	bapw:BUMPW106_CDS00345
ko:K03687	bapw:BUMPW106_CDS00344
ko:K09801	bapw:BUMPW106_CDS00343
ko:K03664	bapw:BUMPW106_CDS00342
ko:K11991	bapw:BUMPW106_CDS00341
ko:K00997	bapw:BUMPW106_CDS00340
ko:K03685	bapw:BUMPW106_CDS00338
ko:K03100	bapw:BUMPW106_CDS00337
ko:K03596	bapw:BUMPW106_CDS00336
ko:K00566	bapw:BUMPW106_CDS00335
ko:K07153	bapw:BUMPW106_CDS00334
ko:K01756	bapw:BUMPW106_CDS00333
ko:K00208	bapw:BUMPW106_CDS00331
ko:K01147	bapw:BUMPW106_CDS00330
ko:K03801	bapw:BUMPW106_CDS00328
ko:K03644	bapw:BUMPW106_CDS00327
ko:K01591	bapw:BUMPW106_CDS00326
ko:K01497	bapw:BUMPW106_CDS00325
ko:K06131	bapw:BUMPW106_CDS00324
ko:K10806	bapw:BUMPW106_CDS00323
ko:K06190	bapw:BUMPW106_CDS00322
ko:K01695	bapw:BUMPW106_CDS00320
ko:K01696	bapw:BUMPW106_CDS00319
ko:K13498	bapw:BUMPW106_CDS00318
ko:K00766	bapw:BUMPW106_CDS00317
ko:K06178	bapw:BUMPW106_CDS00315
ko:K04774	bapw:BUMPW106_CDS00314
ko:K03168	bapw:BUMPW106_CDS00313
ko:K01092	bapw:BUMPW106_CDS00312
ko:K06941	bapw:BUMPW106_CDS00311
ko:K01892	bapw:BUMPW106_CDS00309
ko:K00600	bapw:BUMPW106_CDS00308
ko:K01935	bapw:BUMPW106_CDS00307
ko:K01012	bapw:BUMPW106_CDS00306
ko:K00833	bapw:BUMPW106_CDS00305
ko:K07404	bapw:BUMPW106_CDS00304
ko:K03723	bapw:BUMPW106_CDS00303
ko:K09808	bapw:BUMPW106_CDS00302
ko:K09810	bapw:BUMPW106_CDS00301
ko:K09808	bapw:BUMPW106_CDS00300
ko:K00134	bapw:BUMPW106_CDS00299
ko:K06879	bapw:BUMPW106_CDS00298
ko:K03839	bapw:BUMPW106_CDS00297
ko:K01669	bapw:BUMPW106_CDS00296
ko:K00164	bapw:BUMPW106_CDS00294
ko:K00658	bapw:BUMPW106_CDS00293
ko:K01834	bapw:BUMPW106_CDS00292
ko:K00850	bapw:BUMPW106_CDS00291
ko:K02440	bapw:BUMPW106_CDS00290
ko:K01803	bapw:BUMPW106_CDS00289
ko:K05788	bapw:BUMPW106_CDS00288
ko:K02945	bapw:BUMPW106_CDS00287
ko:K00800	bapw:BUMPW106_CDS00284
ko:K00831	bapw:BUMPW106_CDS00283
ko:K01875	bapw:BUMPW106_CDS00282
ko:K00384	bapw:BUMPW106_CDS00281
ko:K02518	bapw:BUMPW106_CDS00280
ko:K01876	bapw:BUMPW106_CDS00279
ko:K09816	bapw:BUMPW106_CDS00278
ko:K09817	bapw:BUMPW106_CDS00277
ko:K00873	bapw:BUMPW106_CDS00273
ko:K00036	bapw:BUMPW106_CDS00272
ko:K03799	bapw:BUMPW106_CDS00271
ko:K03608	bapw:BUMPW106_CDS00268
ko:K03609	bapw:BUMPW106_CDS00267
ko:K03610	bapw:BUMPW106_CDS00266
ko:K00564	bapw:BUMPW106_CDS00265
ko:K03286	bapw:BUMPW106_CDS00264
ko:K03980	bapw:BUMPW106_CDS00263
ko:K01465	bapw:BUMPW106_CDS00262
ko:K02399	bapw:BUMPW106_CDS00261
ko:K02386	bapw:BUMPW106_CDS00260
ko:K02387	bapw:BUMPW106_CDS00259
ko:K02388	bapw:BUMPW106_CDS00258
ko:K02389	bapw:BUMPW106_CDS00257
ko:K02390	bapw:BUMPW106_CDS00256
ko:K02391	bapw:BUMPW106_CDS00255
ko:K02392	bapw:BUMPW106_CDS00254
ko:K02393	bapw:BUMPW106_CDS00253
ko:K02394	bapw:BUMPW106_CDS00252
ko:K02395	bapw:BUMPW106_CDS00251
ko:K02396	bapw:BUMPW106_CDS00250
ko:K08300	bapw:BUMPW106_CDS00249
ko:K06179	bapw:BUMPW106_CDS00248
ko:K02911	bapw:BUMPW106_CDS00247
ko:K00645	bapw:BUMPW106_CDS00246
ko:K00059	bapw:BUMPW106_CDS00245
ko:K02078	bapw:BUMPW106_CDS00244
ko:K00943	bapw:BUMPW106_CDS00243
ko:K02341	bapw:BUMPW106_CDS00242
ko:K03424	bapw:BUMPW106_CDS00241
ko:K02778	bapw:BUMPW106_CDS00240
ko:K02779	bapw:BUMPW106_CDS00240
ko:K02503	bapw:BUMPW106_CDS00239
ko:K07337	bapw:BUMPW106_CDS00238
ko:K14237	bapw:BUMPW106_tRNA25
ko:K14237	bapw:BUMPW106_tRNA26
ko:K14218	bapw:BUMPW106_tRNA1
ko:K14218	bapw:BUMPW106_tRNA3
ko:K14227	bapw:BUMPW106_tRNA2
ko:K14221	bapw:BUMPW106_tRNA4
ko:K14228	bapw:BUMPW106_tRNA24
ko:K14228	bapw:BUMPW106_tRNA22
ko:K14228	bapw:BUMPW106_tRNA20
ko:K14222	bapw:BUMPW106_tRNA23
ko:K14233	bapw:BUMPW106_tRNA5
ko:K14233	bapw:BUMPW106_tRNA6
ko:K14219	bapw:BUMPW106_tRNA7
ko:K14219	bapw:BUMPW106_tRNA12
ko:K14223	bapw:BUMPW106_tRNA21
ko:K14230	bapw:BUMPW106_tRNA19
ko:K14230	bapw:BUMPW106_tRNA18
ko:K03495	bapw:BUMPW106_CDS00585
ko:K02108	bapw:BUMPW106_CDS00584
ko:K02110	bapw:BUMPW106_CDS00583
ko:K02109	bapw:BUMPW106_CDS00582
ko:K02113	bapw:BUMPW106_CDS00581
ko:K02111	bapw:BUMPW106_CDS00580
ko:K02115	bapw:BUMPW106_CDS00579
ko:K02112	bapw:BUMPW106_CDS00578
ko:K02114	bapw:BUMPW106_CDS00577
ko:K02470	bapw:BUMPW106_CDS00576
ko:K02338	bapw:BUMPW106_CDS00575
ko:K09476	bapw:BUMPW106_CDS00237
ko:K01893	bapw:BUMPW106_CDS00236
ko:K00763	bapw:BUMPW106_CDS00235
ko:K00254	bapw:BUMPW106_CDS00234
ko:K12297	bapw:BUMPW106_CDS00233
ko:K15738	bapw:BUMPW106_CDS00232
ko:K07146	bapw:BUMPW106_CDS00231
ko:K01873	bapw:BUMPW106_CDS00230
ko:K01255	bapw:BUMPW106_CDS00229
ko:K00611	bapw:BUMPW106_CDS00228
ko:K00609	bapw:BUMPW106_CDS00227
ko:K00610	bapw:BUMPW106_CDS00226
ko:K09022	bapw:BUMPW106_CDS00225
ko:K05592	bapw:BUMPW106_CDS00224
ko:K00962	bapw:BUMPW106_CDS00223
ko:K02956	bapw:BUMPW106_CDS00222
ko:K03177	bapw:BUMPW106_CDS00221
ko:K02834	bapw:BUMPW106_CDS00220
ko:K02519	bapw:BUMPW106_CDS00219
ko:K02600	bapw:BUMPW106_CDS00218
ko:K03075	bapw:BUMPW106_CDS00217
ko:K03431	bapw:BUMPW106_CDS00216
ko:K03798	bapw:BUMPW106_CDS00215
ko:K02427	bapw:BUMPW106_CDS00214
ko:K03624	bapw:BUMPW106_CDS00213
ko:K00790	bapw:BUMPW106_CDS00211
ko:K02888	bapw:BUMPW106_CDS00210
ko:K02899	bapw:BUMPW106_CDS00209
ko:K03979	bapw:BUMPW106_CDS00208
ko:K02996	bapw:BUMPW106_CDS00207
ko:K02871	bapw:BUMPW106_CDS00206
ko:K14170	bapw:BUMPW106_CDS00205
ko:K03106	bapw:BUMPW106_CDS00204
ko:K02959	bapw:BUMPW106_CDS00203
ko:K02860	bapw:BUMPW106_CDS00202
ko:K00554	bapw:BUMPW106_CDS00201
ko:K02884	bapw:BUMPW106_CDS00200
ko:K03568	bapw:BUMPW106_CDS00199
ko:K03786	bapw:BUMPW106_CDS00198
ko:K03557	bapw:BUMPW106_CDS00197
ko:K06180	bapw:BUMPW106_CDS00196
ko:K05807	bapw:BUMPW106_CDS00195
ko:K01872	bapw:BUMPW106_CDS00194
ko:K03563	bapw:BUMPW106_CDS00193
ko:K01919	bapw:BUMPW106_CDS00192
ko:K00789	bapw:BUMPW106_CDS00191
ko:K09761	bapw:BUMPW106_CDS00189
ko:K01934	bapw:BUMPW106_CDS00188
ko:K01807	bapw:BUMPW106_CDS00187
ko:K01886	bapw:BUMPW106_CDS00186
ko:K01937	bapw:BUMPW106_CDS00185
ko:K01689	bapw:BUMPW106_CDS00184
ko:K10026	bapw:BUMPW106_CDS00183
ko:K01737	bapw:BUMPW106_CDS00182
ko:K06194	bapw:BUMPW106_CDS00181
ko:K01770	bapw:BUMPW106_CDS00180
ko:K00991	bapw:BUMPW106_CDS00179
ko:K05589	bapw:BUMPW106_CDS00178
ko:K00860	bapw:BUMPW106_CDS00177
ko:K00956	bapw:BUMPW106_CDS00176
ko:K00957	bapw:BUMPW106_CDS00175
ko:K02302	bapw:BUMPW106_CDS00174
ko:K00390	bapw:BUMPW106_CDS00173
ko:K00381	bapw:BUMPW106_CDS00172
ko:K00380	bapw:BUMPW106_CDS00171
ko:K03555	bapw:BUMPW106_CDS00170
ko:K03673	bapw:BUMPW106_CDS00169
ko:K03978	bapw:BUMPW106_CDS00167
ko:K06207	bapw:BUMPW106_CDS00166
ko:K00942	bapw:BUMPW106_CDS00165
ko:K06980	bapw:BUMPW106_CDS00164
ko:K02836	bapw:BUMPW106_CDS00163
ko:K04567	bapw:BUMPW106_CDS00162
ko:K01586	bapw:BUMPW106_CDS00161
ko:K13292	bapw:BUMPW106_CDS00160
ko:K06168	bapw:BUMPW106_CDS00158
ko:K07042	bapw:BUMPW106_CDS00157
ko:K06189	bapw:BUMPW106_CDS00156
ko:K01869	bapw:BUMPW106_CDS00155
ko:K02340	bapw:BUMPW106_CDS00154
ko:K04085	bapw:BUMPW106_CDS00152
ko:K00133	bapw:BUMPW106_CDS00151
ko:K00927	bapw:BUMPW106_CDS00149
ko:K01624	bapw:BUMPW106_CDS00148
ko:K03442	bapw:BUMPW106_CDS00147
ko:K03583	bapw:BUMPW106_CDS00146
ko:K03582	bapw:BUMPW106_CDS00145
ko:K03581	bapw:BUMPW106_CDS00144
ko:K14682	bapw:BUMPW106_CDS00143
ko:K08304	bapw:BUMPW106_CDS00142
ko:K00794	bapw:BUMPW106_CDS00141
ko:K00946	bapw:BUMPW106_CDS00140
ko:K03625	bapw:BUMPW106_CDS00137
ko:K01662	bapw:BUMPW106_CDS00136
ko:K00795	bapw:BUMPW106_CDS00135
ko:K11179	bapw:BUMPW106_CDS00133
ko:K02300	bapw:BUMPW106_CDS00131
ko:K02299	bapw:BUMPW106_CDS00130
ko:K02298	bapw:BUMPW106_CDS00129
ko:K14231	bapw:BUMPW106_tRNA32
ko:K14234	bapw:BUMPW106_tRNA31
ko:K14234	bapw:BUMPW106_tRNA28
ko:K14225	bapw:BUMPW106_tRNA30
ko:K14225	bapw:BUMPW106_tRNA10
ko:K14236	bapw:BUMPW106_tRNA29
ko:K14229	bapw:BUMPW106_tRNA27
ko:K14233	bapw:BUMPW106_tRNA8
ko:K14219	bapw:BUMPW106_tRNA17
ko:K14230	bapw:BUMPW106_tRNA9
ko:K14224	bapw:BUMPW106_tRNA16
ko:K14220	bapw:BUMPW106_tRNA15
ko:K14232	bapw:BUMPW106_tRNA14
ko:K14226	bapw:BUMPW106_tRNA13
ko:K14235	bapw:BUMPW106_tRNA11
ko:K01977	bapw:BUMPW106_rRNA2
ko:K01985	bapw:BUMPW106_rRNA3
ko:K01980	bapw:BUMPW106_rRNA1
ko:K02313	bapw:BUMPW106_CDS00574
ko:K02914	bapw:BUMPW106_CDS00573
ko:K03536	bapw:BUMPW106_CDS00572
ko:K03217	bapw:BUMPW106_CDS00571
ko:K03650	bapw:BUMPW106_CDS00570
ko:K04078	bapw:BUMPW106_CDS00569
ko:K04077	bapw:BUMPW106_CDS00568
ko:K02356	bapw:BUMPW106_CDS00566
ko:K02317	bapw:BUMPW106_CDS00564
ko:K08316	bapw:BUMPW106_CDS00563
ko:K03110	bapw:BUMPW106_CDS00562
ko:K03089	bapw:BUMPW106_CDS00561
ko:K00820	bapw:BUMPW106_CDS00560
ko:K04042	bapw:BUMPW106_CDS00559
ko:K03576	bapw:BUMPW106_CDS00557
ko:K00549	bapw:BUMPW106_CDS00556
ko:K00602	bapw:BUMPW106_CDS00555
ko:K05787	bapw:BUMPW106_CDS00554
ko:K03046	bapw:BUMPW106_CDS00553
ko:K03043	bapw:BUMPW106_CDS00552
ko:K02935	bapw:BUMPW106_CDS00551
ko:K02864	bapw:BUMPW106_CDS00550
ko:K02863	bapw:BUMPW106_CDS00549
ko:K02867	bapw:BUMPW106_CDS00548
ko:K02601	bapw:BUMPW106_CDS00547
ko:K03073	bapw:BUMPW106_CDS00546
ko:K00075	bapw:BUMPW106_CDS00545
ko:K00297	bapw:BUMPW106_CDS00544
ko:K01438	bapw:BUMPW106_CDS00543
ko:K00145	bapw:BUMPW106_CDS00542
ko:K00930	bapw:BUMPW106_CDS00541
ko:K01940	bapw:BUMPW106_CDS00540
ko:K01755	bapw:BUMPW106_CDS00539
ko:K03071	bapw:BUMPW106_CDS00537
ko:K00640	bapw:BUMPW106_CDS00536
ko:K03086	bapw:BUMPW106_CDS00535
ko:K02970	bapw:BUMPW106_CDS00533
ko:K01409	bapw:BUMPW106_CDS00532
ko:K02858	bapw:BUMPW106_CDS00531
ko:K03272	bapw:BUMPW106_CDS00530
ko:K00974	bapw:BUMPW106_CDS00529
ko:K06153	bapw:BUMPW106_CDS00528
ko:K08483	bapw:BUMPW106_CDS00526
ko:K02784	bapw:BUMPW106_CDS00525
ko:K01738	bapw:BUMPW106_CDS00524
ko:K01972	bapw:BUMPW106_CDS00523
ko:K01885	bapw:BUMPW106_CDS00522
ko:K02297	bapw:BUMPW106_CDS00128
ko:K05527	bapw:BUMPW106_CDS00127
ko:K03545	bapw:BUMPW106_CDS00126
ko:K01358	bapw:BUMPW106_CDS00125
ko:K03544	bapw:BUMPW106_CDS00124
ko:K01338	bapw:BUMPW106_CDS00123
ko:K03770	bapw:BUMPW106_CDS00122
ko:K06920	bapw:BUMPW106_CDS00121
ko:K02343	bapw:BUMPW106_CDS00118
ko:K09747	bapw:BUMPW106_CDS00116
ko:K04079	bapw:BUMPW106_CDS00115
ko:K00939	bapw:BUMPW106_CDS00114
ko:K01491	bapw:BUMPW106_CDS00113
ko:K01883	bapw:BUMPW106_CDS00112
ko:K09158	bapw:BUMPW106_CDS00111
ko:K03704	bapw:BUMPW106_CDS00110
ko:K00014	bapw:BUMPW106_CDS00109
ko:K07566	bapw:BUMPW106_CDS00108
ko:K03747	bapw:BUMPW106_CDS00107
ko:K01462	bapw:BUMPW106_CDS00106
ko:K00604	bapw:BUMPW106_CDS00105
ko:K02879	bapw:BUMPW106_CDS00104
ko:K03040	bapw:BUMPW106_CDS00103
ko:K02986	bapw:BUMPW106_CDS00102
ko:K02948	bapw:BUMPW106_CDS00101
ko:K02952	bapw:BUMPW106_CDS00100
ko:K02919	bapw:BUMPW106_CDS00596
ko:K03076	bapw:BUMPW106_CDS00099
ko:K02876	bapw:BUMPW106_CDS00098
ko:K02907	bapw:BUMPW106_CDS00097
ko:K02988	bapw:BUMPW106_CDS00096
ko:K02881	bapw:BUMPW106_CDS00095
ko:K02933	bapw:BUMPW106_CDS00094
ko:K02994	bapw:BUMPW106_CDS00093
ko:K02954	bapw:BUMPW106_CDS00092
ko:K02931	bapw:BUMPW106_CDS00091
ko:K02895	bapw:BUMPW106_CDS00090
ko:K02874	bapw:BUMPW106_CDS00089
ko:K02961	bapw:BUMPW106_CDS00088
ko:K02904	bapw:BUMPW106_CDS00087
ko:K02878	bapw:BUMPW106_CDS00086
ko:K02982	bapw:BUMPW106_CDS00085
ko:K02890	bapw:BUMPW106_CDS00084
ko:K02965	bapw:BUMPW106_CDS00083
ko:K02886	bapw:BUMPW106_CDS00082
ko:K02892	bapw:BUMPW106_CDS00081
ko:K02926	bapw:BUMPW106_CDS00080
ko:K02906	bapw:BUMPW106_CDS00079
ko:K02946	bapw:BUMPW106_CDS00078
ko:K02358	bapw:BUMPW106_CDS00077
ko:K02355	bapw:BUMPW106_CDS00076
ko:K02992	bapw:BUMPW106_CDS00075
ko:K02416	bapw:BUMPW106_CDS00513
ko:K18889	bapw:BUMPW106_CDS00120
ko:K03111	bapw:BUMPW106_CDS00058
ko:K07790	bapw:BUMPW106_CDS00316
ko:K00335	bapw:BUMPW106_CDS00437
ko:K03526	bapw:BUMPW106_CDS00310
ko:K14742	bapw:BUMPW106_CDS00269
ko:K02777	bapw:BUMPW106_CDS00527
ko:K04771	bapw:BUMPW106_CDS00366
ko:K01498	bapw:BUMPW106_CDS00139
ko:K00336	bapw:BUMPW106_CDS00436
ko:K19304	bapw:BUMPW106_CDS00274
ko:K00821	bapw:BUMPW106_CDS00069
ko:K19810	bapw:BUMPW106_CDS00567
ko:K18890	bapw:BUMPW106_CDS00119
ko:K00525	bapw:BUMPW106_CDS00416
ko:K00526	bapw:BUMPW106_CDS00417
ko:K02315	bapw:BUMPW106_CDS00565
ko:K02316	bapw:BUMPW106_CDS00534
