ko:K01006	ftr:NE061598_01425
ko:K07727	ftr:NE061598_05795
ko:K03551	ftr:NE061598_05815
ko:K01662	ftr:NE061598_05840
ko:K13788	ftr:NE061598_10205
ko:K03313	ftr:NE061598_10255
ko:K00655	ftr:NE061598_10265
ko:K00655	ftr:NE061598_10270
ko:K08289	ftr:NE061598_10290
ko:K03695	ftr:NE061598_10305
ko:K01695	ftr:NE061598_10325
ko:K01696	ftr:NE061598_10330
ko:K03811	ftr:NE061598_10355
ko:K06895	ftr:NE061598_10405
ko:K01256	ftr:NE061598_10450
ko:K13993	ftr:NE061598_10455
ko:K13498	ftr:NE061598_10460
ko:K00766	ftr:NE061598_10495
ko:K01657	ftr:NE061598_10505
ko:K03720	ftr:NE061598_10510
ko:K04087	ftr:NE061598_03615
ko:K03978	ftr:NE061598_03625
ko:K01687	ftr:NE061598_03660
ko:K01653	ftr:NE061598_03675
ko:K00278	ftr:NE061598_08200
ko:K00767	ftr:NE061598_08205
ko:K03517	ftr:NE061598_08210
ko:K00942	ftr:NE061598_08215
ko:K05592	ftr:NE061598_08220
ko:K08137	ftr:NE061598_08235
ko:K00965	ftr:NE061598_08240
ko:K00849	ftr:NE061598_08245
ko:K00979	ftr:NE061598_08255
ko:K09791	ftr:NE061598_08260
ko:K00382	ftr:NE061598_08290
ko:K00627	ftr:NE061598_08295
ko:K00163	ftr:NE061598_08300
ko:K00859	ftr:NE061598_08310
ko:K01867	ftr:NE061598_08315
ko:K07106	ftr:NE061598_08360
ko:K01962	ftr:NE061598_08380
ko:K03555	ftr:NE061598_08385
ko:K03071	ftr:NE061598_08390
ko:K03733	ftr:NE061598_08405
ko:K15984	ftr:NE061598_08410
ko:K03834	ftr:NE061598_08440
ko:K03704	ftr:NE061598_04310
ko:K02970	ftr:NE061598_04325
ko:K00963	ftr:NE061598_04345
ko:K01895	ftr:NE061598_04355
ko:K03629	ftr:NE061598_04375
ko:K03424	ftr:NE061598_04380
ko:K01879	ftr:NE061598_04385
ko:K03070	ftr:NE061598_04415
ko:K02888	ftr:NE061598_04440
ko:K02899	ftr:NE061598_04445
ko:K03684	ftr:NE061598_04465
ko:K03703	ftr:NE061598_04470
ko:K06966	ftr:NE061598_04495
ko:K00208	ftr:NE061598_04500
ko:K09930	ftr:NE061598_04515
ko:K09929	ftr:NE061598_04520
ko:K06041	ftr:NE061598_04530
ko:K01783	ftr:NE061598_04535
ko:K12995	ftr:NE061598_04550
ko:K02672	ftr:NE061598_09125
ko:K07018	ftr:NE061598_09180
ko:K03466	ftr:NE061598_09195
ko:K03634	ftr:NE061598_09200
ko:K03607	ftr:NE061598_09225
ko:K01153	ftr:NE061598_09240
ko:K01193	ftr:NE061598_09255
ko:K01591	ftr:NE061598_09280
ko:K09941	ftr:NE061598_09325
ko:K01465	ftr:NE061598_09345
ko:K01956	ftr:NE061598_09365
ko:K01955	ftr:NE061598_09370
ko:K00609	ftr:NE061598_09375
ko:K03584	ftr:NE061598_07085
ko:K04487	ftr:NE061598_07095
ko:K08300	ftr:NE061598_07105
ko:K13292	ftr:NE061598_07110
ko:K04075	ftr:NE061598_07125
ko:K03305	ftr:NE061598_07140
ko:K01442	ftr:NE061598_07145
ko:K09889	ftr:NE061598_07175
ko:K00600	ftr:NE061598_07180
ko:K05807	ftr:NE061598_07195
ko:K06180	ftr:NE061598_07200
ko:K02066	ftr:NE061598_07210
ko:K02065	ftr:NE061598_07215
ko:K09761	ftr:NE061598_07235
ko:K03305	ftr:NE061598_07240
ko:K03446	ftr:NE061598_07255
ko:K03543	ftr:NE061598_07260
ko:K06911	ftr:NE061598_07325
ko:K03686	ftr:NE061598_07335
ko:K04043	ftr:NE061598_07340
ko:K03687	ftr:NE061598_07345
ko:K03545	ftr:NE061598_03560
ko:K01358	ftr:NE061598_03565
ko:K03544	ftr:NE061598_03570
ko:K01338	ftr:NE061598_03575
ko:K03530	ftr:NE061598_03580
ko:K03770	ftr:NE061598_03585
ko:K00791	ftr:NE061598_03590
ko:K03666	ftr:NE061598_03595
ko:K03665	ftr:NE061598_03600
ko:K04088	ftr:NE061598_03610
ko:K01951	ftr:NE061598_05845
ko:K06173	ftr:NE061598_05855
ko:K06861	ftr:NE061598_05870
ko:K11719	ftr:NE061598_05880
ko:K03270	ftr:NE061598_05885
ko:K09158	ftr:NE061598_05900
ko:K03801	ftr:NE061598_05905
ko:K03885	ftr:NE061598_05935
ko:K03086	ftr:NE061598_05940
ko:K09117	ftr:NE061598_05950
ko:K02970	ftr:NE061598_05955
ko:K07259	ftr:NE061598_05960
ko:K07107	ftr:NE061598_05970
ko:K14058	ftr:NE061598_05975
ko:K03773	ftr:NE061598_05980
ko:K02523	ftr:NE061598_05985
ko:K00860	ftr:NE061598_06010
ko:K03789	ftr:NE061598_06050
ko:K06178	ftr:NE061598_06060
ko:K02656	ftr:NE061598_06065
ko:K06941	ftr:NE061598_06070
ko:K02939	ftr:NE061598_06080
ko:K02963	ftr:NE061598_06085
ko:K02990	ftr:NE061598_06090
ko:K00228	ftr:NE061598_06105
ko:K08301	ftr:NE061598_10515
ko:K03723	ftr:NE061598_03695
ko:K10773	ftr:NE061598_03715
ko:K03675	ftr:NE061598_03725
ko:K03305	ftr:NE061598_03730
ko:K02217	ftr:NE061598_03735
ko:K03644	ftr:NE061598_03740
ko:K01159	ftr:NE061598_03755
ko:K03550	ftr:NE061598_03770
ko:K09760	ftr:NE061598_03775
ko:K01590	ftr:NE061598_03805
ko:K03652	ftr:NE061598_03815
ko:K03811	ftr:NE061598_03825
ko:K06987	ftr:NE061598_03850
ko:K00948	ftr:NE061598_03855
ko:K02897	ftr:NE061598_03860
ko:K06942	ftr:NE061598_03880
ko:K01056	ftr:NE061598_03885
ko:K02654	ftr:NE061598_03900
ko:K00322	ftr:NE061598_03905
ko:K10716	ftr:NE061598_03910
ko:K03305	ftr:NE061598_03915
ko:K03667	ftr:NE061598_03920
ko:K01419	ftr:NE061598_03925
ko:K03800	ftr:NE061598_03935
ko:K01866	ftr:NE061598_03940
ko:K05516	ftr:NE061598_08450
ko:K03578	ftr:NE061598_08525
ko:K00031	ftr:NE061598_08535
ko:K07516	ftr:NE061598_08555
ko:K09859	ftr:NE061598_08610
ko:K07337	ftr:NE061598_08625
ko:K00574	ftr:NE061598_08690
ko:K12573	ftr:NE061598_08715
ko:K03685	ftr:NE061598_08725
ko:K03100	ftr:NE061598_08730
ko:K00286	ftr:NE061598_08750
ko:K02527	ftr:NE061598_08760
ko:K00795	ftr:NE061598_08765
ko:K01004	ftr:NE061598_08770
ko:K01207	ftr:NE061598_08780
ko:K13282	ftr:NE061598_04600
ko:K03762	ftr:NE061598_04610
ko:K06187	ftr:NE061598_04635
ko:K09747	ftr:NE061598_04640
ko:K02563	ftr:NE061598_04645
ko:K02437	ftr:NE061598_04650
ko:K01868	ftr:NE061598_04675
ko:K02520	ftr:NE061598_04680
ko:K02916	ftr:NE061598_04685
ko:K02887	ftr:NE061598_04690
ko:K06901	ftr:NE061598_04735
ko:K03774	ftr:NE061598_04770
ko:K03527	ftr:NE061598_04775
ko:K06208	ftr:NE061598_04780
ko:K03562	ftr:NE061598_04795
ko:K03641	ftr:NE061598_04810
ko:K03640	ftr:NE061598_04820
ko:K01669	ftr:NE061598_04855
ko:K06876	ftr:NE061598_04860
ko:K03453	ftr:NE061598_04870
ko:K03179	ftr:NE061598_04910
ko:K03837	ftr:NE061598_09390
ko:K11752	ftr:NE061598_09420
ko:K00793	ftr:NE061598_09425
ko:K14652	ftr:NE061598_09430
ko:K00794	ftr:NE061598_09435
ko:K01462	ftr:NE061598_09440
ko:K00566	ftr:NE061598_09450
ko:K03596	ftr:NE061598_09455
ko:K02968	ftr:NE061598_09460
ko:K06186	ftr:NE061598_09465
ko:K06997	ftr:NE061598_09510
ko:K03501	ftr:NE061598_09515
ko:K03834	ftr:NE061598_09520
ko:K09861	ftr:NE061598_09560
ko:K04078	ftr:NE061598_09575
ko:K04077	ftr:NE061598_09580
ko:K01874	ftr:NE061598_09605
ko:K06190	ftr:NE061598_09625
ko:K03183	ftr:NE061598_09640
ko:K03690	ftr:NE061598_09645
ko:K08304	ftr:NE061598_07350
ko:K02871	ftr:NE061598_07360
ko:K02996	ftr:NE061598_07365
ko:K03599	ftr:NE061598_07370
ko:K03600	ftr:NE061598_07375
ko:K03470	ftr:NE061598_07385
ko:K05808	ftr:NE061598_07400
ko:K03650	ftr:NE061598_07410
ko:K01442	ftr:NE061598_07425
ko:K01697	ftr:NE061598_07430
ko:K11900	ftr:NE061598_07515
ko:K11901	ftr:NE061598_07520
ko:K01624	ftr:NE061598_07575
ko:K00873	ftr:NE061598_07580
ko:K00927	ftr:NE061598_07585
ko:K00134	ftr:NE061598_07590
ko:K00615	ftr:NE061598_07595
ko:K07040	ftr:NE061598_07600
ko:K02911	ftr:NE061598_07605
ko:K03621	ftr:NE061598_07610
ko:K00648	ftr:NE061598_07615
ko:K07154	ftr:NE061598_06210
ko:K03554	ftr:NE061598_06250
ko:K07146	ftr:NE061598_06255
ko:K00243	ftr:NE061598_06260
ko:K03656	ftr:NE061598_06265
ko:K06980	ftr:NE061598_06270
ko:K01255	ftr:NE061598_06305
ko:K01872	ftr:NE061598_06315
ko:K09710	ftr:NE061598_06345
ko:K12267	ftr:NE061598_06380
ko:K03437	ftr:NE061598_06400
ko:K01442	ftr:NE061598_06405
ko:K03089	ftr:NE061598_06420
ko:K03074	ftr:NE061598_06430
ko:K03072	ftr:NE061598_06435
ko:K03210	ftr:NE061598_06440
ko:K03181	ftr:NE061598_04915
ko:K00989	ftr:NE061598_04920
ko:K03799	ftr:NE061598_04940
ko:K03744	ftr:NE061598_04945
ko:K00057	ftr:NE061598_05005
ko:K04485	ftr:NE061598_05015
ko:K01736	ftr:NE061598_05030
ko:K00812	ftr:NE061598_05080
ko:K03631	ftr:NE061598_05090
ko:K01491	ftr:NE061598_05125
ko:K01933	ftr:NE061598_05130
ko:K11175	ftr:NE061598_05140
ko:K01588	ftr:NE061598_05145
ko:K01589	ftr:NE061598_05150
ko:K07460	ftr:NE061598_05155
ko:K01414	ftr:NE061598_05160
ko:K03168	ftr:NE061598_05195
ko:K07023	ftr:NE061598_05220
ko:K03688	ftr:NE061598_09650
ko:K02503	ftr:NE061598_09655
ko:K00075	ftr:NE061598_09680
ko:K00790	ftr:NE061598_09685
ko:K03977	ftr:NE061598_09690
ko:K03798	ftr:NE061598_09715
ko:K03701	ftr:NE061598_09725
ko:K03624	ftr:NE061598_09730
ko:K08084	ftr:NE061598_09735
ko:K01810	ftr:NE061598_09740
ko:K01255	ftr:NE061598_09755
ko:K07091	ftr:NE061598_09760
ko:K11720	ftr:NE061598_09765
ko:K06169	ftr:NE061598_09790
ko:K00757	ftr:NE061598_09795
ko:K15633	ftr:NE061598_09810
ko:K01875	ftr:NE061598_09815
ko:K00847	ftr:NE061598_09820
ko:K11103	ftr:NE061598_09850
ko:K00645	ftr:NE061598_07620
ko:K02078	ftr:NE061598_07630
ko:K09458	ftr:NE061598_07635
ko:K03500	ftr:NE061598_07675
ko:K01972	ftr:NE061598_07700
ko:K00606	ftr:NE061598_07710
ko:K01918	ftr:NE061598_07715
ko:K01579	ftr:NE061598_07720
ko:K03525	ftr:NE061598_07725
ko:K03581	ftr:NE061598_07730
ko:K03582	ftr:NE061598_07735
ko:K03583	ftr:NE061598_07755
ko:K04758	ftr:NE061598_07790
ko:K02426	ftr:NE061598_07820
ko:K01881	ftr:NE061598_07870
ko:K14287	ftr:NE061598_07875
ko:K03625	ftr:NE061598_07900
ko:K00773	ftr:NE061598_06465
ko:K08591	ftr:NE061598_06480
ko:K02071	ftr:NE061598_06485
ko:K01770	ftr:NE061598_06505
ko:K03802	ftr:NE061598_06515
ko:K01126	ftr:NE061598_06525
ko:K02652	ftr:NE061598_06530
ko:K01772	ftr:NE061598_06560
ko:K13038	ftr:NE061598_06635
ko:K13821	ftr:NE061598_06650
ko:K09159	ftr:NE061598_06655
ko:K01735	ftr:NE061598_06670
ko:K00891	ftr:NE061598_06675
ko:K02666	ftr:NE061598_06680
ko:K00812	ftr:NE061598_06740
ko:K03101	ftr:NE061598_05235
ko:K01870	ftr:NE061598_05240
ko:K11753	ftr:NE061598_05245
ko:K12297	ftr:NE061598_05290
ko:K00604	ftr:NE061598_05300
ko:K01920	ftr:NE061598_05305
ko:K01845	ftr:NE061598_05310
ko:K01207	ftr:NE061598_05315
ko:K00019	ftr:NE061598_05320
ko:K01574	ftr:NE061598_05330
ko:K01935	ftr:NE061598_05355
ko:K02169	ftr:NE061598_05360
ko:K01012	ftr:NE061598_05370
ko:K00833	ftr:NE061598_05375
ko:K13941	ftr:NE061598_05395
ko:K01633	ftr:NE061598_05400
ko:K01495	ftr:NE061598_05455
ko:K11927	ftr:NE061598_05460
ko:K03305	ftr:NE061598_05465
ko:K01142	ftr:NE061598_05495
ko:K06987	ftr:NE061598_05500
ko:K03923	ftr:NE061598_05505
ko:K01626	ftr:NE061598_05515
ko:K03106	ftr:NE061598_05520
ko:K01952	ftr:NE061598_10010
ko:K00764	ftr:NE061598_10015
ko:K06133	ftr:NE061598_10025
ko:K12340	ftr:NE061598_10030
ko:K00573	ftr:NE061598_10035
ko:K08303	ftr:NE061598_10040
ko:K03979	ftr:NE061598_10080
ko:K07667	ftr:NE061598_10105
ko:K07646	ftr:NE061598_10110
ko:K01548	ftr:NE061598_10115
ko:K01547	ftr:NE061598_10120
ko:K04773	ftr:NE061598_10165
ko:K03071	ftr:NE061598_10180
ko:K03565	ftr:NE061598_10190
ko:K00925	ftr:NE061598_10200
ko:K09160	ftr:NE061598_07915
ko:K07090	ftr:NE061598_07925
ko:K03439	ftr:NE061598_07975
ko:K00858	ftr:NE061598_07985
ko:K03424	ftr:NE061598_08020
ko:K03594	ftr:NE061598_08035
ko:K03040	ftr:NE061598_08040
ko:K07478	ftr:NE061598_08045
ko:K01524	ftr:NE061598_08060
ko:K03671	ftr:NE061598_08065
ko:K03628	ftr:NE061598_08070
ko:K00973	ftr:NE061598_08110
ko:K01953	ftr:NE061598_08135
ko:K02474	ftr:NE061598_08155
ko:K13012	ftr:NE061598_08170
ko:K01443	ftr:NE061598_06755
ko:K14540	ftr:NE061598_06760
ko:K03427	ftr:NE061598_06770
ko:K01154	ftr:NE061598_06780
ko:K01154	ftr:NE061598_06785
ko:K06207	ftr:NE061598_06825
ko:K09801	ftr:NE061598_06860
ko:K03664	ftr:NE061598_06870
ko:K14058	ftr:NE061598_06875
ko:K03601	ftr:NE061598_06900
ko:K01776	ftr:NE061598_06945
ko:K03702	ftr:NE061598_06955
ko:K01141	ftr:NE061598_06960
ko:K03495	ftr:NE061598_06985
ko:K01807	ftr:NE061598_07000
ko:K09125	ftr:NE061598_07030
ko:K07568	ftr:NE061598_07040
ko:K03185	ftr:NE061598_07055
ko:K09895	ftr:NE061598_07060
ko:K05527	ftr:NE061598_07070
ko:K03975	ftr:NE061598_07075
ko:K03975	ftr:NE061598_07080
ko:K03438	ftr:NE061598_03970
ko:K03586	ftr:NE061598_03975
ko:K03587	ftr:NE061598_03980
ko:K02956	ftr:NE061598_03985
ko:K00962	ftr:NE061598_03990
ko:K15724	ftr:NE061598_03995
ko:K01627	ftr:NE061598_04000
ko:K00876	ftr:NE061598_04005
ko:K03060	ftr:NE061598_04010
ko:K03215	ftr:NE061598_04020
ko:K03811	ftr:NE061598_04035
ko:K01689	ftr:NE061598_04045
ko:K05589	ftr:NE061598_04050
ko:K00991	ftr:NE061598_04055
ko:K00060	ftr:NE061598_04065
ko:K00761	ftr:NE061598_04080
ko:K01129	ftr:NE061598_04105
ko:K03782	ftr:NE061598_04110
ko:K02445	ftr:NE061598_04140
ko:K01126	ftr:NE061598_04145
ko:K00432	ftr:NE061598_04185
ko:K04762	ftr:NE061598_04230
ko:K00748	ftr:NE061598_08795
ko:K00677	ftr:NE061598_08800
ko:K02372	ftr:NE061598_08805
ko:K02536	ftr:NE061598_08810
ko:K06142	ftr:NE061598_08815
