ko:K01006	lmol:LMOL312_1876
ko:K04031	lmol:LMOL312_1131
ko:K04029	lmol:LMOL312_1132
ko:K02231	lmol:LMOL312_1134
ko:K02233	lmol:LMOL312_1135
ko:K13919	lmol:LMOL312_1141
ko:K13920	lmol:LMOL312_1142
ko:K04024	lmol:LMOL312_1148
ko:K13922	lmol:LMOL312_1152
ko:K02440	lmol:LMOL312_1154
ko:K00925	lmol:LMOL312_1155
ko:K04019	lmol:LMOL312_1162
ko:K03735	lmol:LMOL312_1163
ko:K03736	lmol:LMOL312_1164
ko:K04026	lmol:LMOL312_1165
ko:K03500	lmol:LMOL312_1831
ko:K00604	lmol:LMOL312_1832
ko:K04066	lmol:LMOL312_1833
ko:K13038	lmol:LMOL312_1834
ko:K03060	lmol:LMOL312_1835
ko:K00942	lmol:LMOL312_1836
ko:K00762	lmol:LMOL312_1840
ko:K01591	lmol:LMOL312_1841
ko:K01955	lmol:LMOL312_1844
ko:K01956	lmol:LMOL312_1845
ko:K01465	lmol:LMOL312_1846
ko:K00609	lmol:LMOL312_1847
ko:K02825	lmol:LMOL312_1849
ko:K06180	lmol:LMOL312_1852
ko:K03101	lmol:LMOL312_1853
ko:K06901	lmol:LMOL312_1854
ko:K03327	lmol:LMOL312_1855
ko:K03797	lmol:LMOL312_1860
ko:K11068	lmol:LMOL312_1873
ko:K09773	lmol:LMOL312_1875
ko:K01358	lmol:LMOL312_2428
ko:K06958	lmol:LMOL312_2434
ko:K00384	lmol:LMOL312_2438
ko:K06019	lmol:LMOL312_2441
ko:K13292	lmol:LMOL312_2442
ko:K08972	lmol:LMOL312_2444
ko:K03701	lmol:LMOL312_2448
ko:K03702	lmol:LMOL312_2449
ko:K07023	lmol:LMOL312_2451
ko:K02039	lmol:LMOL312_2454
ko:K02036	lmol:LMOL312_2455
ko:K02036	lmol:LMOL312_2456
ko:K02038	lmol:LMOL312_2457
ko:K02037	lmol:LMOL312_2458
ko:K02040	lmol:LMOL312_2459
ko:K07636	lmol:LMOL312_2460
ko:K06131	lmol:LMOL312_2463
ko:K09811	lmol:LMOL312_2466
ko:K09812	lmol:LMOL312_2467
ko:K02836	lmol:LMOL312_2469
ko:K03070	lmol:LMOL312_2470
ko:K03336	lmol:LMOL312_0387
ko:K03648	lmol:LMOL312_0391
ko:K00286	lmol:LMOL312_0398
ko:K02003	lmol:LMOL312_0405
ko:K03306	lmol:LMOL312_0416
ko:K07238	lmol:LMOL312_0425
ko:K05340	lmol:LMOL312_0432
ko:K04032	lmol:LMOL312_1169
ko:K04023	lmol:LMOL312_1174
ko:K04030	lmol:LMOL312_1175
ko:K02224	lmol:LMOL312_1179
ko:K02227	lmol:LMOL312_1180
ko:K06042	lmol:LMOL312_1181
ko:K02188	lmol:LMOL312_1182
ko:K02191	lmol:LMOL312_1184
ko:K05936	lmol:LMOL312_1185
ko:K05895	lmol:LMOL312_1187
ko:K13542	lmol:LMOL312_1188
ko:K03394	lmol:LMOL312_1190
ko:K02007	lmol:LMOL312_1191
ko:K02232	lmol:LMOL312_1195
ko:K09936	lmol:LMOL312_1197
ko:K09936	lmol:LMOL312_1198
ko:K03437	lmol:LMOL312_1205
ko:K01889	lmol:LMOL312_1208
ko:K01890	lmol:LMOL312_1209
ko:K02003	lmol:LMOL312_1210
ko:K03648	lmol:LMOL312_1214
ko:K09888	lmol:LMOL312_1216
ko:K02347	lmol:LMOL312_1218
ko:K07456	lmol:LMOL312_1219
ko:K00563	lmol:LMOL312_1883
ko:K15738	lmol:LMOL312_1886
ko:K01938	lmol:LMOL312_1887
ko:K03704	lmol:LMOL312_1889
ko:K02954	lmol:LMOL312_1892
ko:K16169	lmol:LMOL312_1894
ko:K03816	lmol:LMOL312_1895
ko:K01299	lmol:LMOL312_1896
ko:K07444	lmol:LMOL312_1897
ko:K05366	lmol:LMOL312_1902
ko:K10773	lmol:LMOL312_1904
ko:K01893	lmol:LMOL312_1906
ko:K00812	lmol:LMOL312_1907
ko:K01579	lmol:LMOL312_1910
ko:K01918	lmol:LMOL312_1911
ko:K00606	lmol:LMOL312_1912
ko:K03524	lmol:LMOL312_1914
ko:K01734	lmol:LMOL312_1916
ko:K00215	lmol:LMOL312_1917
ko:K05946	lmol:LMOL312_2481
ko:K02372	lmol:LMOL312_2484
ko:K03569	lmol:LMOL312_2485
ko:K00790	lmol:LMOL312_2486
ko:K02114	lmol:LMOL312_2488
ko:K02112	lmol:LMOL312_2489
ko:K02115	lmol:LMOL312_2490
ko:K02111	lmol:LMOL312_2491
ko:K02113	lmol:LMOL312_2492
ko:K02109	lmol:LMOL312_2493
ko:K02110	lmol:LMOL312_2494
ko:K02108	lmol:LMOL312_2495
ko:K00761	lmol:LMOL312_2498
ko:K00600	lmol:LMOL312_2499
ko:K07566	lmol:LMOL312_2501
ko:K02493	lmol:LMOL312_2502
ko:K02835	lmol:LMOL312_2503
ko:K00872	lmol:LMOL312_2505
ko:K01733	lmol:LMOL312_2506
ko:K00003	lmol:LMOL312_2507
ko:K02909	lmol:LMOL312_2508
ko:K03628	lmol:LMOL312_2510
ko:K00790	lmol:LMOL312_2511
ko:K13678	lmol:LMOL312_2513
ko:K01937	lmol:LMOL312_2518
ko:K03924	lmol:LMOL312_0465
ko:K09703	lmol:LMOL312_0468
ko:K06885	lmol:LMOL312_0479
ko:K06941	lmol:LMOL312_0484
ko:K13653	lmol:LMOL312_0485
ko:K02911	lmol:LMOL312_0491
ko:K00014	lmol:LMOL312_0495
ko:K03785	lmol:LMOL312_0496
ko:K03671	lmol:LMOL312_1220
ko:K03703	lmol:LMOL312_1221
ko:K00928	lmol:LMOL312_1222
ko:K01776	lmol:LMOL312_1225
ko:K00989	lmol:LMOL312_1226
ko:K07095	lmol:LMOL312_1228
ko:K02818	lmol:LMOL312_1252
ko:K02819	lmol:LMOL312_1252
ko:K00147	lmol:LMOL312_1256
ko:K00931	lmol:LMOL312_1257
ko:K03545	lmol:LMOL312_1264
ko:K03544	lmol:LMOL312_1266
ko:K03100	lmol:LMOL312_1267
ko:K03100	lmol:LMOL312_1268
ko:K03100	lmol:LMOL312_1269
ko:K14540	lmol:LMOL312_1270
ko:K03470	lmol:LMOL312_1271
ko:K04096	lmol:LMOL312_1272
ko:K00656	lmol:LMOL312_1927
ko:K07007	lmol:LMOL312_1928
ko:K06973	lmol:LMOL312_1929
ko:K00800	lmol:LMOL312_1933
ko:K00817	lmol:LMOL312_1935
ko:K06208	lmol:LMOL312_1936
ko:K01735	lmol:LMOL312_1937
ko:K01736	lmol:LMOL312_1938
ko:K00940	lmol:LMOL312_1939
ko:K03183	lmol:LMOL312_1941
ko:K01495	lmol:LMOL312_1943
ko:K03530	lmol:LMOL312_1944
ko:K00057	lmol:LMOL312_1946
ko:K03977	lmol:LMOL312_1947
ko:K02945	lmol:LMOL312_1948
ko:K00945	lmol:LMOL312_1949
ko:K03654	lmol:LMOL312_1952
ko:K07651	lmol:LMOL312_1957
ko:K07775	lmol:LMOL312_1958
ko:K06178	lmol:LMOL312_1959
ko:K06024	lmol:LMOL312_1960
ko:K05896	lmol:LMOL312_1961
ko:K01586	lmol:LMOL312_1962
ko:K01839	lmol:LMOL312_1964
ko:K02015	lmol:LMOL312_1967
ko:K02015	lmol:LMOL312_1968
ko:K02016	lmol:LMOL312_1969
ko:K02013	lmol:LMOL312_1970
ko:K01887	lmol:LMOL312_2520
ko:K01821	lmol:LMOL312_2523
ko:K06885	lmol:LMOL312_2524
ko:K08281	lmol:LMOL312_2530
ko:K16264	lmol:LMOL312_2534
ko:K02003	lmol:LMOL312_2539
ko:K02379	lmol:LMOL312_2543
ko:K00123	lmol:LMOL312_2545
ko:K02996	lmol:LMOL312_2556
ko:K02871	lmol:LMOL312_2557
ko:K06173	lmol:LMOL312_2558
ko:K07507	lmol:LMOL312_2562
ko:K06978	lmol:LMOL312_0498
ko:K01808	lmol:LMOL312_0502
ko:K01783	lmol:LMOL312_0503
ko:K02773	lmol:LMOL312_0507
ko:K01783	lmol:LMOL312_0509
ko:K02774	lmol:LMOL312_0511
ko:K00948	lmol:LMOL312_0513
ko:K07282	lmol:LMOL312_0520
ko:K08987	lmol:LMOL312_0522
ko:K01153	lmol:LMOL312_0525
ko:K03427	lmol:LMOL312_0526
ko:K01154	lmol:LMOL312_0527
ko:K01154	lmol:LMOL312_0529
ko:K07166	lmol:LMOL312_0541
ko:K09157	lmol:LMOL312_0542
ko:K02083	lmol:LMOL312_0545
ko:K03168	lmol:LMOL312_1273
ko:K04094	lmol:LMOL312_1274
ko:K03733	lmol:LMOL312_1275
ko:K01419	lmol:LMOL312_1276
ko:K03667	lmol:LMOL312_1277
ko:K03706	lmol:LMOL312_1278
ko:K07107	lmol:LMOL312_1279
ko:K08591	lmol:LMOL312_1282
ko:K02622	lmol:LMOL312_1284
ko:K02621	lmol:LMOL312_1285
ko:K07173	lmol:LMOL312_1286
ko:K01126	lmol:LMOL312_1289
ko:K00111	lmol:LMOL312_1290
ko:K00791	lmol:LMOL312_1291
ko:K03666	lmol:LMOL312_1292
ko:K03665	lmol:LMOL312_1293
ko:K01915	lmol:LMOL312_1296
ko:K03893	lmol:LMOL312_1297
ko:K01356	lmol:LMOL312_1299
ko:K00615	lmol:LMOL312_1302
ko:K09903	lmol:LMOL312_1309
ko:K02838	lmol:LMOL312_1310
ko:K00806	lmol:LMOL312_1311
ko:K00981	lmol:LMOL312_1312
ko:K00099	lmol:LMOL312_1313
ko:K11749	lmol:LMOL312_1314
ko:K01881	lmol:LMOL312_1315
ko:K03763	lmol:LMOL312_1316
ko:K09748	lmol:LMOL312_1317
ko:K02600	lmol:LMOL312_1318
ko:K07742	lmol:LMOL312_1319
ko:K02519	lmol:LMOL312_1321
ko:K02834	lmol:LMOL312_1323
ko:K02346	lmol:LMOL312_1978
ko:K07124	lmol:LMOL312_1979
ko:K00036	lmol:LMOL312_1981
ko:K01687	lmol:LMOL312_1986
ko:K01652	lmol:LMOL312_1987
ko:K01653	lmol:LMOL312_1988
ko:K00053	lmol:LMOL312_1989
ko:K01649	lmol:LMOL312_1990
ko:K00052	lmol:LMOL312_1991
ko:K01703	lmol:LMOL312_1992
ko:K01704	lmol:LMOL312_1993
ko:K01754	lmol:LMOL312_1994
ko:K01575	lmol:LMOL312_1995
ko:K00756	lmol:LMOL312_1996
ko:K02529	lmol:LMOL312_1997
ko:K05346	lmol:LMOL312_1999
ko:K01652	lmol:LMOL312_2009
ko:K07718	lmol:LMOL312_2014
ko:K03704	lmol:LMOL312_2019
ko:K02879	lmol:LMOL312_2565
ko:K03040	lmol:LMOL312_2566
ko:K02948	lmol:LMOL312_2567
ko:K02952	lmol:LMOL312_2568
ko:K02919	lmol:LMOL312_2569
ko:K02518	lmol:LMOL312_2570
ko:K03076	lmol:LMOL312_2572
ko:K02876	lmol:LMOL312_2573
ko:K02907	lmol:LMOL312_2574
ko:K02988	lmol:LMOL312_2575
ko:K02881	lmol:LMOL312_2576
ko:K02933	lmol:LMOL312_2577
ko:K02994	lmol:LMOL312_2578
ko:K02954	lmol:LMOL312_2579
ko:K02931	lmol:LMOL312_2580
ko:K02895	lmol:LMOL312_2581
ko:K02874	lmol:LMOL312_2582
ko:K02961	lmol:LMOL312_2583
ko:K02904	lmol:LMOL312_2584
ko:K02878	lmol:LMOL312_2585
ko:K02982	lmol:LMOL312_2586
ko:K02890	lmol:LMOL312_2587
ko:K02965	lmol:LMOL312_2588
ko:K02886	lmol:LMOL312_2589
ko:K02892	lmol:LMOL312_2590
ko:K02926	lmol:LMOL312_2591
ko:K02906	lmol:LMOL312_2592
ko:K02946	lmol:LMOL312_2593
ko:K03734	lmol:LMOL312_2596
ko:K03885	lmol:LMOL312_2598
ko:K02016	lmol:LMOL312_0549
ko:K02781	lmol:LMOL312_0550
ko:K08325	lmol:LMOL312_0562
ko:K03305	lmol:LMOL312_0563
ko:K00262	lmol:LMOL312_0568
ko:K02500	lmol:LMOL312_0571
ko:K01814	lmol:LMOL312_0572
ko:K02501	lmol:LMOL312_0573
ko:K01693	lmol:LMOL312_0574
ko:K00013	lmol:LMOL312_0575
ko:K00765	lmol:LMOL312_0576
ko:K02502	lmol:LMOL312_0577
ko:K04486	lmol:LMOL312_0578
ko:K07443	lmol:LMOL312_0579
ko:K06901	lmol:LMOL312_0581
ko:K01223	lmol:LMOL312_0582
ko:K06999	lmol:LMOL312_0588
ko:K06969	lmol:LMOL312_0589
ko:K03070	lmol:LMOL312_0591
ko:K01669	lmol:LMOL312_0596
ko:K11753	lmol:LMOL312_1325
ko:K02956	lmol:LMOL312_1326
ko:K00962	lmol:LMOL312_1327
ko:K06949	lmol:LMOL312_1328
ko:K02913	lmol:LMOL312_1331
ko:K02247	lmol:LMOL312_1339
ko:K00605	lmol:LMOL312_1344
ko:K00282	lmol:LMOL312_1345
ko:K00283	lmol:LMOL312_1346
ko:K02356	lmol:LMOL312_1351
ko:K02160	lmol:LMOL312_1352
ko:K01961	lmol:LMOL312_1353
ko:K03625	lmol:LMOL312_1355
ko:K01491	lmol:LMOL312_1356
ko:K03601	lmol:LMOL312_1357
ko:K03602	lmol:LMOL312_1358
ko:K13789	lmol:LMOL312_1359
ko:K03704	lmol:LMOL312_1360
ko:K01662	lmol:LMOL312_1361
ko:K06442	lmol:LMOL312_1362
ko:K03402	lmol:LMOL312_1363
ko:K03631	lmol:LMOL312_1364
ko:K00382	lmol:LMOL312_1367
ko:K00166	lmol:LMOL312_1368
ko:K00167	lmol:LMOL312_1369
ko:K09699	lmol:LMOL312_1370
ko:K01778	lmol:LMOL312_2021
ko:K01870	lmol:LMOL312_2022
ko:K04074	lmol:LMOL312_2023
ko:K04487	lmol:LMOL312_2025
ko:K00278	lmol:LMOL312_2026
ko:K00767	lmol:LMOL312_2027
ko:K03517	lmol:LMOL312_2028
ko:K02221	lmol:LMOL312_2041
ko:K09772	lmol:LMOL312_2042
ko:K06997	lmol:LMOL312_2043
ko:K03531	lmol:LMOL312_2044
ko:K03590	lmol:LMOL312_2045
ko:K03589	lmol:LMOL312_2046
ko:K02563	lmol:LMOL312_2048
ko:K01925	lmol:LMOL312_2049
ko:K01000	lmol:LMOL312_2050
ko:K01928	lmol:LMOL312_2051
ko:K03438	lmol:LMOL312_2054
ko:K03925	lmol:LMOL312_2055
ko:K00077	lmol:LMOL312_2058
ko:K02911	lmol:LMOL312_2060
ko:K07040	lmol:LMOL312_2061
ko:K00954	lmol:LMOL312_2065
ko:K02358	lmol:LMOL312_2618
ko:K02355	lmol:LMOL312_2619
ko:K02992	lmol:LMOL312_2620
ko:K02950	lmol:LMOL312_2621
ko:K01129	lmol:LMOL312_2622
ko:K01783	lmol:LMOL312_2625
ko:K00615	lmol:LMOL312_2626
ko:K01783	lmol:LMOL312_2627
ko:K01808	lmol:LMOL312_2628
ko:K02774	lmol:LMOL312_2632
ko:K02773	lmol:LMOL312_2633
ko:K01808	lmol:LMOL312_2640
ko:K07667	lmol:LMOL312_2644
ko:K07646	lmol:LMOL312_2645
ko:K01548	lmol:LMOL312_2646
ko:K01547	lmol:LMOL312_2647
ko:K01546	lmol:LMOL312_2648
ko:K02760	lmol:LMOL312_2649
ko:K02761	lmol:LMOL312_2650
ko:K02759	lmol:LMOL312_2651
ko:K01531	lmol:LMOL312_2654
ko:K00943	lmol:LMOL312_2658
ko:K05878	lmol:LMOL312_2660
ko:K00641	lmol:LMOL312_0602
ko:K01740	lmol:LMOL312_0603
ko:K03523	lmol:LMOL312_0606
ko:K01118	lmol:LMOL312_0619
ko:K01126	lmol:LMOL312_0624
ko:K07090	lmol:LMOL312_0629
ko:K01534	lmol:LMOL312_0646
ko:K03217	lmol:LMOL312_1376
ko:K01512	lmol:LMOL312_1378
ko:K07146	lmol:LMOL312_1381
ko:K03466	lmol:LMOL312_1383
ko:K00286	lmol:LMOL312_1384
ko:K07335	lmol:LMOL312_1386
ko:K02057	lmol:LMOL312_1388
ko:K02057	lmol:LMOL312_1389
ko:K00995	lmol:LMOL312_1394
ko:K03823	lmol:LMOL312_1398
ko:K09769	lmol:LMOL312_1399
ko:K03555	lmol:LMOL312_1401
ko:K03572	lmol:LMOL312_1402
ko:K00656	lmol:LMOL312_1404
ko:K04069	lmol:LMOL312_1405
ko:K07727	lmol:LMOL312_1409
ko:K00075	lmol:LMOL312_1418
ko:K05847	lmol:LMOL312_1419
ko:K03322	lmol:LMOL312_1422
ko:K05846	lmol:LMOL312_1423
ko:K02259	lmol:LMOL312_2071
ko:K10716	lmol:LMOL312_2072
ko:K14166	lmol:LMOL312_2075
ko:K03282	lmol:LMOL312_2077
ko:K01442	lmol:LMOL312_2080
ko:K04077	lmol:LMOL312_2081
ko:K04078	lmol:LMOL312_2082
ko:K01926	lmol:LMOL312_2086
ko:K06158	lmol:LMOL312_2087
ko:K03789	lmol:LMOL312_2090
ko:K06925	lmol:LMOL312_2092
ko:K06199	lmol:LMOL312_2095
ko:K06199	lmol:LMOL312_2096
ko:K01940	lmol:LMOL312_2104
ko:K01755	lmol:LMOL312_2105
ko:K01628	lmol:LMOL312_2108
ko:K02774	lmol:LMOL312_2111
ko:K02773	lmol:LMOL312_2112
ko:K06215	lmol:LMOL312_2115
ko:K08681	lmol:LMOL312_2116
ko:K05879	lmol:LMOL312_2661
ko:K08310	lmol:LMOL312_2665
ko:K06187	lmol:LMOL312_2668
ko:K09747	lmol:LMOL312_2669
ko:K02343	lmol:LMOL312_2670
ko:K02761	lmol:LMOL312_2674
ko:K00426	lmol:LMOL312_2684
ko:K00425	lmol:LMOL312_2685
ko:K01895	lmol:LMOL312_2687
ko:K02768	lmol:LMOL312_2700
ko:K02769	lmol:LMOL312_2700
ko:K02770	lmol:LMOL312_2700
ko:K00865	lmol:LMOL312_2703
ko:K12410	lmol:LMOL312_2706
ko:K03284	lmol:LMOL312_0653
ko:K01421	lmol:LMOL312_0655
ko:K08976	lmol:LMOL312_0661
ko:K00868	lmol:LMOL312_0673
ko:K02419	lmol:LMOL312_0688
ko:K02420	lmol:LMOL312_0689
ko:K02421	lmol:LMOL312_0690
ko:K02401	lmol:LMOL312_0691
ko:K02400	lmol:LMOL312_0692
ko:K02404	lmol:LMOL312_0693
ko:K02392	lmol:LMOL312_0694
ko:K02556	lmol:LMOL312_0697
ko:K02557	lmol:LMOL312_0698
ko:K03415	lmol:LMOL312_0701
ko:K02406	lmol:LMOL312_0702
ko:K03413	lmol:LMOL312_0703
ko:K03407	lmol:LMOL312_0704
ko:K02417	lmol:LMOL312_0705
ko:K05845	lmol:LMOL312_1424
ko:K05846	lmol:LMOL312_1425
ko:K05847	lmol:LMOL312_1426
