ko:K18923	vcr:VC395_A0438
ko:K03311	vcr:VC395_0679
ko:K02836	vcr:VC395_0680
ko:K04567	vcr:VC395_0681
ko:K03573	vcr:VC395_0685
ko:K08311	vcr:VC395_0688
ko:K08484	vcr:VC395_0689
ko:K04046	vcr:VC395_1505
ko:K03800	vcr:VC395_1507
ko:K01669	vcr:VC395_1511
ko:K03413	vcr:VC395_1514
ko:K03407	vcr:VC395_1516
ko:K03413	vcr:VC395_1517
ko:K03412	vcr:VC395_1520
ko:K03408	vcr:VC395_1521
ko:K03543	vcr:VC395_1529
ko:K03446	vcr:VC395_1530
ko:K01299	vcr:VC395_1533
ko:K11903	vcr:VC395_1534
ko:K03310	vcr:VC395_1541
ko:K14058	vcr:VC395_1552
ko:K14055	vcr:VC395_1553
ko:K09792	vcr:VC395_1555
ko:K08307	vcr:VC395_2353
ko:K04751	vcr:VC395_2355
ko:K13727	vcr:VC395_2356
ko:K04075	vcr:VC395_2358
ko:K01962	vcr:VC395_2360
ko:K02337	vcr:VC395_2361
ko:K03470	vcr:VC395_2362
ko:K00748	vcr:VC395_2363
ko:K00677	vcr:VC395_2364
ko:K02372	vcr:VC395_2365
ko:K02536	vcr:VC395_2366
ko:K06142	vcr:VC395_2367
ko:K07277	vcr:VC395_2368
ko:K11749	vcr:VC395_2369
ko:K00099	vcr:VC395_2370
ko:K00981	vcr:VC395_2371
ko:K00806	vcr:VC395_2372
ko:K02838	vcr:VC395_2373
ko:K09903	vcr:VC395_2374
ko:K02357	vcr:VC395_2375
ko:K02967	vcr:VC395_2376
ko:K01265	vcr:VC395_2377
ko:K00990	vcr:VC395_2378
ko:K01095	vcr:VC395_2381
ko:K00946	vcr:VC395_2382
ko:K03625	vcr:VC395_2383
ko:K00794	vcr:VC395_2384
ko:K14652	vcr:VC395_2385
ko:K00793	vcr:VC395_2386
ko:K11752	vcr:VC395_2387
ko:K07738	vcr:VC395_2388
ko:K00147	vcr:VC395_2389
ko:K00931	vcr:VC395_2390
ko:K11926	vcr:VC395_2391
ko:K11750	vcr:VC395_2392
ko:K06901	vcr:VC395_2394
ko:K06987	vcr:VC395_2398
ko:K03308	vcr:VC395_2399
ko:K03823	vcr:VC395_A0337
ko:K06996	vcr:VC395_A0386
ko:K03098	vcr:VC395_A0395
ko:K13292	vcr:VC395_0691
ko:K03717	vcr:VC395_0694
ko:K02968	vcr:VC395_0696
ko:K03980	vcr:VC395_0697
ko:K11753	vcr:VC395_0698
ko:K01870	vcr:VC395_0699
ko:K03101	vcr:VC395_0700
ko:K03774	vcr:VC395_0701
ko:K03527	vcr:VC395_0702
ko:K07106	vcr:VC395_0707
ko:K09001	vcr:VC395_0708
ko:K01207	vcr:VC395_0709
ko:K02478	vcr:VC395_0711
ko:K01626	vcr:VC395_0712
ko:K14187	vcr:VC395_0713
ko:K08309	vcr:VC395_0717
ko:K03720	vcr:VC395_0718
ko:K14170	vcr:VC395_0722
ko:K05809	vcr:VC395_0723
ko:K05807	vcr:VC395_0725
ko:K06180	vcr:VC395_0726
ko:K05810	vcr:VC395_0727
ko:K03695	vcr:VC395_0728
ko:K08303	vcr:VC395_0734
ko:K03554	vcr:VC395_0735
ko:K07636	vcr:VC395_0737
ko:K02040	vcr:VC395_0738
ko:K01524	vcr:VC395_0739
ko:K00937	vcr:VC395_0740
ko:K02037	vcr:VC395_0741
ko:K09926	vcr:VC395_1558
ko:K00406	vcr:VC395_1559
ko:K00407	vcr:VC395_1560
ko:K00405	vcr:VC395_1561
ko:K00404	vcr:VC395_1562
ko:K12531	vcr:VC395_1566
ko:K09911	vcr:VC395_1601
ko:K04770	vcr:VC395_1602
ko:K01716	vcr:VC395_1603
ko:K03812	vcr:VC395_1604
ko:K15738	vcr:VC395_1606
ko:K12297	vcr:VC395_1608
ko:K02346	vcr:VC395_2403
ko:K05952	vcr:VC395_2404
ko:K03734	vcr:VC395_2405
ko:K00351	vcr:VC395_2406
ko:K00350	vcr:VC395_2407
ko:K00349	vcr:VC395_2408
ko:K00348	vcr:VC395_2409
ko:K00347	vcr:VC395_2410
ko:K00346	vcr:VC395_2411
ko:K05527	vcr:VC395_2412
ko:K07286	vcr:VC395_2414
ko:K08218	vcr:VC395_2416
ko:K03088	vcr:VC395_2418
ko:K07157	vcr:VC395_2419
ko:K05517	vcr:VC395_2421
ko:K00077	vcr:VC395_2423
ko:K03152	vcr:VC395_2424
ko:K01766	vcr:VC395_2425
ko:K02426	vcr:VC395_2426
ko:K08304	vcr:VC395_2428
ko:K14682	vcr:VC395_2432
ko:K03581	vcr:VC395_2435
ko:K03582	vcr:VC395_2436
ko:K03583	vcr:VC395_2438
ko:K09918	vcr:VC395_2442
ko:K07234	vcr:VC395_2445
ko:K16074	vcr:VC395_2449
ko:K06878	vcr:VC395_2451
ko:K03098	vcr:VC395_A0436
ko:K02048	vcr:VC395_A0447
ko:K02038	vcr:VC395_0742
ko:K02036	vcr:VC395_0743
ko:K02039	vcr:VC395_0744
ko:K04761	vcr:VC395_0749
ko:K01638	vcr:VC395_0751
ko:K01637	vcr:VC395_0753
ko:K07568	vcr:VC395_0756
ko:K00773	vcr:VC395_0758
ko:K03210	vcr:VC395_0759
ko:K03072	vcr:VC395_0760
ko:K03074	vcr:VC395_0761
ko:K15396	vcr:VC395_0763
ko:K13643	vcr:VC395_0764
ko:K04487	vcr:VC395_0765
ko:K04082	vcr:VC395_0768
ko:K04044	vcr:VC395_0769
ko:K04755	vcr:VC395_0770
ko:K07751	vcr:VC395_0772
ko:K00940	vcr:VC395_0773
ko:K06941	vcr:VC395_0774
ko:K15539	vcr:VC395_0775
ko:K03321	vcr:VC395_2146
ko:K01892	vcr:VC395_0777
ko:K03977	vcr:VC395_0780
ko:K03601	vcr:VC395_0783
ko:K01951	vcr:VC395_0785
ko:K01252	vcr:VC395_0788
ko:K02363	vcr:VC395_0789
ko:K02361	vcr:VC395_0790
ko:K00216	vcr:VC395_0791
ko:K02016	vcr:VC395_0793
ko:K02015	vcr:VC395_0794
ko:K02015	vcr:VC395_0795
ko:K01256	vcr:VC395_1614
ko:K03797	vcr:VC395_1616
ko:K03607	vcr:VC395_1617
ko:K03808	vcr:VC395_1620
ko:K00243	vcr:VC395_1623
ko:K01626	vcr:VC395_1626
ko:K09767	vcr:VC395_1627
ko:K12410	vcr:VC395_1628
ko:K00123	vcr:VC395_1632
ko:K02379	vcr:VC395_1638
ko:K05772	vcr:VC395_1642
ko:K05773	vcr:VC395_1643
ko:K03752	vcr:VC395_1645
ko:K03750	vcr:VC395_1646
ko:K03327	vcr:VC395_1657
ko:K03832	vcr:VC395_1661
ko:K02529	vcr:VC395_2452
ko:K07240	vcr:VC395_2454
ko:K02355	vcr:VC395_2457
ko:K04485	vcr:VC395_2458
ko:K01079	vcr:VC395_2460
ko:K01839	vcr:VC395_2463
ko:K03424	vcr:VC395_2468
ko:K09861	vcr:VC395_2470
ko:K03310	vcr:VC395_2471
ko:K03648	vcr:VC395_2474
ko:K01151	vcr:VC395_2475
ko:K01733	vcr:VC395_2477
ko:K00872	vcr:VC395_2478
ko:K12524	vcr:VC395_2479
ko:K02553	vcr:VC395_2481
ko:K07773	vcr:VC395_2483
ko:K07648	vcr:VC395_2484
ko:K07139	vcr:VC395_2486
ko:K00266	vcr:VC395_2489
ko:K00266	vcr:VC395_2492
ko:K02227	vcr:VC395_2495
ko:K07090	vcr:VC395_2499
ko:K01955	vcr:VC395_2504
ko:K07726	vcr:VC395_A0459
ko:K07341	vcr:VC395_A0465
ko:K02013	vcr:VC395_0796
ko:K02362	vcr:VC395_0797
ko:K03310	vcr:VC395_0801
ko:K00285	vcr:VC395_0803
ko:K10253	vcr:VC395_0805
ko:K07702	vcr:VC395_0807
ko:K07700	vcr:VC395_0808
ko:K01573	vcr:VC395_0811
ko:K01910	vcr:VC395_0813
ko:K01646	vcr:VC395_0814
ko:K01644	vcr:VC395_0815
ko:K01643	vcr:VC395_0816
ko:K05964	vcr:VC395_0817
ko:K09964	vcr:VC395_0819
ko:K03437	vcr:VC395_0820
ko:K07137	vcr:VC395_0823
ko:K07154	vcr:VC395_0832
ko:K11065	vcr:VC395_0840
ko:K03561	vcr:VC395_1663
ko:K03561	vcr:VC395_1664
ko:K05813	vcr:VC395_1666
ko:K02444	vcr:VC395_1670
ko:K01126	vcr:VC395_1671
ko:K02529	vcr:VC395_1674
ko:K01223	vcr:VC395_1675
ko:K03782	vcr:VC395_1677
ko:K02003	vcr:VC395_1684
ko:K00426	vcr:VC395_1686
ko:K00425	vcr:VC395_1687
ko:K09922	vcr:VC395_1690
ko:K09900	vcr:VC395_1692
ko:K03717	vcr:VC395_1696
ko:K05577	vcr:VC395_1697
ko:K09822	vcr:VC395_1698
ko:K03781	vcr:VC395_1701
ko:K01575	vcr:VC395_1705
ko:K01652	vcr:VC395_1706
ko:K00849	vcr:VC395_1711
ko:K00965	vcr:VC395_1712
ko:K01956	vcr:VC395_2505
ko:K00215	vcr:VC395_2506
ko:K03070	vcr:VC395_2509
ko:K02535	vcr:VC395_2511
ko:K03531	vcr:VC395_2512
ko:K03590	vcr:VC395_2513
ko:K03589	vcr:VC395_2514
ko:K01924	vcr:VC395_2515
ko:K02563	vcr:VC395_2516
ko:K03588	vcr:VC395_2517
ko:K01925	vcr:VC395_2518
ko:K01000	vcr:VC395_2519
ko:K01929	vcr:VC395_2520
ko:K01928	vcr:VC395_2521
ko:K03587	vcr:VC395_2522
ko:K03586	vcr:VC395_2523
ko:K03438	vcr:VC395_2524
ko:K00382	vcr:VC395_2527
ko:K00627	vcr:VC395_2528
ko:K00163	vcr:VC395_2529
ko:K07462	vcr:VC395_2532
ko:K03981	vcr:VC395_2533
ko:K03840	vcr:VC395_2535
ko:K03806	vcr:VC395_2536
ko:K00767	vcr:VC395_2537
ko:K02652	vcr:VC395_2539
ko:K02654	vcr:VC395_2541
ko:K00859	vcr:VC395_2542
ko:K09862	vcr:VC395_2544
ko:K02621	vcr:VC395_2545
ko:K02622	vcr:VC395_2546
ko:K07000	vcr:VC395_2547
ko:K03651	vcr:VC395_2548
ko:K09920	vcr:VC395_2549
ko:K12340	vcr:VC395_2551
ko:K03272	vcr:VC395_2552
ko:K00982	vcr:VC395_2553
ko:K08984	vcr:VC395_A0526
ko:K10804	vcr:VC395_A0532
ko:K02003	vcr:VC395_A0533
ko:K00012	vcr:VC395_A0535
ko:K07160	vcr:VC395_A0539
ko:K03834	vcr:VC395_A0542
ko:K08682	vcr:VC395_A0545
ko:K11927	vcr:VC395_A0546
ko:K01620	vcr:VC395_A0549
ko:K03924	vcr:VC395_A0551
ko:K09997	vcr:VC395_A0555
ko:K09999	vcr:VC395_A0556
ko:K03672	vcr:VC395_A0562
ko:K00648	vcr:VC395_A0563
ko:K00113	vcr:VC395_A0564
ko:K00112	vcr:VC395_A0565
ko:K10939	vcr:VC395_0861
ko:K03664	vcr:VC395_0864
ko:K09801	vcr:VC395_0866
ko:K06186	vcr:VC395_0867
ko:K03631	vcr:VC395_0868
ko:K00858	vcr:VC395_0869
ko:K03687	vcr:VC395_0870
ko:K04043	vcr:VC395_0871
ko:K03686	vcr:VC395_0872
ko:K02655	vcr:VC395_0873
ko:K08084	vcr:VC395_0874
ko:K02672	vcr:VC395_0875
ko:K02671	vcr:VC395_0877
ko:K11991	vcr:VC395_0880
ko:K01952	vcr:VC395_0885
ko:K01881	vcr:VC395_0891
ko:K02909	vcr:VC395_0894
ko:K02919	vcr:VC395_0895
ko:K09768	vcr:VC395_0897
ko:K06175	vcr:VC395_0904
ko:K01662	vcr:VC395_0905
ko:K00795	vcr:VC395_0906
ko:K03602	vcr:VC395_0907
ko:K03415	vcr:VC395_1718
ko:K01993	vcr:VC395_1723
ko:K00651	vcr:VC395_1727
ko:K02656	vcr:VC395_1728
ko:K07043	vcr:VC395_1733
ko:K09941	vcr:VC395_1737
ko:K12543	vcr:VC395_1739
ko:K13747	vcr:VC395_1741
ko:K00836	vcr:VC395_1743
ko:K03313	vcr:VC395_1744
ko:K02003	vcr:VC395_1747
ko:K07552	vcr:VC395_1751
ko:K02897	vcr:VC395_1757
ko:K07679	vcr:VC395_1770
ko:K06213	vcr:VC395_1772
ko:K07220	vcr:VC395_2556
ko:K03306	vcr:VC395_2557
ko:K07184	vcr:VC395_2558
ko:K02451	vcr:VC395_2559
ko:K01689	vcr:VC395_2562
ko:K01937	vcr:VC395_2563
ko:K03215	vcr:VC395_2567
ko:K07678	vcr:VC395_2568
ko:K00997	vcr:VC395_2572
ko:K03474	vcr:VC395_2573
ko:K03584	vcr:VC395_2574
ko:K03685	vcr:VC395_2576
ko:K03100	vcr:VC395_2577
ko:K03596	vcr:VC395_2578
ko:K03598	vcr:VC395_2580
ko:K03597	vcr:VC395_2581
ko:K03088	vcr:VC395_2582
ko:K00278	vcr:VC395_2584
ko:K09159	vcr:VC395_2586
ko:K06980	vcr:VC395_2587
ko:K03185	vcr:VC395_2590
ko:K09895	vcr:VC395_2591
ko:K09888	vcr:VC395_2592
ko:K01807	vcr:VC395_2594
ko:K01653	vcr:VC395_2596
ko:K01652	vcr:VC395_2597
ko:K05798	vcr:VC395_2599
ko:K01649	vcr:VC395_2604
ko:K00052	vcr:VC395_2605
ko:K01703	vcr:VC395_2606
ko:K01704	vcr:VC395_2607
ko:K00111	vcr:VC395_A0566
ko:K02440	vcr:VC395_A0568
ko:K00864	vcr:VC395_A0569
ko:K09802	vcr:VC395_A0572
ko:K09915	vcr:VC395_A0574
ko:K07461	vcr:VC395_A0575
ko:K02232	vcr:VC395_A0585
ko:K02020	vcr:VC395_A0586
ko:K02018	vcr:VC395_A0587
ko:K00021	vcr:VC395_A0589
ko:K03658	vcr:VC395_A0595
ko:K00901	vcr:VC395_A0598
ko:K08281	vcr:VC395_A0600
ko:K01734	vcr:VC395_A0601
ko:K11930	vcr:VC395_A0602
ko:K07647	vcr:VC395_A0603
ko:K00873	vcr:VC395_A0604
ko:K07783	vcr:VC395_A0605
ko:K08325	vcr:VC395_A0610
ko:K00975	vcr:VC395_A0613
ko:K03072	vcr:VC395_A0619
ko:K02556	vcr:VC395_0908
ko:K02557	vcr:VC395_0909
ko:K03151	vcr:VC395_0910
ko:K01146	vcr:VC395_0914
ko:K06966	vcr:VC395_0915
ko:K06879	vcr:VC395_0918
ko:K15723	vcr:VC395_0919
ko:K02073	vcr:VC395_0921
ko:K02072	vcr:VC395_0922
ko:K02071	vcr:VC395_0923
ko:K03273	vcr:VC395_0924
ko:K03485	vcr:VC395_0925
ko:K02818	vcr:VC395_0926
ko:K02819	vcr:VC395_0926
ko:K02472	vcr:VC395_0934
ko:K00640	vcr:VC395_0935
ko:K00640	vcr:VC395_0939
ko:K01912	vcr:VC395_0940
ko:K05946	vcr:VC395_0943
ko:K00600	vcr:VC395_0956
ko:K03644	vcr:VC395_0958
ko:K03801	vcr:VC395_0959
ko:K09158	vcr:VC395_0960
ko:K03837	vcr:VC395_1775
ko:K01993	vcr:VC395_1776
ko:K06938	vcr:VC395_1780
ko:K05777	vcr:VC395_1782
ko:K05778	vcr:VC395_1783
ko:K05779	vcr:VC395_1784
ko:K03308	vcr:VC395_1787
ko:K06131	vcr:VC395_1788
ko:K01246	vcr:VC395_1790
ko:K03970	vcr:VC395_1795
ko:K03969	vcr:VC395_1796
ko:K03974	vcr:VC395_1797
ko:K07407	vcr:VC395_1808
ko:K07811	vcr:VC395_1810
ko:K03532	vcr:VC395_1811
ko:K06190	vcr:VC395_1818
ko:K10806	vcr:VC395_1819
ko:K09780	vcr:VC395_1820
ko:K00549	vcr:VC395_1822
ko:K03576	vcr:VC395_1823
ko:K11720	vcr:VC395_2613
ko:K07091	vcr:VC395_2614
ko:K01255	vcr:VC395_2615
ko:K02339	vcr:VC395_2616
ko:K01873	vcr:VC395_2617
ko:K03580	vcr:VC395_2620
ko:K07175	vcr:VC395_2621
ko:K00611	vcr:VC395_2622
ko:K00609	vcr:VC395_2624
ko:K00610	vcr:VC395_2625
ko:K00655	vcr:VC395_2627
ko:K00790	vcr:VC395_2628
ko:K07122	vcr:VC395_2630
ko:K07323	vcr:VC395_2631
ko:K02066	vcr:VC395_2633
ko:K02065	vcr:VC395_2634
ko:K07301	vcr:VC395_2636
ko:K06041	vcr:VC395_2637
ko:K03270	vcr:VC395_2638
ko:K11719	vcr:VC395_2639
ko:K09774	vcr:VC395_2640
ko:K06861	vcr:VC395_2641
ko:K03092	vcr:VC395_2642
ko:K05808	vcr:VC395_2643
ko:K06958	vcr:VC395_2645
ko:K06213	vcr:VC395_2647
ko:K03592	vcr:VC395_2648
ko:K09889	vcr:VC395_2649
ko:K02063	vcr:VC395_2651
ko:K02064	vcr:VC395_2652
ko:K03186	vcr:VC395_2654
ko:K03074	vcr:VC395_A0620
ko:K00023	vcr:VC395_A0621
ko:K03821	vcr:VC395_A0624
ko:K02011	vcr:VC395_A0626
ko:K02012	vcr:VC395_A0627
ko:K07783	vcr:VC395_A0628
ko:K02568	vcr:VC395_A0633
ko:K02567	vcr:VC395_A0634
ko:K02570	vcr:VC395_A0635
ko:K02572	vcr:VC395_A0636
ko:K07674	vcr:VC395_A0637
ko:K07685	vcr:VC395_A0638
ko:K01752	vcr:VC395_A0646
ko:K00111	vcr:VC395_A0655
ko:K00847	vcr:VC395_A0656
ko:K01193	vcr:VC395_A0657
ko:K03484	vcr:VC395_A0658
ko:K06996	vcr:VC395_A0667
ko:K07112	vcr:VC395_A0671
ko:K07112	vcr:VC395_A0672
ko:K03642	vcr:VC395_0963
ko:K05837	vcr:VC395_0964
ko:K05515	vcr:VC395_0965
ko:K00783	vcr:VC395_0966
ko:K09710	vcr:VC395_0967
ko:K02340	vcr:VC395_0968
ko:K03643	vcr:VC395_0969
ko:K01869	vcr:VC395_0971
ko:K03820	vcr:VC395_0973
ko:K06189	vcr:VC395_0974
ko:K07042	vcr:VC395_0975
ko:K06168	vcr:VC395_0977
ko:K03184	vcr:VC395_0978
ko:K01738	vcr:VC395_0983
ko:K06203	vcr:VC395_0984
ko:K03528	vcr:VC395_0985
ko:K01972	vcr:VC395_0986
ko:K07340	vcr:VC395_0990
ko:K05838	vcr:VC395_0992
ko:K07071	vcr:VC395_0995
ko:K07095	vcr:VC395_0996
ko:K07401	vcr:VC395_0997
ko:K04079	vcr:VC395_1000
ko:K01772	vcr:VC395_1002
ko:K03305	vcr:VC395_1003
ko:K01953	vcr:VC395_1006
ko:K02565	vcr:VC395_1008
ko:K01443	vcr:VC395_1009
ko:K01886	vcr:VC395_1012
ko:K03632	vcr:VC395_1831
ko:K03804	vcr:VC395_1832
ko:K03633	vcr:VC395_1833
ko:K06219	vcr:VC395_1834
ko:K03533	vcr:VC395_1837
ko:K00703	vcr:VC395_1843
ko:K00975	vcr:VC395_1844
ko:K03168	vcr:VC395_1846
ko:K00800	vcr:VC395_1848
ko:K00684	vcr:VC395_1851
ko:K02518	vcr:VC395_1853
ko:K03808	vcr:VC395_1868
ko:K06192	vcr:VC395_1869
ko:K09857	vcr:VC395_1870
ko:K01153	vcr:VC395_1879
ko:K01154	vcr:VC395_1882
ko:K02558	vcr:VC395_2655
ko:K03841	vcr:VC395_2657
ko:K09800	vcr:VC395_2660
ko:K07278	vcr:VC395_2661
ko:K07109	vcr:VC395_2663
ko:K02003	vcr:VC395_2666
ko:K09950	vcr:VC395_2668
ko:K00860	vcr:VC395_2670
ko:K00957	vcr:VC395_2672
ko:K05591	vcr:VC395_2676
ko:K07269	vcr:VC395_2679
ko:K03773	vcr:VC395_2680
ko:K02879	vcr:VC395_2683
ko:K03040	vcr:VC395_2684
ko:K02986	vcr:VC395_2685
ko:K02948	vcr:VC395_2686
ko:K02952	vcr:VC395_2687
ko:K02919	vcr:VC395_2688
ko:K03076	vcr:VC395_2689
ko:K02876	vcr:VC395_2690
ko:K02907	vcr:VC395_2691
ko:K02988	vcr:VC395_2692
ko:K02881	vcr:VC395_2693
ko:K02933	vcr:VC395_2694
ko:K02994	vcr:VC395_2695
ko:K02954	vcr:VC395_2696
ko:K02931	vcr:VC395_2697
ko:K02895	vcr:VC395_2698
ko:K02874	vcr:VC395_2699
ko:K02961	vcr:VC395_2700
ko:K02904	vcr:VC395_2701
ko:K02878	vcr:VC395_2702
ko:K02982	vcr:VC395_2703
ko:K02890	vcr:VC395_2704
ko:K02965	vcr:VC395_2705
ko:K02886	vcr:VC395_2706
ko:K02892	vcr:VC395_2707
ko:K02926	vcr:VC395_2708
ko:K10679	vcr:VC395_A0675
ko:K06967	vcr:VC395_A0678
ko:K02442	vcr:VC395_A0679
ko:K16087	vcr:VC395_A0690
ko:K00615	vcr:VC395_A0691
ko:K03750	vcr:VC395_A0698
ko:K01495	vcr:VC395_A0699
ko:K12267	vcr:VC395_A0700
ko:K01938	vcr:VC395_A0701
ko:K03282	vcr:VC395_A0703
ko:K06140	vcr:VC395_A0708
ko:K05306	vcr:VC395_A0709
ko:K00823	vcr:VC395_A0710
ko:K03430	vcr:VC395_A0711
ko:K02012	vcr:VC395_A0712
ko:K02011	vcr:VC395_A0714
ko:K09712	vcr:VC395_A0720
ko:K13893	vcr:VC395_A0723
ko:K13894	vcr:VC395_A0724
ko:K13895	vcr:VC395_A0725
ko:K13896	vcr:VC395_A0726
ko:K06173	vcr:VC395_1014
ko:K01963	vcr:VC395_1015
ko:K11754	vcr:VC395_1016
ko:K03749	vcr:VC395_1017
ko:K03558	vcr:VC395_1018
ko:K00764	vcr:VC395_1019
ko:K07084	vcr:VC395_1020
ko:K03683	vcr:VC395_1021
ko:K10773	vcr:VC395_1026
ko:K03702	vcr:VC395_1033
ko:K03639	vcr:VC395_1038
ko:K03638	vcr:VC395_1039
ko:K03637	vcr:VC395_1040
ko:K03636	vcr:VC395_1041
ko:K01534	vcr:VC395_1047
ko:K00757	vcr:VC395_1048
ko:K01874	vcr:VC395_1050
ko:K00876	vcr:VC395_1052
ko:K07289	vcr:VC395_1053
ko:K06076	vcr:VC395_1056
ko:K06076	vcr:VC395_1057
ko:K03088	vcr:VC395_1059
ko:K09790	vcr:VC395_1066
ko:K03427	vcr:VC395_1883
ko:K00885	vcr:VC395_1896
ko:K01443	vcr:VC395_1897
ko:K07733	vcr:VC395_1899
ko:K03630	vcr:VC395_1900
ko:K01695	vcr:VC395_1288
ko:K03684	vcr:VC395_2099
ko:K07285	vcr:VC395_2102
ko:K01433	vcr:VC395_2107
ko:K04773	vcr:VC395_2109
ko:K09916	vcr:VC395_2111
ko:K00134	vcr:VC395_2115
ko:K01792	vcr:VC395_2116
ko:K00563	vcr:VC395_2118
ko:K03415	vcr:VC395_2121
ko:K15545	vcr:VC395_2122
ko:K00873	vcr:VC395_2123
ko:K03308	vcr:VC395_2127
ko:K03424	vcr:VC395_2129
ko:K02341	vcr:VC395_2130
ko:K00943	vcr:VC395_2131
ko:K07082	vcr:VC395_2132
ko:K09458	vcr:VC395_2134
ko:K02078	vcr:VC395_2135
ko:K00645	vcr:VC395_2137
ko:K00648	vcr:VC395_2138
ko:K03621	vcr:VC395_2139
ko:K02911	vcr:VC395_2140
ko:K07040	vcr:VC395_2141
ko:K08300	vcr:VC395_2145
ko:K04072	vcr:VC395_2148
ko:K01354	vcr:VC395_A0056
ko:K02040	vcr:VC395_A0063
ko:K02037	vcr:VC395_A0064
ko:K02038	vcr:VC395_A0065
ko:K02036	vcr:VC395_A0066
ko:K03321	vcr:VC395_A0071
ko:K13639	vcr:VC395_A0077
ko:K00763	vcr:VC395_A0091
ko:K11900	vcr:VC395_A0101
ko:K11905	vcr:VC395_A0102
ko:K11896	vcr:VC395_A0103
ko:K11895	vcr:VC395_A0104
ko:K11906	vcr:VC395_A0106
ko:K11892	vcr:VC395_A0108
