ko:K18919	seep:I137_07860
ko:K03747	seep:I137_19980
ko:K13641	seep:I137_20070
ko:K00548	seep:I137_20080
ko:K06920	seep:I137_11430
ko:K12500	seep:I137_11435
ko:K02237	seep:I137_11440
ko:K03770	seep:I137_11445
ko:K03530	seep:I137_11450
ko:K01338	seep:I137_11455
ko:K03544	seep:I137_11460
ko:K01358	seep:I137_11465
ko:K03545	seep:I137_11470
ko:K05527	seep:I137_11475
ko:K07286	seep:I137_11480
ko:K08218	seep:I137_11485
ko:K02297	seep:I137_11490
ko:K02298	seep:I137_11495
ko:K02299	seep:I137_11500
ko:K02300	seep:I137_11505
ko:K09767	seep:I137_11525
ko:K00077	seep:I137_11530
ko:K03152	seep:I137_11535
ko:K05306	seep:I137_11540
ko:K03430	seep:I137_11545
ko:K11081	seep:I137_11560
ko:K11084	seep:I137_11565
ko:K11082	seep:I137_11570
ko:K00147	seep:I137_12395
ko:K00931	seep:I137_12400
ko:K11926	seep:I137_12410
ko:K11750	seep:I137_12415
ko:K02839	seep:I137_12430
ko:K02346	seep:I137_12435
ko:K03271	seep:I137_12450
ko:K07347	seep:I137_12500
ko:K00549	seep:I137_16605
ko:K03576	seep:I137_16610
ko:K05834	seep:I137_16630
ko:K05835	seep:I137_16635
ko:K03654	seep:I137_16640
ko:K01058	seep:I137_16645
ko:K05786	seep:I137_16655
ko:K03284	seep:I137_16670
ko:K03657	seep:I137_16675
ko:K03733	seep:I137_16685
ko:K09921	seep:I137_16690
ko:K01778	seep:I137_16695
ko:K06202	seep:I137_16715
ko:K05851	seep:I137_16720
ko:K01749	seep:I137_16725
ko:K02853	seep:I137_16770
ko:K12582	seep:I137_16775
ko:K16693	seep:I137_16780
ko:K02805	seep:I137_16785
ko:K16704	seep:I137_16790
ko:K02472	seep:I137_16805
ko:K05790	seep:I137_16815
ko:K03628	seep:I137_16825
ko:K03671	seep:I137_16830
ko:K03732	seep:I137_16835
ko:K01524	seep:I137_16840
ko:K03656	seep:I137_16845
ko:K00053	seep:I137_16860
ko:K02302	seep:I137_19625
ko:K02598	seep:I137_19630
ko:K00363	seep:I137_19635
ko:K00362	seep:I137_19640
ko:K06141	seep:I137_19645
ko:K04095	seep:I137_19660
ko:K07397	seep:I137_19685
ko:K00855	seep:I137_19690
ko:K06158	seep:I137_19715
ko:K07070	seep:I137_19730
ko:K03775	seep:I137_19735
ko:K03745	seep:I137_19740
ko:K07235	seep:I137_19755
ko:K07236	seep:I137_19760
ko:K07237	seep:I137_19765
ko:K02950	seep:I137_19770
ko:K02992	seep:I137_19775
ko:K02355	seep:I137_19780
ko:K02358	seep:I137_19785
ko:K02192	seep:I137_19790
ko:K03594	seep:I137_19795
ko:K02946	seep:I137_19805
ko:K02906	seep:I137_19810
ko:K02926	seep:I137_19815
ko:K02892	seep:I137_19820
ko:K02886	seep:I137_19825
ko:K02965	seep:I137_19830
ko:K02890	seep:I137_19835
ko:K02982	seep:I137_19840
ko:K02878	seep:I137_19845
ko:K02904	seep:I137_19850
ko:K02961	seep:I137_19855
ko:K02874	seep:I137_19860
ko:K02895	seep:I137_19865
ko:K02931	seep:I137_19870
ko:K02954	seep:I137_19875
ko:K02994	seep:I137_19880
ko:K02933	seep:I137_19885
ko:K02881	seep:I137_19890
ko:K02988	seep:I137_19895
ko:K02907	seep:I137_19900
ko:K03527	seep:I137_00235
ko:K12700	seep:I137_00245
ko:K07702	seep:I137_00250
ko:K07700	seep:I137_00255
ko:K02182	seep:I137_00330
ko:K08298	seep:I137_00335
ko:K08297	seep:I137_00340
ko:K03521	seep:I137_00345
ko:K08368	seep:I137_00365
ko:K05801	seep:I137_00440
ko:K03580	seep:I137_00450
ko:K02336	seep:I137_00455
ko:K01804	seep:I137_00475
ko:K04744	seep:I137_00435
ko:K01579	seep:I137_00880
ko:K01918	seep:I137_00885
ko:K00606	seep:I137_00890
ko:K00950	seep:I137_00895
ko:K01894	seep:I137_00905
ko:K06204	seep:I137_00910
ko:K06206	seep:I137_00915
ko:K01975	seep:I137_00920
ko:K03579	seep:I137_00925
ko:K05365	seep:I137_00930
ko:K02013	seep:I137_00940
ko:K01845	seep:I137_00980
ko:K03281	seep:I137_00985
ko:K15724	seep:I137_00990
ko:K01129	seep:I137_01010
ko:K03590	seep:I137_00620
ko:K03531	seep:I137_00625
ko:K02535	seep:I137_00630
ko:K13301	seep:I137_00635
ko:K03070	seep:I137_00640
ko:K09862	seep:I137_00660
ko:K00859	seep:I137_00670
ko:K00364	seep:I137_00675
ko:K02505	seep:I137_00680
ko:K02504	seep:I137_00685
ko:K02062	seep:I137_00495
ko:K01573	seep:I137_00270
ko:K01646	seep:I137_00285
ko:K01643	seep:I137_00290
ko:K05964	seep:I137_00295
ko:K00215	seep:I137_00305
ko:K01956	seep:I137_00310
ko:K08277	seep:I137_00315
ko:K02682	seep:I137_00690
ko:K00767	seep:I137_00695
ko:K03806	seep:I137_00700
ko:K03807	seep:I137_00705
ko:K11734	seep:I137_00720
ko:K00163	seep:I137_00730
ko:K00627	seep:I137_00735
ko:K00382	seep:I137_00740
ko:K09910	seep:I137_00780
ko:K02526	seep:I137_00785
ko:K01611	seep:I137_00805
ko:K00797	seep:I137_00810
ko:K14588	seep:I137_00820
ko:K00117	seep:I137_00825
ko:K00760	seep:I137_00830
ko:K01673	seep:I137_00835
ko:K02063	seep:I137_00500
ko:K02064	seep:I137_00505
ko:K11925	seep:I137_00510
ko:K01704	seep:I137_00525
ko:K00052	seep:I137_00535
ko:K05798	seep:I137_00545
ko:K01653	seep:I137_00550
ko:K03435	seep:I137_00555
ko:K03925	seep:I137_00560
ko:K03438	seep:I137_00565
ko:K03586	seep:I137_00570
ko:K03587	seep:I137_00575
ko:K01928	seep:I137_00580
ko:K01929	seep:I137_00585
ko:K01000	seep:I137_00590
ko:K01925	seep:I137_00595
ko:K01924	seep:I137_00605
ko:K03589	seep:I137_00615
ko:K11746	seep:I137_00395
ko:K06195	seep:I137_00415
ko:K02528	seep:I137_00420
ko:K00097	seep:I137_00425
ko:K03771	seep:I137_00430
ko:K02073	seep:I137_01190
ko:K02072	seep:I137_01195
ko:K02071	seep:I137_01200
ko:K03273	seep:I137_01205
ko:K05811	seep:I137_01245
ko:K06080	seep:I137_01185
ko:K00998	seep:I137_01250
ko:K15396	seep:I137_01505
ko:K13643	seep:I137_01510
ko:K04487	seep:I137_01515
ko:K04082	seep:I137_01530
ko:K04044	seep:I137_01535
ko:K04755	seep:I137_01540
ko:K07751	seep:I137_01550
ko:K06894	seep:I137_01570
ko:K05367	seep:I137_01580
ko:K07306	seep:I137_01585
ko:K00940	seep:I137_01605
ko:K06941	seep:I137_01610
ko:K15539	seep:I137_01615
ko:K11991	seep:I137_01405
ko:K01952	seep:I137_01415
ko:K07711	seep:I137_01420
ko:K07715	seep:I137_01430
ko:K04751	seep:I137_01435
ko:K03305	seep:I137_01440
ko:K03765	seep:I137_01455
ko:K05916	seep:I137_01460
ko:K00600	seep:I137_01465
ko:K05820	seep:I137_01470
ko:K04075	seep:I137_01145
ko:K15034	seep:I137_01165
ko:K06079	seep:I137_01170
ko:K01881	seep:I137_01175
ko:K03214	seep:I137_01270
ko:K03648	seep:I137_01275
ko:K05590	seep:I137_01295
ko:K00278	seep:I137_01305
ko:K03088	seep:I137_01310
ko:K03597	seep:I137_01315
ko:K03598	seep:I137_01320
ko:K03596	seep:I137_01330
ko:K03100	seep:I137_01335
ko:K03685	seep:I137_01340
ko:K03584	seep:I137_01350
ko:K03474	seep:I137_01355
ko:K00997	seep:I137_01360
ko:K08177	seep:I137_01375
ko:K00077	seep:I137_01380
ko:K07106	seep:I137_01390
ko:K00990	seep:I137_01035
ko:K01265	seep:I137_01040
ko:K02967	seep:I137_01045
ko:K02357	seep:I137_01050
ko:K09903	seep:I137_01055
ko:K02838	seep:I137_01060
ko:K00099	seep:I137_01065
ko:K00806	seep:I137_01070
ko:K00981	seep:I137_01075
ko:K11749	seep:I137_01080
ko:K07277	seep:I137_01085
ko:K06142	seep:I137_01090
ko:K02536	seep:I137_01095
ko:K02372	seep:I137_01100
ko:K00677	seep:I137_01105
ko:K00748	seep:I137_01110
ko:K03470	seep:I137_01115
ko:K02337	seep:I137_01120
ko:K01962	seep:I137_01125
ko:K03736	seep:I137_01910
ko:K04025	seep:I137_01920
ko:K04033	seep:I137_01925
ko:K01448	seep:I137_01940
ko:K07223	seep:I137_01960
ko:K02048	seep:I137_01970
ko:K03735	seep:I137_01905
ko:K01923	seep:I137_01775
ko:K07674	seep:I137_01805
ko:K12945	seep:I137_01825
ko:K00029	seep:I137_01850
ko:K04031	seep:I137_01855
ko:K04029	seep:I137_01860
ko:K04030	seep:I137_01865
ko:K04032	seep:I137_01870
ko:K04020	seep:I137_01875
ko:K04024	seep:I137_01890
ko:K04022	seep:I137_01895
ko:K04019	seep:I137_01900
ko:K00615	seep:I137_01840
ko:K01892	seep:I137_01625
ko:K03977	seep:I137_01640
ko:K13735	seep:I137_01650
ko:K01951	seep:I137_01675
ko:K01524	seep:I137_01695
ko:K00937	seep:I137_01700
ko:K11175	seep:I137_01705
ko:K01933	seep:I137_01710
ko:K00761	seep:I137_01715
ko:K10763	seep:I137_01725
ko:K02647	seep:I137_01740
ko:K00865	seep:I137_01750
ko:K05515	seep:I137_10590
ko:K05837	seep:I137_10595
ko:K09158	seep:I137_10610
ko:K03801	seep:I137_10615
ko:K03644	seep:I137_10625
ko:K03425	seep:I137_10630
ko:K06199	seep:I137_10640
ko:K03704	seep:I137_10645
ko:K12973	seep:I137_10650
ko:K07702	seep:I137_10660
ko:K07700	seep:I137_10665
ko:K01910	seep:I137_10670
ko:K01646	seep:I137_10675
ko:K01644	seep:I137_10680
ko:K05964	seep:I137_10690
ko:K01169	seep:I137_10710
ko:K06140	seep:I137_10715
ko:K11932	seep:I137_10725
ko:K03387	seep:I137_10750
ko:K03805	seep:I137_10760
ko:K14287	seep:I137_10775
ko:K08317	seep:I137_10780
ko:K06200	seep:I137_10790
ko:K00216	seep:I137_10800
ko:K01252	seep:I137_10805
ko:K02016	seep:I137_10820
ko:K02015	seep:I137_10830
ko:K02013	seep:I137_10835
ko:K02362	seep:I137_10860
ko:K11903	seep:I137_14985
ko:K08191	seep:I137_15000
ko:K01686	seep:I137_15005
ko:K01812	seep:I137_15015
ko:K01460	seep:I137_15025
ko:K02016	seep:I137_15030
ko:K04653	seep:I137_15035
ko:K04651	seep:I137_15040
ko:K03561	seep:I137_15115
ko:K08325	seep:I137_15140
ko:K00655	seep:I137_15190
ko:K13652	seep:I137_15200
ko:K03923	seep:I137_15220
ko:K02622	seep:I137_15230
ko:K07000	seep:I137_15235
ko:K03651	seep:I137_15240
ko:K02196	seep:I137_18010
ko:K02197	seep:I137_18015
ko:K02198	seep:I137_18020
ko:K02199	seep:I137_18025
ko:K04080	seep:I137_18040
ko:K04081	seep:I137_18045
ko:K07085	seep:I137_18050
ko:K06871	seep:I137_18070
ko:K01753	seep:I137_18075
ko:K13629	seep:I137_18080
ko:K08154	seep:I137_18090
ko:K01652	seep:I137_18105
ko:K01653	seep:I137_18110
ko:K11534	seep:I137_18115
ko:K02429	seep:I137_18125
ko:K07675	seep:I137_18140
ko:K07726	seep:I137_18160
ko:K01223	seep:I137_18175
ko:K17465	seep:I137_18195
ko:K17466	seep:I137_18200
ko:K17467	seep:I137_18205
ko:K17468	seep:I137_18210
ko:K07507	seep:I137_18230
ko:K01531	seep:I137_18235
ko:K03151	seep:I137_11575
ko:K03602	seep:I137_11580
ko:K00795	seep:I137_11585
ko:K01662	seep:I137_11590
ko:K01095	seep:I137_11600
ko:K00946	seep:I137_11605
ko:K03625	seep:I137_11610
ko:K00794	seep:I137_11615
ko:K11752	seep:I137_11620
ko:K07738	seep:I137_11625
ko:K05517	seep:I137_11635
ko:K06996	seep:I137_11655
ko:K03074	seep:I137_11660
ko:K03072	seep:I137_11665
ko:K03210	seep:I137_11670
ko:K00773	seep:I137_11675
ko:K07568	seep:I137_11680
ko:K02899	seep:I137_15795
ko:K02888	seep:I137_15800
ko:K02523	seep:I137_15805
ko:K00790	seep:I137_15815
ko:K07122	seep:I137_15825
ko:K07323	seep:I137_15830
ko:K02066	seep:I137_15840
ko:K02065	seep:I137_15845
ko:K06041	seep:I137_15855
ko:K03270	seep:I137_15860
ko:K11719	seep:I137_15865
ko:K09774	seep:I137_15870
ko:K06861	seep:I137_15875
ko:K03092	seep:I137_15880
ko:K05808	seep:I137_15885
ko:K06958	seep:I137_15895
ko:K03814	seep:I137_15910
ko:K07648	seep:I137_15920
ko:K07139	seep:I137_15925
ko:K00266	seep:I137_15945
ko:K10974	seep:I137_15955
ko:K00885	seep:I137_15970
ko:K03290	seep:I137_15980
ko:K03600	seep:I137_15995
ko:K03599	seep:I137_16000
ko:K02996	seep:I137_16010
ko:K02871	seep:I137_16015
ko:K06916	seep:I137_16020
ko:K09908	seep:I137_16025
ko:K01573	seep:I137_16055
ko:K07726	seep:I137_18805
ko:K03826	seep:I137_18830
ko:K01246	seep:I137_18835
ko:K12975	seep:I137_18860
ko:K12368	seep:I137_18885
ko:K12369	seep:I137_18890
ko:K12370	seep:I137_18895
ko:K00694	seep:I137_18950
ko:K11103	seep:I137_18970
ko:K00874	seep:I137_18980
ko:K07290	seep:I137_18990
