ko:K07489	ypj:CH55_3572
ko:K00940	ypj:CH55_1399
ko:K07751	ypj:CH55_1406
ko:K04755	ypj:CH55_1408
ko:K04044	ypj:CH55_1409
ko:K04082	ypj:CH55_1410
ko:K13628	ypj:CH55_1411
ko:K04488	ypj:CH55_1412
ko:K04487	ypj:CH55_1413
ko:K13643	ypj:CH55_1414
ko:K15396	ypj:CH55_1415
ko:K01092	ypj:CH55_1416
ko:K07491	ypj:CH55_1417
ko:K05820	ypj:CH55_1420
ko:K16078	ypj:CH55_1422
ko:K00600	ypj:CH55_1423
ko:K05916	ypj:CH55_1424
ko:K04751	ypj:CH55_1427
ko:K01950	ypj:CH55_1428
ko:K07715	ypj:CH55_1429
ko:K07711	ypj:CH55_1431
ko:K07491	ypj:CH55_1432
ko:K01952	ypj:CH55_1436
ko:K18691	ypj:CH55_1437
ko:K11991	ypj:CH55_1438
ko:K18697	ypj:CH55_1439
ko:K07106	ypj:CH55_1440
ko:K07491	ypj:CH55_1443
ko:K00997	ypj:CH55_1444
ko:K03474	ypj:CH55_1445
ko:K03584	ypj:CH55_1446
ko:K03685	ypj:CH55_1448
ko:K06177	ypj:CH55_2239
ko:K11902	ypj:CH55_2241
ko:K11901	ypj:CH55_2242
ko:K11900	ypj:CH55_2243
ko:K11903	ypj:CH55_2244
ko:K11897	ypj:CH55_2245
ko:K11896	ypj:CH55_2246
ko:K11895	ypj:CH55_2247
ko:K11907	ypj:CH55_2248
ko:K11904	ypj:CH55_2249
ko:K11906	ypj:CH55_2254
ko:K11893	ypj:CH55_2255
ko:K11892	ypj:CH55_2256
ko:K11892	ypj:CH55_2257
ko:K11891	ypj:CH55_2258
ko:K03580	ypj:CH55_2260
ko:K02336	ypj:CH55_2261
ko:K02062	ypj:CH55_2263
ko:K02063	ypj:CH55_2264
ko:K02064	ypj:CH55_2265
ko:K11925	ypj:CH55_2267
ko:K03291	ypj:CH55_2268
ko:K01704	ypj:CH55_2269
ko:K01703	ypj:CH55_2270
ko:K00052	ypj:CH55_2271
ko:K01649	ypj:CH55_2272
ko:K07491	ypj:CH55_2273
ko:K07491	ypj:CH55_2274
ko:K05798	ypj:CH55_2276
ko:K01897	ypj:CH55_2277
ko:K01652	ypj:CH55_2278
ko:K01653	ypj:CH55_2279
ko:K07491	ypj:CH55_2280
ko:K03435	ypj:CH55_2281
ko:K03925	ypj:CH55_2283
ko:K03438	ypj:CH55_2284
ko:K03586	ypj:CH55_2285
ko:K03587	ypj:CH55_2286
ko:K01928	ypj:CH55_2287
ko:K01929	ypj:CH55_2288
ko:K01000	ypj:CH55_2289
ko:K01925	ypj:CH55_2290
ko:K03588	ypj:CH55_2291
ko:K03832	ypj:CH55_3087
ko:K00382	ypj:CH55_3088
ko:K04761	ypj:CH55_3091
ko:K00322	ypj:CH55_3090
ko:K00557	ypj:CH55_3095
ko:K16092	ypj:CH55_3096
ko:K01776	ypj:CH55_3097
ko:K02058	ypj:CH55_3104
ko:K02056	ypj:CH55_3105
ko:K02057	ypj:CH55_3106
ko:K02057	ypj:CH55_3108
ko:K09897	ypj:CH55_3109
ko:K07391	ypj:CH55_3110
ko:K01652	ypj:CH55_3111
ko:K11258	ypj:CH55_3112
ko:K00826	ypj:CH55_3113
ko:K01687	ypj:CH55_3114
ko:K01687	ypj:CH55_3115
ko:K01754	ypj:CH55_3116
ko:K02521	ypj:CH55_3122
ko:K00053	ypj:CH55_3123
ko:K07347	ypj:CH55_3131
ko:K07347	ypj:CH55_3132
ko:K07346	ypj:CH55_3133
ko:K07345	ypj:CH55_3134
ko:K03769	ypj:CH55_3137
ko:K03656	ypj:CH55_3138
ko:K01524	ypj:CH55_3139
ko:K00941	ypj:CH55_3959
ko:K08303	ypj:CH55_3965
ko:K09946	ypj:CH55_3966
ko:K07664	ypj:CH55_3967
ko:K07642	ypj:CH55_3968
ko:K18326	ypj:CH55_3969
ko:K07789	ypj:CH55_3970
ko:K07788	ypj:CH55_3971
ko:K07799	ypj:CH55_3972
ko:K02052	ypj:CH55_3973
ko:K00375	ypj:CH55_3974
ko:K00823	ypj:CH55_3975
ko:K02055	ypj:CH55_3976
ko:K02054	ypj:CH55_3977
ko:K02053	ypj:CH55_3978
ko:K04046	ypj:CH55_3979
ko:K06213	ypj:CH55_3980
ko:K06213	ypj:CH55_3981
ko:K01524	ypj:CH55_3982
ko:K00937	ypj:CH55_3983
ko:K02037	ypj:CH55_3984
ko:K02037	ypj:CH55_3985
ko:K03723	ypj:CH55_200
ko:K09808	ypj:CH55_201
ko:K09810	ypj:CH55_202
ko:K09808	ypj:CH55_203
ko:K00884	ypj:CH55_204
ko:K12410	ypj:CH55_205
ko:K01258	ypj:CH55_206
ko:K18850	ypj:CH55_207
ko:K07637	ypj:CH55_208
ko:K07660	ypj:CH55_209
ko:K01756	ypj:CH55_211
ko:K07153	ypj:CH55_212
ko:K00566	ypj:CH55_213
ko:K12152	ypj:CH55_214
ko:K06181	ypj:CH55_215
ko:K00031	ypj:CH55_216
ko:K03776	ypj:CH55_219
ko:K01093	ypj:CH55_223
ko:K03719	ypj:CH55_226
ko:K01190	ypj:CH55_229
ko:K03704	ypj:CH55_230
ko:K05876	ypj:CH55_232
ko:K05876	ypj:CH55_233
ko:K07507	ypj:CH55_234
ko:K01531	ypj:CH55_235
ko:K01531	ypj:CH55_236
ko:K02403	ypj:CH55_237
ko:K02402	ypj:CH55_238
ko:K02556	ypj:CH55_239
ko:K02557	ypj:CH55_240
ko:K03407	ypj:CH55_241
ko:K03408	ypj:CH55_242
ko:K05877	ypj:CH55_252
ko:K00575	ypj:CH55_253
ko:K01641	ypj:CH55_1082
ko:K00059	ypj:CH55_1083
ko:K00647	ypj:CH55_1084
ko:K02372	ypj:CH55_1085
ko:K11179	ypj:CH55_1095
ko:K01512	ypj:CH55_1096
ko:K06969	ypj:CH55_1097
ko:K11940	ypj:CH55_1098
ko:K06929	ypj:CH55_1099
ko:K09909	ypj:CH55_1100
ko:K03412	ypj:CH55_254
ko:K03413	ypj:CH55_255
ko:K03414	ypj:CH55_256
ko:K01775	ypj:CH55_262
ko:K04072	ypj:CH55_271
ko:K15580	ypj:CH55_273
ko:K15581	ypj:CH55_274
ko:K15582	ypj:CH55_275
ko:K15583	ypj:CH55_276
ko:K10823	ypj:CH55_277
ko:K09901	ypj:CH55_279
ko:K06131	ypj:CH55_280
ko:K09981	ypj:CH55_283
ko:K09780	ypj:CH55_284
ko:K03832	ypj:CH55_286
ko:K10806	ypj:CH55_288
ko:K06190	ypj:CH55_289
ko:K07275	ypj:CH55_293
ko:K01695	ypj:CH55_295
ko:K01696	ypj:CH55_296
ko:K13498	ypj:CH55_297
ko:K00766	ypj:CH55_298
ko:K01658	ypj:CH55_299
ko:K01657	ypj:CH55_300
ko:K07053	ypj:CH55_301
ko:K06178	ypj:CH55_303
ko:K19221	ypj:CH55_304
ko:K04774	ypj:CH55_306
ko:K03168	ypj:CH55_309
ko:K13634	ypj:CH55_310
ko:K03632	ypj:CH55_1136
ko:K03804	ypj:CH55_1137
ko:K03633	ypj:CH55_1138
ko:K06219	ypj:CH55_1139
ko:K00979	ypj:CH55_1141
ko:K09791	ypj:CH55_1142
ko:K03704	ypj:CH55_1143
ko:K00912	ypj:CH55_1145
ko:K11085	ypj:CH55_1146
ko:K02238	ypj:CH55_1147
ko:K02038	ypj:CH55_3986
ko:K02036	ypj:CH55_3987
ko:K18475	ypj:CH55_3988
ko:K18475	ypj:CH55_3989
ko:K18475	ypj:CH55_3990
ko:K00657	ypj:CH55_3991
ko:K11175	ypj:CH55_3992
ko:K01933	ypj:CH55_3993
ko:K00761	ypj:CH55_3994
ko:K07491	ypj:CH55_3995
ko:K10763	ypj:CH55_3996
ko:K00537	ypj:CH55_3997
ko:K03548	ypj:CH55_3999
ko:K03564	ypj:CH55_4002
ko:K03567	ypj:CH55_4003
ko:K01714	ypj:CH55_4004
ko:K07287	ypj:CH55_4005
ko:K01734	ypj:CH55_1101
ko:K03658	ypj:CH55_1102
ko:K07343	ypj:CH55_1105
ko:K13053	ypj:CH55_1106
ko:K03286	ypj:CH55_1107
ko:K07491	ypj:CH55_1108
ko:K09911	ypj:CH55_1109
ko:K04770	ypj:CH55_1110
ko:K01716	ypj:CH55_1111
ko:K09458	ypj:CH55_1117
ko:K07491	ypj:CH55_1118
ko:K09857	ypj:CH55_1119
ko:K06192	ypj:CH55_1120
ko:K03808	ypj:CH55_1121
ko:K15738	ypj:CH55_1122
ko:K12297	ypj:CH55_1123
ko:K07140	ypj:CH55_1124
ko:K18657	ypj:CH55_1125
ko:K00254	ypj:CH55_1126
ko:K01256	ypj:CH55_1127
ko:K00763	ypj:CH55_1128
ko:K01893	ypj:CH55_1129
ko:K09476	ypj:CH55_1130
ko:K00813	ypj:CH55_1131
ko:K07491	ypj:CH55_1135
ko:K03893	ypj:CH55_1926
ko:K05879	ypj:CH55_1928
ko:K05878	ypj:CH55_1929
ko:K01808	ypj:CH55_1932
ko:K03555	ypj:CH55_1933
ko:K03087	ypj:CH55_1934
ko:K06194	ypj:CH55_1935
ko:K00573	ypj:CH55_1936
ko:K03787	ypj:CH55_1937
ko:K06176	ypj:CH55_1938
ko:K01770	ypj:CH55_1939
ko:K00991	ypj:CH55_1940
ko:K05589	ypj:CH55_1941
ko:K00860	ypj:CH55_1943
ko:K00956	ypj:CH55_1944
ko:K00957	ypj:CH55_1945
ko:K02302	ypj:CH55_1946
ko:K00390	ypj:CH55_1950
ko:K00390	ypj:CH55_1951
ko:K00381	ypj:CH55_1952
ko:K00380	ypj:CH55_1953
ko:K01737	ypj:CH55_1954
ko:K10026	ypj:CH55_1955
ko:K04565	ypj:CH55_1956
ko:K01689	ypj:CH55_1957
ko:K01937	ypj:CH55_1958
ko:K04765	ypj:CH55_1959
ko:K00951	ypj:CH55_1960
ko:K07678	ypj:CH55_1961
ko:K01129	ypj:CH55_1963
ko:K01243	ypj:CH55_1964
ko:K06858	ypj:CH55_1965
ko:K15724	ypj:CH55_1967
ko:K03281	ypj:CH55_1968
ko:K01845	ypj:CH55_1969
ko:K02015	ypj:CH55_1970
ko:K02016	ypj:CH55_1971
ko:K02013	ypj:CH55_1972
ko:K05365	ypj:CH55_1973
ko:K07483	ypj:CH55_2772
ko:K02470	ypj:CH55_2776
ko:K03629	ypj:CH55_2777
ko:K02338	ypj:CH55_2778
ko:K02313	ypj:CH55_2779
ko:K02914	ypj:CH55_2781
ko:K03536	ypj:CH55_2782
ko:K08998	ypj:CH55_2783
ko:K03217	ypj:CH55_2784
ko:K03650	ypj:CH55_2785
ko:K00209	ypj:CH55_2786
ko:K06901	ypj:CH55_2789
ko:K02029	ypj:CH55_2791
ko:K02029	ypj:CH55_2792
ko:K02030	ypj:CH55_2793
ko:K02039	ypj:CH55_2795
ko:K02036	ypj:CH55_2796
ko:K02038	ypj:CH55_2797
ko:K02037	ypj:CH55_2798
ko:K02040	ypj:CH55_2799
ko:K00820	ypj:CH55_2800
ko:K04042	ypj:CH55_2801
ko:K02114	ypj:CH55_2802
ko:K02112	ypj:CH55_2803
ko:K02115	ypj:CH55_2804
ko:K02111	ypj:CH55_2805
ko:K02113	ypj:CH55_2806
ko:K02109	ypj:CH55_2807
ko:K02110	ypj:CH55_2808
ko:K02108	ypj:CH55_2809
ko:K02116	ypj:CH55_2810
ko:K03501	ypj:CH55_2811
ko:K03495	ypj:CH55_2812
ko:K06205	ypj:CH55_2813
ko:K03718	ypj:CH55_2814
ko:K01914	ypj:CH55_2815
ko:K03924	ypj:CH55_2817
ko:K03549	ypj:CH55_2818
ko:K06726	ypj:CH55_2819
ko:K03185	ypj:CH55_3631
ko:K18800	ypj:CH55_3632
ko:K00605	ypj:CH55_3633
ko:K02437	ypj:CH55_3634
ko:K00281	ypj:CH55_3635
ko:K11068	ypj:CH55_3640
ko:K06980	ypj:CH55_3642
ko:K09159	ypj:CH55_3643
ko:K07663	ypj:CH55_3644
ko:K07641	ypj:CH55_3645
ko:K06143	ypj:CH55_3646
ko:K03840	ypj:CH55_3647
ko:K04763	ypj:CH55_3648
ko:K03981	ypj:CH55_3649
ko:K07462	ypj:CH55_3650
ko:K02836	ypj:CH55_3651
ko:K04567	ypj:CH55_3652
ko:K13651	ypj:CH55_3658
ko:K13655	ypj:CH55_3659
ko:K07733	ypj:CH55_3662
ko:K17205	ypj:CH55_3679
ko:K17206	ypj:CH55_3680
ko:K17207	ypj:CH55_3681
ko:K10111	ypj:CH55_3682
ko:K15770	ypj:CH55_3683
ko:K15771	ypj:CH55_3684
ko:K15772	ypj:CH55_3685
ko:K01224	ypj:CH55_3686
ko:K09160	ypj:CH55_652
ko:K08305	ypj:CH55_654
ko:K09902	ypj:CH55_656
ko:K03610	ypj:CH55_657
ko:K03609	ypj:CH55_658
ko:K03608	ypj:CH55_659
ko:K03684	ypj:CH55_660
ko:K01897	ypj:CH55_661
ko:K07285	ypj:CH55_662
ko:K14742	ypj:CH55_663
ko:K11742	ypj:CH55_666
ko:K11743	ypj:CH55_667
ko:K01625	ypj:CH55_668
ko:K00036	ypj:CH55_670
ko:K00873	ypj:CH55_672
ko:K02560	ypj:CH55_673
ko:K09815	ypj:CH55_675
ko:K09817	ypj:CH55_676
ko:K09816	ypj:CH55_677
ko:K03551	ypj:CH55_678
ko:K03550	ypj:CH55_679
ko:K01159	ypj:CH55_680
ko:K08310	ypj:CH55_682
ko:K01876	ypj:CH55_683
ko:K07136	ypj:CH55_685
ko:K15256	ypj:CH55_686
ko:K15257	ypj:CH55_687
ko:K06201	ypj:CH55_688
ko:K09907	ypj:CH55_689
ko:K01887	ypj:CH55_690
ko:K11016	ypj:CH55_691
ko:K11016	ypj:CH55_692
ko:K11017	ypj:CH55_693
ko:K03980	ypj:CH55_694
ko:K03810	ypj:CH55_695
ko:K09915	ypj:CH55_696
ko:K03790	ypj:CH55_697
ko:K08162	ypj:CH55_698
ko:K03188	ypj:CH55_1502
ko:K03187	ypj:CH55_1503
ko:K01428	ypj:CH55_1504
ko:K01429	ypj:CH55_1505
ko:K01430	ypj:CH55_1506
ko:K02034	ypj:CH55_1510
ko:K02033	ypj:CH55_1511
ko:K02035	ypj:CH55_1512
ko:K03704	ypj:CH55_1513
ko:K03647	ypj:CH55_1519
ko:K02000	ypj:CH55_1522
ko:K02001	ypj:CH55_1523
ko:K02002	ypj:CH55_1524
ko:K16842	ypj:CH55_1525
ko:K03839	ypj:CH55_1535
ko:K03711	ypj:CH55_1536
ko:K12373	ypj:CH55_1537
ko:K01886	ypj:CH55_1540
ko:K07491	ypj:CH55_1541
ko:K02802	ypj:CH55_1542
ko:K02803	ypj:CH55_1542
ko:K02804	ypj:CH55_1542
ko:K02564	ypj:CH55_1543
ko:K01443	ypj:CH55_1544
ko:K02565	ypj:CH55_1545
ko:K02566	ypj:CH55_1546
ko:K01953	ypj:CH55_1547
ko:K03184	ypj:CH55_1554
ko:K06168	ypj:CH55_1555
ko:K01733	ypj:CH55_2346
ko:K00872	ypj:CH55_2347
ko:K12524	ypj:CH55_2348
ko:K07773	ypj:CH55_2350
ko:K05805	ypj:CH55_2351
ko:K05804	ypj:CH55_2354
ko:K03720	ypj:CH55_2355
ko:K08309	ypj:CH55_2357
ko:K06211	ypj:CH55_2365
ko:K04485	ypj:CH55_2366
ko:K01079	ypj:CH55_2367
ko:K07186	ypj:CH55_2368
ko:K03784	ypj:CH55_2369
ko:K01839	ypj:CH55_2370
ko:K00758	ypj:CH55_2371
ko:K00758	ypj:CH55_2372
ko:K01619	ypj:CH55_2373
ko:K03317	ypj:CH55_2374
ko:K03424	ypj:CH55_2375
ko:K03424	ypj:CH55_2376
ko:K04065	ypj:CH55_2379
ko:K02837	ypj:CH55_2380
ko:K03789	ypj:CH55_2381
ko:K02344	ypj:CH55_2382
ko:K00564	ypj:CH55_2383
ko:K01051	ypj:CH55_2387
ko:K02849	ypj:CH55_2393
ko:K11216	ypj:CH55_2394
ko:K11531	ypj:CH55_2395
ko:K10558	ypj:CH55_2397
ko:K08993	ypj:CH55_3199
ko:K08316	ypj:CH55_3200
ko:K03110	ypj:CH55_3201
ko:K09812	ypj:CH55_3202
ko:K09811	ypj:CH55_3203
ko:K03089	ypj:CH55_3204
ko:K07491	ypj:CH55_3205
ko:K01999	ypj:CH55_3207
ko:K01997	ypj:CH55_3208
ko:K01998	ypj:CH55_3209
ko:K01995	ypj:CH55_3210
ko:K01996	ypj:CH55_3211
ko:K05813	ypj:CH55_3220
ko:K05814	ypj:CH55_3221
ko:K05815	ypj:CH55_3222
ko:K05816	ypj:CH55_3223
ko:K01126	ypj:CH55_3224
ko:K07088	ypj:CH55_3225
ko:K03576	ypj:CH55_3226
ko:K00549	ypj:CH55_3228
ko:K01061	ypj:CH55_3229
ko:K00757	ypj:CH55_3230
ko:K06200	ypj:CH55_3232
ko:K09760	ypj:CH55_3234
ko:K03183	ypj:CH55_3235
ko:K03690	ypj:CH55_3236
ko:K03688	ypj:CH55_3237
ko:K03116	ypj:CH55_3238
ko:K03117	ypj:CH55_3239
ko:K03118	ypj:CH55_3240
ko:K03424	ypj:CH55_3241
ko:K01698	ypj:CH55_3245
ko:K05785	ypj:CH55_3246
ko:K03182	ypj:CH55_3247
ko:K07114	ypj:CH55_4062
ko:K14155	ypj:CH55_4063
ko:K03307	ypj:CH55_4067
ko:K05685	ypj:CH55_4069
ko:K13888	ypj:CH55_4070
ko:K02484	ypj:CH55_4072
ko:K07491	ypj:CH55_4077
ko:K02777	ypj:CH55_4078
ko:K08483	ypj:CH55_4079
ko:K02784	ypj:CH55_4080
ko:K01738	ypj:CH55_4081
ko:K06203	ypj:CH55_4082
ko:K03528	ypj:CH55_4083
ko:K01972	ypj:CH55_4084
ko:K09954	ypj:CH55_4085
ko:K09962	ypj:CH55_4087
ko:K07491	ypj:CH55_4091
ko:K01885	ypj:CH55_4092
ko:K11535	ypj:CH55_4096
ko:K03322	ypj:CH55_4097
ko:K00845	ypj:CH55_4102
ko:K14261	ypj:CH55_4104
ko:K18843	ypj:CH55_4106
ko:K07308	ypj:CH55_4112
ko:K07307	ypj:CH55_4113
ko:K07306	ypj:CH55_4114
ko:K00648	ypj:CH55_761
ko:K00648	ypj:CH55_762
ko:K09975	ypj:CH55_764
ko:K05603	ypj:CH55_765
ko:K05836	ypj:CH55_766
ko:K01468	ypj:CH55_767
ko:K01479	ypj:CH55_768
ko:K10111	ypj:CH55_773
ko:K10111	ypj:CH55_774
ko:K02026	ypj:CH55_775
ko:K02025	ypj:CH55_776
ko:K02027	ypj:CH55_777
ko:K03710	ypj:CH55_779
ko:K09803	ypj:CH55_789
ko:K06887	ypj:CH55_798
ko:K00995	ypj:CH55_808
ko:K03703	ypj:CH55_809
ko:K07689	ypj:CH55_810
ko:K05367	ypj:CH55_1609
ko:K07724	ypj:CH55_1610
ko:K06887	ypj:CH55_1616
ko:K05349	ypj:CH55_1625
ko:K06221	ypj:CH55_1627
ko:K00981	ypj:CH55_1638
ko:K01491	ypj:CH55_1646
ko:K14761	ypj:CH55_1647
ko:K07491	ypj:CH55_1648
ko:K01883	ypj:CH55_1650
ko:K03768	ypj:CH55_1651
ko:K03269	ypj:CH55_1652
ko:K01588	ypj:CH55_1653
ko:K01589	ypj:CH55_1654
ko:K02004	ypj:CH55_1655
ko:K02003	ypj:CH55_1656
ko:K10804	ypj:CH55_1657
ko:K05838	ypj:CH55_1659
ko:K07340	ypj:CH55_1661
ko:K17686	ypj:CH55_1663
ko:K07393	ypj:CH55_2455
ko:K06911	ypj:CH55_2457
ko:K07056	ypj:CH55_2458
ko:K07121	ypj:CH55_2459
ko:K07460	ypj:CH55_2460
ko:K12961	ypj:CH55_2461
ko:K03814	ypj:CH55_2463
ko:K05788	ypj:CH55_1149
ko:K02945	ypj:CH55_1151
ko:K00945	ypj:CH55_1152
ko:K00800	ypj:CH55_1153
ko:K00831	ypj:CH55_1154
ko:K12342	ypj:CH55_1155
ko:K12342	ypj:CH55_1156
ko:K01424	ypj:CH55_1157
ko:K09136	ypj:CH55_1158
ko:K06212	ypj:CH55_1159
ko:K00656	ypj:CH55_1160
ko:K07270	ypj:CH55_1161
ko:K04069	ypj:CH55_1162
ko:K08219	ypj:CH55_1163
ko:K08219	ypj:CH55_1166
ko:K01875	ypj:CH55_1167
ko:K07478	ypj:CH55_1168
ko:K03634	ypj:CH55_1170
ko:K03466	ypj:CH55_1171
ko:K03719	ypj:CH55_1172
ko:K00384	ypj:CH55_1173
ko:K16013	ypj:CH55_1174
ko:K16012	ypj:CH55_1175
ko:K00684	ypj:CH55_1176
ko:K00684	ypj:CH55_1177
ko:K02518	ypj:CH55_1178
ko:K07491	ypj:CH55_1179
ko:K03694	ypj:CH55_1180
ko:K06891	ypj:CH55_1181
ko:K03704	ypj:CH55_1182
ko:K05685	ypj:CH55_1183
ko:K13888	ypj:CH55_1184
ko:K09824	ypj:CH55_1185
ko:K07459	ypj:CH55_1186
ko:K03579	ypj:CH55_1974
ko:K01975	ypj:CH55_1975
ko:K06206	ypj:CH55_1976
ko:K06204	ypj:CH55_1977
ko:K01894	ypj:CH55_1978
ko:K00970	ypj:CH55_1979
ko:K00950	ypj:CH55_1980
ko:K00606	ypj:CH55_1981
ko:K01918	ypj:CH55_1982
ko:K01579	ypj:CH55_1983
ko:K01992	ypj:CH55_1986
ko:K01990	ypj:CH55_1987
ko:K01673	ypj:CH55_1988
ko:K00760	ypj:CH55_1989
ko:K14588	ypj:CH55_1990
ko:K00797	ypj:CH55_1992
ko:K01611	ypj:CH55_1993
ko:K09910	ypj:CH55_1995
ko:K01682	ypj:CH55_1996
ko:K07491	ypj:CH55_1997
ko:K00382	ypj:CH55_1998
ko:K00627	ypj:CH55_1999
ko:K00163	ypj:CH55_2000
ko:K11734	ypj:CH55_2002
ko:K03807	ypj:CH55_2003
ko:K03807	ypj:CH55_2004
ko:K03806	ypj:CH55_2005
ko:K00767	ypj:CH55_2006
ko:K02682	ypj:CH55_2007
ko:K02504	ypj:CH55_2008
ko:K02505	ypj:CH55_2009
ko:K00364	ypj:CH55_2010
ko:K00859	ypj:CH55_2011
ko:K18778	ypj:CH55_2012
ko:K09862	ypj:CH55_2013
ko:K07491	ypj:CH55_2014
ko:K11720	ypj:CH55_2021
ko:K07091	ypj:CH55_2022
ko:K01255	ypj:CH55_2023
ko:K02339	ypj:CH55_2024
ko:K01873	ypj:CH55_2025
ko:K00852	ypj:CH55_2820
ko:K00651	ypj:CH55_2832
ko:K01638	ypj:CH55_2833
ko:K01637	ypj:CH55_2834
ko:K00906	ypj:CH55_2835
ko:K13641	ypj:CH55_2836
ko:K13641	ypj:CH55_2837
ko:K00548	ypj:CH55_2838
ko:K11016	ypj:CH55_2839
ko:K11017	ypj:CH55_2840
ko:K00928	ypj:CH55_2841
ko:K01810	ypj:CH55_2842
ko:K13256	ypj:CH55_2843
ko:K10110	ypj:CH55_2844
ko:K10109	ypj:CH55_2845
ko:K10108	ypj:CH55_2846
ko:K10111	ypj:CH55_2848
ko:K02024	ypj:CH55_2849
ko:K05775	ypj:CH55_2850
ko:K11903	ypj:CH55_2852
ko:K11901	ypj:CH55_2853
ko:K11900	ypj:CH55_2854
ko:K11905	ypj:CH55_2855
ko:K11896	ypj:CH55_2856
ko:K11896	ypj:CH55_2861
ko:K07483	ypj:CH55_2862
ko:K02444	ypj:CH55_2863
ko:K02441	ypj:CH55_2864
ko:K02439	ypj:CH55_2865
ko:K03556	ypj:CH55_2866
ko:K00688	ypj:CH55_2868
ko:K00705	ypj:CH55_2869
ko:K07400	ypj:CH55_2870
ko:K02170	ypj:CH55_2872
ko:K07490	ypj:CH55_2874
ko:K01224	ypj:CH55_3687
ko:K12308	ypj:CH55_3688
ko:K02778	ypj:CH55_3689
ko:K02024	ypj:CH55_3690
ko:K01187	ypj:CH55_3692
ko:K08191	ypj:CH55_3693
ko:K08302	ypj:CH55_3697
ko:K06871	ypj:CH55_3700
ko:K00065	ypj:CH55_3702
ko:K00065	ypj:CH55_3703
ko:K02079	ypj:CH55_3704
ko:K02744	ypj:CH55_3705
ko:K02747	ypj:CH55_3706
ko:K02746	ypj:CH55_3707
ko:K02745	ypj:CH55_3708
ko:K02082	ypj:CH55_3709
ko:K16371	ypj:CH55_3710
ko:K07491	ypj:CH55_3713
ko:K08961	ypj:CH55_3716
ko:K08961	ypj:CH55_3717
ko:K01673	ypj:CH55_3721
ko:K02452	ypj:CH55_3723
ko:K02453	ypj:CH55_3724
ko:K02454	ypj:CH55_3725
ko:K02455	ypj:CH55_3727
ko:K02456	ypj:CH55_3728
ko:K02457	ypj:CH55_3729
ko:K02458	ypj:CH55_3730
ko:K02459	ypj:CH55_3731
ko:K02460	ypj:CH55_3732
ko:K02461	ypj:CH55_3733
ko:K02465	ypj:CH55_3736
ko:K07648	ypj:CH55_2465
ko:K07139	ypj:CH55_2466
