ko:K00127	sbm:Shew185_0102
ko:K09699	sbm:Shew185_2151
ko:K00241	sbm:Shew185_2512
ko:K01029	sbm:Shew185_2852
ko:K03407	sbm:Shew185_2247
ko:K07678	sbm:Shew185_3146
ko:K00859	sbm:Shew185_3945
ko:K02654	sbm:Shew185_3944
ko:K02914	sbm:Shew185_4382
ko:K03650	sbm:Shew185_4378
ko:K02358	sbm:Shew185_0182
ko:K03186	sbm:Shew185_3591
ko:K02275	sbm:Shew185_4180
ko:K02601	sbm:Shew185_0184
ko:K03601	sbm:Shew185_3000
ko:K00782	sbm:Shew185_1336
ko:K04087	sbm:Shew185_3764
ko:K00925	sbm:Shew185_2693
ko:K01953	sbm:Shew185_1726
ko:K03043	sbm:Shew185_0189
ko:K02864	sbm:Shew185_0187
ko:K07071	sbm:Shew185_2704
ko:K00537	sbm:Shew185_1782
ko:K03979	sbm:Shew185_1038
ko:K01682	sbm:Shew185_3925
ko:K00833	sbm:Shew185_1750
ko:K02400	sbm:Shew185_2922
ko:K03665	sbm:Shew185_3766
ko:K03498	sbm:Shew185_0023
ko:K03498	sbm:Shew185_0049
ko:K07258	sbm:Shew185_3321
ko:K02456	sbm:Shew185_0152
ko:K00124	sbm:Shew185_4107
ko:K02379	sbm:Shew185_4100
ko:K02415	sbm:Shew185_0126
ko:K04069	sbm:Shew185_2691
ko:K02170	sbm:Shew185_4199
ko:K01657	sbm:Shew185_2722
ko:K08303	sbm:Shew185_3582
ko:K01695	sbm:Shew185_2727
ko:K01696	sbm:Shew185_2726
ko:K07811	sbm:Shew185_3213
ko:K00627	sbm:Shew185_3933
ko:K02460	sbm:Shew185_0156
ko:K02459	sbm:Shew185_0155
ko:K02458	sbm:Shew185_0154
ko:K02457	sbm:Shew185_0153
ko:K03060	sbm:Shew185_0352
ko:K10763	sbm:Shew185_1779
ko:K00346	sbm:Shew185_3564
ko:K01878	sbm:Shew185_0009
ko:K06204	sbm:Shew185_0849
ko:K00405	sbm:Shew185_2169
ko:K00406	sbm:Shew185_2167
ko:K01610	sbm:Shew185_0145
ko:K03581	sbm:Shew185_0562
ko:K03092	sbm:Shew185_0686
ko:K01159	sbm:Shew185_2305
ko:K02028	sbm:Shew185_0949
ko:K05367	sbm:Shew185_0067
ko:K09936	sbm:Shew185_2830
ko:K03073	sbm:Shew185_0183
ko:K03814	sbm:Shew185_0922
ko:K03303	sbm:Shew185_1340
ko:K03974	sbm:Shew185_1605
ko:K02569	sbm:Shew185_1938
ko:K07042	sbm:Shew185_3305
ko:K09930	sbm:Shew185_2620
ko:K03406	sbm:Shew185_3666
ko:K05922	sbm:Shew185_1914
ko:K03449	sbm:Shew185_1383
ko:K09922	sbm:Shew185_3114
ko:K03046	sbm:Shew185_0190
ko:K03110	sbm:Shew185_4164
ko:K03969	sbm:Shew185_1606
ko:K03973	sbm:Shew185_1608
ko:K02835	sbm:Shew185_3614
ko:K02909	sbm:Shew185_0477
ko:K01057	sbm:Shew185_2131
ko:K01690	sbm:Shew185_2132
ko:K05809	sbm:Shew185_1265
ko:K06206	sbm:Shew185_0850
ko:K06894	sbm:Shew185_0066
ko:K07107	sbm:Shew185_0077
ko:K06975	sbm:Shew185_0079
ko:K07107	sbm:Shew185_0080
ko:K11107	sbm:Shew185_2292
ko:K04773	sbm:Shew185_2294
ko:K09916	sbm:Shew185_2298
ko:K00245	sbm:Shew185_0614
ko:K00246	sbm:Shew185_0616
ko:K01126	sbm:Shew185_0090
ko:K07734	sbm:Shew185_0091
ko:K01468	sbm:Shew185_0095
ko:K05836	sbm:Shew185_0096
ko:K01712	sbm:Shew185_0097
ko:K01745	sbm:Shew185_0098
ko:K00123	sbm:Shew185_0099
ko:K01042	sbm:Shew185_0104
ko:K03833	sbm:Shew185_0105
ko:K02379	sbm:Shew185_0106
ko:K07112	sbm:Shew185_0107
ko:K07795	sbm:Shew185_0901
ko:K02517	sbm:Shew185_0911
ko:K03548	sbm:Shew185_1785
ko:K07566	sbm:Shew185_0032
ko:K02622	sbm:Shew185_0786
ko:K02469	sbm:Shew185_2287
ko:K02621	sbm:Shew185_0788
ko:K09774	sbm:Shew185_0688
ko:K03270	sbm:Shew185_0690
ko:K06041	sbm:Shew185_0691
ko:K02065	sbm:Shew185_0692
ko:K02066	sbm:Shew185_0693
ko:K02067	sbm:Shew185_0694
ko:K07323	sbm:Shew185_0695
ko:K02996	sbm:Shew185_0703
ko:K09937	sbm:Shew185_0704
ko:K01939	sbm:Shew185_0705
ko:K03218	sbm:Shew185_0708
ko:K07283	sbm:Shew185_0710
ko:K02990	sbm:Shew185_0711
ko:K02963	sbm:Shew185_0713
ko:K01775	sbm:Shew185_0717
ko:K09914	sbm:Shew185_1487
ko:K00651	sbm:Shew185_1488
ko:K00140	sbm:Shew185_1490
ko:K03098	sbm:Shew185_1501
ko:K01993	sbm:Shew185_1513
ko:K03100	sbm:Shew185_1516
ko:K09941	sbm:Shew185_1526
ko:K02037	sbm:Shew185_1533
ko:K02038	sbm:Shew185_1534
ko:K02036	sbm:Shew185_1535
ko:K02039	sbm:Shew185_1536
ko:K02168	sbm:Shew185_1542
ko:K09978	sbm:Shew185_2429
ko:K01256	sbm:Shew185_2439
ko:K03797	sbm:Shew185_2440
ko:K03607	sbm:Shew185_2441
ko:K09918	sbm:Shew185_2443
ko:K03808	sbm:Shew185_2444
ko:K02676	sbm:Shew185_2450
ko:K00943	sbm:Shew185_2452
ko:K07082	sbm:Shew185_2453
ko:K01494	sbm:Shew185_2455
ko:K03593	sbm:Shew185_2457
ko:K07088	sbm:Shew185_2459
ko:K06077	sbm:Shew185_2461
ko:K00684	sbm:Shew185_2462
ko:K02518	sbm:Shew185_2464
ko:K03704	sbm:Shew185_2467
ko:K00566	sbm:Shew185_2471
ko:K07153	sbm:Shew185_2472
ko:K01756	sbm:Shew185_2473
ko:K00263	sbm:Shew185_2476
ko:K09986	sbm:Shew185_2479
ko:K01007	sbm:Shew185_2481
ko:K09773	sbm:Shew185_2482
ko:K01626	sbm:Shew185_2483
ko:K07336	sbm:Shew185_0721
ko:K01923	sbm:Shew185_0527
ko:K03474	sbm:Shew185_1248
ko:K00997	sbm:Shew185_1249
ko:K03106	sbm:Shew185_1253
ko:K02959	sbm:Shew185_1254
ko:K02860	sbm:Shew185_1255
ko:K00554	sbm:Shew185_1256
ko:K01626	sbm:Shew185_1258
ko:K05539	sbm:Shew185_0774
ko:K09920	sbm:Shew185_0783
ko:K03469	sbm:Shew185_2014
ko:K03470	sbm:Shew185_1459
ko:K06213	sbm:Shew185_0681
ko:K05808	sbm:Shew185_0685
ko:K06861	sbm:Shew185_0687
ko:K03651	sbm:Shew185_0784
ko:K06920	sbm:Shew185_2115
ko:K01738	sbm:Shew185_2117
ko:K09858	sbm:Shew185_2122
ko:K01283	sbm:Shew185_2125
ko:K00873	sbm:Shew185_2128
ko:K00036	sbm:Shew185_2130
ko:K00351	sbm:Shew185_3433
ko:K03169	sbm:Shew185_2753
ko:K03168	sbm:Shew185_2489
ko:K01955	sbm:Shew185_3400
ko:K02342	sbm:Shew185_2344
ko:K03495	sbm:Shew185_4376
ko:K00350	sbm:Shew185_3434
ko:K00957	sbm:Shew185_0928
ko:K04567	sbm:Shew185_3491
ko:K01571	sbm:Shew185_1092
ko:K05350	sbm:Shew185_1183
ko:K03424	sbm:Shew185_2449
ko:K02871	sbm:Shew185_0702
ko:K03685	sbm:Shew185_1245
ko:K03595	sbm:Shew185_1246
ko:K09747	sbm:Shew185_2614
ko:K02907	sbm:Shew185_0214
ko:K03076	sbm:Shew185_0216
ko:K06195	sbm:Shew185_1045
ko:K02994	sbm:Shew185_0210
ko:K02895	sbm:Shew185_0207
ko:K02933	sbm:Shew185_0211
ko:K02406	sbm:Shew185_2951
ko:K07101	sbm:Shew185_3653
ko:K02110	sbm:Shew185_4370
ko:K01956	sbm:Shew185_3401
ko:K06177	sbm:Shew185_3583
ko:K03569	sbm:Shew185_0497
ko:K05366	sbm:Shew185_4090
ko:K05592	sbm:Shew185_0552
ko:K03183	sbm:Shew185_0419
ko:K07461	sbm:Shew185_0136
ko:K03641	sbm:Shew185_1742
ko:K02405	sbm:Shew185_2919
ko:K07089	sbm:Shew185_3911
ko:K00901	sbm:Shew185_1837
ko:K07090	sbm:Shew185_1617
ko:K03835	sbm:Shew185_4176
ko:K00404	sbm:Shew185_2170
ko:K00425	sbm:Shew185_2993
ko:K02837	sbm:Shew185_3235
ko:K03496	sbm:Shew185_4374
ko:K00525	sbm:Shew185_2290
ko:K00325	sbm:Shew185_0917
ko:K00253	sbm:Shew185_2846
ko:K02258	sbm:Shew185_4182
ko:K06076	sbm:Shew185_0389
ko:K01892	sbm:Shew185_3004
ko:K02945	sbm:Shew185_2279
ko:K00648	sbm:Shew185_1714
ko:K00604	sbm:Shew185_0026
ko:K03500	sbm:Shew185_0025
ko:K02421	sbm:Shew185_2924
ko:K02401	sbm:Shew185_2923
ko:K03413	sbm:Shew185_2918
ko:K00820	sbm:Shew185_4360
ko:K04562	sbm:Shew185_2920
ko:K01845	sbm:Shew185_1204
ko:K04754	sbm:Shew185_2907
ko:K00246	sbm:Shew185_3961
ko:K03808	sbm:Shew185_2445
ko:K00790	sbm:Shew185_0698
ko:K07090	sbm:Shew185_2856
ko:K03502	sbm:Shew185_4268
ko:K00648	sbm:Shew185_2669
ko:K06968	sbm:Shew185_1353
ko:K03760	sbm:Shew185_2254
ko:K02238	sbm:Shew185_1667
ko:K02160	sbm:Shew185_3855
ko:K09811	sbm:Shew185_4162
ko:K03624	sbm:Shew185_3294
ko:K00991	sbm:Shew185_3134
ko:K00974	sbm:Shew185_1199
ko:K10679	sbm:Shew185_0943
ko:K06189	sbm:Shew185_3306
ko:K01056	sbm:Shew185_3300
ko:K09895	sbm:Shew185_3680
ko:K03040	sbm:Shew185_0221
ko:K03545	sbm:Shew185_1592
ko:K02437	sbm:Shew185_3676
ko:K03531	sbm:Shew185_0405
ko:K02112	sbm:Shew185_4365
ko:K07751	sbm:Shew185_0851
ko:K00855	sbm:Shew185_0853
ko:K07019	sbm:Shew185_0855
ko:K06158	sbm:Shew185_0863
ko:K07070	sbm:Shew185_0864
ko:K06911	sbm:Shew185_0867
ko:K05591	sbm:Shew185_0868
ko:K00432	sbm:Shew185_1368
ko:K06213	sbm:Shew185_1369
ko:K03500	sbm:Shew185_1376
ko:K06193	sbm:Shew185_1382
ko:K06987	sbm:Shew185_1385
ko:K07184	sbm:Shew185_0881
ko:K03306	sbm:Shew185_0882
ko:K07220	sbm:Shew185_0883
ko:K00797	sbm:Shew185_0890
ko:K00982	sbm:Shew185_0893
ko:K07086	sbm:Shew185_0895
ko:K06916	sbm:Shew185_0898
ko:K07234	sbm:Shew185_1665
ko:K09928	sbm:Shew185_1666
ko:K00912	sbm:Shew185_1669
ko:K09791	sbm:Shew185_1670
ko:K06996	sbm:Shew185_1675
ko:K06996	sbm:Shew185_1677
ko:K01489	sbm:Shew185_1679
ko:K01141	sbm:Shew185_1680
ko:K08276	sbm:Shew185_2258
ko:K03654	sbm:Shew185_2260
ko:K07093	sbm:Shew185_2264
ko:K00998	sbm:Shew185_2268
ko:K07259	sbm:Shew185_2271
ko:K09912	sbm:Shew185_2273
ko:K01591	sbm:Shew185_2275
ko:K00945	sbm:Shew185_2280
ko:K00800	sbm:Shew185_2281
ko:K00831	sbm:Shew185_2286
ko:K00563	sbm:Shew185_1704
ko:K03704	sbm:Shew185_1705
ko:K07040	sbm:Shew185_1711
ko:K03621	sbm:Shew185_1713
ko:K00645	sbm:Shew185_1715
ko:K02078	sbm:Shew185_1717
ko:K09458	sbm:Shew185_1718
ko:K02014	sbm:Shew185_1724
ko:K00690	sbm:Shew185_0061
ko:K00847	sbm:Shew185_0064
ko:K03831	sbm:Shew185_0065
ko:K02876	sbm:Shew185_0215
ko:K02890	sbm:Shew185_0201
ko:K09859	sbm:Shew185_3477
ko:K03070	sbm:Shew185_0409
ko:K09710	sbm:Shew185_3315
ko:K07447	sbm:Shew185_3035
ko:K02297	sbm:Shew185_4218
ko:K03536	sbm:Shew185_4381
ko:K06886	sbm:Shew185_0034
ko:K00014	sbm:Shew185_0035
ko:K09181	sbm:Shew185_2252
ko:K03764	sbm:Shew185_0535
ko:K06940	sbm:Shew185_0038
ko:K09798	sbm:Shew185_0040
ko:K03797	sbm:Shew185_0041
ko:K00057	sbm:Shew185_0046
ko:K07007	sbm:Shew185_0047
ko:K03499	sbm:Shew185_0050
ko:K07667	sbm:Shew185_0051
ko:K06911	sbm:Shew185_0053
ko:K01918	sbm:Shew185_0844
ko:K00606	sbm:Shew185_0845
ko:K00950	sbm:Shew185_0846
ko:K03701	sbm:Shew185_0554
ko:K03702	sbm:Shew185_2113
ko:K02341	sbm:Shew185_2451
ko:K03572	sbm:Shew185_3769
ko:K03573	sbm:Shew185_1227
ko:K03582	sbm:Shew185_2047
ko:K03581	sbm:Shew185_2046
ko:K03703	sbm:Shew185_2599
ko:K03657	sbm:Shew185_3892
ko:K03555	sbm:Shew185_3127
ko:K07568	sbm:Shew185_2808
ko:K02931	sbm:Shew185_0208
ko:K02988	sbm:Shew185_0213
ko:K02276	sbm:Shew185_4183
ko:K05801	sbm:Shew185_1052
ko:K00411	sbm:Shew185_3763
ko:K02919	sbm:Shew185_0217
ko:K02952	sbm:Shew185_0218
ko:K02948	sbm:Shew185_0219
ko:K03629	sbm:Shew185_0003
ko:K03655	sbm:Shew185_0344
ko:K00123	sbm:Shew185_3493
ko:K03584	sbm:Shew185_1247
ko:K01704	sbm:Shew185_0388
ko:K03550	sbm:Shew185_2304
ko:K03551	sbm:Shew185_2303
ko:K00575	sbm:Shew185_2244
ko:K00575	sbm:Shew185_2963
ko:K03666	sbm:Shew185_3767
ko:K00526	sbm:Shew185_2291
ko:K10805	sbm:Shew185_2836
ko:K01893	sbm:Shew185_1940
ko:K08282	sbm:Shew185_3786
ko:K03409	sbm:Shew185_0719
ko:K03498	sbm:Shew185_0019
ko:K01419	sbm:Shew185_0447
ko:K04069	sbm:Shew185_2284
ko:K02111	sbm:Shew185_4367
ko:K02113	sbm:Shew185_4368
ko:K03427	sbm:Shew185_4454
ko:K03617	sbm:Shew185_2065
ko:K03658	sbm:Shew185_3966
ko:K02030	sbm:Shew185_3168
ko:K03613	sbm:Shew185_2060
ko:K03769	sbm:Shew185_3741
ko:K09903	sbm:Shew185_1447
ko:K02380	sbm:Shew185_0103
ko:K03561	sbm:Shew185_4237
ko:K03734	sbm:Shew185_3432
ko:K03563	sbm:Shew185_3122
ko:K03612	sbm:Shew185_2061
ko:K03645	sbm:Shew185_2145
ko:K03980	sbm:Shew185_1119
ko:K10125	sbm:Shew185_2827
ko:K01153	sbm:Shew185_4456
ko:K01915	sbm:Shew185_0307
ko:K04654	sbm:Shew185_1906
ko:K04653	sbm:Shew185_1907
ko:K02551	sbm:Shew185_4157
ko:K04651	sbm:Shew185_1904
ko:K02108	sbm:Shew185_4371
ko:K04652	sbm:Shew185_1908
ko:K02956	sbm:Shew185_3277
ko:K02834	sbm:Shew185_3279
ko:K02519	sbm:Shew185_3280
ko:K09748	sbm:Shew185_3282
ko:K03075	sbm:Shew185_3283
ko:K01803	sbm:Shew185_3284
ko:K03431	sbm:Shew185_3285
ko:K00796	sbm:Shew185_3286
ko:K03798	sbm:Shew185_3288
ko:K02427	sbm:Shew185_3289
ko:K07574	sbm:Shew185_3290
ko:K03074	sbm:Shew185_3291
ko:K03072	sbm:Shew185_3292
ko:K09939	sbm:Shew185_3297
ko:K06942	sbm:Shew185_3299
ko:K03184	sbm:Shew185_3301
ko:K09919	sbm:Shew185_2657
ko:K00681	sbm:Shew185_2658
ko:K01284	sbm:Shew185_2661
ko:K01284	sbm:Shew185_2664
ko:K03673	sbm:Shew185_2675
ko:K01972	sbm:Shew185_2679
ko:K03528	sbm:Shew185_2680
ko:K01738	sbm:Shew185_2685
ko:K02014	sbm:Shew185_2688
ko:K00656	sbm:Shew185_2690
ko:K09899	sbm:Shew185_2692
ko:K06969	sbm:Shew185_2701
ko:K07589	sbm:Shew185_2703
ko:K00937	sbm:Shew185_1821
ko:K04046	sbm:Shew185_1822
ko:K05805	sbm:Shew185_1824
ko:K09897	sbm:Shew185_1835
ko:K07504	sbm:Shew185_1839
ko:K03181	sbm:Shew185_0125
ko:K06970	sbm:Shew185_0127
ko:K09712	sbm:Shew185_0128
ko:K03750	sbm:Shew185_0131
ko:K01354	sbm:Shew185_0135
ko:K04083	sbm:Shew185_0146
ko:K04762	sbm:Shew185_0147
ko:K00616	sbm:Shew185_1111
ko:K03310	sbm:Shew185_1114
ko:K09861	sbm:Shew185_1115
ko:K02968	sbm:Shew185_1118
ko:K06080	sbm:Shew185_2870
ko:K01881	sbm:Shew185_2873
ko:K00606	sbm:Shew185_2875
ko:K07001	sbm:Shew185_2876
ko:K01790	sbm:Shew185_2882
ko:K09975	sbm:Shew185_2887
ko:K03431	sbm:Shew185_2888
ko:K03924	sbm:Shew185_2051
ko:K08309	sbm:Shew185_2053
ko:K09760	sbm:Shew185_2054
ko:K07147	sbm:Shew185_2055
ko:K07088	sbm:Shew185_3150
ko:K00946	sbm:Shew185_3153
ko:K07738	sbm:Shew185_3160
ko:K00600	sbm:Shew185_3161
ko:K01740	sbm:Shew185_3447
ko:K00425	sbm:Shew185_3449
ko:K00426	sbm:Shew185_3450
ko:K03734	sbm:Shew185_3457
ko:K03834	sbm:Shew185_3465
ko:K07004	sbm:Shew185_3472
ko:K03745	sbm:Shew185_3475
ko:K01462	sbm:Shew185_3476
ko:K07337	sbm:Shew185_3478
ko:K01256	sbm:Shew185_3479
ko:K01951	sbm:Shew185_3486
ko:K03670	sbm:Shew185_3487
ko:K02836	sbm:Shew185_3492
ko:K07240	sbm:Shew185_3495
ko:K03212	sbm:Shew185_3496
ko:K00111	sbm:Shew185_3497
ko:K01790	sbm:Shew185_2898
ko:K00973	sbm:Shew185_2899
ko:K05785	sbm:Shew185_2904
ko:K03305	sbm:Shew185_2905
ko:K04061	sbm:Shew185_2909
ko:K03408	sbm:Shew185_2911
ko:K03408	sbm:Shew185_2912
ko:K03407	sbm:Shew185_2916
ko:K03414	sbm:Shew185_2917
ko:K03182	sbm:Shew185_3859
ko:K07396	sbm:Shew185_3165
ko:K06886	sbm:Shew185_3176
ko:K01939	sbm:Shew185_3187
ko:K03415	sbm:Shew185_3188
ko:K02806	sbm:Shew185_0684
ko:K03586	sbm:Shew185_0394
ko:K01488	sbm:Shew185_4352
ko:K06916	sbm:Shew185_0701
ko:K02558	sbm:Shew185_3592
ko:K07286	sbm:Shew185_3597
ko:K08218	sbm:Shew185_3600
ko:K09767	sbm:Shew185_3601
ko:K00077	sbm:Shew185_3603
ko:K04752	sbm:Shew185_3604
ko:K03320	sbm:Shew185_3605
ko:K01627	sbm:Shew185_3608
ko:K02493	sbm:Shew185_3613
ko:K02492	sbm:Shew185_3615
ko:K02494	sbm:Shew185_3616
ko:K00451	sbm:Shew185_2653
ko:K00457	sbm:Shew185_2654
ko:K00053	sbm:Shew185_4010
ko:K02521	sbm:Shew185_4011
ko:K02274	sbm:Shew185_4181
ko:K02259	sbm:Shew185_4187
ko:K07152	sbm:Shew185_4189
ko:K05803	sbm:Shew185_3274
ko:K00962	sbm:Shew185_3275
ko:K03527	sbm:Shew185_1124
ko:K02672	sbm:Shew185_1126
ko:K02655	sbm:Shew185_1129
ko:K04656	sbm:Shew185_1910
ko:K03620	sbm:Shew185_1913
ko:K01299	sbm:Shew185_3112
ko:K07091	sbm:Shew185_3118
ko:K01255	sbm:Shew185_3119
ko:K01873	sbm:Shew185_3121
ko:K00928	sbm:Shew185_3123
ko:K01872	sbm:Shew185_3124
ko:K03565	sbm:Shew185_3125
ko:K06194	sbm:Shew185_3129
ko:K03734	sbm:Shew185_1919
ko:K07645	sbm:Shew185_1921
ko:K03670	sbm:Shew185_1922
ko:K03669	sbm:Shew185_1923
ko:K02897	sbm:Shew185_1927
ko:K09800	sbm:Shew185_1928
ko:K03578	sbm:Shew185_1933
ko:K02571	sbm:Shew185_1934
ko:K02568	sbm:Shew185_1937
ko:K03088	sbm:Shew185_4231
ko:K03559	sbm:Shew185_4238
ko:K03559	sbm:Shew185_4239
ko:K03832	sbm:Shew185_4240
ko:K07115	sbm:Shew185_4243
ko:K03744	sbm:Shew185_4246
ko:K03642	sbm:Shew185_3320
ko:K09158	sbm:Shew185_3322
ko:K03801	sbm:Shew185_3323
ko:K03644	sbm:Shew185_3324
ko:K02014	sbm:Shew185_3329
ko:K00849	sbm:Shew185_3336
ko:K02016	sbm:Shew185_3340
ko:K02013	sbm:Shew185_3341
ko:K02015	sbm:Shew185_3342
ko:K02015	sbm:Shew185_3343
ko:K07154	sbm:Shew185_3351
ko:K01868	sbm:Shew185_3672
ko:K05820	sbm:Shew185_2768
ko:K01736	sbm:Shew185_2769
ko:K07320	sbm:Shew185_2770
ko:K03924	sbm:Shew185_2782
ko:K03088	sbm:Shew185_2788
ko:K06076	sbm:Shew185_2791
ko:K09797	sbm:Shew185_2793
ko:K03074	sbm:Shew185_2804
ko:K03210	sbm:Shew185_2806
ko:K00773	sbm:Shew185_2807
ko:K02528	sbm:Shew185_1046
ko:K00097	sbm:Shew185_1047
ko:K04744	sbm:Shew185_1049
ko:K07102	sbm:Shew185_1050
ko:K02045	sbm:Shew185_1063
ko:K02047	sbm:Shew185_1064
ko:K02046	sbm:Shew185_1065
ko:K02048	sbm:Shew185_1066
ko:K06938	sbm:Shew185_1069
ko:K07639	sbm:Shew185_0304
ko:K07661	sbm:Shew185_0305
ko:K06207	sbm:Shew185_0308
ko:K07058	sbm:Shew185_0314
ko:K07560	sbm:Shew185_0317
ko:K01118	sbm:Shew185_0319
ko:K05782	sbm:Shew185_0322
ko:K03829	sbm:Shew185_0323
ko:K09458	sbm:Shew185_0325
ko:K07107	sbm:Shew185_0333
ko:K01745	sbm:Shew185_0334
ko:K01414	sbm:Shew185_4256
ko:K00383	sbm:Shew185_4259
ko:K03503	sbm:Shew185_4269
ko:K03415	sbm:Shew185_2816
ko:K00605	sbm:Shew185_3677
ko:K03185	sbm:Shew185_3679
ko:K09888	sbm:Shew185_3681
ko:K03402	sbm:Shew185_3686
ko:K07118	sbm:Shew185_3687
ko:K07223	sbm:Shew185_3689
ko:K00681	sbm:Shew185_3690
ko:K00573	sbm:Shew185_3130
ko:K01770	sbm:Shew185_3133
ko:K05589	sbm:Shew185_3135
ko:K01689	sbm:Shew185_3136
ko:K01937	sbm:Shew185_3137
ko:K10536	sbm:Shew185_3139
ko:K03215	sbm:Shew185_3145
ko:K09891	sbm:Shew185_3147
ko:K01867	sbm:Shew185_4075
ko:K01783	sbm:Shew185_4077
ko:K03778	sbm:Shew185_3506
ko:K01255	sbm:Shew185_3514
ko:K03387	sbm:Shew185_3518
ko:K03981	sbm:Shew185_3523
ko:K03311	sbm:Shew185_3525
ko:K05590	sbm:Shew185_3527
ko:K00927	sbm:Shew185_3538
ko:K00134	sbm:Shew185_3539
ko:K00615	sbm:Shew185_3540
ko:K00789	sbm:Shew185_3541
ko:K01945	sbm:Shew185_3914
ko:K01599	sbm:Shew185_3920
ko:K07740	sbm:Shew185_3922
ko:K07001	sbm:Shew185_3929
ko:K03807	sbm:Shew185_3936
ko:K03806	sbm:Shew185_3937
ko:K00767	sbm:Shew185_3939
ko:K09862	sbm:Shew185_3947
ko:K03732	sbm:Shew185_3951
ko:K03671	sbm:Shew185_3952
ko:K03628	sbm:Shew185_3953
ko:K00286	sbm:Shew185_3041
ko:K02115	sbm:Shew185_4366
ko:K09980	sbm:Shew185_0889
ko:K03585	sbm:Shew185_4251
ko:K03614	sbm:Shew185_2062
ko:K01154	sbm:Shew185_4455
ko:K03072	sbm:Shew185_2805
ko:K01714	sbm:Shew185_2590
ko:K06177	sbm:Shew185_2811
ko:K06177	sbm:Shew185_3399
ko:K00537	sbm:Shew185_2353
ko:K07552	sbm:Shew185_4138
ko:K03832	sbm:Shew185_4148
ko:K04015	sbm:Shew185_4151
ko:K04014	sbm:Shew185_4152
ko:K04013	sbm:Shew185_4153
ko:K08680	sbm:Shew185_4158
ko:K02549	sbm:Shew185_4159
ko:K03089	sbm:Shew185_4161
ko:K09812	sbm:Shew185_4163
ko:K08316	sbm:Shew185_4165
ko:K08993	sbm:Shew185_4166
ko:K07798	sbm:Shew185_4172
