ko:K18816	clr:UPTC16701_0869
ko:K16089	clr:UPTC16701_0467
ko:K02343	clr:UPTC16701_0468
ko:K03628	clr:UPTC16701_0469
ko:K17686	clr:UPTC16701_0470
ko:K08738	clr:UPTC16701_0472
ko:K03273	clr:UPTC16701_0473
ko:K03274	clr:UPTC16701_0474
ko:K03272	clr:UPTC16701_0475
ko:K03271	clr:UPTC16701_0476
ko:K00873	clr:UPTC16701_0477
ko:K00116	clr:UPTC16701_0478
ko:K03525	clr:UPTC16701_0479
ko:K02435	clr:UPTC16701_0483
ko:K03558	clr:UPTC16701_0484
ko:K03711	clr:UPTC16701_0485
ko:K04567	clr:UPTC16701_0486
ko:K00600	clr:UPTC16701_0487
ko:K03749	clr:UPTC16701_0489
ko:K00014	clr:UPTC16701_0490
ko:K03686	clr:UPTC16701_0491
ko:K02484	clr:UPTC16701_0493
ko:K06187	clr:UPTC16701_0494
ko:K03703	clr:UPTC16701_0496
ko:K00973	clr:UPTC16701_1227
ko:K02517	clr:UPTC16701_1229
ko:K02841	clr:UPTC16701_1230
ko:K07501	clr:UPTC16701_1231
ko:K01784	clr:UPTC16701_1232
ko:K03413	clr:UPTC16701_1242
ko:K02687	clr:UPTC16701_1243
ko:K03798	clr:UPTC16701_1244
ko:K01613	clr:UPTC16701_1245
ko:K17103	clr:UPTC16701_1246
ko:K10806	clr:UPTC16701_1252
ko:K00948	clr:UPTC16701_1253
ko:K03407	clr:UPTC16701_1257
ko:K03551	clr:UPTC16701_1258
ko:K02428	clr:UPTC16701_1261
ko:K07003	clr:UPTC16701_1262
ko:K07323	clr:UPTC16701_1263
ko:K04754	clr:UPTC16701_1264
ko:K02020	clr:UPTC16701_1265
ko:K02017	clr:UPTC16701_1267
ko:K01042	clr:UPTC16701_1269
ko:K03833	clr:UPTC16701_1270
ko:K03981	clr:UPTC16701_1271
ko:K06941	clr:UPTC16701_0024
ko:K02890	clr:UPTC16701_0073
ko:K02874	clr:UPTC16701_0078
ko:K03076	clr:UPTC16701_0087
ko:K02948	clr:UPTC16701_0103
ko:K02501	clr:UPTC16701_0110
ko:K07552	clr:UPTC16701_0116
ko:K00567	clr:UPTC16701_0941
ko:K06173	clr:UPTC16701_0943
ko:K07091	clr:UPTC16701_0944
ko:K02654	clr:UPTC16701_0945
ko:K00806	clr:UPTC16701_0946
ko:K13038	clr:UPTC16701_0948
ko:K04042	clr:UPTC16701_0949
ko:K02419	clr:UPTC16701_0950
ko:K07088	clr:UPTC16701_0951
ko:K03342	clr:UPTC16701_0952
ko:K01664	clr:UPTC16701_0953
ko:K01626	clr:UPTC16701_0958
ko:K02884	clr:UPTC16701_0960
ko:K00554	clr:UPTC16701_0961
ko:K02860	clr:UPTC16701_0962
ko:K06960	clr:UPTC16701_0963
ko:K02959	clr:UPTC16701_0964
ko:K01951	clr:UPTC16701_0500
ko:K01945	clr:UPTC16701_0503
ko:K04744	clr:UPTC16701_0505
ko:K00962	clr:UPTC16701_0507
ko:K03634	clr:UPTC16701_0521
ko:K03070	clr:UPTC16701_0522
ko:K00133	clr:UPTC16701_0524
ko:K01599	clr:UPTC16701_0526
ko:K01875	clr:UPTC16701_0530
ko:K01867	clr:UPTC16701_0531
ko:K00891	clr:UPTC16701_0532
ko:K03977	clr:UPTC16701_0533
ko:K16345	clr:UPTC16701_0535
ko:K01627	clr:UPTC16701_0536
ko:K00794	clr:UPTC16701_0537
ko:K03625	clr:UPTC16701_0538
ko:K01591	clr:UPTC16701_0539
ko:K03406	clr:UPTC16701_0541
ko:K00602	clr:UPTC16701_0542
ko:K05801	clr:UPTC16701_0543
ko:K01952	clr:UPTC16701_0544
ko:K03650	clr:UPTC16701_0545
ko:K06346	clr:UPTC16701_0546
ko:K03217	clr:UPTC16701_0547
ko:K03536	clr:UPTC16701_0549
ko:K02914	clr:UPTC16701_0550
ko:K00262	clr:UPTC16701_1273
ko:K11782	clr:UPTC16701_1274
ko:K00029	clr:UPTC16701_1275
ko:K01885	clr:UPTC16701_1276
ko:K01961	clr:UPTC16701_1278
ko:K02160	clr:UPTC16701_1279
ko:K01494	clr:UPTC16701_1280
ko:K15894	clr:UPTC16701_1281
ko:K15895	clr:UPTC16701_1282
ko:K00648	clr:UPTC16701_1288
ko:K02078	clr:UPTC16701_1289
ko:K15896	clr:UPTC16701_1295
ko:K02500	clr:UPTC16701_1296
ko:K02501	clr:UPTC16701_1297
ko:K07090	clr:UPTC16701_1299
ko:K02401	clr:UPTC16701_1300
ko:K03406	clr:UPTC16701_1301
ko:K03386	clr:UPTC16701_1302
ko:K00940	clr:UPTC16701_1304
ko:K02911	clr:UPTC16701_1306
ko:K03621	clr:UPTC16701_1307
ko:K00648	clr:UPTC16701_1308
ko:K02557	clr:UPTC16701_1309
ko:K02556	clr:UPTC16701_1310
ko:K08173	clr:UPTC16701_1312
ko:K01696	clr:UPTC16701_1315
ko:K03701	clr:UPTC16701_1316
ko:K00831	clr:UPTC16701_1317
ko:K03601	clr:UPTC16701_1318
ko:K03106	clr:UPTC16701_0965
ko:K06180	clr:UPTC16701_0966
ko:K02527	clr:UPTC16701_0967
ko:K07164	clr:UPTC16701_0968
ko:K01878	clr:UPTC16701_0970
ko:K01588	clr:UPTC16701_0972
ko:K08303	clr:UPTC16701_0973
ko:K01915	clr:UPTC16701_0975
ko:K01433	clr:UPTC16701_0976
ko:K00974	clr:UPTC16701_0977
ko:K03449	clr:UPTC16701_0980
ko:K02570	clr:UPTC16701_0982
ko:K02568	clr:UPTC16701_0984
ko:K02574	clr:UPTC16701_0985
ko:K07107	clr:UPTC16701_0554
ko:K03673	clr:UPTC16701_0557
ko:K03611	clr:UPTC16701_0559
ko:K07792	clr:UPTC16701_0561
ko:K01270	clr:UPTC16701_0562
ko:K15257	clr:UPTC16701_0566
ko:K02406	clr:UPTC16701_0567
ko:K02493	clr:UPTC16701_0569
ko:K06013	clr:UPTC16701_0570
ko:K15738	clr:UPTC16701_0571
ko:K07098	clr:UPTC16701_0572
ko:K01613	clr:UPTC16701_0573
ko:K04061	clr:UPTC16701_0574
ko:K01845	clr:UPTC16701_0579
ko:K01491	clr:UPTC16701_0581
ko:K03100	clr:UPTC16701_0582
ko:K00812	clr:UPTC16701_0583
ko:K00773	clr:UPTC16701_0584
ko:K01959	clr:UPTC16701_0587
ko:K03686	clr:UPTC16701_0590
ko:K03588	clr:UPTC16701_0591
ko:K02030	clr:UPTC16701_0592
ko:K06921	clr:UPTC16701_0594
ko:K03216	clr:UPTC16701_0597
ko:K02028	clr:UPTC16701_0598
ko:K02029	clr:UPTC16701_0599
ko:K03310	clr:UPTC16701_0600
ko:K03183	clr:UPTC16701_1319
ko:K09825	clr:UPTC16701_1321
ko:K01662	clr:UPTC16701_1322
ko:K02411	clr:UPTC16701_1323
ko:K02410	clr:UPTC16701_1324
ko:K02409	clr:UPTC16701_1325
ko:K00817	clr:UPTC16701_1326
ko:K14170	clr:UPTC16701_1327
ko:K02566	clr:UPTC16701_1328
ko:K01586	clr:UPTC16701_1329
ko:K11720	clr:UPTC16701_1330
ko:K01056	clr:UPTC16701_1331
ko:K02897	clr:UPTC16701_1332
ko:K00616	clr:UPTC16701_1333
ko:K01079	clr:UPTC16701_1334
ko:K03408	clr:UPTC16701_1335
ko:K03407	clr:UPTC16701_1336
ko:K03415	clr:UPTC16701_1337
ko:K03269	clr:UPTC16701_1338
ko:K03624	clr:UPTC16701_1339
ko:K00748	clr:UPTC16701_1340
ko:K07316	clr:UPTC16701_1343
ko:K01156	clr:UPTC16701_1344
ko:K03787	clr:UPTC16701_1348
ko:K03830	clr:UPTC16701_1350
ko:K02169	clr:UPTC16701_1352
ko:K09789	clr:UPTC16701_1353
ko:K00652	clr:UPTC16701_1354
ko:K07126	clr:UPTC16701_1355
ko:K00833	clr:UPTC16701_1356
ko:K01935	clr:UPTC16701_1358
ko:K18925	clr:UPTC16701_1359
ko:K18924	clr:UPTC16701_1360
ko:K03406	clr:UPTC16701_1361
ko:K13051	clr:UPTC16701_1362
ko:K01879	clr:UPTC16701_0601
ko:K14652	clr:UPTC16701_0604
ko:K05837	clr:UPTC16701_0608
ko:K06180	clr:UPTC16701_0609
ko:K03439	clr:UPTC16701_0611
ko:K09812	clr:UPTC16701_0612
ko:K09811	clr:UPTC16701_0613
ko:K09903	clr:UPTC16701_0615
ko:K03060	clr:UPTC16701_0616
ko:K01866	clr:UPTC16701_0618
ko:K00459	clr:UPTC16701_0619
ko:K01448	clr:UPTC16701_0620
ko:K11749	clr:UPTC16701_0625
ko:K00995	clr:UPTC16701_0626
ko:K00076	clr:UPTC16701_0627
ko:K01714	clr:UPTC16701_0628
ko:K00254	clr:UPTC16701_0630
ko:K11085	clr:UPTC16701_0631
ko:K01883	clr:UPTC16701_0632
ko:K03980	clr:UPTC16701_0633
ko:K03550	clr:UPTC16701_0635
ko:K01921	clr:UPTC16701_0636
ko:K01929	clr:UPTC16701_0639
ko:K02393	clr:UPTC16701_0640
ko:K13788	clr:UPTC16701_0641
ko:K00925	clr:UPTC16701_0642
ko:K02073	clr:UPTC16701_0643
ko:K02072	clr:UPTC16701_0645
ko:K02071	clr:UPTC16701_0646
ko:K01873	clr:UPTC16701_0647
ko:K01507	clr:UPTC16701_0649
ko:K01955	clr:UPTC16701_1366
ko:K03570	clr:UPTC16701_1367
ko:K03569	clr:UPTC16701_1368
ko:K03544	clr:UPTC16701_1369
ko:K00677	clr:UPTC16701_1370
ko:K02372	clr:UPTC16701_1371
ko:K09765	clr:UPTC16701_1372
ko:K03564	clr:UPTC16701_1373
ko:K01821	clr:UPTC16701_1374
ko:K00826	clr:UPTC16701_1375
ko:K00764	clr:UPTC16701_1379
ko:K00215	clr:UPTC16701_1380
ko:K00384	clr:UPTC16701_1382
ko:K03671	clr:UPTC16701_1383
ko:K07460	clr:UPTC16701_1384
ko:K00003	clr:UPTC16701_1385
ko:K14261	clr:UPTC16701_1386
ko:K03218	clr:UPTC16701_1389
ko:K07056	clr:UPTC16701_1390
ko:K02909	clr:UPTC16701_1391
ko:K09761	clr:UPTC16701_1392
ko:K01737	clr:UPTC16701_1395
ko:K03639	clr:UPTC16701_1397
ko:K03179	clr:UPTC16701_1400
ko:K00791	clr:UPTC16701_1401
ko:K00343	clr:UPTC16701_1403
ko:K00342	clr:UPTC16701_1404
ko:K00341	clr:UPTC16701_1405
ko:K00340	clr:UPTC16701_1406
ko:K00339	clr:UPTC16701_1407
ko:K00338	clr:UPTC16701_1408
ko:K00337	clr:UPTC16701_1409
ko:K02573	clr:UPTC16701_0986
ko:K02567	clr:UPTC16701_0987
ko:K02392	clr:UPTC16701_0988
ko:K02392	clr:UPTC16701_0989
ko:K03086	clr:UPTC16701_0990
ko:K00937	clr:UPTC16701_0991
ko:K15876	clr:UPTC16701_0992
ko:K03385	clr:UPTC16701_0993
ko:K03147	clr:UPTC16701_0994
ko:K02342	clr:UPTC16701_0996
ko:K01783	clr:UPTC16701_0997
ko:K02902	clr:UPTC16701_0998
ko:K10716	clr:UPTC16701_0999
ko:K09794	clr:UPTC16701_1000
ko:K08077	clr:UPTC16701_1002
ko:K04077	clr:UPTC16701_1003
ko:K04078	clr:UPTC16701_1004
ko:K05808	clr:UPTC16701_1006
ko:K07457	clr:UPTC16701_1007
ko:K03723	clr:UPTC16701_1008
ko:K11754	clr:UPTC16701_1011
ko:K01869	clr:UPTC16701_1014
ko:K03074	clr:UPTC16701_1016
ko:K03072	clr:UPTC16701_1017
ko:K03210	clr:UPTC16701_1018
ko:K03820	clr:UPTC16701_1019
ko:K00789	clr:UPTC16701_1020
ko:K07862	clr:UPTC16701_1021
ko:K00609	clr:UPTC16701_1022
ko:K08602	clr:UPTC16701_1023
ko:K03657	clr:UPTC16701_1025
ko:K03177	clr:UPTC16701_1026
ko:K03563	clr:UPTC16701_1027
ko:K00919	clr:UPTC16701_1028
ko:K03664	clr:UPTC16701_1029
ko:K06891	clr:UPTC16701_1031
ko:K03694	clr:UPTC16701_1032
ko:K00684	clr:UPTC16701_1033
ko:K00950	clr:UPTC16701_0239
ko:K00958	clr:UPTC16701_0250
ko:K04773	clr:UPTC16701_0235
ko:K02405	clr:UPTC16701_0243
ko:K02416	clr:UPTC16701_0244
ko:K02417	clr:UPTC16701_0245
ko:K02404	clr:UPTC16701_0240
ko:K03786	clr:UPTC16701_0237
ko:K04562	clr:UPTC16701_0241
ko:K06966	clr:UPTC16701_0246
ko:K00566	clr:UPTC16701_0247
ko:K01262	clr:UPTC16701_0238
ko:K01095	clr:UPTC16701_0249
ko:K02535	clr:UPTC16701_0224
ko:K01963	clr:UPTC16701_0220
ko:K05540	clr:UPTC16701_0216
ko:K07277	clr:UPTC16701_0221
ko:K06204	clr:UPTC16701_0218
ko:K00872	clr:UPTC16701_0226
ko:K00783	clr:UPTC16701_0219
ko:K02519	clr:UPTC16701_0228
ko:K04517	clr:UPTC16701_0222
ko:K02834	clr:UPTC16701_0229
ko:K09748	clr:UPTC16701_0230
ko:K03189	clr:UPTC16701_0009
ko:K12574	clr:UPTC16701_0021
ko:K01933	clr:UPTC16701_0061
ko:K03406	clr:UPTC16701_0097
ko:K03648	clr:UPTC16701_0133
ko:K03406	clr:UPTC16701_0150
ko:K01012	clr:UPTC16701_0168
ko:K03190	clr:UPTC16701_0010
ko:K00859	clr:UPTC16701_0062
ko:K02895	clr:UPTC16701_0079
ko:K01776	clr:UPTC16701_0088
ko:K02986	clr:UPTC16701_0104
ko:K02067	clr:UPTC16701_0126
ko:K02111	clr:UPTC16701_0199
ko:K01778	clr:UPTC16701_0063
ko:K01424	clr:UPTC16701_0089
ko:K07337	clr:UPTC16701_0141
ko:K08591	clr:UPTC16701_0186
ko:K02115	clr:UPTC16701_0200
ko:K00939	clr:UPTC16701_0650
ko:K01876	clr:UPTC16701_0651
ko:K00858	clr:UPTC16701_0652
ko:K03631	clr:UPTC16701_0653
ko:K03424	clr:UPTC16701_0655
ko:K08307	clr:UPTC16701_0656
ko:K03642	clr:UPTC16701_0657
ko:K03270	clr:UPTC16701_0658
ko:K09774	clr:UPTC16701_0660
ko:K03978	clr:UPTC16701_0661
ko:K05515	clr:UPTC16701_0663
ko:K07568	clr:UPTC16701_0664
ko:K03118	clr:UPTC16701_0665
ko:K03117	clr:UPTC16701_0666
ko:K07089	clr:UPTC16701_0667
ko:K03325	clr:UPTC16701_0670
ko:K07226	clr:UPTC16701_0671
ko:K02014	clr:UPTC16701_0672
ko:K08311	clr:UPTC16701_0674
ko:K00928	clr:UPTC16701_0675
ko:K02341	clr:UPTC16701_0677
ko:K00796	clr:UPTC16701_0678
ko:K01972	clr:UPTC16701_0679
ko:K06442	clr:UPTC16701_0680
ko:K11753	clr:UPTC16701_0681
ko:K15256	clr:UPTC16701_0682
ko:K06942	clr:UPTC16701_0688
ko:K01255	clr:UPTC16701_0689
ko:K00759	clr:UPTC16701_0691
ko:K01808	clr:UPTC16701_0693
ko:K03412	clr:UPTC16701_0694
ko:K11752	clr:UPTC16701_0234
ko:K12506	clr:UPTC16701_0252
ko:K03593	clr:UPTC16701_0253
ko:K00674	clr:UPTC16701_0254
ko:K04047	clr:UPTC16701_0256
ko:K01810	clr:UPTC16701_0257
ko:K00963	clr:UPTC16701_0258
ko:K15778	clr:UPTC16701_0264
ko:K04075	clr:UPTC16701_0265
ko:K02836	clr:UPTC16701_0267
ko:K01925	clr:UPTC16701_0273
ko:K01000	clr:UPTC16701_0274
ko:K15633	clr:UPTC16701_0275
ko:K00059	clr:UPTC16701_0276
ko:K00997	clr:UPTC16701_0277
ko:K02415	clr:UPTC16701_0278
ko:K03781	clr:UPTC16701_0280
ko:K01755	clr:UPTC16701_0282
ko:K07791	clr:UPTC16701_0283
ko:K03326	clr:UPTC16701_0286
ko:K01760	clr:UPTC16701_0287
ko:K01756	clr:UPTC16701_0288
ko:K04758	clr:UPTC16701_0290
ko:K04759	clr:UPTC16701_0291
ko:K03707	clr:UPTC16701_0292
ko:K02078	clr:UPTC16701_0293
ko:K09458	clr:UPTC16701_0294
ko:K01962	clr:UPTC16701_0295
ko:K02387	clr:UPTC16701_1034
ko:K02388	clr:UPTC16701_1035
ko:K02408	clr:UPTC16701_1036
ko:K03587	clr:UPTC16701_1037
ko:K01772	clr:UPTC16701_1039
ko:K13017	clr:UPTC16701_1041
ko:K01872	clr:UPTC16701_1042
ko:K06287	clr:UPTC16701_1043
ko:K05366	clr:UPTC16701_1044
ko:K17247	clr:UPTC16701_1046
ko:K00316	clr:UPTC16701_1047
ko:K01533	clr:UPTC16701_1049
ko:K03768	clr:UPTC16701_1053
ko:K09943	clr:UPTC16701_1054
ko:K01887	clr:UPTC16701_1059
ko:K03116	clr:UPTC16701_1060
ko:K00942	clr:UPTC16701_1061
ko:K02421	clr:UPTC16701_1063
ko:K02003	clr:UPTC16701_1064
ko:K02357	clr:UPTC16701_1065
ko:K02967	clr:UPTC16701_1066
ko:K00413	clr:UPTC16701_1067
ko:K00412	clr:UPTC16701_1068
ko:K00411	clr:UPTC16701_1069
ko:K03893	clr:UPTC16701_1070
ko:K03495	clr:UPTC16701_1071
ko:K00793	clr:UPTC16701_1072
ko:K05810	clr:UPTC16701_1073
ko:K02484	clr:UPTC16701_1075
ko:K02313	clr:UPTC16701_0001
ko:K09457	clr:UPTC16701_0011
ko:K01465	clr:UPTC16701_0050
ko:K03796	clr:UPTC16701_0064
ko:K00428	clr:UPTC16701_0098
ko:K03040	clr:UPTC16701_0105
ko:K18480	clr:UPTC16701_0127
ko:K02484	clr:UPTC16701_0134
ko:K09859	clr:UPTC16701_0142
ko:K03637	clr:UPTC16701_0153
ko:K03168	clr:UPTC16701_0169
ko:K01524	clr:UPTC16701_0182
ko:K00428	clr:UPTC16701_0187
ko:K03640	clr:UPTC16701_0207
ko:K02338	clr:UPTC16701_0002
ko:K07133	clr:UPTC16701_0065
ko:K02931	clr:UPTC16701_0080
ko:K02888	clr:UPTC16701_0188
ko:K02112	clr:UPTC16701_0201
ko:K00575	clr:UPTC16701_0695
ko:K11784	clr:UPTC16701_0697
ko:K00334	clr:UPTC16701_1412
ko:K00333	clr:UPTC16701_1413
ko:K00332	clr:UPTC16701_1414
ko:K00331	clr:UPTC16701_1415
ko:K00330	clr:UPTC16701_1416
ko:K02034	clr:UPTC16701_1419
ko:K02033	clr:UPTC16701_1420
ko:K02035	clr:UPTC16701_1421
ko:K11175	clr:UPTC16701_1439
ko:K09760	clr:UPTC16701_1441
ko:K07391	clr:UPTC16701_1443
ko:K01462	clr:UPTC16701_1444
ko:K01358	clr:UPTC16701_1446
ko:K03545	clr:UPTC16701_1447
ko:K01495	clr:UPTC16701_1448
ko:K02412	clr:UPTC16701_1449
ko:K04487	clr:UPTC16701_1453
ko:K13819	clr:UPTC16701_1454
ko:K03313	clr:UPTC16701_1455
ko:K03313	clr:UPTC16701_1456
ko:K02470	clr:UPTC16701_0003
ko:K06193	clr:UPTC16701_0013
ko:K06153	clr:UPTC16701_0030
ko:K06940	clr:UPTC16701_0039
ko:K02982	clr:UPTC16701_0074
ko:K02879	clr:UPTC16701_0106
ko:K02406	clr:UPTC16701_0170
ko:K02899	clr:UPTC16701_0189
ko:K02109	clr:UPTC16701_0196
ko:K02114	clr:UPTC16701_0202
ko:K00901	clr:UPTC16701_0052
ko:K02954	clr:UPTC16701_0081
ko:K00765	clr:UPTC16701_0107
ko:K01928	clr:UPTC16701_0119
ko:K01689	clr:UPTC16701_0160
ko:K02406	clr:UPTC16701_0171
ko:K09688	clr:UPTC16701_0298
ko:K09689	clr:UPTC16701_0299
ko:K10107	clr:UPTC16701_0300
ko:K06041	clr:UPTC16701_0302
ko:K00012	clr:UPTC16701_0307
ko:K01784	clr:UPTC16701_0308
ko:K01854	clr:UPTC16701_0309
ko:K12452	clr:UPTC16701_0314
ko:K01711	clr:UPTC16701_0315
ko:K07031	clr:UPTC16701_0316
ko:K03271	clr:UPTC16701_0317
ko:K07266	clr:UPTC16701_0320
ko:K07265	clr:UPTC16701_0321
ko:K02600	clr:UPTC16701_0325
ko:K06168	clr:UPTC16701_0327
ko:K09778	clr:UPTC16701_0328
ko:K13292	clr:UPTC16701_0333
ko:K00246	clr:UPTC16701_0334
ko:K00244	clr:UPTC16701_0335
ko:K00245	clr:UPTC16701_0336
ko:K03923	clr:UPTC16701_0339
ko:K03098	clr:UPTC16701_0341
ko:K13979	clr:UPTC16701_0342
ko:K03750	clr:UPTC16701_0345
ko:K03635	clr:UPTC16701_0346
ko:K03636	clr:UPTC16701_0347
ko:K01999	clr:UPTC16701_1082
ko:K01999	clr:UPTC16701_1083
ko:K01997	clr:UPTC16701_1084
ko:K01998	clr:UPTC16701_1085
ko:K01995	clr:UPTC16701_1086
ko:K01996	clr:UPTC16701_1087
ko:K03596	clr:UPTC16701_1090
ko:K01719	clr:UPTC16701_1093
ko:K00788	clr:UPTC16701_1094
ko:K00878	clr:UPTC16701_1095
ko:K00941	clr:UPTC16701_1096
ko:K01104	clr:UPTC16701_1097
ko:K03406	clr:UPTC16701_1098
ko:K03501	clr:UPTC16701_1100
ko:K01497	clr:UPTC16701_1101
ko:K01698	clr:UPTC16701_1102
ko:K01775	clr:UPTC16701_1107
ko:K07152	clr:UPTC16701_1111
ko:K02004	clr:UPTC16701_1112
ko:K09860	clr:UPTC16701_1114
ko:K02469	clr:UPTC16701_1115
ko:K02242	clr:UPTC16701_1116
ko:K14445	clr:UPTC16701_1118
ko:K00788	clr:UPTC16701_1119
ko:K03150	clr:UPTC16701_1120
ko:K03149	clr:UPTC16701_1121
ko:K03148	clr:UPTC16701_1122
ko:K03154	clr:UPTC16701_1123
ko:K01439	clr:UPTC16701_1125
ko:K06895	clr:UPTC16701_1126
ko:K01868	clr:UPTC16701_0031
ko:K02946	clr:UPTC16701_0067
ko:K02994	clr:UPTC16701_0082
ko:K00795	clr:UPTC16701_0122
ko:K15898	clr:UPTC16701_0178
ko:K02109	clr:UPTC16701_0197
ko:K03559	clr:UPTC16701_0204
ko:K14048	clr:UPTC16701_0005
ko:K01937	clr:UPTC16701_0015
ko:K02528	clr:UPTC16701_0022
ko:K06180	clr:UPTC16701_0026
ko:K02906	clr:UPTC16701_0068
ko:K02878	clr:UPTC16701_0075
ko:K02933	clr:UPTC16701_0083
ko:K03470	clr:UPTC16701_0092
ko:K00615	clr:UPTC16701_0123
ko:K03499	clr:UPTC16701_0146
ko:K03979	clr:UPTC16701_0190
ko:K02113	clr:UPTC16701_0198
ko:K02520	clr:UPTC16701_0032
ko:K02916	clr:UPTC16701_0042
ko:K09816	clr:UPTC16701_0045
ko:K02926	clr:UPTC16701_0069
ko:K02904	clr:UPTC16701_0076
ko:K02881	clr:UPTC16701_0084
ko:K01814	clr:UPTC16701_0111
ko:K09981	clr:UPTC16701_0132
ko:K03498	clr:UPTC16701_0147
ko:K11785	clr:UPTC16701_0162
ko:K03832	clr:UPTC16701_0205
ko:K01428	clr:UPTC16701_0006
ko:K07462	clr:UPTC16701_0016
ko:K01756	clr:UPTC16701_0027
ko:K09817	clr:UPTC16701_0046
ko:K03760	clr:UPTC16701_0053
ko:K02892	clr:UPTC16701_0070
ko:K02961	clr:UPTC16701_0077
ko:K03837	clr:UPTC16701_0094
ko:K11755	clr:UPTC16701_0113
ko:K02066	clr:UPTC16701_0124
ko:K02420	clr:UPTC16701_0163
ko:K00604	clr:UPTC16701_0192
ko:K03641	clr:UPTC16701_0206
ko:K03655	clr:UPTC16701_0699
ko:K02029	clr:UPTC16701_0701
ko:K02029	clr:UPTC16701_0702
ko:K02028	clr:UPTC16701_0703
ko:K02030	clr:UPTC16701_0704
ko:K09944	clr:UPTC16701_0709
ko:K01735	clr:UPTC16701_0710
ko:K03831	clr:UPTC16701_0714
ko:K04079	clr:UPTC16701_0717
ko:K06199	clr:UPTC16701_0718
ko:K00655	clr:UPTC16701_0719
ko:K01952	clr:UPTC16701_0721
ko:K01952	clr:UPTC16701_0722
ko:K01923	clr:UPTC16701_0723
ko:K03797	clr:UPTC16701_0724
ko:K03695	clr:UPTC16701_0725
ko:K05927	clr:UPTC16701_0726
ko:K05922	clr:UPTC16701_0727
ko:K03620	clr:UPTC16701_0728
ko:K03605	clr:UPTC16701_0729
ko:K01885	clr:UPTC16701_0731
ko:K02221	clr:UPTC16701_0732
ko:K08309	clr:UPTC16701_0733
ko:K03753	clr:UPTC16701_0734
ko:K03841	clr:UPTC16701_0735
ko:K01874	clr:UPTC16701_0737
ko:K01772	clr:UPTC16701_0738
ko:K06920	clr:UPTC16701_0741
ko:K07042	clr:UPTC16701_0742
ko:K01736	clr:UPTC16701_1460
ko:K03685	clr:UPTC16701_1461
ko:K03469	clr:UPTC16701_1462
ko:K00566	clr:UPTC16701_1465
ko:K03406	clr:UPTC16701_1466
ko:K05367	clr:UPTC16701_1467
ko:K06894	clr:UPTC16701_1468
ko:K16052	clr:UPTC16701_1471
ko:K01673	clr:UPTC16701_1472
ko:K03075	clr:UPTC16701_1474
ko:K02838	clr:UPTC16701_1475
ko:K00762	clr:UPTC16701_1476
ko:K00573	clr:UPTC16701_1481
ko:K03827	clr:UPTC16701_1482
ko:K01674	clr:UPTC16701_1483
ko:K06207	clr:UPTC16701_1485
ko:K02389	clr:UPTC16701_1488
ko:K02390	clr:UPTC16701_1489
ko:K07023	clr:UPTC16701_1491
ko:K02010	clr:UPTC16701_1492
ko:K02011	clr:UPTC16701_1493
ko:K02012	clr:UPTC16701_1494
ko:K06159	clr:UPTC16701_1497
ko:K02456	clr:UPTC16701_1498
ko:K01409	clr:UPTC16701_1499
ko:K00099	clr:UPTC16701_1501
