ko:K12978	fto:X557_08760
ko:K03217	fto:X557_00950
ko:K02517	fto:X557_00955
ko:K02517	fto:X557_00960
ko:K02655	fto:X557_00965
ko:K04485	fto:X557_02000
ko:K01736	fto:X557_02015
ko:K07305	fto:X557_02025
ko:K00812	fto:X557_02055
ko:K03631	fto:X557_02065
ko:K01491	fto:X557_02095
ko:K01933	fto:X557_02100
ko:K00858	fto:X557_03340
ko:K03439	fto:X557_03350
ko:K07090	fto:X557_03395
ko:K07394	fto:X557_03400
ko:K03625	fto:X557_03420
ko:K03587	fto:X557_07930
ko:K03586	fto:X557_07935
ko:K03438	fto:X557_07940
ko:K10563	fto:X557_07950
ko:K08681	fto:X557_07965
ko:K06215	fto:X557_07970
ko:K02470	fto:X557_07975
ko:K05539	fto:X557_07985
ko:K01903	fto:X557_08010
ko:K01902	fto:X557_08015
ko:K06201	fto:X557_08065
ko:K01091	fto:X557_08080
ko:K00384	fto:X557_08090
ko:K03572	fto:X557_08110
ko:K06949	fto:X557_08125
ko:K11073	fto:X557_08135
ko:K03548	fto:X557_08145
ko:K03524	fto:X557_08155
ko:K04568	fto:X557_08160
ko:K16052	fto:X557_08165
ko:K01961	fto:X557_08185
ko:K02160	fto:X557_08190
ko:K03786	fto:X557_08195
ko:K01525	fto:X557_08200
ko:K02528	fto:X557_08205
ko:K03771	fto:X557_08210
ko:K04744	fto:X557_08215
ko:K03106	fto:X557_06450
ko:K06987	fto:X557_06480
ko:K01142	fto:X557_06485
ko:K00383	fto:X557_06505
ko:K03305	fto:X557_06520
ko:K11927	fto:X557_06525
ko:K01495	fto:X557_06530
ko:K01658	fto:X557_06560
ko:K03342	fto:X557_06565
ko:K01633	fto:X557_06575
ko:K13941	fto:X557_06580
ko:K00833	fto:X557_06600
ko:K01012	fto:X557_06605
ko:K00652	fto:X557_06610
ko:K02169	fto:X557_06615
ko:K01935	fto:X557_06620
ko:K03524	fto:X557_06625
ko:K00845	fto:X557_06630
ko:K01207	fto:X557_06650
ko:K01845	fto:X557_06655
ko:K01920	fto:X557_06660
ko:K00604	fto:X557_06665
ko:K12297	fto:X557_06675
ko:K07007	fto:X557_06705
ko:K11175	fto:X557_02110
ko:K01588	fto:X557_02115
ko:K01589	fto:X557_02120
ko:K06190	fto:X557_02135
ko:K00845	fto:X557_02145
ko:K03183	fto:X557_02150
ko:K03690	fto:X557_02155
ko:K03688	fto:X557_02160
ko:K02503	fto:X557_02165
ko:K00075	fto:X557_02190
ko:K00790	fto:X557_02195
ko:K03977	fto:X557_02200
ko:K07460	fto:X557_02225
ko:K01414	fto:X557_02230
ko:K03168	fto:X557_02260
ko:K02356	fto:X557_00970
ko:K13288	fto:X557_00975
ko:K01713	fto:X557_01000
ko:K00425	fto:X557_01015
ko:K02297	fto:X557_01025
ko:K02298	fto:X557_01030
ko:K02299	fto:X557_01035
ko:K02300	fto:X557_01040
ko:K00868	fto:X557_01060
ko:K03924	fto:X557_01070
ko:K07114	fto:X557_01085
ko:K07114	fto:X557_01090
ko:K07114	fto:X557_01095
ko:K01304	fto:X557_01105
ko:K02339	fto:X557_01115
ko:K01873	fto:X557_01120
ko:K00101	fto:X557_01135
ko:K10679	fto:X557_01140
ko:K01679	fto:X557_01150
ko:K01885	fto:X557_01155
ko:K02967	fto:X557_01190
ko:K02357	fto:X557_01195
ko:K09903	fto:X557_01200
ko:K02838	fto:X557_01205
ko:K00806	fto:X557_01210
ko:K00981	fto:X557_01215
ko:K00995	fto:X557_01225
ko:K02950	fto:X557_01230
ko:K02992	fto:X557_01235
ko:K02946	fto:X557_01245
ko:K02906	fto:X557_01250
ko:K02926	fto:X557_01255
ko:K02892	fto:X557_01260
ko:K02886	fto:X557_01265
ko:K02965	fto:X557_01270
ko:K02890	fto:X557_01275
ko:K02982	fto:X557_01280
ko:K02878	fto:X557_01285
ko:K02904	fto:X557_01290
ko:K02961	fto:X557_01295
ko:K02874	fto:X557_01300
ko:K02895	fto:X557_01305
ko:K02931	fto:X557_01310
ko:K02954	fto:X557_01315
ko:K02994	fto:X557_01320
ko:K02933	fto:X557_01325
ko:K02881	fto:X557_01330
ko:K02988	fto:X557_01335
ko:K02907	fto:X557_01340
ko:K02876	fto:X557_01345
ko:K03076	fto:X557_01350
ko:K02919	fto:X557_01355
ko:K02952	fto:X557_01360
ko:K02948	fto:X557_01365
ko:K02986	fto:X557_01370
ko:K03040	fto:X557_01375
ko:K02879	fto:X557_01380
ko:K06186	fto:X557_00355
ko:K02968	fto:X557_00360
ko:K03596	fto:X557_00365
ko:K00566	fto:X557_00370
ko:K01462	fto:X557_00380
ko:K00794	fto:X557_00385
ko:K14652	fto:X557_00390
ko:K00793	fto:X557_00395
ko:K11752	fto:X557_00400
ko:K12262	fto:X557_00425
ko:K03313	fto:X557_00435
ko:K00655	fto:X557_00445
ko:K00655	fto:X557_00450
ko:K05524	fto:X557_00455
ko:K08289	fto:X557_00470
ko:K03695	fto:X557_00480
ko:K01695	fto:X557_00495
ko:K01696	fto:X557_00500
ko:K01299	fto:X557_00505
ko:K03811	fto:X557_00530
ko:K11901	fto:X557_00560
ko:K11900	fto:X557_00565
ko:K04079	fto:X557_01415
ko:K00262	fto:X557_01430
ko:K01586	fto:X557_01445
ko:K00567	fto:X557_01465
ko:K05516	fto:X557_01495
ko:K03834	fto:X557_01505
ko:K00951	fto:X557_01520
ko:K15984	fto:X557_01540
ko:K03733	fto:X557_01545
ko:K03071	fto:X557_01570
ko:K03555	fto:X557_01575
ko:K01962	fto:X557_01580
ko:K07106	fto:X557_01600
ko:K03316	fto:X557_01630
ko:K01867	fto:X557_01640
ko:K00859	fto:X557_01655
ko:K00163	fto:X557_01665
ko:K00627	fto:X557_01670
ko:K00382	fto:X557_01675
ko:K03574	fto:X557_01690
ko:K00537	fto:X557_01695
ko:K09758	fto:X557_01710
ko:K03774	fto:X557_01750
ko:K03527	fto:X557_01755
ko:K06208	fto:X557_01760
ko:K17103	fto:X557_01765
ko:K03562	fto:X557_01775
ko:K03560	fto:X557_01780
ko:K03641	fto:X557_01790
ko:K03640	fto:X557_01800
ko:K14441	fto:X557_01805
ko:K01669	fto:X557_01835
ko:K06876	fto:X557_01840
ko:K03179	fto:X557_01900
ko:K03181	fto:X557_01905
ko:K00989	fto:X557_01910
ko:K03799	fto:X557_01930
ko:K03744	fto:X557_01935
ko:K01534	fto:X557_01965
ko:K00057	fto:X557_01990
ko:K14287	fto:X557_03445
ko:K01881	fto:X557_03450
ko:K02426	fto:X557_03490
ko:K01719	fto:X557_03495
ko:K01069	fto:X557_03510
ko:K04758	fto:X557_03520
ko:K03583	fto:X557_03565
ko:K03582	fto:X557_03580
ko:K03525	fto:X557_03590
ko:K01579	fto:X557_03595
ko:K01918	fto:X557_03600
ko:K00606	fto:X557_03605
ko:K01972	fto:X557_03615
ko:K11074	fto:X557_03635
ko:K11075	fto:X557_03640
ko:K11076	fto:X557_03645
ko:K01916	fto:X557_03680
ko:K03543	fto:X557_03690
ko:K03446	fto:X557_03695
ko:K01897	fto:X557_03705
ko:K03305	fto:X557_03710
ko:K09761	fto:X557_03715
ko:K02067	fto:X557_03730
ko:K01887	fto:X557_08220
ko:K03216	fto:X557_08235
ko:K01698	fto:X557_08240
ko:K07574	fto:X557_08245
ko:K02341	fto:X557_08250
ko:K04774	fto:X557_08255
ko:K03599	fto:X557_08260
ko:K11179	fto:X557_08265
ko:K03588	fto:X557_08300
ko:K01925	fto:X557_08305
ko:K01000	fto:X557_08310
ko:K01610	fto:X557_08315
ko:K01886	fto:X557_08320
ko:K03305	fto:X557_08335
ko:K15738	fto:X557_08340
ko:K04754	fto:X557_08425
ko:K00568	fto:X557_08430
ko:K15580	fto:X557_08510
ko:K02065	fto:X557_03735
ko:K02066	fto:X557_03740
ko:K06180	fto:X557_03750
ko:K05807	fto:X557_03755
ko:K00600	fto:X557_03770
ko:K09889	fto:X557_03775
ko:K03305	fto:X557_03815
ko:K04075	fto:X557_03820
ko:K00058	fto:X557_03825
ko:K13292	fto:X557_03835
ko:K08300	fto:X557_03840
ko:K04487	fto:X557_03850
ko:K03584	fto:X557_03860
ko:K03975	fto:X557_03865
ko:K03975	fto:X557_03870
ko:K05527	fto:X557_03875
ko:K01934	fto:X557_03880
ko:K09895	fto:X557_03885
ko:K03185	fto:X557_03890
ko:K07568	fto:X557_03905
ko:K09125	fto:X557_03920
ko:K01759	fto:X557_03925
ko:K01807	fto:X557_03955
ko:K03495	fto:X557_03970
ko:K01141	fto:X557_03995
ko:K03702	fto:X557_04000
ko:K01776	fto:X557_04010
ko:K03657	fto:X557_08520
ko:K03110	fto:X557_08525
ko:K02837	fto:X557_08535
ko:K00943	fto:X557_08540
ko:K11535	fto:X557_08545
ko:K03317	fto:X557_08550
ko:K02909	fto:X557_06760
ko:K03980	fto:X557_06770
ko:K07126	fto:X557_06775
ko:K06925	fto:X557_06780
ko:K11754	fto:X557_06785
ko:K01963	fto:X557_06790
ko:K00940	fto:X557_06795
ko:K01937	fto:X557_06800
ko:K00954	fto:X557_06870
ko:K13628	fto:X557_06880
ko:K11717	fto:X557_06885
ko:K01752	fto:X557_06890
ko:K04518	fto:X557_06900
ko:K01775	fto:X557_06910
ko:K09799	fto:X557_06930
ko:K03305	fto:X557_06940
ko:K01879	fto:X557_06965
ko:K03424	fto:X557_06970
ko:K03629	fto:X557_06975
ko:K00963	fto:X557_06995
ko:K02970	fto:X557_07020
ko:K03704	fto:X557_07030
ko:K01619	fto:X557_08555
ko:K03525	fto:X557_08565
ko:K00912	fto:X557_08575
ko:K11085	fto:X557_08580
ko:K00974	fto:X557_08585
ko:K03611	fto:X557_08590
ko:K03585	fto:X557_08595
ko:K18138	fto:X557_08600
ko:K01883	fto:X557_08660
ko:K07320	fto:X557_08665
ko:K07552	fto:X557_08670
ko:K11928	fto:X557_08740
ko:K02446	fto:X557_08745
ko:K07018	fto:X557_08750
ko:K11733	fto:X557_08755
ko:K03466	fto:X557_08765
ko:K03634	fto:X557_08770
ko:K03498	fto:X557_08785
ko:K03607	fto:X557_08795
ko:K01153	fto:X557_08805
ko:K01153	fto:X557_08810
ko:K02427	fto:X557_02290
ko:K03101	fto:X557_02300
ko:K01870	fto:X557_02305
ko:K11753	fto:X557_02310
ko:K00027	fto:X557_02315
ko:K01874	fto:X557_02355
ko:K01613	fto:X557_02430
ko:K04042	fto:X557_02445
ko:K00820	fto:X557_02450
ko:K02970	fto:X557_02460
ko:K03704	fto:X557_02465
ko:K01265	fto:X557_02475
ko:K02621	fto:X557_02490
ko:K08309	fto:X557_02510
ko:K04762	fto:X557_07100
ko:K00432	fto:X557_07130
ko:K01488	fto:X557_07155
ko:K00278	fto:X557_07165
ko:K00767	fto:X557_07170
ko:K03517	fto:X557_07175
ko:K00942	fto:X557_07180
ko:K05592	fto:X557_07185
ko:K03769	fto:X557_07190
ko:K08137	fto:X557_07200
ko:K00965	fto:X557_07205
ko:K00979	fto:X557_07220
ko:K09791	fto:X557_07225
ko:K02887	fto:X557_07250
ko:K02916	fto:X557_07255
ko:K02520	fto:X557_07260
ko:K01868	fto:X557_07265
ko:K02437	fto:X557_07280
ko:K02563	fto:X557_07285
ko:K09747	fto:X557_07290
ko:K06187	fto:X557_07295
ko:K03762	fto:X557_07320
ko:K03601	fto:X557_04045
ko:K14058	fto:X557_04065
ko:K03664	fto:X557_04070
ko:K09801	fto:X557_04080
ko:K06207	fto:X557_04105
ko:K01153	fto:X557_04125
ko:K01154	fto:X557_04145
ko:K01154	fto:X557_04150
ko:K03427	fto:X557_04165
ko:K14540	fto:X557_04190
ko:K01443	fto:X557_04195
ko:K00812	fto:X557_04210
ko:K00939	fto:X557_04235
ko:K02665	fto:X557_04255
ko:K02666	fto:X557_04260
ko:K00891	fto:X557_04265
ko:K01735	fto:X557_04270
ko:K09159	fto:X557_04280
ko:K04078	fto:X557_08830
ko:K09861	fto:X557_08850
ko:K00783	fto:X557_08865
ko:K02493	fto:X557_08870
ko:K02835	fto:X557_08875
ko:K17713	fto:X557_08890
ko:K02622	fto:X557_08900
ko:K03806	fto:X557_08905
ko:K08311	fto:X557_08915
ko:K04763	fto:X557_08940
ko:K02884	fto:X557_08945
ko:K00554	fto:X557_08950
ko:K02860	fto:X557_08955
ko:K02959	fto:X557_08960
ko:K00789	fto:X557_08965
ko:K01409	fto:X557_08975
ko:K03046	fto:X557_08985
ko:K03043	fto:X557_08990
ko:K02935	fto:X557_08995
ko:K02864	fto:X557_09000
ko:K02863	fto:X557_09005
ko:K02867	fto:X557_09010
ko:K02601	fto:X557_09015
ko:K03073	fto:X557_09020
ko:K02358	fto:X557_09030
ko:K03442	fto:X557_09055
ko:K02440	fto:X557_09065
ko:K00111	fto:X557_09070
ko:K01772	fto:X557_04360
ko:K02653	fto:X557_04380
ko:K02652	fto:X557_04385
ko:K01126	fto:X557_04390
ko:K03802	fto:X557_04400
ko:K01770	fto:X557_04410
ko:K02071	fto:X557_04430
ko:K08591	fto:X557_04435
ko:K00773	fto:X557_04450
ko:K03210	fto:X557_04470
ko:K03072	fto:X557_04475
ko:K03074	fto:X557_04480
ko:K03089	fto:X557_04490
ko:K00800	fto:X557_04495
ko:K03469	fto:X557_04505
ko:K01424	fto:X557_04510
ko:K01673	fto:X557_04515
ko:K06956	fto:X557_04550
ko:K00820	fto:X557_04555
ko:K05810	fto:X557_04620
ko:K01262	fto:X557_04625
ko:K01173	fto:X557_04630
ko:K17836	fto:X557_04635
ko:K03820	fto:X557_04650
ko:K07071	fto:X557_09105
ko:K00426	fto:X557_09120
ko:K01681	fto:X557_09140
ko:K07223	fto:X557_09145
ko:K03075	fto:X557_09175
ko:K01803	fto:X557_09180
ko:K03431	fto:X557_09185
ko:K00759	fto:X557_09190
ko:K00658	fto:X557_09195
ko:K00164	fto:X557_09200
ko:K00240	fto:X557_09205
ko:K00239	fto:X557_09210
ko:K00242	fto:X557_09215
ko:K00241	fto:X557_09220
ko:K01647	fto:X557_09225
ko:K08218	fto:X557_09230
ko:K04564	fto:X557_09240
ko:K07390	fto:X557_09245
ko:K02114	fto:X557_09255
ko:K02112	fto:X557_09260
ko:K02115	fto:X557_09265
ko:K02111	fto:X557_09270
ko:K02113	fto:X557_09275
ko:K02109	fto:X557_09280
ko:K02110	fto:X557_09285
ko:K02108	fto:X557_09290
ko:K06179	fto:X557_09305
ko:K01892	fto:X557_09320
ko:K02834	fto:X557_09325
ko:K02519	fto:X557_09330
ko:K02600	fto:X557_09335
ko:K09748	fto:X557_09340
ko:K01599	fto:X557_09350
ko:K07391	fto:X557_09360
ko:K09806	fto:X557_09375
ko:K00343	fto:X557_09380
ko:K11312	fto:X557_03315
ko:K06189	fto:X557_04655
ko:K07042	fto:X557_04660
ko:K06168	fto:X557_04670
ko:K03545	fto:X557_04695
ko:K01358	fto:X557_04700
ko:K03544	fto:X557_04705
ko:K01338	fto:X557_04710
ko:K03530	fto:X557_04715
ko:K03770	fto:X557_04720
ko:K00791	fto:X557_04725
ko:K03666	fto:X557_04730
ko:K03665	fto:X557_04735
ko:K04088	fto:X557_04750
ko:K04087	fto:X557_04755
ko:K01104	fto:X557_04760
ko:K03978	fto:X557_04765
ko:K01653	fto:X557_04795
ko:K00053	fto:X557_04800
ko:K03723	fto:X557_04805
ko:K03616	fto:X557_04830
ko:K03675	fto:X557_04835
ko:K03305	fto:X557_04840
ko:K02217	fto:X557_04845
ko:K03644	fto:X557_04850
ko:K01159	fto:X557_04865
ko:K03550	fto:X557_04875
ko:K09760	fto:X557_04880
ko:K01590	fto:X557_04905
ko:K03652	fto:X557_04915
ko:K03811	fto:X557_04925
ko:K03455	fto:X557_04930
ko:K00342	fto:X557_09385
ko:K00341	fto:X557_09390
ko:K00340	fto:X557_09395
ko:K00339	fto:X557_09400
ko:K00338	fto:X557_09405
ko:K00337	fto:X557_09410
ko:K00334	fto:X557_09425
ko:K00332	fto:X557_09435
ko:K00331	fto:X557_09440
ko:K00330	fto:X557_09445
ko:K03711	fto:X557_09450
ko:K01586	fto:X557_09465
ko:K02434	fto:X557_09495
ko:K02433	fto:X557_09500
ko:K02435	fto:X557_09505
ko:K01756	fto:X557_09525
ko:K01952	fto:X557_09565
ko:K00764	fto:X557_09570
ko:K06133	fto:X557_09580
ko:K12340	fto:X557_09585
ko:K00573	fto:X557_09590
ko:K08303	fto:X557_09595
ko:K02471	fto:X557_09610
ko:K03979	fto:X557_09625
ko:K07646	fto:X557_09650
ko:K01548	fto:X557_09655
ko:K06987	fto:X557_04955
ko:K00948	fto:X557_04960
ko:K02897	fto:X557_04965
ko:K06942	fto:X557_04985
ko:K01056	fto:X557_04990
ko:K17836	fto:X557_04995
ko:K02654	fto:X557_05005
ko:K00322	fto:X557_05010
ko:K03305	fto:X557_05020
ko:K01419	fto:X557_05030
ko:K03800	fto:X557_05040
ko:K01866	fto:X557_05045
ko:K08325	fto:X557_05080
ko:K02687	fto:X557_05085
ko:K02346	fto:X557_05120
ko:K06158	fto:X557_05130
ko:K00024	fto:X557_05150
ko:K06134	fto:X557_05160
ko:K03386	fto:X557_05200
ko:K02342	fto:X557_05225
ko:K01546	fto:X557_09665
ko:K00122	fto:X557_09670
ko:K03098	fto:X557_09715
ko:K02340	fto:X557_09720
ko:K01915	fto:X557_09725
ko:K01425	fto:X557_09730
ko:K07052	fto:X557_09735
ko:K04567	fto:X557_09745
ko:K02836	fto:X557_09750
ko:K02535	fto:X557_09760
ko:K03531	fto:X557_09765
ko:K03590	fto:X557_09770
ko:K03589	fto:X557_09775
ko:K01921	fto:X557_09780
ko:K07566	fto:X557_09795
ko:K02221	fto:X557_09830
ko:K00602	fto:X557_09865
ko:K01939	fto:X557_09870
ko:K00760	fto:X557_09875
ko:K02075	fto:X557_09885
ko:K02074	fto:X557_09890
ko:K02077	fto:X557_09895
ko:K06077	fto:X557_09905
ko:K03809	fto:X557_09910
ko:K07058	fto:X557_09915
ko:K04066	fto:X557_09925
ko:K00128	fto:X557_05255
ko:K04761	fto:X557_05275
ko:K00945	fto:X557_05290
ko:K00831	fto:X557_05295
ko:K00228	fto:X557_05320
ko:K02990	fto:X557_05335
ko:K02963	fto:X557_05340
ko:K02939	fto:X557_05345
ko:K06941	fto:X557_05355
ko:K02656	fto:X557_05360
ko:K06178	fto:X557_05365
ko:K03789	fto:X557_05375
ko:K02523	fto:X557_05435
ko:K14058	fto:X557_05445
ko:K07107	fto:X557_05450
ko:K07259	fto:X557_05460
ko:K02970	fto:X557_05465
ko:K09117	fto:X557_05470
ko:K03086	fto:X557_05480
ko:K03885	fto:X557_05485
ko:K15922	fto:X557_05495
ko:K16210	fto:X557_05505
ko:K03801	fto:X557_05510
ko:K09158	fto:X557_05515
ko:K01507	fto:X557_05525
ko:K03270	fto:X557_05530
ko:K11719	fto:X557_05535
ko:K06861	fto:X557_05545
ko:K06895	fto:X557_09970
ko:K06895	fto:X557_09980
ko:K05596	fto:X557_09990
ko:K13993	fto:X557_10015
ko:K13498	fto:X557_10020
ko:K07304	fto:X557_10030
ko:K00766	fto:X557_10050
ko:K01658	fto:X557_10055
ko:K01657	fto:X557_10060
ko:K03720	fto:X557_10065
ko:K08301	fto:X557_10080
ko:K02337	fto:X557_02540
ko:K01462	fto:X557_02545
ko:K09808	fto:X557_02555
ko:K09810	fto:X557_02560
ko:K00605	fto:X557_02570
ko:K02437	fto:X557_02575
ko:K00282	fto:X557_02580
ko:K00283	fto:X557_02585
ko:K00014	fto:X557_02590
ko:K00700	fto:X557_02600
ko:K01835	fto:X557_02605
ko:K00975	fto:X557_02610
ko:K00703	fto:X557_02615
ko:K00688	fto:X557_02620
ko:K00705	fto:X557_02625
ko:K01878	fto:X557_02630
ko:K01928	fto:X557_02635
ko:K01929	fto:X557_02645
ko:K00133	fto:X557_02655
ko:K00872	fto:X557_02665
ko:K01733	fto:X557_02670
ko:K01611	fto:X557_02680
ko:K10536	fto:X557_02695
ko:K03269	fto:X557_02715
ko:K00762	fto:X557_02720
ko:K02558	fto:X557_02725
ko:K03218	fto:X557_02730
ko:K07122	fto:X557_02750
ko:K07323	fto:X557_02755
ko:K02067	fto:X557_02760
ko:K02066	fto:X557_02765
ko:K02065	fto:X557_02770
ko:K03608	fto:X557_02775
ko:K03609	fto:X557_02780
ko:K02913	fto:X557_02790
ko:K02902	fto:X557_02795
ko:K03655	fto:X557_02805
ko:K01676	fto:X557_02810
ko:K01424	fto:X557_07350
ko:K13282	fto:X557_07355
ko:K07025	fto:X557_07365
ko:K12995	fto:X557_07410
ko:K01784	fto:X557_07415
ko:K01783	fto:X557_07425
ko:K06041	fto:X557_07430
ko:K00208	fto:X557_07470
ko:K06966	fto:X557_07475
ko:K03703	fto:X557_07505
ko:K03684	fto:X557_07510
ko:K09966	fto:X557_07520
ko:K02899	fto:X557_07525
ko:K02888	fto:X557_07530
ko:K03070	fto:X557_07545
ko:K03784	fto:X557_07560
ko:K03798	fto:X557_07580
ko:K03701	fto:X557_07605
ko:K03624	fto:X557_07610
ko:K08084	fto:X557_07615
ko:K01810	fto:X557_07620
ko:K00949	fto:X557_07625
ko:K00088	fto:X557_07630
ko:K01255	fto:X557_07635
ko:K06173	fto:X557_05560
ko:K01951	fto:X557_05570
ko:K01662	fto:X557_05575
ko:K07727	fto:X557_05615
ko:K01442	fto:X557_05650
ko:K12267	fto:X557_05670
ko:K09710	fto:X557_05695
ko:K03657	fto:X557_05715
ko:K01872	fto:X557_05725
ko:K01255	fto:X557_05735
ko:K00616	fto:X557_05740
ko:K06980	fto:X557_05770
ko:K03656	fto:X557_05775
ko:K00243	fto:X557_05780
ko:K07146	fto:X557_05785
ko:K03554	fto:X557_05790
ko:K07154	fto:X557_05820
ko:K14223	fto:X557_00805
ko:K14230	fto:X557_09345
ko:K18284	fto:X557_02495
ko:K00135	fto:X557_00095
ko:K07666	fto:X557_02955
ko:K00135	fto:X557_00135
ko:K01534	fto:X557_01960
ko:K14219	fto:X557_07335
ko:K14232	fto:X557_07340
ko:K14225	fto:X557_01645
ko:K14225	fto:X557_03530
ko:K14235	fto:X557_09025
ko:K14230	fto:X557_02915
ko:K02471	fto:X557_09615
ko:K16210	fto:X557_05500
ko:K06895	fto:X557_09975
ko:K03657	fto:X557_05710
