ko:K09806	ecg:E2348C_3341
ko:K01759	ecg:E2348C_1738
ko:K11743	ecg:E2348C_1685
ko:K07454	ecg:E2348C_4614
ko:K09251	ecg:E2348C_3366
ko:K02436	ecg:E2348C_2235
ko:K05875	ecg:E2348C_2009
ko:K08322	ecg:E2348C_1664
ko:K04775	ecg:E2348C_1683
ko:K04334	ecg:E2348C_1133
ko:K00262	ecg:E2348C_1889
ko:K03208	ecg:E2348C_2192
ko:K04335	ecg:E2348C_1132
ko:K11744	ecg:E2348C_1686
ko:K03719	ecg:E2348C_0885
ko:K11742	ecg:E2348C_1684
ko:K04333	ecg:E2348C_1130
ko:K08682	ecg:E2348C_0339
ko:K07782	ecg:E2348C_2034
ko:K11755	ecg:E2348C_2167
ko:K12974	ecg:E2348C_2571
ko:K12975	ecg:E2348C_3793
ko:K09953	ecg:E2348C_0684
ko:K13288	ecg:E2348C_4488
ko:K09946	ecg:E2348C_2223
ko:K12962	ecg:E2348C_2402
ko:K02458	ecg:E2348C_3244
ko:K12981	ecg:E2348C_3872
ko:K02851	ecg:E2348C_4085
ko:K01034	ecg:E2348C_2366
ko:K01460	ecg:E2348C_3275
ko:K00906	ecg:E2348C_4319
ko:K00215	ecg:E2348C_0031
ko:K01176	ecg:E2348C_3823
ko:K02071	ecg:E2348C_0205
ko:K00782	ecg:E2348C_0270
ko:K02167	ecg:E2348C_0275
ko:K02168	ecg:E2348C_0276
ko:K00926	ecg:E2348C_0285
ko:K02688	ecg:E2348C_0290
ko:K01908	ecg:E2348C_0294
ko:K10974	ecg:E2348C_0295
ko:K01921	ecg:E2348C_0317
ko:K00286	ecg:E2348C_0322
ko:K09768	ecg:E2348C_0323
ko:K00891	ecg:E2348C_0324
ko:K09913	ecg:E2348C_0327
ko:K03554	ecg:E2348C_0329
ko:K00847	ecg:E2348C_0330
ko:K03546	ecg:E2348C_0332
ko:K03547	ecg:E2348C_0333
ko:K07657	ecg:E2348C_0334
ko:K07636	ecg:E2348C_0335
ko:K03311	ecg:E2348C_0336
ko:K07568	ecg:E2348C_0340
ko:K00773	ecg:E2348C_0341
ko:K03210	ecg:E2348C_0342
ko:K03072	ecg:E2348C_0343
ko:K05527	ecg:E2348C_0370
ko:K03545	ecg:E2348C_0371
ko:K03544	ecg:E2348C_0373
ko:K01338	ecg:E2348C_0374
ko:K03530	ecg:E2348C_0375
ko:K03770	ecg:E2348C_0376
ko:K06920	ecg:E2348C_0379
ko:K05800	ecg:E2348C_0382
ko:K04752	ecg:E2348C_0385
ko:K03320	ecg:E2348C_0386
ko:K10805	ecg:E2348C_0387
ko:K09914	ecg:E2348C_0388
ko:K07443	ecg:E2348C_0390
ko:K10679	ecg:E2348C_0478
ko:K06048	ecg:E2348C_0481
ko:K03801	ecg:E2348C_0530
ko:K09158	ecg:E2348C_0531
ko:K07258	ecg:E2348C_0532
ko:K03642	ecg:E2348C_0533
ko:K05837	ecg:E2348C_0534
ko:K09912	ecg:E2348C_0301
ko:K01698	ecg:E2348C_0309
ko:K03074	ecg:E2348C_0344
ko:K05517	ecg:E2348C_0346
ko:K07738	ecg:E2348C_0348
ko:K00794	ecg:E2348C_0350
ko:K03625	ecg:E2348C_0351
ko:K00946	ecg:E2348C_0352
ko:K01095	ecg:E2348C_0353
ko:K01662	ecg:E2348C_0355
ko:K00795	ecg:E2348C_0356
ko:K03602	ecg:E2348C_0357
ko:K03151	ecg:E2348C_0358
ko:K03152	ecg:E2348C_0359
ko:K00077	ecg:E2348C_0360
ko:K09767	ecg:E2348C_0361
ko:K02300	ecg:E2348C_0364
ko:K02299	ecg:E2348C_0365
ko:K02298	ecg:E2348C_0366
ko:K02297	ecg:E2348C_0367
ko:K08218	ecg:E2348C_0368
ko:K07286	ecg:E2348C_0369
ko:K05839	ecg:E2348C_0395
ko:K03577	ecg:E2348C_0399
ko:K05802	ecg:E2348C_0400
ko:K04067	ecg:E2348C_0402
ko:K09790	ecg:E2348C_0403
ko:K00759	ecg:E2348C_0404
ko:K02343	ecg:E2348C_0405
ko:K09747	ecg:E2348C_0406
ko:K06187	ecg:E2348C_0407
ko:K04079	ecg:E2348C_0408
ko:K00939	ecg:E2348C_0409
ko:K01772	ecg:E2348C_0410
ko:K00892	ecg:E2348C_0412
ko:K03455	ecg:E2348C_0413
ko:K08223	ecg:E2348C_0414
ko:K09973	ecg:E2348C_0417
ko:K01425	ecg:E2348C_0420
ko:K00526	ecg:E2348C_2941
ko:K02002	ecg:E2348C_2944
ko:K03543	ecg:E2348C_2949
ko:K07173	ecg:E2348C_2955
ko:K01919	ecg:E2348C_2956
ko:K01534	ecg:E2348C_3709
ko:K02402	ecg:E2348C_2014
ko:K02403	ecg:E2348C_2015
ko:K04568	ecg:E2348C_4483
ko:K01613	ecg:E2348C_4486
ko:K06949	ecg:E2348C_4487
ko:K06925	ecg:E2348C_4491
ko:K01448	ecg:E2348C_4492
ko:K03572	ecg:E2348C_4493
ko:K00791	ecg:E2348C_4494
ko:K03666	ecg:E2348C_4495
ko:K03665	ecg:E2348C_4496
ko:K04088	ecg:E2348C_4497
ko:K04087	ecg:E2348C_4498
ko:K09937	ecg:E2348C_4499
ko:K01939	ecg:E2348C_4500
ko:K03218	ecg:E2348C_4503
ko:K09980	ecg:E2348C_4504
ko:K08989	ecg:E2348C_4507
ko:K09456	ecg:E2348C_4510
ko:K03476	ecg:E2348C_4515
ko:K03475	ecg:E2348C_4516
ko:K02822	ecg:E2348C_4517
ko:K02821	ecg:E2348C_4518
ko:K07269	ecg:E2348C_4536
ko:K03773	ecg:E2348C_4537
ko:K07322	ecg:E2348C_4540
ko:K07109	ecg:E2348C_4546
ko:K07278	ecg:E2348C_4550
ko:K09800	ecg:E2348C_4551
ko:K01507	ecg:E2348C_4553
ko:K03841	ecg:E2348C_4558
ko:K06915	ecg:E2348C_4587
ko:K03098	ecg:E2348C_4477
ko:K02990	ecg:E2348C_4523
ko:K02686	ecg:E2348C_4524
ko:K02963	ecg:E2348C_4525
ko:K02939	ecg:E2348C_4526
ko:K08191	ecg:E2348C_4529
ko:K02558	ecg:E2348C_4559
ko:K09889	ecg:E2348C_4560
ko:K03592	ecg:E2348C_4561
ko:K04068	ecg:E2348C_4563
ko:K01226	ecg:E2348C_4565
ko:K02818	ecg:E2348C_4566
ko:K02819	ecg:E2348C_4566
ko:K03485	ecg:E2348C_4567
ko:K01531	ecg:E2348C_4568
ko:K09022	ecg:E2348C_4569
ko:K00610	ecg:E2348C_4570
ko:K00609	ecg:E2348C_4571
ko:K00611	ecg:E2348C_4578
ko:K09893	ecg:E2348C_4579
ko:K03828	ecg:E2348C_4580
ko:K01873	ecg:E2348C_4582
ko:K02339	ecg:E2348C_4583
ko:K01255	ecg:E2348C_4584
ko:K07091	ecg:E2348C_4585
ko:K01153	ecg:E2348C_4608
ko:K01154	ecg:E2348C_4609
ko:K03427	ecg:E2348C_4610
ko:K07345	ecg:E2348C_4621
ko:K07347	ecg:E2348C_4624
ko:K01686	ecg:E2348C_4628
ko:K00040	ecg:E2348C_4629
ko:K01305	ecg:E2348C_4634
ko:K07559	ecg:E2348C_4637
ko:K02317	ecg:E2348C_4661
ko:K02344	ecg:E2348C_4669
ko:K03789	ecg:E2348C_4670
ko:K08723	ecg:E2348C_4671
ko:K02837	ecg:E2348C_4672
ko:K03424	ecg:E2348C_4676
ko:K01619	ecg:E2348C_4679
ko:K01839	ecg:E2348C_4681
ko:K03784	ecg:E2348C_4682
ko:K03800	ecg:E2348C_4684
ko:K04485	ecg:E2348C_4687
ko:K07663	ecg:E2348C_4698
ko:K07641	ecg:E2348C_4699
ko:K07773	ecg:E2348C_4701
ko:K02533	ecg:E2348C_4703
ko:K02669	ecg:E2348_P1_010
ko:K02439	ecg:E2348C_3669
ko:K00111	ecg:E2348C_3670
ko:K00688	ecg:E2348C_3674
ko:K00975	ecg:E2348C_3676
ko:K02438	ecg:E2348C_3677
ko:K00700	ecg:E2348C_3678
ko:K00133	ecg:E2348C_3679
ko:K00851	ecg:E2348C_3682
ko:K06145	ecg:E2348C_3683
ko:K06911	ecg:E2348C_3684
ko:K03825	ecg:E2348C_3686
ko:K00681	ecg:E2348C_3687
ko:K01126	ecg:E2348C_3689
ko:K05816	ecg:E2348C_3690
ko:K05815	ecg:E2348C_3691
ko:K05814	ecg:E2348C_3692
ko:K05813	ecg:E2348C_3693
ko:K01996	ecg:E2348C_3694
ko:K09812	ecg:E2348C_3703
ko:K03110	ecg:E2348C_3704
ko:K08993	ecg:E2348C_3706
ko:K09125	ecg:E2348C_3712
ko:K07722	ecg:E2348C_3722
ko:K01993	ecg:E2348C_3727
ko:K07007	ecg:E2348C_3729
ko:K06144	ecg:E2348C_3731
ko:K06149	ecg:E2348C_3732
ko:K03305	ecg:E2348C_3733
ko:K01414	ecg:E2348C_3735
ko:K07115	ecg:E2348C_3736
ko:K00383	ecg:E2348C_3737
ko:K07285	ecg:E2348C_3740
ko:K07225	ecg:E2348C_3742
ko:K02016	ecg:E2348C_3744
ko:K07227	ecg:E2348C_3746
ko:K00880	ecg:E2348C_3833
ko:K03833	ecg:E2348C_3840
ko:K01042	ecg:E2348C_3841
ko:K02798	ecg:E2348C_3845
ko:K02799	ecg:E2348C_3845
ko:K02800	ecg:E2348C_3845
ko:K00009	ecg:E2348C_3846
ko:K02562	ecg:E2348C_3847
ko:K00427	ecg:E2348C_3852
ko:K00528	ecg:E2348C_4228
ko:K02446	ecg:E2348C_4229
ko:K00864	ecg:E2348C_4230
ko:K02440	ecg:E2348C_4231
ko:K09892	ecg:E2348C_4232
ko:K02553	ecg:E2348C_4233
ko:K02548	ecg:E2348C_4234
ko:K03667	ecg:E2348C_4235
ko:K01419	ecg:E2348C_4236
ko:K03591	ecg:E2348C_4237
ko:K04066	ecg:E2348C_4239
ko:K02909	ecg:E2348C_4240
ko:K03764	ecg:E2348C_4242
ko:K00005	ecg:E2348C_4258
ko:K08483	ecg:E2348C_4260
ko:K11189	ecg:E2348C_4260
ko:K11201	ecg:E2348C_4260
ko:K11203	ecg:E2348C_4261
ko:K11202	ecg:E2348C_4262
ko:K00656	ecg:E2348C_4263
ko:K04069	ecg:E2348C_4264
ko:K11202	ecg:E2348C_4265
ko:K01595	ecg:E2348C_4268
ko:K01438	ecg:E2348C_4269
ko:K00145	ecg:E2348C_4270
ko:K00930	ecg:E2348C_4271
ko:K01755	ecg:E2348C_4272
ko:K04761	ecg:E2348C_4275
ko:K01776	ecg:E2348C_4283
ko:K00075	ecg:E2348C_4284
ko:K00867	ecg:E2348C_4286
ko:K02358	ecg:E2348C_4287
ko:K03073	ecg:E2348C_4288
ko:K02601	ecg:E2348C_4289
ko:K02867	ecg:E2348C_4290
ko:K02863	ecg:E2348C_4291
ko:K02864	ecg:E2348C_4292
ko:K02935	ecg:E2348C_4293
ko:K03043	ecg:E2348C_4294
ko:K03046	ecg:E2348C_4295
ko:K03150	ecg:E2348C_4296
ko:K03149	ecg:E2348C_4297
ko:K03154	ecg:E2348C_4298
ko:K00788	ecg:E2348C_4300
ko:K03147	ecg:E2348C_4301
ko:K07740	ecg:E2348C_4302
ko:K03426	ecg:E2348C_4303
ko:K01599	ecg:E2348C_4304
ko:K05982	ecg:E2348C_4305
ko:K09891	ecg:E2348C_4306
ko:K05787	ecg:E2348C_4307
ko:K00548	ecg:E2348C_4321
ko:K05995	ecg:E2348C_4329
ko:K00068	ecg:E2348C_4335
ko:K06182	ecg:E2348C_4337
ko:K00928	ecg:E2348C_4339
ko:K01810	ecg:E2348C_4340
ko:K10125	ecg:E2348C_4378
ko:K03788	ecg:E2348C_4379
ko:K03701	ecg:E2348C_4382
ko:K03111	ecg:E2348C_4383
ko:K06901	ecg:E2348C_4388
ko:K00322	ecg:E2348C_4276
ko:K07803	ecg:E2348C_4309
ko:K07709	ecg:E2348C_4310
ko:K01945	ecg:E2348C_4312
ko:K03827	ecg:E2348C_4315
ko:K00651	ecg:E2348C_4316
ko:K01638	ecg:E2348C_4317
ko:K01637	ecg:E2348C_4318
ko:K10110	ecg:E2348C_4347
ko:K10109	ecg:E2348C_4348
ko:K10108	ecg:E2348C_4349
ko:K10111	ecg:E2348C_4350
ko:K05775	ecg:E2348C_4353
ko:K03181	ecg:E2348C_4354
ko:K03179	ecg:E2348C_4355
ko:K00631	ecg:E2348C_4356
ko:K00901	ecg:E2348C_4357
ko:K01356	ecg:E2348C_4358
ko:K03327	ecg:E2348C_4359
ko:K09823	ecg:E2348C_4361
ko:K05539	ecg:E2348C_4362
ko:K02314	ecg:E2348C_4365
ko:K01775	ecg:E2348C_4366
ko:K03811	ecg:E2348C_4367
ko:K06866	ecg:E2348C_2856
ko:K03648	ecg:E2348C_2857
ko:K03214	ecg:E2348C_2858
ko:K03672	ecg:E2348C_2859
ko:K09181	ecg:E2348C_2861
ko:K00998	ecg:E2348C_2862
ko:K05811	ecg:E2348C_2863
ko:K03761	ecg:E2348C_2864
ko:K03695	ecg:E2348C_2866
ko:K05810	ecg:E2348C_2867
ko:K06180	ecg:E2348C_2868
ko:K05807	ecg:E2348C_2869
ko:K05809	ecg:E2348C_2871
ko:K01626	ecg:E2348C_2875
ko:K03977	ecg:E2348C_2794
ko:K01892	ecg:E2348C_2797
ko:K06941	ecg:E2348C_2800
ko:K00940	ecg:E2348C_2801
ko:K05367	ecg:E2348C_2802
ko:K06894	ecg:E2348C_2803
ko:K07751	ecg:E2348C_2806
ko:K04044	ecg:E2348C_2809
ko:K04082	ecg:E2348C_2810
ko:K04488	ecg:E2348C_2812
ko:K05820	ecg:E2348C_2819
ko:K00600	ecg:E2348C_2828
ko:K05916	ecg:E2348C_2829
ko:K07715	ecg:E2348C_2831
ko:K07711	ecg:E2348C_2833
ko:K01933	ecg:E2348C_2724
ko:K11175	ecg:E2348C_2725
ko:K00937	ecg:E2348C_2726
ko:K04033	ecg:E2348C_2625
ko:K04026	ecg:E2348C_2627
ko:K06907	ecg:E2348C_2887
ko:K06908	ecg:E2348C_2888
ko:K06906	ecg:E2348C_2891
ko:K02884	ecg:E2348C_2895
ko:K00554	ecg:E2348C_2896
ko:K02860	ecg:E2348C_2897
ko:K02959	ecg:E2348C_2898
ko:K03106	ecg:E2348C_2899
ko:K01951	ecg:E2348C_2782
ko:K03735	ecg:E2348C_2683
ko:K04016	ecg:E2348C_4397
ko:K12684	ecg:E2348C_2915
ko:K00164	ecg:E2348C_4370
ko:K00658	ecg:E2348C_4371
ko:K00382	ecg:E2348C_4372
ko:K01903	ecg:E2348C_4373
ko:K01902	ecg:E2348C_4374
ko:K00016	ecg:E2348C_4376
ko:K10126	ecg:E2348C_4377
ko:K03385	ecg:E2348C_4393
ko:K04013	ecg:E2348C_4394
ko:K11102	ecg:E2348C_4400
ko:K02032	ecg:E2348C_4402
ko:K02031	ecg:E2348C_4403
ko:K02034	ecg:E2348C_4404
ko:K02033	ecg:E2348C_4405
ko:K02035	ecg:E2348C_4406
ko:K01808	ecg:E2348C_4419
ko:K06167	ecg:E2348C_4421
ko:K05774	ecg:E2348C_4423
ko:K06162	ecg:E2348C_4424
ko:K05780	ecg:E2348C_4425
ko:K05781	ecg:E2348C_4426
ko:K06163	ecg:E2348C_4427
ko:K06164	ecg:E2348C_4428
ko:K08309	ecg:E2348C_4692
ko:K03720	ecg:E2348C_4693
ko:K05804	ecg:E2348C_4696
ko:K05805	ecg:E2348C_4697
ko:K01776	ecg:E2348_P1_097
ko:K01752	ecg:E2348C_3064
ko:K00048	ecg:E2348C_3066
ko:K02429	ecg:E2348C_3068
ko:K01818	ecg:E2348C_3069
ko:K02431	ecg:E2348C_3071
ko:K02430	ecg:E2348C_3072
ko:K06968	ecg:E2348C_3073
ko:K08304	ecg:E2348C_3080
ko:K03488	ecg:E2348C_3085
ko:K01448	ecg:E2348C_3086
ko:K01815	ecg:E2348C_3114
ko:K01751	ecg:E2348C_3123
ko:K03581	ecg:E2348C_3088
ko:K03582	ecg:E2348C_3089
ko:K01407	ecg:E2348C_3090
ko:K03583	ecg:E2348C_3091
ko:K02680	ecg:E2348C_3094
ko:K02679	ecg:E2348C_3095
ko:K00560	ecg:E2348C_3096
ko:K08484	ecg:E2348C_3098
ko:K08311	ecg:E2348C_3099
ko:K03573	ecg:E2348C_3101
ko:K08227	ecg:E2348C_3105
ko:K02529	ecg:E2348C_3107
ko:K01586	ecg:E2348C_3108
ko:K01972	ecg:E2348C_3911
ko:K00942	ecg:E2348C_3912
ko:K03060	ecg:E2348C_3913
ko:K00556	ecg:E2348C_3915
ko:K03655	ecg:E2348C_3916
ko:K03312	ecg:E2348C_3917
ko:K09988	ecg:E2348C_3920
ko:K01624	ecg:E2348C_3922
ko:K01811	ecg:E2348C_3928
ko:K01464	ecg:E2348C_3125
ko:K00926	ecg:E2348C_3126
ko:K07402	ecg:E2348C_3127
ko:K07141	ecg:E2348C_3129
ko:K06901	ecg:E2348C_3137
ko:K01823	ecg:E2348C_3142
ko:K04567	ecg:E2348C_3143
ko:K02836	ecg:E2348C_3144
ko:K07462	ecg:E2348C_3145
ko:K03981	ecg:E2348C_3146
ko:K04763	ecg:E2348C_3147
ko:K03840	ecg:E2348C_3148
ko:K09159	ecg:E2348C_3150
ko:K06980	ecg:E2348C_3151
ko:K11068	ecg:E2348C_3152
ko:K09900	ecg:E2348C_3153
ko:K01223	ecg:E2348C_3154
ko:K02437	ecg:E2348C_3156
ko:K00605	ecg:E2348C_3157
ko:K03185	ecg:E2348C_3159
ko:K01262	ecg:E2348C_3160
ko:K09895	ecg:E2348C_3161
ko:K09888	ecg:E2348C_3162
ko:K01807	ecg:E2348C_3165
ko:K03226	ecg:E2348C_3963
ko:K05596	ecg:E2348C_3166
ko:K09807	ecg:E2348C_3169
ko:K03442	ecg:E2348C_3171
ko:K01624	ecg:E2348C_3172
ko:K00927	ecg:E2348C_3173
ko:K00615	ecg:E2348C_3187
ko:K07387	ecg:E2348C_3188
ko:K01480	ecg:E2348C_3189
ko:K01585	ecg:E2348C_3191
ko:K00789	ecg:E2348C_3195
ko:K02742	ecg:E2348C_3197
ko:K09761	ecg:E2348C_3199
ko:K01920	ecg:E2348C_3200
ko:K07735	ecg:E2348C_3201
ko:K07447	ecg:E2348C_3202
ko:K02669	ecg:E2348C_3203
ko:K06997	ecg:E2348C_3204
ko:K02221	ecg:E2348C_3205
ko:K09131	ecg:E2348C_3206
ko:K09923	ecg:E2348C_3212
ko:K03439	ecg:E2348C_3213
ko:K02461	ecg:E2348C_3241
ko:K02460	ecg:E2348C_3242
ko:K02459	ecg:E2348C_3243
ko:K02457	ecg:E2348C_3245
ko:K02456	ecg:E2348C_3246
ko:K02454	ecg:E2348C_3248
ko:K02453	ecg:E2348C_3249
ko:K02452	ecg:E2348C_3250
ko:K01638	ecg:E2348C_3255
ko:K11473	ecg:E2348C_3257
ko:K11472	ecg:E2348C_3258
ko:K06281	ecg:E2348C_3281
ko:K06282	ecg:E2348C_3284
ko:K03559	ecg:E2348C_3292
ko:K06905	ecg:E2348C_0842
ko:K06905	ecg:E2348C_1838
ko:K06905	ecg:E2348C_2892
ko:K03687	ecg:E2348C_2902
ko:K00858	ecg:E2348C_2903
ko:K03631	ecg:E2348C_2904
ko:K06186	ecg:E2348C_2905
ko:K09801	ecg:E2348C_2906
ko:K03664	ecg:E2348C_2908
ko:K00135	ecg:E2348C_2924
ko:K06191	ecg:E2348C_2938
ko:K03647	ecg:E2348C_2939
ko:K00525	ecg:E2348C_2940
ko:K06165	ecg:E2348C_4429
ko:K06166	ecg:E2348C_4430
ko:K02043	ecg:E2348C_4431
ko:K02042	ecg:E2348C_4432
ko:K02044	ecg:E2348C_4433
ko:K02041	ecg:E2348C_4434
ko:K06193	ecg:E2348C_4436
ko:K07643	ecg:E2348C_4440
ko:K01584	ecg:E2348C_4445
ko:K07406	ecg:E2348C_4447
ko:K08984	ecg:E2348C_4448
ko:K01676	ecg:E2348C_4449
ko:K07792	ecg:E2348C_4450
ko:K07703	ecg:E2348C_4451
ko:K07701	ecg:E2348C_4452
ko:K06975	ecg:E2348C_4454
ko:K04567	ecg:E2348C_4456
ko:K03305	ecg:E2348C_4457
ko:K04084	ecg:E2348C_4462
ko:K03926	ecg:E2348C_4463
ko:K01744	ecg:E2348C_4465
ko:K07113	ecg:E2348C_4466
ko:K04078	ecg:E2348C_4468
ko:K08485	ecg:E2348C_3485
ko:K04077	ecg:E2348C_4469
ko:K02356	ecg:E2348C_4473
ko:K00246	ecg:E2348C_4480
ko:K00245	ecg:E2348C_4481
ko:K00854	ecg:E2348C_3816
ko:K06183	ecg:E2348C_2330
ko:K12370	ecg:E2348C_3790
ko:K00244	ecg:E2348C_4482
ko:K00872	ecg:E2348C_0003
ko:K01733	ecg:E2348C_0004
ko:K09861	ecg:E2348C_0006
ko:K03310	ecg:E2348C_0007
ko:K00616	ecg:E2348C_0008
ko:K03831	ecg:E2348C_0009
ko:K01975	ecg:E2348C_0150
ko:K03579	ecg:E2348C_0151
ko:K05365	ecg:E2348C_0152
ko:K02014	ecg:E2348C_0157
ko:K02013	ecg:E2348C_0158
ko:K02016	ecg:E2348C_0159
ko:K02015	ecg:E2348C_0160
ko:K01845	ecg:E2348C_0161
ko:K03281	ecg:E2348C_0162
ko:K01129	ecg:E2348C_0167
ko:K02647	ecg:E2348C_0169
ko:K00990	ecg:E2348C_0172
ko:K01265	ecg:E2348C_0173
ko:K02967	ecg:E2348C_0174
ko:K02357	ecg:E2348C_0175
ko:K09903	ecg:E2348C_0176
ko:K02838	ecg:E2348C_0177
ko:K00099	ecg:E2348C_0178
ko:K00806	ecg:E2348C_0179
ko:K00981	ecg:E2348C_0180
ko:K07277	ecg:E2348C_0182
ko:K06142	ecg:E2348C_0183
ko:K02536	ecg:E2348C_0184
ko:K02372	ecg:E2348C_0185
ko:K00677	ecg:E2348C_0186
ko:K03470	ecg:E2348C_0188
ko:K02337	ecg:E2348C_0189
ko:K01962	ecg:E2348C_0190
ko:K06222	ecg:E2348C_0207
ko:K08307	ecg:E2348C_0211
ko:K03469	ecg:E2348C_0214
ko:K02342	ecg:E2348C_0215
ko:K06445	ecg:E2348C_0218
ko:K03271	ecg:E2348C_0219
ko:K02557	ecg:E2348C_0225
ko:K02346	ecg:E2348C_0226
ko:K03273	ecg:E2348C_0206
ko:K04075	ecg:E2348C_0193
ko:K01881	ecg:E2348C_0200
ko:K06080	ecg:E2348C_0202
ko:K02073	ecg:E2348C_0203
ko:K02072	ecg:E2348C_0204
ko:K05779	ecg:E2348C_1884
ko:K08320	ecg:E2348C_1887
ko:K03169	ecg:E2348C_1890
ko:K01008	ecg:E2348C_1891
ko:K04773	ecg:E2348C_1893
ko:K08369	ecg:E2348C_1896
ko:K08369	ecg:E2348C_1902
ko:K09916	ecg:E2348C_1904
ko:K07305	ecg:E2348C_1905
ko:K00134	ecg:E2348C_1906
ko:K07180	ecg:E2348C_1910
ko:K09786	ecg:E2348C_1911
ko:K03449	ecg:E2348C_1918
ko:K09712	ecg:E2348C_1920
ko:K11250	ecg:E2348C_1925
ko:K03684	ecg:E2348C_1927
ko:K07001	ecg:E2348C_1112
ko:K04477	ecg:E2348C_1124
ko:K06214	ecg:E2348C_1127
ko:K04338	ecg:E2348C_1128
ko:K04337	ecg:E2348C_1129
ko:K03670	ecg:E2348C_1139
ko:K03669	ecg:E2348C_1140
ko:K02517	ecg:E2348C_1144
ko:K07146	ecg:E2348C_1145
ko:K02388	ecg:E2348C_1164
