ko:K01658	ypx:YPD8_1328
ko:K14347	ypx:YPD8_1377
ko:K01809	ypx:YPD8_1380
ko:K08224	ypx:YPD8_1384
ko:K15545	ypx:YPD8_1386
ko:K01935	ypx:YPD8_1387
ko:K03281	ypx:YPD8_1388
ko:K02529	ypx:YPD8_1389
ko:K01241	ypx:YPD8_1394
ko:K01652	ypx:YPD8_1399
ko:K01653	ypx:YPD8_1400
ko:K14055	ypx:YPD8_1407
ko:K00325	ypx:YPD8_1408
ko:K00324	ypx:YPD8_1409
ko:K03758	ypx:YPD8_1411
ko:K06894	ypx:YPD8_2250
ko:K08996	ypx:YPD8_2251
ko:K00140	ypx:YPD8_2253
ko:K03336	ypx:YPD8_2254
ko:K03338	ypx:YPD8_2262
ko:K03335	ypx:YPD8_2263
ko:K03337	ypx:YPD8_2264
ko:K06199	ypx:YPD8_2270
ko:K03644	ypx:YPD8_2271
ko:K03801	ypx:YPD8_2272
ko:K03642	ypx:YPD8_2274
ko:K05837	ypx:YPD8_2275
ko:K05515	ypx:YPD8_2276
ko:K00783	ypx:YPD8_2277
ko:K09710	ypx:YPD8_2278
ko:K00969	ypx:YPD8_2279
ko:K02340	ypx:YPD8_2280
ko:K03643	ypx:YPD8_2281
ko:K01869	ypx:YPD8_2282
ko:K10004	ypx:YPD8_2284
ko:K10002	ypx:YPD8_2285
ko:K10003	ypx:YPD8_2286
ko:K10001	ypx:YPD8_2287
ko:K03820	ypx:YPD8_2288
ko:K06189	ypx:YPD8_2289
ko:K07042	ypx:YPD8_2290
ko:K06168	ypx:YPD8_2292
ko:K03184	ypx:YPD8_2293
ko:K01953	ypx:YPD8_2294
ko:K02565	ypx:YPD8_2296
ko:K01443	ypx:YPD8_2297
ko:K03814	ypx:YPD8_3122
ko:K07648	ypx:YPD8_3124
ko:K07139	ypx:YPD8_3125
ko:K00266	ypx:YPD8_3127
ko:K03600	ypx:YPD8_3129
ko:K03599	ypx:YPD8_3130
ko:K02996	ypx:YPD8_3131
ko:K02871	ypx:YPD8_3132
ko:K06916	ypx:YPD8_3133
ko:K09908	ypx:YPD8_3134
ko:K04691	ypx:YPD8_3137
ko:K00790	ypx:YPD8_3138
ko:K07122	ypx:YPD8_3139
ko:K07323	ypx:YPD8_3140
ko:K02066	ypx:YPD8_3142
ko:K02065	ypx:YPD8_3143
ko:K07301	ypx:YPD8_3144
ko:K06041	ypx:YPD8_3145
ko:K03270	ypx:YPD8_3146
ko:K11719	ypx:YPD8_3147
ko:K09774	ypx:YPD8_3148
ko:K06861	ypx:YPD8_3149
ko:K03092	ypx:YPD8_3150
ko:K06958	ypx:YPD8_3152
ko:K00609	ypx:YPD8_3153
ko:K00610	ypx:YPD8_3154
ko:K03485	ypx:YPD8_3157
ko:K02818	ypx:YPD8_3158
ko:K02819	ypx:YPD8_3158
ko:K06140	ypx:YPD8_3160
ko:K15536	ypx:YPD8_3161
ko:K03592	ypx:YPD8_3163
ko:K09889	ypx:YPD8_3164
ko:K03468	ypx:YPD8_3168
ko:K15548	ypx:YPD8_3169
ko:K01673	ypx:YPD8_0846
ko:K02452	ypx:YPD8_0848
ko:K02453	ypx:YPD8_0849
ko:K02455	ypx:YPD8_0851
ko:K02456	ypx:YPD8_0852
ko:K02459	ypx:YPD8_0853
ko:K02460	ypx:YPD8_0854
ko:K02461	ypx:YPD8_0855
ko:K02465	ypx:YPD8_0858
ko:K09160	ypx:YPD8_1710
ko:K03610	ypx:YPD8_1713
ko:K03609	ypx:YPD8_1714
ko:K03684	ypx:YPD8_1715
ko:K07285	ypx:YPD8_1717
ko:K11742	ypx:YPD8_1721
ko:K11743	ypx:YPD8_1722
ko:K01625	ypx:YPD8_1723
ko:K00036	ypx:YPD8_1724
ko:K00873	ypx:YPD8_1726
ko:K02560	ypx:YPD8_1727
ko:K09817	ypx:YPD8_1730
ko:K09816	ypx:YPD8_1731
ko:K03551	ypx:YPD8_1732
ko:K03550	ypx:YPD8_1733
ko:K01159	ypx:YPD8_1734
ko:K08310	ypx:YPD8_1736
ko:K01876	ypx:YPD8_1737
ko:K07136	ypx:YPD8_1739
ko:K15256	ypx:YPD8_1740
ko:K15257	ypx:YPD8_1741
ko:K09907	ypx:YPD8_1743
ko:K01887	ypx:YPD8_1744
ko:K11016	ypx:YPD8_1745
ko:K11017	ypx:YPD8_1746
ko:K03980	ypx:YPD8_1747
ko:K02012	ypx:YPD8_2586
ko:K02011	ypx:YPD8_2587
ko:K07306	ypx:YPD8_2591
ko:K14261	ypx:YPD8_2601
ko:K03322	ypx:YPD8_2607
ko:K11535	ypx:YPD8_2608
ko:K09962	ypx:YPD8_2611
ko:K01972	ypx:YPD8_2613
ko:K03528	ypx:YPD8_2614
ko:K06203	ypx:YPD8_2615
ko:K01738	ypx:YPD8_2616
ko:K13888	ypx:YPD8_2622
ko:K05685	ypx:YPD8_2623
ko:K14155	ypx:YPD8_2627
ko:K00826	ypx:YPD8_3436
ko:K01652	ypx:YPD8_3437
ko:K07391	ypx:YPD8_3438
ko:K09897	ypx:YPD8_3439
ko:K02057	ypx:YPD8_3441
ko:K02057	ypx:YPD8_3442
ko:K01776	ypx:YPD8_3445
ko:K00322	ypx:YPD8_3450
ko:K04761	ypx:YPD8_3451
ko:K00382	ypx:YPD8_3453
ko:K03832	ypx:YPD8_3454
ko:K12537	ypx:YPD8_3455
ko:K12536	ypx:YPD8_3456
ko:K01755	ypx:YPD8_3459
ko:K00930	ypx:YPD8_3460
ko:K00145	ypx:YPD8_3461
ko:K01438	ypx:YPD8_3462
ko:K01595	ypx:YPD8_3463
ko:K00111	ypx:YPD8_3467
ko:K00688	ypx:YPD8_3468
ko:K00703	ypx:YPD8_3469
ko:K00975	ypx:YPD8_3470
ko:K02478	ypx:YPD8_3474
ko:K13735	ypx:YPD8_3475
ko:K00133	ypx:YPD8_3476
ko:K06155	ypx:YPD8_3480
ko:K06145	ypx:YPD8_3481
ko:K06911	ypx:YPD8_3482
ko:K12531	ypx:YPD8_1369
ko:K12530	ypx:YPD8_1366
ko:K09920	ypx:YPD8_0576
ko:K03651	ypx:YPD8_0577
ko:K07000	ypx:YPD8_0578
ko:K02622	ypx:YPD8_0579
ko:K03923	ypx:YPD8_0581
ko:K02621	ypx:YPD8_0582
ko:K00655	ypx:YPD8_0583
ko:K08325	ypx:YPD8_0588
ko:K03561	ypx:YPD8_0592
ko:K12511	ypx:YPD8_0598
ko:K12510	ypx:YPD8_0599
ko:K02283	ypx:YPD8_0600
ko:K02282	ypx:YPD8_0601
ko:K02280	ypx:YPD8_0603
ko:K02279	ypx:YPD8_0604
ko:K02278	ypx:YPD8_0605
ko:K02016	ypx:YPD8_0611
ko:K02400	ypx:YPD8_0613
ko:K02400	ypx:YPD8_0614
ko:K02401	ypx:YPD8_0615
ko:K02421	ypx:YPD8_0616
ko:K02419	ypx:YPD8_0617
ko:K02417	ypx:YPD8_0618
ko:K02416	ypx:YPD8_0619
ko:K02408	ypx:YPD8_0621
ko:K02409	ypx:YPD8_0622
ko:K02410	ypx:YPD8_0623
ko:K02411	ypx:YPD8_0624
ko:K02412	ypx:YPD8_0625
ko:K02399	ypx:YPD8_0627
ko:K02386	ypx:YPD8_0628
ko:K02387	ypx:YPD8_0629
ko:K03760	ypx:YPD8_1472
ko:K10680	ypx:YPD8_1474
ko:K03683	ypx:YPD8_1477
ko:K07390	ypx:YPD8_1478
ko:K04564	ypx:YPD8_1480
ko:K00574	ypx:YPD8_1485
ko:K00793	ypx:YPD8_1486
ko:K03327	ypx:YPD8_1487
ko:K00873	ypx:YPD8_1488
ko:K02426	ypx:YPD8_1493
ko:K11717	ypx:YPD8_1494
ko:K09015	ypx:YPD8_1495
ko:K09013	ypx:YPD8_1496
ko:K09014	ypx:YPD8_1497
ko:K05997	ypx:YPD8_1498
ko:K09773	ypx:YPD8_1503
ko:K01626	ypx:YPD8_1504
ko:K03800	ypx:YPD8_1507
ko:K12963	ypx:YPD8_1509
ko:K12962	ypx:YPD8_1510
ko:K07264	ypx:YPD8_1511
ko:K13014	ypx:YPD8_1512
ko:K10011	ypx:YPD8_1513
ko:K10012	ypx:YPD8_1514
ko:K07806	ypx:YPD8_1515
ko:K06074	ypx:YPD8_1516
ko:K00432	ypx:YPD8_1517
ko:K06073	ypx:YPD8_1518
ko:K01890	ypx:YPD8_1521
ko:K01889	ypx:YPD8_1522
ko:K02887	ypx:YPD8_1523
ko:K02520	ypx:YPD8_1524
ko:K01669	ypx:YPD8_2355
ko:K07160	ypx:YPD8_2360
ko:K01304	ypx:YPD8_2363
ko:K03648	ypx:YPD8_2364
ko:K05590	ypx:YPD8_2368
ko:K00278	ypx:YPD8_2370
ko:K03088	ypx:YPD8_2371
ko:K03597	ypx:YPD8_2372
ko:K03598	ypx:YPD8_2373
ko:K03596	ypx:YPD8_2376
ko:K03100	ypx:YPD8_2377
ko:K03685	ypx:YPD8_2378
ko:K03897	ypx:YPD8_0700
ko:K11901	ypx:YPD8_0711
ko:K11900	ypx:YPD8_0712
ko:K11893	ypx:YPD8_0713
ko:K11892	ypx:YPD8_0714
ko:K11903	ypx:YPD8_0716
ko:K11907	ypx:YPD8_0717
ko:K01581	ypx:YPD8_0721
ko:K10441	ypx:YPD8_0723
ko:K02016	ypx:YPD8_0726
ko:K08306	ypx:YPD8_0727
ko:K03575	ypx:YPD8_0728
ko:K03439	ypx:YPD8_0729
ko:K09923	ypx:YPD8_0730
ko:K01425	ypx:YPD8_0731
ko:K02221	ypx:YPD8_0736
ko:K00286	ypx:YPD8_0737
ko:K06997	ypx:YPD8_0738
ko:K02669	ypx:YPD8_0739
ko:K10536	ypx:YPD8_0740
ko:K12251	ypx:YPD8_0741
ko:K07447	ypx:YPD8_0742
ko:K07735	ypx:YPD8_0743
ko:K02016	ypx:YPD8_1581
ko:K02015	ypx:YPD8_1582
ko:K02015	ypx:YPD8_1583
ko:K02013	ypx:YPD8_1584
ko:K03897	ypx:YPD8_1587
ko:K13745	ypx:YPD8_1588
ko:K13255	ypx:YPD8_1589
ko:K07289	ypx:YPD8_1591
ko:K01494	ypx:YPD8_1592
ko:K00876	ypx:YPD8_1593
ko:K01874	ypx:YPD8_1595
ko:K10542	ypx:YPD8_1607
ko:K07148	ypx:YPD8_1609
ko:K01495	ypx:YPD8_1610
ko:K01070	ypx:YPD8_1614
ko:K02003	ypx:YPD8_1617
ko:K06871	ypx:YPD8_1618
ko:K03750	ypx:YPD8_1619
ko:K03832	ypx:YPD8_1622
ko:K06131	ypx:YPD8_1624
ko:K03975	ypx:YPD8_2518
ko:K06173	ypx:YPD8_2519
ko:K03473	ypx:YPD8_2521
ko:K06200	ypx:YPD8_3333
ko:K00757	ypx:YPD8_3335
ko:K01061	ypx:YPD8_3336
ko:K00549	ypx:YPD8_3337
ko:K03576	ypx:YPD8_3338
ko:K07088	ypx:YPD8_3339
ko:K01126	ypx:YPD8_3340
ko:K05813	ypx:YPD8_3344
ko:K01996	ypx:YPD8_3352
ko:K01995	ypx:YPD8_3353
ko:K01998	ypx:YPD8_3354
ko:K01997	ypx:YPD8_3355
ko:K01999	ypx:YPD8_3356
ko:K03089	ypx:YPD8_3359
ko:K09811	ypx:YPD8_3360
ko:K09812	ypx:YPD8_3361
ko:K03110	ypx:YPD8_3362
ko:K01534	ypx:YPD8_3367
ko:K09125	ypx:YPD8_3369
ko:K00113	ypx:YPD8_3371
ko:K00112	ypx:YPD8_3372
ko:K09901	ypx:YPD8_1625
ko:K15581	ypx:YPD8_1629
ko:K15580	ypx:YPD8_1630
ko:K04072	ypx:YPD8_1632
ko:K11175	ypx:YPD8_2471
ko:K01933	ypx:YPD8_2472
ko:K00761	ypx:YPD8_2473
ko:K01491	ypx:YPD8_2475
ko:K00981	ypx:YPD8_2478
ko:K05349	ypx:YPD8_2490
ko:K05367	ypx:YPD8_2501
ko:K07095	ypx:YPD8_2505
ko:K07071	ypx:YPD8_2507
ko:K10017	ypx:YPD8_2508
ko:K10015	ypx:YPD8_2509
ko:K10016	ypx:YPD8_2510
ko:K03186	ypx:YPD8_2512
ko:K00764	ypx:YPD8_2513
ko:K03558	ypx:YPD8_2514
ko:K03749	ypx:YPD8_2515
ko:K11754	ypx:YPD8_2516
ko:K01963	ypx:YPD8_2517
ko:K03584	ypx:YPD8_2380
ko:K03474	ypx:YPD8_2383
ko:K00997	ypx:YPD8_2384
ko:K07106	ypx:YPD8_2387
ko:K11991	ypx:YPD8_2389
ko:K01952	ypx:YPD8_2391
ko:K07711	ypx:YPD8_2396
ko:K07715	ypx:YPD8_2398
ko:K01950	ypx:YPD8_2399
ko:K04751	ypx:YPD8_2400
ko:K05916	ypx:YPD8_2403
ko:K00600	ypx:YPD8_2404
ko:K05820	ypx:YPD8_2406
ko:K15396	ypx:YPD8_2412
ko:K11911	ypx:YPD8_3241
ko:K11911	ypx:YPD8_3242
ko:K11891	ypx:YPD8_3243
ko:K11910	ypx:YPD8_3245
ko:K11909	ypx:YPD8_3246
ko:K11907	ypx:YPD8_3248
ko:K11892	ypx:YPD8_3249
ko:K11893	ypx:YPD8_3250
ko:K11906	ypx:YPD8_3251
ko:K11895	ypx:YPD8_3253
ko:K11896	ypx:YPD8_3254
ko:K11905	ypx:YPD8_3257
ko:K11900	ypx:YPD8_3258
ko:K11901	ypx:YPD8_3259
ko:K11903	ypx:YPD8_3260
ko:K05775	ypx:YPD8_3261
ko:K02024	ypx:YPD8_3262
ko:K13256	ypx:YPD8_3267
ko:K00928	ypx:YPD8_3270
ko:K11017	ypx:YPD8_3272
ko:K11016	ypx:YPD8_3273
ko:K00906	ypx:YPD8_3277
ko:K01637	ypx:YPD8_3278
ko:K01638	ypx:YPD8_3279
ko:K00651	ypx:YPD8_3280
ko:K00602	ypx:YPD8_3281
ko:K01945	ypx:YPD8_3283
ko:K00111	ypx:YPD8_3373
ko:K01126	ypx:YPD8_3374
ko:K05834	ypx:YPD8_3378
ko:K05835	ypx:YPD8_3379
ko:K03654	ypx:YPD8_3380
ko:K01058	ypx:YPD8_3381
ko:K05786	ypx:YPD8_3383
ko:K03284	ypx:YPD8_3384
ko:K12524	ypx:YPD8_0399
ko:K00872	ypx:YPD8_0400
ko:K01733	ypx:YPD8_0401
ko:K09861	ypx:YPD8_0402
ko:K03831	ypx:YPD8_0404
ko:K04043	ypx:YPD8_0408
ko:K03686	ypx:YPD8_0409
ko:K03313	ypx:YPD8_0410
ko:K03717	ypx:YPD8_0411
ko:K01870	ypx:YPD8_0414
ko:K03101	ypx:YPD8_0415
ko:K03774	ypx:YPD8_0416
ko:K03527	ypx:YPD8_0417
ko:K00215	ypx:YPD8_0419
ko:K01956	ypx:YPD8_0420
ko:K01955	ypx:YPD8_0421
ko:K06195	ypx:YPD8_0429
ko:K02528	ypx:YPD8_0430
ko:K00097	ypx:YPD8_0431
ko:K03771	ypx:YPD8_0432
ko:K04744	ypx:YPD8_0433
ko:K05801	ypx:YPD8_0434
ko:K11900	ypx:YPD8_0439
ko:K11903	ypx:YPD8_0440
ko:K11897	ypx:YPD8_0441
ko:K11896	ypx:YPD8_0442
ko:K11895	ypx:YPD8_0443
ko:K11907	ypx:YPD8_0444
ko:K03580	ypx:YPD8_0455
ko:K02336	ypx:YPD8_0456
ko:K11891	ypx:YPD8_1304
ko:K11910	ypx:YPD8_1305
ko:K11896	ypx:YPD8_1308
ko:K11895	ypx:YPD8_1309
ko:K11906	ypx:YPD8_1310
ko:K11905	ypx:YPD8_1311
ko:K11911	ypx:YPD8_1312
ko:K10806	ypx:YPD8_1317
ko:K06190	ypx:YPD8_1318
ko:K07275	ypx:YPD8_1322
ko:K01695	ypx:YPD8_1324
ko:K01696	ypx:YPD8_1325
ko:K13498	ypx:YPD8_1326
ko:K00766	ypx:YPD8_1327
ko:K01657	ypx:YPD8_1329
ko:K07053	ypx:YPD8_1330
ko:K06178	ypx:YPD8_1333
ko:K03168	ypx:YPD8_1338
ko:K13634	ypx:YPD8_1339
ko:K01681	ypx:YPD8_1341
ko:K01591	ypx:YPD8_1348
ko:K03113	ypx:YPD8_1349
ko:K06200	ypx:YPD8_1353
ko:K01147	ypx:YPD8_1354
ko:K04047	ypx:YPD8_2191
ko:K11939	ypx:YPD8_2194
ko:K11934	ypx:YPD8_2195
ko:K10441	ypx:YPD8_2202
ko:K02529	ypx:YPD8_2204
ko:K07246	ypx:YPD8_2206
ko:K15342	ypx:YPD8_2228
ko:K10713	ypx:YPD8_2236
ko:K08368	ypx:YPD8_2237
ko:K07146	ypx:YPD8_2242
ko:K11744	ypx:YPD8_2243
ko:K02846	ypx:YPD8_2245
ko:K01465	ypx:YPD8_2247
ko:K05803	ypx:YPD8_3067
ko:K00962	ypx:YPD8_3068
ko:K02834	ypx:YPD8_3072
ko:K02519	ypx:YPD8_3073
ko:K02600	ypx:YPD8_3074
ko:K09748	ypx:YPD8_3075
ko:K03431	ypx:YPD8_3076
ko:K00796	ypx:YPD8_3077
ko:K03798	ypx:YPD8_3079
ko:K03624	ypx:YPD8_3081
ko:K07259	ypx:YPD8_3082
ko:K07643	ypx:YPD8_3084
ko:K03979	ypx:YPD8_3085
ko:K02888	ypx:YPD8_3087
ko:K02523	ypx:YPD8_3088
ko:K00024	ypx:YPD8_3090
ko:K03402	ypx:YPD8_3091
ko:K02558	ypx:YPD8_3092
ko:K03841	ypx:YPD8_3093
ko:K09800	ypx:YPD8_3096
ko:K07278	ypx:YPD8_3097
ko:K07109	ypx:YPD8_3101
ko:K07322	ypx:YPD8_3104
ko:K03773	ypx:YPD8_3105
ko:K07269	ypx:YPD8_3106
ko:K02939	ypx:YPD8_3109
ko:K02990	ypx:YPD8_3110
ko:K06911	ypx:YPD8_3116
ko:K07056	ypx:YPD8_3117
ko:K07121	ypx:YPD8_3118
ko:K07460	ypx:YPD8_3119
ko:K02529	ypx:YPD8_0867
ko:K05939	ypx:YPD8_0870
ko:K08227	ypx:YPD8_0871
ko:K03573	ypx:YPD8_0873
ko:K08311	ypx:YPD8_0874
ko:K08484	ypx:YPD8_0875
ko:K13292	ypx:YPD8_0876
ko:K02679	ypx:YPD8_0878
ko:K09458	ypx:YPD8_0881
ko:K07396	ypx:YPD8_0861
ko:K01586	ypx:YPD8_0866
ko:K09857	ypx:YPD8_0883
ko:K06192	ypx:YPD8_0884
ko:K03808	ypx:YPD8_0885
ko:K15738	ypx:YPD8_0886
ko:K12297	ypx:YPD8_0887
ko:K07140	ypx:YPD8_0888
ko:K01256	ypx:YPD8_0891
ko:K00763	ypx:YPD8_0892
ko:K01893	ypx:YPD8_0893
ko:K03632	ypx:YPD8_0900
ko:K03804	ypx:YPD8_0901
ko:K03633	ypx:YPD8_0902
ko:K06219	ypx:YPD8_0903
ko:K00979	ypx:YPD8_0905
ko:K00912	ypx:YPD8_0907
ko:K02945	ypx:YPD8_0910
ko:K00945	ypx:YPD8_0911
ko:K00800	ypx:YPD8_0912
ko:K00831	ypx:YPD8_0913
ko:K09136	ypx:YPD8_0917
ko:K03790	ypx:YPD8_1749
ko:K08162	ypx:YPD8_1750
ko:K02053	ypx:YPD8_1760
ko:K03321	ypx:YPD8_1763
ko:K01627	ypx:YPD8_1764
ko:K02493	ypx:YPD8_1767
ko:K02835	ypx:YPD8_1768
ko:K02492	ypx:YPD8_1769
ko:K02494	ypx:YPD8_1770
ko:K00919	ypx:YPD8_1771
ko:K00948	ypx:YPD8_1772
ko:K01056	ypx:YPD8_1773
ko:K06942	ypx:YPD8_1774
ko:K07644	ypx:YPD8_1784
ko:K00720	ypx:YPD8_1801
ko:K12339	ypx:YPD8_2632
ko:K02045	ypx:YPD8_2633
ko:K02047	ypx:YPD8_2634
ko:K02046	ypx:YPD8_2635
ko:K02048	ypx:YPD8_2636
ko:K03290	ypx:YPD8_2637
ko:K00885	ypx:YPD8_2640
ko:K07223	ypx:YPD8_2645
ko:K00228	ypx:YPD8_2651
ko:K09768	ypx:YPD8_2652
ko:K00029	ypx:YPD8_2653
ko:K02568	ypx:YPD8_2656
ko:K02567	ypx:YPD8_2657
ko:K02572	ypx:YPD8_2658
ko:K07685	ypx:YPD8_2659
ko:K07038	ypx:YPD8_2662
ko:K06871	ypx:YPD8_2663
ko:K02011	ypx:YPD8_2666
ko:K02012	ypx:YPD8_2667
ko:K06957	ypx:YPD8_2672
ko:K01923	ypx:YPD8_2675
ko:K07287	ypx:YPD8_2677
ko:K01714	ypx:YPD8_2678
ko:K03567	ypx:YPD8_2679
ko:K03564	ypx:YPD8_2680
ko:K10763	ypx:YPD8_2685
ko:K01883	ypx:YPD8_2687
ko:K01624	ypx:YPD8_3485
ko:K09988	ypx:YPD8_3486
ko:K10441	ypx:YPD8_3489
ko:K07007	ypx:YPD8_3491
ko:K06144	ypx:YPD8_3494
ko:K00262	ypx:YPD8_3496
ko:K15984	ypx:YPD8_3498
ko:K01414	ypx:YPD8_3499
ko:K07115	ypx:YPD8_3500
ko:K02647	ypx:YPD8_3503
ko:K00865	ypx:YPD8_3505
ko:K07058	ypx:YPD8_3512
ko:K01521	ypx:YPD8_3513
ko:K07290	ypx:YPD8_3514
ko:K00874	ypx:YPD8_3516
ko:K11103	ypx:YPD8_3518
ko:K12372	ypx:YPD8_3524
ko:K12371	ypx:YPD8_3525
ko:K12370	ypx:YPD8_3526
ko:K12369	ypx:YPD8_3527
ko:K12368	ypx:YPD8_3528
ko:K07783	ypx:YPD8_3531
ko:K12975	ypx:YPD8_3537
ko:K01745	ypx:YPD8_3540
ko:K07862	ypx:YPD8_0514
ko:K07043	ypx:YPD8_0516
ko:K15125	ypx:YPD8_0528
ko:K02529	ypx:YPD8_0535
ko:K05349	ypx:YPD8_0540
ko:K15547	ypx:YPD8_0542
ko:K15549	ypx:YPD8_0543
ko:K07396	ypx:YPD8_0551
ko:K03086	ypx:YPD8_0557
ko:K08591	ypx:YPD8_0561
ko:K01633	ypx:YPD8_0562
ko:K06153	ypx:YPD8_0563
ko:K07184	ypx:YPD8_0565
ko:K00982	ypx:YPD8_0567
ko:K03272	ypx:YPD8_0568
ko:K07661	ypx:YPD8_1413
ko:K07639	ypx:YPD8_1414
ko:K01299	ypx:YPD8_1415
ko:K04775	ypx:YPD8_1420
ko:K03578	ypx:YPD8_1423
ko:K01118	ypx:YPD8_1424
ko:K00007	ypx:YPD8_1426
ko:K09978	ypx:YPD8_1427
ko:K03778	ypx:YPD8_1429
ko:K07507	ypx:YPD8_1432
ko:K03737	ypx:YPD8_1434
ko:K14058	ypx:YPD8_1435
ko:K15580	ypx:YPD8_1439
ko:K14054	ypx:YPD8_1440
ko:K11065	ypx:YPD8_1442
ko:K03721	ypx:YPD8_1446
ko:K08990	ypx:YPD8_1449
ko:K06918	ypx:YPD8_1450
ko:K03969	ypx:YPD8_1452
ko:K03974	ypx:YPD8_1453
ko:K03305	ypx:YPD8_1461
ko:K00868	ypx:YPD8_1464
ko:K01866	ypx:YPD8_1465
ko:K00275	ypx:YPD8_1466
ko:K09001	ypx:YPD8_1468
ko:K06077	ypx:YPD8_1469
ko:K02802	ypx:YPD8_2299
ko:K02803	ypx:YPD8_2299
ko:K02804	ypx:YPD8_2299
ko:K01886	ypx:YPD8_2301
ko:K03839	ypx:YPD8_2306
ko:K02002	ypx:YPD8_2312
ko:K02001	ypx:YPD8_2313
ko:K02000	ypx:YPD8_2314
ko:K02034	ypx:YPD8_2325
ko:K01430	ypx:YPD8_2328
ko:K01429	ypx:YPD8_2329
ko:K01428	ypx:YPD8_2330
ko:K03187	ypx:YPD8_2331
ko:K03188	ypx:YPD8_2332
ko:K03189	ypx:YPD8_2333
ko:K03190	ypx:YPD8_2334
ko:K08717	ypx:YPD8_2335
ko:K07241	ypx:YPD8_2336
ko:K10716	ypx:YPD8_2338
ko:K06199	ypx:YPD8_2339
ko:K06199	ypx:YPD8_2340
ko:K02760	ypx:YPD8_2341
ko:K02761	ypx:YPD8_2342
ko:K02759	ypx:YPD8_2343
ko:K03490	ypx:YPD8_2344
ko:K03645	ypx:YPD8_2346
ko:K07667	ypx:YPD8_2349
ko:K07646	ypx:YPD8_2350
ko:K01548	ypx:YPD8_2351
ko:K01547	ypx:YPD8_2352
ko:K01546	ypx:YPD8_2353
ko:K03568	ypx:YPD8_3180
ko:K08301	ypx:YPD8_3184
ko:K06287	ypx:YPD8_3185
ko:K03571	ypx:YPD8_3186
ko:K03570	ypx:YPD8_3187
ko:K03569	ypx:YPD8_3188
ko:K03786	ypx:YPD8_3193
ko:K02160	ypx:YPD8_3194
ko:K01961	ypx:YPD8_3195
ko:K14392	ypx:YPD8_3196
ko:K02687	ypx:YPD8_3197
ko:K02057	ypx:YPD8_3212
ko:K02057	ypx:YPD8_3213
ko:K12974	ypx:YPD8_3216
ko:K06901	ypx:YPD8_3219
ko:K15554	ypx:YPD8_3221
ko:K15553	ypx:YPD8_3223
ko:K00299	ypx:YPD8_3224
ko:K01920	ypx:YPD8_0744
ko:K09761	ypx:YPD8_0745
ko:K01150	ypx:YPD8_0746
ko:K02742	ypx:YPD8_0747
ko:K00789	ypx:YPD8_0748
ko:K07387	ypx:YPD8_0751
ko:K00615	ypx:YPD8_0752
