ko:K11707	ctf:CTDLC_0067
ko:K00161	ctf:CTDLC_0245
ko:K00162	ctf:CTDLC_0246
ko:K00627	ctf:CTDLC_0247
ko:K00688	ctf:CTDLC_0248
ko:K02959	ctf:CTDLC_0026
ko:K00554	ctf:CTDLC_0027
ko:K02884	ctf:CTDLC_0028
ko:K03470	ctf:CTDLC_0029
ko:K00942	ctf:CTDLC_0030
ko:K01874	ctf:CTDLC_0032
ko:K03581	ctf:CTDLC_0033
ko:K01494	ctf:CTDLC_0039
ko:K03551	ctf:CTDLC_0040
ko:K01255	ctf:CTDLC_0045
ko:K02340	ctf:CTDLC_0047
ko:K07056	ctf:CTDLC_0048
ko:K03106	ctf:CTDLC_0025
ko:K03230	ctf:CTDLC_0090
ko:K03229	ctf:CTDLC_0091
ko:K06942	ctf:CTDLC_0092
ko:K11753	ctf:CTDLC_0093
ko:K02834	ctf:CTDLC_0095
ko:K02519	ctf:CTDLC_0096
ko:K02600	ctf:CTDLC_0097
ko:K02945	ctf:CTDLC_0098
ko:K00384	ctf:CTDLC_0099
ko:K00997	ctf:CTDLC_0100
ko:K00208	ctf:CTDLC_0104
ko:K03575	ctf:CTDLC_0107
ko:K04077	ctf:CTDLC_0110
ko:K04078	ctf:CTDLC_0111
ko:K08602	ctf:CTDLC_0112
ko:K03695	ctf:CTDLC_0113
ko:K04058	ctf:CTDLC_0089
ko:K02469	ctf:CTDLC_0189
ko:K02470	ctf:CTDLC_0190
ko:K00773	ctf:CTDLC_0193
ko:K06213	ctf:CTDLC_0194
ko:K15580	ctf:CTDLC_0198
ko:K15581	ctf:CTDLC_0199
ko:K03319	ctf:CTDLC_0204
ko:K02527	ctf:CTDLC_0208
ko:K02313	ctf:CTDLC_0250
ko:K03217	ctf:CTDLC_0251
ko:K04487	ctf:CTDLC_0258
ko:K07083	ctf:CTDLC_0262
ko:K01962	ctf:CTDLC_0265
ko:K01448	ctf:CTDLC_0268
ko:K01928	ctf:CTDLC_0269
ko:K03587	ctf:CTDLC_0270
ko:K03438	ctf:CTDLC_0272
ko:K02517	ctf:CTDLC_0010
ko:K00425	ctf:CTDLC_0013
ko:K00426	ctf:CTDLC_0014
ko:K07175	ctf:CTDLC_0015
ko:K01870	ctf:CTDLC_0019
ko:K03100	ctf:CTDLC_0020
ko:K02909	ctf:CTDLC_0022
ko:K02835	ctf:CTDLC_0023
ko:K02493	ctf:CTDLC_0024
ko:K00164	ctf:CTDLC_0054
ko:K00658	ctf:CTDLC_0055
ko:K05810	ctf:CTDLC_0056
ko:K03526	ctf:CTDLC_0057
ko:K02400	ctf:CTDLC_0060
ko:K02405	ctf:CTDLC_0061
ko:K01866	ctf:CTDLC_0062
ko:K03596	ctf:CTDLC_0064
ko:K03301	ctf:CTDLC_0065
ko:K00099	ctf:CTDLC_0071
ko:K03629	ctf:CTDLC_0074
ko:K02338	ctf:CTDLC_0075
ko:K01783	ctf:CTDLC_0121
ko:K02356	ctf:CTDLC_0122
ko:K02160	ctf:CTDLC_0123
ko:K01961	ctf:CTDLC_0124
ko:K02871	ctf:CTDLC_0125
ko:K02996	ctf:CTDLC_0126
ko:K02029	ctf:CTDLC_0129
ko:K07058	ctf:CTDLC_0132
ko:K01869	ctf:CTDLC_0209
ko:K01845	ctf:CTDLC_0210
ko:K07735	ctf:CTDLC_0211
ko:K08999	ctf:CTDLC_0212
ko:K01807	ctf:CTDLC_0213
ko:K03787	ctf:CTDLC_0218
ko:K03179	ctf:CTDLC_0219
ko:K03186	ctf:CTDLC_0220
ko:K02313	ctf:CTDLC_0275
ko:K00347	ctf:CTDLC_0278
ko:K00348	ctf:CTDLC_0279
ko:K00349	ctf:CTDLC_0280
ko:K00350	ctf:CTDLC_0281
ko:K02437	ctf:CTDLC_0282
ko:K03734	ctf:CTDLC_0077
ko:K01491	ctf:CTDLC_0078
ko:K02902	ctf:CTDLC_0086
ko:K00705	ctf:CTDLC_0087
ko:K03664	ctf:CTDLC_0076
ko:K06999	ctf:CTDLC_0136
ko:K07566	ctf:CTDLC_0137
ko:K09125	ctf:CTDLC_0140
ko:K07039	ctf:CTDLC_0141
ko:K01972	ctf:CTDLC_0146
ko:K02913	ctf:CTDLC_0150
ko:K09808	ctf:CTDLC_0151
ko:K03720	ctf:CTDLC_0169
ko:K01696	ctf:CTDLC_0170
ko:K01695	ctf:CTDLC_0171
ko:K03800	ctf:CTDLC_0285
ko:K03648	ctf:CTDLC_0607
ko:K03657	ctf:CTDLC_0608
ko:K03092	ctf:CTDLC_0609
ko:K06137	ctf:CTDLC_0610
ko:K13941	ctf:CTDLC_0613
ko:K01633	ctf:CTDLC_0614
ko:K03086	ctf:CTDLC_0615
ko:K02968	ctf:CTDLC_0617
ko:K03980	ctf:CTDLC_0624
ko:K01151	ctf:CTDLC_0625
ko:K02986	ctf:CTDLC_0626
ko:K07146	ctf:CTDLC_0627
ko:K13789	ctf:CTDLC_0628
ko:K01698	ctf:CTDLC_0633
ko:K00346	ctf:CTDLC_0634
ko:K03582	ctf:CTDLC_0639
ko:K03583	ctf:CTDLC_0640
ko:K03168	ctf:CTDLC_0643
ko:K02221	ctf:CTDLC_0645
ko:K03581	ctf:CTDLC_0652
ko:K06861	ctf:CTDLC_0653
ko:K01627	ctf:CTDLC_0655
ko:K06180	ctf:CTDLC_0658
ko:K06960	ctf:CTDLC_0659
ko:K02469	ctf:CTDLC_0660
ko:K02470	ctf:CTDLC_0661
ko:K02492	ctf:CTDLC_0662
ko:K03224	ctf:CTDLC_0669
ko:K02417	ctf:CTDLC_0672
ko:K03219	ctf:CTDLC_0674
ko:K02838	ctf:CTDLC_0677
ko:K09903	ctf:CTDLC_0678
ko:K02357	ctf:CTDLC_0679
ko:K02967	ctf:CTDLC_0680
ko:K09013	ctf:CTDLC_0685
ko:K09015	ctf:CTDLC_0686
ko:K11717	ctf:CTDLC_0687
ko:K07220	ctf:CTDLC_0691
ko:K03306	ctf:CTDLC_0692
ko:K00927	ctf:CTDLC_0693
ko:K10773	ctf:CTDLC_0697
ko:K03650	ctf:CTDLC_0698
ko:K01613	ctf:CTDLC_0699
ko:K03070	ctf:CTDLC_0701
ko:K03977	ctf:CTDLC_0703
ko:K03544	ctf:CTDLC_0705
ko:K01358	ctf:CTDLC_0706
ko:K03545	ctf:CTDLC_0707
ko:K03569	ctf:CTDLC_0709
ko:K00057	ctf:CTDLC_0714
ko:K02412	ctf:CTDLC_0717
ko:K02411	ctf:CTDLC_0718
ko:K02409	ctf:CTDLC_0719
ko:K13819	ctf:CTDLC_0720
ko:K04487	ctf:CTDLC_0721
ko:K06178	ctf:CTDLC_0723
ko:K03524	ctf:CTDLC_0725
ko:K05837	ctf:CTDLC_0726
ko:K01875	ctf:CTDLC_0729
ko:K11752	ctf:CTDLC_0730
ko:K14652	ctf:CTDLC_0731
ko:K00794	ctf:CTDLC_0732
ko:K03310	ctf:CTDLC_0735
ko:K03466	ctf:CTDLC_0739
ko:K00351	ctf:CTDLC_0740
ko:K03210	ctf:CTDLC_0741
ko:K00231	ctf:CTDLC_0745
ko:K01599	ctf:CTDLC_0747
ko:K03723	ctf:CTDLC_0748
ko:K01872	ctf:CTDLC_0749
ko:K00615	ctf:CTDLC_0750
ko:K01241	ctf:CTDLC_0751
ko:K02356	ctf:CTDLC_0752
ko:K01929	ctf:CTDLC_0756
ko:K01000	ctf:CTDLC_0757
ko:K01925	ctf:CTDLC_0758
ko:K03588	ctf:CTDLC_0760
ko:K02563	ctf:CTDLC_0761
ko:K06960	ctf:CTDLC_0763
ko:K00791	ctf:CTDLC_0766
ko:K09710	ctf:CTDLC_0769
ko:K09458	ctf:CTDLC_0770
ko:K00655	ctf:CTDLC_0775
ko:K04567	ctf:CTDLC_0781
ko:K01883	ctf:CTDLC_0782
ko:K03536	ctf:CTDLC_0784
ko:K02914	ctf:CTDLC_0785
ko:K02919	ctf:CTDLC_0786
ko:K02954	ctf:CTDLC_0787
ko:K03703	ctf:CTDLC_0791
ko:K03555	ctf:CTDLC_0792
ko:K14164	ctf:CTDLC_0796
ko:K00995	ctf:CTDLC_0797
ko:K00703	ctf:CTDLC_0798
ko:K02897	ctf:CTDLC_0799
ko:K01056	ctf:CTDLC_0800
ko:K02990	ctf:CTDLC_0801
ko:K02963	ctf:CTDLC_0802
ko:K02939	ctf:CTDLC_0803
ko:K00919	ctf:CTDLC_0804
ko:K00630	ctf:CTDLC_0807
ko:K08301	ctf:CTDLC_0808
ko:K02911	ctf:CTDLC_0810
ko:K03621	ctf:CTDLC_0811
ko:K03431	ctf:CTDLC_0815
ko:K00820	ctf:CTDLC_0816
ko:K03834	ctf:CTDLC_0817
ko:K03834	ctf:CTDLC_0818
ko:K06890	ctf:CTDLC_0819
ko:K03110	ctf:CTDLC_0820
ko:K01903	ctf:CTDLC_0821
ko:K01902	ctf:CTDLC_0822
ko:K09760	ctf:CTDLC_0825
ko:K03439	ctf:CTDLC_0829
ko:K00075	ctf:CTDLC_0831
ko:K03625	ctf:CTDLC_0832
ko:K02520	ctf:CTDLC_0833
ko:K02887	ctf:CTDLC_0835
ko:K01889	ctf:CTDLC_0836
ko:K11720	ctf:CTDLC_0838
ko:K07091	ctf:CTDLC_0839
ko:K04075	ctf:CTDLC_0840
ko:K03798	ctf:CTDLC_0841
ko:K00962	ctf:CTDLC_0842
ko:K02956	ctf:CTDLC_0843
ko:K01265	ctf:CTDLC_0851
ko:K03321	ctf:CTDLC_0856
ko:K03527	ctf:CTDLC_0859
ko:K02434	ctf:CTDLC_0004
ko:K01963	ctf:CTDLC_0293
ko:K04564	ctf:CTDLC_0294
ko:K03685	ctf:CTDLC_0297
ko:K04485	ctf:CTDLC_0298
ko:K01749	ctf:CTDLC_0299
ko:K01873	ctf:CTDLC_0302
ko:K03046	ctf:CTDLC_0314
ko:K03043	ctf:CTDLC_0315
ko:K02935	ctf:CTDLC_0316
ko:K02864	ctf:CTDLC_0317
ko:K02863	ctf:CTDLC_0318
ko:K02867	ctf:CTDLC_0319
ko:K02601	ctf:CTDLC_0320
ko:K03073	ctf:CTDLC_0321
ko:K02358	ctf:CTDLC_0322
ko:K02518	ctf:CTDLC_0323
ko:K01803	ctf:CTDLC_0328
ko:K03601	ctf:CTDLC_0329
ko:K01662	ctf:CTDLC_0331
ko:K00873	ctf:CTDLC_0332
ko:K03701	ctf:CTDLC_0333
ko:K02343	ctf:CTDLC_0334
ko:K09747	ctf:CTDLC_0335
ko:K11381	ctf:CTDLC_0340
ko:K03686	ctf:CTDLC_0341
ko:K01338	ctf:CTDLC_0344
ko:K03733	ctf:CTDLC_0347
ko:K06287	ctf:CTDLC_0349
ko:K03075	ctf:CTDLC_035101
ko:K01462	ctf:CTDLC_0353
ko:K02528	ctf:CTDLC_0354
ko:K06888	ctf:CTDLC_0356
ko:K03523	ctf:CTDLC_0359
ko:K01714	ctf:CTDLC_0361
ko:K00928	ctf:CTDLC_0362
ko:K00133	ctf:CTDLC_0363
ko:K00215	ctf:CTDLC_0364
ko:K00800	ctf:CTDLC_0366
ko:K00891	ctf:CTDLC_0367
ko:K01736	ctf:CTDLC_0368
ko:K01735	ctf:CTDLC_0369
ko:K13832	ctf:CTDLC_0370
ko:K03758	ctf:CTDLC_0374
ko:K00024	ctf:CTDLC_0376
ko:K01810	ctf:CTDLC_0378
ko:K02035	ctf:CTDLC_0175
ko:K02049	ctf:CTDLC_0180
ko:K00059	ctf:CTDLC_0237
ko:K03177	ctf:CTDLC_0094
ko:K06179	ctf:CTDLC_0106
ko:K01409	ctf:CTDLC_0197
ko:K15582	ctf:CTDLC_0200
ko:K06889	ctf:CTDLC_0206
ko:K07052	ctf:CTDLC_0254
ko:K02342	ctf:CTDLC_0261
ko:K03471	ctf:CTDLC_0008
ko:K00033	ctf:CTDLC_0063
ko:K00939	ctf:CTDLC_0128
ko:K02035	ctf:CTDLC_0139
ko:K06889	ctf:CTDLC_0149
ko:K03162	ctf:CTDLC_0681
ko:K03856	ctf:CTDLC_0382
ko:K00970	ctf:CTDLC_0410
ko:K09815	ctf:CTDLC_0415
ko:K00970	ctf:CTDLC_0704
ko:K01596	ctf:CTDLC_0710
ko:K00972	ctf:CTDLC_0715
ko:K06910	ctf:CTDLC_0736
ko:K07117	ctf:CTDLC_0737
ko:K02433	ctf:CTDLC_0003
ko:K02806	ctf:CTDLC_0290
ko:K02806	ctf:CTDLC_0291
ko:K02124	ctf:CTDLC_0304
ko:K02123	ctf:CTDLC_0305
ko:K02120	ctf:CTDLC_0306
ko:K02118	ctf:CTDLC_0307
ko:K02117	ctf:CTDLC_0308
ko:K02121	ctf:CTDLC_0310
ko:K00616	ctf:CTDLC_0313
ko:K01719	ctf:CTDLC_0433
ko:K00380	ctf:CTDLC_0435
ko:K01885	ctf:CTDLC_0445
ko:K07098	ctf:CTDLC_0461
ko:K00567	ctf:CTDLC_0477
ko:K02033	ctf:CTDLC_0479
ko:K01507	ctf:CTDLC_0772
ko:K01082	ctf:CTDLC_0774
ko:K01909	ctf:CTDLC_0776
ko:K00652	ctf:CTDLC_0777
ko:K08483	ctf:CTDLC_0336
ko:K11189	ctf:CTDLC_0337
ko:K00784	ctf:CTDLC_0346
ko:K02035	ctf:CTDLC_0480
ko:K01408	ctf:CTDLC_0806
ko:K02030	ctf:CTDLC_0486
ko:K01679	ctf:CTDLC_0855
ko:K04763	ctf:CTDLC_0864
ko:K00700	ctf:CTDLC_0866
ko:K02342	ctf:CTDLC_0536
ko:K07258	ctf:CTDLC_0551
ko:K03227	ctf:CTDLC_0563
ko:K02454	ctf:CTDLC_0571
ko:K01262	ctf:CTDLC_0574
ko:K07315	ctf:CTDLC_0588
ko:K00241	ctf:CTDLC_0593
ko:K03386	ctf:CTDLC_0603
ko:K02428	ctf:CTDLC_0606
ko:K00813	ctf:CTDLC_0637
ko:K01934	ctf:CTDLC_0649
ko:K14232	ctf:CTDLC_r036
ko:K14233	ctf:CTDLC_r027
ko:K14228	ctf:CTDLC_r013
ko:K01840	ctf:CTDLC_0295
ko:K11645	ctf:CTDLC_0215
ko:K15583	ctf:CTDLC_0202
ko:K14221	ctf:CTDLC_r031
ko:K00850	ctf:CTDLC_0205
ko:K10823	ctf:CTDLC_0201
ko:K14223	ctf:CTDLC_r011
ko:K01834	ctf:CTDLC_0722
ko:K14226	ctf:CTDLC_r016
ko:K07714	ctf:CTDLC_0468
ko:K00895	ctf:CTDLC_0207
ko:K08719	ctf:CTDLC_0713
ko:K01985	ctf:CTDLC_r042
ko:K01985	ctf:CTDLC_r043
ko:K11709	ctf:CTDLC_0070
ko:K11708	ctf:CTDLC_0069
ko:K11710	ctf:CTDLC_0068
ko:K14233	ctf:CTDLC_r012
ko:K01214	ctf:CTDLC_0042
ko:K03559	ctf:CTDLC_0597
ko:K14219	ctf:CTDLC_r009
ko:K14227	ctf:CTDLC_r035
ko:K09810	ctf:CTDLC_0152
ko:K14234	ctf:CTDLC_r001
ko:K02028	ctf:CTDLC_0130
ko:K14222	ctf:CTDLC_r015
ko:K14220	ctf:CTDLC_r037
ko:K01980	ctf:CTDLC_r040
ko:K01980	ctf:CTDLC_r041
ko:K17103	ctf:CTDLC_0826
ko:K01977	ctf:CTDLC_r038
ko:K01977	ctf:CTDLC_r039
ko:K14233	ctf:CTDLC_r004
ko:K14228	ctf:CTDLC_r005
ko:K04084	ctf:CTDLC_0595
ko:K14218	ctf:CTDLC_r021
ko:K14230	ctf:CTDLC_r033
ko:K14230	ctf:CTDLC_r003
ko:K14235	ctf:CTDLC_r029
ko:K14233	ctf:CTDLC_r024
ko:K14231	ctf:CTDLC_r026
ko:K14228	ctf:CTDLC_r023
ko:K14228	ctf:CTDLC_r007
ko:K14219	ctf:CTDLC_r006
ko:K14232	ctf:CTDLC_r008
ko:K14229	ctf:CTDLC_r020
ko:K14224	ctf:CTDLC_r019
ko:K14218	ctf:CTDLC_r034
ko:K14219	ctf:CTDLC_r022
ko:K14234	ctf:CTDLC_r010
ko:K14225	ctf:CTDLC_r018
ko:K14228	ctf:CTDLC_r025
ko:K14237	ctf:CTDLC_r030
ko:K14230	ctf:CTDLC_r032
ko:K14234	ctf:CTDLC_r028
ko:K14236	ctf:CTDLC_r002
ko:K14225	ctf:CTDLC_r017
ko:K14237	ctf:CTDLC_r014
ko:K06972	ctf:CTDLC_0824
ko:K08274	ctf:CTDLC_0377
ko:K07081	ctf:CTDLC_0427
ko:K02970	ctf:CTDLC_0342
ko:K01802	ctf:CTDLC_0541
ko:K08275	ctf:CTDLC_0080
ko:K01921	ctf:CTDLC_0762
ko:K01924	ctf:CTDLC_0762
ko:K01829	ctf:CTDLC_0780
ko:K01829	ctf:CTDLC_0783
ko:K03309	ctf:CTDLC_0401
ko:K07033	ctf:CTDLC_0684
ko:K03825	ctf:CTDLC_0458
ko:K03111	ctf:CTDLC_0044
ko:K03496	ctf:CTDLC_0582
ko:K03497	ctf:CTDLC_0688
ko:K03496	ctf:CTDLC_p003
ko:K02626	ctf:CTDLC_0373
ko:K11991	ctf:CTDLC_0844
ko:K02031	ctf:CTDLC_0690
ko:K04771	ctf:CTDLC_0823
ko:K19411	ctf:CTDLC_0676
ko:K19405	ctf:CTDLC_0675
ko:K07125	ctf:CTDLC_0325
ko:K22100	ctf:CTDLC_0327
ko:K12132	ctf:CTDLC_0301
ko:K20265	ctf:CTDLC_0216
ko:K20074	ctf:CTDLC_0259
ko:K11749	ctf:CTDLC_0072
ko:K22099	ctf:CTDLC_0611
ko:K00526	ctf:CTDLC_0828
ko:K02335	ctf:CTDLC_0493
ko:K02314	ctf:CTDLC_0497
ko:K00287	ctf:CTDLC_0612
ko:K03553	ctf:CTDLC_0650
ko:K02316	ctf:CTDLC_0794
ko:K02314	ctf:CTDLC_p007
ko:K01520	ctf:CTDLC_0292
ko:K02032	ctf:CTDLC_0689
ko:K00525	ctf:CTDLC_0827
ko:K02050	ctf:CTDLC_0854
ko:K02051	ctf:CTDLC_0854
ko:K01534	ctf:CTDLC_0727
ko:K16239	ctf:CTDLC_0085
