ko:K15864	psz:PSTAB_3504
ko:K14218	psz:PSTAB_t017
ko:K14224	psz:PSTAB_t035
ko:K14224	psz:PSTAB_t042
ko:K14224	psz:PSTAB_t040
ko:K10110	psz:PSTAB_3455
ko:K00104	psz:PSTAB_0462
ko:K02005	psz:PSTAB_2446
ko:K02824	psz:PSTAB_3225
ko:K02116	psz:PSTAB_4201
ko:K05570	psz:PSTAB_4207
ko:K05568	psz:PSTAB_4209
ko:K05565	psz:PSTAB_4212
ko:K01784	psz:PSTAB_0702
ko:K02004	psz:PSTAB_0711
ko:K00666	psz:PSTAB_3249
ko:K00626	psz:PSTAB_3259
ko:K01262	psz:PSTAB_4035
ko:K01934	psz:PSTAB_4039
ko:K01679	psz:PSTAB_1591
ko:K03406	psz:PSTAB_1597
ko:K05522	psz:PSTAB_0750
ko:K03406	psz:PSTAB_0766
ko:K13953	psz:PSTAB_0773
ko:K00374	psz:PSTAB_0792
ko:K03769	psz:PSTAB_0793
ko:K07028	psz:PSTAB_3309
ko:K07054	psz:PSTAB_0779
ko:K11209	psz:PSTAB_4117
ko:K01081	psz:PSTAB_4121
ko:K13953	psz:PSTAB_4136
ko:K07665	psz:PSTAB_2504
ko:K01607	psz:PSTAB_0824
ko:K11689	psz:PSTAB_0086
ko:K11688	psz:PSTAB_0087
ko:K02067	psz:PSTAB_0098
ko:K00127	psz:PSTAB_0227
ko:K00124	psz:PSTAB_0228
ko:K01424	psz:PSTAB_0257
ko:K05844	psz:PSTAB_0319
ko:K03406	psz:PSTAB_0330
ko:K01523	psz:PSTAB_0367
ko:K01496	psz:PSTAB_0368
ko:K03406	psz:PSTAB_0373
ko:K03406	psz:PSTAB_0387
ko:K07660	psz:PSTAB_0419
ko:K00058	psz:PSTAB_0429
ko:K09806	psz:PSTAB_0538
ko:K01719	psz:PSTAB_0561
ko:K02665	psz:PSTAB_0593
ko:K01409	psz:PSTAB_0610
ko:K10914	psz:PSTAB_0643
ko:K02258	psz:PSTAB_4150
ko:K03406	psz:PSTAB_1014
ko:K02454	psz:PSTAB_0185
ko:K04763	psz:PSTAB_1102
ko:K01759	psz:PSTAB_1111
ko:K03613	psz:PSTAB_1114
ko:K03612	psz:PSTAB_1115
ko:K03614	psz:PSTAB_1116
ko:K03615	psz:PSTAB_1117
ko:K03616	psz:PSTAB_1118
ko:K03617	psz:PSTAB_1119
ko:K04063	psz:PSTAB_0294
ko:K02454	psz:PSTAB_0299
ko:K02014	psz:PSTAB_1155
ko:K01039	psz:PSTAB_1162
ko:K01607	psz:PSTAB_1167
ko:K01259	psz:PSTAB_0360
ko:K11069	psz:PSTAB_0402
ko:K05570	psz:PSTAB_0410
ko:K03593	psz:PSTAB_1254
ko:K02569	psz:PSTAB_1257
ko:K02571	psz:PSTAB_1261
ko:K07657	psz:PSTAB_0458
ko:K01571	psz:PSTAB_1316
ko:K01572	psz:PSTAB_1317
ko:K00575	psz:PSTAB_1330
ko:K04748	psz:PSTAB_0843
ko:K03406	psz:PSTAB_0513
ko:K09898	psz:PSTAB_1367
ko:K01525	psz:PSTAB_0619
ko:K08974	psz:PSTAB_1476
ko:K03087	psz:PSTAB_1478
ko:K01092	psz:PSTAB_1498
ko:K06445	psz:PSTAB_1551
ko:K03972	psz:PSTAB_1553
ko:K00219	psz:PSTAB_1709
ko:K03177	psz:PSTAB_3355
ko:K02051	psz:PSTAB_1721
ko:K02049	psz:PSTAB_1722
ko:K02050	psz:PSTAB_1723
ko:K02030	psz:PSTAB_1724
ko:K01916	psz:PSTAB_1729
ko:K00799	psz:PSTAB_2513
ko:K02274	psz:PSTAB_4149
ko:K07305	psz:PSTAB_2516
ko:K00569	psz:PSTAB_2521
ko:K10943	psz:PSTAB_2522
ko:K00564	psz:PSTAB_1018
ko:K10942	psz:PSTAB_2523
ko:K00666	psz:PSTAB_1021
ko:K00626	psz:PSTAB_1811
ko:K01796	psz:PSTAB_1813
ko:K01692	psz:PSTAB_1820
ko:K03499	psz:PSTAB_1834
ko:K03635	psz:PSTAB_1077
ko:K03406	psz:PSTAB_1854
ko:K07393	psz:PSTAB_1879
ko:K11179	psz:PSTAB_1881
ko:K02051	psz:PSTAB_1889
ko:K02049	psz:PSTAB_1892
ko:K02050	psz:PSTAB_1893
ko:K03803	psz:PSTAB_1134
ko:K02200	psz:PSTAB_2529
ko:K02200	psz:PSTAB_2530
ko:K02193	psz:PSTAB_2537
ko:K03455	psz:PSTAB_4175
ko:K02049	psz:PSTAB_1909
ko:K02050	psz:PSTAB_1910
ko:K02004	psz:PSTAB_1917
ko:K03286	psz:PSTAB_1945
ko:K03325	psz:PSTAB_1985
ko:K07665	psz:PSTAB_1240
ko:K06183	psz:PSTAB_1252
ko:K07027	psz:PSTAB_2039
ko:K00700	psz:PSTAB_2040
ko:K00124	psz:PSTAB_2046
ko:K02017	psz:PSTAB_1297
ko:K01011	psz:PSTAB_1303
ko:K00045	psz:PSTAB_2080
ko:K00854	psz:PSTAB_2081
ko:K00851	psz:PSTAB_2087
ko:K03769	psz:PSTAB_2088
ko:K02014	psz:PSTAB_2093
ko:K03406	psz:PSTAB_2096
ko:K06177	psz:PSTAB_1353
ko:K01692	psz:PSTAB_2134
ko:K02342	psz:PSTAB_2136
ko:K03406	psz:PSTAB_2158
ko:K08167	psz:PSTAB_1395
ko:K14335	psz:PSTAB_1404
ko:K06986	psz:PSTAB_1405
ko:K05524	psz:PSTAB_1408
ko:K03743	psz:PSTAB_1411
ko:K00121	psz:PSTAB_1467
ko:K03769	psz:PSTAB_1505
ko:K14683	psz:PSTAB_1508
ko:K00274	psz:PSTAB_1518
ko:K07114	psz:PSTAB_2295
ko:K07114	psz:PSTAB_2296
ko:K01692	psz:PSTAB_1558
ko:K00616	psz:PSTAB_1570
ko:K00845	psz:PSTAB_2341
ko:K03498	psz:PSTAB_2356
ko:K07027	psz:PSTAB_3330
ko:K03560	psz:PSTAB_1844
ko:K02238	psz:PSTAB_2620
ko:K01470	psz:PSTAB_1896
ko:K02051	psz:PSTAB_1901
ko:K01941	psz:PSTAB_1905
ko:K09909	psz:PSTAB_2672
ko:K01439	psz:PSTAB_2675
ko:K07665	psz:PSTAB_2696
ko:K03825	psz:PSTAB_2704
ko:K03768	psz:PSTAB_1952
ko:K00939	psz:PSTAB_2730
ko:K03406	psz:PSTAB_2000
ko:K00383	psz:PSTAB_2003
ko:K07028	psz:PSTAB_2006
ko:K03548	psz:PSTAB_2815
ko:K00674	psz:PSTAB_2863
ko:K00548	psz:PSTAB_2106
ko:K04774	psz:PSTAB_2124
ko:K00799	psz:PSTAB_2911
ko:K03406	psz:PSTAB_2165
ko:K01607	psz:PSTAB_2944
ko:K02056	psz:PSTAB_2946
ko:K06889	psz:PSTAB_2962
ko:K03406	psz:PSTAB_2964
ko:K02049	psz:PSTAB_2974
ko:K02050	psz:PSTAB_2975
ko:K00799	psz:PSTAB_2214
ko:K14162	psz:PSTAB_2227
ko:K03406	psz:PSTAB_3000
ko:K09471	psz:PSTAB_2271
ko:K00088	psz:PSTAB_3053
ko:K02441	psz:PSTAB_2315
ko:K06889	psz:PSTAB_2331
ko:K00799	psz:PSTAB_2371
ko:K06149	psz:PSTAB_2383
ko:K01176	psz:PSTAB_3458
ko:K01104	psz:PSTAB_2392
ko:K00845	psz:PSTAB_3471
ko:K00799	psz:PSTAB_2720
ko:K04748	psz:PSTAB_3505
ko:K02056	psz:PSTAB_3552
ko:K08234	psz:PSTAB_3559
ko:K03560	psz:PSTAB_2827
ko:K01507	psz:PSTAB_3650
ko:K02051	psz:PSTAB_3653
ko:K06147	psz:PSTAB_2928
ko:K01854	psz:PSTAB_2930
ko:K01784	psz:PSTAB_2932
ko:K02051	psz:PSTAB_2939
ko:K02049	psz:PSTAB_2940
ko:K07126	psz:PSTAB_3713
ko:K07258	psz:PSTAB_3732
ko:K08305	psz:PSTAB_3734
ko:K02051	psz:PSTAB_2976
ko:K07052	psz:PSTAB_2981
ko:K04750	psz:PSTAB_2983
ko:K00784	psz:PSTAB_2987
ko:K03499	psz:PSTAB_0025
ko:K02427	psz:PSTAB_2991
ko:K01515	psz:PSTAB_3770
ko:K11085	psz:PSTAB_3783
ko:K02674	psz:PSTAB_0871
ko:K01885	psz:PSTAB_3035
ko:K02010	psz:PSTAB_3042
ko:K00652	psz:PSTAB_3816
ko:K01823	psz:PSTAB_3827
ko:K11105	psz:PSTAB_3830
ko:K00575	psz:PSTAB_3835
ko:K13628	psz:PSTAB_3087
ko:K04488	psz:PSTAB_3088
ko:K03153	psz:PSTAB_0876
ko:K01092	psz:PSTAB_3093
ko:K01585	psz:PSTAB_0878
ko:K02077	psz:PSTAB_3132
ko:K02074	psz:PSTAB_3134
ko:K07338	psz:PSTAB_3186
ko:K03406	psz:PSTAB_3188
ko:K00059	psz:PSTAB_3196
ko:K00882	psz:PSTAB_0890
ko:K03442	psz:PSTAB_3200
ko:K02843	psz:PSTAB_3800
ko:K07304	psz:PSTAB_3807
ko:K06889	psz:PSTAB_3207
ko:K03386	psz:PSTAB_3210
ko:K07120	psz:PSTAB_3998
ko:K07793	psz:PSTAB_3999
ko:K07182	psz:PSTAB_3858
ko:K02342	psz:PSTAB_3859
ko:K02660	psz:PSTAB_3909
ko:K02659	psz:PSTAB_3910
ko:K02658	psz:PSTAB_3911
ko:K07126	psz:PSTAB_0896
ko:K00380	psz:PSTAB_0899
ko:K02433	psz:PSTAB_0915
ko:K02657	psz:PSTAB_3912
ko:K07019	psz:PSTAB_3953
ko:K10563	psz:PSTAB_3967
ko:K03776	psz:PSTAB_1743
ko:K13590	psz:PSTAB_4022
ko:K03406	psz:PSTAB_1786
ko:K03406	psz:PSTAB_1787
ko:K00647	psz:PSTAB_1789
ko:K02414	psz:PSTAB_2565
ko:K04085	psz:PSTAB_1746
ko:K06603	psz:PSTAB_1761
ko:K00241	psz:PSTAB_1768
ko:K02619	psz:PSTAB_2600
ko:K00059	psz:PSTAB_2603
ko:K06179	psz:PSTAB_2611
ko:K01104	psz:PSTAB_2614
ko:K03711	psz:PSTAB_3375
ko:K01724	psz:PSTAB_3535
ko:K07213	psz:PSTAB_3582
ko:K03406	psz:PSTAB_3585
ko:K03406	psz:PSTAB_3594
ko:K01113	psz:PSTAB_3647
ko:K01011	psz:PSTAB_3755
ko:K02014	psz:PSTAB_0040
ko:K09815	psz:PSTAB_0053
ko:K11189	psz:PSTAB_0929
ko:K02806	psz:PSTAB_0931
ko:K02067	psz:PSTAB_0942
ko:K02653	psz:PSTAB_0958
ko:K10716	psz:PSTAB_1753
ko:K00254	psz:PSTAB_2288
ko:K00020	psz:PSTAB_1819
ko:K15984	psz:PSTAB_2725
ko:K03320	psz:PSTAB_0541
ko:K00248	psz:PSTAB_3829
ko:K02226	psz:PSTAB_1293
ko:K07673	psz:PSTAB_0785
ko:K02575	psz:PSTAB_0786
ko:K02575	psz:PSTAB_0788
ko:K00370	psz:PSTAB_0789
ko:K00371	psz:PSTAB_0790
ko:K00373	psz:PSTAB_0791
ko:K03639	psz:PSTAB_0794
ko:K03638	psz:PSTAB_0795
ko:K03750	psz:PSTAB_0796
ko:K06001	psz:PSTAB_1638
ko:K14441	psz:PSTAB_1641
ko:K03808	psz:PSTAB_3297
ko:K00053	psz:PSTAB_3302
ko:K01653	psz:PSTAB_3303
ko:K01652	psz:PSTAB_3304
ko:K05365	psz:PSTAB_3308
ko:K02013	psz:PSTAB_3314
ko:K02015	psz:PSTAB_3315
ko:K04084	psz:PSTAB_3317
ko:K03786	psz:PSTAB_3318
ko:K11907	psz:PSTAB_4085
ko:K13928	psz:PSTAB_4091
ko:K00285	psz:PSTAB_4092
ko:K13935	psz:PSTAB_4096
ko:K13934	psz:PSTAB_4097
ko:K13933	psz:PSTAB_4098
ko:K13932	psz:PSTAB_4099
ko:K13931	psz:PSTAB_4100
ko:K13930	psz:PSTAB_4101
ko:K13929	psz:PSTAB_4102
ko:K05774	psz:PSTAB_4104
ko:K07080	psz:PSTAB_4107
ko:K05541	psz:PSTAB_1663
ko:K04080	psz:PSTAB_1665
ko:K01703	psz:PSTAB_1667
ko:K01704	psz:PSTAB_1668
ko:K00052	psz:PSTAB_1670
ko:K00133	psz:PSTAB_1671
ko:K06173	psz:PSTAB_1676
ko:K01817	psz:PSTAB_1677
ko:K01963	psz:PSTAB_1678
ko:K11754	psz:PSTAB_1679
ko:K03749	psz:PSTAB_1680
ko:K03558	psz:PSTAB_1682
ko:K00764	psz:PSTAB_1683
ko:K10764	psz:PSTAB_1684
ko:K02453	psz:PSTAB_1685
ko:K02452	psz:PSTAB_1686
ko:K13639	psz:PSTAB_1687
ko:K07112	psz:PSTAB_2454
ko:K07112	psz:PSTAB_2455
ko:K07733	psz:PSTAB_2458
ko:K12055	psz:PSTAB_2459
ko:K03424	psz:PSTAB_2463
ko:K09165	psz:PSTAB_4116
ko:K06975	psz:PSTAB_4123
ko:K05995	psz:PSTAB_4124
ko:K06991	psz:PSTAB_4137
ko:K01414	psz:PSTAB_4139
ko:K07070	psz:PSTAB_4140
ko:K07787	psz:PSTAB_2498
ko:K07798	psz:PSTAB_2499
ko:K07233	psz:PSTAB_2501
ko:K07644	psz:PSTAB_2505
ko:K01673	psz:PSTAB_3282
ko:K00697	psz:PSTAB_3283
ko:K01087	psz:PSTAB_3284
ko:K03789	psz:PSTAB_3286
ko:K01649	psz:PSTAB_3288
ko:K13747	psz:PSTAB_3291
ko:K03808	psz:PSTAB_3296
ko:K00901	psz:PSTAB_0811
ko:K06901	psz:PSTAB_0814
ko:K03152	psz:PSTAB_0815
ko:K07402	psz:PSTAB_0816
ko:K07141	psz:PSTAB_0817
ko:K13483	psz:PSTAB_0818
ko:K11178	psz:PSTAB_0819
ko:K11177	psz:PSTAB_0820
ko:K00528	psz:PSTAB_0827
ko:K00262	psz:PSTAB_0828
ko:K00600	psz:PSTAB_0835
ko:K10126	psz:PSTAB_0088
ko:K10125	psz:PSTAB_0089
ko:K00067	psz:PSTAB_0090
ko:K01790	psz:PSTAB_0091
ko:K00973	psz:PSTAB_0092
ko:K13926	psz:PSTAB_0095
ko:K01993	psz:PSTAB_0096
ko:K02065	psz:PSTAB_0099
ko:K02066	psz:PSTAB_0100
ko:K11892	psz:PSTAB_0111
ko:K11893	psz:PSTAB_0112
ko:K11906	psz:PSTAB_0113
ko:K08688	psz:PSTAB_0117
ko:K02029	psz:PSTAB_0120
ko:K02029	psz:PSTAB_0121
ko:K07516	psz:PSTAB_0151
ko:K02902	psz:PSTAB_0159
ko:K02913	psz:PSTAB_0160
ko:K06966	psz:PSTAB_0164
ko:K02204	psz:PSTAB_0166
ko:K11903	psz:PSTAB_0169
ko:K14347	psz:PSTAB_0180
ko:K03923	psz:PSTAB_0181
ko:K00325	psz:PSTAB_0182
ko:K00324	psz:PSTAB_0183
ko:K04761	psz:PSTAB_0196
ko:K07088	psz:PSTAB_0201
ko:K03088	psz:PSTAB_0213
ko:K10126	psz:PSTAB_0214
ko:K10125	psz:PSTAB_0215
ko:K00574	psz:PSTAB_0220
ko:K03833	psz:PSTAB_0224
ko:K01042	psz:PSTAB_0225
ko:K02380	psz:PSTAB_0226
ko:K00123	psz:PSTAB_0229
ko:K00123	psz:PSTAB_0230
ko:K01960	psz:PSTAB_0251
ko:K07086	psz:PSTAB_0252
ko:K01425	psz:PSTAB_0254
ko:K01673	psz:PSTAB_0255
ko:K03310	psz:PSTAB_0258
ko:K01744	psz:PSTAB_0260
ko:K00457	psz:PSTAB_0263
ko:K01588	psz:PSTAB_0265
ko:K01589	psz:PSTAB_0266
ko:K09950	psz:PSTAB_0268
ko:K03778	psz:PSTAB_0270
ko:K02045	psz:PSTAB_0271
ko:K02047	psz:PSTAB_0272
ko:K02046	psz:PSTAB_0273
ko:K02048	psz:PSTAB_0275
ko:K07002	psz:PSTAB_0278
ko:K09962	psz:PSTAB_0281
ko:K01154	psz:PSTAB_0285
ko:K03427	psz:PSTAB_0286
ko:K14682	psz:PSTAB_0304
ko:K01919	psz:PSTAB_0305
ko:K06959	psz:PSTAB_0307
ko:K00694	psz:PSTAB_0310
ko:K00901	psz:PSTAB_0316
ko:K07659	psz:PSTAB_0317
ko:K07638	psz:PSTAB_0318
ko:K04762	psz:PSTAB_0321
ko:K04083	psz:PSTAB_0323
ko:K01610	psz:PSTAB_0324
ko:K03654	psz:PSTAB_0327
ko:K07560	psz:PSTAB_0361
ko:K03118	psz:PSTAB_0364
ko:K03117	psz:PSTAB_0365
ko:K03116	psz:PSTAB_0366
ko:K03688	psz:PSTAB_0369
ko:K03690	psz:PSTAB_0370
ko:K03183	psz:PSTAB_0371
ko:K03667	psz:PSTAB_0375
ko:K01419	psz:PSTAB_0376
ko:K03216	psz:PSTAB_0378
ko:K07712	psz:PSTAB_0380
ko:K07708	psz:PSTAB_0381
ko:K01915	psz:PSTAB_0384
ko:K03151	psz:PSTAB_0385
ko:K06207	psz:PSTAB_0386
ko:K11614	psz:PSTAB_0389
ko:K07637	psz:PSTAB_0418
ko:K04335	psz:PSTAB_0423
ko:K09946	psz:PSTAB_0434
ko:K01807	psz:PSTAB_0435
ko:K01754	psz:PSTAB_0436
ko:K08311	psz:PSTAB_0440
ko:K08484	psz:PSTAB_0441
ko:K13292	psz:PSTAB_0444
ko:K01998	psz:PSTAB_0447
ko:K01997	psz:PSTAB_0448
ko:K01996	psz:PSTAB_0449
ko:K01995	psz:PSTAB_0450
ko:K01999	psz:PSTAB_0451
ko:K00252	psz:PSTAB_0473
ko:K03744	psz:PSTAB_0477
ko:K06872	psz:PSTAB_0478
ko:K08988	psz:PSTAB_0479
ko:K03798	psz:PSTAB_0482
ko:K07303	psz:PSTAB_0485
ko:K07302	psz:PSTAB_0486
ko:K03060	psz:PSTAB_0491
ko:K00942	psz:PSTAB_0492
ko:K00989	psz:PSTAB_0499
ko:K09940	psz:PSTAB_0500
ko:K01142	psz:PSTAB_0501
ko:K00762	psz:PSTAB_0502
ko:K00930	psz:PSTAB_0505
ko:K00140	psz:PSTAB_0531
ko:K11068	psz:PSTAB_0533
ko:K03656	psz:PSTAB_0534
ko:K02168	psz:PSTAB_0536
ko:K07391	psz:PSTAB_0537
ko:K04752	psz:PSTAB_0539
ko:K03320	psz:PSTAB_0540
ko:K03733	psz:PSTAB_0545
ko:K09921	psz:PSTAB_0546
ko:K01778	psz:PSTAB_0547
ko:K01586	psz:PSTAB_0548
ko:K06202	psz:PSTAB_0550
ko:K06140	psz:PSTAB_0551
ko:K05851	psz:PSTAB_0552
ko:K01755	psz:PSTAB_0557
ko:K08082	psz:PSTAB_0558
ko:K08083	psz:PSTAB_0559
ko:K01749	psz:PSTAB_0560
ko:K02496	psz:PSTAB_0562
ko:K00029	psz:PSTAB_0588
ko:K05366	psz:PSTAB_0589
ko:K02662	psz:PSTAB_0590
ko:K02666	psz:PSTAB_0594
ko:K00891	psz:PSTAB_0595
ko:K01735	psz:PSTAB_0596
ko:K03112	psz:PSTAB_0597
ko:K00266	psz:PSTAB_0599
ko:K01599	psz:PSTAB_0600
ko:K08224	psz:PSTAB_0601
ko:K03672	psz:PSTAB_0604
ko:K01740	psz:PSTAB_0605
ko:K03086	psz:PSTAB_0607
ko:K02970	psz:PSTAB_0609
ko:K08591	psz:PSTAB_0611
ko:K01633	psz:PSTAB_0612
ko:K00950	psz:PSTAB_0613
ko:K00766	psz:PSTAB_0641
ko:K01609	psz:PSTAB_0642
ko:K07397	psz:PSTAB_0644
ko:K06134	psz:PSTAB_0645
ko:K02503	psz:PSTAB_0646
ko:K08973	psz:PSTAB_0649
ko:K00145	psz:PSTAB_0650
ko:K09001	psz:PSTAB_0652
ko:K01866	psz:PSTAB_0654
ko:K02358	psz:PSTAB_0656
ko:K03073	psz:PSTAB_0657
ko:K02601	psz:PSTAB_0658
ko:K02867	psz:PSTAB_0659
ko:K02863	psz:PSTAB_0660
ko:K02864	psz:PSTAB_0661
ko:K02935	psz:PSTAB_0662
ko:K04485	psz:PSTAB_0838
ko:K09794	psz:PSTAB_0840
ko:K03282	psz:PSTAB_0841
ko:K02448	psz:PSTAB_0842
ko:K04561	psz:PSTAB_0844
ko:K02305	psz:PSTAB_0845
ko:K00428	psz:PSTAB_0848
ko:K06876	psz:PSTAB_0854
ko:K03773	psz:PSTAB_0855
ko:K02523	psz:PSTAB_0857
ko:K02888	psz:PSTAB_0858
ko:K02899	psz:PSTAB_0859
ko:K03979	psz:PSTAB_0860
ko:K00931	psz:PSTAB_0861
ko:K05805	psz:PSTAB_0862
ko:K02968	psz:PSTAB_0863
ko:K02230	psz:PSTAB_1693
ko:K02909	psz:PSTAB_1695
ko:K01620	psz:PSTAB_1696
ko:K03809	psz:PSTAB_1698
ko:K00425	psz:PSTAB_1704
ko:K00426	psz:PSTAB_1705
ko:K03327	psz:PSTAB_1715
ko:K03473	psz:PSTAB_1716
ko:K06969	psz:PSTAB_3348
ko:K00962	psz:PSTAB_3353
ko:K02956	psz:PSTAB_3354
ko:K02834	psz:PSTAB_3356
ko:K02519	psz:PSTAB_3357
ko:K02600	psz:PSTAB_3358
ko:K09748	psz:PSTAB_3359
ko:K03075	psz:PSTAB_3360
ko:K01803	psz:PSTAB_3361
ko:K03431	psz:PSTAB_3362
ko:K00796	psz:PSTAB_3363
ko:K03798	psz:PSTAB_3364
ko:K07574	psz:PSTAB_3365
ko:K03624	psz:PSTAB_3367
ko:K01955	psz:PSTAB_3368
ko:K01956	psz:PSTAB_3369
ko:K00215	psz:PSTAB_3370
ko:K03686	psz:PSTAB_3371
ko:K01673	psz:PSTAB_4145
ko:K02275	psz:PSTAB_4148
ko:K02276	psz:PSTAB_4151
ko:K02259	psz:PSTAB_4155
ko:K07152	psz:PSTAB_4157
ko:K03088	psz:PSTAB_4161
ko:K03427	psz:PSTAB_0134
ko:K01154	psz:PSTAB_0135
ko:K07460	psz:PSTAB_0973
ko:K07121	psz:PSTAB_0974
ko:K07056	psz:PSTAB_0975
ko:K03925	psz:PSTAB_0976
ko:K03438	psz:PSTAB_0977
ko:K03586	psz:PSTAB_0978
ko:K03587	psz:PSTAB_0979
ko:K01928	psz:PSTAB_0980
ko:K01929	psz:PSTAB_0981
ko:K01000	psz:PSTAB_0982
ko:K01925	psz:PSTAB_0983
ko:K03588	psz:PSTAB_0984
ko:K02563	psz:PSTAB_0985
ko:K01924	psz:PSTAB_0986
ko:K01921	psz:PSTAB_0987
ko:K03589	psz:PSTAB_0988
ko:K03590	psz:PSTAB_0989
ko:K03531	psz:PSTAB_0990
ko:K02535	psz:PSTAB_0991
ko:K03594	psz:PSTAB_0992
ko:K04064	psz:PSTAB_0995
ko:K07507	psz:PSTAB_0997
ko:K06966	psz:PSTAB_1001
ko:K03321	psz:PSTAB_1003
ko:K00116	psz:PSTAB_1005
ko:K07286	psz:PSTAB_1007
ko:K00324	psz:PSTAB_0184
ko:K02455	psz:PSTAB_0186
ko:K02456	psz:PSTAB_0187
ko:K02457	psz:PSTAB_0188
ko:K02458	psz:PSTAB_0189
ko:K02459	psz:PSTAB_0190
ko:K02460	psz:PSTAB_0191
ko:K02461	psz:PSTAB_0192
ko:K02462	psz:PSTAB_0193
ko:K03655	psz:PSTAB_0195
ko:K13788	psz:PSTAB_1030
ko:K00925	psz:PSTAB_1031
ko:K03775	psz:PSTAB_1032
ko:K00432	psz:PSTAB_1033
ko:K06203	psz:PSTAB_1036
ko:K09948	psz:PSTAB_1038
ko:K07589	psz:PSTAB_1039
ko:K13938	psz:PSTAB_1040
ko:K06205	psz:PSTAB_1042
ko:K05520	psz:PSTAB_1049
ko:K01676	psz:PSTAB_1051
ko:K00873	psz:PSTAB_1054
ko:K03924	psz:PSTAB_1059
ko:K01141	psz:PSTAB_1064
ko:K01433	psz:PSTAB_1066
ko:K06915	psz:PSTAB_1068
ko:K03657	psz:PSTAB_0238
ko:K08303	psz:PSTAB_0240
ko:K09794	psz:PSTAB_0241
ko:K00928	psz:PSTAB_0242
ko:K10674	psz:PSTAB_0243
ko:K06720	psz:PSTAB_0244
ko:K00836	psz:PSTAB_0245
ko:K06718	psz:PSTAB_0246
ko:K00036	psz:PSTAB_0247
ko:K09972	psz:PSTAB_1085
ko:K01952	psz:PSTAB_1086
ko:K06938	psz:PSTAB_1093
ko:K08289	psz:PSTAB_1094
ko:K03106	psz:PSTAB_1097
ko:K02959	psz:PSTAB_1098
ko:K02860	psz:PSTAB_1099
ko:K00554	psz:PSTAB_1100
ko:K02884	psz:PSTAB_1101
ko:K03981	psz:PSTAB_1103
ko:K00003	psz:PSTAB_1105
ko:K01733	psz:PSTAB_1106
ko:K03683	psz:PSTAB_1107
ko:K01465	psz:PSTAB_1108
ko:K01940	psz:PSTAB_1110
ko:K10773	psz:PSTAB_1113
ko:K03648	psz:PSTAB_1124
