ko:K01533	llw:kw2_0822
ko:K07304	llw:kw2_2061
ko:K00845	llw:kw2_2077
ko:K02236	llw:kw2_2080
ko:K01478	llw:kw2_2089
ko:K00158	llw:kw2_2096
ko:K07052	llw:kw2_2104
ko:K00033	llw:kw2_0574
ko:K00784	llw:kw2_0589
ko:K03048	llw:kw2_0593
ko:K03708	llw:kw2_0596
ko:K02004	llw:kw2_0601
ko:K01958	llw:kw2_0610
ko:K16509	llw:kw2_0616
ko:K01537	llw:kw2_0619
ko:K16509	llw:kw2_0808
ko:K00383	llw:kw2_0809
ko:K05845	llw:kw2_0811
ko:K05846	llw:kw2_0811
ko:K03299	llw:kw2_0827
ko:K12556	llw:kw2_0841
ko:K02004	llw:kw2_0844
ko:K11617	llw:kw2_0863
ko:K16788	llw:kw2_1111
ko:K11072	llw:kw2_1113
ko:K11071	llw:kw2_1114
ko:K11069	llw:kw2_1116
ko:K01990	llw:kw2_1135
ko:K01788	llw:kw2_1148
ko:K12373	llw:kw2_1441
ko:K01191	llw:kw2_1445
ko:K09704	llw:kw2_1446
ko:K01785	llw:kw2_1458
ko:K00854	llw:kw2_1459
ko:K01181	llw:kw2_1460
ko:K04488	llw:kw2_1843
ko:K02028	llw:kw2_1850
ko:K07386	llw:kw2_1857
ko:K07192	llw:kw2_0689
ko:K03346	llw:kw2_0701
ko:K11144	llw:kw2_0702
ko:K00059	llw:kw2_0724
ko:K01760	llw:kw2_0731
ko:K00059	llw:kw2_0744
ko:K02086	llw:kw2_1015
ko:K07584	llw:kw2_1025
ko:K02242	llw:kw2_1033
ko:K02240	llw:kw2_1034
ko:K01081	llw:kw2_1038
ko:K00805	llw:kw2_1327
ko:K00805	llw:kw2_1328
ko:K02823	llw:kw2_1333
ko:K03492	llw:kw2_1335
ko:K02025	llw:kw2_1340
ko:K09787	llw:kw2_1376
ko:K01489	llw:kw2_1382
ko:K01619	llw:kw2_1383
ko:K05362	llw:kw2_1860
ko:K13953	llw:kw2_1862
ko:K01258	llw:kw2_1865
ko:K15986	llw:kw2_1867
ko:K03699	llw:kw2_1869
ko:K03574	llw:kw2_2298
ko:K06183	llw:kw2_2306
ko:K04517	llw:kw2_1722
ko:K02004	llw:kw2_1726
ko:K02029	llw:kw2_1737
ko:K02030	llw:kw2_1737
ko:K02028	llw:kw2_1738
ko:K03930	llw:kw2_1749
ko:K02238	llw:kw2_1750
ko:K01992	llw:kw2_1752
ko:K01990	llw:kw2_1753
ko:K00626	llw:kw2_1762
ko:K00059	llw:kw2_1765
ko:K02371	llw:kw2_1766
ko:K12555	llw:kw2_2170
ko:K09815	llw:kw2_2177
ko:K02248	llw:kw2_2180
ko:K02246	llw:kw2_2182
ko:K02245	llw:kw2_2183
ko:K02244	llw:kw2_2184
ko:K02243	llw:kw2_2185
ko:K12296	llw:kw2_2209
ko:K06286	llw:kw2_2210
ko:K07404	llw:kw2_2213
ko:K04518	llw:kw2_1719
ko:K01281	llw:kw2_2106
ko:K02030	llw:kw2_2108
ko:K09698	llw:kw2_2110
ko:K07031	llw:kw2_2126
ko:K05363	llw:kw2_2131
ko:K00939	llw:kw2_2139
ko:K01262	llw:kw2_0631
ko:K07052	llw:kw2_0643
ko:K16013	llw:kw2_0647
ko:K16012	llw:kw2_0648
ko:K07069	llw:kw2_0657
ko:K02549	llw:kw2_0676
ko:K08680	llw:kw2_0679
ko:K02552	llw:kw2_0681
ko:K01424	llw:kw2_0686
ko:K01507	llw:kw2_0561
ko:K06023	llw:kw2_0570
ko:K12268	llw:kw2_0796
ko:K12269	llw:kw2_0797
ko:K12270	llw:kw2_0798
ko:K01916	llw:kw2_1048
ko:K02004	llw:kw2_1050
ko:K07009	llw:kw2_1051
ko:K03574	llw:kw2_1064
ko:K04750	llw:kw2_1066
ko:K00244	llw:kw2_1067
ko:K03177	llw:kw2_1073
ko:K00016	llw:kw2_1075
ko:K09963	llw:kw2_1076
ko:K02808	llw:kw2_1078
ko:K02809	llw:kw2_1078
ko:K02810	llw:kw2_1078
ko:K07273	llw:kw2_1086
ko:K00564	llw:kw2_1386
ko:K03768	llw:kw2_0865
ko:K03768	llw:kw2_0866
ko:K07570	llw:kw2_0867
ko:K01990	llw:kw2_0878
ko:K01992	llw:kw2_0879
ko:K07104	llw:kw2_0880
ko:K09693	llw:kw2_0902
ko:K01854	llw:kw2_0914
ko:K03784	llw:kw2_0925
ko:K07030	llw:kw2_1165
ko:K03316	llw:kw2_1197
ko:K03709	llw:kw2_1209
ko:K01607	llw:kw2_1496
ko:K07304	llw:kw2_1507
ko:K00974	llw:kw2_1515
ko:K01048	llw:kw2_1522
ko:K00054	llw:kw2_1526
ko:K00626	llw:kw2_1527
ko:K01641	llw:kw2_1528
ko:K02564	llw:kw2_1529
ko:K06889	llw:kw2_1530
ko:K03810	llw:kw2_1882
ko:K00949	llw:kw2_1883
ko:K11618	llw:kw2_0864
ko:K02035	llw:kw2_1893
ko:K02033	llw:kw2_1895
ko:K07025	llw:kw2_1903
ko:K01372	llw:kw2_1935
ko:K02004	llw:kw2_2336
ko:K03471	llw:kw2_2338
ko:K09685	llw:kw2_2340
ko:K07258	llw:kw2_2349
ko:K01759	llw:kw2_1272
ko:K03342	llw:kw2_1289
ko:K01664	llw:kw2_1290
ko:K07032	llw:kw2_1305
ko:K02056	llw:kw2_1315
ko:K00016	llw:kw2_1318
ko:K10439	llw:kw2_1601
ko:K10440	llw:kw2_1602
ko:K00852	llw:kw2_1605
ko:K00625	llw:kw2_1625
ko:K14982	llw:kw2_1641
ko:K14983	llw:kw2_1642
ko:K00691	llw:kw2_1644
ko:K01176	llw:kw2_1646
ko:K15770	llw:kw2_1650
ko:K03698	llw:kw2_1993
ko:K01607	llw:kw2_2033
ko:K01784	llw:kw2_2036
ko:K01785	llw:kw2_2039
ko:K00867	llw:kw2_1387
ko:K02755	llw:kw2_1399
ko:K02756	llw:kw2_1399
ko:K02757	llw:kw2_1399
ko:K03488	llw:kw2_1400
ko:K03711	llw:kw2_1419
ko:K07177	llw:kw2_2223
ko:K08152	llw:kw2_2226
ko:K08152	llw:kw2_2227
ko:K03299	llw:kw2_2249
ko:K00851	llw:kw2_2250
ko:K00033	llw:kw2_2251
ko:K07098	llw:kw2_2254
ko:K04516	llw:kw2_2263
ko:K03713	llw:kw2_2267
ko:K01104	llw:kw2_2268
ko:K01977	llw:kw2_1979
ko:K01985	llw:kw2_1976
ko:K14227	llw:kw2_0025
ko:K14232	llw:kw2_0511
ko:K14227	llw:kw2_0516
ko:K01985	llw:kw2_2330
ko:K01985	llw:kw2_2355
ko:K14229	llw:kw2_0506
ko:K14228	llw:kw2_0507
ko:K14228	llw:kw2_1972
ko:K14226	llw:kw2_2326
ko:K14235	llw:kw2_2327
ko:K14236	llw:kw2_2328
ko:K14228	llw:kw2_2277
ko:K14234	llw:kw2_0508
ko:K14232	llw:kw2_0282
ko:K01938	llw:kw2_0929
ko:K02029	llw:kw2_0932
ko:K00384	llw:kw2_0935
ko:K03075	llw:kw2_0936
ko:K12573	llw:kw2_0937
ko:K07166	llw:kw2_0941
ko:K09157	llw:kw2_0942
ko:K03705	llw:kw2_0947
ko:K03687	llw:kw2_0948
ko:K04043	llw:kw2_0949
ko:K02768	llw:kw2_0955
ko:K02769	llw:kw2_0955
ko:K02770	llw:kw2_0955
ko:K01534	llw:kw2_0959
ko:K06131	llw:kw2_0963
ko:K06958	llw:kw2_0964
ko:K02836	llw:kw2_0973
ko:K09812	llw:kw2_0974
ko:K09811	llw:kw2_0975
ko:K08591	llw:kw2_0980
ko:K02622	llw:kw2_0981
ko:K00941	llw:kw2_1217
ko:K00878	llw:kw2_1218
ko:K02935	llw:kw2_1224
ko:K02864	llw:kw2_1225
ko:K06178	llw:kw2_1235
ko:K06024	llw:kw2_1236
ko:K05896	llw:kw2_1237
ko:K07095	llw:kw2_1240
ko:K01776	llw:kw2_1242
ko:K01586	llw:kw2_1244
ko:K00266	llw:kw2_1245
ko:K00826	llw:kw2_1248
ko:K03470	llw:kw2_1253
ko:K14540	llw:kw2_1254
ko:K01235	llw:kw2_1260
ko:K05970	llw:kw2_1266
ko:K01925	llw:kw2_1545
ko:K04751	llw:kw2_1546
ko:K03320	llw:kw2_1547
ko:K07040	llw:kw2_1550
ko:K02909	llw:kw2_1551
ko:K01956	llw:kw2_1561
ko:K00609	llw:kw2_1562
ko:K02825	llw:kw2_1564
ko:K16264	llw:kw2_1567
ko:K00147	llw:kw2_1568
ko:K00931	llw:kw2_1569
ko:K03106	llw:kw2_1576
ko:K07507	llw:kw2_1579
ko:K01714	llw:kw2_1580
ko:K00133	llw:kw2_1582
ko:K02440	llw:kw2_1583
ko:K00615	llw:kw2_1585
ko:K01625	llw:kw2_1589
ko:K00874	llw:kw2_1590
ko:K01812	llw:kw2_1591
ko:K16210	llw:kw2_1593
ko:K01686	llw:kw2_1594
ko:K04042	llw:kw2_1941
ko:K00286	llw:kw2_1942
ko:K02956	llw:kw2_1943
ko:K03500	llw:kw2_1946
ko:K00604	llw:kw2_1951
ko:K09927	llw:kw2_1955
ko:K04066	llw:kw2_1956
ko:K03060	llw:kw2_1957
ko:K00942	llw:kw2_1958
ko:K00789	llw:kw2_1961
ko:K00574	llw:kw2_1962
ko:K03524	llw:kw2_1963
ko:K01624	llw:kw2_1968
ko:K01868	llw:kw2_1981
ko:K03322	llw:kw2_1983
ko:K07078	llw:kw2_1984
ko:K00761	llw:kw2_1985
ko:K14155	llw:kw2_1987
ko:K00651	llw:kw2_1989
ko:K07088	llw:kw2_1991
ko:K01079	llw:kw2_0558
ko:K01624	llw:kw2_1283
ko:K03547	llw:kw2_1308
ko:K00077	llw:kw2_1309
ko:K00563	llw:kw2_1314
ko:K02057	llw:kw2_1316
ko:K02057	llw:kw2_1317
ko:K00873	llw:kw2_1319
ko:K00850	llw:kw2_1320
ko:K01443	llw:kw2_1321
ko:K00057	llw:kw2_1324
ko:K00963	llw:kw2_1325
ko:K10441	llw:kw2_1603
ko:K01985	llw:kw2_0503
ko:K01977	llw:kw2_2248
ko:K01977	llw:kw2_2333
ko:K01977	llw:kw2_2358
ko:K00928	llw:kw2_0690
ko:K07001	llw:kw2_0691
ko:K02939	llw:kw2_0695
ko:K03439	llw:kw2_0699
ko:K07738	llw:kw2_0700
ko:K03977	llw:kw2_0705
ko:K09748	llw:kw2_0713
ko:K02600	llw:kw2_0714
ko:K07742	llw:kw2_0715
ko:K02519	llw:kw2_0717
ko:K02834	llw:kw2_0718
ko:K01809	llw:kw2_0719
ko:K00648	llw:kw2_0721
ko:K02078	llw:kw2_0722
ko:K00645	llw:kw2_0723
ko:K09458	llw:kw2_0725
ko:K02160	llw:kw2_0726
ko:K02372	llw:kw2_0727
ko:K01961	llw:kw2_0728
ko:K01963	llw:kw2_0729
ko:K01962	llw:kw2_0730
ko:K01738	llw:kw2_0732
ko:K01142	llw:kw2_0741
ko:K01874	llw:kw2_0742
ko:K02621	llw:kw2_0985
ko:K11752	llw:kw2_0987
ko:K00793	llw:kw2_0988
ko:K14652	llw:kw2_0989
ko:K00794	llw:kw2_0990
ko:K03101	llw:kw2_0993
ko:K06180	llw:kw2_0994
ko:K09775	llw:kw2_0995
ko:K00820	llw:kw2_1002
ko:K03630	llw:kw2_1003
ko:K01926	llw:kw2_1004
ko:K06158	llw:kw2_1006
ko:K00762	llw:kw2_1007
ko:K01465	llw:kw2_1008
ko:K10773	llw:kw2_1016
ko:K06967	llw:kw2_1017
ko:K06885	llw:kw2_1021
ko:K02888	llw:kw2_1024
ko:K02899	llw:kw2_1026
ko:K03322	llw:kw2_1027
ko:K07042	llw:kw2_1030
ko:K09962	llw:kw2_1032
ko:K09799	llw:kw2_1037
ko:K01878	llw:kw2_1040
ko:K01879	llw:kw2_1041
ko:K00969	llw:kw2_1044
ko:K03501	llw:kw2_1329
ko:K01591	llw:kw2_1331
ko:K01223	llw:kw2_1336
ko:K01060	llw:kw2_1343
ko:K06872	llw:kw2_1346
ko:K06181	llw:kw2_1347
ko:K00864	llw:kw2_1348
ko:K00111	llw:kw2_1349
ko:K02440	llw:kw2_1350
ko:K01955	llw:kw2_1357
ko:K00432	llw:kw2_1358
ko:K09765	llw:kw2_1361
ko:K08987	llw:kw2_1365
ko:K03710	llw:kw2_1380
ko:K07335	llw:kw2_1381
ko:K00782	llw:kw2_1712
ko:K06890	llw:kw2_1713
ko:K06950	llw:kw2_1715
ko:K02968	llw:kw2_1716
ko:K03581	llw:kw2_1717
ko:K00891	llw:kw2_1720
ko:K00800	llw:kw2_1721
ko:K02003	llw:kw2_1727
ko:K01736	llw:kw2_1730
ko:K09936	llw:kw2_1733
ko:K01735	llw:kw2_1734
ko:K00014	llw:kw2_1735
ko:K03975	llw:kw2_1736
ko:K02114	llw:kw2_1741
ko:K02112	llw:kw2_1742
ko:K02115	llw:kw2_1743
ko:K02111	llw:kw2_1744
ko:K02113	llw:kw2_1745
ko:K02109	llw:kw2_1746
ko:K02108	llw:kw2_1747
ko:K02110	llw:kw2_1748
ko:K02237	llw:kw2_1751
ko:K03823	llw:kw2_1755
ko:K03707	llw:kw2_1757
ko:K03524	llw:kw2_1759
ko:K03523	llw:kw2_1760
ko:K02926	llw:kw2_2160
ko:K02906	llw:kw2_2161
ko:K02946	llw:kw2_2162
ko:K03282	llw:kw2_2163
ko:K01733	llw:kw2_2165
ko:K02601	llw:kw2_2166
ko:K03073	llw:kw2_2167
ko:K02913	llw:kw2_2168
ko:K06180	llw:kw2_2174
ko:K09816	llw:kw2_2175
ko:K09817	llw:kw2_2176
ko:K03763	llw:kw2_2186
ko:K01881	llw:kw2_2189
ko:K11749	llw:kw2_2190
ko:K00981	llw:kw2_2191
ko:K00806	llw:kw2_2192
ko:K03210	llw:kw2_2193
ko:K00783	llw:kw2_2195
ko:K02357	llw:kw2_2211
ko:K02967	llw:kw2_2212
ko:K04072	llw:kw2_2214
ko:K06726	llw:kw2_1604
ko:K02529	llw:kw2_1606
ko:K01756	llw:kw2_1607
ko:K03785	llw:kw2_1608
ko:K03671	llw:kw2_1611
ko:K07456	llw:kw2_1612
ko:K02529	llw:kw2_1615
ko:K07444	llw:kw2_1618
ko:K02340	llw:kw2_1620
ko:K03466	llw:kw2_1622
ko:K00876	llw:kw2_1626
ko:K03183	llw:kw2_1636
ko:K01421	llw:kw2_1637
ko:K01223	llw:kw2_1638
ko:K08998	llw:kw2_1639
ko:K01662	llw:kw2_1640
ko:K02529	llw:kw2_1643
ko:K15771	llw:kw2_1651
ko:K15772	llw:kw2_1652
ko:K09760	llw:kw2_1994
ko:K01783	llw:kw2_1995
ko:K06949	llw:kw2_1998
ko:K01890	llw:kw2_2000
ko:K01889	llw:kw2_2001
ko:K13727	llw:kw2_2002
ko:K01939	llw:kw2_2006
ko:K04083	llw:kw2_2008
ko:K01876	llw:kw2_2018
ko:K01892	llw:kw2_2020
ko:K00995	llw:kw2_2027
ko:K03629	llw:kw2_2032
ko:K00965	llw:kw2_2037
ko:K00849	llw:kw2_2038
ko:K16209	llw:kw2_2040
ko:K08303	llw:kw2_2045
ko:K03702	llw:kw2_0530
ko:K01438	llw:kw2_0532
ko:K02372	llw:kw2_0533
ko:K00208	llw:kw2_0534
ko:K03217	llw:kw2_0535
ko:K02313	llw:kw2_0001
ko:K02338	llw:kw2_0002
ko:K16898	llw:kw2_0004
ko:K06942	llw:kw2_0007
ko:K01056	llw:kw2_0011
ko:K03723	llw:kw2_0012
ko:K04075	llw:kw2_0017
ko:K00760	llw:kw2_0018
ko:K03798	llw:kw2_0019
ko:K00009	llw:kw2_0031
ko:K07560	llw:kw2_0088
ko:K00655	llw:kw2_0092
ko:K01118	llw:kw2_0094
ko:K03070	llw:kw2_0095
ko:K01626	llw:kw2_0096
ko:K09747	llw:kw2_0100
ko:K03321	llw:kw2_0039
ko:K03584	llw:kw2_0043
ko:K00382	llw:kw2_0046
ko:K00627	llw:kw2_0047
ko:K00162	llw:kw2_0048
ko:K00161	llw:kw2_0049
ko:K03800	llw:kw2_0050
ko:K01126	llw:kw2_0051
ko:K06950	llw:kw2_0052
ko:K01867	llw:kw2_0054
ko:K01740	llw:kw2_0064
ko:K06999	llw:kw2_0068
ko:K15975	llw:kw2_0069
ko:K02913	llw:kw2_0071
ko:K02911	llw:kw2_0072
ko:K07478	llw:kw2_0076
ko:K02687	llw:kw2_0083
ko:K09761	llw:kw2_0084
ko:K03621	llw:kw2_0057
ko:K07447	llw:kw2_0125
ko:K16137	llw:kw2_0136
ko:K00773	llw:kw2_0145
ko:K06929	llw:kw2_0148
ko:K14260	llw:kw2_0153
ko:K03706	llw:kw2_0154
ko:K02435	llw:kw2_0155
ko:K02434	llw:kw2_0158
ko:K03704	llw:kw2_0161
ko:K02761	llw:kw2_0168
ko:K01223	llw:kw2_0171
ko:K06941	llw:kw2_0175
ko:K02548	llw:kw2_0178
ko:K04759	llw:kw2_0180
ko:K04758	llw:kw2_0181
ko:K02902	llw:kw2_0185
ko:K00973	llw:kw2_0187
ko:K01790	llw:kw2_0188
ko:K00067	llw:kw2_0191
ko:K03665	llw:kw2_0214
ko:K07574	llw:kw2_0217
ko:K00969	llw:kw2_0218
ko:K09710	llw:kw2_0221
ko:K03648	llw:kw2_0226
ko:K02970	llw:kw2_0233
ko:K00927	llw:kw2_0235
ko:K05878	llw:kw2_0239
ko:K00858	llw:kw2_0366
ko:K06180	llw:kw2_0367
ko:K11733	llw:kw2_0369
ko:K01940	llw:kw2_0112
ko:K01755	llw:kw2_0113
ko:K03536	llw:kw2_0116
ko:K03217	llw:kw2_0117
ko:K02914	llw:kw2_0119
ko:K05879	llw:kw2_0240
ko:K02440	llw:kw2_0242
ko:K08659	llw:kw2_0245
ko:K06969	llw:kw2_0248
ko:K04041	llw:kw2_0249
ko:K07007	llw:kw2_0251
ko:K07173	llw:kw2_0259
ko:K01689	llw:kw2_0270
ko:K16785	llw:kw2_0275
ko:K05823	llw:kw2_0279
ko:K02986	llw:kw2_0285
ko:K06959	llw:kw2_0286
ko:K03789	llw:kw2_0294
ko:K03789	llw:kw2_0295
ko:K02044	llw:kw2_0300
ko:K02041	llw:kw2_0301
ko:K02042	llw:kw2_0302
ko:K02042	llw:kw2_0303
ko:K11065	llw:kw2_0306
ko:K01256	llw:kw2_0307
ko:K00790	llw:kw2_0314
ko:K03523	llw:kw2_0317
ko:K02073	llw:kw2_0320
ko:K02073	llw:kw2_0321
ko:K02073	llw:kw2_0322
ko:K02073	llw:kw2_0324
ko:K02071	llw:kw2_0325
ko:K02072	llw:kw2_0326
ko:K16786	llw:kw2_0328
ko:K16787	llw:kw2_0328
ko:K16785	llw:kw2_0329
ko:K02013	llw:kw2_0330
ko:K02015	llw:kw2_0331
ko:K02015	llw:kw2_0332
ko:K02016	llw:kw2_0333
ko:K03387	llw:kw2_0341
ko:K00687	llw:kw2_0342
ko:K06187	llw:kw2_0343
ko:K01921	llw:kw2_0344
ko:K01929	llw:kw2_0345
ko:K15580	llw:kw2_0346
ko:K15580	llw:kw2_0347
ko:K15581	llw:kw2_0348
ko:K02837	llw:kw2_0352
ko:K05592	llw:kw2_0353
ko:K01953	llw:kw2_0355
ko:K03734	llw:kw2_0371
ko:K04567	llw:kw2_0372
ko:K03151	llw:kw2_0378
ko:K01118	llw:kw2_0380
ko:K01866	llw:kw2_0384
ko:K06878	llw:kw2_0389
ko:K04078	llw:kw2_0392
ko:K04077	llw:kw2_0393
ko:K00943	llw:kw2_0397
ko:K02341	llw:kw2_0398
ko:K07056	llw:kw2_0401
ko:K17686	llw:kw2_0777
ko:K04564	llw:kw2_0410
ko:K06200	llw:kw2_0411
ko:K01118	llw:kw2_0412
ko:K02760	llw:kw2_0417
ko:K02759	llw:kw2_0418
ko:K02761	llw:kw2_0420
ko:K01223	llw:kw2_0421
ko:K01972	llw:kw2_0424
ko:K03737	llw:kw2_0427
ko:K03086	llw:kw2_0519
ko:K02445	llw:kw2_0521
ko:K00134	llw:kw2_0527
ko:K01462	llw:kw2_0528
ko:K08311	llw:kw2_0529
ko:K03431	llw:kw2_0430
ko:K06925	llw:kw2_0438
ko:K06173	llw:kw2_0442
ko:K00868	llw:kw2_0443
ko:K01937	llw:kw2_0447
ko:K06966	llw:kw2_0459
ko:K02337	llw:kw2_0463
ko:K02529	llw:kw2_0464
ko:K11068	llw:kw2_0471
ko:K01207	llw:kw2_0474
ko:K03530	llw:kw2_0476
ko:K13530	llw:kw2_0479
ko:K00675	llw:kw2_0480
ko:K04487	llw:kw2_0485
ko:K15580	llw:kw2_0487
ko:K01738	llw:kw2_0488
ko:K05366	llw:kw2_0491
ko:K00790	llw:kw2_0497
ko:K03545	llw:kw2_0499
ko:K01821	llw:kw2_0540
ko:K06872	llw:kw2_1658
ko:K00926	llw:kw2_1666
ko:K10536	llw:kw2_1667
ko:K13252	llw:kw2_1669
ko:K00945	llw:kw2_1673
ko:K01875	llw:kw2_1682
ko:K06871	llw:kw2_1685
ko:K02039	llw:kw2_1690
ko:K02036	llw:kw2_1691
ko:K02036	llw:kw2_1692
ko:K02038	llw:kw2_1693
ko:K02037	llw:kw2_1694
ko:K02040	llw:kw2_1695
ko:K02040	llw:kw2_1696
ko:K03664	llw:kw2_1697
ko:K01872	llw:kw2_1701
ko:K08602	llw:kw2_1704
ko:K06901	llw:kw2_1708
ko:K00563	llw:kw2_2048
ko:K01126	llw:kw2_2052
ko:K02503	llw:kw2_2053
ko:K02863	llw:kw2_2056
ko:K02867	llw:kw2_2057
ko:K00243	llw:kw2_2062
ko:K02838	llw:kw2_2064
ko:K09903	llw:kw2_2065
ko:K00925	llw:kw2_2067
ko:K00925	llw:kw2_2068
ko:K06207	llw:kw2_2071
ko:K04047	llw:kw2_2079
ko:K02346	llw:kw2_2081
ko:K03758	llw:kw2_2083
ko:K00926	llw:kw2_2085
ko:K00926	llw:kw2_2086
ko:K03758	llw:kw2_2087
ko:K00611	llw:kw2_2088
ko:K01887	llw:kw2_2090
ko:K03402	llw:kw2_2091
ko:K01924	llw:kw2_2092
ko:K01512	llw:kw2_0559
ko:K03437	llw:kw2_0560
ko:K01265	llw:kw2_0565
