ko:K22010	lmom:IJ09_04475
ko:K02773	lmom:IJ09_14450
ko:K02774	lmom:IJ09_14455
ko:K02775	lmom:IJ09_14460
ko:K00882	lmom:IJ09_14465
ko:K01628	lmom:IJ09_14470
ko:K05020	lmom:IJ09_14480
ko:K01755	lmom:IJ09_14485
ko:K01940	lmom:IJ09_14490
ko:K03666	lmom:IJ09_03535
ko:K00791	lmom:IJ09_03540
ko:K00111	lmom:IJ09_03545
ko:K01126	lmom:IJ09_03550
ko:K07173	lmom:IJ09_03570
ko:K02621	lmom:IJ09_03575
ko:K02622	lmom:IJ09_03580
ko:K08591	lmom:IJ09_03590
ko:K07107	lmom:IJ09_03605
ko:K03706	lmom:IJ09_03610
ko:K03667	lmom:IJ09_03615
ko:K01419	lmom:IJ09_03620
ko:K03733	lmom:IJ09_03625
ko:K04094	lmom:IJ09_03630
ko:K03168	lmom:IJ09_03635
ko:K04096	lmom:IJ09_03640
ko:K03470	lmom:IJ09_03645
ko:K14540	lmom:IJ09_03650
ko:K03100	lmom:IJ09_03655
ko:K03100	lmom:IJ09_03660
ko:K03100	lmom:IJ09_03665
ko:K03544	lmom:IJ09_03670
ko:K03545	lmom:IJ09_03675
ko:K00931	lmom:IJ09_03710
ko:K00147	lmom:IJ09_03715
ko:K02818	lmom:IJ09_03735
ko:K02819	lmom:IJ09_03735
ko:K01226	lmom:IJ09_03740
ko:K03486	lmom:IJ09_03745
ko:K03574	lmom:IJ09_03785
ko:K04750	lmom:IJ09_03810
ko:K02026	lmom:IJ09_01195
ko:K02025	lmom:IJ09_01200
ko:K02027	lmom:IJ09_01205
ko:K05349	lmom:IJ09_01210
ko:K02529	lmom:IJ09_01220
ko:K01990	lmom:IJ09_01235
ko:K02760	lmom:IJ09_01255
ko:K02759	lmom:IJ09_01260
ko:K09963	lmom:IJ09_01265
ko:K03569	lmom:IJ09_01290
ko:K03839	lmom:IJ09_01305
ko:K01265	lmom:IJ09_01310
ko:K07058	lmom:IJ09_01325
ko:K03790	lmom:IJ09_01365
ko:K14205	lmom:IJ09_01380
ko:K07071	lmom:IJ09_01385
ko:K03565	lmom:IJ09_01390
ko:K07038	lmom:IJ09_01405
ko:K03575	lmom:IJ09_01410
ko:K10780	lmom:IJ09_01415
ko:K07586	lmom:IJ09_01420
ko:K01845	lmom:IJ09_01430
ko:K09825	lmom:IJ09_01440
ko:K01580	lmom:IJ09_08095
ko:K01442	lmom:IJ09_08100
ko:K01421	lmom:IJ09_08110
ko:K02770	lmom:IJ09_08185
ko:K02769	lmom:IJ09_08190
ko:K02768	lmom:IJ09_08195
ko:K05340	lmom:IJ09_08205
ko:K03088	lmom:IJ09_08210
ko:K07729	lmom:IJ09_08245
ko:K07238	lmom:IJ09_08255
ko:K01759	lmom:IJ09_08290
ko:K03306	lmom:IJ09_08295
ko:K15524	lmom:IJ09_08315
ko:K02770	lmom:IJ09_08320
ko:K02769	lmom:IJ09_08325
ko:K02768	lmom:IJ09_08330
ko:K00286	lmom:IJ09_08340
ko:K00384	lmom:IJ09_12415
ko:K01784	lmom:IJ09_12420
ko:K01785	lmom:IJ09_12425
ko:K01835	lmom:IJ09_12430
ko:K06958	lmom:IJ09_12435
ko:K09762	lmom:IJ09_12445
ko:K01358	lmom:IJ09_12465
ko:K06994	lmom:IJ09_12495
ko:K01273	lmom:IJ09_12500
ko:K03092	lmom:IJ09_12505
ko:K05311	lmom:IJ09_12510
ko:K00134	lmom:IJ09_12515
ko:K00927	lmom:IJ09_12520
ko:K01803	lmom:IJ09_12525
ko:K15633	lmom:IJ09_12530
ko:K01689	lmom:IJ09_12535
ko:K03075	lmom:IJ09_12555
ko:K03928	lmom:IJ09_12560
ko:K12573	lmom:IJ09_12565
ko:K03664	lmom:IJ09_12570
ko:K07032	lmom:IJ09_12625
ko:K03488	lmom:IJ09_12630
ko:K01580	lmom:IJ09_12640
ko:K02016	lmom:IJ09_12655
ko:K02015	lmom:IJ09_12660
ko:K02013	lmom:IJ09_12665
ko:K05837	lmom:IJ09_12670
ko:K05837	lmom:IJ09_12675
ko:K00537	lmom:IJ09_12680
ko:K02437	lmom:IJ09_12685
ko:K03790	lmom:IJ09_10475
ko:K04757	lmom:IJ09_05855
ko:K04749	lmom:IJ09_05860
ko:K07315	lmom:IJ09_05865
ko:K17752	lmom:IJ09_05870
ko:K17762	lmom:IJ09_05875
ko:K17763	lmom:IJ09_05880
ko:K07723	lmom:IJ09_05890
ko:K01775	lmom:IJ09_05895
ko:K00997	lmom:IJ09_05900
ko:K00231	lmom:IJ09_05905
ko:K08981	lmom:IJ09_05910
ko:K09167	lmom:IJ09_05915
ko:K02761	lmom:IJ09_05945
ko:K02760	lmom:IJ09_05950
ko:K02759	lmom:IJ09_05955
ko:K07045	lmom:IJ09_05980
ko:K05592	lmom:IJ09_06000
ko:K01840	lmom:IJ09_06005
ko:K01226	lmom:IJ09_06020
ko:K02026	lmom:IJ09_06025
ko:K02025	lmom:IJ09_06030
ko:K02027	lmom:IJ09_06035
ko:K02529	lmom:IJ09_06040
ko:K01929	lmom:IJ09_06050
ko:K01921	lmom:IJ09_06055
ko:K01426	lmom:IJ09_06085
ko:K02028	lmom:IJ09_06090
ko:K02029	lmom:IJ09_06095
ko:K02030	lmom:IJ09_06095
ko:K09022	lmom:IJ09_06110
ko:K03466	lmom:IJ09_10060
ko:K01939	lmom:IJ09_10095
ko:K02939	lmom:IJ09_10110
ko:K07707	lmom:IJ09_10120
ko:K07706	lmom:IJ09_10125
ko:K07813	lmom:IJ09_10135
ko:K02963	lmom:IJ09_10145
ko:K02990	lmom:IJ09_10155
ko:K01478	lmom:IJ09_10160
ko:K03975	lmom:IJ09_10165
ko:K03481	lmom:IJ09_10170
ko:K10536	lmom:IJ09_10175
ko:K00926	lmom:IJ09_10180
ko:K10536	lmom:IJ09_10185
ko:K13252	lmom:IJ09_10195
ko:K02761	lmom:IJ09_10205
ko:K02529	lmom:IJ09_10220
ko:K01990	lmom:IJ09_10255
ko:K02755	lmom:IJ09_10270
ko:K02756	lmom:IJ09_10270
ko:K02757	lmom:IJ09_10270
ko:K06201	lmom:IJ09_10275
ko:K02795	lmom:IJ09_10290
ko:K02794	lmom:IJ09_10295
ko:K02793	lmom:IJ09_10300
ko:K01223	lmom:IJ09_10315
ko:K06199	lmom:IJ09_14800
ko:K06199	lmom:IJ09_14805
ko:K06925	lmom:IJ09_14820
ko:K03789	lmom:IJ09_14830
ko:K01409	lmom:IJ09_14835
ko:K06889	lmom:IJ09_14840
ko:K06158	lmom:IJ09_14845
ko:K01926	lmom:IJ09_14850
ko:K07052	lmom:IJ09_14860
ko:K04078	lmom:IJ09_14865
ko:K04077	lmom:IJ09_14870
ko:K01442	lmom:IJ09_14875
ko:K03282	lmom:IJ09_14890
ko:K07095	lmom:IJ09_04135
ko:K02428	lmom:IJ09_04140
ko:K00989	lmom:IJ09_04145
ko:K01776	lmom:IJ09_04150
ko:K00928	lmom:IJ09_04160
ko:K03703	lmom:IJ09_04165
ko:K00549	lmom:IJ09_01570
ko:K01739	lmom:IJ09_01575
ko:K01760	lmom:IJ09_01580
ko:K02548	lmom:IJ09_01590
ko:K02552	lmom:IJ09_01595
ko:K02551	lmom:IJ09_01600
ko:K08680	lmom:IJ09_01605
ko:K01661	lmom:IJ09_01610
ko:K01911	lmom:IJ09_01615
ko:K09815	lmom:IJ09_01620
ko:K08998	lmom:IJ09_01625
ko:K00016	lmom:IJ09_01640
ko:K00789	lmom:IJ09_01655
ko:K01953	lmom:IJ09_01660
ko:K07139	lmom:IJ09_01670
ko:K01869	lmom:IJ09_01675
ko:K02967	lmom:IJ09_01685
ko:K02357	lmom:IJ09_01690
ko:K00655	lmom:IJ09_01745
ko:K03547	lmom:IJ09_01750
ko:K01681	lmom:IJ09_01775
ko:K01246	lmom:IJ09_01785
ko:K07784	lmom:IJ09_06140
ko:K06147	lmom:IJ09_06145
ko:K13256	lmom:IJ09_06150
ko:K07088	lmom:IJ09_06175
ko:K04041	lmom:IJ09_06180
ko:K03737	lmom:IJ09_06185
ko:K03324	lmom:IJ09_06200
ko:K00054	lmom:IJ09_06205
ko:K02371	lmom:IJ09_06260
ko:K00847	lmom:IJ09_06265
ko:K01674	lmom:IJ09_06275
ko:K11069	lmom:IJ09_06280
ko:K11070	lmom:IJ09_06285
ko:K11071	lmom:IJ09_06290
ko:K11072	lmom:IJ09_06295
ko:K03316	lmom:IJ09_06315
ko:K11733	lmom:IJ09_06335
ko:K05786	lmom:IJ09_06350
ko:K07118	lmom:IJ09_06355
ko:K07150	lmom:IJ09_06360
ko:K03976	lmom:IJ09_06375
ko:K11737	lmom:IJ09_06390
ko:K01118	lmom:IJ09_06395
ko:K07282	lmom:IJ09_10320
ko:K02829	lmom:IJ09_10325
ko:K02828	lmom:IJ09_10330
ko:K02827	lmom:IJ09_10335
ko:K02826	lmom:IJ09_10340
ko:K03648	lmom:IJ09_08370
ko:K05937	lmom:IJ09_08385
ko:K03336	lmom:IJ09_08390
ko:K03338	lmom:IJ09_08395
ko:K03337	lmom:IJ09_08400
ko:K00140	lmom:IJ09_08405
ko:K06608	lmom:IJ09_08410
ko:K02760	lmom:IJ09_08450
ko:K02761	lmom:IJ09_08455
ko:K05350	lmom:IJ09_08460
ko:K06193	lmom:IJ09_08470
ko:K16301	lmom:IJ09_08485
ko:K07224	lmom:IJ09_08490
ko:K07243	lmom:IJ09_08495
ko:K03116	lmom:IJ09_08500
ko:K03118	lmom:IJ09_08505
ko:K01624	lmom:IJ09_08520
ko:K02769	lmom:IJ09_08525
ko:K02770	lmom:IJ09_08525
ko:K02768	lmom:IJ09_08530
ko:K00244	lmom:IJ09_08540
ko:K05878	lmom:IJ09_08575
ko:K05879	lmom:IJ09_08580
ko:K01803	lmom:IJ09_08585
ko:K01808	lmom:IJ09_08590
ko:K00616	lmom:IJ09_08600
ko:K00615	lmom:IJ09_08605
ko:K02071	lmom:IJ09_12715
ko:K02072	lmom:IJ09_12720
ko:K02073	lmom:IJ09_12725
ko:K09013	lmom:IJ09_12735
ko:K09015	lmom:IJ09_12740
ko:K11717	lmom:IJ09_12745
ko:K04488	lmom:IJ09_12750
ko:K09014	lmom:IJ09_12755
ko:K07090	lmom:IJ09_12775
ko:K00657	lmom:IJ09_12795
ko:K03885	lmom:IJ09_12865
ko:K09775	lmom:IJ09_12880
ko:K05571	lmom:IJ09_12890
ko:K05570	lmom:IJ09_12895
ko:K05569	lmom:IJ09_12900
ko:K05568	lmom:IJ09_12905
ko:K05567	lmom:IJ09_12910
ko:K05566	lmom:IJ09_12915
ko:K05565	lmom:IJ09_12920
ko:K03768	lmom:IJ09_12930
ko:K00928	lmom:IJ09_12940
ko:K02760	lmom:IJ09_12945
ko:K02003	lmom:IJ09_12950
ko:K02004	lmom:IJ09_12955
ko:K14155	lmom:IJ09_12960
ko:K07570	lmom:IJ09_12965
ko:K03574	lmom:IJ09_12970
ko:K01810	lmom:IJ09_12975
ko:K00938	lmom:IJ09_10345
ko:K01597	lmom:IJ09_10350
ko:K00869	lmom:IJ09_10355
ko:K00657	lmom:IJ09_10365
ko:K06131	lmom:IJ09_10370
ko:K02469	lmom:IJ09_10375
ko:K02470	lmom:IJ09_10380
ko:K03629	lmom:IJ09_10385
ko:K02338	lmom:IJ09_10400
ko:K02313	lmom:IJ09_10405
ko:K02914	lmom:IJ09_10415
ko:K03536	lmom:IJ09_10420
ko:K03217	lmom:IJ09_10425
ko:K06346	lmom:IJ09_10430
ko:K06610	lmom:IJ09_10445
ko:K00848	lmom:IJ09_10450
ko:K01813	lmom:IJ09_10455
ko:K01629	lmom:IJ09_10460
ko:K03534	lmom:IJ09_10465
ko:K02027	lmom:IJ09_10500
ko:K02025	lmom:IJ09_10505
ko:K02026	lmom:IJ09_10510
ko:K00865	lmom:IJ09_10535
ko:K01838	lmom:IJ09_10540
ko:K07078	lmom:IJ09_10550
ko:K00831	lmom:IJ09_10570
ko:K00058	lmom:IJ09_10575
ko:K08170	lmom:IJ09_10605
ko:K14166	lmom:IJ09_14900
ko:K10716	lmom:IJ09_14915
ko:K02259	lmom:IJ09_14920
ko:K00954	lmom:IJ09_14950
ko:K07177	lmom:IJ09_14955
ko:K07040	lmom:IJ09_14970
ko:K02911	lmom:IJ09_14975
ko:K00077	lmom:IJ09_14980
ko:K08152	lmom:IJ09_14995
ko:K03925	lmom:IJ09_15000
ko:K03438	lmom:IJ09_15005
ko:K08724	lmom:IJ09_15015
ko:K01928	lmom:IJ09_15020
ko:K01000	lmom:IJ09_15025
ko:K01925	lmom:IJ09_15030
ko:K02563	lmom:IJ09_15035
ko:K03589	lmom:IJ09_15040
ko:K03590	lmom:IJ09_15045
ko:K03531	lmom:IJ09_15050
ko:K06997	lmom:IJ09_15055
ko:K09772	lmom:IJ09_15060
ko:K02221	lmom:IJ09_15065
ko:K03517	lmom:IJ09_15090
ko:K00767	lmom:IJ09_15095
ko:K00278	lmom:IJ09_15100
ko:K04487	lmom:IJ09_15105
ko:K07105	lmom:IJ09_15110
ko:K04074	lmom:IJ09_15115
ko:K01870	lmom:IJ09_15120
ko:K01778	lmom:IJ09_15125
ko:K03704	lmom:IJ09_15135
ko:K01191	lmom:IJ09_15140
ko:K01191	lmom:IJ09_15145
ko:K09704	lmom:IJ09_15150
ko:K07718	lmom:IJ09_15160
ko:K07720	lmom:IJ09_15165
ko:K17319	lmom:IJ09_15170
ko:K17320	lmom:IJ09_15175
ko:K17318	lmom:IJ09_15180
ko:K01652	lmom:IJ09_15185
ko:K04072	lmom:IJ09_01810
ko:K01657	lmom:IJ09_01815
ko:K01658	lmom:IJ09_01820
ko:K00766	lmom:IJ09_01825
ko:K01609	lmom:IJ09_01830
ko:K01817	lmom:IJ09_01835
ko:K01696	lmom:IJ09_01840
ko:K01695	lmom:IJ09_01845
ko:K03574	lmom:IJ09_01875
ko:K01439	lmom:IJ09_01880
ko:K00824	lmom:IJ09_01885
ko:K03439	lmom:IJ09_01910
ko:K06878	lmom:IJ09_01950
ko:K03466	lmom:IJ09_01955
ko:K01924	lmom:IJ09_01960
ko:K13853	lmom:IJ09_01985
ko:K02529	lmom:IJ09_01990
ko:K03671	lmom:IJ09_04170
ko:K07456	lmom:IJ09_04175
ko:K02347	lmom:IJ09_04180
ko:K09888	lmom:IJ09_04190
ko:K03471	lmom:IJ09_04195
ko:K03648	lmom:IJ09_04200
ko:K06994	lmom:IJ09_04205
ko:K02004	lmom:IJ09_04215
ko:K02003	lmom:IJ09_04220
ko:K01890	lmom:IJ09_04225
ko:K01889	lmom:IJ09_04230
ko:K03437	lmom:IJ09_04245
ko:K09936	lmom:IJ09_04280
ko:K09936	lmom:IJ09_04285
ko:K02232	lmom:IJ09_04295
ko:K02006	lmom:IJ09_04300
